time,Dallas,pts.away,score,pts.home,Chicago
6:12.0,,,12-17,,Turnover by M. Carter-Williams (bad pass; steal by S. Curry)
6:01.0,S. Curry makes 2-pt shot from 2 ft,2,14-17,,
5:43.0,,,14-17,,D. Wade misses 2-pt shot from 18 ft
5:43.0,Defensive rebound by W. Matthews,,14-17,,
5:22.0,D. Williams makes 2-pt shot from 19 ft (assist by W. Matthews),2,16-17,,
5:05.0,,,16-17,,Turnover by D. Wade (bad pass; steal by S. Curry)
4:58.0,S. Mejri makes 2-pt shot from 2 ft (assist by S. Curry),2,18-17,,
4:58.0,,,18-17,,Chicago full timeout
4:58.0,,,18-17,,R. Rondo enters the game for M. Carter-Williams
4:58.0,,,18-17,,D. McDermott enters the game for D. Wade
4:31.0,,,18-17,,P. Zipser misses 2-pt shot from 22 ft
4:30.0,,,18-17,,Offensive rebound by R. Lopez
4:24.0,,,18-19,2,R. Lopez makes 2-pt shot from 18 ft
4:05.0,S. Curry misses 3-pt shot from 26 ft,,18-19,,
4:04.0,,,18-19,,Defensive rebound by P. Zipser
3:52.0,Personal block foul by S. Curry (drawn by J. Butler),,18-19,,
3:50.0,Personal foul by D. Williams (drawn by D. McDermott),,18-19,,
3:50.0,D. Harris enters the game for D. Williams,,18-19,,
3:50.0,J. Barea enters the game for S. Curry,,18-19,,
3:46.0,,,18-22,3,D. McDermott makes 3-pt shot from 25 ft (assist by R. Rondo)
3:29.0,H. Barnes misses 2-pt shot from 17 ft,,18-22,,
3:28.0,,,18-22,,Defensive rebound by R. Rondo
3:21.0,Personal foul by J. Barea,,18-22,,
3:21.0,D. Nowitzki enters the game for H. Barnes,,18-22,,
3:12.0,,,18-24,2,R. Lopez makes 2-pt shot from 20 ft (assist by D. McDermott)
2:59.0,J. Barea makes 2-pt shot from 14 ft,2,20-24,,
2:42.0,,,20-24,,R. Rondo misses 2-pt shot from 21 ft
2:39.0,Defensive rebound by J. Barea,,20-24,,
2:30.0,W. Matthews misses 3-pt shot from 25 ft,,20-24,,
2:29.0,,,20-24,,Defensive rebound by D. McDermott
2:22.0,,,20-24,,P. Zipser misses 2-pt shot from 1 ft
2:21.0,Defensive rebound by S. Mejri,,20-24,,
2:11.0,D. Harris misses 3-pt shot from 25 ft,,20-24,,
2:08.0,Offensive rebound by S. Mejri,,20-24,,
1:53.0,Turnover by D. Harris (bad pass; steal by J. Butler),,20-24,,
1:49.0,,,20-24,,Shooting foul by S. Mejri (drawn by J. Butler)
1:49.0,,,20-25,1,J. Butler makes free throw 1 of 2
1:49.0,,,20-26,1,J. Butler makes free throw 2 of 2
1:49.0,,,20-25,,B. Portis enters the game for P. Zipser
1:49.0,D. Powell enters the game for S. Mejri,,20-25,,
1:39.0,Shooting foul by B. Portis (drawn by D. Nowitzki),,20-26,,
1:39.0,D. Nowitzki makes free throw 1 of 2,1,21-26,,
1:39.0,D. Nowitzki makes free throw 2 of 2,1,22-26,,
1:19.0,,,22-26,,J. Butler misses 2-pt shot from 9 ft
1:17.0,Defensive rebound by D. Nowitzki,,22-26,,
1:05.0,D. Nowitzki makes 2-pt shot from 13 ft (assist by J. Barea),2,24-26,,
0:57.0,,,24-26,,D. McDermott misses 2-pt shot from 15 ft
0:56.0,,,24-26,,Offensive rebound by R. Lopez
0:44.0,,,24-28,2,R. Lopez makes 2-pt shot at rim (assist by J. Butler)
0:31.0,D. Powell misses 3-pt shot from 25 ft,,24-28,,
0:30.0,,,24-28,,Defensive rebound by J. Butler
0:23.0,,,24-28,,B. Portis misses 2-pt shot from 20 ft
0:22.0,Defensive rebound by D. Nowitzki,,24-28,,
0:01.0,D. Nowitzki misses 2-pt shot from 13 ft,,24-28,,
0:00.0,,,24-28,,Defensive rebound by R. Rondo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by J. Barea (bad pass; steal by R. Rondo),,24-28,,
11:46.0,,,24-30,2,D. Wade makes 2-pt shot at rim (assist by R. Rondo)
11:33.0,J. Barea makes 3-pt shot from 26 ft (assist by D. Harris),3,27-30,,
11:18.0,,,27-30,,D. McDermott misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by Team,,27-30,,
11:18.0,,,27-30,,Loose ball foul by C. Felicio (drawn by D. Nowitzki)
11:00.0,D. Nowitzki misses 3-pt shot from 25 ft,,27-30,,
10:59.0,,,27-30,,Defensive rebound by D. Wade
10:48.0,,,27-30,,D. McDermott misses 2-pt shot from 19 ft (block by D. Harris)
10:48.0,,,27-30,,Offensive rebound by Team
10:43.0,,,27-30,,Shooting foul by D. Finney-Smith (drawn by D. Wade)
10:43.0,,,27-30,,D. Wade misses free throw 1 of 2
10:43.0,,,27-30,,Offensive rebound by Team
10:43.0,,,27-31,1,D. Wade makes free throw 2 of 2
10:36.0,D. Harris misses 2-pt shot from 3 ft (block by D. Wade),,27-31,,
10:36.0,Offensive rebound by Team,,27-31,,
10:34.0,D. Harris misses 2-pt shot at rim,,27-31,,
10:33.0,Offensive rebound by D. Harris,,27-31,,
10:33.0,D. Harris misses 2-pt shot from 1 ft,,27-31,,
10:32.0,Offensive rebound by D. Harris,,27-31,,
10:32.0,Turnover by D. Harris (lost ball; steal by C. Felicio),,27-31,,
10:26.0,,,27-31,,D. McDermott misses 2-pt shot from 8 ft
10:25.0,Defensive rebound by D. Nowitzki,,27-31,,
10:17.0,D. Powell makes 2-pt shot from 2 ft (assist by D. Harris),2,29-31,,
10:08.0,,,29-31,,D. Wade misses 2-pt shot from 19 ft
10:06.0,Defensive rebound by D. Nowitzki,,29-31,,
10:00.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,31-31,,
9:46.0,,,31-31,,R. Rondo misses 2-pt shot from 20 ft
9:45.0,Defensive rebound by D. Finney-Smith,,31-31,,
9:35.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by J. Barea),2,33-31,,
9:35.0,,,33-31,,Chicago full timeout
9:21.0,,,33-33,2,C. Felicio makes 2-pt shot at rim (assist by D. Wade)
9:05.0,,,33-33,,Personal foul by D. McDermott
8:59.0,J. Barea makes 2-pt shot from 2 ft (assist by D. Harris),2,35-33,,
8:39.0,,,35-33,,R. Rondo misses 2-pt shot from 17 ft
8:38.0,Defensive rebound by D. Powell,,35-33,,
8:30.0,J. Barea misses 3-pt shot from 26 ft,,35-33,,
8:29.0,,,35-33,,Defensive rebound by B. Portis
8:21.0,,,35-33,,D. McDermott misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by Team,,35-33,,
8:21.0,H. Barnes enters the game for D. Nowitzki,,35-33,,
8:03.0,Shooting foul by C. Felicio (drawn by D. Harris),,35-33,,
8:03.0,D. Harris makes free throw 1 of 2,1,36-33,,
8:03.0,D. Harris makes free throw 2 of 2,1,37-33,,
7:49.0,,,37-35,2,D. Wade makes 2-pt shot from 15 ft (assist by R. Rondo)
7:29.0,D. Harris makes 2-pt shot from 1 ft (assist by D. Powell),2,39-35,,
7:13.0,,,39-35,,D. Wade misses 2-pt shot from 19 ft
7:13.0,Defensive rebound by Team,,39-35,,
7:13.0,,,39-35,,Loose ball foul by C. Felicio (drawn by H. Barnes)
7:13.0,,,39-35,,N. Mirotic enters the game for D. McDermott
7:13.0,,,39-35,,R. Lopez enters the game for B. Portis
7:13.0,,,39-35,,J. Butler enters the game for C. Felicio
7:13.0,D. Williams enters the game for D. Harris,,39-35,,
7:13.0,W. Matthews enters the game for J. Barea,,39-35,,
7:13.0,S. Mejri enters the game for D. Powell,,39-35,,
7:13.0,S. Curry enters the game for D. Finney-Smith,,39-35,,
7:01.0,H. Barnes makes 2-pt shot from 18 ft (assist by D. Williams),2,41-35,,
6:44.0,,,41-37,2,R. Lopez makes 2-pt shot from 8 ft
6:29.0,S. Curry makes 3-pt shot from 22 ft (assist by S. Mejri),3,44-37,,
6:10.0,,,44-37,,D. Wade misses 2-pt shot from 16 ft
6:09.0,Defensive rebound by H. Barnes,,44-37,,
5:46.0,S. Curry makes 2-pt shot from 21 ft,2,46-37,,
5:45.0,,,46-37,,Chicago full timeout
5:45.0,,,46-37,,Chicago full timeout
5:45.0,,,46-37,,M. Carter-Williams enters the game for R. Rondo
5:33.0,,,46-39,2,J. Butler makes 2-pt shot from 15 ft
5:12.0,H. Barnes misses 2-pt shot from 4 ft (block by N. Mirotic),,46-39,,
5:10.0,,,46-39,,Defensive rebound by J. Butler
4:59.0,,,46-39,,Offensive charge foul by R. Lopez
4:59.0,,,46-39,,Turnover by R. Lopez (offensive foul)
4:43.0,D. Williams misses 3-pt shot from 24 ft,,46-39,,
4:43.0,,,46-39,,Defensive rebound by Team
4:43.0,Loose ball foul by H. Barnes (drawn by N. Mirotic),,46-39,,
4:43.0,,,46-39,,J. Grant enters the game for D. Wade
4:33.0,,,46-39,,Shooting foul by S. Mejri (drawn by J. Butler)
4:33.0,,,46-39,,J. Butler misses free throw 1 of 2
4:33.0,,,46-39,,Offensive rebound by Team
4:33.0,,,46-40,1,J. Butler makes free throw 2 of 2
4:21.0,D. Williams misses 3-pt shot from 25 ft,,46-40,,
4:20.0,,,46-40,,Defensive rebound by N. Mirotic
4:13.0,,,46-40,,J. Butler misses 2-pt shot from 17 ft
4:12.0,Defensive rebound by D. Williams,,46-40,,
4:01.0,W. Matthews misses 2-pt shot from 7 ft,,46-40,,
3:59.0,Offensive rebound by S. Mejri,,46-40,,
3:49.0,H. Barnes misses 2-pt shot from 11 ft,,46-40,,
3:48.0,,,46-40,,Defensive rebound by M. Carter-Williams
3:32.0,,,46-43,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler)
3:32.0,Dallas full timeout,,46-43,,
3:20.0,W. Matthews misses 2-pt shot from 22 ft,,46-43,,
3:19.0,Offensive rebound by S. Mejri,,46-43,,
3:07.0,D. Williams misses 2-pt shot from 12 ft (block by M. Carter-Williams),,46-43,,
3:05.0,,,46-43,,Defensive rebound by M. Carter-Williams
3:01.0,,,46-43,,J. Grant misses 3-pt shot from 26 ft
3:01.0,,,46-43,,Offensive rebound by N. Mirotic
3:01.0,,,46-43,,Chicago full timeout
2:57.0,,,46-43,,J. Butler misses 3-pt shot from 26 ft
2:56.0,Defensive rebound by S. Mejri,,46-43,,
2:45.0,,,46-43,,Personal foul by J. Grant (drawn by S. Curry)
2:45.0,S. Curry misses free throw 1 of 2,,46-43,,
2:45.0,Offensive rebound by Team,,46-43,,
2:45.0,S. Curry makes free throw 2 of 2,1,47-43,,
2:45.0,D. Nowitzki enters the game for S. Mejri,,46-43,,
2:32.0,,,47-45,2,R. Lopez makes 2-pt shot from 14 ft (assist by J. Butler)
2:12.0,H. Barnes misses 3-pt shot from 25 ft,,47-45,,
2:12.0,,,47-45,,Defensive rebound by Team
1:48.0,,,47-45,,J. Butler misses 2-pt shot from 18 ft
1:46.0,Defensive rebound by D. Nowitzki,,47-45,,
1:42.0,Turnover by W. Matthews (bad pass),,47-45,,
1:23.0,Violation by S. Curry (kicked ball),,47-45,,
1:13.0,,,47-45,,R. Lopez misses 2-pt shot from 21 ft
1:12.0,Defensive rebound by D. Williams,,47-45,,
1:00.0,Shooting foul by N. Mirotic (drawn by H. Barnes),,47-45,,
1:00.0,H. Barnes makes free throw 1 of 2,1,48-45,,
1:00.0,H. Barnes makes free throw 2 of 2,1,49-45,,
1:00.0,,,48-45,,D. Wade enters the game for J. Grant
0:50.0,,,49-45,,Shooting foul by W. Matthews (drawn by J. Butler)
0:50.0,,,49-46,1,J. Butler makes free throw 1 of 2
0:50.0,Dallas full timeout,,49-46,,
0:50.0,,,49-47,1,J. Butler makes free throw 2 of 2
0:34.0,W. Matthews makes 3-pt shot from 23 ft (assist by H. Barnes),3,52-47,,
0:20.0,,,52-47,,M. Carter-Williams misses 2-pt shot from 7 ft
0:18.0,Defensive rebound by W. Matthews,,52-47,,
0:01.0,D. Williams makes 2-pt shot from 6 ft,2,54-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,S. Curry makes 2-pt shot from 15 ft,2,56-47,,
11:29.0,,,56-47,,D. Wade misses 3-pt shot from 26 ft
11:28.0,Defensive rebound by W. Matthews,,56-47,,
11:09.0,D. Nowitzki misses 2-pt shot from 20 ft,,56-47,,
11:08.0,,,56-47,,Defensive rebound by M. Carter-Williams
11:01.0,,,56-49,2,M. Carter-Williams makes 2-pt shot from 15 ft
10:46.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,59-49,,
10:25.0,,,59-51,2,M. Carter-Williams makes 2-pt shot from 3 ft
10:17.0,,,59-51,,Personal foul by D. Wade (drawn by S. Curry)
10:06.0,Turnover by D. Williams (bad pass),,59-51,,
9:47.0,,,59-51,,R. Lopez misses 2-pt shot from 19 ft
9:46.0,Defensive rebound by W. Matthews,,59-51,,
9:35.0,D. Nowitzki misses 3-pt shot from 25 ft,,59-51,,
9:34.0,,,59-51,,Defensive rebound by J. Butler
9:23.0,,,59-51,,Turnover by J. Butler (lost ball; steal by D. Nowitzki)
9:15.0,S. Curry misses 2-pt shot from 22 ft,,59-51,,
9:14.0,Offensive rebound by H. Barnes,,59-51,,
9:05.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,62-51,,
8:46.0,,,62-51,,D. Wade misses 2-pt shot from 16 ft
8:46.0,Defensive rebound by D. Nowitzki,,62-51,,
8:38.0,H. Barnes makes 2-pt shot from 6 ft (assist by D. Williams),2,64-51,,
8:38.0,,,64-51,,Chicago full timeout
8:21.0,,,64-51,,Turnover by R. Lopez (3 sec)
8:10.0,,,64-51,,Personal foul by M. Carter-Williams (drawn by D. Williams)
8:02.0,W. Matthews misses 2-pt shot from 17 ft,,64-51,,
8:01.0,,,64-51,,Defensive rebound by P. Zipser
7:45.0,,,64-51,,Offensive charge foul by M. Carter-Williams
7:45.0,,,64-51,,Turnover by M. Carter-Williams (offensive foul)
7:45.0,,,64-51,,Violation by Team (jump ball)
7:31.0,S. Curry misses 3-pt shot from 24 ft,,64-51,,
7:30.0,,,64-51,,Defensive rebound by J. Butler
7:23.0,,,64-51,,Shooting foul by W. Matthews (drawn by J. Butler)
7:23.0,,,64-52,1,J. Butler makes free throw 1 of 2
7:23.0,,,64-53,1,J. Butler makes free throw 2 of 2
7:13.0,Turnover by S. Curry (bad pass; steal by M. Carter-Williams),,64-53,,
6:57.0,,,64-55,2,D. Wade makes 2-pt shot from 18 ft (assist by J. Butler)
6:57.0,Dallas full timeout,,64-55,,
6:57.0,S. Mejri enters the game for D. Nowitzki,,64-55,,
6:33.0,S. Mejri misses 2-pt shot from 18 ft (block by R. Lopez),,64-55,,
6:31.0,,,64-55,,Defensive rebound by D. Wade
6:30.0,Personal foul by D. Williams (drawn by D. Wade),,64-55,,
6:22.0,,,64-55,,Turnover by R. Lopez (lost ball)
6:01.0,H. Barnes misses 2-pt shot from 18 ft,,64-55,,
6:00.0,,,64-55,,Defensive rebound by J. Butler
5:47.0,,,64-55,,D. Wade misses 2-pt shot from 12 ft
5:46.0,,,64-55,,Offensive rebound by R. Lopez
5:46.0,,,64-55,,R. Lopez misses 2-pt shot from 2 ft
5:45.0,,,64-55,,Offensive rebound by D. Wade
5:43.0,,,64-55,,D. Wade misses 2-pt shot from 2 ft
5:42.0,Defensive rebound by S. Curry,,64-55,,
5:36.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Williams),3,67-55,,
5:14.0,,,67-57,2,D. Wade makes 2-pt shot from 16 ft (assist by J. Butler)
5:00.0,D. Williams makes 2-pt shot from 18 ft,2,69-57,,
4:43.0,,,69-57,,Offensive foul by D. Wade
4:43.0,,,69-57,,Turnover by D. Wade (offensive foul)
4:43.0,,,69-57,,D. McDermott enters the game for D. Wade
4:43.0,,,69-57,,R. Rondo enters the game for M. Carter-Williams
4:29.0,Turnover by D. Williams (dbl dribble),,69-57,,
4:18.0,,,69-59,2,J. Butler makes 2-pt shot from 1 ft
4:18.0,,,69-59,,Shooting foul by S. Mejri (drawn by J. Butler)
4:18.0,,,69-60,1,J. Butler makes free throw 1 of 1
4:18.0,J. Barea enters the game for D. Williams,,69-59,,
4:18.0,D. Harris enters the game for S. Curry,,69-59,,
4:05.0,Offensive foul by S. Mejri,,69-60,,
4:05.0,Turnover by S. Mejri (offensive foul),,69-60,,
3:49.0,,,69-60,,P. Zipser misses 3-pt shot from 24 ft
3:46.0,,,69-60,,Offensive rebound by J. Butler
3:46.0,,,69-60,,Turnover by J. Butler (lost ball; steal by D. Harris)
3:29.0,H. Barnes makes 2-pt shot from 1 ft (assist by J. Barea),2,71-60,,
3:12.0,,,71-62,2,J. Butler makes 2-pt shot from 20 ft
2:56.0,H. Barnes misses 2-pt shot from 9 ft,,71-62,,
2:55.0,,,71-62,,Defensive rebound by D. McDermott
2:52.0,,,71-64,2,P. Zipser makes 2-pt shot from 2 ft (assist by D. McDermott)
2:51.0,Dallas full timeout,,71-64,,
2:51.0,,,71-64,,N. Mirotic enters the game for P. Zipser
2:51.0,D. Powell enters the game for H. Barnes,,71-64,,
2:51.0,D. Nowitzki enters the game for S. Mejri,,71-64,,
2:29.0,D. Nowitzki misses 2-pt shot from 14 ft,,71-64,,
2:29.0,,,71-64,,Defensive rebound by D. McDermott
2:15.0,Personal foul by W. Matthews (drawn by J. Butler),,71-64,,
2:15.0,Technical foul by W. Matthews (drawn by J. Butler),,71-64,,
2:15.0,,,71-65,1,J. Butler makes technical free throw
2:05.0,,,71-65,,D. McDermott misses 2-pt shot from 2 ft
2:04.0,,,71-65,,Offensive rebound by R. Lopez
2:04.0,,,71-67,2,R. Lopez makes 2-pt shot from 1 ft
1:55.0,Shooting foul by D. McDermott (drawn by D. Harris),,71-67,,
1:55.0,D. Harris makes free throw 1 of 2,1,72-67,,
1:55.0,D. Harris makes free throw 2 of 2,1,73-67,,
1:38.0,,,73-67,,Shooting foul by D. Harris (drawn by J. Butler)
1:38.0,,,73-68,1,J. Butler makes free throw 1 of 2
1:38.0,,,73-69,1,J. Butler makes free throw 2 of 2
1:25.0,,,73-69,,Personal foul by N. Mirotic (drawn by D. Nowitzki)
1:25.0,D. Nowitzki misses free throw 1 of 2,,73-69,,
1:25.0,Offensive rebound by Team,,73-69,,
1:25.0,D. Nowitzki makes free throw 2 of 2,1,74-69,,
1:10.0,,,74-71,2,R. Lopez makes 2-pt shot from 16 ft (assist by J. Butler)
1:00.0,Shooting foul by D. McDermott (drawn by D. Harris),,74-71,,
1:00.0,D. Harris makes free throw 1 of 2,1,75-71,,
1:00.0,D. Harris makes free throw 2 of 2,1,76-71,,
0:37.0,,,76-73,2,R. Lopez makes 2-pt shot from 6 ft (assist by J. Butler)
0:37.0,,,76-73,,Shooting foul by D. Nowitzki (drawn by R. Lopez)
0:37.0,,,76-74,1,R. Lopez makes free throw 1 of 1
0:28.0,D. Harris misses 3-pt shot from 25 ft,,76-74,,
0:27.0,,,76-74,,Defensive rebound by D. McDermott
0:14.0,,,76-74,,N. Mirotic misses 2-pt shot from 2 ft
0:13.0,Defensive rebound by D. Nowitzki,,76-74,,
0:01.0,D. Harris misses 2-pt shot from 18 ft,,76-74,,
0:00.0,,,76-74,,Defensive rebound by R. Rondo
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,76-76,2,C. Felicio makes 2-pt shot from 2 ft (assist by R. Rondo)
11:20.0,D. Powell makes 2-pt shot from 14 ft (assist by J. Barea),2,78-76,,
11:04.0,,,78-78,2,D. Wade makes 2-pt shot from 18 ft
10:55.0,,,78-78,,Personal foul by C. Felicio (drawn by D. Harris)
10:45.0,,,78-78,,Personal foul by N. Mirotic (drawn by H. Barnes)
10:36.0,H. Barnes makes 2-pt shot from 2 ft (assist by J. Barea),2,80-78,,
10:16.0,,,80-78,,Shooting foul by D. Finney-Smith (drawn by C. Felicio)
10:16.0,,,80-79,1,C. Felicio makes free throw 1 of 2
10:16.0,,,80-80,1,C. Felicio makes free throw 2 of 2
10:03.0,J. Barea makes 2-pt shot from 11 ft,2,82-80,,
9:43.0,,,82-80,,D. McDermott misses 3-pt shot from 23 ft
9:41.0,Defensive rebound by H. Barnes,,82-80,,
9:29.0,J. Barea misses 3-pt shot from 26 ft,,82-80,,
9:28.0,,,82-80,,Defensive rebound by D. McDermott
9:22.0,,,82-80,,Offensive charge foul by D. Wade
9:22.0,,,82-80,,Turnover by D. Wade (offensive foul)
9:22.0,D. Nowitzki enters the game for D. Powell,,82-80,,
9:08.0,,,82-80,,Violation by C. Felicio (kicked ball)
8:56.0,J. Barea makes 3-pt shot from 26 ft,3,85-80,,
8:56.0,,,85-80,,Chicago full timeout
8:56.0,,,85-80,,J. Butler enters the game for D. McDermott
8:56.0,W. Matthews enters the game for D. Finney-Smith,,85-80,,
8:46.0,,,85-80,,D. Wade misses 2-pt shot from 14 ft (block by D. Harris)
8:46.0,,,85-80,,Offensive rebound by Team
8:44.0,,,85-80,,Shooting foul by D. Nowitzki (drawn by J. Butler)
8:44.0,,,85-81,1,J. Butler makes free throw 1 of 2
8:44.0,,,85-81,,J. Butler misses free throw 2 of 2
8:42.0,Defensive rebound by D. Nowitzki,,85-81,,
8:20.0,Turnover by H. Barnes (bad pass; steal by N. Mirotic),,85-81,,
8:11.0,,,85-84,3,N. Mirotic makes 3-pt shot from 27 ft (assist by C. Felicio)
7:59.0,J. Barea misses 2-pt shot from 10 ft,,85-84,,
7:57.0,,,85-84,,Defensive rebound by N. Mirotic
7:53.0,,,85-84,,Shooting foul by D. Harris (drawn by J. Butler)
7:53.0,,,85-85,1,J. Butler makes free throw 1 of 2
7:53.0,,,85-86,1,J. Butler makes free throw 2 of 2
7:35.0,,,85-86,,Personal foul by N. Mirotic (drawn by H. Barnes)
7:20.0,H. Barnes misses 2-pt shot from 17 ft,,85-86,,
7:19.0,,,85-86,,Defensive rebound by J. Butler
7:01.0,S. Mejri enters the game for D. Nowitzki,,85-86,,
7:01.0,S. Curry enters the game for D. Harris,,85-86,,
7:01.0,D. Williams enters the game for J. Barea,,85-86,,
6:57.0,,,85-86,,D. Wade misses 2-pt shot from 16 ft
6:56.0,,,85-86,,Offensive rebound by C. Felicio
6:50.0,,,85-88,2,C. Felicio makes 2-pt shot from 3 ft (assist by R. Rondo)
6:30.0,S. Curry makes 2-pt shot from 20 ft (assist by D. Williams),2,87-88,,
6:10.0,,,87-88,,Turnover by R. Rondo (bad pass; steal by D. Williams)
6:08.0,H. Barnes makes 2-pt shot at rim,2,89-88,,
5:46.0,,,89-88,,J. Butler misses 2-pt shot from 7 ft
5:44.0,,,89-88,,Offensive rebound by N. Mirotic
5:36.0,,,89-88,,R. Rondo misses 2-pt shot from 21 ft
5:35.0,Defensive rebound by D. Williams,,89-88,,
5:22.0,D. Williams misses 2-pt shot from 6 ft,,89-88,,
5:22.0,,,89-88,,Defensive rebound by Team
5:22.0,,,89-88,,Chicago full timeout
5:22.0,,,89-88,,D. McDermott enters the game for R. Rondo
5:22.0,,,89-88,,R. Lopez enters the game for C. Felicio
5:07.0,,,89-88,,J. Butler misses 2-pt shot from 17 ft
5:06.0,Defensive rebound by S. Curry,,89-88,,
4:48.0,H. Barnes misses 2-pt shot from 22 ft,,89-88,,
4:48.0,,,89-88,,Defensive rebound by D. Wade
4:48.0,Personal foul by S. Mejri (drawn by D. Wade),,89-88,,
4:29.0,,,89-90,2,D. Wade makes 2-pt shot from 2 ft
4:18.0,,,89-90,,Personal foul by J. Butler (drawn by D. Williams)
4:11.0,W. Matthews misses 3-pt shot from 25 ft,,89-90,,
4:10.0,,,89-90,,Defensive rebound by D. McDermott
3:56.0,,,89-92,2,D. McDermott makes 2-pt shot from 3 ft (assist by J. Butler)
3:48.0,Dallas full timeout,,89-92,,
3:37.0,Shooting foul by D. McDermott (drawn by S. Mejri),,89-92,,
3:37.0,S. Mejri misses free throw 1 of 2,,89-92,,
3:37.0,Offensive rebound by Team,,89-92,,
3:37.0,S. Mejri makes free throw 2 of 2,1,90-92,,
3:18.0,,,90-94,2,D. Wade makes 2-pt shot from 20 ft (assist by J. Butler)
3:03.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Williams),3,93-94,,
2:46.0,,,93-94,,N. Mirotic misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by D. Williams,,93-94,,
2:21.0,D. Williams makes 2-pt shot from 9 ft,2,95-94,,
1:56.0,Jump ball: W. Matthews vs. D. Wade (J. Butler gains possession),,,,Jump ball: W. Matthews vs. D. Wade (J. Butler gains possession)
1:54.0,,,95-94,,Turnover by J. Butler (lost ball)
1:54.0,D. Nowitzki enters the game for S. Mejri,,95-94,,
1:54.0,,,95-94,,M. Carter-Williams enters the game for D. McDermott
1:44.0,D. Williams misses 3-pt shot from 25 ft,,95-94,,
1:43.0,,,95-94,,Defensive rebound by D. Wade
1:24.0,,,95-94,,D. Wade misses 2-pt shot from 15 ft
