time,Philadelphia,pts.away,score,pts.home,Brooklyn
6:06.0,,,10-15,,B. Lopez misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by R. Covington,,10-15,,
5:56.0,T. McConnell misses 2-pt shot from 10 ft,,10-15,,
5:55.0,,,10-15,,Defensive rebound by J. Lin
5:50.0,,,10-15,,Turnover by C. LeVert (bad pass)
5:50.0,,,10-15,,I. Whitehead enters the game for R. Foye
5:50.0,J. Anderson enters the game for R. Covington,,10-15,,
5:39.0,S. Long makes 2-pt shot from 20 ft (assist by T. McConnell),2,12-15,,
5:26.0,,,12-17,2,J. Lin makes 2-pt shot from 3 ft
5:08.0,D. Saric makes 2-pt shot from 5 ft,2,14-17,,
4:56.0,,,14-17,,J. Lin misses 2-pt shot from 18 ft
4:53.0,,,14-17,,Offensive rebound by B. Lopez
4:52.0,,,14-19,2,B. Lopez makes 2-pt shot from 2 ft
4:39.0,N. Stauskas makes 3-pt shot from 26 ft (assist by T. McConnell),3,17-19,,
4:26.0,,,17-19,,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by J. Anderson)
4:24.0,Defensive rebound by J. Anderson,,17-19,,
4:12.0,,,17-19,,Personal foul by B. Lopez (drawn by D. Saric)
4:12.0,D. Saric makes free throw 1 of 2,1,18-19,,
4:12.0,D. Saric makes free throw 2 of 2,1,19-19,,
4:12.0,T. Luwawu-Cabarrot enters the game for T. McConnell,,18-19,,
4:12.0,,,18-19,,K. McDaniels enters the game for R. Hollis-Jefferson
4:12.0,,,18-19,,Q. Acy enters the game for C. LeVert
4:04.0,,,19-19,,B. Lopez misses 3-pt shot from 27 ft
4:03.0,Defensive rebound by J. Anderson,,19-19,,
3:57.0,J. Anderson misses 2-pt shot from 18 ft,,19-19,,
3:55.0,,,19-19,,Defensive rebound by I. Whitehead
3:40.0,,,19-19,,K. McDaniels misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by S. Long,,19-19,,
3:29.0,D. Saric makes 3-pt shot from 25 ft (assist by J. Anderson),3,22-19,,
3:29.0,,,22-19,,Brooklyn full timeout
3:29.0,R. Covington enters the game for D. Saric,,22-19,,
3:29.0,,,22-19,,S. Dinwiddie enters the game for J. Lin
3:29.0,,,22-19,,T. Booker enters the game for B. Lopez
3:10.0,,,22-19,,Q. Acy misses 3-pt shot from 26 ft
3:09.0,Defensive rebound by Team,,22-19,,
2:57.0,R. Covington makes 2-pt shot from 2 ft (assist by N. Stauskas),2,24-19,,
2:35.0,,,24-21,2,S. Dinwiddie makes 2-pt shot from 3 ft
2:23.0,N. Stauskas makes 3-pt shot from 24 ft,3,27-21,,
2:16.0,,,27-21,,Shooting foul by N. Stauskas (drawn by S. Dinwiddie)
2:16.0,,,27-21,,S. Dinwiddie misses free throw 1 of 3
2:16.0,,,27-21,,Offensive rebound by Team
2:16.0,,,27-21,,S. Dinwiddie misses free throw 2 of 3
2:16.0,,,27-21,,Offensive rebound by Team
2:16.0,,,27-22,1,S. Dinwiddie makes free throw 3 of 3
2:16.0,T. Splitter enters the game for S. Long,,27-21,,
1:59.0,T. Splitter makes 2-pt shot from 3 ft (assist by T. Luwawu-Cabarrot),2,29-22,,
1:49.0,,,29-22,,Turnover by I. Whitehead (bad pass; steal by T. Luwawu-Cabarrot)
1:46.0,J. Anderson makes 2-pt shot from 2 ft (assist by T. Luwawu-Cabarrot),2,31-22,,
1:37.0,,,31-24,2,K. McDaniels makes 2-pt shot from 5 ft
1:20.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,31-24,,
1:19.0,,,31-24,,Defensive rebound by T. Booker
1:09.0,,,31-24,,I. Whitehead misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by R. Covington,,31-24,,
1:00.0,R. Covington misses 3-pt shot from 26 ft,,31-24,,
0:59.0,,,31-24,,Defensive rebound by I. Whitehead
0:46.0,,,31-24,,T. Booker misses 2-pt shot from 2 ft
0:44.0,Defensive rebound by T. Splitter,,31-24,,
0:35.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,31-24,,
0:34.0,,,31-24,,Defensive rebound by T. Booker
0:27.0,,,31-24,,Turnover by T. Booker (bad pass; steal by R. Covington)
0:08.0,N. Stauskas misses 3-pt shot from 26 ft,,31-24,,
0:05.0,,,31-24,,Defensive rebound by K. McDaniels
0:03.0,,,31-24,,Turnover by K. McDaniels (lost ball; steal by R. Covington)
0:02.0,J. Anderson misses 2-pt shot from 6 ft,,31-24,,
0:00.0,Offensive rebound by Team,,31-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,31-24,,Shooting foul by R. Covington (drawn by T. Booker)
11:50.0,,,31-25,1,T. Booker makes free throw 1 of 2
11:50.0,,,31-26,1,T. Booker makes free throw 2 of 2
11:25.0,R. Covington makes 3-pt shot from 25 ft (assist by R. Holmes),3,34-26,,
11:10.0,,,34-26,,S. Kilpatrick misses 2-pt shot from 10 ft
11:09.0,Defensive rebound by R. Covington,,34-26,,
10:59.0,R. Holmes makes 2-pt shot at rim (assist by R. Covington),2,36-26,,
10:42.0,Personal foul by J. Anderson (drawn by S. Dinwiddie),,36-26,,
10:34.0,,,36-28,2,S. Kilpatrick makes 2-pt shot from 2 ft
10:18.0,R. Holmes makes 2-pt shot at rim (assist by T. Luwawu-Cabarrot),2,38-28,,
10:01.0,,,38-30,2,S. Kilpatrick makes 2-pt shot from 1 ft
9:50.0,R. Holmes misses 2-pt shot from 20 ft,,38-30,,
9:49.0,,,38-30,,Defensive rebound by T. Booker
9:34.0,,,38-33,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
9:34.0,Philadelphia full timeout,,38-33,,
9:34.0,N. Stauskas enters the game for J. Anderson,,38-33,,
9:15.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,40-33,,
9:01.0,,,40-33,,Q. Acy misses 2-pt shot from 2 ft
9:00.0,Defensive rebound by T. Luwawu-Cabarrot,,40-33,,
8:51.0,R. Covington makes 2-pt shot from 2 ft,2,42-33,,
8:28.0,,,42-33,,Q. Acy misses 2-pt shot from 11 ft
8:26.0,Defensive rebound by T. McConnell,,42-33,,
8:12.0,Turnover by R. Holmes (bad pass),,42-33,,
8:12.0,D. Saric enters the game for R. Covington,,42-33,,
7:54.0,Personal foul by R. Holmes (drawn by S. Dinwiddie),,42-33,,
7:54.0,S. Long enters the game for R. Holmes,,42-33,,
7:45.0,,,42-36,3,S. Dinwiddie makes 3-pt shot from 26 ft
7:39.0,Turnover by T. McConnell (bad pass; steal by S. Dinwiddie),,42-36,,
7:36.0,,,42-36,,Shooting foul by D. Saric (drawn by S. Dinwiddie)
7:36.0,,,42-37,1,S. Dinwiddie makes free throw 1 of 2
7:36.0,,,42-38,1,S. Dinwiddie makes free throw 2 of 2
7:22.0,Turnover by S. Long (lost ball; steal by K. McDaniels),,42-38,,
7:07.0,,,42-38,,B. Lopez enters the game for Q. Acy
7:07.0,,,42-38,,I. Whitehead enters the game for S. Dinwiddie
7:07.0,,,42-38,,J. Lin enters the game for K. McDaniels
7:01.0,,,42-38,,S. Kilpatrick misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by S. Long,,42-38,,
6:50.0,Offensive foul by S. Long (drawn by B. Lopez),,42-38,,
6:50.0,Turnover by S. Long (offensive foul),,42-38,,
6:50.0,Personal foul by S. Long (drawn by B. Lopez),,42-38,,
6:50.0,,,42-39,1,B. Lopez makes free throw 1 of 2
6:50.0,,,42-39,,B. Lopez misses free throw 2 of 2
6:50.0,T. Splitter enters the game for S. Long,,42-39,,
6:49.0,Defensive rebound by D. Saric,,42-39,,
6:39.0,D. Saric misses 2-pt shot from 18 ft,,42-39,,
6:38.0,,,42-39,,Defensive rebound by I. Whitehead
6:26.0,,,42-39,,C. LeVert enters the game for S. Kilpatrick
6:22.0,,,42-39,,J. Lin misses 2-pt shot from 2 ft
6:21.0,Defensive rebound by D. Saric,,42-39,,
6:07.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft,3,45-39,,
5:57.0,,,45-39,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Lin)
5:57.0,Official timeout,,45-39,,
5:57.0,,,45-40,1,J. Lin makes free throw 1 of 2
5:57.0,,,45-40,,J. Lin misses free throw 2 of 2
5:57.0,,,45-39,,R. Hollis-Jefferson enters the game for T. Booker
5:55.0,,,45-40,,Offensive rebound by R. Hollis-Jefferson
5:54.0,Personal foul by T. Splitter (drawn by R. Hollis-Jefferson),,45-40,,
5:54.0,,,45-40,,R. Hollis-Jefferson misses free throw 1 of 2
5:54.0,,,45-40,,Offensive rebound by Team
5:54.0,,,45-41,1,R. Hollis-Jefferson makes free throw 2 of 2
5:45.0,,,45-41,,Personal foul by C. LeVert (drawn by N. Stauskas)
5:39.0,T. McConnell misses 2-pt shot from 3 ft (block by I. Whitehead),,45-41,,
5:37.0,,,45-41,,Defensive rebound by B. Lopez
5:29.0,,,45-41,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by T. Splitter)
5:27.0,Defensive rebound by N. Stauskas,,45-41,,
5:21.0,,,45-41,,Personal foul by C. LeVert (drawn by D. Saric)
5:15.0,Shooting foul by I. Whitehead (drawn by D. Saric),,45-41,,
5:15.0,D. Saric makes free throw 1 of 2,1,46-41,,
5:15.0,D. Saric misses free throw 2 of 2,,46-41,,
5:13.0,,,46-41,,Defensive rebound by I. Whitehead
4:59.0,,,46-41,,J. Lin misses 2-pt shot from 15 ft
4:58.0,Defensive rebound by T. Luwawu-Cabarrot,,46-41,,
4:50.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by J. Lin),,46-41,,
4:46.0,,,46-41,,C. LeVert misses 2-pt shot from 2 ft (block by T. McConnell)
4:45.0,,,46-41,,Offensive rebound by R. Hollis-Jefferson
4:45.0,,,46-43,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
4:18.0,D. Saric makes 2-pt shot from 2 ft,2,48-43,,
4:04.0,,,48-45,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by I. Whitehead)
3:47.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by T. McConnell),3,51-45,,
3:47.0,,,51-45,,Brooklyn full timeout
3:47.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,51-45,,
3:47.0,R. Covington enters the game for T. McConnell,,51-45,,
3:47.0,S. Long enters the game for T. Splitter,,51-45,,
3:47.0,,,51-45,,Violation by Team (jump ball)
3:33.0,,,51-47,2,B. Lopez makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson)
3:17.0,S. Long misses 3-pt shot from 25 ft,,51-47,,
3:16.0,,,51-47,,Defensive rebound by J. Lin
3:15.0,Personal foul by S. Long (drawn by J. Lin),,51-47,,
3:15.0,,,51-48,1,J. Lin makes free throw 1 of 2
3:15.0,,,51-49,1,J. Lin makes free throw 2 of 2
3:15.0,T. Splitter enters the game for S. Long,,51-48,,
3:05.0,N. Stauskas misses 2-pt shot from 21 ft,,51-49,,
3:04.0,,,51-49,,Defensive rebound by R. Hollis-Jefferson
2:59.0,,,51-51,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
2:34.0,D. Saric makes 2-pt shot from 5 ft,2,53-51,,
2:28.0,,,53-53,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Lin)
2:06.0,J. Anderson misses 3-pt shot from 26 ft,,53-53,,
2:05.0,Offensive rebound by D. Saric,,53-53,,
1:59.0,J. Anderson misses 2-pt shot from 2 ft (block by B. Lopez),,53-53,,
1:58.0,Offensive rebound by N. Stauskas,,53-53,,
1:55.0,,,53-53,,Personal foul by B. Lopez (drawn by J. Anderson)
1:55.0,,,53-53,,Violation by C. LeVert (kicked ball)
1:46.0,N. Stauskas makes 3-pt shot from 25 ft,3,56-53,,
1:35.0,,,56-55,2,J. Lin makes 2-pt shot from 2 ft (assist by B. Lopez)
1:27.0,Turnover by N. Stauskas (bad pass; steal by R. Hollis-Jefferson),,56-55,,
1:23.0,,,56-55,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
1:21.0,Defensive rebound by D. Saric,,56-55,,
1:17.0,R. Covington misses 2-pt shot from 3 ft,,56-55,,
1:16.0,Offensive rebound by T. Splitter,,56-55,,
1:14.0,T. Splitter misses 2-pt shot from 2 ft,,56-55,,
1:13.0,Offensive rebound by T. Splitter,,56-55,,
1:12.0,Jump ball: J. Lin vs. T. Splitter (R. Covington gains possession),,,,Jump ball: J. Lin vs. T. Splitter (R. Covington gains possession)
1:11.0,Philadelphia full timeout,,56-55,,
1:11.0,T. McConnell enters the game for T. Splitter,,56-55,,
0:57.0,D. Saric misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson),,56-55,,
0:53.0,Offensive rebound by J. Anderson,,56-55,,
0:53.0,J. Anderson misses 2-pt shot from 2 ft,,56-55,,
0:52.0,,,56-55,,Defensive rebound by C. LeVert
0:44.0,,,56-55,,J. Lin misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by J. Anderson,,56-55,,
0:38.0,,,56-55,,Violation by I. Whitehead (def goaltending)
0:38.0,J. Anderson makes 2-pt shot from 2 ft,2,58-55,,
0:31.0,,,58-55,,J. Lin misses 3-pt shot from 25 ft
0:29.0,,,58-55,,Offensive rebound by B. Lopez
0:28.0,,,58-57,2,B. Lopez makes 2-pt shot at rim
0:08.0,Turnover by D. Saric (lost ball; steal by J. Lin),,58-57,,
0:01.0,,,58-57,,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by J. Anderson)
0:00.0,,,58-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,58-59,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by B. Lopez)
11:30.0,Turnover by D. Saric (lost ball; steal by J. Lin),,58-59,,
11:26.0,,,58-59,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
11:24.0,Defensive rebound by T. Luwawu-Cabarrot,,58-59,,
11:18.0,Shooting foul by R. Foye (drawn by R. Covington),,58-59,,
11:18.0,R. Covington makes free throw 1 of 2,1,59-59,,
11:18.0,R. Covington makes free throw 2 of 2,1,60-59,,
11:05.0,,,60-59,,R. Foye misses 2-pt shot from 20 ft
11:04.0,Defensive rebound by T. Luwawu-Cabarrot,,60-59,,
10:55.0,R. Covington makes 2-pt shot from 20 ft,2,62-59,,
10:46.0,,,62-61,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Lin)
10:24.0,R. Covington misses 3-pt shot from 25 ft,,62-61,,
10:23.0,,,62-61,,Defensive rebound by C. LeVert
10:15.0,,,62-61,,Turnover by C. LeVert (bad pass; steal by S. Long)
10:09.0,R. Covington makes 2-pt shot from 2 ft (assist by S. Long),2,64-61,,
9:58.0,Personal foul by S. Long (drawn by B. Lopez),,64-61,,
9:58.0,R. Holmes enters the game for S. Long,,64-61,,
9:46.0,,,64-61,,R. Hollis-Jefferson misses 2-pt shot from 4 ft
9:45.0,,,64-61,,Offensive rebound by R. Hollis-Jefferson
9:45.0,,,64-61,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
9:44.0,Jump ball: R. Hollis-Jefferson vs. R. Holmes (B. Lopez gains possession),,,,Jump ball: R. Hollis-Jefferson vs. R. Holmes (B. Lopez gains possession)
9:44.0,,,64-61,,Offensive rebound by Team
9:31.0,,,64-64,3,C. LeVert makes 3-pt shot from 26 ft (assist by B. Lopez)
9:19.0,D. Saric misses 2-pt shot from 19 ft,,64-64,,
9:18.0,,,64-64,,Defensive rebound by B. Lopez
9:13.0,Personal foul by T. Luwawu-Cabarrot (drawn by C. LeVert),,64-64,,
9:13.0,,,64-64,,C. LeVert misses free throw 1 of 2
9:13.0,,,64-64,,Offensive rebound by Team
9:13.0,,,64-65,1,C. LeVert makes free throw 2 of 2
9:05.0,T. McConnell makes 2-pt shot from 18 ft,2,66-65,,
8:49.0,,,66-67,2,J. Lin makes 2-pt shot from 6 ft
8:33.0,R. Covington misses 3-pt shot from 24 ft,,66-67,,
8:32.0,,,66-67,,Defensive rebound by R. Foye
8:28.0,,,66-67,,Turnover by R. Foye (bad pass)
8:12.0,T. McConnell misses 2-pt shot from 20 ft,,66-67,,
8:11.0,,,66-67,,Defensive rebound by B. Lopez
8:03.0,,,66-67,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
8:02.0,Defensive rebound by T. Luwawu-Cabarrot,,66-67,,
7:55.0,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell),2,68-67,,
7:47.0,Personal foul by R. Covington (drawn by J. Lin),,68-67,,
7:47.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,68-67,,
7:41.0,,,68-67,,C. LeVert misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by T. McConnell,,68-67,,
7:31.0,,,68-67,,Personal foul by J. Lin (drawn by D. Saric)
7:31.0,J. Anderson enters the game for R. Covington,,68-67,,
7:26.0,J. Anderson makes 2-pt shot at rim (assist by T. McConnell),2,70-67,,
7:23.0,,,70-67,,Brooklyn full timeout
7:08.0,,,70-67,,J. Lin misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by Team,,70-67,,
6:52.0,R. Holmes misses 2-pt shot from 8 ft,,70-67,,
6:51.0,,,70-67,,Defensive rebound by C. LeVert
6:42.0,,,70-70,3,C. LeVert makes 3-pt shot from 25 ft (assist by J. Lin)
6:30.0,R. Holmes misses 3-pt shot from 26 ft,,70-70,,
6:29.0,,,70-70,,Defensive rebound by J. Lin
6:23.0,,,70-70,,Turnover by B. Lopez (bad pass; steal by T. McConnell)
6:17.0,T. McConnell misses 2-pt shot from 6 ft,,70-70,,
6:16.0,,,70-70,,Defensive rebound by B. Lopez
6:11.0,,,70-70,,Turnover by R. Hollis-Jefferson (traveling)
5:58.0,,,70-70,,Personal foul by R. Foye (drawn by R. Holmes)
5:58.0,,,70-70,,I. Whitehead enters the game for C. LeVert
5:48.0,R. Holmes misses 3-pt shot from 25 ft,,70-70,,
5:47.0,,,70-70,,Defensive rebound by R. Hollis-Jefferson
5:37.0,,,70-70,,R. Foye misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by R. Holmes,,70-70,,
5:22.0,D. Saric makes 2-pt shot from 10 ft,2,72-70,,
5:14.0,,,72-72,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Lin)
5:01.0,J. Anderson misses 3-pt shot from 25 ft,,72-72,,
4:59.0,,,72-72,,Defensive rebound by J. Lin
4:48.0,,,72-75,3,B. Lopez makes 3-pt shot from 27 ft (assist by J. Lin)
4:40.0,Philadelphia full timeout,,72-75,,
4:40.0,,,72-75,,S. Dinwiddie enters the game for R. Hollis-Jefferson
4:40.0,,,72-75,,Q. Acy enters the game for R. Foye
4:40.0,,,72-75,,K. McDaniels enters the game for J. Lin
4:40.0,R. Covington enters the game for D. Saric,,72-75,,
4:27.0,T. McConnell misses 2-pt shot from 15 ft,,72-75,,
4:26.0,,,72-75,,Defensive rebound by K. McDaniels
4:11.0,T. Luwawu-Cabarrot enters the game for T. McConnell,,72-75,,
4:08.0,,,72-75,,Shooting foul by J. Anderson (drawn by S. Dinwiddie)
4:08.0,,,72-76,1,S. Dinwiddie makes free throw 1 of 3
4:08.0,,,72-77,1,S. Dinwiddie makes free throw 2 of 3
4:08.0,,,72-77,,S. Dinwiddie misses free throw 3 of 3
4:08.0,,,72-77,,T. Booker enters the game for B. Lopez
4:07.0,Defensive rebound by R. Covington,,72-77,,
3:47.0,J. Anderson misses 2-pt shot from 12 ft,,72-77,,
3:46.0,Offensive rebound by R. Holmes,,72-77,,
3:45.0,R. Holmes misses 2-pt shot at rim,,72-77,,
3:44.0,,,72-77,,Defensive rebound by T. Booker
3:28.0,,,72-77,,Offensive foul by K. McDaniels
3:28.0,,,72-77,,Turnover by K. McDaniels (offensive foul)
3:28.0,D. Saric enters the game for R. Holmes,,72-77,,
3:17.0,N. Stauskas misses 3-pt shot from 25 ft,,72-77,,
3:16.0,,,72-77,,Defensive rebound by S. Dinwiddie
3:01.0,Personal block foul by R. Covington (drawn by Q. Acy),,72-77,,
3:01.0,,,72-78,1,Q. Acy makes free throw 1 of 2
3:01.0,,,72-78,,Q. Acy misses free throw 2 of 2
3:00.0,Defensive rebound by R. Covington,,72-78,,
2:50.0,J. Anderson misses 3-pt shot from 25 ft,,72-78,,
2:49.0,,,72-78,,Defensive rebound by T. Booker
2:42.0,,,72-78,,S. Dinwiddie misses 3-pt shot from 25 ft
2:41.0,,,72-78,,Offensive rebound by Q. Acy
2:40.0,,,72-78,,Q. Acy misses 2-pt shot from 3 ft
2:39.0,Defensive rebound by Team,,72-78,,
2:25.0,Shooting foul by T. Booker (drawn by D. Saric),,72-78,,
2:25.0,D. Saric makes free throw 1 of 2,1,73-78,,
2:25.0,D. Saric makes free throw 2 of 2,1,74-78,,
2:11.0,,,74-78,,I. Whitehead misses 2-pt shot from 12 ft (block by N. Stauskas)
2:10.0,,,74-78,,Offensive rebound by I. Whitehead
2:04.0,,,74-78,,K. McDaniels misses 2-pt shot from 4 ft (block by R. Covington)
2:03.0,,,74-78,,Offensive rebound by T. Booker
2:02.0,,,74-78,,T. Booker misses 2-pt shot from 2 ft (block by T. Luwawu-Cabarrot)
2:01.0,Defensive rebound by J. Anderson,,74-78,,
1:52.0,Turnover by J. Anderson (lost ball; steal by I. Whitehead),,74-78,,
1:35.0,,,74-78,,S. Dinwiddie misses 2-pt shot from 2 ft (block by R. Covington)
1:33.0,,,74-78,,Offensive rebound by S. Dinwiddie
1:30.0,,,74-78,,K. McDaniels misses 3-pt shot from 25 ft
1:29.0,,,74-78,,Offensive rebound by S. Dinwiddie
1:28.0,,,74-78,,S. Dinwiddie misses 2-pt shot from 2 ft
1:27.0,Defensive rebound by N. Stauskas,,74-78,,
1:11.0,J. Anderson makes 3-pt shot from 25 ft,3,77-78,,
0:58.0,,,77-78,,I. Whitehead misses 3-pt shot from 27 ft
0:56.0,Defensive rebound by N. Stauskas,,77-78,,
0:49.0,N. Stauskas makes 2-pt shot from 2 ft,2,79-78,,
0:28.0,,,79-78,,Q. Acy misses 2-pt shot from 14 ft
0:27.0,,,79-78,,Offensive rebound by T. Booker
0:26.0,,,79-78,,T. Booker misses 2-pt shot from 2 ft
0:24.0,Defensive rebound by J. Anderson,,79-78,,
0:03.0,N. Stauskas misses 2-pt shot from 2 ft,,79-78,,
0:02.0,Offensive rebound by J. Anderson,,79-78,,
0:02.0,J. Anderson misses 2-pt shot from 2 ft,,79-78,,
0:00.0,Offensive rebound by T. Luwawu-Cabarrot,,79-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,T. Luwawu-Cabarrot makes 2-pt shot at rim (assist by N. Stauskas),2,81-78,,
11:31.0,,,81-78,,S. Kilpatrick misses 3-pt shot from 25 ft
11:30.0,Defensive rebound by R. Covington,,81-78,,
11:29.0,,,81-78,,Personal foul by T. Booker (drawn by R. Covington)
11:13.0,J. Anderson misses 3-pt shot from 25 ft,,81-78,,
11:12.0,,,81-78,,Defensive rebound by K. McDaniels
11:06.0,,,81-78,,S. Dinwiddie misses 2-pt shot from 1 ft
11:05.0,Defensive rebound by R. Covington,,81-78,,
10:54.0,R. Covington makes 2-pt shot from 2 ft,2,83-78,,
10:39.0,,,83-80,2,T. Booker makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
