time,Miami,pts.away,score,pts.home,New York
11:21.0,Offensive rebound by T. Johnson,,24-24,,
11:06.0,J. Johnson misses 2-pt shot from 2 ft,,24-24,,
11:05.0,,,24-24,,Defensive rebound by M. Kuzminskas
10:55.0,,,24-24,,R. Baker misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by J. Johnson,,24-24,,
10:49.0,Turnover by J. Johnson (lost ball),,24-24,,
10:41.0,,,24-24,,M. Kuzminskas misses 3-pt shot from 26 ft
10:40.0,Defensive rebound by Team,,24-24,,
10:27.0,G. Dragic misses 2-pt shot from 14 ft,,24-24,,
10:27.0,,,24-24,,Defensive rebound by R. Baker
10:18.0,,,24-24,,M. Kuzminskas misses 3-pt shot from 25 ft
10:17.0,,,24-24,,Offensive rebound by C. Randle
10:15.0,,,24-26,2,M. Kuzminskas makes 2-pt shot at rim (assist by C. Randle)
9:57.0,W. Ellington misses 3-pt shot from 25 ft,,24-26,,
9:57.0,,,24-26,,Defensive rebound by C. Randle
9:41.0,,,24-26,,M. Kuzminskas misses 2-pt shot from 1 ft (block by J. Johnson)
9:40.0,Defensive rebound by W. Reed,,24-26,,
9:36.0,,,24-26,,Personal foul by C. Randle (drawn by T. Johnson)
9:36.0,H. Whiteside enters the game for W. Reed,,24-26,,
9:31.0,T. Johnson makes 3-pt shot from 25 ft (assist by H. Whiteside),3,27-26,,
9:17.0,,,27-26,,M. Kuzminskas misses 2-pt shot from 1 ft (block by H. Whiteside)
9:16.0,Defensive rebound by J. Johnson,,27-26,,
9:10.0,G. Dragic misses 2-pt shot from 2 ft,,27-26,,
9:10.0,,,27-26,,Defensive rebound by C. Randle
9:03.0,,,27-28,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by J. Holiday)
8:39.0,J. Johnson makes 3-pt shot from 24 ft (assist by T. Johnson),3,30-28,,
8:17.0,,,30-28,,C. Randle misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by W. Ellington,,30-28,,
8:08.0,H. Whiteside misses 2-pt shot at rim (block by K. O'Quinn),,30-28,,
8:07.0,Offensive rebound by Team,,30-28,,
8:07.0,Official timeout,,30-28,,
8:07.0,O. White enters the game for J. Johnson,,30-28,,
7:53.0,T. Johnson makes 3-pt shot from 25 ft (assist by W. Ellington),3,33-28,,
7:36.0,,,33-30,2,C. Randle makes 2-pt shot at rim (assist by K. O'Quinn)
7:22.0,T. Johnson misses 2-pt shot from 12 ft,,33-30,,
7:21.0,,,33-30,,Defensive rebound by J. Holiday
7:13.0,,,33-33,3,C. Randle makes 3-pt shot from 24 ft (assist by M. Kuzminskas)
7:05.0,Offensive foul by H. Whiteside,,33-33,,
7:05.0,Turnover by H. Whiteside (offensive foul),,33-33,,
6:41.0,,,33-33,,M. Kuzminskas misses 2-pt shot from 4 ft
6:40.0,,,33-33,,Offensive rebound by K. O'Quinn
6:40.0,,,33-35,2,K. O'Quinn makes 2-pt shot from 1 ft
6:23.0,H. Whiteside misses 2-pt shot from 4 ft,,33-35,,
6:21.0,Offensive rebound by H. Whiteside,,33-35,,
6:19.0,H. Whiteside misses 2-pt shot from 5 ft,,33-35,,
6:18.0,,,33-35,,Defensive rebound by K. O'Quinn
6:10.0,Personal foul by W. Ellington (drawn by J. Holiday),,33-35,,
6:10.0,R. McGruder enters the game for W. Ellington,,33-35,,
6:10.0,J. Richardson enters the game for G. Dragic,,33-35,,
5:57.0,,,33-35,,K. O'Quinn misses 2-pt shot from 18 ft
5:56.0,Defensive rebound by O. White,,33-35,,
5:45.0,R. McGruder makes 2-pt shot from 7 ft,2,35-35,,
5:39.0,,,35-35,,New York full timeout
5:39.0,,,35-35,,K. Porzingis enters the game for K. O'Quinn
5:37.0,,,35-35,,Turnover by K. Porzingis (bad pass; steal by J. Richardson)
5:34.0,J. Richardson makes 2-pt shot at rim,2,37-35,,
5:19.0,,,37-35,,Shooting foul by R. McGruder (drawn by C. Randle)
5:19.0,,,37-36,1,C. Randle makes free throw 1 of 2
5:19.0,,,37-37,1,C. Randle makes free throw 2 of 2
5:19.0,J. Johnson enters the game for R. McGruder,,37-36,,
5:19.0,,,37-36,,C. Anthony enters the game for M. Kuzminskas
5:19.0,,,37-36,,C. Lee enters the game for J. Holiday
5:00.0,T. Johnson misses 2-pt shot from 20 ft,,37-37,,
4:59.0,,,37-37,,Defensive rebound by R. Baker
4:46.0,,,37-37,,Turnover by K. Porzingis (bad pass; steal by J. Richardson)
4:45.0,Turnover by J. Richardson (bad pass),,37-37,,
4:31.0,,,37-37,,R. Baker misses 2-pt shot from 1 ft (block by H. Whiteside)
4:29.0,Defensive rebound by O. White,,37-37,,
4:29.0,,,37-37,,Personal foul by R. Baker (drawn by J. Richardson)
4:15.0,,,37-37,,Personal foul by C. Anthony (drawn by J. Johnson)
4:05.0,Turnover by J. Richardson (lost ball),,37-37,,
3:53.0,Personal foul by O. White (drawn by K. Porzingis),,37-37,,
3:47.0,,,37-37,,K. Porzingis misses 2-pt shot from 9 ft
3:46.0,Defensive rebound by H. Whiteside,,37-37,,
3:38.0,,,37-37,,Personal foul by C. Anthony (drawn by J. Richardson)
3:38.0,G. Dragic enters the game for O. White,,37-37,,
3:23.0,J. Johnson makes 3-pt shot from 27 ft (assist by G. Dragic),3,40-37,,
3:14.0,Personal foul by J. Johnson (drawn by C. Anthony),,40-37,,
3:06.0,,,40-37,,Shooting foul by G. Dragic (drawn by R. Baker)
3:06.0,,,40-38,1,R. Baker makes free throw 1 of 2
3:06.0,,,40-38,,R. Baker misses free throw 2 of 2
3:05.0,Defensive rebound by G. Dragic,,40-38,,
2:48.0,G. Dragic misses 2-pt shot from 14 ft (block by C. Lee),,40-38,,
2:47.0,Offensive rebound by Team,,40-38,,
2:47.0,Miami full timeout,,40-38,,
2:45.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,42-38,,
2:24.0,,,42-38,,Turnover by R. Baker (bad pass; steal by G. Dragic)
2:02.0,J. Richardson makes 2-pt shot from 13 ft,2,44-38,,
1:49.0,,,44-38,,R. Baker misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by H. Whiteside,,44-38,,
1:39.0,Turnover by J. Johnson (bad pass),,44-38,,
1:39.0,,,44-38,,W. Hernangomez enters the game for C. Randle
1:39.0,O. White enters the game for J. Johnson,,44-38,,
1:18.0,,,44-38,,K. Porzingis misses 2-pt shot from 13 ft
1:16.0,Defensive rebound by T. Johnson,,44-38,,
1:05.0,T. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic),2,46-38,,
0:48.0,,,46-38,,C. Anthony misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by H. Whiteside,,46-38,,
0:32.0,H. Whiteside misses 2-pt shot from 5 ft,,46-38,,
0:31.0,,,46-38,,Defensive rebound by K. Porzingis
0:23.0,,,46-40,2,W. Hernangomez makes 2-pt shot at rim (assist by R. Baker)
0:23.0,,,46-40,,Shooting foul by H. Whiteside (drawn by W. Hernangomez)
0:23.0,,,46-41,1,W. Hernangomez makes free throw 1 of 1
0:17.0,Miami full timeout,,46-41,,
0:17.0,,,46-41,,C. Randle enters the game for W. Hernangomez
0:17.0,W. Ellington enters the game for O. White,,46-41,,
0:04.0,J. Richardson makes 3-pt shot from 23 ft (assist by G. Dragic),3,49-41,,
0:00.0,,,49-41,,R. Baker misses 3-pt shot from 41 ft
0:00.0,,,49-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,49-41,,C. Anthony misses 2-pt shot from 19 ft
11:43.0,,,49-41,,Offensive rebound by R. Baker
11:38.0,,,49-44,3,C. Anthony makes 3-pt shot from 24 ft (assist by R. Baker)
11:16.0,Turnover by R. McGruder (bad pass),,49-44,,
10:55.0,,,49-44,,C. Anthony misses 2-pt shot from 10 ft
10:54.0,Defensive rebound by H. Whiteside,,49-44,,
10:46.0,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic),2,51-44,,
10:46.0,Shooting foul by W. Hernangomez (drawn by H. Whiteside),,51-44,,
10:46.0,H. Whiteside makes free throw 1 of 1,1,52-44,,
10:27.0,,,52-46,2,C. Anthony makes 2-pt shot from 14 ft
10:12.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,54-46,,
9:54.0,,,54-46,,Shooting foul by R. McGruder (drawn by K. Porzingis)
9:54.0,,,54-47,1,K. Porzingis makes free throw 1 of 2
9:54.0,,,54-47,,K. Porzingis misses free throw 2 of 2
9:53.0,Defensive rebound by H. Whiteside,,54-47,,
9:44.0,G. Dragic makes 3-pt shot from 25 ft,3,57-47,,
9:33.0,,,57-47,,W. Hernangomez misses 2-pt shot from 2 ft
9:32.0,Defensive rebound by Team,,57-47,,
9:32.0,,,57-47,,Technical foul by Team
9:32.0,G. Dragic makes technical free throw,1,58-47,,
9:26.0,Shooting foul by R. Baker (drawn by G. Dragic),,58-47,,
9:26.0,G. Dragic makes free throw 1 of 3,1,59-47,,
9:26.0,G. Dragic makes free throw 2 of 3,1,60-47,,
9:26.0,G. Dragic makes free throw 3 of 3,1,61-47,,
9:14.0,,,61-47,,C. Anthony misses 2-pt shot from 20 ft
9:13.0,,,61-47,,Offensive rebound by W. Hernangomez
9:13.0,,,61-47,,Shooting foul by H. Whiteside (drawn by W. Hernangomez)
9:13.0,,,61-48,1,W. Hernangomez makes free throw 1 of 2
9:13.0,,,61-49,1,W. Hernangomez makes free throw 2 of 2
9:01.0,G. Dragic misses 2-pt shot from 8 ft,,61-49,,
9:00.0,,,61-49,,Defensive rebound by W. Hernangomez
8:48.0,Personal foul by L. Babbitt (drawn by R. Baker),,61-49,,
8:42.0,Personal foul by G. Dragic (drawn by K. Porzingis),,61-49,,
8:34.0,,,61-51,2,R. Baker makes 2-pt shot from 1 ft
8:34.0,,,61-51,,Shooting foul by H. Whiteside (drawn by R. Baker)
8:34.0,,,61-52,1,R. Baker makes free throw 1 of 1
8:34.0,W. Reed enters the game for H. Whiteside,,61-51,,
8:17.0,Turnover by J. Richardson (bad pass),,61-52,,
8:03.0,,,61-52,,C. Anthony misses 2-pt shot from 12 ft
8:02.0,,,61-52,,Offensive rebound by W. Hernangomez
8:02.0,,,61-52,,W. Hernangomez misses 2-pt shot at rim
8:00.0,,,61-52,,Offensive rebound by W. Hernangomez
8:00.0,,,61-52,,W. Hernangomez misses 2-pt shot from 2 ft
7:59.0,,,61-52,,Offensive rebound by R. Baker
7:55.0,,,61-54,2,C. Lee makes 2-pt shot from 19 ft (assist by K. Porzingis)
7:55.0,Miami full timeout,,61-54,,
7:44.0,R. McGruder misses 2-pt shot from 21 ft,,61-54,,
7:43.0,,,61-54,,Defensive rebound by C. Lee
7:23.0,,,61-54,,W. Hernangomez misses 2-pt shot from 11 ft
7:22.0,Defensive rebound by G. Dragic,,61-54,,
7:15.0,Shooting foul by R. Baker (drawn by W. Reed),,61-54,,
7:15.0,W. Reed makes free throw 1 of 2,1,62-54,,
7:15.0,W. Reed misses free throw 2 of 2,,62-54,,
7:15.0,J. Johnson enters the game for R. McGruder,,62-54,,
7:14.0,,,62-54,,Defensive rebound by W. Hernangomez
7:05.0,Personal foul by L. Babbitt (drawn by K. Porzingis),,62-54,,
7:05.0,,,62-55,1,K. Porzingis makes free throw 1 of 2
7:05.0,,,62-56,1,K. Porzingis makes free throw 2 of 2
6:53.0,J. Richardson misses 2-pt shot from 13 ft,,62-56,,
6:52.0,,,62-56,,Defensive rebound by W. Hernangomez
6:43.0,,,62-56,,Turnover by C. Anthony (bad pass)
6:24.0,J. Johnson makes 2-pt shot from 1 ft,2,64-56,,
6:08.0,,,64-56,,C. Lee misses 2-pt shot from 5 ft
6:07.0,,,64-56,,Offensive rebound by K. Porzingis
6:00.0,,,64-56,,R. Baker misses 3-pt shot from 24 ft
6:00.0,,,64-56,,Offensive rebound by W. Hernangomez
5:57.0,,,64-56,,C. Anthony misses 3-pt shot from 25 ft
5:56.0,,,64-56,,Offensive rebound by Team
5:56.0,Loose ball foul by L. Babbitt (drawn by K. Porzingis),,64-56,,
5:56.0,,,64-57,1,K. Porzingis makes free throw 1 of 2
5:56.0,,,64-58,1,K. Porzingis makes free throw 2 of 2
5:56.0,T. Johnson enters the game for L. Babbitt,,64-57,,
5:33.0,G. Dragic makes 2-pt shot from 6 ft,2,66-58,,
5:15.0,,,66-60,2,C. Anthony makes 2-pt shot from 12 ft
4:59.0,W. Reed makes 2-pt shot from 1 ft (assist by G. Dragic),2,68-60,,
4:42.0,,,68-62,2,K. Porzingis makes 2-pt shot from 2 ft
4:30.0,G. Dragic misses 2-pt shot from 2 ft,,68-62,,
4:30.0,,,68-62,,Defensive rebound by C. Anthony
4:22.0,,,68-62,,C. Anthony misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by G. Dragic,,68-62,,
4:04.0,Shooting foul by C. Lee (drawn by J. Johnson),,68-62,,
4:04.0,J. Johnson makes free throw 1 of 2,1,69-62,,
4:04.0,J. Johnson misses free throw 2 of 2,,69-62,,
4:04.0,,,69-62,,J. Holiday enters the game for C. Lee
4:03.0,,,69-62,,Defensive rebound by W. Hernangomez
3:45.0,,,69-62,,Turnover by K. Porzingis (lost ball; steal by J. Johnson)
3:37.0,G. Dragic misses 2-pt shot from 11 ft,,69-62,,
3:37.0,Offensive rebound by T. Johnson,,69-62,,
3:29.0,G. Dragic misses 3-pt shot from 23 ft,,69-62,,
3:27.0,,,69-62,,Defensive rebound by J. Holiday
3:22.0,,,69-64,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by J. Holiday)
3:22.0,,,69-64,,Shooting foul by W. Reed (drawn by W. Hernangomez)
3:22.0,,,69-65,1,W. Hernangomez makes free throw 1 of 1
3:22.0,O. White enters the game for G. Dragic,,69-64,,
3:22.0,,,69-64,,M. Kuzminskas enters the game for C. Anthony
3:02.0,O. White makes 3-pt shot from 24 ft (assist by W. Reed),3,72-65,,
2:39.0,,,72-65,,Turnover by W. Hernangomez (bad pass; steal by J. Richardson)
2:27.0,J. Johnson misses 2-pt shot from 1 ft,,72-65,,
2:26.0,,,72-65,,Defensive rebound by J. Holiday
2:19.0,,,72-65,,R. Baker misses 2-pt shot from 2 ft (block by J. Richardson)
2:19.0,,,72-65,,Offensive rebound by Team
2:19.0,,,72-65,,New York full timeout
2:13.0,,,72-65,,Shooting foul by J. Johnson (drawn by K. Porzingis)
2:13.0,,,72-65,,K. Porzingis misses free throw 1 of 2
2:13.0,,,72-65,,Offensive rebound by Team
2:13.0,,,72-66,1,K. Porzingis makes free throw 2 of 2
1:59.0,W. Reed misses 2-pt shot from 1 ft,,72-66,,
1:58.0,,,72-66,,Defensive rebound by K. Porzingis
1:51.0,,,72-66,,W. Hernangomez misses 2-pt shot from 2 ft
1:50.0,Defensive rebound by J. Richardson,,72-66,,
1:40.0,T. Johnson misses 2-pt shot from 1 ft,,72-66,,
1:39.0,,,72-66,,Defensive rebound by R. Baker
1:27.0,,,72-66,,R. Baker misses 2-pt shot from 1 ft
1:26.0,Defensive rebound by T. Johnson,,72-66,,
1:14.0,J. Richardson makes 3-pt shot from 23 ft (assist by J. Johnson),3,75-66,,
0:58.0,,,75-68,2,K. Porzingis makes 2-pt shot from 2 ft (assist by J. Holiday)
0:35.0,T. Johnson misses 3-pt shot from 25 ft,,75-68,,
0:35.0,,,75-68,,Defensive rebound by K. Porzingis
0:27.0,,,75-68,,K. Porzingis misses 3-pt shot from 26 ft
0:26.0,Defensive rebound by O. White,,75-68,,
0:06.0,J. Johnson makes 2-pt shot from 20 ft,2,77-68,,
0:00.0,,,77-68,,W. Hernangomez misses 3-pt shot from 25 ft
0:00.0,,,77-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Johnson makes 2-pt shot at rim,2,79-68,,
11:17.0,,,79-68,,K. O'Quinn misses 2-pt shot from 21 ft
11:16.0,Defensive rebound by J. Johnson,,79-68,,
11:10.0,Shooting foul by M. Kuzminskas (drawn by J. Johnson),,79-68,,
11:10.0,J. Johnson misses free throw 1 of 2,,79-68,,
11:10.0,Offensive rebound by Team,,79-68,,
11:10.0,J. Johnson makes free throw 2 of 2,1,80-68,,
11:10.0,,,79-68,,M. Ndour enters the game for M. Kuzminskas
10:53.0,,,80-68,,C. Lee misses 2-pt shot from 1 ft (block by H. Whiteside)
10:53.0,,,80-68,,Offensive rebound by M. Ndour
10:52.0,,,80-68,,M. Ndour misses 2-pt shot from 1 ft (block by J. Johnson)
10:49.0,Defensive rebound by J. Johnson,,80-68,,
10:41.0,T. Johnson makes 2-pt shot at rim,2,82-68,,
10:28.0,,,82-70,2,C. Randle makes 2-pt shot from 1 ft
10:08.0,H. Whiteside makes 2-pt shot from 9 ft,2,84-70,,
9:52.0,,,84-70,,C. Randle misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by H. Whiteside,,84-70,,
9:34.0,Offensive foul by O. White,,84-70,,
9:34.0,Turnover by O. White (offensive foul),,84-70,,
9:34.0,W. Ellington enters the game for J. Johnson,,84-70,,
9:16.0,,,84-70,,C. Lee misses 2-pt shot from 11 ft
9:15.0,,,84-70,,Offensive rebound by K. O'Quinn
9:14.0,,,84-70,,K. O'Quinn misses 2-pt shot from 2 ft (block by H. Whiteside)
9:11.0,Defensive rebound by G. Dragic,,84-70,,
9:02.0,T. Johnson misses 3-pt shot from 22 ft,,84-70,,
9:02.0,Offensive rebound by O. White,,84-70,,
9:00.0,O. White makes 2-pt shot at rim,2,86-70,,
9:00.0,,,86-70,,New York full timeout
9:00.0,,,86-70,,C. Anthony enters the game for K. O'Quinn
9:00.0,,,86-70,,K. Porzingis enters the game for M. Ndour
8:41.0,,,86-70,,C. Randle misses 2-pt shot at rim
8:41.0,Defensive rebound by T. Johnson,,86-70,,
8:25.0,H. Whiteside makes 2-pt shot at rim,2,88-70,,
8:10.0,,,88-70,,K. Porzingis misses 2-pt shot from 9 ft
8:09.0,Defensive rebound by G. Dragic,,88-70,,
7:58.0,Turnover by G. Dragic (bad pass; steal by C. Lee),,88-70,,
7:50.0,,,88-70,,C. Randle misses 3-pt shot from 26 ft
7:49.0,Defensive rebound by O. White,,88-70,,
7:27.0,H. Whiteside misses 2-pt shot from 8 ft,,88-70,,
7:26.0,,,88-70,,Defensive rebound by C. Anthony
7:19.0,,,88-72,2,C. Anthony makes 2-pt shot from 17 ft
7:06.0,Shooting foul by C. Randle (drawn by G. Dragic),,88-72,,
7:06.0,G. Dragic makes free throw 1 of 3,1,89-72,,
7:06.0,G. Dragic makes free throw 2 of 3,1,90-72,,
7:06.0,G. Dragic makes free throw 3 of 3,1,91-72,,
7:06.0,,,90-72,,R. Baker enters the game for C. Randle
7:06.0,J. Richardson enters the game for T. Johnson,,90-72,,
6:57.0,,,91-72,,Turnover by Team (turnover)
6:44.0,W. Ellington misses 3-pt shot from 24 ft,,91-72,,
6:43.0,,,91-72,,Defensive rebound by C. Anthony
6:34.0,,,91-74,2,K. Porzingis makes 2-pt shot at rim (assist by C. Lee)
6:16.0,Miami full timeout,,91-74,,
6:06.0,J. Richardson misses 3-pt shot from 25 ft,,91-74,,
6:05.0,,,91-74,,Defensive rebound by C. Anthony
5:50.0,,,91-76,2,C. Lee makes 2-pt shot from 2 ft
5:31.0,G. Dragic makes 2-pt shot from 1 ft,2,93-76,,
5:12.0,,,93-76,,R. Baker misses 2-pt shot from 1 ft
5:11.0,,,93-76,,Offensive rebound by K. Porzingis
5:11.0,,,93-78,2,K. Porzingis makes 2-pt shot at rim
4:55.0,W. Ellington makes 3-pt shot from 25 ft,3,96-78,,
4:33.0,,,96-78,,R. Baker misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by H. Whiteside,,96-78,,
4:17.0,G. Dragic misses 3-pt shot from 26 ft,,96-78,,
4:16.0,Offensive rebound by W. Ellington,,96-78,,
4:05.0,,,96-78,,Personal foul by K. Porzingis (drawn by H. Whiteside)
4:05.0,J. Johnson enters the game for G. Dragic,,96-78,,
4:05.0,T. Johnson enters the game for O. White,,96-78,,
3:59.0,W. Ellington makes 3-pt shot from 24 ft (assist by J. Richardson),3,99-78,,
3:37.0,,,99-80,2,K. Porzingis makes 2-pt shot at rim (assist by C. Anthony)
