time,Indiana,pts.away,score,pts.home,Phoenix
0:15.0,P. George enters the game for A. Jefferson,,22-20,,
0:02.0,,,23-22,2,E. Bledsoe makes 2-pt shot from 1 ft
0:00.0,C. Miles misses 3-pt shot from 43 ft,,23-22,,
0:00.0,Offensive rebound by Team,,23-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,A. Jefferson makes 2-pt shot at rim (assist by R. Stuckey),2,25-22,,
11:30.0,,,25-24,2,A. Len makes 2-pt shot at rim
11:13.0,C. Miles misses 3-pt shot from 24 ft,,25-24,,
11:10.0,,,25-24,,Defensive rebound by J. Dudley
11:04.0,,,25-24,,Turnover by B. Knight (lost ball; steal by A. Jefferson)
11:00.0,C. Miles misses 2-pt shot from 1 ft,,25-24,,
10:59.0,,,25-24,,Defensive rebound by Team
10:49.0,,,25-26,2,L. Barbosa makes 2-pt shot from 2 ft
10:34.0,C. Miles makes 2-pt shot from 12 ft (assist by A. Brooks),2,27-26,,
10:20.0,Personal foul by A. Jefferson (drawn by A. Len),,27-26,,
10:14.0,,,27-28,2,L. Barbosa makes 2-pt shot from 16 ft
10:01.0,A. Brooks misses 2-pt shot from 20 ft,,27-28,,
9:59.0,Offensive rebound by G. Robinson,,27-28,,
9:50.0,A. Jefferson makes 2-pt shot from 7 ft,2,29-28,,
9:32.0,,,29-28,,Shooting foul by G. Robinson (drawn by B. Knight)
9:32.0,,,29-29,1,B. Knight makes free throw 1 of 2
9:32.0,,,29-30,1,B. Knight makes free throw 2 of 2
9:19.0,Turnover by C. Miles (bad pass; steal by L. Barbosa),,29-30,,
9:09.0,,,29-30,,A. Len misses 2-pt shot from 17 ft
9:08.0,Defensive rebound by G. Robinson,,29-30,,
8:58.0,Shooting foul by A. Len (drawn by A. Jefferson),,29-30,,
8:58.0,Official timeout,,29-30,,
8:58.0,A. Jefferson misses free throw 1 of 2,,29-30,,
8:58.0,Offensive rebound by Team,,29-30,,
8:58.0,A. Jefferson makes free throw 2 of 2,1,30-30,,
8:37.0,,,30-30,,B. Knight misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by R. Stuckey,,30-30,,
8:28.0,G. Robinson misses 2-pt shot from 20 ft,,30-30,,
8:26.0,,,30-30,,Defensive rebound by B. Knight
8:16.0,,,30-30,,Turnover by A. Len (bad pass; steal by A. Brooks)
8:06.0,A. Jefferson makes 2-pt shot from 2 ft (assist by A. Brooks),2,32-30,,
7:54.0,,,32-30,,Turnover by D. Bender (bad pass; steal by R. Stuckey)
7:51.0,R. Stuckey makes 2-pt shot from 2 ft,2,34-30,,
7:50.0,,,34-30,,Phoenix full timeout
7:50.0,,,34-30,,D. Booker enters the game for D. Bender
7:50.0,P. George enters the game for C. Miles,,34-30,,
7:33.0,,,34-32,2,L. Barbosa makes 2-pt shot from 21 ft
7:21.0,,,34-32,,Personal foul by D. Booker (drawn by R. Stuckey)
7:21.0,,,34-32,,E. Bledsoe enters the game for B. Knight
7:17.0,,,34-32,,Shooting block foul by A. Len (drawn by R. Stuckey)
7:17.0,R. Stuckey makes free throw 1 of 2,1,35-32,,
7:17.0,R. Stuckey misses free throw 2 of 2,,35-32,,
7:17.0,J. Teague enters the game for A. Brooks,,35-32,,
7:17.0,,,35-32,,P. Tucker enters the game for J. Dudley
7:17.0,,,35-32,,T. Chandler enters the game for A. Len
7:17.0,M. Turner enters the game for A. Jefferson,,35-32,,
7:15.0,,,35-32,,Defensive rebound by T. Chandler
6:56.0,,,35-32,,D. Booker misses 2-pt shot from 17 ft
6:55.0,Defensive rebound by Team,,35-32,,
6:41.0,J. Teague misses 2-pt shot from 6 ft,,35-32,,
6:38.0,,,35-32,,Defensive rebound by D. Booker
6:36.0,,,35-34,2,L. Barbosa makes 2-pt shot from 2 ft (assist by D. Booker)
6:29.0,,,35-34,,Personal foul by L. Barbosa (drawn by G. Robinson)
6:29.0,M. Ellis enters the game for R. Stuckey,,35-34,,
6:24.0,G. Robinson misses 2-pt shot from 2 ft,,35-34,,
6:22.0,Offensive rebound by P. George,,35-34,,
6:15.0,P. George misses 2-pt shot from 19 ft,,35-34,,
6:13.0,,,35-34,,Defensive rebound by P. Tucker
6:02.0,,,35-34,,Turnover by Team (5 sec)
6:02.0,T. Young enters the game for G. Robinson,,35-34,,
5:48.0,Turnover by J. Teague (traveling),,35-34,,
5:36.0,,,35-34,,L. Barbosa misses 3-pt shot from 25 ft
5:34.0,,,35-34,,Offensive rebound by T. Chandler
5:30.0,,,35-34,,E. Bledsoe misses 3-pt shot from 26 ft
5:28.0,Defensive rebound by M. Ellis,,35-34,,
5:23.0,Turnover by M. Ellis (bad pass; steal by E. Bledsoe),,35-34,,
5:18.0,,,35-34,,P. Tucker misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by J. Teague,,35-34,,
5:14.0,Shooting foul by E. Bledsoe (drawn by P. George),,35-34,,
5:14.0,P. George misses free throw 1 of 2,,35-34,,
5:14.0,Offensive rebound by Team,,35-34,,
5:14.0,P. George makes free throw 2 of 2,1,36-34,,
5:14.0,,,35-34,,T. Ulis enters the game for E. Bledsoe
5:02.0,,,36-34,,D. Booker misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by M. Ellis,,36-34,,
4:56.0,M. Ellis misses 2-pt shot from 2 ft (block by L. Barbosa),,36-34,,
4:56.0,Offensive rebound by Team,,36-34,,
4:51.0,,,36-34,,Personal foul by T. Ulis (drawn by J. Teague)
4:51.0,J. Teague misses free throw 1 of 2,,36-34,,
4:51.0,Offensive rebound by Team,,36-34,,
4:51.0,J. Teague makes free throw 2 of 2,1,37-34,,
4:51.0,,,36-34,,M. Chriss enters the game for L. Barbosa
4:35.0,,,37-34,,D. Booker misses 2-pt shot from 2 ft
4:33.0,Defensive rebound by P. George,,37-34,,
4:24.0,J. Teague misses 3-pt shot from 23 ft,,37-34,,
4:21.0,,,37-34,,Defensive rebound by M. Chriss
4:00.0,,,37-37,3,M. Chriss makes 3-pt shot from 23 ft (assist by T. Ulis)
3:45.0,M. Turner misses 2-pt shot from 6 ft,,37-37,,
3:43.0,Offensive rebound by M. Turner,,37-37,,
3:41.0,J. Teague misses 3-pt shot from 26 ft,,37-37,,
3:39.0,,,37-37,,Defensive rebound by T. Chandler
3:18.0,,,37-39,2,P. Tucker makes 2-pt shot from 15 ft
3:07.0,,,37-39,,Shooting block foul by P. Tucker (drawn by P. George)
3:07.0,P. George makes free throw 1 of 2,1,38-39,,
3:07.0,P. George makes free throw 2 of 2,1,39-39,,
2:49.0,,,39-42,3,M. Chriss makes 3-pt shot from 24 ft (assist by T. Chandler)
2:36.0,Shooting foul by T. Ulis (drawn by J. Teague),,39-42,,
2:36.0,Indiana full timeout,,39-42,,
2:36.0,J. Teague misses free throw 1 of 2,,39-42,,
2:36.0,Offensive rebound by Team,,39-42,,
2:36.0,J. Teague makes free throw 2 of 2,1,40-42,,
2:26.0,,,40-45,3,D. Booker makes 3-pt shot from 25 ft (assist by T. Ulis)
2:10.0,P. George misses 3-pt shot from 25 ft,,40-45,,
2:07.0,,,40-45,,Defensive rebound by D. Booker
2:02.0,,,40-47,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
1:46.0,M. Turner makes 2-pt shot from 18 ft (assist by J. Teague),2,42-47,,
1:29.0,,,42-49,2,T. Ulis makes 2-pt shot from 19 ft
1:17.0,M. Turner makes 3-pt shot from 25 ft (assist by M. Ellis),3,45-49,,
1:02.0,,,45-49,,T. Ulis misses 2-pt shot from 15 ft
1:00.0,,,45-49,,Offensive rebound by T. Chandler
1:00.0,,,45-51,2,T. Chandler makes 2-pt shot from 1 ft
0:57.0,,,45-51,,Personal block foul by P. Tucker (drawn by P. George)
0:57.0,P. George makes free throw 1 of 2,1,46-51,,
0:57.0,P. George misses free throw 2 of 2,,46-51,,
0:56.0,,,46-51,,Defensive rebound by M. Chriss
0:38.0,,,46-51,,Shooting foul by T. Young (drawn by D. Booker)
0:38.0,,,46-52,1,D. Booker makes free throw 1 of 2
0:38.0,,,46-53,1,D. Booker makes free throw 2 of 2
0:28.0,M. Turner makes 3-pt shot from 24 ft (assist by J. Teague),3,49-53,,
0:09.0,,,49-53,,Turnover by D. Booker (back court)
0:02.0,M. Turner misses 3-pt shot from 26 ft,,49-53,,
0:00.0,,,49-53,,Defensive rebound by T. Chandler
0:00.0,,,49-53,,D. Booker misses 3-pt shot from 61 ft
0:00.0,,,49-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,49-53,,Personal foul by E. Bledsoe (drawn by M. Turner)
11:30.0,J. Teague makes 2-pt shot from 10 ft,2,51-53,,
11:06.0,,,51-56,3,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe)
11:01.0,,,51-56,,Shooting block foul by D. Booker (drawn by P. George)
11:01.0,P. George makes free throw 1 of 2,1,52-56,,
11:01.0,P. George makes free throw 2 of 2,1,53-56,,
10:49.0,,,53-56,,Shooting foul by M. Turner (drawn by E. Bledsoe)
10:49.0,,,53-57,1,E. Bledsoe makes free throw 1 of 2
10:49.0,,,53-58,1,E. Bledsoe makes free throw 2 of 2
10:27.0,J. Teague misses 2-pt shot from 6 ft,,53-58,,
10:26.0,,,53-58,,Defensive rebound by T. Chandler
10:17.0,,,53-58,,D. Booker misses 2-pt shot from 4 ft
10:15.0,,,53-58,,Offensive rebound by D. Booker
10:12.0,,,53-58,,P. Tucker misses 3-pt shot from 23 ft
10:10.0,Defensive rebound by T. Young,,53-58,,
10:03.0,M. Ellis misses 2-pt shot from 21 ft,,53-58,,
10:01.0,,,53-58,,Defensive rebound by T. Chandler
9:57.0,,,53-58,,Turnover by E. Bledsoe (bad pass)
9:42.0,P. George misses 2-pt shot from 15 ft,,53-58,,
9:41.0,,,53-58,,Defensive rebound by Team
9:35.0,Personal foul by P. George (drawn by T. Chandler),,53-58,,
9:29.0,,,53-58,,M. Chriss misses 3-pt shot from 23 ft
9:27.0,Defensive rebound by P. George,,53-58,,
9:25.0,Turnover by P. George (bad pass; steal by E. Bledsoe),,53-58,,
9:21.0,,,53-58,,E. Bledsoe misses 2-pt shot from 1 ft
9:19.0,Defensive rebound by P. George,,53-58,,
9:13.0,T. Young makes 3-pt shot from 24 ft (assist by J. Teague),3,56-58,,
8:56.0,Shooting block foul by T. Young (drawn by D. Booker),,56-58,,
8:56.0,,,56-59,1,D. Booker makes free throw 1 of 2
8:56.0,,,56-59,,D. Booker misses free throw 2 of 2
8:55.0,Defensive rebound by Team,,56-59,,
8:55.0,,,56-59,,Loose ball foul by D. Booker (drawn by M. Turner)
8:39.0,Turnover by T. Young (bad pass; steal by D. Booker),,56-59,,
8:34.0,,,56-59,,Turnover by D. Booker (bad pass; steal by P. George)
8:33.0,,,56-59,,Personal block foul by D. Booker (drawn by T. Young)
8:33.0,,,56-59,,B. Knight enters the game for D. Booker
8:21.0,M. Turner makes 3-pt shot from 22 ft (assist by J. Teague),3,59-59,,
8:18.0,,,59-59,,Phoenix full timeout
8:10.0,,,59-59,,Shooting foul by J. Teague (drawn by E. Bledsoe)
8:10.0,,,59-60,1,E. Bledsoe makes free throw 1 of 2
8:10.0,,,59-61,1,E. Bledsoe makes free throw 2 of 2
8:00.0,Shooting foul by T. Chandler (drawn by M. Turner),,59-61,,
8:00.0,M. Turner makes free throw 1 of 2,1,60-61,,
8:00.0,M. Turner makes free throw 2 of 2,1,61-61,,
7:46.0,,,61-63,2,E. Bledsoe makes 2-pt shot from 1 ft
7:38.0,M. Ellis makes 3-pt shot from 23 ft (assist by J. Teague),3,64-63,,
7:12.0,,,64-66,3,B. Knight makes 3-pt shot from 25 ft
6:57.0,J. Teague makes 2-pt shot from 2 ft,2,66-66,,
6:30.0,,,66-66,,Turnover by Team (shot clock)
6:19.0,J. Teague misses 2-pt shot from 2 ft,,66-66,,
6:16.0,Offensive rebound by T. Young,,66-66,,
6:16.0,T. Young makes 2-pt shot from 1 ft,2,68-66,,
6:08.0,,,68-66,,M. Chriss misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by M. Ellis,,68-66,,
6:08.0,,,68-66,,Personal foul by B. Knight (drawn by M. Ellis)
6:08.0,M. Ellis makes free throw 1 of 2,1,69-66,,
6:08.0,M. Ellis makes free throw 2 of 2,1,70-66,,
6:08.0,,,69-66,,J. Dudley enters the game for M. Chriss
5:56.0,,,70-68,2,B. Knight makes 2-pt shot from 9 ft
5:32.0,J. Teague makes 2-pt shot from 1 ft,2,72-68,,
5:22.0,,,72-70,2,T. Chandler makes 2-pt shot from 1 ft (assist by B. Knight)
5:11.0,Shooting foul by T. Chandler (drawn by P. George),,72-70,,
5:11.0,P. George makes free throw 1 of 2,1,73-70,,
5:11.0,P. George makes free throw 2 of 2,1,74-70,,
5:11.0,,,73-70,,A. Len enters the game for T. Chandler
4:54.0,,,74-73,3,J. Dudley makes 3-pt shot from 25 ft (assist by P. Tucker)
4:32.0,J. Teague misses 2-pt shot from 5 ft (block by E. Bledsoe),,74-73,,
4:29.0,,,74-73,,Defensive rebound by J. Dudley
4:22.0,,,74-73,,A. Len misses 2-pt shot from 3 ft (block by M. Turner)
4:20.0,Defensive rebound by P. George,,74-73,,
4:20.0,,,74-73,,Personal take foul by J. Dudley (drawn by T. Young)
4:20.0,T. Young makes free throw 1 of 2,1,75-73,,
4:20.0,T. Young makes free throw 2 of 2,1,76-73,,
4:20.0,A. Jefferson enters the game for M. Turner,,75-73,,
4:20.0,R. Stuckey enters the game for M. Ellis,,75-73,,
4:03.0,,,76-73,,E. Bledsoe misses 2-pt shot from 2 ft
3:59.0,Defensive rebound by T. Young,,76-73,,
3:58.0,Turnover by T. Young (bad pass; steal by B. Knight),,76-73,,
3:55.0,,,76-73,,J. Dudley misses 3-pt shot from 26 ft
3:53.0,,,76-73,,Offensive rebound by B. Knight
3:50.0,,,76-73,,E. Bledsoe misses 3-pt shot from 24 ft
3:48.0,Defensive rebound by P. George,,76-73,,
3:35.0,P. George misses 2-pt shot from 14 ft,,76-73,,
3:33.0,,,76-73,,Defensive rebound by J. Dudley
3:30.0,,,76-75,2,P. Tucker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
3:29.0,Indiana full timeout,,76-75,,
3:29.0,C. Miles enters the game for T. Young,,76-75,,
3:08.0,R. Stuckey misses 3-pt shot from 25 ft,,76-75,,
3:06.0,,,76-75,,Defensive rebound by J. Dudley
2:51.0,,,76-75,,A. Len misses 2-pt shot from 15 ft
2:49.0,,,76-75,,Offensive rebound by P. Tucker
2:43.0,,,76-75,,Turnover by J. Dudley (lost ball; steal by P. George)
2:31.0,J. Teague misses 2-pt shot from 10 ft (block by A. Len),,76-75,,
2:28.0,Offensive rebound by J. Teague,,76-75,,
2:19.0,R. Stuckey misses 2-pt shot from 8 ft,,76-75,,
2:17.0,Offensive rebound by A. Jefferson,,76-75,,
2:17.0,A. Jefferson misses 2-pt shot from 1 ft,,76-75,,
2:15.0,,,76-75,,Defensive rebound by J. Dudley
2:08.0,,,76-75,,J. Dudley misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by P. George,,76-75,,
1:55.0,R. Stuckey misses 2-pt shot from 3 ft,,76-75,,
1:53.0,,,76-75,,Defensive rebound by J. Dudley
1:47.0,,,76-75,,B. Knight misses 3-pt shot from 26 ft
1:45.0,,,76-75,,Offensive rebound by P. Tucker
1:40.0,,,76-75,,P. Tucker misses 2-pt shot from 16 ft
1:38.0,Defensive rebound by R. Stuckey,,76-75,,
1:24.0,P. George makes 2-pt shot from 12 ft,2,78-75,,
1:01.0,,,78-75,,P. Tucker misses 3-pt shot from 24 ft
1:00.0,,,78-75,,Offensive rebound by A. Len
1:00.0,Personal foul by P. George (drawn by A. Len),,78-75,,
1:00.0,,,78-76,1,A. Len makes free throw 1 of 2
1:00.0,,,78-77,1,A. Len makes free throw 2 of 2
1:00.0,A. Brooks enters the game for P. George,,78-76,,
1:00.0,G. Robinson enters the game for J. Teague,,78-76,,
1:00.0,,,78-76,,T. Ulis enters the game for E. Bledsoe
0:46.0,A. Jefferson makes 2-pt shot from 11 ft,2,80-77,,
0:34.0,,,80-77,,B. Knight misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by Team,,80-77,,
0:33.0,,,80-77,,D. Bender enters the game for P. Tucker
0:17.0,R. Stuckey makes 2-pt shot from 12 ft,2,82-77,,
0:00.0,,,82-80,3,J. Dudley makes 3-pt shot from 26 ft (assist by B. Knight)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,82-82,2,L. Barbosa makes 2-pt shot from 17 ft
11:27.0,C. Miles misses 3-pt shot from 28 ft,,82-82,,
11:24.0,,,82-82,,Defensive rebound by B. Knight
11:13.0,,,82-82,,Turnover by D. Bender (lost ball; steal by G. Robinson)
11:11.0,Shooting foul by J. Dudley (drawn by G. Robinson),,82-82,,
11:11.0,G. Robinson makes free throw 1 of 2,1,83-82,,
11:11.0,G. Robinson makes free throw 2 of 2,1,84-82,,
10:51.0,,,84-82,,J. Dudley misses 2-pt shot from 8 ft
10:49.0,Defensive rebound by A. Jefferson,,84-82,,
10:40.0,,,84-82,,Personal block foul by J. Dudley (drawn by A. Brooks)
10:36.0,Shooting foul by A. Len (drawn by A. Jefferson),,84-82,,
10:36.0,A. Jefferson misses free throw 1 of 2,,84-82,,
10:36.0,Offensive rebound by Team,,84-82,,
10:36.0,A. Jefferson misses free throw 2 of 2,,84-82,,
10:34.0,,,84-82,,Defensive rebound by D. Bender
10:25.0,,,84-82,,Shooting foul by A. Jefferson (drawn by A. Len)
10:25.0,,,84-83,1,A. Len makes free throw 1 of 2
10:25.0,,,84-84,1,A. Len makes free throw 2 of 2
10:07.0,R. Stuckey misses 3-pt shot from 23 ft,,84-84,,
10:05.0,,,84-84,,Defensive rebound by J. Dudley
9:53.0,,,84-84,,L. Barbosa misses 2-pt shot from 19 ft
9:51.0,Defensive rebound by C. Miles,,84-84,,
9:36.0,Shooting foul by A. Len (drawn by A. Jefferson),,84-84,,
9:36.0,A. Jefferson makes free throw 1 of 2,1,85-84,,
9:36.0,A. Jefferson makes free throw 2 of 2,1,86-84,,
9:36.0,,,85-84,,D. Booker enters the game for D. Bender
9:15.0,Personal foul by R. Stuckey (drawn by A. Len),,86-84,,
9:08.0,,,86-84,,Offensive foul by A. Len
9:08.0,,,86-84,,Turnover by A. Len (offensive foul)
9:08.0,,,86-84,,T. Chandler enters the game for A. Len
8:48.0,Turnover by A. Brooks (bad pass; steal by J. Dudley),,86-84,,
8:36.0,,,86-84,,Turnover by T. Chandler (3 sec)
8:36.0,Official timeout,,86-84,,
8:36.0,J. Teague enters the game for A. Brooks,,86-84,,
8:36.0,P. George enters the game for G. Robinson,,86-84,,
8:22.0,C. Miles misses 3-pt shot from 25 ft,,86-84,,
8:20.0,,,86-84,,Defensive rebound by L. Barbosa
8:06.0,,,86-84,,J. Dudley misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by Team,,86-84,,
7:43.0,P. George makes 2-pt shot from 10 ft,2,88-84,,
7:21.0,,,88-87,3,B. Knight makes 3-pt shot from 25 ft (assist by D. Booker)
7:07.0,Shooting foul by T. Chandler (drawn by A. Jefferson),,88-87,,
7:07.0,A. Jefferson makes free throw 1 of 2,1,89-87,,
7:07.0,A. Jefferson makes free throw 2 of 2,1,90-87,,
7:07.0,,,89-87,,P. Tucker enters the game for J. Dudley
7:07.0,T. Young enters the game for C. Miles,,89-87,,
6:55.0,,,90-87,,Offensive foul by T. Chandler
6:55.0,,,90-87,,Turnover by T. Chandler (offensive foul)
6:43.0,J. Teague makes 3-pt shot from 25 ft,3,93-87,,
6:42.0,,,93-87,,Phoenix full timeout
6:42.0,,,93-87,,E. Bledsoe enters the game for L. Barbosa
6:30.0,,,93-87,,B. Knight misses 2-pt shot from 18 ft
6:26.0,Defensive rebound by P. George,,93-87,,
6:13.0,P. George makes 2-pt shot from 18 ft (assist by J. Teague),2,95-87,,
