time,Memphis,pts.away,score,pts.home,Chicago
4:20.0,,,85-83,,R. Lopez enters the game for C. Felicio
4:10.0,Personal foul by M. Conley (drawn by J. Butler),,86-83,,
3:56.0,,,86-83,,J. Butler misses 3-pt shot from 26 ft
3:55.0,Defensive rebound by V. Carter,,86-83,,
3:41.0,M. Conley makes 3-pt shot from 24 ft,3,89-83,,
3:31.0,,,89-86,3,D. Valentine makes 3-pt shot from 23 ft (assist by R. Rondo)
3:08.0,M. Gasol makes 2-pt shot from 13 ft (assist by M. Conley),2,91-86,,
2:54.0,,,91-86,,N. Mirotic misses 2-pt shot from 11 ft
2:53.0,Defensive rebound by J. Green,,91-86,,
2:32.0,Turnover by M. Conley (bad pass),,91-86,,
2:32.0,Memphis full timeout,,91-86,,
2:15.0,,,91-86,,N. Mirotic misses 3-pt shot from 25 ft
2:14.0,,,91-86,,Offensive rebound by R. Rondo
2:09.0,,,91-89,3,R. Rondo makes 3-pt shot from 24 ft (assist by N. Mirotic)
1:45.0,T. Allen makes 2-pt shot at rim (assist by M. Gasol),2,93-89,,
1:30.0,,,93-89,,R. Rondo misses 3-pt shot from 25 ft
