time,Charlotte,pts.away,score,pts.home,Brooklyn
8:38.0,K. Walker misses 3-pt shot from 23 ft (block by T. Booker),,4-10,,
8:36.0,,,4-10,,Defensive rebound by R. Hollis-Jefferson
8:29.0,,,4-13,3,B. Lopez makes 3-pt shot from 27 ft (assist by R. Hollis-Jefferson)
8:17.0,K. Walker makes 2-pt shot from 3 ft,2,6-13,,
8:17.0,Shooting foul by R. Hollis-Jefferson (drawn by K. Walker),,6-13,,
8:17.0,K. Walker misses free throw 1 of 1,,6-13,,
8:17.0,,,6-13,,J. Harris enters the game for R. Hollis-Jefferson
8:16.0,,,6-13,,Defensive rebound by B. Bogdanovic
8:05.0,,,6-13,,Turnover by B. Lopez (discontinued dribble)
7:43.0,K. Walker makes 2-pt shot from 19 ft,2,8-13,,
7:35.0,Personal foul by C. Zeller (drawn by B. Lopez),,8-13,,
7:35.0,S. Hawes enters the game for C. Zeller,,8-13,,
7:26.0,,,8-15,2,I. Whitehead makes 2-pt shot from 2 ft (assist by J. Harris)
7:24.0,Charlotte full timeout,,8-15,,
7:13.0,M. Williams misses 3-pt shot from 23 ft (block by T. Booker),,8-15,,
7:13.0,Offensive rebound by Team,,8-15,,
7:06.0,N. Batum misses 3-pt shot from 24 ft,,8-15,,
7:05.0,,,8-15,,Defensive rebound by T. Booker
6:53.0,,,8-17,2,B. Lopez makes 2-pt shot from 3 ft
6:30.0,M. Williams misses 2-pt shot from 2 ft,,8-17,,
6:29.0,,,8-17,,Defensive rebound by T. Booker
6:23.0,,,8-19,2,T. Booker makes 2-pt shot from 3 ft
6:08.0,M. Williams misses 3-pt shot from 24 ft,,8-19,,
6:07.0,,,8-19,,Defensive rebound by J. Harris
5:57.0,,,8-19,,I. Whitehead misses 3-pt shot from 26 ft
5:56.0,,,8-19,,Offensive rebound by T. Booker
5:53.0,,,8-19,,B. Lopez misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by N. Batum,,8-19,,
5:47.0,,,8-19,,Violation by B. Lopez (kicked ball)
5:47.0,,,8-19,,L. Scola enters the game for B. Lopez
5:47.0,,,8-19,,S. Kilpatrick enters the game for I. Whitehead
5:45.0,,,8-19,,J. Hamilton enters the game for T. Booker
5:36.0,S. Hawes misses 2-pt shot from 16 ft,,8-19,,
5:35.0,,,8-19,,Defensive rebound by L. Scola
5:31.0,,,8-21,2,B. Bogdanovic makes 2-pt shot from 22 ft (assist by S. Kilpatrick)
5:16.0,Turnover by N. Batum (traveling),,8-21,,
5:16.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,8-21,,
5:16.0,F. Kaminsky enters the game for M. Williams,,8-21,,
5:09.0,,,8-21,,B. Bogdanovic misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by S. Hawes,,8-21,,
4:59.0,K. Walker makes 2-pt shot from 8 ft,2,10-21,,
4:55.0,Violation by Team (jump ball),,10-21,,
4:39.0,,,10-21,,J. Harris misses 2-pt shot from 3 ft
4:39.0,,,10-21,,Offensive rebound by Team
4:39.0,Loose ball foul by S. Hawes (drawn by J. Hamilton),,10-21,,
4:29.0,,,10-21,,J. Hamilton misses 3-pt shot from 23 ft
4:28.0,Defensive rebound by F. Kaminsky,,10-21,,
4:19.0,N. Batum makes 2-pt shot from 16 ft,2,12-21,,
4:06.0,,,12-21,,J. Harris misses 2-pt shot from 2 ft (block by S. Hawes)
4:05.0,,,12-21,,Offensive rebound by Team
3:58.0,,,12-21,,Turnover by S. Kilpatrick (bad pass; steal by M. Belinelli)
3:48.0,N. Batum misses 3-pt shot from 27 ft,,12-21,,
3:47.0,Offensive rebound by Team,,12-21,,
3:46.0,,,12-21,,Loose ball foul by J. Harris (drawn by F. Kaminsky)
3:27.0,N. Batum misses 2-pt shot from 15 ft,,12-21,,
3:26.0,,,12-21,,Defensive rebound by J. Harris
3:24.0,,,12-21,,Offensive charge foul by B. Bogdanovic
3:24.0,,,12-21,,Turnover by B. Bogdanovic (offensive foul)
3:06.0,K. Walker makes 3-pt shot from 23 ft (assist by F. Kaminsky),3,15-21,,
2:57.0,,,15-21,,Turnover by L. Scola (bad pass)
2:57.0,,,15-21,,Brooklyn full timeout
2:48.0,,,15-21,,Personal foul by S. Kilpatrick (drawn by K. Walker)
2:48.0,K. Walker makes free throw 1 of 3,1,16-21,,
2:48.0,K. Walker misses free throw 2 of 3,,16-21,,
2:48.0,Offensive rebound by Team,,16-21,,
2:48.0,K. Walker makes free throw 3 of 3,1,17-21,,
2:32.0,,,17-23,2,J. Hamilton makes 2-pt shot from 7 ft (assist by B. Bogdanovic)
2:14.0,K. Walker misses 2-pt shot from 18 ft,,17-23,,
2:13.0,,,17-23,,Defensive rebound by J. Hamilton
2:05.0,,,17-23,,Offensive charge foul by S. Kilpatrick
2:05.0,,,17-23,,Turnover by S. Kilpatrick (offensive foul)
2:05.0,R. Sessions enters the game for K. Walker,,17-23,,
2:05.0,,,17-23,,I. Whitehead enters the game for S. Kilpatrick
1:51.0,N. Batum makes 2-pt shot from 3 ft (assist by M. Belinelli),2,19-23,,
1:36.0,,,19-23,,B. Bogdanovic misses 2-pt shot from 12 ft
1:35.0,Defensive rebound by R. Sessions,,19-23,,
1:27.0,Turnover by R. Sessions (bad pass; steal by I. Whitehead),,19-23,,
1:24.0,,,19-23,,Turnover by I. Whitehead (bad pass)
1:14.0,Offensive foul by N. Batum,,19-23,,
1:14.0,Turnover by N. Batum (offensive foul),,19-23,,
0:59.0,,,19-23,,J. Harris misses 3-pt shot from 22 ft
0:57.0,Defensive rebound by R. Sessions,,19-23,,
0:52.0,N. Batum makes 3-pt shot from 24 ft (assist by R. Sessions),3,22-23,,
0:38.0,,,22-23,,B. Bogdanovic misses 3-pt shot from 24 ft
0:37.0,,,22-23,,Offensive rebound by I. Whitehead
0:22.0,,,22-23,,I. Whitehead misses 3-pt shot from 24 ft
0:21.0,Defensive rebound by S. Hawes,,22-23,,
0:05.0,,,22-23,,Personal foul by I. Whitehead (drawn by R. Sessions)
0:05.0,R. Sessions makes free throw 1 of 2,1,23-23,,
0:05.0,R. Sessions misses free throw 2 of 2,,23-23,,
0:04.0,,,23-23,,Defensive rebound by J. Hamilton
0:01.0,,,23-23,,I. Whitehead misses 3-pt shot from 31 ft
0:00.0,,,23-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,23-23,,S. Kilpatrick misses 3-pt shot from 26 ft
11:43.0,Defensive rebound by M. Kidd-Gilchrist,,23-23,,
11:37.0,M. Belinelli misses 3-pt shot from 25 ft,,23-23,,
11:36.0,,,23-23,,Defensive rebound by Team
11:35.0,Loose ball foul by F. Kaminsky (drawn by I. Whitehead),,23-23,,
11:15.0,,,23-25,2,I. Whitehead makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson)
10:55.0,R. Sessions misses 2-pt shot from 4 ft (block by I. Whitehead),,23-25,,
10:54.0,Offensive rebound by Team,,23-25,,
10:51.0,R. Sessions misses 2-pt shot from 19 ft,,23-25,,
10:50.0,,,23-25,,Defensive rebound by S. Kilpatrick
10:37.0,Personal foul by R. Sessions (drawn by A. Bennett),,23-25,,
10:26.0,,,23-27,2,J. Hamilton makes 2-pt shot from 10 ft (assist by R. Hollis-Jefferson)
9:59.0,S. Hawes makes 2-pt shot from 7 ft (assist by F. Kaminsky),2,25-27,,
9:46.0,,,25-27,,A. Bennett misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by M. Belinelli,,25-27,,
9:38.0,Turnover by M. Belinelli (bad pass; steal by A. Bennett),,25-27,,
9:33.0,,,25-29,2,J. Hamilton makes 2-pt shot from 8 ft (assist by R. Hollis-Jefferson)
9:08.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft,2,27-29,,
9:00.0,,,27-29,,Shooting foul by F. Kaminsky (drawn by R. Hollis-Jefferson)
9:00.0,,,27-30,1,R. Hollis-Jefferson makes free throw 1 of 2
9:00.0,,,27-30,,R. Hollis-Jefferson misses free throw 2 of 2
9:00.0,M. Williams enters the game for F. Kaminsky,,27-30,,
8:59.0,Defensive rebound by M. Williams,,27-30,,
8:50.0,S. Hawes misses 2-pt shot from 3 ft,,27-30,,
8:49.0,,,27-30,,Defensive rebound by J. Hamilton
8:36.0,,,27-33,3,J. Hamilton makes 3-pt shot from 26 ft (assist by I. Whitehead)
8:19.0,S. Hawes makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,30-33,,
8:02.0,,,30-33,,Turnover by I. Whitehead (bad pass; steal by M. Kidd-Gilchrist)
8:02.0,,,30-33,,Personal foul by I. Whitehead (drawn by M. Kidd-Gilchrist)
8:02.0,Official timeout,,30-33,,
8:02.0,,,30-33,,B. Lopez enters the game for J. Hamilton
8:02.0,,,30-33,,J. Harris enters the game for I. Whitehead
8:02.0,,,30-33,,T. Booker enters the game for A. Bennett
7:47.0,R. Sessions misses 2-pt shot from 3 ft,,30-33,,
7:46.0,,,30-33,,Defensive rebound by B. Lopez
7:39.0,,,30-35,2,S. Kilpatrick makes 2-pt shot from 2 ft
7:20.0,M. Belinelli misses 2-pt shot from 24 ft,,30-35,,
7:19.0,,,30-35,,Defensive rebound by Team
7:03.0,,,30-38,3,S. Kilpatrick makes 3-pt shot from 26 ft (assist by B. Lopez)
6:47.0,M. Belinelli misses 2-pt shot from 15 ft,,30-38,,
6:46.0,,,30-38,,Defensive rebound by T. Booker
6:33.0,,,30-38,,S. Kilpatrick misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by S. Hawes,,30-38,,
6:25.0,M. Belinelli misses 2-pt shot from 2 ft,,30-38,,
6:23.0,Offensive rebound by S. Hawes,,30-38,,
6:21.0,S. Hawes makes 2-pt shot from 3 ft,2,32-38,,
6:01.0,,,32-40,2,T. Booker makes 2-pt shot from 4 ft
5:56.0,Charlotte full timeout,,32-40,,
5:56.0,C. Zeller enters the game for S. Hawes,,32-40,,
5:56.0,K. Walker enters the game for M. Kidd-Gilchrist,,32-40,,
5:56.0,N. Batum enters the game for M. Belinelli,,32-40,,
5:41.0,K. Walker misses 3-pt shot from 25 ft,,32-40,,
5:40.0,,,32-40,,Defensive rebound by J. Harris
5:28.0,,,32-40,,S. Kilpatrick misses 3-pt shot from 26 ft
5:26.0,Defensive rebound by C. Zeller,,32-40,,
5:16.0,N. Batum misses 2-pt shot from 18 ft,,32-40,,
5:15.0,,,32-40,,Defensive rebound by T. Booker
5:06.0,,,32-40,,Shooting foul by C. Zeller (drawn by T. Booker)
5:06.0,,,32-41,1,T. Booker makes free throw 1 of 2
5:06.0,,,32-42,1,T. Booker makes free throw 2 of 2
5:06.0,S. Hawes enters the game for C. Zeller,,32-41,,
4:52.0,M. Williams misses 3-pt shot from 24 ft,,32-42,,
4:50.0,,,32-42,,Defensive rebound by R. Hollis-Jefferson
4:34.0,,,32-44,2,B. Lopez makes 2-pt shot from 7 ft
4:25.0,Turnover by R. Sessions (bad pass; steal by R. Hollis-Jefferson),,32-44,,
4:12.0,,,32-44,,B. Lopez misses 2-pt shot from 9 ft
4:11.0,Defensive rebound by S. Hawes,,32-44,,
4:01.0,S. Hawes makes 2-pt shot from 7 ft,2,34-44,,
3:43.0,,,34-47,3,R. Hollis-Jefferson makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
3:27.0,M. Williams misses 3-pt shot from 23 ft,,34-47,,
3:26.0,,,34-47,,Defensive rebound by S. Kilpatrick
3:12.0,,,34-47,,B. Lopez misses 3-pt shot from 25 ft
3:11.0,Defensive rebound by M. Williams,,34-47,,
2:56.0,,,34-47,,Personal foul by B. Lopez (drawn by N. Batum)
2:56.0,,,34-47,,Brooklyn full timeout
2:56.0,M. Kidd-Gilchrist enters the game for R. Sessions,,34-47,,
2:56.0,,,34-47,,B. Bogdanovic enters the game for J. Harris
2:46.0,K. Walker makes 2-pt shot from 15 ft,2,36-47,,
2:27.0,,,36-47,,B. Lopez misses 2-pt shot from 8 ft
2:26.0,Defensive rebound by M. Kidd-Gilchrist,,36-47,,
2:15.0,K. Walker makes 2-pt shot from 2 ft,2,38-47,,
2:02.0,,,38-50,3,R. Hollis-Jefferson makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
1:48.0,Shooting foul by T. Booker (drawn by S. Hawes),,38-50,,
1:48.0,S. Hawes makes free throw 1 of 2,1,39-50,,
1:48.0,S. Hawes makes free throw 2 of 2,1,40-50,,
1:26.0,,,40-50,,T. Booker misses 2-pt shot from 21 ft
1:24.0,Defensive rebound by N. Batum,,40-50,,
1:13.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Williams),3,43-50,,
0:52.0,,,43-50,,B. Bogdanovic misses 2-pt shot from 17 ft
0:51.0,Defensive rebound by M. Kidd-Gilchrist,,43-50,,
0:40.0,S. Hawes misses 2-pt shot from 14 ft,,43-50,,
0:39.0,Offensive rebound by Team,,43-50,,
0:28.0,Turnover by K. Walker (bad pass; steal by S. Kilpatrick),,43-50,,
0:23.0,,,43-50,,Brooklyn full timeout
0:05.0,,,43-50,,S. Kilpatrick misses 3-pt shot from 31 ft
0:05.0,,,43-50,,Offensive rebound by Team
0:04.0,,,43-50,,Turnover by Team (shot clock)
0:01.0,K. Walker misses 2-pt shot from 16 ft,,43-50,,
0:00.0,Offensive rebound by Team,,43-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,43-52,2,T. Booker makes 2-pt shot from 23 ft
11:17.0,M. Williams misses 3-pt shot from 24 ft,,43-52,,
11:16.0,,,43-52,,Defensive rebound by T. Booker
10:56.0,,,43-54,2,I. Whitehead makes 2-pt shot from 2 ft (assist by B. Lopez)
10:36.0,,,43-54,,Shooting block foul by R. Hollis-Jefferson (drawn by K. Walker)
10:36.0,K. Walker makes free throw 1 of 2,1,44-54,,
10:36.0,K. Walker makes free throw 2 of 2,1,45-54,,
10:36.0,,,44-54,,S. Kilpatrick enters the game for I. Whitehead
10:15.0,,,45-54,,B. Bogdanovic misses 2-pt shot from 21 ft
10:13.0,Defensive rebound by C. Zeller,,45-54,,
10:04.0,C. Zeller misses 2-pt shot from 3 ft,,45-54,,
10:03.0,Offensive rebound by C. Zeller,,45-54,,
10:02.0,C. Zeller makes 2-pt shot from 1 ft,2,47-54,,
9:51.0,,,47-54,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Bogdanovic)
9:51.0,,,47-55,1,B. Bogdanovic makes free throw 1 of 2
9:51.0,,,47-56,1,B. Bogdanovic makes free throw 2 of 2
9:51.0,,,47-55,,I. Whitehead enters the game for S. Kilpatrick
9:35.0,K. Walker makes 3-pt shot from 25 ft (assist by M. Williams),3,50-56,,
9:11.0,,,50-56,,I. Whitehead misses 2-pt shot from 19 ft
9:10.0,Defensive rebound by C. Zeller,,50-56,,
8:59.0,K. Walker misses 3-pt shot from 24 ft,,50-56,,
8:58.0,,,50-56,,Defensive rebound by T. Booker
8:47.0,,,50-56,,R. Hollis-Jefferson misses 2-pt shot from 6 ft
8:46.0,Defensive rebound by N. Batum,,50-56,,
8:42.0,K. Walker misses 2-pt shot from 3 ft,,50-56,,
8:41.0,Offensive rebound by C. Zeller,,50-56,,
8:40.0,C. Zeller makes 2-pt shot at rim,2,52-56,,
8:40.0,,,52-56,,Brooklyn full timeout
8:22.0,,,52-56,,T. Booker misses 2-pt shot from 17 ft
8:21.0,Defensive rebound by K. Walker,,52-56,,
8:13.0,Turnover by K. Walker (lost ball; steal by T. Booker),,52-56,,
8:09.0,,,52-58,2,I. Whitehead makes 2-pt shot from 3 ft (assist by T. Booker)
7:54.0,C. Zeller makes 2-pt shot from 2 ft (assist by N. Batum),2,54-58,,
7:54.0,Shooting foul by T. Booker (drawn by C. Zeller),,54-58,,
7:54.0,C. Zeller makes free throw 1 of 1,1,55-58,,
7:39.0,,,55-58,,B. Lopez misses 2-pt shot from 12 ft
7:38.0,Defensive rebound by M. Kidd-Gilchrist,,55-58,,
7:30.0,N. Batum misses 3-pt shot from 25 ft,,55-58,,
7:29.0,Offensive rebound by M. Kidd-Gilchrist,,55-58,,
7:27.0,K. Walker misses 3-pt shot from 25 ft,,55-58,,
7:26.0,,,55-58,,Defensive rebound by B. Bogdanovic
7:01.0,,,55-58,,B. Bogdanovic misses 3-pt shot from 27 ft
7:00.0,Defensive rebound by C. Zeller,,55-58,,
6:49.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by C. Zeller),2,57-58,,
6:28.0,,,57-58,,B. Lopez misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by M. Kidd-Gilchrist,,57-58,,
6:17.0,M. Williams misses 2-pt shot from 17 ft,,57-58,,
6:16.0,,,57-58,,Defensive rebound by B. Bogdanovic
5:56.0,,,57-58,,I. Whitehead misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist)
5:54.0,Defensive rebound by K. Walker,,57-58,,
5:52.0,Shooting foul by R. Hollis-Jefferson (drawn by C. Zeller),,57-58,,
5:52.0,C. Zeller makes free throw 1 of 2,1,58-58,,
5:52.0,C. Zeller makes free throw 2 of 2,1,59-58,,
5:52.0,,,58-58,,S. Kilpatrick enters the game for I. Whitehead
5:52.0,,,58-58,,J. Hamilton enters the game for T. Booker
5:52.0,,,58-58,,J. Harris enters the game for R. Hollis-Jefferson
5:52.0,,,58-58,,L. Scola enters the game for B. Lopez
5:40.0,,,59-58,,Turnover by J. Harris (bad pass; steal by C. Zeller)
5:35.0,K. Walker makes 2-pt shot from 3 ft (assist by M. Williams),2,61-58,,
5:23.0,,,61-58,,J. Hamilton misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by N. Batum,,61-58,,
5:13.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,61-58,,
5:12.0,,,61-58,,Defensive rebound by L. Scola
5:06.0,,,61-60,2,S. Kilpatrick makes 2-pt shot from 3 ft
4:42.0,M. Williams makes 3-pt shot from 23 ft (assist by N. Batum),3,64-60,,
4:31.0,,,64-60,,S. Kilpatrick misses 2-pt shot from 19 ft
4:30.0,Defensive rebound by N. Batum,,64-60,,
4:21.0,,,64-60,,Personal foul by J. Harris (drawn by M. Kidd-Gilchrist)
4:21.0,F. Kaminsky enters the game for M. Williams,,64-60,,
4:21.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,64-60,,
4:14.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by C. Zeller),2,66-60,,
3:57.0,,,66-60,,Shooting foul by K. Walker (drawn by S. Kilpatrick)
3:57.0,,,66-60,,S. Kilpatrick misses free throw 1 of 2
3:57.0,,,66-60,,Offensive rebound by Team
3:57.0,,,66-60,,S. Kilpatrick misses free throw 2 of 2
3:56.0,Defensive rebound by F. Kaminsky,,66-60,,
3:42.0,Turnover by N. Batum (bad pass; steal by S. Kilpatrick),,66-60,,
3:39.0,,,66-60,,Turnover by L. Scola (bad pass)
3:28.0,K. Walker misses 2-pt shot from 19 ft,,66-60,,
3:27.0,,,66-60,,Defensive rebound by L. Scola
3:20.0,,,66-60,,S. Kilpatrick misses 2-pt shot from 3 ft
3:19.0,Defensive rebound by K. Walker,,66-60,,
3:12.0,M. Belinelli misses 3-pt shot from 24 ft,,66-60,,
3:11.0,,,66-60,,Defensive rebound by L. Scola
2:56.0,,,66-63,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Hamilton)
2:36.0,F. Kaminsky makes 3-pt shot from 23 ft (assist by C. Zeller),3,69-63,,
2:20.0,,,69-63,,Shooting foul by F. Kaminsky (drawn by S. Kilpatrick)
2:20.0,Charlotte full timeout,,69-63,,
2:20.0,,,69-64,1,S. Kilpatrick makes free throw 1 of 2
2:20.0,,,69-64,,S. Kilpatrick misses free throw 2 of 2
2:20.0,S. Hawes enters the game for C. Zeller,,69-63,,
2:20.0,R. Sessions enters the game for K. Walker,,69-63,,
2:19.0,Defensive rebound by N. Batum,,69-64,,
2:03.0,Turnover by S. Hawes (offensive foul),,69-64,,
2:03.0,Offensive foul by S. Hawes,,69-64,,
1:53.0,,,69-64,,Shooting foul by R. Sessions (drawn by S. Kilpatrick)
1:53.0,,,69-65,1,S. Kilpatrick makes free throw 1 of 2
1:53.0,,,69-66,1,S. Kilpatrick makes free throw 2 of 2
1:44.0,N. Batum makes 2-pt shot at rim (assist by R. Sessions),2,71-66,,
1:27.0,,,71-66,,B. Bogdanovic misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by M. Belinelli,,71-66,,
1:14.0,S. Hawes makes 2-pt shot from 17 ft (assist by M. Belinelli),2,73-66,,
0:56.0,,,73-66,,Turnover by B. Bogdanovic (bad pass; steal by M. Belinelli)
0:54.0,Turnover by S. Hawes (bad pass; steal by J. Hamilton),,73-66,,
0:49.0,,,73-66,,B. Bogdanovic misses 2-pt shot from 3 ft
0:47.0,,,73-66,,Offensive rebound by B. Bogdanovic
0:47.0,,,73-68,2,B. Bogdanovic makes 2-pt shot at rim
0:37.0,R. Sessions misses 2-pt shot from 1 ft,,73-68,,
0:36.0,,,73-68,,Defensive rebound by J. Hamilton
0:25.0,,,73-70,2,L. Scola makes 2-pt shot from 1 ft (assist by S. Kilpatrick)
0:03.0,Turnover by S. Hawes (bad pass; steal by L. Scola),,73-70,,
0:00.0,,,73-70,,S. Kilpatrick misses 3-pt shot from 38 ft
0:00.0,,,73-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,M. Belinelli makes 2-pt shot from 18 ft (assist by R. Sessions),2,75-70,,
11:32.0,,,75-70,,S. Kilpatrick misses 2-pt shot from 8 ft
11:31.0,Defensive rebound by F. Kaminsky,,75-70,,
11:21.0,F. Kaminsky misses 3-pt shot from 26 ft,,75-70,,
11:20.0,,,75-70,,Defensive rebound by R. Hollis-Jefferson
11:06.0,,,75-70,,Turnover by L. Scola (bad pass; steal by M. Belinelli)
11:02.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,75-70,,
11:01.0,,,75-70,,Defensive rebound by I. Whitehead
10:55.0,,,75-72,2,L. Scola makes 2-pt shot from 2 ft (assist by I. Whitehead)
10:37.0,F. Kaminsky misses 3-pt shot from 25 ft,,75-72,,
10:35.0,,,75-72,,Defensive rebound by L. Scola
10:12.0,,,75-72,,S. Kilpatrick misses 2-pt shot from 18 ft
10:10.0,Defensive rebound by M. Kidd-Gilchrist,,75-72,,
10:04.0,R. Sessions misses 3-pt shot from 26 ft,,75-72,,
10:03.0,,,75-72,,Defensive rebound by S. Kilpatrick
9:50.0,,,75-72,,L. Scola misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by M. Kidd-Gilchrist,,75-72,,
9:25.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by R. Sessions),3,78-72,,
9:07.0,,,78-74,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by L. Scola)
8:52.0,Shooting foul by I. Whitehead (drawn by R. Sessions),,78-74,,
8:52.0,Official timeout,,78-74,,
8:52.0,R. Sessions misses free throw 1 of 2,,78-74,,
8:52.0,Offensive rebound by Team,,78-74,,
8:52.0,R. Sessions makes free throw 2 of 2,1,79-74,,
8:31.0,,,79-77,3,S. Kilpatrick makes 3-pt shot from 26 ft
8:11.0,Turnover by F. Kaminsky (bad pass; steal by I. Whitehead),,79-77,,
8:08.0,,,79-77,,Turnover by I. Whitehead (bad pass)
8:08.0,,,79-77,,B. Lopez enters the game for L. Scola
8:08.0,,,79-77,,T. Booker enters the game for J. Hamilton
8:08.0,,,79-77,,J. Harris enters the game for S. Kilpatrick
7:47.0,Turnover by S. Hawes (3 sec),,79-77,,
7:31.0,,,79-77,,B. Lopez misses 2-pt shot from 17 ft
7:30.0,Defensive rebound by F. Kaminsky,,79-77,,
7:21.0,R. Sessions makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,81-77,,
7:02.0,,,81-77,,B. Lopez misses 2-pt shot from 7 ft
7:01.0,Defensive rebound by M. Belinelli,,81-77,,
6:58.0,Turnover by M. Belinelli (lost ball; steal by R. Hollis-Jefferson),,81-77,,
6:53.0,,,81-79,2,B. Lopez makes 2-pt shot from 5 ft (assist by R. Hollis-Jefferson)
6:38.0,R. Sessions misses 3-pt shot from 24 ft,,81-79,,
6:37.0,,,81-79,,Defensive rebound by R. Hollis-Jefferson
6:24.0,,,81-79,,B. Lopez misses 2-pt shot from 2 ft
6:23.0,Defensive rebound by M. Kidd-Gilchrist,,81-79,,
6:19.0,Shooting foul by I. Whitehead (drawn by R. Sessions),,81-79,,
6:19.0,R. Sessions makes free throw 1 of 2,1,82-79,,
6:19.0,R. Sessions makes free throw 2 of 2,1,83-79,,
6:19.0,C. Zeller enters the game for F. Kaminsky,,82-79,,
6:19.0,M. Williams enters the game for S. Hawes,,82-79,,
6:19.0,N. Batum enters the game for M. Kidd-Gilchrist,,82-79,,
6:19.0,K. Walker enters the game for M. Belinelli,,82-79,,
6:19.0,,,82-79,,B. Bogdanovic enters the game for R. Hollis-Jefferson
6:19.0,,,82-79,,S. Kilpatrick enters the game for I. Whitehead
6:02.0,,,83-79,,Turnover by B. Lopez (lost ball; steal by C. Zeller)
6:00.0,,,83-79,,Personal foul by J. Harris (drawn by R. Sessions)
5:49.0,K. Walker makes 2-pt shot from 1 ft (assist by C. Zeller),2,85-79,,
5:42.0,,,85-79,,Brooklyn full timeout
5:36.0,,,85-79,,Shooting foul by C. Zeller (drawn by B. Lopez)
