time,Portland,pts.away,score,pts.home,Oklahoma City
8:56.0,M. Harkless misses 2-pt shot from 3 ft,,5-8,,
8:56.0,Offensive rebound by N. Vonleh,,5-8,,
8:55.0,N. Vonleh makes 2-pt shot from 5 ft,2,7-8,,
8:40.0,,,7-8,,Turnover by D. Sabonis (bad pass)
8:33.0,D. Lillard makes 3-pt shot from 26 ft,3,10-8,,
8:21.0,,,10-10,2,R. Westbrook makes 2-pt shot from 14 ft
8:13.0,C. McCollum misses 2-pt shot from 14 ft,,10-10,,
8:13.0,,,10-10,,Defensive rebound by V. Oladipo
7:54.0,Shooting block foul by N. Vonleh (drawn by R. Westbrook),,10-10,,
7:54.0,,,10-11,1,R. Westbrook makes free throw 1 of 2
7:54.0,,,10-12,1,R. Westbrook makes free throw 2 of 2
7:34.0,J. Nurkic misses 2-pt shot from 5 ft,,10-12,,
7:34.0,,,10-12,,Defensive rebound by A. Roberson
7:25.0,,,10-12,,D. Sabonis misses 2-pt shot from 2 ft (block by M. Harkless)
7:25.0,,,10-12,,Offensive rebound by Team
7:16.0,,,10-12,,R. Westbrook misses 2-pt shot from 8 ft
7:15.0,,,10-12,,Offensive rebound by A. Roberson
7:15.0,,,10-14,2,A. Roberson makes 2-pt shot from 2 ft
7:01.0,D. Lillard misses 3-pt shot from 24 ft,,10-14,,
7:01.0,,,10-14,,Defensive rebound by S. Adams
6:43.0,,,10-16,2,D. Sabonis makes 2-pt shot from 1 ft
6:31.0,Turnover by J. Nurkic (bad pass; steal by R. Westbrook),,10-16,,
6:25.0,,,10-19,3,R. Westbrook makes 3-pt shot from 24 ft
6:24.0,Portland full timeout,,10-19,,
6:24.0,,,10-19,,E. Kanter enters the game for D. Sabonis
6:14.0,Shooting foul by S. Adams (drawn by J. Nurkic),,10-19,,
6:14.0,J. Nurkic makes free throw 1 of 2,1,11-19,,
6:14.0,J. Nurkic makes free throw 2 of 2,1,12-19,,
6:02.0,,,12-19,,Turnover by R. Westbrook (bad pass)
5:45.0,Shooting foul by S. Adams (drawn by M. Harkless),,12-19,,
5:45.0,M. Harkless misses free throw 1 of 2,,12-19,,
5:45.0,Offensive rebound by Team,,12-19,,
5:45.0,M. Harkless misses free throw 2 of 2,,12-19,,
5:45.0,A. Crabbe enters the game for C. McCollum,,12-19,,
5:45.0,,,12-19,,T. Gibson enters the game for S. Adams
5:43.0,,,12-19,,Defensive rebound by T. Gibson
5:28.0,,,12-19,,R. Westbrook misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by J. Nurkic,,12-19,,
5:16.0,J. Nurkic misses 2-pt shot from 18 ft,,12-19,,
5:16.0,,,12-19,,Defensive rebound by V. Oladipo
5:11.0,Shooting block foul by A. Crabbe (drawn by V. Oladipo),,12-19,,
5:11.0,,,12-20,1,V. Oladipo makes free throw 1 of 2
5:11.0,,,12-21,1,V. Oladipo makes free throw 2 of 2
5:11.0,,,12-20,,D. McDermott enters the game for A. Roberson
4:58.0,N. Vonleh makes 2-pt shot at rim (assist by J. Nurkic),2,14-21,,
4:34.0,,,14-24,3,R. Westbrook makes 3-pt shot from 23 ft (assist by E. Kanter)
4:19.0,N. Vonleh makes 2-pt shot from 18 ft (assist by A. Crabbe),2,16-24,,
3:59.0,,,16-27,3,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook)
3:39.0,A. Crabbe misses 2-pt shot from 8 ft,,16-27,,
3:39.0,Offensive rebound by A. Crabbe,,16-27,,
3:31.0,J. Nurkic misses 2-pt shot from 20 ft,,16-27,,
3:31.0,,,16-27,,Defensive rebound by R. Westbrook
3:21.0,,,16-27,,R. Westbrook misses 2-pt shot from 10 ft
3:21.0,,,16-27,,Offensive rebound by E. Kanter
3:19.0,,,16-29,2,E. Kanter makes 2-pt shot from 5 ft
3:19.0,,,16-29,,Shooting foul by J. Nurkic (drawn by E. Kanter)
3:19.0,,,16-30,1,E. Kanter makes free throw 1 of 1
3:19.0,,,16-29,,A. Abrines enters the game for V. Oladipo
3:19.0,M. Leonard enters the game for N. Vonleh,,16-29,,
3:19.0,A. Aminu enters the game for J. Nurkic,,16-29,,
3:06.0,D. Lillard makes 2-pt shot from 1 ft,2,18-30,,
2:52.0,,,18-30,,Turnover by R. Westbrook (bad pass; steal by D. Lillard)
2:48.0,,,18-30,,Shooting block foul by A. Abrines (drawn by A. Crabbe)
2:48.0,,,18-30,,Oklahoma City full timeout
2:48.0,A. Crabbe makes free throw 1 of 2,1,19-30,,
2:48.0,A. Crabbe makes free throw 2 of 2,1,20-30,,
2:48.0,,,18-30,,N. Cole enters the game for R. Westbrook
2:48.0,C. McCollum enters the game for D. Lillard,,18-30,,
2:48.0,S. Napier enters the game for M. Harkless,,19-30,,
2:37.0,,,20-32,2,E. Kanter makes 2-pt shot from 1 ft (assist by A. Abrines)
2:20.0,Shooting foul by E. Kanter (drawn by A. Crabbe),,20-32,,
2:20.0,A. Crabbe makes free throw 1 of 2,1,21-32,,
2:20.0,A. Crabbe makes free throw 2 of 2,1,22-32,,
2:06.0,,,22-34,2,N. Cole makes 2-pt shot from 16 ft (assist by D. McDermott)
1:52.0,A. Aminu makes 3-pt shot from 22 ft (assist by S. Napier),3,25-34,,
1:36.0,,,25-36,2,A. Abrines makes 2-pt shot from 12 ft
1:17.0,M. Leonard makes 2-pt shot from 15 ft,2,27-36,,
1:00.0,,,27-38,2,E. Kanter makes 2-pt shot from 16 ft
0:44.0,A. Crabbe makes 2-pt shot from 15 ft (assist by S. Napier),2,29-38,,
0:35.0,,,29-38,,A. Abrines misses 2-pt shot from 12 ft
0:34.0,Defensive rebound by A. Aminu,,29-38,,
0:21.0,A. Aminu misses 2-pt shot from 2 ft,,29-38,,
0:21.0,,,29-38,,Defensive rebound by E. Kanter
0:04.0,,,29-40,2,E. Kanter makes 2-pt shot from 9 ft (assist by N. Cole)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,29-40,,N. Cole misses 2-pt shot from 6 ft
11:40.0,Defensive rebound by A. Aminu,,29-40,,
11:23.0,C. McCollum makes 2-pt shot from 15 ft,2,31-40,,
11:13.0,Personal foul by M. Leonard (drawn by A. Abrines),,31-40,,
10:56.0,,,31-40,,E. Kanter misses 2-pt shot from 11 ft
10:55.0,Defensive rebound by A. Aminu,,31-40,,
10:43.0,M. Leonard makes 2-pt shot from 8 ft,2,33-40,,
10:32.0,Personal foul by S. Napier (drawn by N. Cole),,33-40,,
10:23.0,,,33-40,,Turnover by N. Cole (lost ball; steal by S. Napier)
10:17.0,C. McCollum makes 2-pt shot from 15 ft,2,35-40,,
10:15.0,,,35-40,,Oklahoma City full timeout
9:55.0,,,35-40,,A. Abrines misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by M. Leonard,,35-40,,
9:46.0,C. McCollum misses 3-pt shot from 24 ft,,35-40,,
9:46.0,,,35-40,,Defensive rebound by E. Kanter
9:37.0,,,35-40,,Turnover by N. Cole (bad pass; steal by S. Napier)
9:33.0,A. Aminu makes 2-pt shot at rim,2,37-40,,
9:11.0,,,37-40,,Turnover by E. Kanter (3 sec)
9:11.0,,,37-40,,V. Oladipo enters the game for A. Abrines
9:11.0,,,37-40,,S. Adams enters the game for E. Kanter
8:50.0,Turnover by A. Crabbe (lost ball),,37-40,,
8:50.0,,,37-40,,R. Westbrook enters the game for N. Cole
8:38.0,,,37-40,,J. Grant misses 2-pt shot from 5 ft
8:37.0,Defensive rebound by A. Crabbe,,37-40,,
8:24.0,Turnover by A. Aminu (lost ball),,37-40,,
8:13.0,,,37-40,,Turnover by V. Oladipo (bad pass; steal by A. Aminu)
8:04.0,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Napier),3,40-40,,
7:51.0,,,40-42,2,R. Westbrook makes 2-pt shot from 14 ft
7:31.0,M. Leonard makes 3-pt shot from 25 ft (assist by S. Napier),3,43-42,,
7:15.0,,,43-45,3,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook)
6:52.0,C. McCollum makes 2-pt shot from 10 ft,2,45-45,,
6:40.0,,,45-48,3,R. Westbrook makes 3-pt shot from 25 ft
6:38.0,Portland full timeout,,45-48,,
6:38.0,,,45-48,,T. Gibson enters the game for J. Grant
6:38.0,J. Nurkic enters the game for C. McCollum,,45-48,,
6:38.0,D. Lillard enters the game for M. Leonard,,45-48,,
6:38.0,M. Harkless enters the game for S. Napier,,45-48,,
6:24.0,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard),3,48-48,,
6:08.0,,,48-50,2,A. Roberson makes 2-pt shot from 1 ft (assist by T. Gibson)
5:49.0,Turnover by J. Nurkic (bad pass),,48-50,,
5:38.0,,,48-50,,R. Westbrook misses 2-pt shot from 12 ft
5:38.0,Defensive rebound by A. Aminu,,48-50,,
5:30.0,D. Lillard misses 3-pt shot from 25 ft,,48-50,,
5:30.0,,,48-50,,Defensive rebound by Team
5:12.0,,,48-50,,Turnover by T. Gibson (traveling)
4:56.0,A. Aminu makes 2-pt shot from 1 ft (assist by J. Nurkic),2,50-50,,
4:46.0,,,50-52,2,R. Westbrook makes 2-pt shot from 13 ft
4:46.0,,,50-52,,Shooting foul by M. Harkless (drawn by R. Westbrook)
4:46.0,,,50-53,1,R. Westbrook makes free throw 1 of 1
4:30.0,,,50-53,,Personal foul by V. Oladipo (drawn by D. Lillard)
4:16.0,J. Nurkic misses 3-pt shot from 28 ft,,50-53,,
4:16.0,Offensive rebound by Team,,50-53,,
4:16.0,Turnover by Team (shot clock),,50-53,,
4:06.0,,,50-53,,V. Oladipo misses 2-pt shot from 5 ft
4:06.0,Defensive rebound by J. Nurkic,,50-53,,
4:00.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,52-53,,
3:41.0,,,52-53,,Shooting foul by A. Aminu (drawn by T. Gibson)
3:41.0,,,52-53,,T. Gibson misses free throw 1 of 2
3:41.0,,,52-53,,Offensive rebound by Team
3:41.0,,,52-54,1,T. Gibson makes free throw 2 of 2
3:41.0,,,52-53,,D. McDermott enters the game for V. Oladipo
3:41.0,C. McCollum enters the game for A. Crabbe,,52-53,,
3:25.0,Shooting foul by D. McDermott (drawn by D. Lillard),,52-54,,
3:25.0,D. Lillard makes free throw 1 of 2,1,53-54,,
3:25.0,D. Lillard misses free throw 2 of 2,,53-54,,
3:25.0,Offensive rebound by J. Nurkic,,53-54,,
3:25.0,Shooting foul by S. Adams (drawn by J. Nurkic),,53-54,,
3:25.0,J. Nurkic misses free throw 1 of 2,,53-54,,
3:25.0,Offensive rebound by Team,,53-54,,
3:25.0,J. Nurkic makes free throw 2 of 2,1,54-54,,
3:25.0,,,53-54,,E. Kanter enters the game for S. Adams
3:12.0,Violation by J. Nurkic (def goaltending),,54-54,,
3:12.0,,,54-56,2,R. Westbrook makes 2-pt shot from 1 ft
3:00.0,C. McCollum misses 2-pt shot from 3 ft,,54-56,,
2:59.0,,,54-56,,Defensive rebound by T. Gibson
2:49.0,,,54-59,3,A. Roberson makes 3-pt shot from 24 ft (assist by R. Westbrook)
2:48.0,Portland full timeout,,54-59,,
2:48.0,Official timeout,,54-59,,
2:39.0,Turnover by A. Aminu (traveling),,54-59,,
2:31.0,Personal foul by C. McCollum,,54-59,,
2:31.0,,,54-60,1,D. McDermott makes free throw 1 of 2
2:31.0,,,54-61,1,D. McDermott makes free throw 2 of 2
2:17.0,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard),3,57-61,,
2:01.0,,,57-63,2,R. Westbrook makes 2-pt shot from 14 ft
1:41.0,C. McCollum misses 2-pt shot from 17 ft,,57-63,,
1:41.0,,,57-63,,Defensive rebound by E. Kanter
1:32.0,,,57-63,,Turnover by E. Kanter (lost ball)
1:13.0,M. Harkless misses 3-pt shot from 24 ft,,57-63,,
1:12.0,,,57-63,,Defensive rebound by R. Westbrook
1:07.0,,,57-63,,Turnover by E. Kanter (lost ball; steal by J. Nurkic)
0:59.0,Shooting foul by D. McDermott,,57-63,,
0:59.0,C. McCollum makes free throw 1 of 2,1,58-63,,
0:59.0,C. McCollum makes free throw 2 of 2,1,59-63,,
0:46.0,,,59-65,2,R. Westbrook makes 2-pt shot from 17 ft
0:34.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,61-65,,
0:29.0,,,61-67,2,R. Westbrook makes 2-pt shot from 2 ft
0:07.0,Turnover by C. McCollum (lost ball),,61-67,,
0:00.0,,,61-67,,A. Roberson misses 3-pt shot from 24 ft
0:00.0,,,61-67,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,61-67,,Shooting foul by J. Nurkic (drawn by R. Westbrook)
11:43.0,,,61-68,1,R. Westbrook makes free throw 1 of 2
11:43.0,,,61-69,1,R. Westbrook makes free throw 2 of 2
11:23.0,Jump ball: J. Nurkic vs. D. Sabonis (M. Harkless gains possession),,,,Jump ball: J. Nurkic vs. D. Sabonis (M. Harkless gains possession)
11:13.0,C. McCollum misses 2-pt shot from 2 ft,,61-69,,
11:12.0,Offensive rebound by J. Nurkic,,61-69,,
11:12.0,J. Nurkic misses 2-pt shot from 2 ft,,61-69,,
11:10.0,Offensive rebound by M. Harkless,,61-69,,
11:09.0,J. Nurkic makes 2-pt shot from 3 ft,2,63-69,,
10:59.0,,,63-69,,R. Westbrook misses 2-pt shot from 14 ft
10:59.0,,,63-69,,Offensive rebound by Team
10:59.0,Loose ball foul by J. Nurkic (drawn by S. Adams),,63-69,,
10:59.0,M. Leonard enters the game for J. Nurkic,,63-69,,
10:51.0,,,63-69,,V. Oladipo misses 2-pt shot from 15 ft
10:51.0,Defensive rebound by N. Vonleh,,63-69,,
10:43.0,,,63-69,,Violation by S. Adams (kicked ball)
10:36.0,M. Harkless makes 2-pt shot from 1 ft,2,65-69,,
10:20.0,,,65-69,,Turnover by R. Westbrook (lost ball; steal by M. Harkless)
10:19.0,,,65-69,,Personal foul by A. Roberson (drawn by M. Harkless)
10:06.0,C. McCollum misses 2-pt shot from 13 ft,,65-69,,
10:05.0,Offensive rebound by N. Vonleh,,65-69,,
10:02.0,C. McCollum makes 2-pt shot from 13 ft (assist by N. Vonleh),2,67-69,,
10:02.0,,,67-69,,Oklahoma City full timeout
9:50.0,,,67-71,2,R. Westbrook makes 2-pt shot from 13 ft
9:34.0,D. Lillard makes 3-pt shot from 28 ft (assist by M. Harkless),3,70-71,,
9:15.0,,,70-73,2,R. Westbrook makes 2-pt shot from 6 ft
9:15.0,Loose ball foul by M. Leonard (drawn by S. Adams),,70-73,,
9:15.0,,,70-73,,S. Adams misses free throw 1 of 1
9:15.0,Defensive rebound by Team,,70-73,,
9:15.0,,,70-73,,Loose ball foul by A. Roberson (drawn by M. Leonard)
8:58.0,D. Lillard makes 2-pt shot from 8 ft,2,72-73,,
8:37.0,,,72-75,2,R. Westbrook makes 2-pt shot from 15 ft
8:17.0,M. Leonard misses 3-pt shot from 24 ft,,72-75,,
8:16.0,,,72-75,,Defensive rebound by S. Adams
8:06.0,,,72-77,2,R. Westbrook makes 2-pt shot from 2 ft
7:50.0,D. Lillard makes 2-pt shot from 1 ft,2,74-77,,
7:50.0,Shooting foul by A. Roberson (drawn by D. Lillard),,74-77,,
7:50.0,D. Lillard makes free throw 1 of 1,1,75-77,,
7:31.0,,,75-77,,A. Roberson misses 3-pt shot from 25 ft
7:30.0,,,75-77,,Offensive rebound by Team
7:26.0,,,75-77,,Turnover by A. Roberson (offensive foul)
7:26.0,,,75-77,,Offensive foul by A. Roberson
7:26.0,,,75-77,,D. McDermott enters the game for A. Roberson
7:16.0,D. Lillard misses 2-pt shot from 7 ft,,75-77,,
7:16.0,Offensive rebound by N. Vonleh,,75-77,,
7:12.0,M. Leonard makes 3-pt shot from 25 ft (assist by N. Vonleh),3,78-77,,
6:59.0,,,78-80,3,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook)
6:39.0,D. Lillard makes 2-pt shot from 1 ft,2,80-80,,
6:29.0,,,80-80,,Shooting foul by M. Leonard (drawn by R. Westbrook)
6:29.0,,,80-81,1,R. Westbrook makes free throw 1 of 2
6:29.0,,,80-81,,R. Westbrook misses free throw 2 of 2
6:29.0,,,80-81,,Offensive rebound by Team
6:29.0,Loose ball foul by M. Leonard (drawn by R. Westbrook),,80-81,,
6:29.0,,,80-82,1,S. Adams makes free throw 1 of 2
6:29.0,,,80-83,1,S. Adams makes free throw 2 of 2
6:29.0,,,80-81,,E. Kanter enters the game for D. Sabonis
6:17.0,C. McCollum misses 3-pt shot from 25 ft,,80-83,,
6:17.0,Offensive rebound by M. Harkless,,80-83,,
6:13.0,N. Vonleh makes 2-pt shot at rim (assist by M. Harkless),2,82-83,,
6:00.0,,,82-83,,R. Westbrook misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by C. McCollum,,82-83,,
5:50.0,D. Lillard misses 2-pt shot from 6 ft,,82-83,,
5:49.0,Offensive rebound by N. Vonleh,,82-83,,
5:49.0,N. Vonleh makes 2-pt shot from 1 ft,2,84-83,,
5:39.0,Personal block foul by N. Vonleh (drawn by R. Westbrook),,84-83,,
5:39.0,,,84-84,1,R. Westbrook makes free throw 1 of 2
5:39.0,,,84-85,1,R. Westbrook makes free throw 2 of 2
5:39.0,,,84-84,,J. Grant enters the game for V. Oladipo
5:39.0,A. Crabbe enters the game for C. McCollum,,84-84,,
5:26.0,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard),3,87-85,,
5:09.0,,,87-85,,R. Westbrook misses 2-pt shot from 17 ft
5:08.0,Defensive rebound by D. Lillard,,87-85,,
4:58.0,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Leonard),3,90-85,,
4:57.0,,,90-85,,Oklahoma City full timeout
4:44.0,,,90-88,3,J. Grant makes 3-pt shot from 23 ft (assist by R. Westbrook)
4:21.0,M. Leonard misses 2-pt shot from 17 ft,,90-88,,
4:20.0,,,90-88,,Defensive rebound by E. Kanter
4:03.0,,,90-88,,R. Westbrook misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by A. Crabbe,,90-88,,
3:50.0,D. Lillard makes 2-pt shot from 1 ft,2,92-88,,
3:34.0,,,92-88,,D. McDermott misses 2-pt shot from 2 ft
3:33.0,,,92-88,,Offensive rebound by E. Kanter
3:32.0,,,92-90,2,E. Kanter makes 2-pt shot from 2 ft
3:14.0,M. Leonard makes 2-pt shot from 18 ft (assist by A. Crabbe),2,94-90,,
2:53.0,,,94-90,,Turnover by E. Kanter (lost ball; steal by M. Harkless)
2:41.0,M. Leonard misses 3-pt shot from 24 ft,,94-90,,
2:41.0,,,94-90,,Defensive rebound by E. Kanter
2:34.0,,,94-90,,R. Westbrook misses 2-pt shot from 2 ft (block by M. Harkless)
2:34.0,Defensive rebound by Team,,94-90,,
2:34.0,,,94-90,,Loose ball foul by R. Westbrook (drawn by M. Harkless)
2:34.0,Portland full timeout,,94-90,,
2:34.0,,,94-90,,T. Gibson enters the game for S. Adams
2:34.0,,,94-90,,D. Sabonis enters the game for R. Westbrook
2:34.0,,,94-90,,A. Abrines enters the game for E. Kanter
2:34.0,,,94-90,,S. Christon enters the game for D. McDermott
2:34.0,C. McCollum enters the game for N. Vonleh,,94-90,,
2:34.0,A. Aminu enters the game for M. Harkless,,94-90,,
2:21.0,A. Crabbe makes 2-pt shot from 14 ft (assist by D. Lillard),2,96-90,,
2:08.0,,,96-90,,Turnover by J. Grant (traveling)
1:52.0,A. Aminu makes 2-pt shot from 3 ft,2,98-90,,
1:39.0,,,98-90,,J. Grant misses 3-pt shot from 23 ft
1:36.0,,,98-90,,Offensive rebound by D. Sabonis
1:31.0,,,98-90,,D. Sabonis misses 2-pt shot from 8 ft
1:30.0,Defensive rebound by A. Aminu,,98-90,,
1:12.0,C. McCollum misses 2-pt shot from 1 ft,,98-90,,
1:11.0,,,98-90,,Defensive rebound by D. Sabonis
1:05.0,,,98-92,2,D. Sabonis makes 2-pt shot from 1 ft (assist by S. Christon)
0:46.0,D. Lillard misses 2-pt shot from 8 ft,,98-92,,
0:46.0,,,98-92,,Defensive rebound by S. Christon
0:35.0,,,98-92,,D. Sabonis misses 3-pt shot from 23 ft
0:34.0,,,98-92,,Offensive rebound by S. Christon
0:22.0,,,98-92,,A. Abrines misses 3-pt shot from 24 ft
0:22.0,,,98-92,,Offensive rebound by T. Gibson
0:16.0,,,98-92,,S. Christon misses 3-pt shot from 25 ft
0:15.0,Defensive rebound by Team,,98-92,,
0:15.0,,,98-92,,Loose ball foul by D. Sabonis (drawn by A. Aminu)
0:15.0,A. Aminu misses free throw 1 of 2,,98-92,,
0:15.0,Offensive rebound by Team,,98-92,,
0:15.0,A. Aminu makes free throw 2 of 2,1,99-92,,
0:15.0,S. Napier enters the game for D. Lillard,,98-92,,
0:15.0,,,98-92,,V. Oladipo enters the game for J. Grant
0:15.0,N. Vonleh enters the game for M. Leonard,,98-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,C. McCollum misses 2-pt shot from 17 ft,,99-92,,
11:39.0,,,99-92,,Defensive rebound by D. Sabonis
11:22.0,,,99-92,,Offensive foul by T. Gibson
11:22.0,,,99-92,,Turnover by T. Gibson (offensive foul)
10:59.0,A. Crabbe makes 3-pt shot from 26 ft (assist by S. Napier),3,102-92,,
10:49.0,Personal foul by A. Crabbe (drawn by A. Abrines),,102-92,,
10:43.0,,,102-92,,Offensive foul by S. Christon
10:43.0,,,102-92,,Turnover by S. Christon (offensive foul)
10:26.0,C. McCollum makes 2-pt shot from 18 ft,2,104-92,,
10:04.0,,,104-92,,S. Christon misses 2-pt shot from 17 ft
10:04.0,,,104-92,,Offensive rebound by T. Gibson
10:04.0,,,104-92,,T. Gibson misses 2-pt shot from 1 ft
10:04.0,,,104-92,,Offensive rebound by Team
10:04.0,Loose ball foul by N. Vonleh (drawn by T. Gibson),,104-92,,
9:53.0,,,104-92,,D. Sabonis misses 2-pt shot from 2 ft (block by A. Aminu)
9:52.0,Defensive rebound by A. Aminu,,104-92,,
9:45.0,A. Crabbe misses 3-pt shot from 26 ft,,104-92,,
9:44.0,,,104-92,,Defensive rebound by A. Abrines
9:30.0,,,104-92,,A. Roberson misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by S. Napier,,104-92,,
9:09.0,C. McCollum misses 2-pt shot from 1 ft,,104-92,,
9:09.0,,,104-92,,Defensive rebound by A. Roberson
9:03.0,,,104-95,3,A. Abrines makes 3-pt shot from 25 ft (assist by S. Christon)
8:43.0,C. McCollum makes 2-pt shot from 2 ft,2,106-95,,
8:31.0,,,106-97,2,D. Sabonis makes 2-pt shot from 6 ft
8:28.0,Turnover by N. Vonleh (inbound),,106-97,,
8:28.0,Official timeout,,106-97,,
8:28.0,D. Lillard enters the game for N. Vonleh,,106-97,,
8:28.0,J. Nurkic enters the game for C. McCollum,,106-97,,
8:28.0,,,106-97,,R. Westbrook enters the game for T. Gibson
8:28.0,,,106-97,,S. Adams enters the game for A. Abrines
8:21.0,,,106-99,2,R. Westbrook makes 2-pt shot from 5 ft
8:00.0,S. Napier makes 2-pt shot from 15 ft,2,108-99,,
7:50.0,,,108-99,,Offensive foul by R. Westbrook
7:50.0,,,108-99,,Turnover by R. Westbrook (offensive foul)
7:28.0,J. Nurkic misses 2-pt shot from 3 ft,,108-99,,
7:27.0,,,108-99,,Defensive rebound by S. Adams
7:22.0,,,108-101,2,R. Westbrook makes 2-pt shot from 1 ft
7:06.0,Turnover by S. Napier (lost ball; steal by S. Christon),,108-101,,
7:01.0,,,108-101,,S. Christon misses 2-pt shot from 2 ft (block by A. Aminu)
7:00.0,Defensive rebound by S. Napier,,108-101,,
6:52.0,M. Harkless enters the game for A. Crabbe,,108-101,,
6:52.0,C. McCollum enters the game for S. Napier,,108-101,,
6:36.0,Turnover by J. Nurkic (bad pass; steal by R. Westbrook),,108-101,,
6:31.0,,,108-103,2,R. Westbrook makes 2-pt shot from 1 ft
6:30.0,Portland full timeout,,108-103,,
6:16.0,M. Harkless makes 2-pt shot at rim (assist by J. Nurkic),2,110-103,,
5:58.0,,,110-103,,R. Westbrook misses 2-pt shot from 10 ft
5:58.0,Defensive rebound by D. Lillard,,110-103,,
5:49.0,D. Lillard misses 3-pt shot from 25 ft,,110-103,,
5:47.0,,,110-103,,Defensive rebound by A. Roberson
5:35.0,,,110-103,,R. Westbrook misses 2-pt shot from 3 ft
5:34.0,Defensive rebound by J. Nurkic,,110-103,,
5:17.0,,,110-103,,Personal foul by S. Christon (drawn by J. Nurkic)
5:06.0,A. Aminu makes 2-pt shot from 16 ft,2,112-103,,
4:54.0,,,112-103,,Shooting foul by M. Harkless (drawn by R. Westbrook)
4:54.0,,,112-104,1,R. Westbrook makes free throw 1 of 3
4:54.0,,,112-105,1,R. Westbrook makes free throw 2 of 3
4:54.0,,,112-105,,R. Westbrook misses free throw 3 of 3
4:54.0,,,112-105,,V. Oladipo enters the game for S. Christon
4:54.0,,,112-105,,T. Gibson enters the game for D. Sabonis
4:53.0,,,112-105,,Offensive rebound by T. Gibson
4:44.0,,,112-105,,R. Westbrook misses 2-pt shot from 2 ft
4:44.0,,,112-105,,Offensive rebound by R. Westbrook
4:44.0,Personal foul by A. Aminu (drawn by R. Westbrook),,112-105,,
4:34.0,,,112-105,,V. Oladipo misses 2-pt shot from 2 ft
4:33.0,,,112-105,,Offensive rebound by T. Gibson
4:33.0,,,112-107,2,T. Gibson makes 2-pt shot from 1 ft
4:15.0,D. Lillard misses 2-pt shot from 6 ft,,112-107,,
4:15.0,,,112-107,,Defensive rebound by A. Roberson
