time,LA Lakers,pts.away,score,pts.home,Sacramento
7:12.0,L. Williams makes 3-pt shot from 25 ft (assist by J. Clarkson),3,39-41,,
7:04.0,,,39-41,,Sacramento full timeout
7:04.0,,,39-41,,K. Koufos enters the game for W. Cauley-Stein
7:04.0,J. Randle enters the game for L. Nance,,39-41,,
6:57.0,,,39-41,,O. Casspi misses 2-pt shot from 5 ft
6:56.0,,,39-41,,Offensive rebound by K. Koufos
6:56.0,,,39-41,,K. Koufos misses 2-pt shot from 1 ft
6:56.0,,,39-41,,Offensive rebound by Team
6:51.0,,,39-41,,O. Casspi misses 2-pt shot from 2 ft
6:50.0,,,39-41,,Offensive rebound by K. Koufos
6:46.0,,,39-41,,A. Afflalo misses 2-pt shot from 19 ft
6:45.0,Defensive rebound by B. Ingram,,39-41,,
6:41.0,B. Ingram misses 2-pt shot from 1 ft,,39-41,,
6:39.0,Offensive rebound by B. Ingram,,39-41,,
6:31.0,,,39-41,,Personal foul by O. Casspi (drawn by J. Clarkson)
6:31.0,J. Clarkson makes free throw 1 of 2,1,40-41,,
6:31.0,J. Clarkson makes free throw 2 of 2,1,41-41,,
6:31.0,L. Deng enters the game for L. Williams,,40-41,,
6:31.0,,,40-41,,R. Gay enters the game for A. Tolliver
6:31.0,,,40-41,,D. Cousins enters the game for A. Afflalo
6:23.0,,,41-41,,Turnover by T. Lawson (bad pass; steal by T. Robinson)
6:19.0,T. Robinson misses 2-pt shot from 2 ft,,41-41,,
6:18.0,,,41-41,,Defensive rebound by K. Koufos
6:10.0,,,41-43,2,O. Casspi makes 2-pt shot from 3 ft (assist by T. Lawson)
5:45.0,Turnover by Team (shot clock),,41-43,,
5:45.0,T. Mozgov enters the game for J. Clarkson,,41-43,,
5:45.0,N. Young enters the game for T. Robinson,,41-43,,
5:30.0,,,41-45,2,O. Casspi makes 2-pt shot from 3 ft (assist by D. Cousins)
5:12.0,B. Ingram misses 2-pt shot from 15 ft,,41-45,,
5:11.0,,,41-45,,Defensive rebound by D. Cousins
4:53.0,,,41-45,,T. Lawson misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by L. Deng,,41-45,,
4:34.0,L. Deng makes 3-pt shot from 25 ft,3,44-45,,
4:15.0,,,44-45,,D. Cousins misses 3-pt shot from 25 ft
4:14.0,,,44-45,,Offensive rebound by T. Lawson
4:08.0,,,44-45,,R. Gay misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by N. Young,,44-45,,
4:01.0,N. Young misses 3-pt shot from 26 ft,,44-45,,
4:00.0,,,44-45,,Defensive rebound by R. Gay
3:50.0,,,44-45,,Shooting foul by J. Randle (drawn by T. Lawson)
3:50.0,,,44-46,1,T. Lawson makes free throw 1 of 2
3:50.0,,,44-47,1,T. Lawson makes free throw 2 of 2
3:50.0,D. Russell enters the game for B. Ingram,,44-46,,
3:50.0,,,44-46,,G. Temple enters the game for R. Gay
3:40.0,L. Deng makes 2-pt shot at rim (assist by D. Russell),2,46-47,,
3:29.0,,,46-47,,Turnover by D. Cousins (traveling)
3:29.0,,,46-47,,D. Collison enters the game for T. Lawson
3:19.0,Shooting foul by D. Collison (drawn by D. Russell),,46-47,,
3:19.0,D. Russell makes free throw 1 of 2,1,47-47,,
3:19.0,D. Russell makes free throw 2 of 2,1,48-47,,
2:58.0,,,48-47,,D. Cousins misses 2-pt shot from 20 ft
2:58.0,Defensive rebound by Team,,48-47,,
2:58.0,LA Lakers full timeout,,48-47,,
2:58.0,,,48-47,,A. Afflalo enters the game for O. Casspi
2:58.0,Violation by Team (jump ball),,48-47,,
2:53.0,Turnover by D. Russell (lost ball; steal by G. Temple),,48-47,,
2:53.0,,,48-47,,Turnover by G. Temple (back court)
2:40.0,L. Deng makes 3-pt shot from 24 ft (assist by D. Russell),3,51-47,,
2:25.0,,,51-47,,Shooting foul by T. Mozgov (drawn by D. Cousins)
2:25.0,,,51-47,,D. Cousins misses free throw 1 of 2
2:25.0,,,51-47,,Offensive rebound by Team
2:25.0,,,51-47,,D. Cousins misses free throw 2 of 2
2:24.0,Defensive rebound by J. Randle,,51-47,,
2:10.0,D. Russell makes 2-pt shot from 17 ft,2,53-47,,
1:48.0,,,53-47,,Turnover by A. Afflalo (traveling)
1:30.0,J. Randle misses 2-pt shot from 5 ft,,53-47,,
1:29.0,,,53-47,,Defensive rebound by D. Cousins
1:24.0,,,53-49,2,G. Temple makes 2-pt shot from 3 ft
1:07.0,D. Russell makes 3-pt shot from 25 ft,3,56-49,,
0:45.0,,,56-49,,D. Cousins misses 2-pt shot from 8 ft
0:44.0,Defensive rebound by Team,,56-49,,
0:24.0,J. Randle makes 2-pt shot from 4 ft (assist by L. Deng),2,58-49,,
0:07.0,Personal take foul by N. Young (drawn by D. Collison),,58-49,,
0:07.0,,,58-49,,A. Tolliver enters the game for K. Koufos
0:00.0,,,58-49,,A. Afflalo misses 3-pt shot from 24 ft
0:00.0,,,58-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,D. Russell misses 2-pt shot from 16 ft,,58-49,,
11:40.0,,,58-49,,Defensive rebound by D. Cousins
11:20.0,,,58-51,2,G. Temple makes 2-pt shot from 3 ft (assist by D. Cousins)
11:02.0,Turnover by T. Mozgov (lost ball; steal by K. Koufos),,58-51,,
10:50.0,,,58-54,3,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison)
10:27.0,N. Young misses 2-pt shot from 17 ft,,58-54,,
10:26.0,,,58-54,,Defensive rebound by D. Cousins
10:16.0,,,58-57,3,D. Collison makes 3-pt shot from 25 ft
10:07.0,D. Russell misses 2-pt shot from 8 ft (block by D. Cousins),,58-57,,
10:05.0,Offensive rebound by D. Russell,,58-57,,
10:02.0,L. Deng makes 2-pt shot from 19 ft,2,60-57,,
9:41.0,,,60-60,3,G. Temple makes 3-pt shot from 23 ft (assist by D. Cousins)
9:21.0,N. Young misses 3-pt shot from 25 ft,,60-60,,
9:20.0,,,60-60,,Defensive rebound by D. Cousins
9:10.0,,,60-60,,D. Cousins misses 2-pt shot from 4 ft
9:09.0,Defensive rebound by N. Young,,60-60,,
9:04.0,L. Deng makes 2-pt shot from 17 ft (assist by N. Young),2,62-60,,
8:38.0,,,62-60,,Shooting foul by J. Randle (drawn by D. Cousins)
8:38.0,,,62-61,1,D. Cousins makes free throw 1 of 2
8:38.0,,,62-62,1,D. Cousins makes free throw 2 of 2
8:16.0,T. Mozgov misses 2-pt shot from 11 ft,,62-62,,
8:15.0,Offensive rebound by J. Randle,,62-62,,
8:13.0,J. Randle misses 2-pt shot from 3 ft,,62-62,,
8:13.0,Offensive rebound by T. Mozgov,,62-62,,
8:13.0,T. Mozgov misses 2-pt shot from 1 ft,,62-62,,
8:11.0,,,62-62,,Defensive rebound by G. Temple
7:56.0,,,62-64,2,D. Cousins makes 2-pt shot from 4 ft
7:28.0,D. Russell makes 2-pt shot from 16 ft,2,64-64,,
7:13.0,,,64-66,2,G. Temple makes 2-pt shot from 17 ft
6:49.0,Turnover by D. Russell (lost ball; steal by D. Collison),,64-66,,
6:46.0,,,64-68,2,O. Casspi makes 2-pt shot at rim (assist by D. Collison)
6:46.0,,,64-68,,Shooting foul by T. Mozgov (drawn by O. Casspi)
6:46.0,Technical foul by D. Russell,,64-68,,
6:46.0,LA Lakers full timeout,,64-68,,
6:46.0,,,64-69,1,D. Cousins makes technical free throw
6:46.0,,,64-69,,O. Casspi misses free throw 1 of 1
6:46.0,B. Ingram enters the game for D. Russell,,64-68,,
6:44.0,,,64-69,,Offensive rebound by K. Koufos
6:42.0,,,64-71,2,K. Koufos makes 2-pt shot from 4 ft
6:21.0,L. Deng misses 2-pt shot from 18 ft,,64-71,,
6:21.0,,,64-71,,Defensive rebound by D. Cousins
6:08.0,,,64-73,2,D. Cousins makes 2-pt shot from 4 ft
6:08.0,,,64-73,,Shooting foul by T. Mozgov (drawn by D. Cousins)
6:08.0,,,64-74,1,D. Cousins makes free throw 1 of 1
6:08.0,L. Williams enters the game for L. Deng,,64-73,,
6:08.0,T. Robinson enters the game for T. Mozgov,,64-73,,
6:08.0,,,64-73,,T. Lawson enters the game for O. Casspi
5:50.0,B. Ingram makes 2-pt shot from 11 ft,2,66-74,,
5:30.0,,,66-76,2,K. Koufos makes 2-pt shot from 2 ft (assist by D. Cousins)
5:09.0,Turnover by N. Young (bad pass; steal by T. Lawson),,66-76,,
5:00.0,,,66-78,2,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison)
4:42.0,L. Williams misses 2-pt shot from 3 ft,,66-78,,
4:39.0,,,66-78,,Defensive rebound by D. Cousins
4:27.0,,,66-81,3,D. Cousins makes 3-pt shot from 25 ft
4:27.0,LA Lakers full timeout,,66-81,,
4:27.0,J. Clarkson enters the game for J. Randle,,66-81,,
4:27.0,L. Nance enters the game for N. Young,,66-81,,
4:10.0,L. Williams misses 3-pt shot from 24 ft,,66-81,,
4:10.0,,,66-81,,Defensive rebound by Team
3:58.0,,,66-84,3,D. Collison makes 3-pt shot from 25 ft
3:38.0,Turnover by T. Robinson (bad pass; steal by K. Koufos),,66-84,,
3:28.0,,,66-87,3,D. Collison makes 3-pt shot from 24 ft
3:11.0,Offensive charge foul by L. Nance,,66-87,,
3:11.0,Turnover by L. Nance (offensive foul),,66-87,,
2:55.0,Personal foul by J. Clarkson (drawn by D. Cousins),,66-87,,
2:55.0,,,66-87,,Sacramento full timeout
2:55.0,,,66-87,,A. Afflalo enters the game for G. Temple
2:45.0,,,66-87,,Turnover by D. Cousins (bad pass; steal by L. Williams)
2:39.0,L. Williams misses 2-pt shot from 3 ft,,66-87,,
2:38.0,,,66-87,,Defensive rebound by K. Koufos
2:35.0,,,66-87,,Turnover by D. Collison (lost ball; steal by T. Robinson)
2:32.0,Turnover by T. Robinson (bad pass; steal by K. Koufos),,66-87,,
2:19.0,,,66-87,,D. Cousins misses 2-pt shot from 4 ft
2:18.0,Defensive rebound by T. Robinson,,66-87,,
2:04.0,J. Clarkson misses 2-pt shot from 11 ft,,66-87,,
2:03.0,Offensive rebound by J. Clarkson,,66-87,,
2:00.0,T. Robinson makes 2-pt shot at rim (assist by J. Clarkson),2,68-87,,
1:50.0,,,68-87,,Offensive charge foul by D. Cousins
1:50.0,,,68-87,,Turnover by D. Cousins (offensive foul)
1:50.0,,,68-87,,A. Tolliver enters the game for K. Koufos
1:30.0,J. Clarkson misses 2-pt shot from 9 ft,,68-87,,
1:30.0,,,68-87,,Defensive rebound by D. Cousins
1:20.0,,,68-87,,Shooting foul by B. Ingram (drawn by D. Collison)
1:20.0,,,68-88,1,D. Collison makes free throw 1 of 2
1:20.0,,,68-88,,Technical foul by D. Cousins
1:20.0,Technical foul by Team,,68-88,,
1:20.0,,,68-88,,D. Collison misses free throw 2 of 2
1:20.0,,,68-88,,W. Cauley-Stein enters the game for D. Cousins
1:18.0,Defensive rebound by T. Robinson,,68-88,,
1:06.0,L. Williams misses 3-pt shot from 23 ft,,68-88,,
1:06.0,,,68-88,,Defensive rebound by T. Lawson
0:56.0,,,68-88,,A. Afflalo misses 2-pt shot from 10 ft (block by T. Robinson)
0:54.0,Defensive rebound by L. Williams,,68-88,,
0:52.0,Shooting foul by A. Tolliver (drawn by J. Clarkson),,68-88,,
0:52.0,J. Clarkson makes free throw 1 of 2,1,69-88,,
0:52.0,J. Clarkson makes free throw 2 of 2,1,70-88,,
0:52.0,,,69-88,,O. Casspi enters the game for D. Collison
0:33.0,,,70-88,,Turnover by W. Cauley-Stein (bad pass; steal by L. Nance)
0:30.0,Shooting foul by W. Cauley-Stein (drawn by L. Nance),,70-88,,
0:30.0,L. Nance misses free throw 1 of 2,,70-88,,
0:30.0,Offensive rebound by Team,,70-88,,
0:30.0,L. Nance makes free throw 2 of 2,1,71-88,,
0:08.0,,,71-88,,T. Lawson misses 2-pt shot from 12 ft
0:07.0,Defensive rebound by L. Nance,,71-88,,
0:02.0,Turnover by L. Nance (bad pass; steal by T. Lawson),,71-88,,
0:00.0,,,71-88,,T. Lawson misses 3-pt shot from 54 ft
0:00.0,,,71-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,71-88,,Offensive charge foul by A. Tolliver
11:37.0,,,71-88,,Turnover by A. Tolliver (offensive foul)
11:27.0,L. Williams makes 2-pt shot from 18 ft,2,73-88,,
11:09.0,Violation by T. Robinson (def goaltending),,73-88,,
11:09.0,,,73-90,2,O. Casspi makes 2-pt shot from 4 ft (assist by A. Tolliver)
10:58.0,L. Williams misses 2-pt shot from 7 ft,,73-90,,
10:57.0,,,73-90,,Defensive rebound by T. Lawson
10:55.0,,,73-90,,Turnover by T. Lawson (lost ball; steal by L. Nance)
10:54.0,,,73-90,,Personal foul by T. Lawson (drawn by L. Nance)
10:44.0,J. Clarkson makes 2-pt shot from 7 ft,2,75-90,,
10:21.0,,,75-92,2,O. Casspi makes 2-pt shot from 5 ft
10:07.0,J. Clarkson makes 2-pt shot from 3 ft (assist by B. Ingram),2,77-92,,
9:58.0,Personal foul by J. Clarkson (drawn by T. Lawson),,77-92,,
9:58.0,,,77-92,,K. Koufos enters the game for W. Cauley-Stein
9:42.0,,,77-92,,Turnover by O. Casspi (lost ball)
9:36.0,Shooting foul by A. Afflalo,,77-92,,
9:36.0,L. Williams makes free throw 1 of 2,1,78-92,,
9:36.0,L. Williams makes free throw 2 of 2,1,79-92,,
9:17.0,,,79-94,2,K. Koufos makes 2-pt shot from 4 ft (assist by A. Tolliver)
9:00.0,J. Clarkson makes 3-pt shot from 26 ft (assist by L. Williams),3,82-94,,
8:46.0,,,82-94,,A. Afflalo misses 3-pt shot from 24 ft
8:45.0,,,82-94,,Offensive rebound by O. Casspi
8:33.0,,,82-96,2,T. Lawson makes 2-pt shot from 2 ft
8:22.0,T. Robinson misses 2-pt shot from 6 ft,,82-96,,
8:20.0,,,82-96,,Defensive rebound by A. Tolliver
8:14.0,,,82-96,,Offensive charge foul by T. Lawson
8:14.0,,,82-96,,Turnover by T. Lawson (offensive foul)
8:14.0,Official timeout,,82-96,,
8:14.0,J. Randle enters the game for B. Ingram,,82-96,,
8:14.0,L. Deng enters the game for L. Nance,,82-96,,
8:14.0,N. Young enters the game for T. Robinson,,82-96,,
8:14.0,,,82-96,,D. Cousins enters the game for A. Tolliver
8:14.0,,,82-96,,G. Temple enters the game for A. Afflalo
8:03.0,N. Young misses 3-pt shot from 25 ft,,82-96,,
8:02.0,,,82-96,,Defensive rebound by T. Lawson
7:43.0,,,82-98,2,K. Koufos makes 2-pt shot from 2 ft (assist by O. Casspi)
7:31.0,L. Williams misses 2-pt shot from 5 ft (block by K. Koufos),,82-98,,
7:30.0,Offensive rebound by Team,,82-98,,
7:21.0,J. Clarkson misses 2-pt shot from 6 ft,,82-98,,
7:20.0,,,82-98,,Defensive rebound by D. Cousins
7:03.0,,,82-98,,D. Cousins misses 2-pt shot from 3 ft
7:02.0,Defensive rebound by L. Deng,,82-98,,
6:58.0,Turnover by L. Deng (lost ball; steal by T. Lawson),,82-98,,
6:56.0,,,82-98,,Loose ball foul by D. Cousins
6:56.0,,,82-98,,Turnover by D. Cousins (offensive foul)
6:56.0,Technical foul by L. Williams,,82-98,,
6:56.0,,,82-99,1,D. Cousins makes technical free throw
6:56.0,,,82-99,,D. Collison enters the game for O. Casspi
6:38.0,J. Clarkson misses 2-pt shot from 12 ft,,82-99,,
6:37.0,,,82-99,,Defensive rebound by D. Cousins
6:23.0,,,82-99,,Turnover by D. Collison (bad pass; steal by J. Randle)
6:16.0,Turnover by N. Young (bad pass; steal by T. Lawson),,82-99,,
6:13.0,,,82-102,3,G. Temple makes 3-pt shot from 25 ft (assist by T. Lawson)
6:03.0,Shooting foul by K. Koufos,,82-102,,
6:03.0,L. Williams misses free throw 1 of 2,,82-102,,
6:03.0,Offensive rebound by Team,,82-102,,
6:03.0,L. Williams misses free throw 2 of 2,,82-102,,
6:03.0,D. Russell enters the game for J. Clarkson,,82-102,,
6:01.0,,,82-102,,Defensive rebound by D. Cousins
5:43.0,,,82-102,,Turnover by D. Cousins (offensive foul)
5:43.0,,,82-102,,Offensive foul by D. Cousins
5:43.0,,,82-102,,Sacramento full timeout
5:30.0,D. Russell makes 3-pt shot from 27 ft,3,85-102,,
5:02.0,,,85-102,,T. Lawson misses 3-pt shot from 25 ft
5:01.0,,,85-102,,Offensive rebound by D. Collison
5:01.0,,,85-102,,D. Collison misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by J. Randle,,85-102,,
4:54.0,L. Deng misses 3-pt shot from 24 ft,,85-102,,
4:54.0,,,85-102,,Defensive rebound by D. Cousins
4:44.0,,,85-102,,K. Koufos misses 2-pt shot from 1 ft
4:43.0,,,85-102,,Offensive rebound by D. Cousins
