time,Sacramento,pts.away,score,pts.home,Utah
5:34.0,D. Cousins makes 2-pt shot from 2 ft (assist by G. Temple),2,25-33,,
5:34.0,Shooting foul by R. Gobert (drawn by D. Cousins),,25-33,,
5:34.0,D. Cousins misses free throw 1 of 1,,25-33,,
5:33.0,,,25-33,,Defensive rebound by R. Gobert
5:14.0,,,25-33,,B. Diaw misses 2-pt shot from 2 ft
5:13.0,Defensive rebound by D. Cousins,,25-33,,
5:07.0,G. Temple makes 3-pt shot from 25 ft (assist by D. Cousins),3,28-33,,
4:50.0,,,28-35,2,R. Gobert makes 2-pt shot from 2 ft (assist by B. Diaw)
4:33.0,D. Cousins misses 3-pt shot from 25 ft,,28-35,,
4:32.0,,,28-35,,Defensive rebound by G. Hayward
4:25.0,,,28-35,,Offensive charge foul by B. Diaw
4:25.0,,,28-35,,Turnover by B. Diaw (offensive foul)
4:25.0,D. Collison enters the game for T. Lawson,,28-35,,
4:07.0,D. Cousins makes 2-pt shot at rim,2,30-35,,
3:51.0,,,30-35,,Shooting foul by D. Collison (drawn by S. Mack)
3:51.0,,,30-36,1,S. Mack makes free throw 1 of 2
3:51.0,,,30-37,1,S. Mack makes free throw 2 of 2
3:51.0,M. Barnes enters the game for A. Tolliver,,30-36,,
3:38.0,D. Cousins misses 2-pt shot from 14 ft,,30-37,,
3:38.0,,,30-37,,Defensive rebound by R. Gobert
3:29.0,,,30-37,,J. Ingles misses 3-pt shot from 26 ft
3:28.0,Defensive rebound by M. Barnes,,30-37,,
3:22.0,D. Collison makes 2-pt shot from 2 ft,2,32-37,,
2:56.0,,,32-39,2,S. Mack makes 2-pt shot from 6 ft
2:34.0,A. Afflalo makes 3-pt shot from 24 ft (assist by G. Temple),3,35-39,,
2:19.0,Shooting block foul by A. Afflalo (drawn by G. Hayward),,35-39,,
2:19.0,Sacramento full timeout,,35-39,,
2:19.0,,,35-40,1,G. Hayward makes free throw 1 of 2
2:19.0,,,35-41,1,G. Hayward makes free throw 2 of 2
1:58.0,G. Temple misses 3-pt shot from 23 ft,,35-41,,
1:57.0,,,35-41,,Defensive rebound by S. Mack
1:33.0,,,35-41,,Shooting foul by G. Temple (drawn by J. Ingles)
1:33.0,,,35-42,1,J. Ingles makes free throw 1 of 2
1:33.0,,,35-43,1,J. Ingles makes free throw 2 of 2
1:15.0,Turnover by A. Afflalo (lost ball; steal by J. Ingles),,35-43,,
1:12.0,,,35-45,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
0:57.0,D. Cousins misses 2-pt shot from 3 ft (block by R. Gobert),,35-45,,
0:56.0,,,35-45,,Defensive rebound by B. Diaw
0:45.0,,,35-48,3,S. Mack makes 3-pt shot from 25 ft
0:28.0,M. Barnes makes 3-pt shot from 24 ft,3,38-48,,
0:28.0,Shooting foul by J. Ingles (drawn by M. Barnes),,38-48,,
0:28.0,M. Barnes misses free throw 1 of 1,,38-48,,
0:28.0,,,38-48,,T. Lyles enters the game for B. Diaw
0:28.0,K. Koufos enters the game for D. Cousins,,38-48,,
0:27.0,,,38-48,,Defensive rebound by R. Gobert
0:07.0,,,38-48,,Turnover by S. Mack (traveling)
0:07.0,D. Cousins enters the game for K. Koufos,,38-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,38-48,,J. Ingles misses 3-pt shot from 24 ft
11:45.0,Defensive rebound by D. Collison,,38-48,,
11:20.0,D. Cousins misses 3-pt shot from 25 ft,,38-48,,
11:19.0,Offensive rebound by M. Barnes,,38-48,,
11:17.0,M. Barnes misses 2-pt shot from 2 ft,,38-48,,
11:16.0,,,38-48,,Defensive rebound by J. Ingles
10:53.0,,,38-51,3,J. Ingles makes 3-pt shot from 25 ft (assist by B. Diaw)
10:25.0,D. Collison misses 2-pt shot from 24 ft,,38-51,,
10:24.0,,,38-51,,Defensive rebound by R. Gobert
10:10.0,,,38-53,2,S. Mack makes 2-pt shot from 6 ft
9:56.0,D. Collison makes 2-pt shot from 16 ft (assist by K. Koufos),2,40-53,,
9:37.0,,,40-53,,G. Hayward misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by K. Koufos,,40-53,,
9:20.0,K. Koufos makes 2-pt shot from 2 ft (assist by D. Cousins),2,42-53,,
8:55.0,,,42-53,,S. Mack misses 2-pt shot from 9 ft
8:54.0,,,42-53,,Offensive rebound by R. Gobert
8:43.0,,,42-55,2,G. Hayward makes 2-pt shot from 12 ft (assist by B. Diaw)
8:43.0,,,42-55,,Shooting foul by B. McLemore (drawn by G. Hayward)
8:43.0,,,42-56,1,G. Hayward makes free throw 1 of 1
8:19.0,B. McLemore misses 2-pt shot from 17 ft,,42-56,,
8:19.0,,,42-56,,Defensive rebound by S. Mack
8:00.0,,,42-59,3,J. Ingles makes 3-pt shot from 25 ft (assist by G. Hayward)
7:40.0,D. Cousins misses 2-pt shot at rim,,42-59,,
7:40.0,Offensive rebound by D. Cousins,,42-59,,
7:38.0,D. Cousins misses 2-pt shot from 2 ft (block by R. Gobert),,42-59,,
7:36.0,,,42-59,,Defensive rebound by B. Diaw
7:30.0,,,42-62,3,G. Hayward makes 3-pt shot from 23 ft (assist by B. Diaw)
7:30.0,Sacramento full timeout,,42-62,,
7:16.0,Turnover by B. McLemore (bad pass; steal by R. Gobert),,42-62,,
7:00.0,,,42-62,,G. Hayward misses 2-pt shot from 22 ft
6:59.0,Defensive rebound by K. Koufos,,42-62,,
6:50.0,D. Cousins misses 2-pt shot from 3 ft (block by R. Gobert),,42-62,,
6:46.0,Offensive rebound by Team,,42-62,,
6:43.0,,,42-62,,Violation by R. Gobert (def goaltending)
6:43.0,D. Collison makes 2-pt shot from 3 ft,2,44-62,,
6:29.0,,,44-64,2,G. Hayward makes 2-pt shot from 4 ft (assist by B. Diaw)
6:16.0,D. Collison misses 2-pt shot from 17 ft,,44-64,,
6:15.0,,,44-64,,Defensive rebound by G. Hayward
6:06.0,,,44-64,,Turnover by G. Hayward (bad pass; steal by B. McLemore)
6:01.0,D. Collison misses 2-pt shot from 1 ft,,44-64,,
6:00.0,Offensive rebound by B. McLemore,,44-64,,
6:00.0,B. McLemore makes 2-pt shot from 2 ft,2,46-64,,
5:39.0,,,46-64,,Offensive foul by J. Ingles
5:39.0,,,46-64,,Turnover by J. Ingles (offensive foul)
5:39.0,A. Tolliver enters the game for K. Koufos,,46-64,,
5:23.0,D. Collison makes 2-pt shot from 12 ft,2,48-64,,
5:09.0,,,48-66,2,R. Gobert makes 2-pt shot from 2 ft
4:47.0,A. Tolliver makes 3-pt shot from 23 ft (assist by M. Barnes),3,51-66,,
4:28.0,,,51-66,,Turnover by B. Diaw (bad pass; steal by M. Barnes)
4:24.0,,,51-66,,T. Lyles enters the game for B. Diaw
4:24.0,,,51-66,,J. Johnson enters the game for J. Ingles
4:24.0,G. Temple enters the game for B. McLemore,,51-66,,
4:01.0,D. Cousins misses 2-pt shot from 2 ft,,51-66,,
4:01.0,,,51-66,,Defensive rebound by R. Gobert
3:52.0,,,51-66,,S. Mack misses 3-pt shot from 28 ft
3:51.0,Defensive rebound by D. Cousins,,51-66,,
3:46.0,Shooting foul by R. Gobert (drawn by D. Cousins),,51-66,,
3:46.0,D. Cousins makes free throw 1 of 2,1,52-66,,
3:46.0,D. Cousins makes free throw 2 of 2,1,53-66,,
3:46.0,T. Lawson enters the game for D. Collison,,52-66,,
3:36.0,,,53-66,,Offensive foul by G. Hayward
3:36.0,,,53-66,,Turnover by G. Hayward (offensive foul)
3:36.0,,,53-66,,D. Favors enters the game for R. Gobert
3:36.0,W. Cauley-Stein enters the game for D. Cousins,,53-66,,
3:28.0,T. Lawson makes 2-pt shot from 20 ft,2,55-66,,
3:07.0,,,55-68,2,T. Lyles makes 2-pt shot from 21 ft
2:54.0,M. Barnes misses 2-pt shot from 2 ft,,55-68,,
2:53.0,,,55-68,,Defensive rebound by G. Hayward
2:37.0,,,55-71,3,S. Mack makes 3-pt shot from 25 ft (assist by G. Hayward)
2:13.0,W. Cauley-Stein makes 2-pt shot from 5 ft,2,57-71,,
2:13.0,,,57-71,,Utah full timeout
2:13.0,,,57-71,,R. Neto enters the game for S. Mack
2:13.0,A. Afflalo enters the game for M. Barnes,,57-71,,
2:03.0,,,57-71,,G. Hayward misses 2-pt shot from 22 ft
2:02.0,Defensive rebound by A. Tolliver,,57-71,,
1:48.0,G. Temple makes 3-pt shot from 24 ft (assist by A. Afflalo),3,60-71,,
1:35.0,Personal foul by G. Temple (drawn by G. Hayward),,60-71,,
1:35.0,,,60-71,,J. Ingles enters the game for G. Hayward
1:20.0,,,60-71,,R. Neto misses 3-pt shot from 30 ft
1:20.0,Defensive rebound by W. Cauley-Stein,,60-71,,
1:11.0,T. Lawson makes 2-pt shot from 18 ft,2,62-71,,
0:57.0,,,62-71,,J. Ingles misses 2-pt shot from 9 ft (block by W. Cauley-Stein)
0:56.0,Defensive rebound by A. Afflalo,,62-71,,
0:46.0,Turnover by T. Lawson (bad pass; steal by R. Neto),,62-71,,
0:30.0,,,62-71,,T. Lyles misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by A. Afflalo,,62-71,,
0:13.0,A. Afflalo misses 2-pt shot from 17 ft,,62-71,,
0:12.0,,,62-71,,Defensive rebound by R. Neto
0:02.0,,,62-73,2,R. Neto makes 2-pt shot from 2 ft
0:00.0,T. Lawson misses 3-pt shot from 50 ft,,62-73,,
0:00.0,Offensive rebound by Team,,62-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,A. Afflalo misses 3-pt shot from 24 ft,,62-73,,
11:45.0,,,62-73,,Defensive rebound by D. Favors
11:27.0,,,62-73,,J. Ingles misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by A. Tolliver,,62-73,,
11:18.0,T. Lawson makes 2-pt shot from 19 ft,2,64-73,,
10:50.0,,,64-73,,T. Lyles misses 2-pt shot from 7 ft
10:50.0,,,64-73,,Offensive rebound by T. Lyles
10:46.0,,,64-73,,T. Lyles misses 2-pt shot from 2 ft
10:45.0,Defensive rebound by G. Temple,,64-73,,
10:41.0,Shooting foul by J. Ingles (drawn by W. Cauley-Stein),,64-73,,
10:41.0,W. Cauley-Stein makes free throw 1 of 2,1,65-73,,
10:41.0,W. Cauley-Stein misses free throw 2 of 2,,65-73,,
10:41.0,Offensive rebound by A. Afflalo,,65-73,,
10:36.0,,,65-73,,Personal foul by D. Favors (drawn by A. Afflalo)
10:28.0,A. Tolliver makes 3-pt shot from 25 ft (assist by A. Afflalo),3,68-73,,
10:18.0,,,68-73,,Utah full timeout
10:18.0,,,68-73,,G. Hayward enters the game for J. Johnson
10:02.0,,,68-75,2,R. Neto makes 2-pt shot from 3 ft
9:44.0,A. Afflalo makes 3-pt shot from 22 ft (assist by T. Lawson),3,71-75,,
9:25.0,,,71-75,,D. Favors misses 2-pt shot from 1 ft
9:23.0,,,71-75,,Offensive rebound by D. Favors
9:23.0,,,71-75,,D. Favors misses 2-pt shot from 2 ft
9:22.0,Defensive rebound by W. Cauley-Stein,,71-75,,
9:07.0,G. Temple makes 2-pt shot from 1 ft (assist by W. Cauley-Stein),2,73-75,,
8:47.0,,,73-75,,Shooting foul by G. Temple (drawn by G. Hayward)
8:47.0,,,73-76,1,G. Hayward makes free throw 1 of 2
8:47.0,,,73-77,1,G. Hayward makes free throw 2 of 2
8:47.0,,,73-76,,R. Gobert enters the game for D. Favors
8:33.0,A. Afflalo misses 2-pt shot from 3 ft,,73-77,,
8:33.0,,,73-77,,Defensive rebound by G. Hayward
8:25.0,,,73-77,,Offensive foul by T. Lyles
8:25.0,,,73-77,,Turnover by T. Lyles (offensive foul)
8:14.0,Shooting foul by R. Neto (drawn by T. Lawson),,73-77,,
8:14.0,T. Lawson makes free throw 1 of 2,1,74-77,,
8:14.0,T. Lawson makes free throw 2 of 2,1,75-77,,
8:14.0,,,74-77,,B. Diaw enters the game for T. Lyles
8:04.0,Personal foul by G. Temple (drawn by J. Ingles),,75-77,,
7:55.0,,,75-79,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
7:43.0,T. Lawson misses 2-pt shot from 18 ft,,75-79,,
7:43.0,,,75-79,,Defensive rebound by J. Ingles
7:21.0,,,75-79,,G. Hayward misses 2-pt shot from 15 ft
7:20.0,Defensive rebound by T. Lawson,,75-79,,
7:09.0,Sacramento full timeout,,75-79,,
7:09.0,D. Cousins enters the game for W. Cauley-Stein,,75-79,,
7:01.0,G. Temple makes 3-pt shot from 25 ft (assist by A. Afflalo),3,78-79,,
6:39.0,,,78-79,,J. Ingles misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by A. Tolliver,,78-79,,
6:24.0,,,78-79,,Personal foul by R. Neto (drawn by D. Cousins)
6:24.0,,,78-79,,S. Mack enters the game for R. Neto
6:13.0,Turnover by D. Cousins (lost ball; steal by J. Ingles),,78-79,,
6:04.0,,,78-79,,S. Mack misses 3-pt shot from 25 ft
6:04.0,,,78-79,,Offensive rebound by Team
6:04.0,Loose ball foul by A. Afflalo (drawn by R. Gobert),,78-79,,
5:57.0,,,78-81,2,G. Hayward makes 2-pt shot from 18 ft
5:42.0,Offensive foul by A. Afflalo,,78-81,,
5:42.0,Turnover by A. Afflalo (offensive foul),,78-81,,
5:42.0,M. Barnes enters the game for G. Temple,,78-81,,
5:18.0,,,78-83,2,B. Diaw makes 2-pt shot from 15 ft
5:09.0,T. Lawson makes 2-pt shot from 2 ft,2,80-83,,
4:45.0,,,80-85,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
4:45.0,,,80-85,,Shooting foul by M. Barnes (drawn by R. Gobert)
4:45.0,,,80-86,1,R. Gobert makes free throw 1 of 1
4:45.0,,,80-85,,J. Johnson enters the game for B. Diaw
4:29.0,T. Lawson makes 2-pt shot from 2 ft,2,82-86,,
4:13.0,,,82-86,,G. Hayward misses 3-pt shot from 24 ft
4:13.0,Defensive rebound by T. Lawson,,82-86,,
4:03.0,A. Afflalo misses 3-pt shot from 24 ft,,82-86,,
4:02.0,Offensive rebound by M. Barnes,,82-86,,
4:02.0,M. Barnes makes 2-pt shot from 2 ft,2,84-86,,
3:34.0,,,84-88,2,G. Hayward makes 2-pt shot from 23 ft
3:11.0,,,84-88,,Personal foul by S. Mack (drawn by D. Cousins)
3:11.0,D. Cousins makes free throw 1 of 2,1,85-88,,
3:11.0,D. Cousins makes free throw 2 of 2,1,86-88,,
3:00.0,,,86-88,,G. Hayward misses 2-pt shot from 16 ft
2:59.0,,,86-88,,Offensive rebound by G. Hayward
2:55.0,,,86-88,,J. Johnson misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by Team,,86-88,,
2:54.0,Sacramento full timeout,,86-88,,
2:54.0,G. Temple enters the game for M. Barnes,,86-88,,
2:37.0,T. Lawson misses 2-pt shot from 2 ft,,86-88,,
2:36.0,,,86-88,,Defensive rebound by R. Gobert
2:13.0,,,86-88,,J. Johnson misses 2-pt shot from 9 ft
2:12.0,Defensive rebound by D. Cousins,,86-88,,
1:59.0,,,86-88,,Personal foul by J. Johnson (drawn by T. Lawson)
1:59.0,T. Lawson makes free throw 1 of 2,1,87-88,,
1:59.0,T. Lawson makes free throw 2 of 2,1,88-88,,
1:49.0,Personal foul by T. Lawson (drawn by S. Mack),,88-88,,
1:49.0,,,88-88,,S. Mack misses free throw 1 of 2
1:49.0,,,88-88,,Offensive rebound by Team
1:49.0,,,88-89,1,S. Mack makes free throw 2 of 2
1:35.0,Turnover by D. Cousins (traveling),,88-89,,
1:24.0,,,88-89,,S. Mack misses 2-pt shot from 20 ft
1:23.0,Defensive rebound by A. Afflalo,,88-89,,
1:15.0,Sacramento full timeout,,88-89,,
1:08.0,,,88-89,,Shooting block foul by G. Hayward (drawn by D. Cousins)
1:08.0,D. Cousins makes free throw 1 of 2,1,89-89,,
1:08.0,D. Cousins makes free throw 2 of 2,1,90-89,,
0:45.0,,,90-89,,Turnover by J. Ingles (bad pass; steal by T. Lawson)
0:26.0,Shooting foul by R. Gobert (drawn by D. Cousins),,90-89,,
0:26.0,D. Cousins makes free throw 1 of 2,1,91-89,,
0:26.0,D. Cousins misses free throw 2 of 2,,91-89,,
0:26.0,,,91-89,,Defensive rebound by G. Hayward
0:25.0,,,91-89,,Utah full timeout
0:19.0,,,91-89,,Shooting foul by T. Lawson (drawn by R. Gobert)
0:19.0,,,91-90,1,R. Gobert makes free throw 1 of 2
0:19.0,,,91-90,,R. Gobert misses free throw 2 of 2
0:19.0,K. Koufos enters the game for A. Afflalo,,91-90,,
0:18.0,Defensive rebound by D. Cousins,,91-90,,
0:18.0,,,91-90,,Loose ball foul by G. Hayward (drawn by D. Cousins)
0:18.0,D. Cousins makes free throw 1 of 2,1,92-90,,
0:18.0,D. Cousins misses free throw 2 of 2,,92-90,,
0:18.0,,,92-90,,Defensive rebound by G. Hayward
0:18.0,A. Afflalo enters the game for K. Koufos,,92-90,,
0:17.0,,,92-90,,Utah full timeout
0:06.0,,,92-90,,G. Hayward misses 2-pt shot from 1 ft
0:05.0,Defensive rebound by D. Cousins,,92-90,,
0:03.0,,,92-90,,Personal foul by R. Gobert (drawn by D. Cousins)
0:03.0,D. Cousins makes free throw 1 of 2,1,93-90,,
0:03.0,D. Cousins makes free throw 2 of 2,1,94-90,,
0:03.0,,,94-90,,Utah full timeout
0:01.0,,,94-93,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Ingles)
0:00.0,,,94-93,,Personal foul by S. Mack (drawn by T. Lawson)
0:00.0,T. Lawson misses free throw 1 of 2,,94-93,,
0:00.0,Offensive rebound by Team,,94-93,,
0:00.0,T. Lawson misses free throw 2 of 2,,94-93,,
0:00.0,Offensive rebound by Team,,94-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
