time,Washington,pts.away,score,pts.home,Philadelphia
8:11.0,,,33-36,,D. Saric enters the game for R. Covington
8:02.0,Shooting foul by J. Okafor (drawn by T. Burke),,33-36,,
8:02.0,T. Burke makes free throw 1 of 2,1,34-36,,
8:02.0,,,34-36,,Violation by S. Rodriguez (lane)
8:02.0,T. Burke makes free throw 2 of 2,1,35-36,,
7:51.0,,,35-36,,Shooting foul by O. Porter (drawn by J. Okafor)
7:51.0,,,35-36,,J. Okafor misses free throw 1 of 2
7:51.0,,,35-36,,Offensive rebound by Team
7:51.0,,,35-37,1,J. Okafor makes free throw 2 of 2
7:28.0,T. Burke misses 2-pt shot from 10 ft,,35-37,,
7:27.0,Offensive rebound by O. Porter,,35-37,,
7:27.0,Turnover by Team (shot clock),,35-37,,
7:16.0,Personal foul by B. Bogdanovic (drawn by D. Saric),,35-37,,
7:16.0,J. Wall enters the game for T. Burke,,35-37,,
7:16.0,,,35-37,,T. McConnell enters the game for S. Rodriguez
7:03.0,,,35-39,2,D. Saric makes 2-pt shot from 2 ft (assist by J. Okafor)
6:59.0,Turnover by J. Wall (bad pass),,35-39,,
6:40.0,,,35-41,2,J. Okafor makes 2-pt shot from 4 ft (assist by T. McConnell)
6:24.0,B. Bogdanovic misses 3-pt shot from 23 ft,,35-41,,
6:23.0,,,35-41,,Defensive rebound by G. Henderson
6:17.0,,,35-43,2,G. Henderson makes 2-pt shot from 2 ft
6:16.0,Washington full timeout,,35-43,,
6:16.0,K. Oubre enters the game for B. Bogdanovic,,35-43,,
6:03.0,B. Beal makes 2-pt shot from 15 ft,2,37-43,,
5:40.0,,,37-43,,Turnover by T. McConnell (bad pass)
5:30.0,Shooting foul by J. Okafor (drawn by M. Gortat),,37-43,,
5:30.0,M. Gortat makes free throw 1 of 2,1,38-43,,
5:30.0,M. Gortat misses free throw 2 of 2,,38-43,,
5:30.0,,,38-43,,R. Holmes enters the game for J. Okafor
5:30.0,,,38-43,,R. Covington enters the game for N. Stauskas
5:28.0,,,38-43,,Defensive rebound by D. Saric
5:17.0,,,38-43,,G. Henderson misses 2-pt shot from 18 ft
5:16.0,Defensive rebound by K. Oubre,,38-43,,
5:02.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,41-43,,
4:50.0,,,41-45,2,R. Holmes makes 2-pt shot from 16 ft (assist by T. McConnell)
4:32.0,K. Oubre misses 3-pt shot from 23 ft,,41-45,,
4:31.0,,,41-45,,Defensive rebound by R. Covington
4:17.0,,,41-47,2,D. Saric makes 2-pt shot from 17 ft (assist by T. McConnell)
4:02.0,K. Oubre misses 2-pt shot from 7 ft,,41-47,,
4:01.0,,,41-47,,Defensive rebound by R. Holmes
3:49.0,,,41-49,2,D. Saric makes 2-pt shot from 5 ft
3:44.0,Shooting foul by R. Covington (drawn by J. Wall),,41-49,,
3:44.0,J. Wall makes free throw 1 of 2,1,42-49,,
3:44.0,J. Wall makes free throw 2 of 2,1,43-49,,
3:34.0,,,43-51,2,D. Saric makes 2-pt shot from 15 ft
3:12.0,B. Beal makes 2-pt shot from 22 ft,2,45-51,,
3:09.0,,,45-51,,Philadelphia full timeout
3:01.0,,,45-51,,Turnover by R. Covington (bad pass; steal by B. Beal)
2:59.0,B. Beal makes 2-pt shot at rim,2,47-51,,
2:46.0,,,47-54,3,G. Henderson makes 3-pt shot from 23 ft (assist by T. McConnell)
2:29.0,Offensive foul by M. Gortat,,47-54,,
2:29.0,Turnover by M. Gortat (offensive foul),,47-54,,
2:08.0,,,47-56,2,D. Saric makes 2-pt shot from 4 ft
1:55.0,M. Gortat misses 2-pt shot from 5 ft (block by R. Holmes),,47-56,,
1:53.0,,,47-56,,Defensive rebound by G. Henderson
1:30.0,,,47-56,,G. Henderson misses 3-pt shot from 25 ft
1:28.0,,,47-56,,Offensive rebound by R. Holmes
1:27.0,,,47-59,3,R. Covington makes 3-pt shot from 25 ft (assist by R. Holmes)
1:15.0,M. Gortat misses 2-pt shot from 4 ft (block by R. Holmes),,47-59,,
1:12.0,,,47-59,,Defensive rebound by R. Covington
1:10.0,,,47-59,,Turnover by R. Covington (bad pass; steal by B. Beal)
1:01.0,J. Wall misses 3-pt shot from 28 ft,,47-59,,
1:00.0,,,47-59,,Defensive rebound by D. Saric
0:55.0,,,47-61,2,T. McConnell makes 2-pt shot at rim
