time,Brooklyn,pts.away,score,pts.home,Boston
8:44.0,,,9-5,,Personal block foul by I. Thomas (drawn by J. Lin)
8:36.0,Turnover by J. Lin (bad pass; steal by A. Johnson),,9-5,,
8:25.0,,,9-5,,Turnover by A. Johnson (3 sec)
8:04.0,B. Bogdanovic misses 3-pt shot from 26 ft,,9-5,,
8:03.0,Offensive rebound by B. Lopez,,9-5,,
8:03.0,B. Lopez misses 2-pt shot at rim,,9-5,,
8:01.0,,,9-5,,Defensive rebound by A. Johnson
7:54.0,,,9-5,,I. Thomas misses 3-pt shot from 25 ft
7:51.0,,,9-5,,Offensive rebound by A. Johnson
7:47.0,,,9-8,3,J. Crowder makes 3-pt shot from 27 ft (assist by A. Johnson)
7:42.0,,,9-8,,Personal foul by A. Johnson (drawn by B. Lopez)
7:29.0,B. Bogdanovic misses 2-pt shot from 1 ft,,9-8,,
7:28.0,,,9-8,,Defensive rebound by Team
7:03.0,,,9-8,,I. Thomas misses 2-pt shot from 4 ft
7:02.0,Defensive rebound by T. Booker,,9-8,,
6:48.0,J. Lin makes 2-pt shot from 1 ft,2,11-8,,
6:35.0,,,11-10,2,A. Bradley makes 2-pt shot from 19 ft (assist by A. Horford)
6:23.0,B. Lopez misses 2-pt shot from 1 ft,,11-10,,
6:22.0,,,11-10,,Defensive rebound by A. Horford
6:18.0,,,11-12,2,I. Thomas makes 2-pt shot from 2 ft
6:18.0,,,11-12,,Shooting foul by J. Lin (drawn by I. Thomas)
6:18.0,,,11-13,1,I. Thomas makes free throw 1 of 1
6:18.0,,,11-12,,J. Brown enters the game for A. Johnson
6:18.0,J. Harris enters the game for B. Bogdanovic,,11-12,,
6:18.0,L. Scola enters the game for B. Lopez,,11-12,,
6:07.0,Turnover by J. Lin (bad pass; steal by A. Bradley),,11-13,,
5:59.0,,,11-13,,I. Thomas misses 3-pt shot from 25 ft
5:57.0,,,11-13,,Offensive rebound by A. Bradley
5:45.0,,,11-15,2,J. Brown makes 2-pt shot from 2 ft (assist by I. Thomas)
5:27.0,J. Harris makes 3-pt shot from 24 ft (assist by J. Lin),3,14-15,,
5:04.0,,,14-18,3,A. Bradley makes 3-pt shot from 25 ft (assist by A. Horford)
5:03.0,Brooklyn full timeout,,14-18,,
5:03.0,,,14-18,,T. Rozier enters the game for I. Thomas
4:55.0,Turnover by J. Harris (lost ball; steal by J. Brown),,14-18,,
4:47.0,Personal foul by J. Harris (drawn by T. Rozier),,14-18,,
4:36.0,,,14-20,2,A. Bradley makes 2-pt shot from 19 ft (assist by A. Horford)
4:23.0,J. Lin misses 2-pt shot from 2 ft (block by A. Horford),,14-20,,
4:22.0,,,14-20,,Defensive rebound by A. Horford
4:17.0,,,14-20,,Turnover by J. Brown (lost ball; steal by J. Harris)
4:12.0,,,14-20,,Personal block foul by T. Rozier (drawn by L. Scola)
4:12.0,G. Vasquez enters the game for R. Hollis-Jefferson,,14-20,,
4:12.0,J. Hamilton enters the game for T. Booker,,14-20,,
4:12.0,S. Kilpatrick enters the game for J. Lin,,14-20,,
4:03.0,L. Scola misses 3-pt shot from 26 ft,,14-20,,
4:02.0,,,14-20,,Defensive rebound by J. Crowder
3:50.0,Personal foul by J. Harris (drawn by A. Bradley),,14-20,,
3:36.0,,,14-22,2,J. Crowder makes 2-pt shot from 17 ft (assist by A. Bradley)
3:18.0,S. Kilpatrick makes 2-pt shot at rim,2,16-22,,
3:09.0,,,16-24,2,A. Horford makes 2-pt shot from 2 ft (assist by A. Bradley)
2:54.0,J. Harris makes 3-pt shot from 25 ft (assist by L. Scola),3,19-24,,
2:34.0,,,19-27,3,J. Crowder makes 3-pt shot from 24 ft (assist by T. Rozier)
2:17.0,J. Hamilton makes 3-pt shot from 24 ft (assist by J. Harris),3,22-27,,
2:03.0,,,22-27,,Shooting foul by J. Hamilton (drawn by J. Brown)
2:03.0,,,22-28,1,J. Brown makes free throw 1 of 2
2:03.0,,,22-29,1,J. Brown makes free throw 2 of 2
2:03.0,,,22-28,,A. Johnson enters the game for A. Horford
1:46.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by L. Scola),3,25-29,,
1:33.0,,,25-29,,J. Crowder misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by S. Kilpatrick,,25-29,,
1:23.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,27-29,,
1:17.0,,,27-29,,J. Crowder misses 2-pt shot from 2 ft
1:15.0,,,27-29,,Offensive rebound by A. Johnson
1:11.0,,,27-29,,T. Rozier misses 3-pt shot from 25 ft
1:10.0,,,27-29,,Offensive rebound by A. Johnson
1:07.0,,,27-31,2,A. Johnson makes 2-pt shot from 3 ft
1:02.0,Shooting foul by J. Crowder (drawn by J. Hamilton),,27-31,,
1:02.0,J. Hamilton makes free throw 1 of 2,1,28-31,,
1:02.0,J. Hamilton makes free throw 2 of 2,1,29-31,,
1:02.0,,,28-31,,I. Thomas enters the game for A. Bradley
1:02.0,,,28-31,,J. Jerebko enters the game for J. Crowder
0:48.0,Personal foul by G. Vasquez (drawn by I. Thomas),,29-31,,
0:48.0,,,29-32,1,I. Thomas makes free throw 1 of 2
0:48.0,,,29-33,1,I. Thomas makes free throw 2 of 2
0:48.0,,,29-32,,G. Green enters the game for J. Brown
0:38.0,S. Kilpatrick misses 2-pt shot from 5 ft,,29-33,,
0:37.0,Offensive rebound by S. Kilpatrick,,29-33,,
0:37.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,31-33,,
0:25.0,,,31-33,,J. Jerebko misses 2-pt shot from 6 ft
0:25.0,,,31-33,,Offensive rebound by A. Johnson
0:24.0,,,31-33,,A. Johnson misses 2-pt shot from 1 ft
0:22.0,Defensive rebound by S. Kilpatrick,,31-33,,
0:03.0,Turnover by S. Kilpatrick (lost ball; steal by J. Jerebko),,31-33,,
0:00.0,,,31-33,,J. Jerebko misses 3-pt shot from 40 ft
0:00.0,,,31-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,31-33,,J. Jerebko misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by B. Bogdanovic,,31-33,,
11:30.0,G. Vasquez misses 3-pt shot from 25 ft,,31-33,,
11:29.0,,,31-33,,Defensive rebound by T. Rozier
11:19.0,,,31-35,2,G. Green makes 2-pt shot from 14 ft (assist by A. Johnson)
11:19.0,Brooklyn full timeout,,31-35,,
10:57.0,L. Scola misses 2-pt shot from 6 ft,,31-35,,
10:56.0,,,31-35,,Defensive rebound by T. Rozier
10:40.0,,,31-38,3,T. Rozier makes 3-pt shot from 25 ft (assist by I. Thomas)
10:19.0,B. Lopez makes 3-pt shot from 25 ft (assist by S. Kilpatrick),3,34-38,,
10:05.0,,,34-40,2,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas)
9:45.0,S. Kilpatrick misses 3-pt shot from 26 ft,,34-40,,
9:44.0,,,34-40,,Defensive rebound by G. Green
9:38.0,,,34-40,,Shooting foul by L. Scola (drawn by J. Jerebko)
9:38.0,,,34-41,1,J. Jerebko makes free throw 1 of 2
9:38.0,,,34-42,1,J. Jerebko makes free throw 2 of 2
9:38.0,,,34-41,,T. Zeller enters the game for A. Johnson
9:27.0,Offensive charge foul by B. Bogdanovic,,34-42,,
9:27.0,Turnover by B. Bogdanovic (offensive foul),,34-42,,
9:09.0,,,34-44,2,T. Zeller makes 2-pt shot from 7 ft (assist by I. Thomas)
8:43.0,L. Scola misses 3-pt shot from 25 ft,,34-44,,
8:42.0,,,34-44,,Defensive rebound by G. Green
8:31.0,,,34-46,2,T. Zeller makes 2-pt shot from 1 ft (assist by G. Green)
8:24.0,Brooklyn full timeout,,34-46,,
8:24.0,J. Hamilton enters the game for L. Scola,,34-46,,
8:24.0,J. Lin enters the game for G. Vasquez,,34-46,,
8:15.0,Turnover by J. Hamilton (lost ball; steal by J. Jerebko),,34-46,,
8:07.0,,,34-46,,J. Jerebko misses 3-pt shot from 26 ft
8:06.0,,,34-46,,Offensive rebound by T. Zeller
8:04.0,,,34-46,,Turnover by T. Zeller (bad pass; steal by B. Bogdanovic)
8:03.0,,,34-46,,Personal foul by J. Jerebko (drawn by B. Bogdanovic)
7:48.0,J. Lin misses 2-pt shot from 9 ft,,34-46,,
7:46.0,Offensive rebound by J. Hamilton,,34-46,,
7:45.0,J. Hamilton makes 2-pt shot from 1 ft,2,36-46,,
7:29.0,,,36-49,3,G. Green makes 3-pt shot from 25 ft (assist by T. Zeller)
7:11.0,B. Bogdanovic makes 3-pt shot from 27 ft (assist by J. Hamilton),3,39-49,,
6:59.0,,,39-49,,Shooting foul by B. Lopez (drawn by T. Zeller)
6:59.0,,,39-49,,T. Zeller misses free throw 1 of 2
6:59.0,,,39-49,,Offensive rebound by Team
6:59.0,,,39-50,1,T. Zeller makes free throw 2 of 2
6:59.0,,,39-49,,A. Bradley enters the game for T. Rozier
6:41.0,B. Bogdanovic misses 3-pt shot from 26 ft,,39-50,,
6:40.0,,,39-50,,Defensive rebound by T. Zeller
6:19.0,,,39-50,,A. Bradley misses 2-pt shot from 9 ft
6:19.0,Defensive rebound by J. Hamilton,,39-50,,
6:09.0,Shooting foul by T. Zeller (drawn by B. Lopez),,39-50,,
6:09.0,B. Lopez makes free throw 1 of 2,1,40-50,,
6:09.0,B. Lopez makes free throw 2 of 2,1,41-50,,
6:09.0,J. Harris enters the game for B. Bogdanovic,,40-50,,
6:09.0,R. Hollis-Jefferson enters the game for S. Kilpatrick,,40-50,,
5:49.0,,,41-50,,J. Jerebko misses 3-pt shot from 23 ft
5:48.0,Defensive rebound by J. Harris,,41-50,,
5:42.0,Shooting foul by A. Bradley (drawn by R. Hollis-Jefferson),,41-50,,
5:42.0,Official timeout,,41-50,,
5:42.0,R. Hollis-Jefferson misses free throw 1 of 2,,41-50,,
5:42.0,Offensive rebound by Team,,41-50,,
5:42.0,R. Hollis-Jefferson makes free throw 2 of 2,1,42-50,,
5:42.0,,,41-50,,A. Horford enters the game for J. Jerebko
5:42.0,,,41-50,,J. Crowder enters the game for T. Zeller
5:42.0,T. Booker enters the game for B. Lopez,,41-50,,
5:30.0,,,42-52,2,A. Horford makes 2-pt shot at rim (assist by I. Thomas)
5:12.0,J. Harris misses 3-pt shot from 26 ft,,42-52,,
5:11.0,,,42-52,,Defensive rebound by J. Crowder
5:00.0,,,42-52,,Turnover by A. Bradley (step out of bounds)
4:43.0,J. Harris misses 2-pt shot from 1 ft (block by A. Horford),,42-52,,
4:42.0,Offensive rebound by J. Hamilton,,42-52,,
4:41.0,J. Hamilton makes 2-pt shot from 2 ft,2,44-52,,
4:27.0,,,44-52,,A. Bradley misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by T. Booker,,44-52,,
4:21.0,Shooting foul by A. Horford (drawn by J. Lin),,44-52,,
4:21.0,J. Lin misses free throw 1 of 2,,44-52,,
4:21.0,Offensive rebound by Team,,44-52,,
4:21.0,J. Lin makes free throw 2 of 2,1,45-52,,
4:21.0,,,44-52,,T. Rozier enters the game for I. Thomas
4:04.0,,,45-54,2,G. Green makes 2-pt shot from 14 ft
3:56.0,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Rozier),,45-54,,
3:49.0,,,45-54,,A. Bradley misses 2-pt shot from 1 ft
3:48.0,Defensive rebound by J. Lin,,45-54,,
3:41.0,J. Harris misses 3-pt shot from 26 ft,,45-54,,
3:40.0,,,45-54,,Defensive rebound by G. Green
3:18.0,,,45-54,,J. Crowder misses 3-pt shot from 23 ft
3:17.0,Defensive rebound by J. Harris,,45-54,,
3:07.0,J. Hamilton misses 3-pt shot from 25 ft,,45-54,,
3:06.0,Offensive rebound by T. Booker,,45-54,,
3:05.0,T. Booker makes 2-pt shot from 1 ft,2,47-54,,
3:04.0,,,47-54,,Boston full timeout
3:04.0,,,47-54,,I. Thomas enters the game for G. Green
2:45.0,,,47-56,2,A. Horford makes 2-pt shot from 2 ft (assist by A. Bradley)
2:34.0,,,47-56,,Personal foul by A. Bradley (drawn by J. Lin)
2:34.0,J. Lin makes free throw 1 of 2,1,48-56,,
2:34.0,J. Lin makes free throw 2 of 2,1,49-56,,
2:21.0,,,49-56,,Boston full timeout
2:12.0,,,49-56,,Turnover by T. Rozier (bad pass)
2:02.0,J. Lin makes 2-pt shot from 9 ft,2,51-56,,
1:53.0,,,51-56,,Shooting foul by J. Hamilton (drawn by I. Thomas)
1:53.0,,,51-57,1,I. Thomas makes free throw 1 of 2
1:53.0,,,51-58,1,I. Thomas makes free throw 2 of 2
1:53.0,,,51-57,,A. Johnson enters the game for T. Rozier
1:45.0,Turnover by J. Harris (lost ball; steal by I. Thomas),,51-58,,
1:45.0,Personal foul by J. Harris (drawn by I. Thomas),,51-58,,
1:45.0,,,51-59,1,I. Thomas makes free throw 1 of 2
1:45.0,,,51-60,1,I. Thomas makes free throw 2 of 2
1:45.0,S. Kilpatrick enters the game for J. Harris,,51-59,,
1:37.0,J. Lin misses 2-pt shot from 1 ft (block by A. Horford),,51-60,,
1:37.0,Offensive rebound by Team,,51-60,,
1:24.0,J. Hamilton makes 3-pt shot from 25 ft (assist by J. Lin),3,54-60,,
1:14.0,,,54-62,2,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas)
1:14.0,,,54-62,,Shooting foul by J. Hamilton (drawn by A. Johnson)
1:14.0,,,54-62,,A. Johnson misses free throw 1 of 1
1:14.0,Defensive rebound by T. Booker,,54-62,,
1:01.0,S. Kilpatrick misses 3-pt shot from 26 ft,,54-62,,
1:00.0,Offensive rebound by J. Hamilton,,54-62,,
1:00.0,J. Hamilton makes 2-pt shot at rim,2,56-62,,
0:53.0,,,56-64,2,I. Thomas makes 2-pt shot from 2 ft
0:41.0,T. Booker makes 2-pt shot from 19 ft (assist by J. Lin),2,58-64,,
0:36.0,,,58-64,,Turnover by I. Thomas (bad pass)
0:36.0,L. Scola enters the game for J. Hamilton,,58-64,,
0:35.0,Offensive foul by L. Scola,,58-64,,
0:35.0,Turnover by L. Scola (bad pass),,58-64,,
0:21.0,,,58-64,,A. Horford misses 3-pt shot from 23 ft
0:20.0,Defensive rebound by R. Hollis-Jefferson,,58-64,,
0:05.0,J. Lin misses 2-pt shot from 19 ft,,58-64,,
0:03.0,,,58-64,,Defensive rebound by A. Johnson
0:02.0,,,58-64,,Turnover by A. Johnson (bad pass; steal by T. Booker)
0:00.0,S. Kilpatrick misses 3-pt shot from 25 ft,,58-64,,
0:00.0,Offensive rebound by Team,,58-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,58-64,,Turnover by A. Bradley (bad pass)
11:37.0,Turnover by T. Booker (bad pass),,58-64,,
11:27.0,,,58-64,,A. Horford misses 3-pt shot from 25 ft
11:26.0,,,58-64,,Offensive rebound by A. Bradley
11:19.0,,,58-66,2,A. Johnson makes 2-pt shot from 1 ft (assist by A. Horford)
10:57.0,J. Lin makes 2-pt shot from 8 ft,2,60-66,,
10:45.0,,,60-66,,J. Crowder misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by J. Lin,,60-66,,
10:36.0,J. Lin misses 3-pt shot from 26 ft,,60-66,,
10:35.0,,,60-66,,Defensive rebound by A. Horford
10:27.0,,,60-66,,Turnover by A. Johnson (lost ball)
10:10.0,L. Scola misses 3-pt shot from 24 ft,,60-66,,
10:09.0,,,60-66,,Defensive rebound by A. Horford
9:51.0,,,60-66,,I. Thomas misses 3-pt shot from 26 ft
9:50.0,Defensive rebound by R. Hollis-Jefferson,,60-66,,
9:42.0,B. Bogdanovic misses 3-pt shot from 24 ft,,60-66,,
9:41.0,,,60-66,,Defensive rebound by I. Thomas
9:35.0,,,60-68,2,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas)
9:16.0,B. Bogdanovic misses 3-pt shot from 26 ft,,60-68,,
9:15.0,,,60-68,,Defensive rebound by I. Thomas
9:05.0,,,60-68,,A. Horford misses 3-pt shot from 26 ft
9:04.0,Defensive rebound by L. Scola,,60-68,,
8:40.0,L. Scola makes 2-pt shot from 8 ft,2,62-68,,
8:23.0,,,62-71,3,A. Bradley makes 3-pt shot from 25 ft (assist by J. Crowder)
8:12.0,R. Hollis-Jefferson misses 3-pt shot from 25 ft,,62-71,,
8:11.0,,,62-71,,Defensive rebound by J. Crowder
7:55.0,,,62-71,,A. Johnson misses 2-pt shot from 10 ft
7:55.0,Defensive rebound by T. Booker,,62-71,,
7:55.0,,,62-71,,Flagrant foul type 1 by A. Johnson (drawn by L. Scola)
7:55.0,L. Scola misses flagrant free throw 1 of 2,,62-71,,
7:55.0,Offensive rebound by Team,,62-71,,
7:55.0,L. Scola makes flagrant free throw 2 of 2,1,63-71,,
7:49.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Booker),2,65-71,,
7:28.0,,,65-73,2,J. Crowder makes 2-pt shot from 22 ft (assist by A. Horford)
7:19.0,Turnover by B. Bogdanovic (lost ball; steal by J. Crowder),,65-73,,
7:15.0,,,65-75,2,J. Crowder makes 2-pt shot at rim (assist by I. Thomas)
6:47.0,T. Booker misses 3-pt shot from 25 ft,,65-75,,
6:47.0,,,65-75,,Defensive rebound by A. Bradley
6:41.0,,,65-75,,Turnover by A. Johnson (bad pass; steal by R. Hollis-Jefferson)
6:32.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft,,65-75,,
6:31.0,,,65-75,,Defensive rebound by A. Johnson
6:22.0,,,65-78,3,I. Thomas makes 3-pt shot from 25 ft
5:55.0,L. Scola misses 3-pt shot from 25 ft,,65-78,,
5:53.0,Offensive rebound by B. Bogdanovic,,65-78,,
5:51.0,B. Bogdanovic makes 2-pt shot at rim,2,67-78,,
5:44.0,,,67-78,,Boston full timeout
5:44.0,B. Lopez enters the game for T. Booker,,67-78,,
5:44.0,J. Harris enters the game for B. Bogdanovic,,67-78,,
5:44.0,J. Hamilton enters the game for L. Scola,,67-78,,
5:44.0,,,67-78,,J. Brown enters the game for A. Johnson
5:42.0,,,67-78,,Offensive foul by A. Bradley
5:42.0,,,67-78,,Turnover by A. Bradley (offensive foul)
5:29.0,J. Lin misses 2-pt shot from 1 ft (block by J. Crowder),,67-78,,
5:28.0,,,67-78,,Defensive rebound by A. Bradley
5:16.0,,,67-80,2,A. Bradley makes 2-pt shot from 18 ft (assist by A. Horford)
4:56.0,J. Lin makes 3-pt shot from 26 ft,3,70-80,,
4:41.0,,,70-82,2,I. Thomas makes 2-pt shot from 16 ft
4:33.0,,,70-82,,Personal foul by I. Thomas (drawn by J. Hamilton)
4:33.0,,,70-82,,T. Rozier enters the game for A. Bradley
4:22.0,J. Hamilton misses 2-pt shot from 1 ft,,70-82,,
4:21.0,,,70-82,,Defensive rebound by T. Rozier
4:13.0,,,70-85,3,J. Crowder makes 3-pt shot from 24 ft (assist by T. Rozier)
4:00.0,J. Lin makes 3-pt shot from 26 ft,3,73-85,,
3:54.0,G. Vasquez enters the game for J. Lin,,73-85,,
3:54.0,S. Kilpatrick enters the game for R. Hollis-Jefferson,,73-85,,
3:44.0,,,73-85,,Shooting foul by J. Hamilton (drawn by J. Brown)
3:44.0,,,73-86,1,J. Brown makes free throw 1 of 2
3:44.0,,,73-86,,J. Brown misses free throw 2 of 2
3:44.0,Defensive rebound by B. Lopez,,73-86,,
3:40.0,Turnover by B. Lopez (bad pass; steal by J. Crowder),,73-86,,
3:35.0,,,73-88,2,J. Crowder makes 2-pt shot from 14 ft
3:13.0,J. Harris misses 2-pt shot from 2 ft (block by J. Brown),,73-88,,
3:12.0,,,73-88,,Defensive rebound by J. Crowder
3:09.0,,,73-88,,Turnover by J. Crowder (bad pass; steal by G. Vasquez)
3:00.0,B. Lopez misses 2-pt shot from 9 ft,,73-88,,
2:58.0,,,73-88,,Defensive rebound by I. Thomas
2:58.0,Personal foul by G. Vasquez (drawn by I. Thomas),,73-88,,
2:58.0,Brooklyn full timeout,,73-88,,
2:47.0,,,73-90,2,A. Horford makes 2-pt shot at rim (assist by J. Crowder)
2:37.0,,,73-90,,Personal foul by I. Thomas (drawn by J. Harris)
2:37.0,,,73-90,,T. Zeller enters the game for A. Horford
2:28.0,J. Hamilton makes 3-pt shot from 25 ft (assist by G. Vasquez),3,76-90,,
2:11.0,,,76-90,,J. Crowder misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by S. Kilpatrick,,76-90,,
2:01.0,B. Lopez misses 3-pt shot from 25 ft,,76-90,,
1:59.0,Offensive rebound by J. Hamilton,,76-90,,
1:53.0,S. Kilpatrick misses 3-pt shot from 26 ft,,76-90,,
1:53.0,,,76-90,,Defensive rebound by I. Thomas
1:44.0,,,76-90,,T. Zeller misses 2-pt shot from 1 ft
1:43.0,Defensive rebound by B. Lopez,,76-90,,
1:36.0,Shooting foul by J. Crowder (drawn by S. Kilpatrick),,76-90,,
1:36.0,S. Kilpatrick makes free throw 1 of 2,1,77-90,,
1:36.0,S. Kilpatrick makes free throw 2 of 2,1,78-90,,
1:36.0,,,77-90,,J. Jerebko enters the game for J. Crowder
1:26.0,,,78-92,2,I. Thomas makes 2-pt shot from 15 ft (assist by T. Zeller)
1:15.0,Turnover by S. Kilpatrick (lost ball; steal by T. Rozier),,78-92,,
1:09.0,,,78-94,2,I. Thomas makes 2-pt shot at rim (assist by J. Brown)
1:00.0,J. Harris makes 3-pt shot from 26 ft (assist by G. Vasquez),3,81-94,,
0:40.0,,,81-97,3,I. Thomas makes 3-pt shot from 25 ft
0:30.0,J. Hamilton misses 3-pt shot from 25 ft,,81-97,,
0:28.0,,,81-97,,Defensive rebound by J. Brown
0:08.0,,,81-97,,I. Thomas misses 3-pt shot from 26 ft
0:07.0,Defensive rebound by B. Lopez,,81-97,,
0:01.0,S. Kilpatrick misses 2-pt shot from 18 ft,,81-97,,
0:00.0,Offensive rebound by Team,,81-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,J. Harris makes 2-pt shot from 2 ft (assist by L. Scola),2,83-97,,
11:14.0,,,83-99,2,T. Zeller makes 2-pt shot from 2 ft (assist by A. Bradley)
11:01.0,Turnover by L. Scola (bad pass; steal by J. Jerebko),,83-99,,
11:01.0,Personal foul by L. Scola (drawn by J. Jerebko),,83-99,,
10:35.0,,,83-101,2,J. Jerebko makes 2-pt shot from 5 ft
10:26.0,S. Kilpatrick misses 3-pt shot from 24 ft,,83-101,,
10:25.0,,,83-101,,Defensive rebound by T. Zeller
10:12.0,,,83-103,2,T. Rozier makes 2-pt shot from 21 ft
10:01.0,J. Harris misses 2-pt shot from 3 ft (block by T. Zeller),,83-103,,
10:01.0,Offensive rebound by Team,,83-103,,
9:54.0,J. Hamilton misses 2-pt shot from 4 ft (block by T. Zeller),,83-103,,
9:53.0,Offensive rebound by J. Hamilton,,83-103,,
9:49.0,J. Harris misses 3-pt shot from 25 ft,,83-103,,
9:48.0,,,83-103,,Defensive rebound by J. Jerebko
9:37.0,,,83-105,2,J. Brown makes 2-pt shot at rim (assist by J. Jerebko)
9:37.0,Brooklyn full timeout,,83-105,,
9:13.0,S. Kilpatrick makes 2-pt shot from 9 ft (assist by G. Vasquez),2,85-105,,
8:53.0,,,85-107,2,J. Brown makes 2-pt shot from 13 ft
8:40.0,L. Scola makes 2-pt shot from 7 ft (assist by J. Hamilton),2,87-107,,
8:19.0,,,87-110,3,A. Bradley makes 3-pt shot from 25 ft (assist by J. Jerebko)
7:57.0,J. Harris misses 2-pt shot from 5 ft (block by J. Brown),,87-110,,
7:56.0,Offensive rebound by J. Hamilton,,87-110,,
7:50.0,J. Harris makes 2-pt shot from 5 ft,2,89-110,,
7:36.0,,,89-112,2,T. Zeller makes 2-pt shot from 18 ft (assist by J. Jerebko)
7:17.0,L. Scola makes 3-pt shot from 23 ft (assist by J. Harris),3,92-112,,
7:08.0,Personal foul by G. Vasquez (drawn by T. Rozier),,92-112,,
7:08.0,B. Lopez enters the game for L. Scola,,92-112,,
7:08.0,,,92-112,,G. Green enters the game for J. Brown
7:08.0,J. Lin enters the game for J. Harris,,92-112,,
6:51.0,,,92-112,,A. Bradley misses 2-pt shot from 1 ft
6:51.0,Defensive rebound by J. Hamilton,,92-112,,
6:42.0,J. Lin makes 2-pt shot from 1 ft,2,94-112,,
6:42.0,Shooting foul by A. Bradley (drawn by J. Lin),,94-112,,
6:42.0,J. Lin makes free throw 1 of 1,1,95-112,,
6:27.0,,,95-114,2,G. Green makes 2-pt shot from 7 ft (assist by T. Zeller)
6:14.0,S. Kilpatrick misses 2-pt shot from 7 ft,,95-114,,
6:13.0,,,95-114,,Defensive rebound by A. Bradley
5:56.0,,,95-114,,J. Jerebko misses 3-pt shot from 28 ft
5:54.0,,,95-114,,Offensive rebound by T. Zeller
5:41.0,,,95-116,2,T. Zeller makes 2-pt shot at rim (assist by G. Green)
5:28.0,J. Hamilton makes 2-pt shot at rim (assist by S. Kilpatrick),2,97-116,,
5:28.0,Shooting foul by G. Green (drawn by J. Hamilton),,97-116,,
5:28.0,Official timeout,,97-116,,
5:28.0,J. Hamilton misses free throw 1 of 1,,97-116,,
5:28.0,,,97-116,,J. Brown enters the game for A. Bradley
5:28.0,B. Bogdanovic enters the game for S. Kilpatrick,,97-116,,
5:28.0,R. Hollis-Jefferson enters the game for G. Vasquez,,97-116,,
5:27.0,,,97-116,,Defensive rebound by J. Brown
5:10.0,,,97-116,,J. Jerebko misses 2-pt shot from 7 ft
5:09.0,Defensive rebound by J. Hamilton,,97-116,,
5:04.0,J. Lin misses 3-pt shot from 25 ft,,97-116,,
5:03.0,,,97-116,,Defensive rebound by G. Green
4:45.0,,,97-116,,J. Brown misses 2-pt shot from 15 ft
4:44.0,Defensive rebound by J. Hamilton,,97-116,,
