time,New Orleans,pts.away,score,pts.home,Chicago
6:42.0,,,6-14,,D. Wade misses 2-pt shot from 19 ft
6:41.0,Defensive rebound by B. Hield,,6-14,,
6:31.0,B. Hield misses 3-pt shot from 25 ft,,6-14,,
6:31.0,,,6-14,,Defensive rebound by J. Butler
6:17.0,,,6-14,,T. Gibson misses 3-pt shot from 24 ft
6:16.0,Defensive rebound by J. Holiday,,6-14,,
6:04.0,T. Jones makes 2-pt shot at rim (assist by S. Hill),2,8-14,,
5:38.0,,,8-17,3,J. Butler makes 3-pt shot from 26 ft
5:25.0,T. Jones makes 2-pt shot from 10 ft (assist by J. Holiday),2,10-17,,
5:13.0,,,10-17,,M. Carter-Williams misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by J. Holiday,,10-17,,
5:07.0,B. Hield misses 2-pt shot at rim (block by J. Butler),,10-17,,
5:04.0,Offensive rebound by A. Davis,,10-17,,
4:52.0,Turnover by A. Davis (lost ball; steal by J. Butler),,10-17,,
4:34.0,,,10-17,,T. Gibson misses 2-pt shot from 6 ft
4:33.0,Defensive rebound by Team,,10-17,,
4:33.0,,,10-17,,R. Rondo enters the game for M. Carter-Williams
4:33.0,,,10-17,,D. McDermott enters the game for D. Wade
4:33.0,D. Cunningham enters the game for T. Jones,,10-17,,
4:16.0,A. Davis misses 2-pt shot from 4 ft,,10-17,,
4:15.0,,,10-17,,Defensive rebound by T. Gibson
4:10.0,,,10-17,,J. Butler misses 2-pt shot from 5 ft
4:09.0,Defensive rebound by A. Davis,,10-17,,
4:02.0,J. Holiday misses 2-pt shot from 1 ft (block by R. Lopez),,10-17,,
4:02.0,Offensive rebound by Team,,10-17,,
4:00.0,Turnover by J. Holiday (bad pass; steal by J. Butler),,10-17,,
3:54.0,,,10-17,,R. Rondo misses 2-pt shot from 7 ft
3:54.0,,,10-17,,Offensive rebound by T. Gibson
3:54.0,,,10-17,,Shooting foul by D. Cunningham (drawn by T. Gibson)
3:54.0,,,10-17,,T. Gibson misses free throw 1 of 2
3:54.0,,,10-17,,Offensive rebound by Team
3:54.0,,,10-17,,T. Gibson misses free throw 2 of 2
3:54.0,E. Moore enters the game for B. Hield,,10-17,,
3:52.0,Defensive rebound by A. Davis,,10-17,,
3:36.0,S. Hill makes 3-pt shot from 23 ft (assist by E. Moore),3,13-17,,
3:18.0,,,13-19,2,J. Butler makes 2-pt shot from 16 ft (assist by T. Gibson)
3:06.0,A. Davis misses 2-pt shot from 3 ft,,13-19,,
3:05.0,,,13-19,,Defensive rebound by R. Lopez
2:57.0,Personal foul by E. Moore (drawn by T. Gibson),,13-19,,
2:57.0,,,13-19,,Chicago full timeout
2:57.0,,,13-19,,B. Portis enters the game for T. Gibson
2:57.0,T. Evans enters the game for J. Holiday,,13-19,,
2:45.0,,,13-21,2,J. Butler makes 2-pt shot from 17 ft
2:28.0,T. Evans makes 2-pt shot from 2 ft,2,15-21,,
2:16.0,,,15-21,,Turnover by R. Rondo (bad pass)
2:04.0,Turnover by A. Davis (lost ball; steal by R. Rondo),,15-21,,
1:54.0,,,15-21,,D. McDermott misses 2-pt shot from 3 ft (block by A. Davis)
1:53.0,,,15-21,,Offensive rebound by D. McDermott
1:48.0,,,15-21,,Turnover by J. Butler (bad pass)
1:39.0,,,15-21,,Violation by D. McDermott (kicked ball)
1:34.0,,,15-21,,Personal foul by R. Rondo (drawn by A. Davis)
1:23.0,E. Moore makes 2-pt shot from 22 ft,2,17-21,,
0:49.0,,,17-21,,R. Lopez misses 2-pt shot from 9 ft
0:48.0,Defensive rebound by D. Cunningham,,17-21,,
0:43.0,E. Moore makes 3-pt shot from 23 ft (assist by D. Cunningham),3,20-21,,
0:29.0,,,20-21,,R. Lopez misses 2-pt shot from 21 ft
0:27.0,Defensive rebound by D. Cunningham,,20-21,,
0:12.0,T. Evans makes 2-pt shot from 1 ft,2,22-21,,
0:00.0,,,22-21,,J. Butler misses 2-pt shot from 20 ft
0:00.0,,,22-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,22-24,3,R. Rondo makes 3-pt shot from 24 ft (assist by D. Wade)
11:27.0,T. Evans misses 3-pt shot from 27 ft,,22-24,,
11:26.0,Offensive rebound by T. Jones,,22-24,,
11:11.0,T. Jones misses 2-pt shot from 4 ft,,22-24,,
11:10.0,,,22-24,,Defensive rebound by B. Portis
11:04.0,,,22-26,2,D. Wade makes 2-pt shot at rim
10:47.0,E. Moore makes 2-pt shot from 10 ft,2,24-26,,
10:32.0,,,24-26,,D. McDermott misses 2-pt shot from 21 ft
10:31.0,,,24-26,,Offensive rebound by C. Felicio
10:31.0,,,24-28,2,C. Felicio makes 2-pt shot from 2 ft
10:20.0,E. Moore makes 3-pt shot from 23 ft (assist by T. Evans),3,27-28,,
10:09.0,,,27-28,,Shooting foul by E. Moore (drawn by D. Wade)
10:09.0,,,27-29,1,D. Wade makes free throw 1 of 2
10:09.0,,,27-29,,D. Wade misses free throw 2 of 2
10:09.0,S. Hill enters the game for E. Moore,,27-29,,
10:08.0,Defensive rebound by D. Cunningham,,27-29,,
9:58.0,D. Cunningham misses 3-pt shot from 25 ft,,27-29,,
9:57.0,,,27-29,,Defensive rebound by D. McDermott
9:48.0,,,27-29,,D. Wade misses 2-pt shot from 14 ft
9:46.0,,,27-29,,Offensive rebound by C. Felicio
9:46.0,,,27-31,2,C. Felicio makes 2-pt shot from 1 ft
9:34.0,D. Cunningham misses 3-pt shot from 23 ft,,27-31,,
9:33.0,,,27-31,,Defensive rebound by B. Portis
9:25.0,,,27-31,,R. Rondo misses 2-pt shot from 1 ft
9:24.0,,,27-31,,Offensive rebound by B. Portis
9:24.0,,,27-31,,B. Portis misses 2-pt shot from 2 ft
9:22.0,,,27-31,,Offensive rebound by C. Felicio
9:17.0,,,27-31,,D. Wade misses 2-pt shot from 2 ft
9:17.0,,,27-31,,Offensive rebound by Team
9:00.0,,,27-34,3,R. Rondo makes 3-pt shot from 23 ft (assist by D. Wade)
8:43.0,S. Hill misses 3-pt shot from 24 ft,,27-34,,
8:42.0,,,27-34,,Defensive rebound by C. Felicio
8:31.0,,,27-34,,Turnover by D. Wade (bad pass; steal by L. Galloway)
8:25.0,D. Cunningham makes 2-pt shot from 1 ft (assist by T. Jones),2,29-34,,
8:07.0,,,29-34,,B. Portis misses 2-pt shot from 21 ft
8:07.0,Defensive rebound by Team,,29-34,,
8:07.0,New Orleans full timeout,,29-34,,
8:07.0,D. Motiejunas enters the game for T. Jones,,29-34,,
7:55.0,D. Motiejunas misses 2-pt shot from 9 ft,,29-34,,
7:52.0,,,29-34,,Defensive rebound by D. McDermott
7:40.0,,,29-36,2,C. Felicio makes 2-pt shot at rim (assist by R. Rondo)
7:25.0,Shooting foul by C. Felicio (drawn by S. Hill),,29-36,,
7:25.0,S. Hill makes free throw 1 of 2,1,30-36,,
7:25.0,S. Hill misses free throw 2 of 2,,30-36,,
7:23.0,,,30-36,,Defensive rebound by C. Felicio
7:07.0,,,30-38,2,B. Portis makes 2-pt shot from 15 ft (assist by R. Rondo)
6:54.0,Turnover by T. Evans (bad pass; steal by B. Portis),,30-38,,
6:48.0,,,30-41,3,D. McDermott makes 3-pt shot from 26 ft (assist by R. Rondo)
6:35.0,T. Evans misses 2-pt shot from 2 ft,,30-41,,
6:34.0,Offensive rebound by D. Cunningham,,30-41,,
6:34.0,D. Cunningham makes 2-pt shot at rim,2,32-41,,
6:19.0,,,32-41,,D. Wade misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by S. Hill,,32-41,,
6:10.0,T. Evans makes 2-pt shot from 12 ft,2,34-41,,
6:10.0,Shooting foul by D. Wade (drawn by T. Evans),,34-41,,
6:10.0,T. Evans misses free throw 1 of 1,,34-41,,
6:10.0,A. Davis enters the game for D. Motiejunas,,34-41,,
6:10.0,,,34-41,,J. Butler enters the game for D. Wade
6:09.0,,,34-41,,Defensive rebound by B. Portis
5:56.0,,,34-41,,D. McDermott misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by A. Davis,,34-41,,
5:44.0,S. Hill misses 2-pt shot from 1 ft,,34-41,,
5:43.0,,,34-41,,Defensive rebound by J. Butler
5:31.0,,,34-43,2,C. Felicio makes 2-pt shot from 7 ft (assist by R. Rondo)
5:25.0,,,34-43,,Violation by C. Felicio (kicked ball)
5:25.0,,,34-43,,Chicago full timeout
5:25.0,,,34-43,,D. Valentine enters the game for D. McDermott
5:05.0,D. Cunningham misses 3-pt shot from 25 ft,,34-43,,
5:04.0,,,34-43,,Defensive rebound by J. Butler
4:47.0,,,34-43,,Shooting foul by S. Hill (drawn by J. Butler)
4:47.0,,,34-44,1,J. Butler makes free throw 1 of 2
4:47.0,,,34-45,1,J. Butler makes free throw 2 of 2
4:47.0,J. Holiday enters the game for T. Evans,,34-44,,
4:47.0,,,34-44,,M. Carter-Williams enters the game for R. Rondo
4:47.0,,,34-44,,T. Gibson enters the game for B. Portis
4:33.0,,,34-45,,Personal foul by C. Felicio (drawn by A. Davis)
4:33.0,T. Jones enters the game for D. Cunningham,,34-45,,
4:23.0,L. Galloway makes 2-pt shot from 19 ft (assist by J. Holiday),2,36-45,,
4:03.0,,,36-45,,J. Butler misses 2-pt shot from 1 ft (block by A. Davis)
4:01.0,Defensive rebound by S. Hill,,36-45,,
3:54.0,A. Davis makes 2-pt shot at rim (assist by T. Jones),2,38-45,,
3:29.0,,,38-47,2,M. Carter-Williams makes 2-pt shot from 6 ft (assist by J. Butler)
3:15.0,Turnover by J. Holiday (bad pass; steal by J. Butler),,38-47,,
3:09.0,,,38-50,3,J. Butler makes 3-pt shot from 26 ft
3:01.0,,,38-50,,Personal foul by M. Carter-Williams (drawn by J. Holiday)
2:45.0,Shooting foul by C. Felicio (drawn by A. Davis),,38-50,,
2:45.0,New Orleans full timeout,,38-50,,
2:45.0,A. Davis makes free throw 1 of 2,1,39-50,,
2:45.0,A. Davis makes free throw 2 of 2,1,40-50,,
2:45.0,,,38-50,,R. Lopez enters the game for C. Felicio
2:33.0,,,40-52,2,M. Carter-Williams makes 2-pt shot from 4 ft (assist by J. Butler)
2:19.0,L. Galloway misses 2-pt shot from 22 ft,,40-52,,
2:18.0,,,40-52,,Defensive rebound by T. Gibson
2:12.0,,,40-52,,M. Carter-Williams misses 2-pt shot from 4 ft
2:11.0,,,40-52,,Offensive rebound by R. Lopez
2:11.0,,,40-52,,R. Lopez misses 2-pt shot from 1 ft
2:10.0,,,40-52,,Offensive rebound by R. Lopez
2:02.0,Personal foul by J. Holiday (drawn by M. Carter-Williams),,40-52,,
1:49.0,,,40-54,2,T. Gibson makes 2-pt shot from 1 ft
1:28.0,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday),2,42-54,,
1:11.0,,,42-54,,T. Gibson misses 2-pt shot from 2 ft (block by A. Davis)
1:11.0,,,42-54,,Offensive rebound by Team
1:07.0,Personal foul by S. Hill (drawn by J. Butler),,42-54,,
1:07.0,,,42-55,1,J. Butler makes free throw 1 of 2
1:07.0,,,42-55,,J. Butler misses free throw 2 of 2
1:07.0,B. Hield enters the game for S. Hill,,42-55,,
1:05.0,Defensive rebound by T. Jones,,42-55,,
0:49.0,A. Davis misses 2-pt shot from 15 ft,,42-55,,
0:48.0,,,42-55,,Defensive rebound by M. Carter-Williams
0:41.0,,,42-55,,J. Butler misses 2-pt shot from 18 ft
0:40.0,Defensive rebound by J. Holiday,,42-55,,
0:34.0,A. Davis makes 2-pt shot from 13 ft (assist by J. Holiday),2,44-55,,
0:34.0,Shooting foul by T. Gibson (drawn by A. Davis),,44-55,,
0:34.0,A. Davis makes free throw 1 of 1,1,45-55,,
0:20.0,,,45-55,,J. Butler misses 2-pt shot from 13 ft
0:20.0,,,45-55,,Offensive rebound by Team
0:20.0,,,45-55,,D. McDermott enters the game for T. Gibson
0:00.0,,,45-55,,R. Lopez misses 2-pt shot from 22 ft
0:00.0,,,45-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,45-55,,D. Wade misses 2-pt shot from 3 ft
11:43.0,,,45-55,,Offensive rebound by R. Lopez
11:43.0,,,45-55,,R. Lopez misses 2-pt shot from 3 ft
11:42.0,,,45-55,,Offensive rebound by R. Lopez
11:34.0,,,45-57,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
11:18.0,B. Hield misses 2-pt shot from 21 ft,,45-57,,
11:17.0,,,45-57,,Defensive rebound by T. Gibson
11:05.0,,,45-57,,Turnover by J. Butler (lost ball; steal by A. Davis)
10:56.0,B. Hield misses 2-pt shot from 2 ft (block by R. Lopez),,45-57,,
10:54.0,,,45-57,,Defensive rebound by T. Gibson
10:52.0,,,45-57,,Turnover by T. Gibson (bad pass)
10:34.0,J. Holiday misses 3-pt shot from 26 ft,,45-57,,
10:33.0,,,45-57,,Defensive rebound by T. Gibson
10:19.0,,,45-59,2,M. Carter-Williams makes 2-pt shot from 8 ft
10:07.0,Turnover by B. Hield (lost ball; steal by M. Carter-Williams),,45-59,,
10:02.0,,,45-59,,M. Carter-Williams misses 2-pt shot from 1 ft
10:01.0,,,45-59,,Offensive rebound by D. Wade
10:01.0,,,45-59,,D. Wade misses 2-pt shot from 1 ft
10:00.0,Defensive rebound by T. Jones,,45-59,,
9:50.0,J. Holiday misses 3-pt shot from 24 ft,,45-59,,
9:47.0,,,45-59,,Defensive rebound by T. Gibson
9:36.0,,,45-59,,D. Wade misses 2-pt shot from 15 ft
9:35.0,Defensive rebound by A. Davis,,45-59,,
9:29.0,S. Hill makes 3-pt shot from 27 ft (assist by J. Holiday),3,48-59,,
9:08.0,,,48-61,2,J. Butler makes 2-pt shot at rim (assist by M. Carter-Williams)
8:58.0,Turnover by A. Davis (lost ball; steal by D. Wade),,48-61,,
8:54.0,,,48-63,2,J. Butler makes 2-pt shot from 1 ft (assist by D. Wade)
8:53.0,,,48-63,,Violation by Team (delay of game)
8:53.0,New Orleans full timeout,,48-63,,
8:53.0,E. Moore enters the game for B. Hield,,48-63,,
8:44.0,J. Holiday misses 2-pt shot from 21 ft,,48-63,,
8:42.0,,,48-63,,Defensive rebound by D. Wade
8:25.0,,,48-63,,D. Wade misses 2-pt shot from 20 ft
8:23.0,Defensive rebound by S. Hill,,48-63,,
8:20.0,Shooting foul by M. Carter-Williams (drawn by S. Hill),,48-63,,
8:20.0,S. Hill misses free throw 1 of 2,,48-63,,
8:20.0,Offensive rebound by Team,,48-63,,
8:20.0,S. Hill makes free throw 2 of 2,1,49-63,,
8:04.0,,,49-63,,R. Lopez misses 2-pt shot from 8 ft
8:03.0,Defensive rebound by A. Davis,,49-63,,
7:52.0,Offensive foul by S. Hill,,49-63,,
7:52.0,Turnover by S. Hill (offensive foul),,49-63,,
7:42.0,,,49-63,,D. Wade misses 2-pt shot from 16 ft
7:41.0,,,49-63,,Offensive rebound by R. Lopez
7:26.0,,,49-63,,T. Gibson misses 3-pt shot from 23 ft
7:25.0,Defensive rebound by S. Hill,,49-63,,
7:11.0,Turnover by E. Moore (bad pass; steal by D. Wade),,49-63,,
7:07.0,,,49-63,,Shooting foul by J. Holiday (drawn by M. Carter-Williams)
7:07.0,,,49-64,1,M. Carter-Williams makes free throw 1 of 2
7:07.0,,,49-64,,M. Carter-Williams misses free throw 2 of 2
7:06.0,Defensive rebound by A. Davis,,49-64,,
6:51.0,T. Jones makes 2-pt shot at rim (assist by J. Holiday),2,51-64,,
6:30.0,,,51-66,2,R. Lopez makes 2-pt shot from 19 ft (assist by D. Wade)
6:13.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,53-66,,
5:50.0,,,53-66,,D. Wade misses 2-pt shot from 19 ft
5:49.0,Defensive rebound by S. Hill,,53-66,,
5:44.0,S. Hill makes 2-pt shot from 2 ft,2,55-66,,
5:44.0,,,55-66,,Chicago full timeout
5:44.0,,,55-66,,D. McDermott enters the game for D. Wade
5:44.0,,,55-66,,R. Rondo enters the game for M. Carter-Williams
5:27.0,,,55-66,,J. Butler misses 2-pt shot from 16 ft
5:25.0,,,55-66,,Offensive rebound by R. Lopez
5:18.0,,,55-66,,R. Rondo misses 2-pt shot from 3 ft
5:17.0,Defensive rebound by T. Jones,,55-66,,
5:09.0,A. Davis makes 2-pt shot from 22 ft (assist by J. Holiday),2,57-66,,
4:51.0,,,57-66,,T. Gibson misses 2-pt shot from 16 ft
4:49.0,Defensive rebound by T. Jones,,57-66,,
4:40.0,E. Moore makes 3-pt shot from 26 ft (assist by A. Davis),3,60-66,,
4:21.0,,,60-66,,D. McDermott misses 3-pt shot from 27 ft
4:20.0,,,60-66,,Offensive rebound by R. Lopez
4:10.0,,,60-68,2,T. Gibson makes 2-pt shot from 7 ft
3:56.0,E. Moore misses 2-pt shot from 13 ft,,60-68,,
3:55.0,,,60-68,,Defensive rebound by D. McDermott
3:43.0,,,60-68,,R. Lopez misses 2-pt shot from 2 ft (block by T. Jones)
3:39.0,,,60-68,,Offensive rebound by R. Lopez
3:38.0,,,60-68,,R. Lopez misses 2-pt shot from 4 ft
3:37.0,Defensive rebound by T. Jones,,60-68,,
3:24.0,A. Davis misses 2-pt shot from 20 ft,,60-68,,
3:23.0,,,60-68,,Defensive rebound by T. Gibson
3:11.0,,,60-71,3,D. McDermott makes 3-pt shot from 24 ft (assist by R. Lopez)
2:55.0,T. Jones makes 2-pt shot from 14 ft (assist by A. Davis),2,62-71,,
2:42.0,,,62-73,2,T. Gibson makes 2-pt shot from 5 ft (assist by R. Rondo)
2:23.0,A. Davis misses 2-pt shot from 21 ft,,62-73,,
2:22.0,,,62-73,,Defensive rebound by D. McDermott
2:15.0,,,62-73,,D. McDermott misses 3-pt shot from 23 ft
2:14.0,,,62-73,,Offensive rebound by T. Gibson
2:12.0,,,62-73,,Turnover by J. Butler (traveling)
2:12.0,,,62-73,,B. Portis enters the game for T. Gibson
2:02.0,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday),2,64-73,,
2:02.0,Shooting foul by R. Lopez (drawn by A. Davis),,64-73,,
2:02.0,A. Davis misses free throw 1 of 1,,64-73,,
2:02.0,D. Motiejunas enters the game for T. Jones,,64-73,,
2:02.0,T. Evans enters the game for J. Holiday,,64-73,,
2:01.0,,,64-73,,Defensive rebound by R. Rondo
1:53.0,Personal foul by S. Hill (drawn by J. Butler),,64-73,,
1:53.0,D. Cunningham enters the game for S. Hill,,64-73,,
1:44.0,,,64-75,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Butler)
1:24.0,T. Evans misses 3-pt shot from 26 ft,,64-75,,
1:23.0,Offensive rebound by A. Davis,,64-75,,
1:22.0,A. Davis misses 2-pt shot from 2 ft (block by J. Butler),,64-75,,
1:22.0,Offensive rebound by A. Davis,,64-75,,
1:22.0,Shooting foul by B. Portis (drawn by A. Davis),,64-75,,
1:22.0,A. Davis makes free throw 1 of 2,1,65-75,,
1:22.0,A. Davis makes free throw 2 of 2,1,66-75,,
1:11.0,,,66-75,,D. McDermott misses 3-pt shot from 26 ft
1:10.0,Defensive rebound by D. Cunningham,,66-75,,
1:03.0,T. Evans makes 2-pt shot from 3 ft,2,68-75,,
0:42.0,,,68-75,,J. Butler misses 3-pt shot from 25 ft
0:41.0,,,68-75,,Offensive rebound by D. McDermott
0:41.0,,,68-77,2,D. McDermott makes 2-pt shot from 1 ft
0:27.0,E. Moore makes 3-pt shot from 23 ft (assist by T. Evans),3,71-77,,
0:02.0,,,71-77,,R. Rondo misses 3-pt shot from 24 ft
0:00.0,,,71-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,D. Cunningham misses 2-pt shot from 9 ft,,71-77,,
11:43.0,,,71-77,,Defensive rebound by R. Rondo
11:42.0,,,71-77,,Turnover by R. Rondo (bad pass)
11:37.0,,,71-77,,Flagrant foul type 1 by D. Wade (drawn by T. Jones)
11:37.0,T. Jones misses flagrant free throw 1 of 2,,71-77,,
11:37.0,Offensive rebound by Team,,71-77,,
11:37.0,T. Jones makes flagrant free throw 2 of 2,1,72-77,,
11:21.0,D. Cunningham makes 3-pt shot from 23 ft (assist by E. Moore),3,75-77,,
11:01.0,,,75-79,2,D. Wade makes 2-pt shot from 20 ft
10:54.0,T. Evans makes 2-pt shot from 1 ft,2,77-79,,
10:54.0,Shooting foul by B. Portis (drawn by T. Evans),,77-79,,
10:54.0,T. Evans makes free throw 1 of 1,1,78-79,,
10:42.0,,,78-79,,R. Rondo misses 2-pt shot from 20 ft
10:41.0,Defensive rebound by D. Motiejunas,,78-79,,
10:28.0,Turnover by D. Motiejunas (bad pass; steal by D. McDermott),,78-79,,
10:19.0,,,78-81,2,D. Wade makes 2-pt shot from 20 ft
10:01.0,E. Moore misses 3-pt shot from 25 ft,,78-81,,
10:01.0,,,78-81,,Defensive rebound by D. McDermott
10:01.0,Personal foul by D. Cunningham (drawn by D. McDermott),,78-81,,
10:01.0,,,78-81,,M. Carter-Williams enters the game for R. Rondo
9:47.0,,,78-81,,Turnover by B. Portis (bad pass; steal by T. Evans)
9:43.0,T. Evans misses 2-pt shot from 2 ft,,78-81,,
9:42.0,Offensive rebound by D. Motiejunas,,78-81,,
9:42.0,D. Motiejunas makes 2-pt shot from 2 ft,2,80-81,,
9:22.0,,,80-83,2,D. Wade makes 2-pt shot from 5 ft
9:11.0,T. Evans misses 2-pt shot from 1 ft,,80-83,,
9:09.0,,,80-83,,Defensive rebound by B. Portis
9:01.0,,,80-85,2,D. Wade makes 2-pt shot from 18 ft
9:01.0,New Orleans full timeout,,80-85,,
9:01.0,,,80-85,,T. Gibson enters the game for D. McDermott
9:01.0,,,80-85,,J. Butler enters the game for B. Portis
9:01.0,A. Davis enters the game for D. Motiejunas,,80-85,,
8:40.0,E. Moore misses 2-pt shot from 23 ft,,80-85,,
8:38.0,,,80-85,,Defensive rebound by T. Gibson
8:29.0,,,80-85,,Shooting foul by T. Jones (drawn by C. Felicio)
8:29.0,,,80-86,1,C. Felicio makes free throw 1 of 2
8:29.0,,,80-86,,C. Felicio misses free throw 2 of 2
8:27.0,Defensive rebound by T. Jones,,80-86,,
8:14.0,Jump ball: A. Davis vs. C. Felicio (T. Evans gains possession),,,,Jump ball: A. Davis vs. C. Felicio (T. Evans gains possession)
8:05.0,A. Davis makes 2-pt shot from 21 ft (assist by T. Evans),2,82-86,,
7:56.0,Personal foul by D. Cunningham (drawn by J. Butler),,82-86,,
7:50.0,,,82-89,3,D. Wade makes 3-pt shot from 25 ft
7:39.0,T. Evans misses 2-pt shot from 2 ft (block by T. Gibson),,82-89,,
7:37.0,,,82-89,,Defensive rebound by M. Carter-Williams
7:32.0,,,82-91,2,M. Carter-Williams makes 2-pt shot from 3 ft (assist by J. Butler)
7:22.0,,,82-91,,Personal foul by J. Butler (drawn by D. Cunningham)
7:22.0,,,82-91,,Technical foul by J. Butler (drawn by D. Cunningham)
7:22.0,Technical foul by D. Cunningham,,82-91,,
7:22.0,S. Hill enters the game for D. Cunningham,,82-91,,
7:14.0,A. Davis makes 2-pt shot from 21 ft (assist by T. Evans),2,84-91,,
6:54.0,,,84-91,,Offensive charge foul by T. Gibson
6:54.0,,,84-91,,Turnover by T. Gibson (offensive foul)
6:37.0,A. Davis makes 2-pt shot from 20 ft (assist by T. Evans),2,86-91,,
6:20.0,,,86-93,2,T. Gibson makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
6:06.0,T. Evans misses 3-pt shot from 26 ft,,86-93,,
6:05.0,,,86-93,,Defensive rebound by J. Butler
5:56.0,,,86-93,,D. Wade misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by A. Davis,,86-93,,
5:45.0,S. Hill misses 3-pt shot from 25 ft,,86-93,,
5:44.0,,,86-93,,Defensive rebound by C. Felicio
5:33.0,,,86-93,,Shooting foul by T. Jones (drawn by J. Butler)
5:33.0,,,86-93,,Chicago full timeout
5:33.0,,,86-94,1,J. Butler makes free throw 1 of 2
5:33.0,,,86-94,,J. Butler misses free throw 2 of 2
5:33.0,,,86-94,,Offensive rebound by Team
5:33.0,Loose ball foul by S. Hill (drawn by T. Gibson),,86-94,,
5:33.0,,,86-95,1,T. Gibson makes free throw 1 of 2
5:33.0,,,86-95,,T. Gibson misses free throw 2 of 2
5:33.0,J. Holiday enters the game for T. Jones,,86-93,,
5:33.0,T. Jones enters the game for S. Hill,,86-95,,
5:31.0,Defensive rebound by A. Davis,,86-95,,
5:19.0,,,86-95,,Personal foul by M. Carter-Williams (drawn by T. Evans)
5:07.0,T. Evans misses 2-pt shot from 2 ft,,86-95,,
