time,Cleveland,pts.away,score,pts.home,Washington
0:00.0,,,54-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,K. Love misses 3-pt shot from 23 ft,,54-57,,
11:39.0,,,54-57,,Defensive rebound by O. Porter
11:23.0,,,54-57,,B. Beal misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by L. James,,54-57,,
11:14.0,L. James misses 3-pt shot from 26 ft,,54-57,,
11:14.0,,,54-57,,Defensive rebound by M. Gortat
10:59.0,,,54-60,3,B. Beal makes 3-pt shot from 23 ft (assist by M. Morris)
10:35.0,L. James makes 3-pt shot from 23 ft,3,57-60,,
10:20.0,,,57-62,2,B. Beal makes 2-pt shot from 21 ft (assist by J. Wall)
9:55.0,Turnover by L. James (lost ball),,57-62,,
9:41.0,,,57-62,,Shooting foul by L. James (drawn by O. Porter)
9:41.0,,,57-63,1,O. Porter makes free throw 1 of 3
9:41.0,,,57-64,1,O. Porter makes free throw 2 of 3
9:41.0,,,57-65,1,O. Porter makes free throw 3 of 3
9:20.0,Offensive charge foul by K. Love,,57-65,,
9:20.0,Turnover by K. Love (offensive foul),,57-65,,
9:20.0,Cleveland full timeout,,57-65,,
9:06.0,,,57-65,,M. Gortat misses 2-pt shot from 1 ft
9:06.0,Defensive rebound by K. Love,,57-65,,
8:55.0,K. Irving makes 2-pt shot from 6 ft (assist by L. James),2,59-65,,
8:34.0,,,59-68,3,B. Beal makes 3-pt shot from 26 ft (assist by M. Gortat)
8:19.0,T. Thompson makes 2-pt shot from 1 ft (assist by K. Irving),2,61-68,,
8:01.0,,,61-68,,Turnover by J. Wall (bad pass)
7:51.0,K. Irving misses 2-pt shot at rim,,61-68,,
7:50.0,Offensive rebound by T. Thompson,,61-68,,
7:49.0,T. Thompson makes 2-pt shot at rim,2,63-68,,
7:35.0,,,63-68,,Offensive foul by M. Morris
7:35.0,,,63-68,,Turnover by M. Morris (offensive foul)
7:24.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,65-68,,
7:05.0,,,65-68,,M. Morris misses 3-pt shot from 26 ft
7:05.0,Defensive rebound by K. Love,,65-68,,
6:55.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,68-68,,
6:54.0,,,68-68,,Washington full timeout
6:44.0,,,68-70,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
6:26.0,Turnover by K. Irving (bad pass),,68-70,,
6:16.0,,,68-70,,M. Morris misses 2-pt shot from 19 ft
6:15.0,Defensive rebound by K. Love,,68-70,,
6:06.0,K. Irving makes 2-pt shot from 19 ft,2,70-70,,
5:51.0,,,70-70,,B. Beal misses 3-pt shot from 27 ft
5:51.0,Defensive rebound by Team,,70-70,,
5:51.0,,,70-70,,Loose ball foul by M. Gortat (drawn by K. Love)
5:39.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,73-70,,
5:23.0,,,73-70,,J. Wall misses 3-pt shot from 26 ft
5:22.0,Defensive rebound by K. Love,,73-70,,
5:18.0,L. James makes 2-pt shot from 1 ft,2,75-70,,
5:18.0,Shooting foul by O. Porter (drawn by L. James),,75-70,,
5:18.0,L. James misses free throw 1 of 1,,75-70,,
5:18.0,,,75-70,,K. Oubre enters the game for M. Morris
5:16.0,Offensive rebound by T. Thompson,,75-70,,
5:08.0,L. James misses 3-pt shot from 24 ft,,75-70,,
5:07.0,Offensive rebound by K. Love,,75-70,,
5:07.0,Turnover by K. Love (traveling),,75-70,,
4:54.0,,,75-72,2,J. Wall makes 2-pt shot from 1 ft
4:38.0,T. Thompson misses 2-pt shot from 2 ft,,75-72,,
4:37.0,,,75-72,,Defensive rebound by K. Oubre
4:32.0,,,75-72,,O. Porter misses 2-pt shot at rim
4:31.0,Defensive rebound by L. James,,75-72,,
4:25.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,78-72,,
4:10.0,Personal foul by K. Irving (drawn by O. Porter),,78-72,,
4:01.0,,,78-75,3,O. Porter makes 3-pt shot from 23 ft (assist by B. Beal)
3:42.0,,,78-75,,Personal foul by K. Oubre (drawn by T. Thompson)
3:29.0,K. Irving misses 2-pt shot from 16 ft,,78-75,,
3:29.0,Offensive rebound by T. Thompson,,78-75,,
3:22.0,L. James makes 2-pt shot from 2 ft (assist by T. Thompson),2,80-75,,
3:05.0,,,80-75,,J. Smith enters the game for M. Gortat
3:04.0,Jump ball: L. James vs. J. Wall (B. Beal gains possession),,,,Jump ball: L. James vs. J. Wall (B. Beal gains possession)
2:55.0,,,80-77,2,J. Wall makes 2-pt shot from 20 ft
2:35.0,K. Irving misses 2-pt shot from 2 ft,,80-77,,
2:35.0,,,80-77,,Defensive rebound by J. Smith
2:30.0,Personal foul by I. Shumpert (drawn by B. Beal),,80-77,,
2:30.0,K. Korver enters the game for L. James,,80-77,,
2:24.0,,,80-79,2,B. Beal makes 2-pt shot from 21 ft
2:04.0,K. Irving misses 3-pt shot from 25 ft,,80-79,,
2:04.0,Offensive rebound by Team,,80-79,,
2:04.0,,,80-79,,Loose ball foul by J. Smith (drawn by T. Thompson)
2:04.0,R. Jefferson enters the game for I. Shumpert,,80-79,,
1:46.0,K. Irving misses 2-pt shot from 18 ft,,80-79,,
1:45.0,,,80-79,,Defensive rebound by J. Wall
1:43.0,Personal take foul by K. Irving (drawn by J. Wall),,80-79,,
1:43.0,,,80-79,,T. Satoransky enters the game for B. Beal
1:32.0,,,80-79,,J. Wall misses 2-pt shot from 1 ft
1:31.0,Defensive rebound by K. Korver,,80-79,,
1:24.0,Shooting foul by J. Wall (drawn by K. Love),,80-79,,
1:24.0,K. Love makes free throw 1 of 2,1,81-79,,
1:24.0,K. Love makes free throw 2 of 2,1,82-79,,
1:12.0,,,82-79,,O. Porter misses 3-pt shot from 27 ft
1:11.0,Defensive rebound by K. Irving,,82-79,,
1:08.0,Technical foul by T. Thompson,,82-79,,
1:08.0,,,82-80,1,J. Wall makes technical free throw
0:50.0,K. Korver misses 3-pt shot from 23 ft,,82-80,,
0:49.0,Offensive rebound by K. Love,,82-80,,
0:49.0,K. Love makes 2-pt shot at rim,2,84-80,,
0:44.0,,,84-82,2,J. Wall makes 2-pt shot from 1 ft
0:28.0,K. Love makes 2-pt shot from 17 ft,2,86-82,,
0:06.0,,,86-82,,J. Wall misses 2-pt shot at rim
0:05.0,Defensive rebound by T. Thompson,,86-82,,
0:01.0,K. Love misses 3-pt shot from 34 ft,,86-82,,
0:00.0,Offensive rebound by Team,,86-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,86-82,,M. Morris misses 2-pt shot from 8 ft
11:39.0,Defensive rebound by K. Felder,,86-82,,
11:34.0,Shooting foul by M. Morris (drawn by L. James),,86-82,,
11:34.0,L. James makes free throw 1 of 2,1,87-82,,
11:34.0,L. James misses free throw 2 of 2,,87-82,,
11:33.0,,,87-82,,Defensive rebound by M. Morris
11:14.0,,,87-84,2,B. Beal makes 2-pt shot from 18 ft
10:59.0,Offensive foul by K. Korver,,87-84,,
10:59.0,Turnover by K. Korver (offensive foul),,87-84,,
10:47.0,,,87-86,2,B. Beal makes 2-pt shot from 12 ft
10:47.0,Away from play foul by K. Korver (drawn by K. Oubre),,87-86,,
10:47.0,Turnover by K. Korver (offensive foul),,87-86,,
10:47.0,,,87-87,1,K. Oubre makes free throw 1 of 1
10:32.0,C. Frye misses 3-pt shot from 23 ft,,87-87,,
10:30.0,,,87-87,,Defensive rebound by K. Oubre
10:24.0,,,87-87,,B. Beal misses 2-pt shot from 3 ft
10:22.0,Defensive rebound by C. Frye,,87-87,,
10:22.0,Offensive charge foul by C. Frye,,87-87,,
10:22.0,Turnover by C. Frye (offensive foul),,87-87,,
10:17.0,,,87-87,,Shooting foul by K. Felder (drawn by M. Morris)
10:17.0,,,87-87,,M. Morris misses free throw 1 of 2
10:17.0,,,87-87,,Offensive rebound by Team
10:17.0,,,87-88,1,M. Morris makes free throw 2 of 2
10:03.0,Turnover by L. James (bad pass; steal by K. Oubre),,87-88,,
9:54.0,,,87-88,,K. Oubre misses 2-pt shot from 1 ft
9:53.0,Defensive rebound by C. Frye,,87-88,,
9:48.0,Turnover by K. Felder (bad pass; steal by T. Satoransky),,87-88,,
9:42.0,,,87-90,2,K. Oubre makes 2-pt shot at rim (assist by T. Satoransky)
9:42.0,Cleveland full timeout,,87-90,,
9:36.0,,,87-90,,Personal foul by M. Morris (drawn by K. Korver)
9:36.0,,,87-90,,O. Porter enters the game for M. Morris
9:28.0,C. Frye makes 3-pt shot from 23 ft (assist by K. Korver),3,90-90,,
9:00.0,,,90-90,,K. Oubre misses 2-pt shot from 4 ft
8:59.0,Defensive rebound by C. Frye,,90-90,,
8:41.0,K. Korver makes 3-pt shot from 27 ft (assist by C. Frye),3,93-90,,
8:41.0,,,93-90,,Washington full timeout
8:41.0,,,93-90,,Technical foul by Team
8:41.0,K. Korver makes technical free throw,1,94-90,,
8:41.0,,,93-90,,J. Wall enters the game for T. Satoransky
8:29.0,,,94-90,,O. Porter misses 3-pt shot from 24 ft
8:28.0,,,94-90,,Offensive rebound by K. Oubre
8:26.0,,,94-90,,K. Oubre misses 2-pt shot at rim
8:25.0,Defensive rebound by R. Jefferson,,94-90,,
8:24.0,R. Jefferson misses 2-pt shot from 1 ft (block by O. Porter),,94-90,,
8:24.0,Offensive rebound by Team,,94-90,,
8:24.0,Violation by Team (jump ball),,94-90,,
8:21.0,Offensive foul by L. James,,94-90,,
8:21.0,Turnover by L. James (offensive foul),,94-90,,
8:21.0,K. Irving enters the game for K. Felder,,94-90,,
8:06.0,,,94-92,2,K. Oubre makes 2-pt shot from 1 ft (assist by B. Beal)
8:06.0,,,94-92,,Shooting foul by C. Frye (drawn by K. Oubre)
8:06.0,,,94-93,1,K. Oubre makes free throw 1 of 1
7:44.0,Shooting foul by O. Porter (drawn by R. Jefferson),,94-93,,
7:44.0,R. Jefferson makes free throw 1 of 2,1,95-93,,
7:44.0,R. Jefferson makes free throw 2 of 2,1,96-93,,
7:44.0,K. Love enters the game for L. James,,95-93,,
7:34.0,,,96-93,,Shooting foul by C. Frye (drawn by J. Smith)
7:34.0,,,96-93,,J. Smith misses free throw 1 of 2
7:34.0,,,96-93,,Offensive rebound by Team
7:34.0,,,96-94,1,J. Smith makes free throw 2 of 2
7:34.0,T. Thompson enters the game for C. Frye,,96-93,,
7:23.0,K. Irving misses 3-pt shot from 27 ft,,96-94,,
7:22.0,,,96-94,,Defensive rebound by O. Porter
7:13.0,,,96-94,,M. Gortat enters the game for J. Smith
7:08.0,,,96-94,,M. Gortat misses 2-pt shot from 9 ft
7:07.0,Defensive rebound by K. Love,,96-94,,
6:54.0,K. Irving misses 2-pt shot from 15 ft,,96-94,,
6:54.0,Offensive rebound by Team,,96-94,,
6:54.0,,,96-94,,Loose ball foul by M. Gortat (drawn by T. Thompson)
6:48.0,K. Love makes 2-pt shot from 12 ft,2,98-94,,
6:33.0,,,98-96,2,O. Porter makes 2-pt shot from 11 ft
6:15.0,K. Love makes 2-pt shot from 2 ft (assist by R. Jefferson),2,100-96,,
6:15.0,Shooting foul by K. Oubre (drawn by K. Love),,100-96,,
6:15.0,K. Love makes free throw 1 of 1,1,101-96,,
6:15.0,,,100-96,,M. Morris enters the game for K. Oubre
6:15.0,L. James enters the game for R. Jefferson,,100-96,,
6:00.0,Personal foul by L. James (drawn by M. Morris),,101-96,,
6:00.0,,,101-97,1,M. Morris makes free throw 1 of 2
6:00.0,,,101-98,1,M. Morris makes free throw 2 of 2
5:47.0,Turnover by K. Love (lost ball; steal by M. Morris),,101-98,,
5:29.0,,,101-100,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
5:02.0,K. Korver misses 3-pt shot from 22 ft,,101-100,,
5:01.0,Offensive rebound by T. Thompson,,101-100,,
4:50.0,K. Irving misses 2-pt shot from 18 ft,,101-100,,
4:49.0,,,101-100,,Defensive rebound by B. Beal
4:37.0,,,101-102,2,J. Wall makes 2-pt shot from 19 ft
4:18.0,L. James makes 3-pt shot from 27 ft (assist by K. Irving),3,104-102,,
4:05.0,,,104-104,2,J. Wall makes 2-pt shot from 1 ft
3:48.0,L. James makes 3-pt shot from 26 ft (assist by K. Korver),3,107-104,,
3:30.0,,,107-107,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
3:14.0,K. Irving misses 3-pt shot from 27 ft,,107-107,,
3:12.0,,,107-107,,Defensive rebound by B. Beal
3:01.0,,,107-110,3,O. Porter makes 3-pt shot from 24 ft (assist by B. Beal)
3:00.0,Cleveland full timeout,,107-110,,
2:41.0,L. James makes 3-pt shot from 28 ft,3,110-110,,
2:24.0,,,110-110,,Turnover by J. Wall (bad pass; steal by K. Love)
2:17.0,K. Korver makes 3-pt shot from 23 ft (assist by L. James),3,113-110,,
1:58.0,,,113-110,,B. Beal misses 3-pt shot from 26 ft
1:57.0,Defensive rebound by L. James,,113-110,,
1:49.0,K. Love misses 3-pt shot from 24 ft,,113-110,,
1:48.0,,,113-110,,Defensive rebound by B. Beal
1:32.0,,,113-110,,Shooting foul by T. Thompson (drawn by M. Gortat)
1:32.0,,,113-111,1,M. Gortat makes free throw 1 of 2
1:32.0,,,113-112,1,M. Gortat makes free throw 2 of 2
1:16.0,K. Love makes 3-pt shot from 27 ft (assist by L. James),3,116-112,,
1:16.0,,,116-112,,Washington full timeout
1:07.0,Personal foul by L. James (drawn by O. Porter),,116-112,,
1:07.0,,,116-112,,O. Porter misses free throw 1 of 2
1:07.0,,,116-112,,Offensive rebound by Team
1:07.0,,,116-113,1,O. Porter makes free throw 2 of 2
0:51.0,L. James misses 2-pt shot from 4 ft (block by M. Gortat),,116-113,,
0:49.0,,,116-113,,Defensive rebound by B. Beal
0:44.0,,,116-116,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
0:44.0,Cleveland full timeout,,116-116,,
0:26.0,Shooting foul by B. Beal (drawn by T. Thompson),,116-116,,
0:26.0,T. Thompson makes free throw 1 of 2,1,117-116,,
0:26.0,T. Thompson misses free throw 2 of 2,,117-116,,
0:25.0,,,117-116,,Defensive rebound by J. Wall
0:24.0,,,117-116,,Washington full timeout
0:14.0,,,117-116,,J. Wall misses 2-pt shot at rim
