time,Cleveland,pts.away,score,pts.home,Sacramento
7:11.0,Defensive rebound by K. Love,,10-7,,
7:05.0,K. Irving makes 2-pt shot from 3 ft,2,12-7,,
6:45.0,,,12-7,,A. Tolliver misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by T. Thompson,,12-7,,
6:27.0,K. Irving makes 2-pt shot from 2 ft,2,14-7,,
6:19.0,,,14-7,,Sacramento full timeout
6:13.0,Personal foul by K. Irving (drawn by D. Cousins),,14-7,,
5:58.0,,,14-10,3,D. Collison makes 3-pt shot from 23 ft (assist by D. Cousins)
5:47.0,I. Shumpert makes 3-pt shot from 22 ft (assist by L. James),3,17-10,,
5:23.0,,,17-10,,D. Collison misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by K. Love,,17-10,,
5:13.0,I. Shumpert makes 3-pt shot from 24 ft (assist by K. Irving),3,20-10,,
4:55.0,,,20-10,,A. Tolliver misses 2-pt shot from 2 ft (block by T. Thompson)
4:53.0,Defensive rebound by K. Irving,,20-10,,
4:50.0,Turnover by L. James (offensive foul),,20-10,,
4:50.0,Offensive charge foul by L. James,,20-10,,
4:34.0,,,20-10,,D. Cousins misses 2-pt shot from 7 ft
4:33.0,Defensive rebound by K. Love,,20-10,,
4:28.0,Shooting foul by R. Gay (drawn by L. James),,20-10,,
4:28.0,L. James makes free throw 1 of 2,1,21-10,,
4:28.0,L. James makes free throw 2 of 2,1,22-10,,
4:18.0,,,22-10,,Offensive foul by D. Cousins
4:18.0,,,22-10,,Turnover by D. Cousins (offensive foul)
4:18.0,,,22-10,,K. Koufos enters the game for D. Cousins
4:05.0,L. James misses 2-pt shot from 5 ft (block by R. Gay),,22-10,,
4:04.0,,,22-10,,Defensive rebound by K. Koufos
4:02.0,,,22-10,,Turnover by K. Koufos (bad pass; steal by I. Shumpert)
4:00.0,Shooting foul by K. Koufos (drawn by T. Thompson),,22-10,,
4:00.0,Technical foul by L. James,,22-10,,
4:00.0,,,22-11,1,D. Collison makes technical free throw
4:00.0,T. Thompson misses free throw 1 of 2,,22-11,,
4:00.0,Offensive rebound by Team,,22-11,,
4:00.0,T. Thompson makes free throw 2 of 2,1,23-11,,
4:00.0,,,22-11,,T. Lawson enters the game for D. Collison
3:42.0,,,23-11,,Turnover by R. Gay (bad pass; steal by I. Shumpert)
3:34.0,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James),3,26-11,,
3:16.0,,,26-11,,G. Temple misses 3-pt shot from 26 ft
3:15.0,Defensive rebound by T. Thompson,,26-11,,
3:08.0,L. James makes 2-pt shot from 5 ft,2,28-11,,
2:58.0,,,28-11,,Sacramento full timeout
2:58.0,Cleveland full timeout,,28-11,,
2:58.0,C. Frye enters the game for L. James,,28-11,,
2:58.0,R. Jefferson enters the game for T. Thompson,,28-11,,
2:54.0,,,28-11,,Turnover by T. Lawson (bad pass)
2:40.0,K. Irving makes 2-pt shot from 18 ft,2,30-11,,
2:22.0,,,30-13,2,R. Gay makes 2-pt shot from 18 ft
2:13.0,K. Irving misses 3-pt shot from 25 ft,,30-13,,
2:13.0,,,30-13,,Defensive rebound by T. Lawson
2:03.0,,,30-13,,T. Lawson misses 2-pt shot from 17 ft
2:02.0,Defensive rebound by K. Love,,30-13,,
1:54.0,K. Love misses 3-pt shot from 25 ft,,30-13,,
1:53.0,,,30-13,,Defensive rebound by R. Gay
1:46.0,,,30-13,,A. Tolliver misses 2-pt shot from 14 ft
1:44.0,,,30-13,,Offensive rebound by K. Koufos
1:44.0,,,30-13,,K. Koufos misses 2-pt shot from 2 ft
1:44.0,Defensive rebound by K. Irving,,30-13,,
1:30.0,K. Love misses 2-pt shot from 11 ft,,30-13,,
1:30.0,,,30-13,,Defensive rebound by A. Tolliver
1:23.0,,,30-13,,Offensive charge foul by R. Gay
1:23.0,,,30-13,,Turnover by R. Gay (offensive foul)
1:23.0,K. Korver enters the game for I. Shumpert,,30-13,,
1:23.0,,,30-13,,M. Barnes enters the game for R. Gay
1:23.0,,,30-13,,A. Afflalo enters the game for A. Tolliver
1:18.0,,,30-13,,Personal foul by M. Barnes (drawn by K. Love)
1:04.0,K. Irving misses 2-pt shot from 9 ft,,30-13,,
1:03.0,Offensive rebound by K. Love,,30-13,,
1:01.0,K. Love misses 2-pt shot from 2 ft,,30-13,,
1:00.0,Offensive rebound by K. Love,,30-13,,
1:00.0,Shooting foul by A. Afflalo (drawn by K. Love),,30-13,,
1:00.0,K. Love makes free throw 1 of 2,1,31-13,,
1:00.0,K. Love makes free throw 2 of 2,1,32-13,,
0:42.0,,,32-13,,Turnover by G. Temple (bad pass; steal by C. Frye)
0:27.0,K. Love misses 2-pt shot from 12 ft,,32-13,,
0:26.0,,,32-13,,Defensive rebound by K. Koufos
0:04.0,,,32-13,,K. Koufos misses 2-pt shot from 2 ft
0:03.0,,,32-13,,Offensive rebound by K. Koufos
0:03.0,,,32-15,2,K. Koufos makes 2-pt shot from 2 ft
0:03.0,,,32-15,,Violation by Team (jump ball)
0:00.0,K. Irving misses 3-pt shot from 49 ft,,32-15,,
0:00.0,Offensive rebound by Team,,32-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by L. James (lost ball; steal by G. Temple),,32-15,,
11:39.0,,,32-17,2,M. Barnes makes 2-pt shot at rim (assist by G. Temple)
11:26.0,K. Korver misses 3-pt shot from 26 ft,,32-17,,
11:24.0,,,32-17,,Defensive rebound by K. Koufos
11:08.0,,,32-17,,M. Barnes misses 3-pt shot from 25 ft
11:08.0,,,32-17,,Offensive rebound by Team
10:56.0,Personal foul by R. Jefferson (drawn by A. Afflalo),,32-17,,
10:46.0,,,32-17,,A. Afflalo misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by D. Liggins,,32-17,,
10:37.0,L. James makes 3-pt shot from 24 ft,3,35-17,,
10:26.0,,,35-19,2,T. Lawson makes 2-pt shot from 2 ft
10:04.0,C. Frye makes 3-pt shot from 23 ft (assist by K. Korver),3,38-19,,
9:52.0,,,38-19,,Offensive charge foul by M. Barnes
9:52.0,,,38-19,,Turnover by M. Barnes (offensive foul)
9:52.0,,,38-19,,D. Cousins enters the game for K. Koufos
9:52.0,,,38-19,,O. Casspi enters the game for G. Temple
9:30.0,R. Jefferson misses 3-pt shot from 25 ft,,38-19,,
9:29.0,Offensive rebound by K. Korver,,38-19,,
9:28.0,K. Korver misses 2-pt shot from 14 ft,,38-19,,
9:27.0,,,38-19,,Defensive rebound by D. Cousins
9:20.0,,,38-19,,Turnover by D. Cousins (lost ball; steal by C. Frye)
9:17.0,Shooting foul by T. Lawson (drawn by R. Jefferson),,38-19,,
9:17.0,R. Jefferson makes free throw 1 of 2,1,39-19,,
9:17.0,R. Jefferson makes free throw 2 of 2,1,40-19,,
9:03.0,,,40-19,,Turnover by T. Lawson (bad pass)
8:51.0,Turnover by D. Liggins (traveling),,40-19,,
8:51.0,Official timeout,,40-19,,
8:36.0,,,40-22,3,A. Afflalo makes 3-pt shot from 25 ft (assist by D. Cousins)
8:15.0,K. Korver makes 3-pt shot from 27 ft (assist by R. Jefferson),3,43-22,,
7:58.0,,,43-24,2,M. Barnes makes 2-pt shot from 4 ft (assist by O. Casspi)
7:44.0,C. Frye misses 3-pt shot from 23 ft,,43-24,,
7:42.0,,,43-24,,Defensive rebound by T. Lawson
7:33.0,,,43-24,,M. Barnes misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by R. Jefferson,,43-24,,
7:12.0,Turnover by L. James (lost ball),,43-24,,
7:02.0,Personal foul by K. Korver (drawn by A. Afflalo),,43-24,,
6:52.0,,,43-27,3,D. Cousins makes 3-pt shot from 25 ft (assist by T. Lawson)
6:36.0,L. James misses 3-pt shot from 26 ft,,43-27,,
6:36.0,,,43-27,,Defensive rebound by T. Lawson
6:31.0,K. Irving enters the game for D. Liggins,,43-27,,
6:22.0,,,43-27,,Shooting foul by C. Frye (drawn by D. Cousins)
6:22.0,,,43-28,1,D. Cousins makes free throw 1 of 2
6:22.0,,,43-29,1,D. Cousins makes free throw 2 of 2
6:10.0,Turnover by K. Irving (bad pass; steal by A. Afflalo),,43-29,,
6:02.0,,,43-31,2,O. Casspi makes 2-pt shot from 4 ft (assist by T. Lawson)
6:01.0,Cleveland full timeout,,43-31,,
5:50.0,L. James misses 2-pt shot from 11 ft,,43-31,,
5:49.0,,,43-31,,Defensive rebound by M. Barnes
5:30.0,,,43-31,,D. Cousins misses 3-pt shot from 25 ft
5:29.0,,,43-31,,Offensive rebound by M. Barnes
5:25.0,,,43-31,,M. Barnes misses 3-pt shot from 23 ft
5:24.0,Defensive rebound by K. Korver,,43-31,,
5:16.0,C. Frye misses 3-pt shot from 25 ft,,43-31,,
5:15.0,,,43-31,,Defensive rebound by O. Casspi
5:06.0,,,43-33,2,D. Cousins makes 2-pt shot from 4 ft (assist by T. Lawson)
4:48.0,K. Korver makes 3-pt shot from 22 ft (assist by L. James),3,46-33,,
4:40.0,,,46-33,,Turnover by A. Afflalo (traveling)
4:40.0,,,46-33,,D. Collison enters the game for T. Lawson
4:40.0,,,46-33,,R. Gay enters the game for M. Barnes
4:40.0,K. Love enters the game for C. Frye,,46-33,,
4:40.0,T. Thompson enters the game for R. Jefferson,,46-33,,
4:30.0,K. Korver makes 2-pt shot from 20 ft (assist by K. Irving),2,48-33,,
4:08.0,,,48-33,,D. Cousins misses 2-pt shot from 2 ft (block by T. Thompson)
4:07.0,Defensive rebound by K. Korver,,48-33,,
4:03.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,50-33,,
3:55.0,,,50-33,,Turnover by A. Afflalo (bad pass; steal by K. Korver)
3:49.0,T. Thompson makes 2-pt shot from 1 ft (assist by K. Irving),2,52-33,,
3:43.0,,,52-33,,Sacramento full timeout
3:43.0,,,52-33,,G. Temple enters the game for A. Afflalo
3:43.0,,,52-33,,A. Tolliver enters the game for O. Casspi
3:34.0,,,52-33,,A. Tolliver misses 3-pt shot from 22 ft
3:33.0,Defensive rebound by K. Korver,,52-33,,
3:16.0,K. Korver makes 2-pt shot from 21 ft (assist by L. James),2,54-33,,
3:01.0,,,54-35,2,D. Cousins makes 2-pt shot from 4 ft (assist by D. Collison)
2:48.0,K. Love makes 2-pt shot from 3 ft (assist by L. James),2,56-35,,
2:39.0,Personal foul by T. Thompson (drawn by D. Cousins),,56-35,,
2:21.0,,,56-35,,D. Collison misses 2-pt shot from 3 ft
2:20.0,Defensive rebound by K. Love,,56-35,,
2:15.0,K. Irving makes 2-pt shot from 10 ft,2,58-35,,
2:15.0,Shooting foul by D. Collison (drawn by K. Irving),,58-35,,
2:15.0,K. Irving makes free throw 1 of 1,1,59-35,,
2:03.0,,,59-37,2,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins)
1:47.0,Turnover by K. Irving (bad pass; steal by D. Cousins),,59-37,,
1:41.0,,,59-39,2,D. Collison makes 2-pt shot from 19 ft
1:15.0,L. James misses 2-pt shot from 17 ft,,59-39,,
1:14.0,,,59-39,,Defensive rebound by D. Collison
1:06.0,,,59-41,2,D. Cousins makes 2-pt shot from 4 ft (assist by D. Collison)
0:52.0,K. Irving misses 3-pt shot from 25 ft,,59-41,,
0:51.0,,,59-41,,Defensive rebound by R. Gay
0:40.0,,,59-43,2,D. Collison makes 2-pt shot from 16 ft
0:24.0,K. Love misses 2-pt shot from 18 ft,,59-43,,
0:23.0,Offensive rebound by K. Irving,,59-43,,
0:20.0,K. Irving makes 2-pt shot from 3 ft,2,61-43,,
0:00.0,,,61-43,,D. Cousins misses 3-pt shot from 26 ft
0:00.0,,,61-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,L. James makes 2-pt shot from 17 ft,2,63-43,,
11:21.0,,,63-46,3,G. Temple makes 3-pt shot from 23 ft (assist by D. Collison)
10:58.0,T. Thompson misses 2-pt shot from 6 ft,,63-46,,
10:57.0,,,63-46,,Defensive rebound by D. Cousins
10:44.0,,,63-46,,R. Gay misses 2-pt shot from 3 ft
10:43.0,,,63-46,,Offensive rebound by R. Gay
10:42.0,,,63-48,2,R. Gay makes 2-pt shot at rim
10:24.0,Shooting foul by A. Tolliver (drawn by T. Thompson),,63-48,,
10:24.0,T. Thompson misses free throw 1 of 2,,63-48,,
10:24.0,Offensive rebound by Team,,63-48,,
10:24.0,T. Thompson makes free throw 2 of 2,1,64-48,,
10:09.0,,,64-51,3,D. Collison makes 3-pt shot from 23 ft (assist by D. Cousins)
9:47.0,L. James misses 3-pt shot from 25 ft,,64-51,,
9:46.0,,,64-51,,Defensive rebound by A. Tolliver
9:36.0,,,64-51,,Turnover by D. Cousins (bad pass; steal by T. Thompson)
9:33.0,,,64-51,,Personal foul by D. Collison (drawn by T. Thompson)
9:23.0,K. Irving misses 2-pt shot from 3 ft,,64-51,,
9:22.0,,,64-51,,Defensive rebound by R. Gay
9:12.0,,,64-51,,R. Gay misses 2-pt shot from 9 ft
9:11.0,Defensive rebound by K. Love,,64-51,,
8:53.0,Turnover by K. Love (bad pass; steal by G. Temple),,64-51,,
8:51.0,,,64-51,,Turnover by G. Temple (bad pass; steal by K. Irving)
8:47.0,K. Irving misses 2-pt shot from 24 ft,,64-51,,
8:45.0,,,64-51,,Defensive rebound by D. Cousins
8:41.0,,,64-53,2,G. Temple makes 2-pt shot from 2 ft (assist by R. Gay)
8:41.0,Cleveland full timeout,,64-53,,
8:22.0,K. Irving misses 2-pt shot from 9 ft (block by R. Gay),,64-53,,
8:21.0,Offensive rebound by K. Love,,64-53,,
8:19.0,K. Love misses 2-pt shot from 2 ft (block by R. Gay),,64-53,,
8:18.0,Offensive rebound by T. Thompson,,64-53,,
7:59.0,T. Thompson makes 2-pt shot from 3 ft (assist by L. James),2,66-53,,
7:40.0,,,66-56,3,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Gay)
7:20.0,K. Love misses 3-pt shot from 24 ft,,66-56,,
7:18.0,Offensive rebound by K. Love,,66-56,,
7:16.0,Offensive charge foul by K. Love,,66-56,,
7:16.0,Turnover by K. Love (offensive foul),,66-56,,
7:02.0,,,66-58,2,R. Gay makes 2-pt shot from 2 ft (assist by D. Cousins)
7:02.0,,,66-58,,Shooting foul by K. Irving (drawn by R. Gay)
7:02.0,,,66-58,,R. Gay misses free throw 1 of 1
7:01.0,Defensive rebound by K. Love,,66-58,,
6:42.0,T. Thompson makes 2-pt shot from 5 ft (assist by K. Love),2,68-58,,
6:20.0,,,68-58,,D. Collison misses 2-pt shot from 5 ft (block by L. James)
6:18.0,Defensive rebound by K. Love,,68-58,,
6:17.0,K. Irving makes 2-pt shot from 2 ft,2,70-58,,
6:17.0,Shooting foul by R. Gay (drawn by K. Irving),,70-58,,
6:17.0,K. Irving makes free throw 1 of 1,1,71-58,,
6:06.0,,,71-58,,Turnover by D. Collison (bad pass; steal by T. Thompson)
6:02.0,K. Irving misses 2-pt shot from 3 ft (block by G. Temple),,71-58,,
6:02.0,Offensive rebound by Team,,71-58,,
5:50.0,K. Irving makes 3-pt shot from 25 ft,3,74-58,,
5:50.0,,,74-58,,Sacramento full timeout
5:39.0,Personal foul by K. Irving (drawn by G. Temple),,74-58,,
5:28.0,,,74-58,,D. Cousins misses 2-pt shot from 11 ft
5:27.0,Defensive rebound by K. Love,,74-58,,
5:15.0,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James),3,77-58,,
5:01.0,,,77-58,,Shooting foul by T. Thompson (drawn by D. Cousins)
5:01.0,,,77-59,1,D. Cousins makes free throw 1 of 2
5:01.0,,,77-59,,D. Cousins misses free throw 2 of 2
5:00.0,Defensive rebound by K. Love,,77-59,,
4:49.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,80-59,,
4:29.0,,,80-59,,Turnover by G. Temple (bad pass; steal by L. James)
4:27.0,Turnover by L. James (bad pass; steal by A. Tolliver),,80-59,,
4:25.0,,,80-61,2,A. Tolliver makes 2-pt shot from 1 ft
4:01.0,I. Shumpert misses 3-pt shot from 25 ft,,80-61,,
4:00.0,Offensive rebound by K. Love,,80-61,,
3:58.0,,,80-61,,Personal foul by A. Tolliver (drawn by K. Love)
3:48.0,K. Love misses 3-pt shot from 25 ft,,80-61,,
3:48.0,,,80-61,,Defensive rebound by A. Tolliver
3:38.0,,,80-63,2,D. Cousins makes 2-pt shot at rim (assist by D. Collison)
3:05.0,I. Shumpert makes 2-pt shot from 19 ft,2,82-63,,
2:48.0,,,82-66,3,R. Gay makes 3-pt shot from 26 ft (assist by D. Cousins)
2:40.0,Turnover by K. Irving (lost ball; steal by A. Tolliver),,82-66,,
2:40.0,Personal foul by K. Irving (drawn by A. Tolliver),,82-66,,
2:40.0,,,82-66,,M. Barnes enters the game for A. Tolliver
2:40.0,,,82-66,,T. Lawson enters the game for D. Collison
2:36.0,R. Jefferson enters the game for L. James,,82-66,,
2:15.0,,,82-66,,T. Lawson misses 3-pt shot from 23 ft
2:15.0,Defensive rebound by K. Love,,82-66,,
2:07.0,I. Shumpert misses 3-pt shot from 25 ft,,82-66,,
2:07.0,,,82-66,,Defensive rebound by D. Cousins
2:01.0,,,82-68,2,T. Lawson makes 2-pt shot from 2 ft
1:32.0,K. Love makes 2-pt shot from 6 ft,2,84-68,,
1:18.0,,,84-70,2,M. Barnes makes 2-pt shot from 4 ft (assist by D. Cousins)
0:51.0,K. Irving misses 3-pt shot from 26 ft,,84-70,,
0:50.0,,,84-70,,Defensive rebound by R. Gay
0:43.0,,,84-70,,Shooting foul by R. Jefferson (drawn by R. Gay)
0:43.0,,,84-71,1,R. Gay makes free throw 1 of 2
0:43.0,,,84-72,1,R. Gay makes free throw 2 of 2
0:43.0,K. Korver enters the game for I. Shumpert,,84-71,,
0:43.0,,,84-71,,A. Afflalo enters the game for G. Temple
0:43.0,D. Liggins enters the game for K. Irving,,84-71,,
0:27.0,Turnover by R. Jefferson (bad pass),,84-72,,
0:06.0,,,84-74,2,R. Gay makes 2-pt shot from 4 ft
0:01.0,T. Thompson misses 3-pt shot from 30 ft,,84-74,,
0:00.0,,,84-74,,Defensive rebound by T. Lawson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,84-76,2,A. Afflalo makes 2-pt shot from 19 ft (assist by D. Cousins)
11:24.0,K. Korver makes 3-pt shot from 24 ft (assist by R. Jefferson),3,87-76,,
11:07.0,,,87-76,,M. Barnes misses 3-pt shot from 23 ft
11:07.0,,,87-76,,Offensive rebound by R. Gay
11:07.0,,,87-76,,Shooting foul by C. Frye (drawn by R. Gay)
11:07.0,,,87-77,1,R. Gay makes free throw 1 of 2
11:07.0,,,87-78,1,R. Gay makes free throw 2 of 2
11:07.0,,,87-77,,A. Tolliver enters the game for D. Cousins
10:52.0,R. Jefferson makes 3-pt shot from 23 ft (assist by L. James),3,90-78,,
10:52.0,Shooting foul by M. Barnes (drawn by R. Jefferson),,90-78,,
10:52.0,R. Jefferson misses free throw 1 of 1,,90-78,,
10:51.0,,,90-78,,Defensive rebound by M. Barnes
10:41.0,,,90-81,3,R. Gay makes 3-pt shot from 25 ft (assist by T. Lawson)
10:26.0,C. Frye misses 2-pt shot from 3 ft (block by R. Gay),,90-81,,
10:26.0,,,90-81,,Defensive rebound by Team
10:26.0,Jump ball: C. Frye vs. R. Gay,,,,Jump ball: C. Frye vs. R. Gay
10:25.0,Loose ball foul by C. Frye (drawn by R. Gay),,90-81,,
10:11.0,,,90-83,2,T. Lawson makes 2-pt shot from 16 ft
10:05.0,,,90-83,,Personal foul by A. Tolliver (drawn by L. James)
9:59.0,D. Liggins misses 2-pt shot from 3 ft,,90-83,,
9:58.0,,,90-83,,Defensive rebound by M. Barnes
9:46.0,Personal foul by K. Korver (drawn by T. Lawson),,90-83,,
9:36.0,,,90-83,,Shooting foul by D. Liggins (drawn by T. Lawson)
9:36.0,,,90-84,1,T. Lawson makes free throw 1 of 2
9:36.0,,,90-84,,T. Lawson misses free throw 2 of 2
9:35.0,Defensive rebound by R. Jefferson,,90-84,,
9:16.0,K. Korver makes 3-pt shot from 26 ft (assist by L. James),3,93-84,,
9:03.0,,,93-86,2,T. Lawson makes 2-pt shot from 3 ft
8:56.0,L. James makes 2-pt shot from 1 ft,2,95-86,,
8:56.0,Shooting foul by R. Gay (drawn by L. James),,95-86,,
8:56.0,Official timeout,,95-86,,
8:56.0,L. James makes free throw 1 of 1,1,96-86,,
8:56.0,,,95-86,,D. Cousins enters the game for R. Gay
8:39.0,,,96-86,,T. Lawson misses 2-pt shot from 19 ft
8:38.0,Defensive rebound by K. Korver,,96-86,,
8:29.0,C. Frye makes 2-pt shot from 21 ft (assist by L. James),2,98-86,,
8:11.0,,,98-88,2,M. Barnes makes 2-pt shot from 3 ft (assist by D. Cousins)
7:51.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,101-88,,
7:34.0,,,101-88,,Shooting foul by C. Frye (drawn by D. Cousins)
7:34.0,,,101-89,1,D. Cousins makes free throw 1 of 2
7:34.0,,,101-90,1,D. Cousins makes free throw 2 of 2
7:19.0,C. Frye misses 3-pt shot from 25 ft,,101-90,,
7:18.0,Offensive rebound by D. Liggins,,101-90,,
7:11.0,,,101-90,,Personal foul by A. Afflalo (drawn by D. Liggins)
6:54.0,L. James misses 3-pt shot from 33 ft,,101-90,,
6:54.0,,,101-90,,Defensive rebound by M. Barnes
6:51.0,,,101-90,,Sacramento full timeout
6:46.0,,,101-92,2,T. Lawson makes 2-pt shot from 18 ft (assist by D. Cousins)
6:24.0,L. James makes 2-pt shot at rim (assist by C. Frye),2,103-92,,
6:08.0,,,103-92,,D. Cousins misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by D. Liggins,,103-92,,
6:00.0,R. Jefferson makes 2-pt shot at rim (assist by D. Liggins),2,105-92,,
5:48.0,,,105-94,2,D. Cousins makes 2-pt shot from 3 ft
5:35.0,K. Korver misses 3-pt shot from 26 ft,,105-94,,
5:35.0,Offensive rebound by R. Jefferson,,105-94,,
5:35.0,,,105-94,,Personal foul by D. Cousins (drawn by R. Jefferson)
5:35.0,R. Jefferson makes free throw 1 of 2,1,106-94,,
5:35.0,R. Jefferson misses free throw 2 of 2,,106-94,,
5:35.0,K. Irving enters the game for D. Liggins,,106-94,,
5:35.0,,,106-94,,R. Gay enters the game for M. Barnes
5:35.0,,,106-94,,G. Temple enters the game for A. Afflalo
5:34.0,,,106-94,,Defensive rebound by D. Cousins
5:20.0,,,106-96,2,T. Lawson makes 2-pt shot from 4 ft
4:57.0,Shooting foul by G. Temple (drawn by C. Frye),,106-96,,
4:57.0,C. Frye makes free throw 1 of 2,1,107-96,,
4:57.0,C. Frye makes free throw 2 of 2,1,108-96,,
4:57.0,I. Shumpert enters the game for R. Jefferson,,107-96,,
4:45.0,,,108-98,2,T. Lawson makes 2-pt shot from 17 ft
4:26.0,K. Irving makes 2-pt shot from 11 ft,2,110-98,,
4:11.0,,,110-98,,Turnover by D. Cousins (bad pass; steal by C. Frye)
4:00.0,I. Shumpert makes 2-pt shot from 17 ft (assist by K. Korver),2,112-98,,
4:00.0,,,112-98,,Sacramento full timeout
3:46.0,,,112-101,3,R. Gay makes 3-pt shot from 25 ft (assist by D. Cousins)
3:17.0,K. Irving misses 3-pt shot from 26 ft,,112-101,,
3:16.0,,,112-101,,Defensive rebound by D. Cousins
3:08.0,,,112-101,,Shooting foul by L. James (drawn by D. Cousins)
3:08.0,,,112-102,1,D. Cousins makes free throw 1 of 2
3:08.0,,,112-102,,D. Cousins misses free throw 2 of 2
3:08.0,K. Love enters the game for C. Frye,,112-102,,
3:07.0,Defensive rebound by L. James,,112-102,,
2:50.0,K. Love misses 3-pt shot from 25 ft,,112-102,,
2:50.0,,,112-102,,Defensive rebound by D. Cousins
2:43.0,,,112-102,,Offensive foul by T. Lawson
2:43.0,,,112-102,,Turnover by T. Lawson (offensive foul)
2:24.0,K. Korver makes 2-pt shot from 15 ft (assist by L. James),2,114-102,,
2:16.0,,,114-102,,Shooting foul by K. Irving (drawn by T. Lawson)
2:16.0,,,114-103,1,T. Lawson makes free throw 1 of 2
2:16.0,,,114-104,1,T. Lawson makes free throw 2 of 2
1:58.0,Shooting foul by R. Gay (drawn by K. Irving),,114-104,,
1:58.0,K. Irving makes free throw 1 of 2,1,115-104,,
1:58.0,K. Irving makes free throw 2 of 2,1,116-104,,
1:46.0,,,116-104,,D. Cousins misses 3-pt shot from 25 ft
1:45.0,,,116-104,,Offensive rebound by A. Tolliver
1:42.0,,,116-104,,A. Tolliver misses 2-pt shot from 5 ft
1:41.0,,,116-104,,Offensive rebound by R. Gay
1:41.0,,,116-104,,R. Gay misses 2-pt shot from 2 ft
1:41.0,,,116-104,,Offensive rebound by R. Gay
1:41.0,,,116-106,2,R. Gay makes 2-pt shot from 2 ft
