time,Toronto,pts.away,score,pts.home,Phoenix
6:26.0,Toronto full timeout,,4-10,,
6:26.0,T. Ross enters the game for D. Carroll,,4-10,,
6:26.0,P. Patterson enters the game for P. Siakam,,4-10,,
6:10.0,Turnover by J. Valanciunas (bad pass; steal by E. Bledsoe),,4-10,,
6:05.0,,,4-10,,P. Tucker misses 2-pt shot from 2 ft
6:03.0,,,4-10,,Offensive rebound by T. Chandler
5:51.0,,,4-12,2,E. Bledsoe makes 2-pt shot from 1 ft
5:36.0,P. Patterson misses 3-pt shot from 26 ft,,4-12,,
5:35.0,,,4-12,,Defensive rebound by D. Booker
5:23.0,,,4-12,,Turnover by T. Chandler (bad pass)
5:04.0,D. DeRozan makes 2-pt shot from 18 ft,2,6-12,,
4:47.0,,,6-12,,T. Warren misses 2-pt shot from 20 ft
4:45.0,Defensive rebound by J. Valanciunas,,6-12,,
4:36.0,T. Ross misses 3-pt shot from 24 ft,,6-12,,
4:35.0,,,6-12,,Defensive rebound by T. Warren
4:26.0,,,6-12,,A. Len enters the game for T. Chandler
4:26.0,L. Nogueira enters the game for J. Valanciunas,,6-12,,
4:20.0,,,6-12,,T. Warren misses 2-pt shot from 14 ft
4:16.0,,,6-12,,Offensive rebound by A. Len
4:16.0,,,6-12,,Turnover by T. Warren (lost ball)
4:05.0,D. DeRozan makes 2-pt shot from 6 ft,2,8-12,,
4:05.0,,,8-12,,Phoenix full timeout
4:05.0,C. Joseph enters the game for K. Lowry,,8-12,,
4:05.0,,,8-12,,B. Knight enters the game for E. Bledsoe
3:41.0,,,8-12,,T. Warren misses 3-pt shot from 27 ft
3:41.0,Defensive rebound by D. DeRozan,,8-12,,
3:29.0,D. DeRozan makes 2-pt shot from 3 ft,2,10-12,,
3:03.0,,,10-12,,Turnover by B. Knight (bad pass)
2:51.0,Shooting foul by B. Knight (drawn by D. DeRozan),,10-12,,
2:51.0,D. DeRozan makes free throw 1 of 2,1,11-12,,
2:51.0,D. DeRozan misses free throw 2 of 2,,11-12,,
2:51.0,,,11-12,,D. Bender enters the game for P. Tucker
2:50.0,,,11-12,,Defensive rebound by D. Bender
2:32.0,,,11-12,,Turnover by T. Warren (bad pass; steal by T. Ross)
2:27.0,Turnover by L. Nogueira (bad pass),,11-12,,
2:13.0,,,11-12,,D. Booker misses 2-pt shot from 22 ft
2:13.0,Defensive rebound by C. Joseph,,11-12,,
2:04.0,C. Joseph misses 2-pt shot from 10 ft,,11-12,,
2:03.0,,,11-12,,Defensive rebound by B. Knight
1:55.0,,,11-12,,B. Knight misses 2-pt shot from 23 ft
1:55.0,Defensive rebound by T. Ross,,11-12,,
1:53.0,,,11-12,,Personal foul by T. Warren
1:53.0,C. Joseph misses free throw 1 of 2,,11-12,,
1:53.0,Offensive rebound by Team,,11-12,,
1:53.0,C. Joseph makes free throw 2 of 2,1,12-12,,
1:53.0,,,11-12,,L. Barbosa enters the game for D. Booker
1:30.0,,,12-14,2,A. Len makes 2-pt shot from 8 ft (assist by L. Barbosa)
1:11.0,P. Patterson misses 3-pt shot from 23 ft,,12-14,,
1:11.0,,,12-14,,Defensive rebound by A. Len
1:01.0,,,12-14,,D. Bender misses 3-pt shot from 24 ft
0:59.0,,,12-14,,Offensive rebound by D. Bender
0:53.0,,,12-14,,D. Bender misses 3-pt shot from 26 ft
0:52.0,,,12-14,,Offensive rebound by Team
0:40.0,,,12-16,2,B. Knight makes 2-pt shot from 16 ft
0:31.0,D. DeRozan makes 2-pt shot from 2 ft,2,14-16,,
0:23.0,,,14-16,,Turnover by B. Knight (lost ball; steal by L. Nogueira)
0:23.0,,,14-16,,Personal foul by B. Knight (drawn by D. DeRozan)
0:23.0,D. DeRozan makes free throw 1 of 2,1,15-16,,
0:23.0,D. DeRozan makes free throw 2 of 2,1,16-16,,
0:05.0,,,16-16,,Turnover by L. Barbosa (bad pass; steal by T. Ross)
0:01.0,T. Ross makes 2-pt shot at rim,2,18-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,18-16,,T. Warren misses 2-pt shot from 3 ft
11:50.0,,,18-16,,Offensive rebound by Team
11:45.0,,,18-16,,T. Warren misses 2-pt shot from 10 ft
11:43.0,,,18-16,,Offensive rebound by A. Len
11:33.0,,,18-16,,A. Len misses 2-pt shot from 2 ft (block by K. Lowry)
11:32.0,Defensive rebound by C. Joseph,,18-16,,
11:16.0,T. Ross misses 3-pt shot from 25 ft,,18-16,,
11:15.0,,,18-16,,Defensive rebound by Team
11:00.0,,,18-16,,Turnover by D. Bender (bad pass; steal by K. Lowry)
11:00.0,,,18-16,,Personal take foul by D. Bender (drawn by K. Lowry)
10:41.0,K. Lowry misses 2-pt shot from 18 ft,,18-16,,
10:39.0,,,18-16,,Defensive rebound by A. Len
10:32.0,,,18-18,2,B. Knight makes 2-pt shot from 18 ft
10:22.0,C. Joseph misses 2-pt shot from 2 ft,,18-18,,
10:21.0,Offensive rebound by L. Nogueira,,18-18,,
10:13.0,P. Patterson misses 2-pt shot from 13 ft,,18-18,,
10:13.0,,,18-18,,Defensive rebound by A. Len
10:01.0,,,18-21,3,B. Knight makes 3-pt shot from 26 ft (assist by L. Barbosa)
9:50.0,Shooting foul by B. Knight (drawn by K. Lowry),,18-21,,
9:50.0,K. Lowry misses free throw 1 of 2,,18-21,,
9:50.0,Offensive rebound by Team,,18-21,,
9:50.0,K. Lowry misses free throw 2 of 2,,18-21,,
9:50.0,D. Carroll enters the game for P. Patterson,,18-21,,
9:50.0,,,18-21,,T. Ulis enters the game for B. Knight
9:49.0,,,18-21,,Defensive rebound by L. Barbosa
9:29.0,,,18-21,,L. Barbosa misses 3-pt shot from 23 ft
9:29.0,Defensive rebound by C. Joseph,,18-21,,
9:22.0,C. Joseph makes 2-pt shot from 3 ft (assist by K. Lowry),2,20-21,,
9:09.0,,,20-21,,L. Barbosa misses 2-pt shot from 2 ft
9:09.0,,,20-21,,Offensive rebound by L. Barbosa
9:05.0,,,20-21,,L. Barbosa misses 2-pt shot from 2 ft
9:05.0,Defensive rebound by D. Carroll,,20-21,,
8:59.0,K. Lowry makes 3-pt shot from 27 ft,3,23-21,,
8:59.0,,,23-21,,Phoenix full timeout
8:59.0,N. Powell enters the game for C. Joseph,,23-21,,
8:59.0,,,23-21,,D. Booker enters the game for T. Warren
8:59.0,,,23-21,,E. Bledsoe enters the game for L. Barbosa
8:50.0,,,23-21,,Turnover by E. Bledsoe (bad pass; steal by T. Ross)
8:33.0,T. Ross misses 3-pt shot from 24 ft,,23-21,,
8:33.0,,,23-21,,Defensive rebound by E. Bledsoe
8:25.0,,,23-23,2,E. Bledsoe makes 2-pt shot from 20 ft
8:09.0,T. Ross makes 2-pt shot from 23 ft,2,25-23,,
7:51.0,,,25-23,,Offensive foul by A. Len
7:51.0,,,25-23,,Turnover by A. Len (offensive foul)
7:30.0,T. Ross misses 2-pt shot from 15 ft,,25-23,,
7:28.0,Offensive rebound by Team,,25-23,,
7:19.0,N. Powell misses 2-pt shot from 2 ft (block by E. Bledsoe),,25-23,,
7:18.0,,,25-23,,Defensive rebound by D. Bender
7:01.0,,,25-25,2,E. Bledsoe makes 2-pt shot from 5 ft
6:46.0,,,25-25,,Personal foul by D. Bender (drawn by D. Carroll)
6:37.0,T. Ross misses 3-pt shot from 26 ft,,25-25,,
6:37.0,,,25-25,,Defensive rebound by A. Len
6:19.0,,,25-28,3,D. Bender makes 3-pt shot from 24 ft (assist by E. Bledsoe)
5:53.0,K. Lowry misses 3-pt shot from 25 ft,,25-28,,
5:52.0,,,25-28,,Defensive rebound by Team
5:52.0,Official timeout,,25-28,,
5:52.0,D. DeRozan enters the game for T. Ross,,25-28,,
5:52.0,J. Valanciunas enters the game for L. Nogueira,,25-28,,
5:45.0,,,25-30,2,T. Ulis makes 2-pt shot from 12 ft
5:30.0,K. Lowry makes 2-pt shot from 1 ft,2,27-30,,
5:19.0,,,27-32,2,A. Len makes 2-pt shot at rim (assist by T. Ulis)
5:11.0,K. Lowry makes 2-pt shot from 5 ft,2,29-32,,
5:11.0,,,29-32,,Shooting block foul by T. Ulis (drawn by K. Lowry)
5:11.0,Technical foul by K. Lowry,,29-32,,
5:11.0,,,29-33,1,E. Bledsoe makes technical free throw
5:11.0,K. Lowry makes free throw 1 of 1,1,30-33,,
4:55.0,,,30-33,,D. Booker misses 2-pt shot from 18 ft
4:54.0,Defensive rebound by K. Lowry,,30-33,,
4:49.0,Shooting foul by T. Ulis (drawn by J. Valanciunas),,30-33,,
4:49.0,J. Valanciunas makes free throw 1 of 2,1,31-33,,
4:49.0,J. Valanciunas makes free throw 2 of 2,1,32-33,,
4:26.0,,,32-33,,A. Len misses 2-pt shot from 21 ft
4:25.0,Defensive rebound by D. DeRozan,,32-33,,
4:12.0,,,32-33,,Shooting block foul by D. Bender (drawn by D. Carroll)
4:12.0,D. Carroll makes free throw 1 of 2,1,33-33,,
4:12.0,D. Carroll makes free throw 2 of 2,1,34-33,,
4:12.0,,,33-33,,T. Chandler enters the game for A. Len
4:12.0,,,33-33,,P. Tucker enters the game for D. Bender
4:02.0,,,34-35,2,E. Bledsoe makes 2-pt shot from 2 ft
3:57.0,N. Powell misses 2-pt shot from 3 ft,,34-35,,
3:55.0,,,34-35,,Defensive rebound by T. Ulis
3:54.0,,,34-35,,Turnover by T. Ulis (bad pass; steal by N. Powell)
3:52.0,N. Powell makes 2-pt shot from 1 ft,2,36-35,,
3:37.0,,,36-38,3,T. Ulis makes 3-pt shot from 25 ft (assist by E. Bledsoe)
3:22.0,D. DeRozan makes 2-pt shot from 4 ft,2,38-38,,
3:00.0,,,38-38,,D. Booker misses 2-pt shot from 16 ft
2:59.0,Defensive rebound by N. Powell,,38-38,,
2:53.0,Turnover by D. DeRozan (lost ball; steal by T. Ulis),,38-38,,
2:47.0,Personal foul by K. Lowry (drawn by T. Chandler),,38-38,,
2:47.0,Toronto full timeout,,38-38,,
2:47.0,C. Joseph enters the game for D. Carroll,,38-38,,
2:47.0,P. Siakam enters the game for K. Lowry,,38-38,,
2:34.0,,,38-40,2,E. Bledsoe makes 2-pt shot from 5 ft
2:11.0,D. DeRozan misses 2-pt shot from 18 ft,,38-40,,
2:10.0,,,38-40,,Defensive rebound by T. Chandler
1:49.0,,,38-40,,Turnover by E. Bledsoe (back court)
1:43.0,C. Joseph misses 2-pt shot from 16 ft,,38-40,,
1:40.0,,,38-40,,Defensive rebound by E. Bledsoe
1:36.0,,,38-42,2,D. Booker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
1:10.0,N. Powell misses 3-pt shot from 24 ft,,38-42,,
1:09.0,Offensive rebound by C. Joseph,,38-42,,
1:00.0,J. Valanciunas makes 2-pt shot from 5 ft,2,40-42,,
0:45.0,Personal foul by C. Joseph (drawn by T. Chandler),,40-42,,
0:37.0,,,40-42,,Turnover by D. Booker (bad pass; steal by J. Valanciunas)
0:29.0,Turnover by C. Joseph (bad pass),,40-42,,
0:10.0,,,40-42,,E. Bledsoe misses 2-pt shot from 5 ft (block by N. Powell)
0:09.0,,,40-42,,Offensive rebound by E. Bledsoe
0:06.0,,,40-42,,E. Bledsoe misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by J. Valanciunas,,40-42,,
0:01.0,Offensive charge foul by C. Joseph,,40-42,,
0:01.0,Turnover by C. Joseph (offensive foul),,40-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,40-44,2,E. Bledsoe makes 2-pt shot from 3 ft
11:25.0,D. DeRozan misses 2-pt shot from 9 ft,,40-44,,
11:24.0,,,40-44,,Defensive rebound by T. Chandler
11:16.0,,,40-44,,Turnover by E. Bledsoe (lost ball; steal by D. Carroll)
11:09.0,Offensive foul by J. Valanciunas,,40-44,,
11:09.0,Turnover by J. Valanciunas (offensive foul),,40-44,,
10:59.0,,,40-44,,D. Booker misses 2-pt shot from 17 ft
10:58.0,Defensive rebound by J. Valanciunas,,40-44,,
10:50.0,K. Lowry makes 2-pt shot from 14 ft,2,42-44,,
10:43.0,,,42-44,,Offensive charge foul by E. Bledsoe
10:43.0,,,42-44,,Turnover by E. Bledsoe (offensive foul)
10:32.0,,,42-44,,Personal foul by P. Tucker (drawn by J. Valanciunas)
10:17.0,Turnover by Team (shot clock),,42-44,,
10:09.0,,,42-44,,M. Chriss misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by Team,,42-44,,
9:50.0,D. DeRozan makes 2-pt shot from 8 ft,2,44-44,,
9:50.0,Shooting foul by M. Chriss (drawn by D. DeRozan),,44-44,,
9:50.0,D. DeRozan makes free throw 1 of 1,1,45-44,,
9:40.0,,,45-44,,D. Booker misses 2-pt shot from 12 ft (block by T. Ross)
9:40.0,,,45-44,,Offensive rebound by Team
9:37.0,,,45-44,,D. Booker misses 2-pt shot from 15 ft
9:37.0,Defensive rebound by D. DeRozan,,45-44,,
9:17.0,J. Valanciunas misses 2-pt shot from 12 ft,,45-44,,
9:16.0,Offensive rebound by J. Valanciunas,,45-44,,
9:11.0,T. Ross misses 2-pt shot from 23 ft,,45-44,,
9:10.0,Offensive rebound by D. Carroll,,45-44,,
8:48.0,D. DeRozan misses 3-pt shot from 30 ft,,45-44,,
8:48.0,,,45-44,,Defensive rebound by P. Tucker
8:42.0,,,45-46,2,D. Booker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
8:30.0,T. Ross makes 3-pt shot from 26 ft (assist by D. DeRozan),3,48-46,,
8:10.0,Personal foul by T. Ross (drawn by M. Chriss),,48-46,,
7:58.0,,,48-46,,D. Booker misses 2-pt shot from 9 ft
7:57.0,,,48-46,,Offensive rebound by T. Chandler
7:53.0,,,48-49,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by T. Chandler)
7:35.0,Turnover by J. Valanciunas (lost ball; steal by T. Chandler),,48-49,,
7:28.0,,,48-49,,D. Booker misses 3-pt shot from 25 ft
7:28.0,,,48-49,,Offensive rebound by P. Tucker
7:12.0,,,48-49,,P. Tucker misses 2-pt shot from 12 ft
7:10.0,,,48-49,,Offensive rebound by T. Chandler
7:10.0,,,48-49,,T. Chandler misses 2-pt shot from 2 ft
7:09.0,Defensive rebound by J. Valanciunas,,48-49,,
7:09.0,,,48-49,,Personal foul by P. Tucker (drawn by J. Valanciunas)
7:02.0,,,48-49,,Personal foul by M. Chriss (drawn by D. Carroll)
6:48.0,T. Ross misses 3-pt shot from 26 ft (block by E. Bledsoe),,48-49,,
6:46.0,Offensive rebound by J. Valanciunas,,48-49,,
6:43.0,D. DeRozan misses 3-pt shot from 26 ft,,48-49,,
6:42.0,,,48-49,,Defensive rebound by D. Booker
6:39.0,,,48-51,2,P. Tucker makes 2-pt shot from 1 ft (assist by D. Booker)
6:39.0,,,48-51,,Shooting foul by T. Ross (drawn by P. Tucker)
6:39.0,,,48-52,1,P. Tucker makes free throw 1 of 1
6:26.0,K. Lowry misses 3-pt shot from 29 ft,,48-52,,
6:25.0,,,48-52,,Defensive rebound by D. Booker
6:16.0,,,48-52,,Shooting foul by J. Valanciunas (drawn by P. Tucker)
6:16.0,,,48-53,1,P. Tucker makes free throw 1 of 2
6:16.0,,,48-54,1,P. Tucker makes free throw 2 of 2
6:16.0,L. Nogueira enters the game for J. Valanciunas,,48-53,,
6:16.0,N. Powell enters the game for T. Ross,,48-53,,
6:01.0,Shooting foul by P. Tucker (drawn by D. DeRozan),,48-54,,
6:01.0,D. DeRozan makes free throw 1 of 2,1,49-54,,
6:01.0,D. DeRozan makes free throw 2 of 2,1,50-54,,
6:01.0,P. Siakam enters the game for D. Carroll,,49-54,,
5:44.0,,,50-56,2,M. Chriss makes 2-pt shot from 22 ft (assist by D. Booker)
5:31.0,Turnover by K. Lowry (lost ball),,50-56,,
5:31.0,,,50-56,,Phoenix full timeout
5:31.0,,,50-56,,T. Warren enters the game for P. Tucker
5:07.0,,,50-56,,E. Bledsoe misses 3-pt shot from 24 ft
5:07.0,,,50-56,,Offensive rebound by Team
5:07.0,Loose ball foul by L. Nogueira (drawn by T. Chandler),,50-56,,
4:55.0,,,50-58,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
4:37.0,Turnover by N. Powell (bad pass; steal by T. Chandler),,50-58,,
4:25.0,,,50-58,,Shooting foul by N. Powell (drawn by D. Booker)
4:25.0,,,50-59,1,D. Booker makes free throw 1 of 2
4:25.0,,,50-60,1,D. Booker makes free throw 2 of 2
4:08.0,N. Powell misses 2-pt shot at rim,,50-60,,
4:06.0,,,50-60,,Defensive rebound by D. Booker
3:58.0,,,50-62,2,T. Warren makes 2-pt shot from 16 ft (assist by E. Bledsoe)
3:47.0,,,50-62,,Personal take foul by T. Chandler (drawn by K. Lowry)
3:47.0,K. Lowry makes free throw 1 of 2,1,51-62,,
3:47.0,K. Lowry makes free throw 2 of 2,1,52-62,,
3:47.0,,,51-62,,A. Len enters the game for T. Chandler
3:27.0,,,52-64,2,D. Booker makes 2-pt shot from 22 ft
3:16.0,K. Lowry makes 2-pt shot from 1 ft,2,54-64,,
3:08.0,,,54-64,,Shooting foul by P. Siakam (drawn by A. Len)
3:08.0,,,54-65,1,A. Len makes free throw 1 of 2
3:08.0,,,54-65,,A. Len misses free throw 2 of 2
3:08.0,C. Joseph enters the game for K. Lowry,,54-65,,
3:07.0,Defensive rebound by N. Powell,,54-65,,
2:51.0,C. Joseph makes 2-pt shot from 7 ft,2,56-65,,
2:31.0,,,56-65,,T. Warren misses 2-pt shot from 14 ft (block by L. Nogueira)
2:30.0,Defensive rebound by P. Siakam,,56-65,,
2:22.0,Turnover by D. DeRozan (lost ball; steal by T. Warren),,56-65,,
2:20.0,,,56-65,,Shooting foul by D. DeRozan
2:20.0,,,56-65,,T. Warren misses free throw 1 of 2
2:20.0,,,56-65,,Offensive rebound by Team
2:20.0,,,56-65,,T. Warren misses free throw 2 of 2
2:19.0,Defensive rebound by N. Powell,,56-65,,
2:03.0,N. Powell misses 2-pt shot from 1 ft,,56-65,,
2:01.0,Offensive rebound by P. Siakam,,56-65,,
2:00.0,,,56-65,,Violation by A. Len (def goaltending)
2:00.0,P. Siakam makes 2-pt shot from 2 ft,2,58-65,,
1:42.0,,,58-67,2,E. Bledsoe makes 2-pt shot from 2 ft
1:28.0,Turnover by L. Nogueira (bad pass),,58-67,,
1:15.0,,,58-70,3,M. Chriss makes 3-pt shot from 26 ft (assist by E. Bledsoe)
0:54.0,C. Joseph misses 2-pt shot from 20 ft,,58-70,,
0:53.0,,,58-70,,Defensive rebound by D. Booker
0:46.0,,,58-72,2,D. Booker makes 2-pt shot from 1 ft
0:36.0,,,58-72,,Shooting block foul by A. Len (drawn by N. Powell)
0:36.0,N. Powell makes free throw 1 of 2,1,59-72,,
0:36.0,N. Powell makes free throw 2 of 2,1,60-72,,
0:32.0,Personal foul by L. Nogueira (drawn by E. Bledsoe),,60-72,,
0:32.0,,,60-73,1,E. Bledsoe makes free throw 1 of 2
0:32.0,,,60-74,1,E. Bledsoe makes free throw 2 of 2
0:07.0,D. DeRozan misses 2-pt shot from 7 ft,,60-74,,
0:04.0,Offensive rebound by P. Siakam,,60-74,,
0:04.0,P. Siakam misses 2-pt shot from 2 ft,,60-74,,
0:04.0,Offensive rebound by P. Siakam,,60-74,,
0:04.0,P. Siakam makes 2-pt shot from 2 ft,2,62-74,,
0:01.0,,,62-76,2,T. Warren makes 2-pt shot from 10 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,P. Siakam misses 2-pt shot from 13 ft,,62-76,,
11:44.0,,,62-76,,Defensive rebound by M. Chriss
11:38.0,,,62-76,,E. Bledsoe misses 2-pt shot from 2 ft
11:36.0,,,62-76,,Offensive rebound by T. Warren
11:36.0,,,62-76,,T. Warren misses 2-pt shot from 1 ft
11:35.0,Defensive rebound by C. Joseph,,62-76,,
11:35.0,Toronto full timeout,,62-76,,
11:17.0,K. Lowry makes 3-pt shot from 26 ft (assist by C. Joseph),3,65-76,,
10:59.0,,,65-78,2,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe)
10:44.0,C. Joseph makes 2-pt shot from 20 ft,2,67-78,,
10:32.0,Shooting block foul by C. Joseph (drawn by D. Booker),,67-78,,
10:32.0,,,67-79,1,D. Booker makes free throw 1 of 2
10:32.0,,,67-79,,D. Booker misses free throw 2 of 2
10:31.0,Defensive rebound by P. Siakam,,67-79,,
10:27.0,,,67-79,,Personal block foul by D. Booker (drawn by C. Joseph)
10:18.0,C. Joseph makes 3-pt shot from 27 ft (assist by K. Lowry),3,70-79,,
10:17.0,,,70-79,,Phoenix full timeout
10:17.0,,,70-79,,P. Tucker enters the game for M. Chriss
10:17.0,,,70-79,,T. Ulis enters the game for D. Booker
10:08.0,Personal foul by P. Siakam (drawn by E. Bledsoe),,70-79,,
10:04.0,,,70-79,,Turnover by E. Bledsoe (bad pass; steal by T. Ross)
10:01.0,Turnover by T. Ross (bad pass; steal by E. Bledsoe),,70-79,,
9:48.0,,,70-82,3,P. Tucker makes 3-pt shot from 24 ft (assist by T. Warren)
9:38.0,Turnover by K. Lowry (bad pass; steal by T. Warren),,70-82,,
9:31.0,,,70-82,,P. Tucker misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by K. Lowry,,70-82,,
9:23.0,,,70-82,,Personal block foul by T. Warren
9:12.0,P. Siakam misses 2-pt shot at rim (block by A. Len),,70-82,,
9:12.0,,,70-82,,Defensive rebound by Team
8:55.0,,,70-82,,T. Warren misses 2-pt shot from 22 ft
8:53.0,Defensive rebound by N. Powell,,70-82,,
8:49.0,C. Joseph makes 2-pt shot from 3 ft (assist by N. Powell),2,72-82,,
8:29.0,,,72-84,2,T. Ulis makes 2-pt shot from 5 ft
8:11.0,N. Powell makes 3-pt shot from 24 ft (assist by K. Lowry),3,75-84,,
7:49.0,,,75-84,,A. Len misses 2-pt shot from 1 ft
7:48.0,Defensive rebound by N. Powell,,75-84,,
7:47.0,Offensive charge foul by N. Powell,,75-84,,
7:47.0,Turnover by N. Powell (offensive foul),,75-84,,
7:47.0,,,75-84,,B. Knight enters the game for E. Bledsoe
7:29.0,,,75-84,,T. Ulis misses 2-pt shot from 1 ft
7:27.0,Defensive rebound by T. Ross,,75-84,,
7:20.0,K. Lowry makes 3-pt shot from 26 ft (assist by T. Ross),3,78-84,,
7:06.0,,,78-84,,Turnover by A. Len (lost ball)
6:58.0,K. Lowry misses 3-pt shot from 26 ft,,78-84,,
6:57.0,,,78-84,,Defensive rebound by T. Ulis
6:57.0,,,78-84,,Phoenix full timeout
6:57.0,,,78-84,,T. Chandler enters the game for A. Len
6:34.0,,,78-84,,T. Ulis misses 2-pt shot from 8 ft
6:33.0,Defensive rebound by C. Joseph,,78-84,,
6:23.0,T. Ross misses 3-pt shot from 25 ft,,78-84,,
6:22.0,,,78-84,,Defensive rebound by B. Knight
6:00.0,,,78-84,,B. Knight misses 2-pt shot from 21 ft
5:59.0,Defensive rebound by K. Lowry,,78-84,,
5:40.0,Turnover by C. Joseph (lost ball; steal by B. Knight),,78-84,,
5:18.0,,,78-87,3,T. Ulis makes 3-pt shot from 25 ft
5:06.0,Shooting foul by P. Tucker (drawn by K. Lowry),,78-87,,
5:06.0,K. Lowry makes free throw 1 of 2,1,79-87,,
5:06.0,K. Lowry makes free throw 2 of 2,1,80-87,,
5:06.0,D. DeRozan enters the game for N. Powell,,79-87,,
5:06.0,,,79-87,,D. Booker enters the game for T. Ulis
5:06.0,,,79-87,,E. Bledsoe enters the game for B. Knight
4:47.0,Personal foul by P. Siakam (drawn by E. Bledsoe),,80-87,,
4:40.0,,,80-89,2,P. Tucker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
4:40.0,,,80-89,,Shooting foul by P. Siakam (drawn by P. Tucker)
4:40.0,,,80-90,1,P. Tucker makes free throw 1 of 1
4:40.0,L. Nogueira enters the game for P. Siakam,,80-89,,
4:27.0,K. Lowry misses 3-pt shot from 26 ft,,80-90,,
4:26.0,,,80-90,,Defensive rebound by T. Chandler
