time,Detroit,pts.away,score,pts.home,New York
0:23.0,,,25-29,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by C. Anthony)
0:05.0,B. Udrih misses 2-pt shot from 3 ft (block by J. Noah),,25-29,,
0:04.0,Offensive rebound by Team,,25-29,,
0:04.0,,,25-29,,K. O'Quinn enters the game for J. Noah
0:01.0,K. Caldwell-Pope makes 2-pt shot from 14 ft (assist by M. Morris),2,27-29,,
0:00.0,,,27-29,,D. Rose misses 3-pt shot from 69 ft
0:00.0,,,27-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,27-29,,W. Hernangomez misses 2-pt shot from 10 ft
11:36.0,Defensive rebound by S. Johnson,,27-29,,
11:27.0,B. Udrih makes 2-pt shot from 12 ft,2,29-29,,
11:08.0,,,29-29,,M. Kuzminskas misses 3-pt shot from 25 ft
11:08.0,,,29-29,,Offensive rebound by K. O'Quinn
11:05.0,,,29-29,,Turnover by K. O'Quinn (lost ball; steal by T. Harris)
10:49.0,S. Johnson makes 2-pt shot from 20 ft,2,31-29,,
10:29.0,,,31-29,,K. O'Quinn misses 2-pt shot from 20 ft
10:28.0,,,31-29,,Offensive rebound by M. Kuzminskas
10:14.0,,,31-29,,B. Jennings misses 3-pt shot from 26 ft
10:14.0,Defensive rebound by J. Leuer,,31-29,,
10:03.0,T. Harris misses 3-pt shot from 25 ft,,31-29,,
10:02.0,Offensive rebound by J. Leuer,,31-29,,
10:00.0,J. Leuer makes 2-pt shot from 8 ft,2,33-29,,
9:59.0,,,33-29,,New York full timeout
9:59.0,,,33-29,,K. Porzingis enters the game for W. Hernangomez
9:43.0,,,33-31,2,K. Porzingis makes 2-pt shot from 10 ft
9:19.0,Turnover by J. Leuer (bad pass; steal by K. O'Quinn),,33-31,,
9:16.0,,,33-31,,Turnover by B. Jennings (lost ball; steal by S. Johnson)
9:13.0,,,33-31,,Violation by B. Jennings (kicked ball)
9:03.0,B. Udrih misses 2-pt shot from 2 ft (block by K. O'Quinn),,33-31,,
9:02.0,,,33-31,,Defensive rebound by B. Jennings
8:49.0,Personal foul by S. Johnson (drawn by B. Jennings),,33-31,,
8:38.0,,,33-33,2,K. Porzingis makes 2-pt shot from 12 ft
8:16.0,S. Johnson misses 2-pt shot from 6 ft (block by K. O'Quinn),,33-33,,
8:15.0,,,33-33,,Defensive rebound by M. Kuzminskas
8:13.0,,,33-35,2,K. Porzingis makes 2-pt shot at rim (assist by B. Jennings)
8:13.0,,,33-35,,Shooting foul by J. Leuer (drawn by K. Porzingis)
8:13.0,,,33-36,1,K. Porzingis makes free throw 1 of 1
7:48.0,B. Udrih makes 2-pt shot from 12 ft,2,35-36,,
7:40.0,,,35-39,3,K. Porzingis makes 3-pt shot from 25 ft (assist by B. Jennings)
7:28.0,Detroit full timeout,,35-39,,
7:28.0,A. Drummond enters the game for A. Baynes,,35-39,,
7:13.0,J. Leuer misses 3-pt shot from 25 ft,,35-39,,
7:13.0,,,35-39,,Defensive rebound by J. Holiday
6:56.0,,,35-39,,J. Holiday misses 2-pt shot from 2 ft (block by A. Drummond)
6:54.0,,,35-39,,Offensive rebound by J. Holiday
6:49.0,,,35-42,3,J. Holiday makes 3-pt shot from 23 ft (assist by B. Jennings)
6:34.0,B. Udrih makes 2-pt shot from 11 ft (assist by J. Leuer),2,37-42,,
6:28.0,,,37-44,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by B. Jennings)
6:10.0,Offensive foul by A. Drummond,,37-44,,
6:10.0,Turnover by A. Drummond (offensive foul),,37-44,,
6:10.0,I. Smith enters the game for B. Udrih,,37-44,,
5:56.0,K. Caldwell-Pope enters the game for J. Leuer,,37-44,,
5:56.0,M. Morris enters the game for S. Johnson,,37-44,,
5:47.0,,,37-44,,B. Jennings misses 2-pt shot from 21 ft
5:47.0,Defensive rebound by T. Harris,,37-44,,
5:38.0,Shooting foul by K. O'Quinn (drawn by T. Harris),,37-44,,
5:38.0,T. Harris makes free throw 1 of 2,1,38-44,,
5:38.0,T. Harris makes free throw 2 of 2,1,39-44,,
5:38.0,,,38-44,,C. Anthony enters the game for K. O'Quinn
5:17.0,,,39-44,,K. Porzingis misses 2-pt shot from 5 ft
5:16.0,Defensive rebound by T. Harris,,39-44,,
5:14.0,,,39-44,,Personal foul by B. Jennings (drawn by I. Smith)
5:14.0,,,39-44,,J. Noah enters the game for M. Kuzminskas
4:55.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,39-44,,
4:53.0,,,39-44,,Defensive rebound by B. Jennings
4:37.0,,,39-44,,B. Jennings misses 2-pt shot at rim
4:36.0,,,39-44,,Offensive rebound by J. Noah
4:36.0,,,39-46,2,J. Noah makes 2-pt shot from 1 ft
4:11.0,T. Harris misses 2-pt shot from 14 ft,,39-46,,
4:09.0,Offensive rebound by T. Harris,,39-46,,
4:08.0,T. Harris makes 2-pt shot from 13 ft,2,41-46,,
3:50.0,,,41-48,2,C. Anthony makes 2-pt shot from 1 ft
3:31.0,A. Drummond makes 2-pt shot from 10 ft (assist by I. Smith),2,43-48,,
3:17.0,,,43-48,,C. Anthony misses 2-pt shot from 8 ft
3:15.0,Defensive rebound by K. Caldwell-Pope,,43-48,,
3:11.0,Turnover by I. Smith (lost ball; steal by J. Noah),,43-48,,
3:05.0,,,43-48,,Shooting foul by K. Caldwell-Pope (drawn by J. Noah)
3:05.0,,,43-48,,J. Noah misses free throw 1 of 2
3:05.0,,,43-48,,Offensive rebound by Team
3:05.0,,,43-48,,J. Noah misses free throw 2 of 2
3:05.0,,,43-48,,D. Rose enters the game for B. Jennings
3:05.0,,,43-48,,C. Lee enters the game for J. Holiday
3:04.0,Defensive rebound by M. Morris,,43-48,,
2:48.0,M. Morris misses 2-pt shot from 15 ft,,43-48,,
2:48.0,,,43-48,,Defensive rebound by D. Rose
2:38.0,,,43-48,,C. Lee misses 2-pt shot from 1 ft
2:37.0,Defensive rebound by T. Harris,,43-48,,
2:29.0,A. Drummond makes 2-pt shot at rim (assist by T. Harris),2,45-48,,
2:10.0,,,45-48,,J. Noah misses 2-pt shot from 16 ft
2:09.0,Defensive rebound by A. Drummond,,45-48,,
2:01.0,I. Smith makes 2-pt shot from 10 ft,2,47-48,,
1:43.0,,,47-48,,Shooting foul by T. Harris (drawn by K. Porzingis)
1:43.0,,,47-49,1,K. Porzingis makes free throw 1 of 2
1:43.0,,,47-50,1,K. Porzingis makes free throw 2 of 2
1:37.0,,,47-50,,Personal foul by J. Noah (drawn by A. Drummond)
1:26.0,T. Harris misses 3-pt shot from 25 ft,,47-50,,
1:26.0,,,47-50,,Defensive rebound by C. Anthony
1:12.0,,,47-52,2,K. Porzingis makes 2-pt shot from 21 ft (assist by J. Noah)
0:49.0,A. Drummond makes 2-pt shot from 6 ft (assist by K. Caldwell-Pope),2,49-52,,
0:31.0,,,49-52,,Shooting foul by T. Harris (drawn by K. Porzingis)
0:31.0,,,49-53,1,K. Porzingis makes free throw 1 of 2
0:31.0,,,49-54,1,K. Porzingis makes free throw 2 of 2
0:31.0,J. Leuer enters the game for T. Harris,,49-53,,
0:15.0,Turnover by M. Morris (bad pass; steal by C. Lee),,49-54,,
0:05.0,Personal foul by A. Drummond (drawn by J. Noah),,49-54,,
0:05.0,,,49-54,,J. Noah misses free throw 1 of 2
0:05.0,,,49-54,,Offensive rebound by Team
0:05.0,,,49-54,,J. Noah misses free throw 2 of 2
0:05.0,A. Baynes enters the game for A. Drummond,,49-54,,
0:04.0,,,49-54,,Offensive rebound by K. Porzingis
0:02.0,,,49-54,,K. Porzingis misses 2-pt shot from 5 ft
0:00.0,Defensive rebound by J. Leuer,,49-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,49-57,3,C. Lee makes 3-pt shot from 24 ft (assist by C. Anthony)
11:15.0,T. Harris misses 2-pt shot from 18 ft,,49-57,,
11:14.0,,,49-57,,Defensive rebound by J. Noah
10:57.0,,,49-60,3,C. Anthony makes 3-pt shot from 25 ft (assist by C. Lee)
10:41.0,K. Caldwell-Pope misses 2-pt shot from 23 ft,,49-60,,
10:40.0,,,49-60,,Defensive rebound by J. Noah
10:28.0,,,49-60,,C. Lee misses 2-pt shot from 18 ft
10:27.0,Defensive rebound by M. Morris,,49-60,,
10:21.0,I. Smith makes 2-pt shot from 1 ft,2,51-60,,
10:12.0,,,51-62,2,D. Rose makes 2-pt shot from 11 ft
9:47.0,I. Smith makes 2-pt shot from 8 ft,2,53-62,,
9:30.0,,,53-64,2,D. Rose makes 2-pt shot from 11 ft
9:17.0,M. Morris misses 2-pt shot from 12 ft,,53-64,,
9:16.0,,,53-64,,Defensive rebound by D. Rose
9:10.0,,,53-64,,C. Lee misses 3-pt shot from 24 ft
9:09.0,,,53-64,,Offensive rebound by J. Noah
8:55.0,,,53-64,,K. Porzingis misses 3-pt shot from 27 ft
8:55.0,Defensive rebound by T. Harris,,53-64,,
8:51.0,,,53-64,,Personal foul by K. Porzingis (drawn by A. Drummond)
8:45.0,A. Drummond misses 2-pt shot from 14 ft,,53-64,,
8:43.0,Offensive rebound by A. Drummond,,53-64,,
8:43.0,A. Drummond makes 2-pt shot from 1 ft,2,55-64,,
8:24.0,,,55-64,,C. Lee misses 2-pt shot from 6 ft
8:24.0,,,55-64,,Offensive rebound by J. Noah
8:20.0,,,55-64,,C. Anthony misses 3-pt shot from 25 ft
8:19.0,,,55-64,,Offensive rebound by C. Lee
8:16.0,,,55-64,,C. Lee misses 2-pt shot from 9 ft
8:15.0,Defensive rebound by M. Morris,,55-64,,
8:11.0,K. Caldwell-Pope misses 2-pt shot at rim (block by J. Noah),,55-64,,
8:07.0,Offensive rebound by T. Harris,,55-64,,
8:06.0,T. Harris makes 2-pt shot from 2 ft,2,57-64,,
7:42.0,,,57-64,,C. Anthony misses 2-pt shot from 21 ft
7:41.0,Defensive rebound by T. Harris,,57-64,,
7:33.0,T. Harris makes 2-pt shot at rim,2,59-64,,
7:33.0,,,59-64,,New York full timeout
7:20.0,,,59-66,2,C. Anthony makes 2-pt shot from 19 ft (assist by D. Rose)
7:01.0,A. Drummond misses 2-pt shot from 7 ft,,59-66,,
7:01.0,,,59-66,,Defensive rebound by C. Anthony
6:50.0,,,59-66,,D. Rose misses 2-pt shot from 7 ft
6:49.0,,,59-66,,Offensive rebound by C. Anthony
6:42.0,,,59-66,,Turnover by D. Rose (lost ball; steal by I. Smith)
6:35.0,Turnover by T. Harris (bad pass; steal by C. Anthony),,59-66,,
6:25.0,,,59-66,,K. Porzingis misses 3-pt shot from 28 ft
6:24.0,,,59-66,,Offensive rebound by K. Porzingis
6:21.0,,,59-66,,K. Porzingis misses 2-pt shot from 2 ft
6:20.0,,,59-66,,Offensive rebound by K. Porzingis
6:20.0,,,59-68,2,K. Porzingis makes 2-pt shot at rim
5:53.0,A. Drummond misses 2-pt shot from 3 ft (block by J. Noah),,59-68,,
5:52.0,Offensive rebound by Team,,59-68,,
5:52.0,Turnover by Team (shot clock),,59-68,,
5:27.0,,,59-71,3,C. Anthony makes 3-pt shot from 25 ft
5:20.0,Detroit full timeout,,59-71,,
5:20.0,A. Baynes enters the game for A. Drummond,,59-71,,
5:05.0,K. Caldwell-Pope makes 2-pt shot from 8 ft,2,61-71,,
4:47.0,,,61-71,,K. Porzingis misses 3-pt shot from 23 ft
4:47.0,Defensive rebound by A. Baynes,,61-71,,
4:39.0,A. Baynes misses 2-pt shot from 4 ft,,61-71,,
4:37.0,,,61-71,,Defensive rebound by K. Porzingis
4:24.0,,,61-73,2,K. Porzingis makes 2-pt shot from 10 ft
4:10.0,T. Harris misses 2-pt shot from 18 ft,,61-73,,
4:10.0,,,61-73,,Defensive rebound by J. Noah
4:03.0,,,61-73,,D. Rose misses 2-pt shot from 17 ft
4:03.0,Defensive rebound by Team,,61-73,,
4:03.0,,,61-73,,Personal foul by J. Noah (drawn by A. Baynes)
4:03.0,J. Leuer enters the game for T. Harris,,61-73,,
4:03.0,,,61-73,,M. Ndour enters the game for K. Porzingis
4:03.0,,,61-73,,J. Holiday enters the game for C. Lee
4:03.0,,,61-73,,K. O'Quinn enters the game for J. Noah
3:44.0,K. Caldwell-Pope makes 3-pt shot from 26 ft,3,64-73,,
3:26.0,,,64-75,2,M. Ndour makes 2-pt shot at rim (assist by K. O'Quinn)
3:08.0,K. Caldwell-Pope misses 3-pt shot from 29 ft,,64-75,,
3:08.0,Offensive rebound by A. Baynes,,64-75,,
3:01.0,J. Leuer misses 2-pt shot from 16 ft,,64-75,,
3:00.0,,,64-75,,Defensive rebound by K. O'Quinn
2:50.0,,,64-75,,C. Anthony misses 3-pt shot from 26 ft
2:49.0,Defensive rebound by J. Leuer,,64-75,,
2:26.0,K. Caldwell-Pope makes 3-pt shot from 34 ft,3,67-75,,
2:06.0,,,67-77,2,K. O'Quinn makes 2-pt shot from 19 ft (assist by D. Rose)
1:48.0,K. Caldwell-Pope misses 2-pt shot from 20 ft (block by J. Holiday),,67-77,,
1:47.0,Offensive rebound by K. Caldwell-Pope,,67-77,,
1:42.0,J. Leuer makes 2-pt shot from 10 ft (assist by K. Caldwell-Pope),2,69-77,,
1:26.0,,,69-79,2,M. Ndour makes 2-pt shot from 1 ft (assist by K. O'Quinn)
1:06.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,69-79,,
1:06.0,,,69-79,,Defensive rebound by M. Ndour
0:56.0,,,69-81,2,D. Rose makes 2-pt shot from 18 ft
0:40.0,J. Leuer makes 3-pt shot from 24 ft (assist by M. Morris),3,72-81,,
0:35.0,,,72-81,,Offensive foul by K. O'Quinn
0:35.0,,,72-81,,Turnover by K. O'Quinn (offensive foul)
0:35.0,B. Udrih enters the game for I. Smith,,72-81,,
0:23.0,M. Morris makes 2-pt shot from 20 ft,2,74-81,,
0:00.0,,,74-81,,M. Ndour misses 3-pt shot from 25 ft
0:00.0,,,74-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Offensive foul by A. Drummond,,74-81,,
11:50.0,Turnover by A. Drummond (offensive foul),,74-81,,
11:38.0,,,74-81,,D. Rose misses 2-pt shot from 12 ft
11:37.0,Defensive rebound by J. Leuer,,74-81,,
11:11.0,B. Udrih misses 3-pt shot from 38 ft,,74-81,,
11:10.0,,,74-81,,Defensive rebound by D. Rose
11:03.0,,,74-81,,J. Holiday misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by J. Leuer,,74-81,,
10:55.0,T. Harris makes 2-pt shot from 17 ft,2,76-81,,
10:34.0,,,76-81,,J. Holiday misses 3-pt shot from 25 ft
10:33.0,,,76-81,,Offensive rebound by K. O'Quinn
10:31.0,,,76-81,,Shooting foul by J. Leuer (drawn by K. O'Quinn)
10:31.0,,,76-82,1,K. O'Quinn makes free throw 1 of 2
10:31.0,,,76-83,1,K. O'Quinn makes free throw 2 of 2
10:31.0,,,76-82,,B. Jennings enters the game for D. Rose
10:17.0,J. Leuer misses 3-pt shot from 23 ft,,76-83,,
10:17.0,,,76-83,,Defensive rebound by J. Holiday
10:08.0,,,76-85,2,K. Porzingis makes 2-pt shot from 9 ft
9:52.0,,,76-85,,Personal foul by M. Ndour (drawn by T. Harris)
9:52.0,T. Harris makes free throw 1 of 2,1,77-85,,
9:52.0,T. Harris makes free throw 2 of 2,1,78-85,,
9:29.0,,,78-85,,Shooting foul by A. Drummond (drawn by J. Holiday)
9:29.0,,,78-86,1,J. Holiday makes free throw 1 of 2
9:29.0,,,78-87,1,J. Holiday makes free throw 2 of 2
9:07.0,A. Drummond misses 2-pt shot from 8 ft (block by K. O'Quinn),,78-87,,
9:06.0,,,78-87,,Defensive rebound by K. O'Quinn
9:00.0,,,78-87,,Turnover by K. Porzingis (3 sec)
8:44.0,J. Leuer makes 2-pt shot from 20 ft,2,80-87,,
8:29.0,Personal foul by S. Johnson (drawn by K. Porzingis),,80-87,,
8:29.0,Official timeout,,80-87,,
8:22.0,,,80-89,2,J. Holiday makes 2-pt shot from 22 ft (assist by K. Porzingis)
8:03.0,B. Udrih misses 3-pt shot from 24 ft,,80-89,,
8:03.0,,,80-89,,Defensive rebound by K. O'Quinn
7:42.0,,,80-91,2,J. Holiday makes 2-pt shot from 1 ft (assist by B. Jennings)
7:27.0,,,80-91,,Def 3 sec tech foul by M. Ndour
7:27.0,B. Udrih makes technical free throw,1,81-91,,
7:27.0,I. Smith enters the game for B. Udrih,,81-91,,
7:27.0,K. Caldwell-Pope enters the game for S. Johnson,,81-91,,
7:27.0,,,81-91,,C. Lee enters the game for M. Ndour
7:17.0,Shooting foul by K. Porzingis (drawn by A. Drummond),,81-91,,
7:17.0,A. Drummond makes free throw 1 of 2,1,82-91,,
7:17.0,A. Drummond misses free throw 2 of 2,,82-91,,
7:17.0,,,82-91,,C. Anthony enters the game for K. O'Quinn
7:16.0,,,82-91,,Defensive rebound by J. Holiday
7:00.0,,,82-91,,J. Holiday misses 2-pt shot from 11 ft
7:00.0,,,82-91,,Offensive rebound by J. Holiday
6:56.0,,,82-94,3,C. Anthony makes 3-pt shot from 26 ft (assist by B. Jennings)
6:53.0,Detroit full timeout,,82-94,,
6:53.0,M. Morris enters the game for A. Drummond,,82-94,,
6:37.0,M. Morris makes 3-pt shot from 25 ft (assist by I. Smith),3,85-94,,
6:22.0,,,85-94,,Turnover by C. Anthony (bad pass; steal by I. Smith)
6:16.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by I. Smith),2,87-94,,
5:49.0,,,87-94,,Turnover by C. Anthony (lost ball; steal by J. Leuer)
5:45.0,Shooting foul by J. Holiday (drawn by T. Harris),,87-94,,
5:45.0,T. Harris makes free throw 1 of 2,1,88-94,,
5:45.0,T. Harris makes free throw 2 of 2,1,89-94,,
5:45.0,,,88-94,,D. Rose enters the game for J. Holiday
5:39.0,,,89-94,,B. Jennings misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by T. Harris,,89-94,,
5:35.0,Turnover by I. Smith (lost ball; steal by B. Jennings),,89-94,,
5:16.0,,,89-96,2,C. Anthony makes 2-pt shot from 19 ft
4:58.0,Turnover by J. Leuer (lost ball; steal by C. Lee),,89-96,,
4:45.0,Flagrant foul type 1 by M. Morris (drawn by K. Porzingis),,89-96,,
4:45.0,,,89-96,,K. Porzingis misses flagrant free throw 1 of 2
4:45.0,,,89-96,,Offensive rebound by Team
4:45.0,,,89-97,1,K. Porzingis makes flagrant free throw 2 of 2
4:33.0,,,89-100,3,K. Porzingis makes 3-pt shot from 25 ft (assist by B. Jennings)
4:09.0,K. Caldwell-Pope misses 2-pt shot from 19 ft (block by D. Rose),,89-100,,
4:09.0,Offensive rebound by J. Leuer,,89-100,,
4:09.0,J. Leuer makes 2-pt shot from 1 ft,2,91-100,,
4:09.0,Shooting foul by C. Lee (drawn by J. Leuer),,91-100,,
4:09.0,J. Leuer makes free throw 1 of 1,1,92-100,,
3:51.0,,,92-100,,C. Lee misses 3-pt shot from 22 ft
3:50.0,Defensive rebound by K. Caldwell-Pope,,92-100,,
3:39.0,J. Leuer misses 2-pt shot from 1 ft (block by K. Porzingis),,92-100,,
3:39.0,,,92-100,,Defensive rebound by D. Rose
3:15.0,,,92-100,,K. Porzingis misses 2-pt shot from 12 ft
3:15.0,Defensive rebound by J. Leuer,,92-100,,
3:05.0,M. Morris misses 2-pt shot from 14 ft,,92-100,,
3:04.0,,,92-100,,Defensive rebound by K. Porzingis
2:45.0,,,92-100,,Turnover by B. Jennings (palming)
2:45.0,,,92-100,,New York full timeout
2:45.0,,,92-100,,J. Holiday enters the game for B. Jennings
2:29.0,J. Leuer makes 2-pt shot from 8 ft (assist by I. Smith),2,94-100,,
2:02.0,,,94-102,2,D. Rose makes 2-pt shot from 5 ft (assist by K. Porzingis)
1:50.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,94-102,,
1:49.0,,,94-102,,Defensive rebound by C. Anthony
1:32.0,,,94-102,,C. Lee misses 2-pt shot from 1 ft
1:31.0,,,94-102,,Offensive rebound by K. Porzingis
1:31.0,,,94-102,,K. Porzingis misses 2-pt shot from 1 ft
1:30.0,Defensive rebound by T. Harris,,94-102,,
1:25.0,I. Smith makes 2-pt shot from 1 ft,2,96-102,,
1:25.0,,,96-102,,New York full timeout
1:12.0,,,96-104,2,D. Rose makes 2-pt shot from 5 ft
1:05.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by I. Smith),3,99-104,,
0:45.0,,,99-104,,D. Rose misses 2-pt shot from 1 ft
0:44.0,Defensive rebound by K. Caldwell-Pope,,99-104,,
0:38.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,99-104,,
0:37.0,Offensive rebound by I. Smith,,99-104,,
0:32.0,I. Smith makes 3-pt shot from 25 ft (assist by J. Leuer),3,102-104,,
0:08.0,,,102-104,,C. Anthony misses 2-pt shot from 20 ft
0:07.0,,,102-104,,Offensive rebound by C. Lee
0:04.0,Personal foul by I. Smith (drawn by D. Rose),,102-104,,
0:04.0,,,102-104,,D. Rose misses free throw 1 of 2
0:04.0,,,102-104,,Offensive rebound by Team
0:04.0,,,102-105,1,D. Rose makes free throw 2 of 2
0:04.0,Detroit full timeout,,102-105,,
0:04.0,A. Baynes enters the game for J. Leuer,,102-104,,
