time,Boston,pts.away,score,pts.home,San Antonio
3:34.0,J. Crowder makes free throw 1 of 1,1,43-42,,
3:34.0,,,42-42,,K. Leonard enters the game for D. Green
3:34.0,M. Smart enters the game for T. Rozier,,42-42,,
3:18.0,,,43-42,,M. Ginobili misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by A. Bradley,,43-42,,
3:04.0,J. Crowder misses 2-pt shot from 17 ft,,43-42,,
3:02.0,,,43-42,,Defensive rebound by D. Lee
2:52.0,,,43-44,2,P. Gasol makes 2-pt shot from 2 ft (assist by K. Leonard)
2:44.0,M. Smart misses 2-pt shot from 2 ft,,43-44,,
2:43.0,,,43-44,,Defensive rebound by D. Lee
2:36.0,,,43-46,2,P. Gasol makes 2-pt shot from 10 ft (assist by K. Leonard)
2:36.0,Boston full timeout,,43-46,,
2:11.0,A. Bradley misses 2-pt shot from 8 ft,,43-46,,
2:10.0,,,43-46,,Defensive rebound by D. Lee
1:58.0,,,43-46,,P. Mills misses 2-pt shot from 19 ft
1:57.0,Defensive rebound by A. Horford,,43-46,,
1:49.0,A. Bradley misses 2-pt shot from 18 ft,,43-46,,
1:48.0,,,43-46,,Defensive rebound by M. Ginobili
1:40.0,,,43-49,3,P. Mills makes 3-pt shot from 27 ft (assist by K. Leonard)
1:15.0,A. Johnson misses 2-pt shot from 1 ft,,43-49,,
1:14.0,Offensive rebound by A. Bradley,,43-49,,
1:14.0,A. Bradley makes 2-pt shot at rim,2,45-49,,
0:55.0,,,45-52,3,K. Leonard makes 3-pt shot from 23 ft (assist by M. Ginobili)
0:46.0,M. Smart misses 3-pt shot from 26 ft,,45-52,,
0:44.0,,,45-52,,Defensive rebound by D. Lee
0:42.0,,,45-52,,Shooting foul by A. Horford (drawn by D. Lee)
0:42.0,,,45-53,1,D. Lee makes free throw 1 of 2
0:42.0,,,45-54,1,D. Lee makes free throw 2 of 2
0:42.0,K. Olynyk enters the game for A. Johnson,,45-53,,
0:42.0,,,45-53,,D. Dedmon enters the game for P. Gasol
0:26.0,M. Smart misses 3-pt shot from 25 ft,,45-54,,
0:25.0,,,45-54,,Defensive rebound by D. Lee
0:05.0,,,45-56,2,D. Dedmon makes 2-pt shot from 13 ft (assist by M. Ginobili)
0:05.0,Boston full timeout,,45-56,,
0:05.0,T. Rozier enters the game for K. Olynyk,,45-56,,
0:05.0,,,45-56,,J. Simmons enters the game for D. Dedmon
0:00.0,T. Rozier makes 2-pt shot from 3 ft,2,47-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,Turnover by A. Horford (bad pass; steal by K. Leonard),,47-56,,
11:47.0,,,47-58,2,K. Leonard makes 2-pt shot at rim
11:32.0,Turnover by M. Smart (bad pass; steal by P. Gasol),,47-58,,
11:23.0,,,47-58,,D. Green misses 3-pt shot from 24 ft
11:23.0,,,47-58,,Offensive rebound by Team
11:23.0,K. Olynyk enters the game for A. Johnson,,47-58,,
11:19.0,,,47-58,,Turnover by K. Leonard (bad pass; steal by J. Crowder)
11:07.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Bradley),3,50-58,,
10:51.0,,,50-58,,K. Leonard misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by K. Olynyk,,50-58,,
10:44.0,J. Crowder misses 2-pt shot from 1 ft,,50-58,,
10:43.0,,,50-58,,Defensive rebound by P. Gasol
10:25.0,,,50-58,,Shooting foul by M. Smart (drawn by K. Leonard)
10:25.0,,,50-59,1,K. Leonard makes free throw 1 of 2
10:25.0,,,50-60,1,K. Leonard makes free throw 2 of 2
10:04.0,M. Smart makes 2-pt shot from 3 ft,2,52-60,,
9:46.0,,,52-60,,D. Lee misses 2-pt shot from 7 ft
9:45.0,Defensive rebound by A. Horford,,52-60,,
9:35.0,A. Horford misses 2-pt shot from 2 ft,,52-60,,
9:34.0,,,52-60,,Defensive rebound by P. Gasol
9:24.0,,,52-62,2,D. Lee makes 2-pt shot from 2 ft (assist by P. Gasol)
9:24.0,,,52-62,,Shooting foul by K. Olynyk (drawn by D. Lee)
9:24.0,,,52-62,,D. Lee misses free throw 1 of 1
9:23.0,Defensive rebound by A. Horford,,52-62,,
9:08.0,A. Bradley misses 3-pt shot from 25 ft,,52-62,,
9:07.0,,,52-62,,Defensive rebound by T. Parker
8:57.0,,,52-62,,T. Parker misses 2-pt shot from 19 ft
8:56.0,Defensive rebound by J. Crowder,,52-62,,
8:45.0,Shooting foul by T. Parker (drawn by J. Crowder),,52-62,,
8:45.0,J. Crowder misses free throw 1 of 2,,52-62,,
8:45.0,Offensive rebound by Team,,52-62,,
8:45.0,J. Crowder makes free throw 2 of 2,1,53-62,,
8:28.0,,,53-64,2,T. Parker makes 2-pt shot from 2 ft
8:15.0,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart),2,55-64,,
7:59.0,,,55-66,2,D. Lee makes 2-pt shot at rim (assist by P. Gasol)
7:44.0,Turnover by M. Smart (lost ball; steal by D. Lee),,55-66,,
7:32.0,,,55-66,,Turnover by K. Leonard (lost ball; steal by K. Olynyk)
7:25.0,Turnover by A. Bradley (bad pass; steal by P. Gasol),,55-66,,
7:18.0,,,55-66,,T. Parker misses 2-pt shot from 7 ft
7:17.0,,,55-66,,Offensive rebound by P. Gasol
7:17.0,,,55-66,,Shooting foul by A. Horford (drawn by P. Gasol)
7:17.0,,,55-67,1,P. Gasol makes free throw 1 of 2
7:17.0,,,55-68,1,P. Gasol makes free throw 2 of 2
7:07.0,M. Smart misses 2-pt shot from 1 ft,,55-68,,
7:06.0,,,55-68,,Defensive rebound by P. Gasol
7:03.0,,,55-70,2,K. Leonard makes 2-pt shot at rim (assist by P. Gasol)
7:03.0,Boston full timeout,,55-70,,
6:59.0,,,55-70,,Personal foul by T. Parker (drawn by M. Smart)
6:39.0,A. Bradley makes 2-pt shot from 14 ft (assist by M. Smart),2,57-70,,
6:21.0,,,57-70,,P. Gasol misses 2-pt shot from 11 ft
6:20.0,Defensive rebound by J. Crowder,,57-70,,
5:58.0,A. Horford makes 2-pt shot from 13 ft,2,59-70,,
5:41.0,,,59-70,,K. Leonard misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by A. Bradley,,59-70,,
5:33.0,Turnover by A. Bradley (bad pass),,59-70,,
5:33.0,T. Rozier enters the game for M. Smart,,59-70,,
5:09.0,,,59-70,,P. Gasol misses 2-pt shot from 11 ft
5:09.0,,,59-70,,Offensive rebound by Team
5:09.0,,,59-70,,P. Mills enters the game for T. Parker
5:09.0,,,59-70,,M. Ginobili enters the game for D. Green
4:55.0,,,59-70,,P. Mills misses 2-pt shot from 19 ft
4:54.0,Defensive rebound by K. Olynyk,,59-70,,
4:35.0,T. Rozier misses 3-pt shot from 26 ft,,59-70,,
4:34.0,,,59-70,,Defensive rebound by P. Gasol
4:17.0,,,59-70,,P. Gasol misses 2-pt shot from 20 ft
4:16.0,Defensive rebound by J. Crowder,,59-70,,
4:09.0,,,59-70,,Personal block foul by P. Mills
4:09.0,,,59-70,,D. Dedmon enters the game for P. Gasol
3:52.0,K. Olynyk misses 2-pt shot from 9 ft,,59-70,,
3:50.0,,,59-70,,Defensive rebound by D. Dedmon
3:48.0,,,59-70,,San Antonio full timeout
3:48.0,T. Zeller enters the game for K. Olynyk,,59-70,,
3:42.0,,,59-72,2,M. Ginobili makes 2-pt shot from 1 ft (assist by D. Lee)
3:26.0,Shooting foul by D. Lee (drawn by A. Horford),,59-72,,
3:26.0,A. Horford makes free throw 1 of 2,1,60-72,,
3:26.0,A. Horford makes free throw 2 of 2,1,61-72,,
3:16.0,,,61-72,,Turnover by D. Lee (traveling)
2:57.0,Shooting foul by D. Lee (drawn by A. Horford),,61-72,,
2:57.0,A. Horford makes free throw 1 of 2,1,62-72,,
2:57.0,A. Horford makes free throw 2 of 2,1,63-72,,
2:57.0,,,62-72,,P. Gasol enters the game for D. Lee
2:42.0,,,63-72,,K. Leonard misses 2-pt shot from 13 ft
2:41.0,Defensive rebound by T. Zeller,,63-72,,
2:29.0,T. Zeller makes 2-pt shot at rim (assist by A. Bradley),2,65-72,,
2:11.0,,,65-72,,M. Ginobili misses 2-pt shot from 8 ft
2:10.0,Defensive rebound by A. Bradley,,65-72,,
1:58.0,A. Horford makes 3-pt shot from 26 ft (assist by A. Bradley),3,68-72,,
1:47.0,,,68-74,2,P. Gasol makes 2-pt shot from 19 ft (assist by K. Leonard)
1:31.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Horford),3,71-74,,
1:07.0,,,71-74,,Turnover by M. Ginobili (bad pass; steal by A. Bradley)
1:05.0,,,71-74,,Personal foul by M. Ginobili (drawn by A. Bradley)
1:05.0,A. Bradley makes free throw 1 of 2,1,72-74,,
1:05.0,A. Bradley makes free throw 2 of 2,1,73-74,,
1:05.0,K. Olynyk enters the game for A. Horford,,72-74,,
0:47.0,,,73-77,3,P. Gasol makes 3-pt shot from 24 ft (assist by K. Leonard)
0:30.0,T. Rozier misses 2-pt shot from 18 ft,,73-77,,
0:28.0,,,73-77,,Defensive rebound by D. Dedmon
0:05.0,,,73-77,,M. Ginobili misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by A. Bradley,,73-77,,
0:00.0,A. Bradley misses 3-pt shot from 34 ft,,73-77,,
0:00.0,Offensive rebound by Team,,73-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,73-77,,P. Mills misses 3-pt shot from 24 ft
11:45.0,,,73-77,,Offensive rebound by D. Dedmon
11:45.0,,,73-77,,D. Dedmon misses 2-pt shot from 1 ft
11:44.0,,,73-77,,Offensive rebound by K. Leonard
11:37.0,,,73-79,2,D. Dedmon makes 2-pt shot at rim (assist by D. Bertans)
11:24.0,J. Crowder misses 3-pt shot from 25 ft,,73-79,,
11:24.0,,,73-79,,Defensive rebound by Team
11:24.0,Loose ball foul by K. Olynyk (drawn by D. Bertans),,73-79,,
11:22.0,,,73-79,,K. Anderson enters the game for K. Leonard
11:01.0,,,73-81,2,P. Mills makes 2-pt shot from 18 ft
10:48.0,Turnover by K. Olynyk (lost ball; steal by D. Dedmon),,73-81,,
10:31.0,,,73-81,,M. Ginobili misses 2-pt shot from 16 ft
10:30.0,Defensive rebound by Team,,73-81,,
10:30.0,A. Horford enters the game for J. Crowder,,73-81,,
10:30.0,J. Jerebko enters the game for K. Olynyk,,73-81,,
10:20.0,T. Rozier misses 3-pt shot from 26 ft,,73-81,,
10:19.0,,,73-81,,Defensive rebound by K. Anderson
9:59.0,,,73-83,2,P. Mills makes 2-pt shot from 1 ft (assist by M. Ginobili)
9:32.0,J. Jerebko makes 2-pt shot from 14 ft (assist by A. Horford),2,75-83,,
9:16.0,Violation by J. Jerebko (kicked ball),,75-83,,
9:13.0,,,75-83,,Turnover by M. Ginobili (bad pass; steal by T. Rozier)
9:07.0,J. Jerebko makes 2-pt shot at rim (assist by T. Rozier),2,77-83,,
9:07.0,,,77-83,,San Antonio full timeout
9:07.0,,,77-83,,P. Gasol enters the game for D. Dedmon
9:07.0,,,77-83,,D. Green enters the game for M. Ginobili
9:07.0,,,77-83,,T. Parker enters the game for P. Mills
9:07.0,J. Brown enters the game for T. Zeller,,77-83,,
8:49.0,,,77-85,2,T. Parker makes 2-pt shot from 8 ft (assist by P. Gasol)
8:34.0,T. Rozier misses 2-pt shot from 1 ft (block by K. Anderson),,77-85,,
8:33.0,Offensive rebound by M. Smart,,77-85,,
8:33.0,Shooting foul by D. Green (drawn by M. Smart),,77-85,,
8:33.0,M. Smart makes 2-pt shot from 1 ft,2,79-85,,
8:33.0,M. Smart makes free throw 1 of 1,1,80-85,,
8:22.0,,,80-87,2,T. Parker makes 2-pt shot from 17 ft
8:06.0,J. Jerebko misses 3-pt shot from 26 ft,,80-87,,
8:05.0,,,80-87,,Defensive rebound by P. Gasol
7:54.0,,,80-90,3,D. Bertans makes 3-pt shot from 26 ft (assist by T. Parker)
7:41.0,Shooting foul by T. Parker (drawn by J. Brown),,80-90,,
7:41.0,J. Brown misses free throw 1 of 2,,80-90,,
7:41.0,Offensive rebound by Team,,80-90,,
7:41.0,J. Brown makes free throw 2 of 2,1,81-90,,
7:29.0,,,81-90,,D. Green misses 2-pt shot from 1 ft (block by J. Brown)
7:27.0,Defensive rebound by J. Brown,,81-90,,
7:25.0,Shooting foul by D. Bertans (drawn by J. Brown),,81-90,,
