time,Houston,pts.away,score,pts.home,Sacramento
4:07.0,,,30-20,,Defensive rebound by A. Tolliver
3:57.0,Shooting block foul by M. Harrell (drawn by W. Cauley-Stein),,30-20,,
3:57.0,,,30-21,1,W. Cauley-Stein makes free throw 1 of 2
3:57.0,,,30-22,1,W. Cauley-Stein makes free throw 2 of 2
3:57.0,T. Williams enters the game for R. Anderson,,30-21,,
3:40.0,L. Williams makes 2-pt shot from 8 ft,2,32-22,,
3:21.0,,,32-22,,W. Cauley-Stein misses 2-pt shot from 8 ft
3:20.0,Defensive rebound by Team,,32-22,,
3:07.0,J. Harden makes 2-pt shot from 3 ft,2,34-22,,
2:53.0,,,34-22,,G. Temple misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by M. Harrell,,34-22,,
2:32.0,J. Harden misses 2-pt shot from 4 ft,,34-22,,
2:31.0,,,34-22,,Defensive rebound by W. Cauley-Stein
2:23.0,,,34-24,2,A. Tolliver makes 2-pt shot at rim (assist by T. Lawson)
2:13.0,L. Williams makes 2-pt shot from 3 ft,2,36-24,,
2:04.0,,,36-24,,B. Hield misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by M. Harrell,,36-24,,
1:59.0,Shooting foul by G. Temple (drawn by J. Harden),,36-24,,
1:59.0,,,36-24,,Sacramento full timeout
1:59.0,J. Harden makes free throw 1 of 3,1,37-24,,
1:59.0,J. Harden makes free throw 2 of 3,1,38-24,,
1:59.0,J. Harden makes free throw 3 of 3,1,39-24,,
1:59.0,,,36-24,,G. Papagiannis enters the game for G. Temple
1:59.0,,,36-24,,B. McLemore enters the game for W. Cauley-Stein
1:45.0,,,39-24,,A. Tolliver misses 3-pt shot from 26 ft
1:45.0,Defensive rebound by T. Williams,,39-24,,
1:34.0,T. Williams misses 3-pt shot from 25 ft,,39-24,,
1:33.0,,,39-24,,Defensive rebound by B. Hield
1:20.0,Personal foul by J. Harden (drawn by B. Hield),,39-24,,
1:20.0,,,39-24,,B. Hield misses free throw 1 of 2
1:20.0,,,39-24,,Offensive rebound by Team
1:20.0,,,39-25,1,B. Hield makes free throw 2 of 2
1:08.0,Turnover by J. Harden (bad pass),,39-25,,
1:08.0,,,39-25,,L. Galloway enters the game for B. Hield
0:52.0,,,39-27,2,G. Papagiannis makes 2-pt shot at rim (assist by T. Lawson)
0:42.0,L. Williams misses 3-pt shot from 25 ft,,39-27,,
0:41.0,,,39-27,,Defensive rebound by G. Papagiannis
0:34.0,,,39-27,,Turnover by T. Lawson (bad pass; steal by J. Harden)
0:27.0,J. Harden misses 3-pt shot from 25 ft,,39-27,,
0:26.0,Offensive rebound by T. Williams,,39-27,,
0:18.0,B. Brown misses 2-pt shot from 10 ft,,39-27,,
0:17.0,Offensive rebound by M. Harrell,,39-27,,
0:00.0,J. Harden makes 3-pt shot from 25 ft,3,42-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,42-29,2,L. Galloway makes 2-pt shot from 1 ft (assist by G. Papagiannis)
11:26.0,Shooting foul by G. Papagiannis (drawn by L. Williams),,42-29,,
11:26.0,L. Williams makes free throw 1 of 3,1,43-29,,
11:26.0,L. Williams makes free throw 2 of 3,1,44-29,,
11:26.0,L. Williams makes free throw 3 of 3,1,45-29,,
11:10.0,,,45-31,2,A. Tolliver makes 2-pt shot at rim (assist by L. Galloway)
10:52.0,C. Capela makes 2-pt shot from 2 ft (assist by T. Williams),2,47-31,,
10:33.0,,,47-33,2,B. McLemore makes 2-pt shot from 3 ft
10:20.0,C. Capela makes 2-pt shot from 2 ft (assist by P. Beverley),2,49-33,,
10:10.0,,,49-33,,A. Tolliver misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by L. Williams,,49-33,,
10:04.0,C. Capela makes 2-pt shot from 1 ft (assist by L. Williams),2,51-33,,
9:47.0,,,51-35,2,B. McLemore makes 2-pt shot from 2 ft
9:47.0,,,51-35,,Shooting foul by C. Capela (drawn by B. McLemore)
9:47.0,,,51-36,1,B. McLemore makes free throw 1 of 1
9:34.0,Shooting foul by B. McLemore (drawn by L. Williams),,51-36,,
9:34.0,L. Williams makes free throw 1 of 2,1,52-36,,
9:34.0,L. Williams makes free throw 2 of 2,1,53-36,,
9:23.0,,,53-36,,G. Temple misses 2-pt shot from 18 ft
9:22.0,Defensive rebound by P. Beverley,,53-36,,
9:16.0,Turnover by P. Beverley (bad pass; steal by G. Papagiannis),,53-36,,
9:10.0,,,53-36,,B. McLemore misses 2-pt shot from 2 ft
9:10.0,Defensive rebound by Team,,53-36,,
8:59.0,L. Williams misses 3-pt shot from 26 ft,,53-36,,
8:58.0,,,53-36,,Defensive rebound by Team
8:58.0,Official timeout,,53-36,,
8:58.0,I. Taylor enters the game for T. Williams,,53-36,,
8:42.0,,,53-36,,B. McLemore misses 2-pt shot from 20 ft
8:41.0,Defensive rebound by R. Anderson,,53-36,,
8:24.0,P. Beverley makes 2-pt shot from 3 ft,2,55-36,,
8:06.0,,,55-39,3,L. Galloway makes 3-pt shot from 25 ft (assist by G. Papagiannis)
7:41.0,L. Williams makes 3-pt shot from 25 ft,3,58-39,,
7:30.0,,,58-39,,L. Galloway misses 2-pt shot from 15 ft
7:29.0,Defensive rebound by P. Beverley,,58-39,,
7:21.0,,,58-39,,S. Labissiere enters the game for G. Temple
7:21.0,,,58-39,,B. Hield enters the game for A. Tolliver
7:07.0,Turnover by Team (shot clock),,58-39,,
6:43.0,,,58-41,2,G. Papagiannis makes 2-pt shot from 12 ft
6:29.0,C. Capela makes 2-pt shot from 3 ft (assist by P. Beverley),2,60-41,,
6:12.0,,,60-41,,B. Hield misses 2-pt shot from 8 ft
6:11.0,,,60-41,,Offensive rebound by G. Papagiannis
6:08.0,,,60-43,2,S. Labissiere makes 2-pt shot at rim (assist by G. Papagiannis)
6:01.0,P. Beverley makes 2-pt shot from 2 ft,2,62-43,,
6:01.0,Shooting foul by S. Labissiere (drawn by P. Beverley),,62-43,,
6:01.0,P. Beverley misses free throw 1 of 1,,62-43,,
6:01.0,J. Harden enters the game for R. Anderson,,62-43,,
6:01.0,M. Harrell enters the game for C. Capela,,62-43,,
6:00.0,,,62-43,,Defensive rebound by B. Hield
5:38.0,,,62-43,,B. Hield misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by L. Williams,,62-43,,
5:24.0,I. Taylor misses 3-pt shot from 24 ft,,62-43,,
5:24.0,,,62-43,,Defensive rebound by S. Labissiere
5:10.0,,,62-43,,L. Galloway misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by I. Taylor,,62-43,,
5:01.0,Turnover by J. Harden (bad pass; steal by S. Labissiere),,62-43,,
4:38.0,,,62-45,2,G. Papagiannis makes 2-pt shot from 10 ft (assist by B. Hield)
4:28.0,Shooting foul by B. McLemore (drawn by J. Harden),,62-45,,
4:28.0,,,62-45,,Sacramento full timeout
4:28.0,J. Harden makes free throw 1 of 3,1,63-45,,
4:28.0,J. Harden makes free throw 2 of 3,1,64-45,,
4:28.0,J. Harden makes free throw 3 of 3,1,65-45,,
4:28.0,B. Brown enters the game for P. Beverley,,62-45,,
4:28.0,T. Williams enters the game for L. Williams,,62-45,,
4:28.0,,,62-45,,T. Lawson enters the game for G. Papagiannis
4:09.0,,,65-45,,Shooting foul by T. Williams (drawn by S. Labissiere)
4:09.0,,,65-46,1,S. Labissiere makes free throw 1 of 2
4:09.0,,,65-47,1,S. Labissiere makes free throw 2 of 2
3:56.0,J. Harden misses 3-pt shot from 23 ft,,65-47,,
3:55.0,,,65-47,,Defensive rebound by S. Labissiere
3:40.0,,,65-47,,B. McLemore misses 2-pt shot from 7 ft
3:39.0,,,65-47,,Offensive rebound by S. Labissiere
3:39.0,,,65-49,2,S. Labissiere makes 2-pt shot from 2 ft
3:27.0,M. Harrell makes 2-pt shot at rim (assist by J. Harden),2,67-49,,
3:18.0,,,67-49,,B. Hield misses 2-pt shot from 3 ft
3:17.0,Defensive rebound by J. Harden,,67-49,,
3:12.0,Turnover by B. Brown (step out of bounds),,67-49,,
3:01.0,,,67-49,,Shooting foul by M. Harrell (drawn by S. Labissiere)
3:01.0,,,67-49,,S. Labissiere misses free throw 1 of 2
3:01.0,,,67-49,,Offensive rebound by Team
3:01.0,,,67-50,1,S. Labissiere makes free throw 2 of 2
3:01.0,,,67-49,,W. Cauley-Stein enters the game for B. McLemore
2:50.0,J. Harden makes 2-pt shot from 7 ft,2,69-50,,
2:50.0,,,69-50,,Violation by S. Labissiere (def goaltending)
2:39.0,,,69-52,2,S. Labissiere makes 2-pt shot from 15 ft
2:25.0,J. Harden makes 3-pt shot from 26 ft,3,72-52,,
2:16.0,,,72-54,2,T. Lawson makes 2-pt shot from 4 ft
2:06.0,J. Harden misses 3-pt shot from 25 ft,,72-54,,
2:05.0,,,72-54,,Defensive rebound by T. Lawson
1:59.0,,,72-56,2,S. Labissiere makes 2-pt shot from 9 ft (assist by T. Lawson)
1:39.0,B. Brown misses 3-pt shot from 25 ft,,72-56,,
1:38.0,,,72-56,,Defensive rebound by S. Labissiere
1:33.0,Personal foul by M. Harrell (drawn by W. Cauley-Stein),,72-56,,
1:33.0,Houston full timeout,,72-56,,
1:33.0,C. Capela enters the game for M. Harrell,,72-56,,
1:25.0,,,72-58,2,S. Labissiere makes 2-pt shot from 9 ft (assist by T. Lawson)
1:01.0,B. Brown makes 3-pt shot from 25 ft (assist by J. Harden),3,75-58,,
0:46.0,,,75-58,,S. Labissiere misses 2-pt shot from 8 ft
0:45.0,Defensive rebound by C. Capela,,75-58,,
0:34.0,C. Capela makes 2-pt shot from 3 ft (assist by T. Williams),2,77-58,,
0:30.0,,,77-58,,Shooting foul by I. Taylor (drawn by T. Lawson)
0:30.0,,,77-59,1,T. Lawson makes free throw 1 of 2
0:30.0,,,77-60,1,T. Lawson makes free throw 2 of 2
0:11.0,Shooting foul by W. Cauley-Stein (drawn by T. Williams),,77-60,,
0:11.0,T. Williams makes free throw 1 of 2,1,78-60,,
0:11.0,Turnover by J. Harden (lane violation.),,78-60,,
0:04.0,,,78-60,,W. Cauley-Stein misses 2-pt shot from 3 ft
0:03.0,,,78-60,,Offensive rebound by W. Cauley-Stein
0:03.0,,,78-62,2,W. Cauley-Stein makes 2-pt shot from 3 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,78-62,,B. Hield misses 2-pt shot from 2 ft
11:45.0,Defensive rebound by J. Harden,,78-62,,
11:29.0,Turnover by J. Harden (bad pass),,78-62,,
11:10.0,,,78-64,2,S. Labissiere makes 2-pt shot from 10 ft
11:01.0,Turnover by J. Harden (bad pass; steal by T. Lawson),,78-64,,
10:58.0,,,78-66,2,T. Lawson makes 2-pt shot from 1 ft
10:46.0,,,78-66,,Personal foul by S. Labissiere (drawn by R. Anderson)
10:36.0,Offensive charge foul by J. Harden,,78-66,,
10:36.0,Turnover by J. Harden (offensive foul),,78-66,,
10:26.0,,,78-66,,Shooting foul by P. Beverley (drawn by T. Lawson)
10:26.0,,,78-67,1,T. Lawson makes free throw 1 of 2
10:26.0,,,78-68,1,T. Lawson makes free throw 2 of 2
10:14.0,J. Harden misses 3-pt shot from 25 ft,,78-68,,
10:14.0,Offensive rebound by T. Williams,,78-68,,
10:10.0,T. Williams makes 2-pt shot from 4 ft,2,80-68,,
9:59.0,,,80-68,,T. Lawson misses 2-pt shot from 7 ft
9:59.0,Defensive rebound by J. Harden,,80-68,,
9:47.0,J. Harden misses 2-pt shot from 3 ft,,80-68,,
9:47.0,,,80-68,,Defensive rebound by W. Cauley-Stein
9:32.0,,,80-70,2,T. Lawson makes 2-pt shot from 2 ft
9:17.0,R. Anderson makes 3-pt shot from 30 ft (assist by J. Harden),3,83-70,,
8:58.0,,,83-70,,W. Cauley-Stein misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by J. Harden,,83-70,,
8:50.0,J. Harden misses 2-pt shot from 4 ft (block by W. Cauley-Stein),,83-70,,
8:50.0,Offensive rebound by Team,,83-70,,
8:40.0,R. Anderson makes 3-pt shot from 29 ft (assist by J. Harden),3,86-70,,
8:26.0,,,86-70,,B. Hield misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by C. Capela,,86-70,,
8:24.0,Turnover by C. Capela (lost ball),,86-70,,
8:24.0,,,86-70,,Sacramento full timeout
8:24.0,M. Harrell enters the game for C. Capela,,86-70,,
8:13.0,,,86-72,2,T. Lawson makes 2-pt shot from 17 ft (assist by B. Hield)
7:51.0,R. Anderson misses 3-pt shot from 26 ft,,86-72,,
7:50.0,,,86-72,,Defensive rebound by B. Hield
7:44.0,,,86-72,,G. Temple misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by T. Williams,,86-72,,
7:31.0,R. Anderson misses 3-pt shot from 26 ft,,86-72,,
7:31.0,,,86-72,,Defensive rebound by T. Lawson
7:25.0,,,86-74,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by T. Lawson)
7:08.0,,,86-74,,Shooting block foul by S. Labissiere (drawn by P. Beverley)
7:08.0,P. Beverley misses free throw 1 of 2,,86-74,,
7:08.0,Offensive rebound by Team,,86-74,,
7:08.0,P. Beverley misses free throw 2 of 2,,86-74,,
7:08.0,B. Brown enters the game for T. Williams,,86-74,,
7:07.0,,,86-74,,Defensive rebound by G. Temple
6:56.0,,,86-76,2,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson)
6:51.0,Shooting foul by T. Lawson (drawn by J. Harden),,86-76,,
6:51.0,J. Harden makes free throw 1 of 3,1,87-76,,
6:51.0,J. Harden makes free throw 2 of 3,1,88-76,,
6:51.0,J. Harden misses free throw 3 of 3,,88-76,,
6:50.0,,,88-76,,Defensive rebound by W. Cauley-Stein
6:30.0,,,88-78,2,W. Cauley-Stein makes 2-pt shot from 15 ft (assist by T. Lawson)
6:16.0,J. Harden misses 2-pt shot from 19 ft,,88-78,,
6:15.0,,,88-78,,Defensive rebound by W. Cauley-Stein
6:10.0,,,88-80,2,T. Lawson makes 2-pt shot from 2 ft
5:46.0,J. Harden misses 3-pt shot from 25 ft,,88-80,,
5:45.0,,,88-80,,Defensive rebound by W. Cauley-Stein
5:34.0,,,88-80,,G. Temple misses 3-pt shot from 24 ft
5:33.0,,,88-80,,Offensive rebound by W. Cauley-Stein
5:33.0,,,88-80,,Shooting foul by M. Harrell (drawn by W. Cauley-Stein)
5:33.0,,,88-81,1,W. Cauley-Stein makes free throw 1 of 2
5:33.0,,,88-82,1,W. Cauley-Stein makes free throw 2 of 2
5:33.0,C. Capela enters the game for M. Harrell,,88-81,,
5:33.0,L. Williams enters the game for P. Beverley,,88-81,,
5:11.0,L. Williams misses 3-pt shot from 24 ft,,88-82,,
5:10.0,,,88-82,,Defensive rebound by G. Temple
5:07.0,,,88-82,,Offensive charge foul by B. Hield
5:07.0,,,88-82,,Turnover by B. Hield (offensive foul)
4:48.0,J. Harden misses 3-pt shot from 25 ft (block by B. Hield),,88-82,,
4:46.0,,,88-82,,Defensive rebound by G. Temple
4:41.0,,,88-82,,B. Hield misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by J. Harden,,88-82,,
4:20.0,C. Capela makes 2-pt shot from 5 ft (assist by J. Harden),2,90-82,,
4:12.0,,,90-82,,T. Lawson misses 2-pt shot from 15 ft
4:11.0,Defensive rebound by C. Capela,,90-82,,
4:02.0,C. Capela makes 2-pt shot at rim (assist by L. Williams),2,92-82,,
3:43.0,,,92-82,,B. Hield misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by Team,,92-82,,
3:42.0,,,92-82,,A. Tolliver enters the game for S. Labissiere
3:26.0,L. Williams misses 3-pt shot from 23 ft,,92-82,,
3:26.0,,,92-82,,Defensive rebound by W. Cauley-Stein
3:19.0,,,92-84,2,G. Temple makes 2-pt shot from 4 ft (assist by T. Lawson)
3:07.0,R. Anderson makes 2-pt shot from 4 ft (assist by J. Harden),2,94-84,,
3:07.0,Shooting foul by W. Cauley-Stein (drawn by R. Anderson),,94-84,,
3:07.0,R. Anderson makes free throw 1 of 1,1,95-84,,
3:07.0,,,94-84,,B. McLemore enters the game for G. Temple
2:55.0,,,95-84,,A. Tolliver misses 3-pt shot from 26 ft
2:55.0,Defensive rebound by Team,,95-84,,
2:55.0,Houston full timeout,,95-84,,
2:55.0,T. Williams enters the game for R. Anderson,,95-84,,
2:38.0,J. Harden makes 2-pt shot from 6 ft,2,97-84,,
2:28.0,,,97-84,,W. Cauley-Stein misses 2-pt shot from 8 ft
2:27.0,,,97-84,,Offensive rebound by B. Hield
2:21.0,,,97-84,,B. McLemore misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by Team,,97-84,,
2:02.0,J. Harden makes 3-pt shot from 26 ft (assist by B. Brown),3,100-84,,
1:43.0,,,100-84,,B. McLemore misses 3-pt shot from 23 ft
1:42.0,Defensive rebound by J. Harden,,100-84,,
1:31.0,B. Brown makes 3-pt shot from 27 ft (assist by J. Harden),3,103-84,,
1:18.0,,,103-86,2,T. Lawson makes 2-pt shot from 21 ft
1:05.0,B. Brown misses 3-pt shot from 24 ft,,103-86,,
1:04.0,,,103-86,,Defensive rebound by B. McLemore
0:58.0,,,103-86,,W. Cauley-Stein misses 2-pt shot from 3 ft
0:57.0,Defensive rebound by T. Williams,,103-86,,
0:54.0,Shooting foul by B. Hield (drawn by B. Brown),,103-86,,
0:54.0,B. Brown makes free throw 1 of 2,1,104-86,,
0:54.0,B. Brown makes free throw 2 of 2,1,105-86,,
0:54.0,,,104-86,,L. Galloway enters the game for B. Hield
0:47.0,,,105-86,,Turnover by A. Tolliver (bad pass)
0:46.0,,,105-86,,Loose ball foul by A. Tolliver (drawn by J. Harden)
0:46.0,J. Harden makes free throw 1 of 2,1,106-86,,
0:46.0,J. Harden makes free throw 2 of 2,1,107-86,,
0:31.0,,,107-89,3,L. Galloway makes 3-pt shot from 25 ft (assist by T. Lawson)
0:25.0,J. Harden misses 3-pt shot from 30 ft,,107-89,,
0:25.0,,,107-89,,Defensive rebound by B. McLemore
0:03.0,,,107-89,,T. Lawson misses 2-pt shot from 4 ft (block by C. Capela)
0:03.0,,,107-89,,Offensive rebound by Team
0:00.0,,,107-89,,A. Tolliver misses 3-pt shot from 23 ft
0:00.0,,,107-89,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,B. Brown makes 3-pt shot from 26 ft (assist by P. Beverley),3,110-89,,
11:26.0,,,110-91,2,G. Temple makes 2-pt shot from 3 ft (assist by A. Tolliver)
11:07.0,T. Williams misses 3-pt shot from 23 ft,,110-91,,
11:06.0,,,110-91,,Defensive rebound by G. Papagiannis
10:53.0,,,110-94,3,B. McLemore makes 3-pt shot from 26 ft
10:30.0,Turnover by Team (shot clock),,110-94,,
10:19.0,,,110-94,,G. Temple misses 3-pt shot from 26 ft
10:18.0,Defensive rebound by P. Beverley,,110-94,,
10:05.0,P. Beverley makes 2-pt shot from 3 ft,2,112-94,,
9:59.0,,,112-94,,B. McLemore misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by T. Williams,,112-94,,
9:40.0,C. Onuaku makes 2-pt shot at rim (assist by P. Beverley),2,114-94,,
9:25.0,Personal foul by L. Williams (drawn by A. Tolliver),,114-94,,
9:15.0,,,114-94,,G. Temple misses 3-pt shot from 25 ft
9:14.0,,,114-94,,Offensive rebound by L. Galloway
9:13.0,Shooting block foul by P. Beverley (drawn by A. Tolliver),,114-94,,
9:13.0,,,114-95,1,A. Tolliver makes free throw 1 of 2
9:13.0,,,114-96,1,A. Tolliver makes free throw 2 of 2
8:55.0,Shooting foul by G. Papagiannis (drawn by L. Williams),,114-96,,
8:55.0,Official timeout,,114-96,,
8:55.0,L. Williams makes free throw 1 of 2,1,115-96,,
8:55.0,L. Williams makes free throw 2 of 2,1,116-96,,
8:55.0,J. Harden enters the game for B. Brown,,114-96,,
8:37.0,,,116-96,,Turnover by G. Papagiannis (lost ball; steal by P. Beverley)
8:26.0,L. Williams misses 3-pt shot from 26 ft,,116-96,,
8:26.0,Offensive rebound by T. Williams,,116-96,,
8:19.0,Shooting foul by L. Galloway (drawn by C. Onuaku),,116-96,,
8:19.0,C. Onuaku makes free throw 1 of 2,1,117-96,,
8:19.0,C. Onuaku makes free throw 2 of 2,1,118-96,,
8:19.0,,,117-96,,S. Labissiere enters the game for G. Papagiannis
8:00.0,,,118-99,3,B. McLemore makes 3-pt shot from 26 ft
7:44.0,Turnover by L. Williams (lost ball),,118-99,,
7:32.0,,,118-99,,Shooting foul by C. Onuaku (drawn by B. McLemore)
7:32.0,,,118-100,1,B. McLemore makes free throw 1 of 2
7:32.0,,,118-100,,B. McLemore misses free throw 2 of 2
7:30.0,Defensive rebound by J. Harden,,118-100,,
7:18.0,P. Beverley misses 2-pt shot from 2 ft,,118-100,,
7:17.0,,,118-100,,Defensive rebound by S. Labissiere
7:12.0,,,118-100,,B. McLemore misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by T. Williams,,118-100,,
7:05.0,L. Williams misses 3-pt shot from 25 ft,,118-100,,
7:04.0,,,118-100,,Defensive rebound by L. Galloway
6:57.0,,,118-102,2,L. Galloway makes 2-pt shot from 17 ft
6:37.0,T. Williams makes 2-pt shot from 2 ft (assist by C. Onuaku),2,120-102,,
6:15.0,,,120-104,2,S. Labissiere makes 2-pt shot from 21 ft
6:02.0,Turnover by L. Williams (bad pass; steal by S. Labissiere),,120-104,,
5:57.0,,,120-104,,B. McLemore misses 2-pt shot from 8 ft
5:56.0,Defensive rebound by L. Williams,,120-104,,
5:48.0,L. Williams misses 3-pt shot at rim,,120-104,,
5:47.0,,,120-104,,Defensive rebound by G. Temple
5:42.0,,,120-106,2,S. Labissiere makes 2-pt shot from 2 ft (assist by G. Temple)
5:26.0,J. Harden makes 3-pt shot from 26 ft,3,123-106,,
5:06.0,,,123-109,3,B. McLemore makes 3-pt shot from 24 ft (assist by A. Tolliver)
5:06.0,Houston full timeout,,123-109,,
4:44.0,T. Williams misses 2-pt shot from 10 ft,,123-109,,
4:42.0,,,123-109,,Defensive rebound by G. Temple
4:28.0,,,123-111,2,B. McLemore makes 2-pt shot from 2 ft (assist by S. Labissiere)
4:28.0,,,123-111,,Shooting foul by T. Williams (drawn by B. McLemore)
4:28.0,,,123-112,1,B. McLemore makes free throw 1 of 1
4:07.0,L. Williams makes 2-pt shot from 2 ft (assist by J. Harden),2,125-112,,
3:59.0,,,125-115,3,G. Temple makes 3-pt shot from 26 ft (assist by L. Galloway)
3:37.0,J. Harden makes 2-pt shot from 2 ft,2,127-115,,
3:20.0,,,127-115,,B. McLemore misses 2-pt shot from 21 ft
3:19.0,Defensive rebound by L. Williams,,127-115,,
3:04.0,Turnover by J. Harden (lost ball; steal by G. Temple),,127-115,,
3:01.0,,,127-115,,Shooting foul by T. Williams (drawn by A. Tolliver)
3:01.0,,,127-116,1,A. Tolliver makes free throw 1 of 2
3:01.0,,,127-116,,A. Tolliver misses free throw 2 of 2
3:01.0,B. Brown enters the game for P. Beverley,,127-116,,
3:01.0,,,127-116,,B. Hield enters the game for B. McLemore
2:58.0,Defensive rebound by J. Harden,,127-116,,
