time,Portland,pts.away,score,pts.home,Atlanta
4:33.0,N. Vonleh enters the game for J. Nurkic,,26-9,,
4:15.0,A. Aminu misses 3-pt shot from 23 ft,,26-10,,
4:13.0,,,26-10,,Defensive rebound by D. Schroder
4:08.0,,,26-10,,T. Hardaway misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by D. Lillard,,26-10,,
4:00.0,Turnover by D. Lillard (bad pass; steal by D. Schroder),,26-10,,
3:56.0,,,26-10,,D. Schroder misses 2-pt shot from 1 ft
3:54.0,,,26-10,,Offensive rebound by T. Waller-Prince
3:54.0,,,26-12,2,T. Waller-Prince makes 2-pt shot from 1 ft
3:35.0,Shooting foul by T. Waller-Prince (drawn by A. Aminu),,26-12,,
3:35.0,A. Aminu makes free throw 1 of 2,1,27-12,,
3:35.0,A. Aminu makes free throw 2 of 2,1,28-12,,
3:35.0,,,27-12,,M. Delaney enters the game for D. Schroder
3:35.0,E. Turner enters the game for M. Harkless,,27-12,,
3:23.0,,,28-12,,M. Muscala misses 2-pt shot from 15 ft
3:19.0,,,28-12,,Offensive rebound by E. Ilyasova
3:19.0,,,28-12,,E. Ilyasova misses 2-pt shot at rim
3:18.0,Defensive rebound by A. Aminu,,28-12,,
3:09.0,N. Vonleh makes 2-pt shot from 6 ft (assist by D. Lillard),2,30-12,,
2:55.0,,,30-12,,T. Hardaway misses 3-pt shot from 26 ft
2:53.0,Defensive rebound by D. Lillard,,30-12,,
2:45.0,D. Lillard makes 2-pt shot from 21 ft,2,32-12,,
2:26.0,,,32-12,,M. Delaney misses 3-pt shot from 25 ft
2:24.0,Defensive rebound by E. Turner,,32-12,,
2:13.0,Turnover by A. Aminu (lost ball; steal by E. Ilyasova),,32-12,,
2:07.0,,,32-12,,T. Waller-Prince misses 2-pt shot from 1 ft
2:04.0,Defensive rebound by N. Vonleh,,32-12,,
1:59.0,A. Crabbe misses 3-pt shot from 24 ft,,32-12,,
1:56.0,Offensive rebound by A. Aminu,,32-12,,
1:53.0,Portland full timeout,,32-12,,
1:53.0,C. McCollum enters the game for D. Lillard,,32-12,,
1:53.0,,,32-12,,K. Bazemore enters the game for E. Ilyasova
1:42.0,A. Crabbe makes 3-pt shot from 25 ft (assist by C. McCollum),3,35-12,,
1:22.0,,,35-12,,M. Delaney misses 2-pt shot from 2 ft (block by C. McCollum)
1:19.0,Defensive rebound by C. McCollum,,35-12,,
1:15.0,E. Turner misses 3-pt shot from 22 ft,,35-12,,
1:13.0,,,35-12,,Defensive rebound by M. Muscala
0:59.0,,,35-12,,Shooting foul by E. Turner (drawn by K. Bazemore)
0:59.0,,,35-13,1,K. Bazemore makes free throw 1 of 2
0:59.0,,,35-14,1,K. Bazemore makes free throw 2 of 2
0:41.0,C. McCollum misses 2-pt shot from 15 ft,,35-14,,
0:40.0,,,35-14,,Defensive rebound by Team
0:40.0,Loose ball foul by N. Vonleh (drawn by T. Hardaway),,35-14,,
0:40.0,,,35-15,1,T. Hardaway makes free throw 1 of 2
0:40.0,,,35-16,1,T. Hardaway makes free throw 2 of 2
0:33.0,C. McCollum makes 2-pt shot from 10 ft,2,37-16,,
0:29.0,,,37-16,,Shooting foul by E. Turner (drawn by T. Hardaway)
0:29.0,,,37-17,1,T. Hardaway makes free throw 1 of 3
0:29.0,,,37-17,,T. Hardaway misses free throw 2 of 3
0:29.0,,,37-17,,Offensive rebound by Team
0:29.0,,,37-18,1,T. Hardaway makes free throw 3 of 3
0:12.0,N. Vonleh makes 2-pt shot from 11 ft (assist by C. McCollum),2,39-18,,
0:12.0,,,39-18,,Shooting block foul by M. Delaney (drawn by N. Vonleh)
0:12.0,N. Vonleh makes free throw 1 of 1,1,40-18,,
0:02.0,,,40-18,,T. Hardaway misses 2-pt shot from 11 ft
0:01.0,Defensive rebound by N. Vonleh,,40-18,,
0:01.0,Turnover by N. Vonleh (lost ball),,40-18,,
0:00.0,,,40-18,,K. Bazemore misses 3-pt shot from 23 ft
0:00.0,,,40-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,40-20,2,D. Howard makes 2-pt shot at rim (assist by K. Bazemore)
11:25.0,E. Turner misses 2-pt shot from 17 ft,,40-20,,
11:24.0,,,40-20,,Defensive rebound by Team
11:14.0,,,40-20,,Shooting foul by J. Nurkic (drawn by D. Howard)
11:14.0,,,40-21,1,D. Howard makes free throw 1 of 2
11:14.0,,,40-21,,D. Howard misses free throw 2 of 2
11:11.0,Defensive rebound by E. Turner,,40-21,,
10:52.0,A. Crabbe misses 3-pt shot from 25 ft,,40-21,,
10:51.0,,,40-21,,Defensive rebound by D. Howard
10:43.0,,,40-24,3,T. Hardaway makes 3-pt shot from 26 ft (assist by M. Delaney)
10:21.0,C. McCollum misses 2-pt shot from 14 ft (block by D. Howard),,40-24,,
10:19.0,,,40-24,,Defensive rebound by D. Howard
10:17.0,,,40-24,,Turnover by T. Hardaway (bad pass)
10:08.0,Turnover by A. Aminu (bad pass; steal by D. Howard),,40-24,,
10:02.0,,,40-26,2,D. Howard makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
10:02.0,Portland full timeout,,40-26,,
9:55.0,,,40-26,,Personal foul by M. Delaney
9:47.0,A. Aminu makes 2-pt shot at rim (assist by J. Nurkic),2,42-26,,
9:31.0,,,42-26,,T. Hardaway misses 2-pt shot from 12 ft
9:30.0,Defensive rebound by A. Aminu,,42-26,,
9:22.0,J. Nurkic misses 2-pt shot from 21 ft,,42-26,,
9:20.0,,,42-26,,Defensive rebound by T. Waller-Prince
9:18.0,Personal foul by J. Nurkic (drawn by D. Howard),,42-26,,
9:07.0,,,42-28,2,T. Waller-Prince makes 2-pt shot from 14 ft (assist by D. Howard)
8:50.0,C. McCollum makes 2-pt shot from 20 ft,2,44-28,,
8:26.0,,,44-30,2,K. Bazemore makes 2-pt shot from 18 ft
8:11.0,J. Nurkic misses 2-pt shot from 10 ft,,44-30,,
8:10.0,,,44-30,,Defensive rebound by T. Waller-Prince
8:03.0,,,44-30,,T. Waller-Prince misses 2-pt shot from 2 ft (block by J. Nurkic)
8:03.0,,,44-30,,Offensive rebound by Team
8:03.0,M. Harkless enters the game for E. Turner,,44-30,,
8:00.0,,,44-32,2,M. Delaney makes 2-pt shot from 17 ft (assist by T. Hardaway)
7:44.0,Shooting foul by M. Delaney (drawn by A. Crabbe),,44-32,,
7:44.0,A. Crabbe makes free throw 1 of 2,1,45-32,,
7:44.0,A. Crabbe makes free throw 2 of 2,1,46-32,,
7:44.0,,,45-32,,D. Schroder enters the game for T. Hardaway
7:44.0,D. Lillard enters the game for C. McCollum,,45-32,,
7:27.0,,,46-32,,K. Bazemore misses 3-pt shot from 22 ft
7:25.0,Defensive rebound by Team,,46-32,,
7:08.0,M. Harkless misses 2-pt shot from 22 ft,,46-32,,
7:07.0,Offensive rebound by J. Nurkic,,46-32,,
7:07.0,J. Nurkic makes 2-pt shot from 1 ft,2,48-32,,
6:56.0,,,48-34,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
6:44.0,M. Harkless makes 2-pt shot at rim (assist by J. Nurkic),2,50-34,,
6:31.0,,,50-36,2,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Schroder)
6:16.0,D. Lillard misses 2-pt shot from 18 ft,,50-36,,
6:15.0,,,50-36,,Defensive rebound by T. Waller-Prince
6:07.0,,,50-36,,Turnover by D. Schroder (bad pass)
6:07.0,,,50-36,,T. Hardaway enters the game for M. Delaney
5:52.0,J. Nurkic misses 2-pt shot from 20 ft,,50-36,,
5:50.0,Offensive rebound by A. Aminu,,50-36,,
5:48.0,A. Aminu makes 2-pt shot at rim,2,52-36,,
5:33.0,,,52-36,,D. Schroder misses 2-pt shot from 15 ft
5:30.0,Defensive rebound by J. Nurkic,,52-36,,
5:25.0,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Harkless),3,55-36,,
5:24.0,,,55-36,,Atlanta full timeout
5:24.0,,,55-36,,T. Sefolosha enters the game for K. Bazemore
5:24.0,N. Vonleh enters the game for A. Aminu,,55-36,,
5:12.0,,,55-36,,Turnover by D. Howard (lost ball; steal by J. Nurkic)
5:12.0,Turnover by J. Nurkic (step out of bounds),,55-36,,
5:05.0,,,55-36,,T. Waller-Prince misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by A. Crabbe,,55-36,,
4:48.0,N. Vonleh misses 2-pt shot at rim,,55-36,,
4:44.0,,,55-36,,Defensive rebound by T. Sefolosha
4:31.0,,,55-36,,D. Howard misses 2-pt shot at rim
4:29.0,Defensive rebound by N. Vonleh,,55-36,,
4:15.0,M. Harkless makes 2-pt shot from 7 ft,2,57-36,,
3:58.0,,,57-36,,Turnover by D. Schroder (lost ball; steal by D. Lillard)
3:47.0,A. Crabbe misses 3-pt shot from 23 ft,,57-36,,
3:45.0,,,57-36,,Defensive rebound by T. Sefolosha
3:31.0,,,57-36,,Shooting foul by N. Vonleh (drawn by T. Waller-Prince)
3:31.0,,,57-37,1,T. Waller-Prince makes free throw 1 of 3
3:31.0,,,57-38,1,T. Waller-Prince makes free throw 2 of 3
3:31.0,,,57-38,,T. Waller-Prince misses free throw 3 of 3
3:31.0,C. McCollum enters the game for A. Crabbe,,57-38,,
3:31.0,,,57-38,,M. Delaney enters the game for D. Schroder
3:30.0,Defensive rebound by J. Nurkic,,57-38,,
3:20.0,D. Lillard misses 2-pt shot from 1 ft (block by T. Waller-Prince),,57-38,,
3:20.0,Offensive rebound by Team,,57-38,,
3:20.0,,,57-38,,K. Bazemore enters the game for T. Waller-Prince
3:12.0,Turnover by N. Vonleh (offensive goaltending),,57-38,,
3:01.0,,,57-40,2,T. Hardaway makes 2-pt shot from 18 ft (assist by M. Delaney)
2:48.0,Turnover by N. Vonleh (bad pass; steal by D. Howard),,57-40,,
2:42.0,,,57-40,,Turnover by T. Sefolosha (lost ball)
2:42.0,Official timeout,,57-40,,
2:42.0,A. Aminu enters the game for N. Vonleh,,57-40,,
2:19.0,C. McCollum misses 2-pt shot from 5 ft,,57-40,,
2:18.0,Offensive rebound by Team,,57-40,,
2:18.0,Turnover by Team (shot clock),,57-40,,
2:06.0,,,57-40,,T. Hardaway misses 2-pt shot from 18 ft
2:04.0,Defensive rebound by A. Aminu,,57-40,,
1:50.0,C. McCollum makes 2-pt shot from 17 ft,2,59-40,,
1:41.0,,,59-42,2,D. Howard makes 2-pt shot at rim (assist by T. Hardaway)
1:19.0,C. McCollum makes 2-pt shot from 14 ft,2,61-42,,
1:03.0,,,61-44,2,K. Bazemore makes 2-pt shot from 1 ft
0:46.0,J. Nurkic misses 2-pt shot from 5 ft (block by T. Sefolosha),,61-44,,
0:43.0,,,61-44,,Defensive rebound by T. Hardaway
0:38.0,,,61-44,,T. Hardaway misses 2-pt shot from 2 ft
0:36.0,Defensive rebound by C. McCollum,,61-44,,
0:31.0,C. McCollum misses 2-pt shot from 1 ft,,61-44,,
0:30.0,Offensive rebound by M. Harkless,,61-44,,
0:30.0,Shooting foul by T. Sefolosha (drawn by M. Harkless),,61-44,,
0:30.0,,,61-44,,Technical foul by T. Hardaway
0:30.0,D. Lillard makes technical free throw,1,62-44,,
0:30.0,M. Harkless misses free throw 1 of 2,,62-44,,
0:30.0,Offensive rebound by Team,,62-44,,
0:30.0,M. Harkless makes free throw 2 of 2,1,63-44,,
0:30.0,,,62-44,,T. Waller-Prince enters the game for M. Delaney
0:30.0,,,62-44,,E. Ilyasova enters the game for T. Sefolosha
0:20.0,,,63-46,2,K. Bazemore makes 2-pt shot from 16 ft
0:20.0,Portland full timeout,,63-46,,
0:20.0,A. Crabbe enters the game for A. Aminu,,63-46,,
0:20.0,,,63-46,,T. Sefolosha enters the game for D. Howard
0:01.0,Turnover by D. Lillard (lost ball; steal by T. Sefolosha),,63-46,,
0:01.0,Jump ball: D. Lillard vs. T. Sefolosha (K. Bazemore gains possession),,,,Jump ball: D. Lillard vs. T. Sefolosha (K. Bazemore gains possession)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,63-46,,D. Schroder misses 2-pt shot from 2 ft (block by J. Nurkic)
11:43.0,,,63-46,,Offensive rebound by Team
11:36.0,,,63-46,,D. Schroder misses 2-pt shot from 9 ft
11:33.0,,,63-46,,Offensive rebound by T. Sefolosha
11:24.0,,,63-46,,T. Sefolosha misses 2-pt shot from 5 ft (block by J. Nurkic)
11:22.0,Defensive rebound by N. Vonleh,,63-46,,
11:20.0,Jump ball: T. Sefolosha vs. N. Vonleh,,,,Jump ball: T. Sefolosha vs. N. Vonleh
11:12.0,,,63-46,,T. Sefolosha misses 2-pt shot from 18 ft
11:10.0,,,63-46,,Offensive rebound by D. Howard
11:09.0,,,63-48,2,D. Howard makes 2-pt shot from 1 ft
10:48.0,C. McCollum misses 2-pt shot from 12 ft,,63-48,,
10:47.0,Offensive rebound by C. McCollum,,63-48,,
10:40.0,D. Lillard makes 2-pt shot from 12 ft,2,65-48,,
10:26.0,,,65-51,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Schroder)
10:04.0,C. McCollum makes 2-pt shot from 20 ft,2,67-51,,
9:49.0,Personal foul by C. McCollum,,67-51,,
9:38.0,,,67-53,2,E. Ilyasova makes 2-pt shot from 22 ft
9:18.0,J. Nurkic misses 2-pt shot from 8 ft,,67-53,,
9:16.0,Offensive rebound by J. Nurkic,,67-53,,
9:16.0,J. Nurkic makes 2-pt shot from 1 ft,2,69-53,,
9:11.0,Personal foul by M. Harkless (drawn by T. Sefolosha),,69-53,,
9:02.0,,,69-53,,Shooting foul by C. McCollum (drawn by E. Ilyasova)
9:02.0,,,69-53,,E. Ilyasova misses free throw 1 of 2
9:02.0,,,69-53,,Offensive rebound by Team
9:02.0,,,69-54,1,E. Ilyasova makes free throw 2 of 2
8:42.0,M. Harkless misses 2-pt shot from 11 ft (block by K. Bazemore),,69-54,,
8:42.0,Offensive rebound by Team,,69-54,,
8:39.0,N. Vonleh misses 2-pt shot from 20 ft,,69-54,,
8:38.0,,,69-54,,Defensive rebound by D. Schroder
8:32.0,,,69-54,,K. Bazemore misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by J. Nurkic,,69-54,,
8:15.0,N. Vonleh misses 2-pt shot from 6 ft,,69-54,,
8:14.0,Offensive rebound by N. Vonleh,,69-54,,
8:14.0,Shooting foul by K. Bazemore (drawn by N. Vonleh),,69-54,,
8:14.0,N. Vonleh misses free throw 1 of 2,,69-54,,
8:14.0,Offensive rebound by Team,,69-54,,
8:14.0,N. Vonleh makes free throw 2 of 2,1,70-54,,
8:06.0,,,70-56,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by D. Schroder)
8:06.0,,,70-56,,Shooting foul by J. Nurkic (drawn by E. Ilyasova)
8:06.0,,,70-57,1,E. Ilyasova makes free throw 1 of 1
7:42.0,C. McCollum makes 2-pt shot from 15 ft,2,72-57,,
7:26.0,,,72-57,,Turnover by D. Howard (lost ball)
7:26.0,,,72-57,,Technical foul by D. Howard
7:26.0,D. Lillard makes technical free throw,1,73-57,,
7:26.0,A. Aminu enters the game for N. Vonleh,,72-57,,
7:26.0,,,73-57,,T. Hardaway enters the game for K. Bazemore
7:13.0,D. Lillard misses 2-pt shot from 10 ft,,73-57,,
7:11.0,,,73-57,,Defensive rebound by E. Ilyasova
6:58.0,,,73-59,2,D. Schroder makes 2-pt shot from 1 ft
6:43.0,C. McCollum misses 2-pt shot from 15 ft,,73-59,,
6:40.0,,,73-59,,Defensive rebound by D. Howard
6:34.0,,,73-59,,D. Schroder misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by C. McCollum,,73-59,,
6:26.0,D. Lillard misses 2-pt shot from 1 ft,,73-59,,
6:26.0,,,73-59,,Defensive rebound by Team
6:26.0,Loose ball foul by A. Aminu (drawn by E. Ilyasova),,73-59,,
6:26.0,,,73-60,1,E. Ilyasova makes free throw 1 of 2
6:26.0,,,73-60,,E. Ilyasova misses free throw 2 of 2
6:24.0,Defensive rebound by A. Aminu,,73-60,,
6:13.0,Turnover by A. Aminu (traveling),,73-60,,
6:00.0,,,73-60,,T. Sefolosha misses 3-pt shot from 23 ft
5:58.0,Defensive rebound by C. McCollum,,73-60,,
5:47.0,D. Lillard misses 3-pt shot from 24 ft,,73-60,,
5:45.0,,,73-60,,Defensive rebound by D. Howard
5:33.0,,,73-60,,Turnover by T. Hardaway (bad pass; steal by M. Harkless)
5:25.0,M. Harkless makes 2-pt shot from 2 ft (assist by C. McCollum),2,75-60,,
5:25.0,,,75-60,,Atlanta full timeout
5:25.0,A. Crabbe enters the game for C. McCollum,,75-60,,
5:25.0,,,75-60,,K. Bazemore enters the game for T. Sefolosha
5:25.0,,,75-60,,T. Waller-Prince enters the game for E. Ilyasova
5:09.0,,,75-60,,K. Bazemore misses 2-pt shot from 1 ft (block by J. Nurkic)
5:06.0,Defensive rebound by A. Crabbe,,75-60,,
5:02.0,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard),3,78-60,,
4:47.0,,,78-60,,Turnover by T. Waller-Prince (bad pass; steal by J. Nurkic)
4:43.0,Turnover by J. Nurkic (lost ball; steal by D. Howard),,78-60,,
4:41.0,,,78-62,2,D. Howard makes 2-pt shot at rim (assist by K. Bazemore)
4:41.0,,,78-62,,Shooting foul by D. Lillard (drawn by D. Howard)
4:41.0,,,78-63,1,D. Howard makes free throw 1 of 1
4:21.0,Turnover by J. Nurkic (lost ball; steal by D. Howard),,78-63,,
4:15.0,,,78-63,,T. Hardaway misses 2-pt shot from 1 ft
4:14.0,,,78-63,,Offensive rebound by D. Howard
4:14.0,,,78-63,,D. Howard misses 2-pt shot at rim
4:12.0,Defensive rebound by D. Lillard,,78-63,,
4:07.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard),3,81-63,,
3:50.0,N. Vonleh enters the game for J. Nurkic,,81-63,,
3:50.0,,,81-63,,E. Ilyasova enters the game for D. Howard
3:37.0,,,81-63,,K. Bazemore misses 3-pt shot from 23 ft
3:35.0,Defensive rebound by N. Vonleh,,81-63,,
3:28.0,,,81-63,,Personal foul by E. Ilyasova (drawn by D. Lillard)
3:28.0,E. Turner enters the game for M. Harkless,,81-63,,
3:21.0,D. Lillard misses 2-pt shot from 2 ft (block by E. Ilyasova),,81-63,,
3:21.0,Offensive rebound by Team,,81-63,,
3:14.0,D. Lillard misses 2-pt shot from 9 ft,,81-63,,
3:11.0,,,81-63,,Defensive rebound by T. Waller-Prince
3:06.0,,,81-63,,Shooting foul by A. Crabbe (drawn by T. Hardaway)
3:06.0,Portland full timeout,,81-63,,
3:06.0,,,81-64,1,T. Hardaway makes free throw 1 of 2
3:06.0,,,81-65,1,T. Hardaway makes free throw 2 of 2
3:06.0,,,81-63,,M. Delaney enters the game for D. Schroder
2:46.0,A. Aminu makes 2-pt shot from 6 ft,2,83-65,,
2:23.0,,,83-65,,T. Hardaway misses 2-pt shot from 2 ft
2:22.0,,,83-65,,Offensive rebound by T. Hardaway
2:22.0,,,83-67,2,T. Hardaway makes 2-pt shot at rim
2:03.0,E. Turner misses 2-pt shot from 14 ft (block by T. Waller-Prince),,83-67,,
2:03.0,,,83-67,,Defensive rebound by T. Waller-Prince
2:03.0,Personal foul by E. Turner (drawn by T. Waller-Prince),,83-67,,
2:03.0,,,83-68,1,T. Waller-Prince makes free throw 1 of 2
2:03.0,,,83-69,1,T. Waller-Prince makes free throw 2 of 2
1:49.0,Turnover by A. Crabbe (traveling),,83-69,,
1:49.0,C. McCollum enters the game for D. Lillard,,83-69,,
1:39.0,,,83-71,2,T. Hardaway makes 2-pt shot from 1 ft
1:23.0,,,83-71,,Violation by T. Waller-Prince (kicked ball)
1:18.0,C. McCollum misses 2-pt shot from 18 ft,,83-71,,
1:15.0,,,83-71,,Defensive rebound by E. Ilyasova
1:04.0,,,83-71,,T. Hardaway misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by E. Turner,,83-71,,
0:48.0,A. Crabbe makes 2-pt shot from 5 ft (assist by E. Turner),2,85-71,,
0:30.0,,,85-71,,Shooting foul by N. Vonleh (drawn by T. Hardaway)
0:30.0,,,85-72,1,T. Hardaway makes free throw 1 of 2
0:30.0,,,85-73,1,T. Hardaway makes free throw 2 of 2
0:11.0,C. McCollum misses 3-pt shot from 26 ft,,85-73,,
0:10.0,Offensive rebound by E. Turner,,85-73,,
0:03.0,E. Turner misses 2-pt shot from 1 ft,,85-73,,
0:02.0,Offensive rebound by E. Turner,,85-73,,
0:02.0,E. Turner misses 2-pt shot from 1 ft,,85-73,,
0:02.0,Offensive rebound by E. Turner,,85-73,,
0:01.0,E. Turner misses 2-pt shot at rim,,85-73,,
0:01.0,Offensive rebound by E. Turner,,85-73,,
0:01.0,E. Turner misses 2-pt shot at rim,,85-73,,
0:01.0,Offensive rebound by N. Vonleh,,85-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,E. Turner makes 2-pt shot from 1 ft,2,87-73,,
11:21.0,,,87-73,,Turnover by M. Delaney (bad pass; steal by A. Crabbe)
11:13.0,C. McCollum misses 2-pt shot from 19 ft,,87-73,,
11:08.0,Offensive rebound by N. Vonleh,,87-73,,
11:07.0,Turnover by N. Vonleh (bad pass; steal by E. Ilyasova),,87-73,,
11:04.0,,,87-73,,E. Ilyasova misses 2-pt shot from 8 ft
11:01.0,Defensive rebound by A. Aminu,,87-73,,
10:44.0,A. Crabbe misses 2-pt shot from 22 ft,,87-73,,
10:43.0,,,87-73,,Defensive rebound by E. Ilyasova
10:36.0,,,87-76,3,T. Hardaway makes 3-pt shot from 25 ft (assist by E. Ilyasova)
10:17.0,N. Vonleh makes 2-pt shot at rim (assist by E. Turner),2,89-76,,
9:56.0,M. Leonard enters the game for N. Vonleh,,89-76,,
9:56.0,,,89-76,,D. Howard enters the game for E. Ilyasova
9:51.0,,,89-78,2,M. Delaney makes 2-pt shot from 19 ft
9:31.0,C. McCollum makes 2-pt shot from 1 ft,2,91-78,,
9:31.0,,,91-78,,Atlanta full timeout
9:31.0,,,91-78,,D. Schroder enters the game for K. Bazemore
9:19.0,,,91-80,2,T. Hardaway makes 2-pt shot from 15 ft (assist by T. Waller-Prince)
9:02.0,C. McCollum makes 2-pt shot from 14 ft,2,93-80,,
8:46.0,,,93-80,,T. Waller-Prince misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by A. Crabbe,,93-80,,
8:30.0,M. Leonard misses 3-pt shot from 25 ft,,93-80,,
8:29.0,,,93-80,,Defensive rebound by D. Schroder
8:22.0,,,93-80,,T. Hardaway misses 3-pt shot from 24 ft
8:22.0,Defensive rebound by Team,,93-80,,
8:22.0,D. Lillard enters the game for C. McCollum,,93-80,,
8:04.0,M. Leonard makes 2-pt shot from 17 ft (assist by D. Lillard),2,95-80,,
7:43.0,,,95-80,,M. Delaney misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by E. Turner,,95-80,,
7:36.0,D. Lillard makes 3-pt shot from 27 ft (assist by E. Turner),3,98-80,,
7:21.0,,,98-80,,D. Schroder misses 2-pt shot from 11 ft
7:20.0,Defensive rebound by M. Leonard,,98-80,,
7:12.0,A. Crabbe misses 3-pt shot from 25 ft,,98-80,,
7:11.0,,,98-80,,Defensive rebound by D. Howard
