time,Atlanta,pts.away,score,pts.home,Charlotte
7:00.0,,,8-14,,M. Williams misses 2-pt shot from 6 ft
6:58.0,Defensive rebound by D. Howard,,8-14,,
6:47.0,M. Muscala misses 2-pt shot from 12 ft,,8-14,,
6:47.0,Offensive rebound by Team,,8-14,,
6:41.0,D. Schroder misses 3-pt shot from 24 ft,,8-14,,
6:40.0,,,8-14,,Defensive rebound by K. Walker
6:33.0,,,8-16,2,C. Zeller makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist)
6:22.0,D. Howard makes 2-pt shot from 2 ft (assist by D. Schroder),2,10-16,,
6:07.0,,,10-18,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
5:55.0,Turnover by M. Muscala (bad pass; steal by M. Kidd-Gilchrist),,10-18,,
5:49.0,,,10-18,,K. Walker misses 3-pt shot from 25 ft
5:47.0,,,10-18,,Offensive rebound by M. Kidd-Gilchrist
5:43.0,,,10-18,,K. Walker misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by D. Howard,,10-18,,
5:28.0,K. Bazemore makes 3-pt shot from 26 ft (assist by M. Muscala),3,13-18,,
5:17.0,,,13-21,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
5:00.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Bazemore),2,15-21,,
4:45.0,,,15-23,2,C. Zeller makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist)
4:22.0,Shooting foul by C. Zeller (drawn by D. Howard),,15-23,,
4:22.0,D. Howard misses free throw 1 of 2,,15-23,,
4:22.0,Offensive rebound by Team,,15-23,,
4:22.0,D. Howard misses free throw 2 of 2,,15-23,,
4:22.0,T. Hardaway enters the game for K. Korver,,15-23,,
4:22.0,,,15-23,,M. Belinelli enters the game for M. Williams
4:22.0,,,15-23,,F. Kaminsky enters the game for M. Kidd-Gilchrist
4:21.0,,,15-23,,Defensive rebound by K. Walker
4:10.0,Personal foul by K. Bazemore (drawn by N. Batum),,15-23,,
4:10.0,M. Delaney enters the game for D. Schroder,,15-23,,
4:10.0,T. Waller-Prince enters the game for K. Bazemore,,15-23,,
3:58.0,,,15-23,,N. Batum misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by Team,,15-23,,
3:44.0,M. Muscala makes 3-pt shot from 24 ft (assist by M. Delaney),3,18-23,,
3:27.0,,,18-25,2,C. Zeller makes 2-pt shot from 5 ft (assist by N. Batum)
3:10.0,T. Waller-Prince makes 2-pt shot from 8 ft (assist by M. Delaney),2,20-25,,
2:55.0,,,20-25,,F. Kaminsky misses 2-pt shot from 6 ft
2:54.0,Defensive rebound by M. Muscala,,20-25,,
2:47.0,Turnover by M. Delaney (traveling),,20-25,,
2:47.0,,,20-25,,Charlotte full timeout
2:47.0,P. Millsap enters the game for D. Howard,,20-25,,
2:47.0,,,20-25,,R. Hibbert enters the game for C. Zeller
2:33.0,,,20-27,2,N. Batum makes 2-pt shot from 7 ft
2:18.0,T. Hardaway misses 3-pt shot from 25 ft,,20-27,,
2:17.0,,,20-27,,Defensive rebound by N. Batum
2:03.0,,,20-27,,M. Belinelli misses 2-pt shot from 17 ft
2:02.0,Defensive rebound by T. Hardaway,,20-27,,
1:43.0,P. Millsap makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,22-27,,
1:29.0,,,22-27,,F. Kaminsky misses 2-pt shot from 7 ft
1:28.0,Defensive rebound by M. Muscala,,22-27,,
1:22.0,M. Delaney makes 2-pt shot from 18 ft,2,24-27,,
1:06.0,,,24-27,,K. Walker misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by T. Waller-Prince,,24-27,,
1:01.0,Turnover by T. Waller-Prince (bad pass; steal by K. Walker),,24-27,,
0:43.0,,,24-27,,K. Walker misses 2-pt shot from 18 ft
0:41.0,Defensive rebound by M. Muscala,,24-27,,
0:32.0,M. Muscala makes 2-pt shot from 19 ft (assist by M. Delaney),2,26-27,,
0:11.0,,,26-29,2,N. Batum makes 2-pt shot from 21 ft (assist by F. Kaminsky)
0:00.0,M. Delaney makes 2-pt shot from 20 ft,2,28-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,28-29,,F. Kaminsky misses 3-pt shot from 25 ft
11:39.0,,,28-29,,Offensive rebound by R. Hibbert
11:37.0,,,28-29,,Turnover by M. Kidd-Gilchrist (lost ball; steal by M. Delaney)
11:24.0,T. Hardaway misses 2-pt shot from 18 ft,,28-29,,
11:24.0,Offensive rebound by Team,,28-29,,
11:24.0,,,28-29,,Loose ball foul by M. Kidd-Gilchrist (drawn by K. Humphries)
11:19.0,M. Delaney misses 2-pt shot from 18 ft,,28-29,,
11:18.0,,,28-29,,Defensive rebound by M. Kidd-Gilchrist
11:06.0,,,28-32,3,R. Sessions makes 3-pt shot from 25 ft (assist by F. Kaminsky)
10:54.0,,,28-32,,Personal foul by R. Sessions (drawn by M. Delaney)
10:54.0,K. Korver enters the game for T. Hardaway,,28-32,,
10:39.0,K. Humphries misses 2-pt shot from 2 ft,,28-32,,
10:38.0,,,28-32,,Defensive rebound by R. Hibbert
10:31.0,,,28-32,,Shooting foul by M. Delaney (drawn by R. Sessions)
10:31.0,,,28-33,1,R. Sessions makes free throw 1 of 2
10:31.0,,,28-33,,R. Sessions misses free throw 2 of 2
10:30.0,Defensive rebound by K. Humphries,,28-33,,
10:15.0,P. Millsap makes 2-pt shot from 11 ft,2,30-33,,
10:04.0,,,30-33,,Turnover by R. Sessions (traveling)
9:58.0,,,30-33,,Personal foul by R. Hibbert (drawn by T. Waller-Prince)
9:45.0,P. Millsap misses 2-pt shot from 17 ft,,30-33,,
9:43.0,,,30-33,,Defensive rebound by F. Kaminsky
9:33.0,,,30-35,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by F. Kaminsky)
9:12.0,K. Humphries makes 3-pt shot from 25 ft (assist by M. Delaney),3,33-35,,
8:57.0,,,33-35,,M. Belinelli misses 2-pt shot from 18 ft
8:56.0,Defensive rebound by P. Millsap,,33-35,,
8:48.0,Turnover by P. Millsap (lost ball; steal by F. Kaminsky),,33-35,,
8:39.0,,,33-37,2,F. Kaminsky makes 2-pt shot from 6 ft
8:25.0,Turnover by K. Humphries (bad pass; steal by F. Kaminsky),,33-37,,
8:12.0,,,33-37,,F. Kaminsky misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by K. Humphries,,33-37,,
7:49.0,P. Millsap makes 2-pt shot from 15 ft (assist by K. Humphries),2,35-37,,
7:31.0,,,35-37,,Shooting foul by T. Waller-Prince (drawn by M. Belinelli)
7:31.0,Official timeout,,35-37,,
7:31.0,,,35-37,,M. Belinelli misses free throw 1 of 2
7:31.0,,,35-37,,Offensive rebound by Team
7:31.0,,,35-38,1,M. Belinelli makes free throw 2 of 2
7:31.0,,,35-37,,M. Williams enters the game for F. Kaminsky
7:31.0,K. Bazemore enters the game for M. Delaney,,35-37,,
7:31.0,D. Howard enters the game for T. Waller-Prince,,35-37,,
7:31.0,D. Schroder enters the game for K. Humphries,,35-37,,
7:17.0,K. Korver misses 2-pt shot from 19 ft,,35-38,,
7:16.0,,,35-38,,Defensive rebound by M. Williams
7:10.0,,,35-38,,M. Belinelli misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by D. Howard,,35-38,,
6:54.0,P. Millsap makes 2-pt shot from 9 ft,2,37-38,,
6:39.0,,,37-38,,Turnover by M. Belinelli (lost ball; steal by K. Bazemore)
6:33.0,D. Schroder makes 2-pt shot from 1 ft (assist by K. Bazemore),2,39-38,,
6:22.0,,,39-38,,R. Sessions misses 2-pt shot from 11 ft
6:21.0,,,39-38,,Offensive rebound by Team
6:21.0,M. Muscala enters the game for P. Millsap,,39-38,,
6:17.0,,,39-40,2,M. Williams makes 2-pt shot from 10 ft (assist by M. Belinelli)
5:53.0,D. Howard misses 2-pt shot from 9 ft,,39-40,,
5:51.0,,,39-40,,Defensive rebound by M. Williams
5:41.0,,,39-40,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by D. Howard)
5:39.0,Defensive rebound by D. Howard,,39-40,,
5:20.0,D. Howard misses 2-pt shot from 17 ft,,39-40,,
5:16.0,,,39-40,,Defensive rebound by M. Williams
5:10.0,,,39-40,,R. Hibbert misses 2-pt shot from 5 ft
5:09.0,Defensive rebound by D. Howard,,39-40,,
4:57.0,K. Korver makes 2-pt shot from 17 ft (assist by M. Muscala),2,41-40,,
4:50.0,,,41-40,,Charlotte full timeout
4:50.0,,,41-40,,C. Zeller enters the game for M. Kidd-Gilchrist
4:50.0,,,41-40,,K. Walker enters the game for R. Hibbert
4:31.0,,,41-42,2,C. Zeller makes 2-pt shot from 20 ft (assist by M. Belinelli)
4:31.0,,,41-42,,Loose ball foul by M. Williams (drawn by K. Bazemore)
4:17.0,Turnover by K. Bazemore (lost ball; steal by M. Belinelli),,41-42,,
4:02.0,,,41-42,,Turnover by C. Zeller (bad pass; steal by D. Howard)
3:58.0,,,41-42,,Violation by C. Zeller (def goaltending)
3:58.0,D. Schroder makes 2-pt shot from 2 ft,2,43-42,,
3:40.0,,,43-42,,C. Zeller misses 2-pt shot from 6 ft
3:39.0,Defensive rebound by D. Howard,,43-42,,
3:34.0,,,43-42,,Violation by R. Sessions (kicked ball)
3:34.0,,,43-42,,M. Kidd-Gilchrist enters the game for M. Belinelli
3:34.0,,,43-42,,N. Batum enters the game for R. Sessions
3:26.0,D. Schroder misses 3-pt shot from 27 ft,,43-42,,
3:24.0,,,43-42,,Defensive rebound by N. Batum
3:05.0,,,43-42,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
3:04.0,Defensive rebound by D. Howard,,43-42,,
2:52.0,D. Howard misses 2-pt shot from 2 ft,,43-42,,
2:51.0,Offensive rebound by M. Muscala,,43-42,,
2:37.0,K. Bazemore makes 2-pt shot from 13 ft,2,45-42,,
2:20.0,,,45-42,,K. Walker misses 2-pt shot from 18 ft
2:19.0,,,45-42,,Offensive rebound by Team
2:19.0,Atlanta full timeout,,45-42,,
2:19.0,T. Hardaway enters the game for K. Korver,,45-42,,
2:19.0,P. Millsap enters the game for M. Muscala,,45-42,,
2:14.0,,,45-44,2,N. Batum makes 2-pt shot from 18 ft (assist by M. Williams)
2:03.0,Turnover by K. Bazemore (bad pass),,45-44,,
1:51.0,,,45-44,,Turnover by N. Batum (bad pass; steal by D. Schroder)
1:48.0,K. Bazemore misses 2-pt shot from 3 ft,,45-44,,
1:47.0,Offensive rebound by Team,,45-44,,
1:28.0,P. Millsap misses 2-pt shot from 12 ft,,45-44,,
1:28.0,,,45-44,,Defensive rebound by Team
1:28.0,Loose ball foul by D. Howard (drawn by K. Walker),,45-44,,
1:17.0,,,45-44,,K. Walker misses 2-pt shot from 1 ft
1:17.0,,,45-44,,Offensive rebound by Team
1:17.0,Loose ball foul by P. Millsap (drawn by K. Walker),,45-44,,
1:17.0,,,45-45,1,C. Zeller makes free throw 1 of 2
1:17.0,,,45-45,,C. Zeller misses free throw 2 of 2
1:15.0,Defensive rebound by P. Millsap,,45-45,,
1:02.0,Turnover by D. Howard (3 sec),,45-45,,
1:02.0,T. Waller-Prince enters the game for K. Bazemore,,45-45,,
0:45.0,,,45-48,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
0:27.0,T. Waller-Prince misses 2-pt shot from 11 ft (block by C. Zeller),,45-48,,
0:25.0,,,45-48,,Defensive rebound by N. Batum
0:06.0,,,45-48,,K. Walker misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by D. Howard,,45-48,,
0:00.0,T. Hardaway misses 3-pt shot from 31 ft,,45-48,,
0:00.0,Offensive rebound by Team,,45-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,45-48,,Turnover by N. Batum (bad pass; steal by D. Howard)
11:44.0,D. Schroder makes 2-pt shot from 1 ft (assist by P. Millsap),2,47-48,,
11:26.0,,,47-48,,Turnover by K. Walker (lost ball; steal by K. Bazemore)
11:24.0,,,47-48,,Personal foul by C. Zeller (drawn by K. Bazemore)
11:21.0,K. Bazemore makes 2-pt shot at rim (assist by K. Korver),2,49-48,,
11:08.0,,,49-50,2,C. Zeller makes 2-pt shot from 5 ft (assist by K. Walker)
10:55.0,D. Schroder makes 2-pt shot from 19 ft (assist by D. Howard),2,51-50,,
10:40.0,,,51-52,2,K. Walker makes 2-pt shot from 11 ft
10:26.0,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder),3,54-52,,
10:12.0,,,54-52,,K. Walker misses 2-pt shot from 16 ft
10:08.0,Defensive rebound by D. Howard,,54-52,,
9:53.0,Shooting foul by M. Williams (drawn by D. Howard),,54-52,,
9:53.0,D. Howard makes free throw 1 of 2,1,55-52,,
9:53.0,D. Howard misses free throw 2 of 2,,55-52,,
9:51.0,,,55-52,,Defensive rebound by M. Williams
9:33.0,,,55-52,,M. Williams misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by D. Howard,,55-52,,
9:23.0,P. Millsap makes 2-pt shot from 14 ft,2,57-52,,
9:06.0,,,57-52,,N. Batum misses 2-pt shot from 15 ft
9:05.0,Defensive rebound by P. Millsap,,57-52,,
8:55.0,,,57-52,,Personal foul by M. Williams (drawn by P. Millsap)
8:51.0,K. Bazemore makes 2-pt shot from 1 ft (assist by K. Korver),2,59-52,,
8:46.0,,,59-52,,Charlotte full timeout
8:35.0,,,59-52,,M. Williams misses 2-pt shot from 10 ft
8:34.0,,,59-52,,Offensive rebound by M. Williams
8:31.0,,,59-52,,N. Batum misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by D. Howard,,59-52,,
8:22.0,D. Schroder misses 2-pt shot from 15 ft,,59-52,,
8:21.0,,,59-52,,Defensive rebound by M. Williams
8:10.0,,,59-52,,K. Walker misses 2-pt shot from 19 ft
8:08.0,Defensive rebound by D. Schroder,,59-52,,
7:57.0,P. Millsap makes 2-pt shot from 1 ft,2,61-52,,
7:46.0,,,61-55,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
7:32.0,K. Bazemore misses 3-pt shot from 25 ft,,61-55,,
7:30.0,Offensive rebound by P. Millsap,,61-55,,
7:25.0,D. Schroder misses 3-pt shot from 24 ft,,61-55,,
7:24.0,,,61-55,,Defensive rebound by N. Batum
7:15.0,,,61-55,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by D. Howard)
7:12.0,,,61-55,,Offensive rebound by N. Batum
7:12.0,,,61-57,2,N. Batum makes 2-pt shot from 7 ft
6:51.0,D. Schroder makes 2-pt shot from 2 ft,2,63-57,,
6:34.0,Def 3 sec tech foul by D. Howard,,63-57,,
6:34.0,,,63-57,,K. Walker misses technical free throw
6:34.0,,,63-57,,Offensive rebound by Team
6:34.0,Def 3 sec tech foul by D. Howard,,63-57,,
6:34.0,,,63-57,,K. Walker misses technical free throw
6:34.0,,,63-57,,Offensive rebound by Team
6:34.0,M. Muscala enters the game for P. Millsap,,63-57,,
6:29.0,,,63-57,,N. Batum misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by D. Howard,,63-57,,
6:19.0,D. Schroder misses 3-pt shot from 25 ft,,63-57,,
6:18.0,,,63-57,,Defensive rebound by M. Kidd-Gilchrist
6:03.0,,,63-57,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
6:02.0,,,63-57,,Offensive rebound by C. Zeller
5:58.0,,,63-60,3,M. Williams makes 3-pt shot from 25 ft (assist by C. Zeller)
5:49.0,Offensive foul by K. Korver,,63-60,,
5:49.0,Turnover by K. Korver (offensive foul),,63-60,,
5:35.0,,,63-62,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
5:12.0,Turnover by K. Bazemore (bad pass; steal by C. Zeller),,63-62,,
5:07.0,,,63-64,2,K. Walker makes 2-pt shot from 3 ft (assist by M. Kidd-Gilchrist)
5:07.0,Atlanta full timeout,,63-64,,
5:07.0,,,63-64,,M. Belinelli enters the game for M. Kidd-Gilchrist
5:07.0,,,63-64,,F. Kaminsky enters the game for M. Williams
5:07.0,T. Hardaway enters the game for K. Korver,,63-64,,
4:51.0,K. Bazemore makes 2-pt shot at rim,2,65-64,,
4:31.0,,,65-64,,Shooting foul by K. Bazemore (drawn by N. Batum)
4:31.0,,,65-65,1,N. Batum makes free throw 1 of 2
4:31.0,,,65-66,1,N. Batum makes free throw 2 of 2
4:11.0,T. Hardaway makes 2-pt shot at rim (assist by D. Howard),2,67-66,,
3:59.0,,,67-66,,N. Batum misses 2-pt shot from 13 ft (block by K. Bazemore)
3:59.0,,,67-66,,Offensive rebound by Team
3:59.0,M. Delaney enters the game for D. Schroder,,67-66,,
3:59.0,T. Waller-Prince enters the game for K. Bazemore,,67-66,,
3:51.0,,,67-68,2,F. Kaminsky makes 2-pt shot at rim
3:35.0,M. Muscala makes 2-pt shot from 1 ft (assist by M. Delaney),2,69-68,,
3:35.0,Shooting foul by C. Zeller (drawn by M. Muscala),,69-68,,
3:35.0,M. Muscala makes free throw 1 of 1,1,70-68,,
3:21.0,,,70-68,,Turnover by N. Batum (bad pass; steal by T. Waller-Prince)
3:16.0,T. Hardaway makes 2-pt shot from 1 ft (assist by M. Delaney),2,72-68,,
2:59.0,,,72-70,2,K. Walker makes 2-pt shot from 22 ft
2:44.0,M. Delaney misses 3-pt shot from 25 ft,,72-70,,
2:43.0,,,72-70,,Defensive rebound by M. Belinelli
2:39.0,Violation by M. Delaney (def goaltending),,72-70,,
2:39.0,,,72-72,2,K. Walker makes 2-pt shot at rim (assist by M. Belinelli)
2:24.0,M. Muscala makes 3-pt shot from 24 ft (assist by M. Delaney),3,75-72,,
2:13.0,,,75-72,,Shooting foul by M. Delaney (drawn by K. Walker)
2:13.0,,,75-72,,K. Walker misses free throw 1 of 2
2:13.0,,,75-72,,Offensive rebound by Team
2:13.0,,,75-73,1,K. Walker makes free throw 2 of 2
2:13.0,,,75-72,,R. Hibbert enters the game for C. Zeller
2:13.0,P. Millsap enters the game for D. Howard,,75-72,,
1:59.0,M. Muscala misses 3-pt shot from 24 ft,,75-73,,
1:58.0,,,75-73,,Defensive rebound by K. Walker
1:58.0,Personal foul by M. Muscala (drawn by R. Hibbert),,75-73,,
1:58.0,,,75-73,,R. Sessions enters the game for K. Walker
1:48.0,,,75-73,,F. Kaminsky misses 3-pt shot from 26 ft
1:47.0,Defensive rebound by M. Delaney,,75-73,,
1:42.0,T. Hardaway makes 2-pt shot from 22 ft (assist by M. Delaney),2,77-73,,
1:34.0,Personal foul by T. Waller-Prince (drawn by N. Batum),,77-73,,
1:34.0,,,77-74,1,N. Batum makes free throw 1 of 2
1:34.0,,,77-75,1,N. Batum makes free throw 2 of 2
1:18.0,P. Millsap misses 3-pt shot from 25 ft,,77-75,,
1:17.0,,,77-75,,Defensive rebound by N. Batum
1:08.0,,,77-75,,F. Kaminsky misses 2-pt shot from 2 ft
1:07.0,Defensive rebound by T. Waller-Prince,,77-75,,
0:55.0,M. Delaney misses 2-pt shot from 21 ft,,77-75,,
0:54.0,,,77-75,,Defensive rebound by N. Batum
0:42.0,,,77-75,,F. Kaminsky misses 2-pt shot from 2 ft (block by M. Muscala)
0:40.0,Defensive rebound by T. Waller-Prince,,77-75,,
0:35.0,T. Hardaway makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,80-75,,
0:23.0,,,80-75,,N. Batum misses 2-pt shot from 16 ft
0:22.0,Defensive rebound by T. Hardaway,,80-75,,
0:01.0,M. Delaney misses 3-pt shot from 24 ft,,80-75,,
0:00.0,,,80-75,,Defensive rebound by F. Kaminsky
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,P. Millsap misses 2-pt shot from 2 ft,,80-75,,
11:45.0,Offensive rebound by P. Millsap,,80-75,,
11:45.0,P. Millsap makes 2-pt shot from 1 ft,2,82-75,,
11:24.0,,,82-75,,F. Kaminsky misses 3-pt shot from 26 ft
11:23.0,Defensive rebound by P. Millsap,,82-75,,
11:06.0,Turnover by M. Muscala (bad pass; steal by F. Kaminsky),,82-75,,
10:59.0,,,82-75,,M. Belinelli misses 3-pt shot from 23 ft
10:58.0,Defensive rebound by P. Millsap,,82-75,,
10:46.0,Shooting foul by M. Belinelli (drawn by P. Millsap),,82-75,,
10:46.0,P. Millsap misses free throw 1 of 2,,82-75,,
10:46.0,Offensive rebound by Team,,82-75,,
10:46.0,P. Millsap makes free throw 2 of 2,1,83-75,,
10:29.0,,,83-75,,F. Kaminsky misses 2-pt shot from 2 ft
10:28.0,Defensive rebound by T. Waller-Prince,,83-75,,
10:22.0,,,83-75,,Personal foul by R. Hibbert (drawn by M. Muscala)
10:12.0,M. Delaney misses 3-pt shot from 26 ft,,83-75,,
10:10.0,,,83-75,,Defensive rebound by R. Hibbert
10:01.0,,,83-75,,R. Sessions misses 2-pt shot from 22 ft
10:00.0,Defensive rebound by M. Muscala,,83-75,,
9:51.0,T. Hardaway misses 3-pt shot from 25 ft,,83-75,,
9:49.0,Offensive rebound by P. Millsap,,83-75,,
9:49.0,Shooting foul by M. Kidd-Gilchrist (drawn by P. Millsap),,83-75,,
9:49.0,P. Millsap makes free throw 1 of 2,1,84-75,,
9:49.0,P. Millsap makes free throw 2 of 2,1,85-75,,
9:49.0,D. Howard enters the game for M. Muscala,,84-75,,
9:33.0,,,85-77,2,M. Belinelli makes 2-pt shot from 20 ft
9:16.0,Offensive charge foul by T. Waller-Prince,,85-77,,
9:16.0,Turnover by T. Waller-Prince (offensive foul),,85-77,,
9:05.0,,,85-77,,R. Sessions misses 2-pt shot from 10 ft
9:04.0,Defensive rebound by D. Howard,,85-77,,
8:52.0,T. Hardaway misses 2-pt shot from 1 ft,,85-77,,
8:51.0,,,85-77,,Defensive rebound by F. Kaminsky
8:47.0,,,85-77,,Shooting foul by P. Millsap (drawn by R. Hibbert)
8:47.0,Official timeout,,85-77,,
8:47.0,,,85-77,,R. Hibbert misses free throw 1 of 2
8:47.0,,,85-77,,Offensive rebound by Team
8:47.0,,,85-78,1,R. Hibbert makes free throw 2 of 2
8:47.0,K. Korver enters the game for T. Waller-Prince,,85-77,,
8:31.0,M. Delaney misses 2-pt shot from 1 ft (block by R. Sessions),,85-78,,
8:30.0,,,85-78,,Defensive rebound by F. Kaminsky
8:21.0,,,85-80,2,R. Sessions makes 2-pt shot from 8 ft
8:01.0,P. Millsap misses 2-pt shot from 2 ft,,85-80,,
8:00.0,,,85-80,,Defensive rebound by F. Kaminsky
7:55.0,,,85-80,,M. Kidd-Gilchrist misses 2-pt shot at rim
7:53.0,,,85-80,,Offensive rebound by M. Kidd-Gilchrist
7:37.0,,,85-83,3,M. Belinelli makes 3-pt shot from 27 ft (assist by R. Sessions)
7:34.0,Atlanta full timeout,,85-83,,
7:34.0,,,85-83,,C. Zeller enters the game for R. Hibbert
7:34.0,,,85-83,,K. Walker enters the game for R. Sessions
7:34.0,D. Schroder enters the game for T. Hardaway,,85-83,,
7:34.0,K. Bazemore enters the game for M. Delaney,,85-83,,
7:15.0,D. Schroder misses 2-pt shot from 3 ft (block by C. Zeller),,85-83,,
7:15.0,Offensive rebound by D. Howard,,85-83,,
7:15.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. Howard),,85-83,,
7:15.0,D. Howard makes free throw 1 of 2,1,86-83,,
7:15.0,D. Howard misses free throw 2 of 2,,86-83,,
7:15.0,M. Muscala enters the game for P. Millsap,,86-83,,
7:12.0,Offensive rebound by K. Bazemore,,86-83,,
6:56.0,D. Howard misses 2-pt shot from 6 ft (block by C. Zeller),,86-83,,
6:55.0,,,86-83,,Defensive rebound by F. Kaminsky
6:51.0,,,86-83,,M. Belinelli misses 3-pt shot from 25 ft
6:48.0,Defensive rebound by D. Howard,,86-83,,
6:30.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,88-83,,
6:05.0,,,88-86,3,K. Walker makes 3-pt shot from 26 ft (assist by F. Kaminsky)
5:55.0,,,88-86,,Personal foul by F. Kaminsky (drawn by D. Schroder)
5:55.0,D. Schroder makes free throw 1 of 2,1,89-86,,
5:55.0,D. Schroder misses free throw 2 of 2,,89-86,,
5:55.0,,,89-86,,M. Williams enters the game for F. Kaminsky
5:55.0,,,89-86,,N. Batum enters the game for M. Kidd-Gilchrist
5:53.0,,,89-86,,Defensive rebound by M. Williams
5:38.0,,,89-86,,K. Walker misses 2-pt shot from 14 ft
5:38.0,,,89-86,,Offensive rebound by Team
5:38.0,Flagrant foul type 1 by D. Howard (drawn by C. Zeller),,89-86,,
5:38.0,,,89-87,1,C. Zeller makes flagrant free throw 1 of 2
5:38.0,,,89-88,1,C. Zeller makes flagrant free throw 2 of 2
5:38.0,P. Millsap enters the game for D. Howard,,89-86,,
