time,Boston,pts.away,score,pts.home,Detroit
10:15.0,,,33-28,,J. Leuer misses 3-pt shot from 26 ft
10:14.0,Defensive rebound by T. Rozier,,33-28,,
10:03.0,T. Rozier misses 3-pt shot from 25 ft,,33-28,,
10:03.0,,,33-28,,Defensive rebound by R. Bullock
9:54.0,,,33-28,,B. Udrih misses 2-pt shot from 21 ft
9:54.0,Defensive rebound by A. Bradley,,33-28,,
9:44.0,A. Bradley misses 3-pt shot from 27 ft,,33-28,,
9:43.0,,,33-28,,Defensive rebound by J. Leuer
9:24.0,,,33-28,,A. Baynes misses 2-pt shot from 16 ft
9:24.0,Defensive rebound by M. Smart,,33-28,,
9:09.0,A. Horford makes 2-pt shot from 1 ft (assist by A. Bradley),2,35-28,,
9:09.0,,,35-28,,Detroit full timeout
8:56.0,,,35-30,2,R. Bullock makes 2-pt shot from 16 ft (assist by J. Leuer)
8:41.0,A. Horford makes 3-pt shot from 27 ft (assist by A. Bradley),3,38-30,,
8:16.0,,,38-30,,A. Baynes misses 2-pt shot from 3 ft (block by A. Horford)
8:15.0,,,38-30,,Offensive rebound by Team
8:15.0,,,38-30,,Turnover by Team (shot clock)
8:01.0,M. Smart misses 3-pt shot from 27 ft,,38-30,,
8:01.0,,,38-30,,Defensive rebound by A. Baynes
7:47.0,,,38-30,,T. Harris misses 2-pt shot from 11 ft
7:46.0,Defensive rebound by A. Horford,,38-30,,
7:37.0,Offensive foul by K. Olynyk,,38-30,,
7:37.0,Turnover by K. Olynyk (offensive foul),,38-30,,
7:37.0,,,38-30,,M. Morris enters the game for J. Leuer
7:37.0,A. Johnson enters the game for A. Horford,,38-30,,
7:18.0,Personal foul by M. Smart (drawn by M. Morris),,38-30,,
7:03.0,,,38-32,2,T. Harris makes 2-pt shot from 6 ft (assist by R. Bullock)
6:48.0,A. Johnson misses 2-pt shot from 6 ft,,38-32,,
6:46.0,,,38-32,,Defensive rebound by A. Baynes
6:41.0,,,38-35,3,M. Morris makes 3-pt shot from 26 ft (assist by B. Udrih)
6:41.0,Boston full timeout,,38-35,,
6:41.0,I. Thomas enters the game for M. Smart,,38-35,,
6:41.0,J. Crowder enters the game for T. Rozier,,38-35,,
6:24.0,I. Thomas misses 2-pt shot from 22 ft,,38-35,,
6:22.0,,,38-35,,Defensive rebound by B. Udrih
6:10.0,,,38-35,,R. Bullock misses 3-pt shot from 28 ft
6:10.0,Defensive rebound by A. Johnson,,38-35,,
5:46.0,K. Olynyk makes 2-pt shot from 21 ft (assist by I. Thomas),2,40-35,,
5:35.0,Personal foul by A. Johnson (drawn by A. Baynes),,40-35,,
5:24.0,,,40-37,2,M. Morris makes 2-pt shot from 11 ft (assist by B. Udrih)
5:04.0,A. Johnson misses 2-pt shot from 5 ft,,40-37,,
5:04.0,,,40-37,,Defensive rebound by A. Baynes
4:49.0,,,40-39,2,B. Udrih makes 2-pt shot from 9 ft
4:49.0,,,40-39,,Violation by Team (delay of game)
4:37.0,I. Thomas makes 2-pt shot from 1 ft (assist by K. Olynyk),2,42-39,,
4:22.0,,,42-41,2,M. Morris makes 2-pt shot from 5 ft (assist by B. Udrih)
4:02.0,J. Crowder misses 3-pt shot from 25 ft,,42-41,,
4:02.0,,,42-41,,Defensive rebound by R. Bullock
3:48.0,,,42-41,,T. Harris misses 3-pt shot from 25 ft
3:47.0,Defensive rebound by A. Johnson,,42-41,,
3:35.0,J. Crowder misses 2-pt shot from 18 ft,,42-41,,
3:35.0,,,42-41,,Defensive rebound by T. Harris
3:30.0,,,42-41,,Shooting foul by A. Johnson (drawn by T. Harris)
3:30.0,,,42-42,1,T. Harris makes free throw 1 of 2
3:30.0,,,42-43,1,T. Harris makes free throw 2 of 2
3:30.0,A. Horford enters the game for A. Johnson,,42-42,,
3:30.0,M. Smart enters the game for K. Olynyk,,42-42,,
3:30.0,,,42-42,,A. Drummond enters the game for R. Bullock
3:30.0,,,42-42,,K. Caldwell-Pope enters the game for A. Baynes
3:30.0,,,42-42,,I. Smith enters the game for B. Udrih
3:18.0,A. Horford makes 2-pt shot from 17 ft (assist by I. Thomas),2,44-43,,
3:06.0,,,44-43,,T. Harris misses 2-pt shot from 14 ft
3:06.0,,,44-43,,Offensive rebound by A. Drummond
3:05.0,,,44-45,2,A. Drummond makes 2-pt shot from 2 ft
2:39.0,A. Bradley makes 2-pt shot from 1 ft (assist by A. Horford),2,46-45,,
2:21.0,,,46-47,2,T. Harris makes 2-pt shot at rim (assist by K. Caldwell-Pope)
2:02.0,Turnover by J. Crowder (bad pass),,46-47,,
2:02.0,Official timeout,,46-47,,
2:02.0,,,46-47,,A. Baynes enters the game for A. Drummond
1:43.0,,,46-47,,M. Morris misses 2-pt shot from 11 ft
1:42.0,Defensive rebound by I. Thomas,,46-47,,
1:27.0,I. Thomas makes 2-pt shot from 10 ft (assist by M. Smart),2,48-47,,
1:07.0,,,48-47,,I. Smith misses 2-pt shot from 9 ft
1:06.0,Defensive rebound by I. Thomas,,48-47,,
1:01.0,Shooting foul by T. Harris (drawn by I. Thomas),,48-47,,
1:01.0,I. Thomas makes free throw 1 of 2,1,49-47,,
1:01.0,I. Thomas makes free throw 2 of 2,1,50-47,,
0:38.0,,,50-47,,A. Baynes misses 2-pt shot from 6 ft
0:38.0,Defensive rebound by J. Crowder,,50-47,,
0:27.0,Boston full timeout,,50-47,,
0:18.0,Turnover by A. Bradley (bad pass; steal by A. Baynes),,50-47,,
0:17.0,,,50-47,,Turnover by A. Baynes (bad pass)
0:04.0,I. Thomas misses 2-pt shot from 4 ft,,50-47,,
0:02.0,,,50-47,,Defensive rebound by I. Smith
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,50-47,,Def 3 sec tech foul by A. Drummond
11:45.0,I. Thomas makes technical free throw,1,51-47,,
11:38.0,I. Thomas makes 3-pt shot from 26 ft,3,54-47,,
11:11.0,,,54-47,,T. Harris misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by J. Crowder,,54-47,,
10:55.0,I. Thomas misses 3-pt shot from 25 ft,,54-47,,
10:54.0,,,54-47,,Defensive rebound by K. Caldwell-Pope
10:43.0,,,54-49,2,I. Smith makes 2-pt shot at rim
10:39.0,,,54-49,,Personal foul by M. Morris (drawn by J. Crowder)
10:24.0,Shooting foul by T. Harris (drawn by A. Horford),,54-49,,
10:24.0,A. Horford makes free throw 1 of 2,1,55-49,,
10:24.0,A. Horford makes free throw 2 of 2,1,56-49,,
10:07.0,,,56-49,,Turnover by K. Caldwell-Pope (bad pass; steal by A. Horford)
9:53.0,A. Bradley misses 3-pt shot from 25 ft,,56-49,,
9:53.0,,,56-49,,Defensive rebound by A. Drummond
9:43.0,,,56-49,,A. Drummond misses 2-pt shot from 8 ft
9:42.0,Defensive rebound by A. Horford,,56-49,,
9:30.0,J. Crowder misses 2-pt shot from 20 ft,,56-49,,
9:30.0,Offensive rebound by A. Horford,,56-49,,
9:24.0,A. Bradley makes 2-pt shot from 13 ft (assist by A. Horford),2,58-49,,
9:20.0,,,58-49,,Detroit full timeout
9:02.0,,,58-49,,Turnover by M. Morris (bad pass; steal by A. Horford)
8:45.0,A. Bradley misses 2-pt shot from 20 ft,,58-49,,
8:45.0,,,58-49,,Defensive rebound by A. Drummond
8:30.0,,,58-51,2,M. Morris makes 2-pt shot from 17 ft
8:14.0,A. Horford misses 2-pt shot from 15 ft,,58-51,,
8:14.0,,,58-51,,Defensive rebound by I. Smith
8:04.0,,,58-54,3,M. Morris makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
7:46.0,I. Thomas misses 3-pt shot from 26 ft,,58-54,,
7:46.0,,,58-54,,Defensive rebound by M. Morris
7:38.0,,,58-56,2,I. Smith makes 2-pt shot from 6 ft
7:12.0,I. Thomas misses 3-pt shot from 26 ft,,58-56,,
7:11.0,,,58-56,,Defensive rebound by K. Caldwell-Pope
7:04.0,,,58-56,,I. Smith misses 2-pt shot from 7 ft
7:04.0,,,58-56,,Offensive rebound by K. Caldwell-Pope
6:49.0,,,58-56,,A. Drummond misses 2-pt shot at rim
6:47.0,Defensive rebound by A. Horford,,58-56,,
6:40.0,J. Crowder misses 2-pt shot from 20 ft,,58-56,,
6:39.0,,,58-56,,Defensive rebound by I. Smith
6:20.0,,,58-56,,Shooting foul by A. Bradley (drawn by T. Harris)
6:20.0,,,58-57,1,T. Harris makes free throw 1 of 2
6:20.0,,,58-58,1,T. Harris makes free throw 2 of 2
6:20.0,J. Jerebko enters the game for A. Johnson,,58-57,,
6:20.0,M. Smart enters the game for J. Crowder,,58-57,,
6:05.0,I. Thomas misses 2-pt shot from 1 ft,,58-58,,
6:05.0,,,58-58,,Defensive rebound by M. Morris
6:00.0,,,58-60,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
5:44.0,A. Bradley makes 2-pt shot at rim (assist by J. Jerebko),2,60-60,,
5:20.0,,,60-60,,T. Harris misses 3-pt shot from 26 ft
5:20.0,Defensive rebound by M. Smart,,60-60,,
5:10.0,J. Jerebko makes 3-pt shot from 26 ft (assist by I. Thomas),3,63-60,,
4:49.0,,,63-60,,K. Caldwell-Pope misses 2-pt shot from 14 ft
4:48.0,,,63-60,,Offensive rebound by A. Drummond
4:45.0,,,63-62,2,A. Drummond makes 2-pt shot at rim
4:35.0,Shooting foul by I. Smith (drawn by I. Thomas),,63-62,,
4:35.0,I. Thomas makes free throw 1 of 2,1,64-62,,
4:35.0,I. Thomas misses free throw 2 of 2,,64-62,,
4:35.0,K. Olynyk enters the game for A. Horford,,64-62,,
4:35.0,,,64-62,,J. Leuer enters the game for T. Harris
4:35.0,J. Brown enters the game for A. Bradley,,64-62,,
4:34.0,,,64-62,,Defensive rebound by A. Drummond
4:14.0,,,64-62,,K. Caldwell-Pope misses 2-pt shot from 17 ft
4:14.0,,,64-62,,Offensive rebound by Team
4:14.0,,,64-62,,R. Bullock enters the game for K. Caldwell-Pope
4:05.0,,,64-65,3,M. Morris makes 3-pt shot from 28 ft (assist by I. Smith)
3:48.0,I. Thomas misses 2-pt shot from 3 ft,,64-65,,
3:48.0,,,64-65,,Defensive rebound by A. Drummond
3:41.0,,,64-65,,M. Morris misses 3-pt shot from 25 ft
3:41.0,,,64-65,,Offensive rebound by A. Drummond
3:41.0,,,64-65,,Shooting foul by J. Jerebko (drawn by A. Drummond)
3:41.0,,,64-65,,A. Drummond misses free throw 1 of 2
3:41.0,,,64-65,,Offensive rebound by Team
3:41.0,,,64-65,,A. Drummond misses free throw 2 of 2
3:41.0,,,64-65,,Offensive rebound by Team
3:41.0,Personal foul by J. Jerebko (drawn by A. Drummond),,64-65,,
3:41.0,T. Zeller enters the game for K. Olynyk,,64-65,,
3:22.0,,,64-65,,A. Drummond misses 2-pt shot from 6 ft
3:22.0,Defensive rebound by J. Jerebko,,64-65,,
2:57.0,M. Smart misses 3-pt shot from 25 ft,,64-65,,
2:56.0,,,64-65,,Defensive rebound by J. Leuer
2:43.0,,,64-67,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
2:30.0,M. Smart misses 3-pt shot from 23 ft,,64-67,,
2:29.0,Offensive rebound by T. Zeller,,64-67,,
2:22.0,T. Zeller misses 2-pt shot from 16 ft,,64-67,,
2:21.0,,,64-67,,Defensive rebound by A. Drummond
2:16.0,,,64-67,,Shooting foul by I. Thomas (drawn by I. Smith)
2:16.0,Boston full timeout,,64-67,,
2:16.0,,,64-68,1,I. Smith makes free throw 1 of 2
2:16.0,,,64-69,1,I. Smith makes free throw 2 of 2
2:16.0,T. Rozier enters the game for J. Brown,,64-67,,
2:16.0,,,64-67,,T. Harris enters the game for M. Morris
2:01.0,T. Zeller misses 2-pt shot from 19 ft,,64-69,,
2:01.0,,,64-69,,Defensive rebound by A. Drummond
1:49.0,,,64-69,,J. Leuer misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by I. Thomas,,64-69,,
1:40.0,I. Thomas misses 2-pt shot at rim,,64-69,,
1:39.0,,,64-69,,Defensive rebound by A. Drummond
1:33.0,,,64-71,2,I. Smith makes 2-pt shot from 1 ft
1:09.0,I. Thomas makes 2-pt shot from 1 ft,2,66-71,,
0:50.0,,,66-71,,T. Harris misses 2-pt shot from 7 ft (block by M. Smart)
0:48.0,Defensive rebound by J. Jerebko,,66-71,,
0:45.0,Turnover by J. Jerebko (bad pass; steal by R. Bullock),,66-71,,
0:28.0,,,66-71,,I. Smith misses 2-pt shot from 4 ft
0:27.0,Defensive rebound by M. Smart,,66-71,,
0:23.0,J. Jerebko makes 3-pt shot from 27 ft (assist by M. Smart),3,69-71,,
0:03.0,,,69-73,2,I. Smith makes 2-pt shot from 6 ft
0:01.0,T. Zeller makes 2-pt shot at rim (assist by I. Thomas),2,71-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,71-73,,J. Leuer misses 2-pt shot from 16 ft
11:38.0,Defensive rebound by M. Smart,,71-73,,
11:24.0,J. Jerebko misses 2-pt shot from 6 ft,,71-73,,
11:22.0,,,71-73,,Defensive rebound by J. Leuer
11:18.0,,,71-73,,Turnover by A. Baynes (bad pass; steal by J. Crowder)
11:14.0,Turnover by J. Crowder (lost ball; steal by T. Harris),,71-73,,
10:59.0,,,71-73,,R. Bullock misses 2-pt shot from 16 ft
10:59.0,Defensive rebound by T. Rozier,,71-73,,
10:51.0,J. Crowder misses 3-pt shot from 26 ft,,71-73,,
10:51.0,Offensive rebound by T. Rozier,,71-73,,
10:30.0,J. Crowder makes 2-pt shot from 20 ft (assist by A. Horford),2,73-73,,
10:16.0,,,73-73,,Shooting foul by A. Horford (drawn by B. Udrih)
10:16.0,,,73-74,1,B. Udrih makes free throw 1 of 2
10:16.0,,,73-75,1,B. Udrih makes free throw 2 of 2
9:59.0,M. Smart misses 2-pt shot at rim (block by R. Bullock),,73-75,,
9:58.0,,,73-75,,Defensive rebound by J. Leuer
9:50.0,,,73-77,2,B. Udrih makes 2-pt shot from 16 ft
9:31.0,Shooting foul by J. Leuer (drawn by J. Crowder),,73-77,,
9:31.0,J. Crowder makes free throw 1 of 2,1,74-77,,
9:31.0,J. Crowder makes free throw 2 of 2,1,75-77,,
9:31.0,A. Bradley enters the game for M. Smart,,74-77,,
9:07.0,,,75-77,,T. Harris misses 2-pt shot from 7 ft
9:07.0,,,75-77,,Offensive rebound by R. Bullock
9:07.0,,,75-77,,Turnover by Team (shot clock)
8:47.0,,,75-77,,Personal foul by J. Leuer (drawn by J. Jerebko)
8:47.0,Official timeout,,75-77,,
8:47.0,A. Johnson enters the game for J. Jerebko,,75-77,,
8:33.0,T. Rozier makes 3-pt shot from 27 ft,3,78-77,,
8:13.0,,,78-77,,R. Bullock misses 2-pt shot from 18 ft
8:12.0,Defensive rebound by J. Crowder,,78-77,,
7:54.0,T. Rozier misses 2-pt shot from 4 ft,,78-77,,
7:53.0,,,78-77,,Defensive rebound by A. Baynes
7:39.0,,,78-79,2,B. Udrih makes 2-pt shot from 14 ft
7:25.0,A. Bradley makes 2-pt shot from 15 ft,2,80-79,,
7:07.0,,,80-79,,J. Leuer misses 2-pt shot from 10 ft
7:06.0,Defensive rebound by T. Rozier,,80-79,,
6:54.0,A. Bradley misses 2-pt shot from 1 ft (block by R. Bullock),,80-79,,
6:54.0,,,80-79,,Defensive rebound by Team
6:54.0,,,80-79,,K. Caldwell-Pope enters the game for R. Bullock
6:54.0,M. Smart enters the game for J. Crowder,,80-79,,
6:33.0,,,80-79,,J. Leuer misses 3-pt shot from 23 ft
6:32.0,,,80-79,,Offensive rebound by A. Baynes
6:21.0,,,80-79,,B. Udrih misses 2-pt shot from 9 ft
6:20.0,Defensive rebound by T. Rozier,,80-79,,
6:14.0,Shooting foul by A. Baynes (drawn by T. Rozier),,80-79,,
6:14.0,T. Rozier makes free throw 1 of 2,1,81-79,,
6:14.0,T. Rozier makes free throw 2 of 2,1,82-79,,
6:14.0,J. Jerebko enters the game for A. Horford,,81-79,,
6:14.0,,,81-79,,M. Morris enters the game for J. Leuer
6:14.0,,,81-79,,A. Drummond enters the game for A. Baynes
5:51.0,,,82-79,,K. Caldwell-Pope misses 2-pt shot from 16 ft (block by M. Smart)
5:50.0,Defensive rebound by J. Jerebko,,82-79,,
5:31.0,Turnover by A. Johnson (bad pass; steal by K. Caldwell-Pope),,82-79,,
5:14.0,,,82-81,2,T. Harris makes 2-pt shot at rim
5:09.0,Boston full timeout,,82-81,,
5:09.0,I. Thomas enters the game for A. Johnson,,82-81,,
5:09.0,A. Horford enters the game for T. Rozier,,82-81,,
5:09.0,,,82-81,,I. Smith enters the game for B. Udrih
4:57.0,M. Smart makes 2-pt shot from 9 ft,2,84-81,,
4:39.0,,,84-81,,Shooting foul by A. Horford (drawn by A. Drummond)
4:39.0,,,84-81,,A. Drummond misses free throw 1 of 2
4:39.0,,,84-81,,Offensive rebound by Team
4:39.0,,,84-82,1,A. Drummond makes free throw 2 of 2
4:25.0,I. Thomas misses 2-pt shot from 4 ft (block by K. Caldwell-Pope),,84-82,,
4:25.0,Offensive rebound by Team,,84-82,,
4:19.0,A. Horford misses 2-pt shot from 14 ft,,84-82,,
4:19.0,,,84-82,,Defensive rebound by M. Morris
4:11.0,,,84-82,,K. Caldwell-Pope misses 2-pt shot from 8 ft
4:11.0,Defensive rebound by A. Horford,,84-82,,
3:50.0,M. Smart misses 3-pt shot from 26 ft,,84-82,,
3:50.0,,,84-82,,Defensive rebound by A. Drummond
3:32.0,,,84-82,,A. Drummond misses 2-pt shot from 7 ft
3:30.0,Defensive rebound by J. Jerebko,,84-82,,
3:13.0,I. Thomas misses 3-pt shot from 25 ft,,84-82,,
3:13.0,,,84-82,,Defensive rebound by A. Drummond
3:09.0,Personal foul by J. Jerebko (drawn by T. Harris),,84-82,,
3:09.0,J. Crowder enters the game for J. Jerebko,,84-82,,
2:52.0,,,84-84,2,M. Morris makes 2-pt shot from 20 ft
2:22.0,I. Thomas misses 2-pt shot from 12 ft,,84-84,,
2:22.0,Offensive rebound by A. Bradley,,84-84,,
2:19.0,A. Bradley makes 2-pt shot at rim,2,86-84,,
1:56.0,,,86-87,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by M. Morris)
1:45.0,A. Horford makes 2-pt shot at rim (assist by M. Smart),2,88-87,,
1:26.0,,,88-87,,M. Morris misses 3-pt shot from 25 ft
1:25.0,,,88-87,,Offensive rebound by K. Caldwell-Pope
1:22.0,,,88-89,2,A. Drummond makes 2-pt shot from 1 ft (assist by M. Morris)
1:10.0,I. Thomas makes 2-pt shot from 1 ft,2,90-89,,
0:47.0,,,90-89,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:46.0,Defensive rebound by A. Bradley,,90-89,,
0:31.0,Shooting foul by T. Harris (drawn by I. Thomas),,90-89,,
0:31.0,,,90-89,,Detroit full timeout
0:31.0,I. Thomas makes free throw 1 of 2,1,91-89,,
0:31.0,I. Thomas makes free throw 2 of 2,1,92-89,,
0:31.0,,,90-89,,A. Baynes enters the game for A. Drummond
0:23.0,,,92-92,3,T. Harris makes 3-pt shot from 24 ft (assist by I. Smith)
0:04.0,J. Crowder misses 3-pt shot from 24 ft,,92-92,,
0:02.0,Offensive rebound by M. Smart,,92-92,,
0:02.0,M. Smart misses 2-pt shot from 1 ft,,92-92,,
0:01.0,Offensive rebound by A. Horford,,92-92,,
0:01.0,A. Horford makes 2-pt shot at rim,2,94-92,,
0:01.0,,,94-92,,Detroit full timeout
0:01.0,,,94-92,,B. Udrih enters the game for I. Smith
0:01.0,J. Jerebko enters the game for I. Thomas,,94-92,,
0:01.0,,,94-92,,A. Baynes misses 2-pt shot from 8 ft (block by A. Horford)
0:00.0,,,94-92,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
