time,New Orleans,pts.away,score,pts.home,Phoenix
6:10.0,A. Ajinca misses free throw 2 of 2,,14-16,,
6:09.0,,,14-16,,Defensive rebound by T. Chandler
5:50.0,,,14-18,2,D. Booker makes 2-pt shot from 1 ft
5:35.0,Offensive foul by A. Ajinca,,14-18,,
5:35.0,Turnover by A. Ajinca (offensive foul),,14-18,,
5:35.0,,,14-18,,Phoenix full timeout
5:35.0,T. Jones enters the game for A. Ajinca,,14-18,,
5:35.0,L. Galloway enters the game for B. Hield,,14-18,,
5:15.0,,,14-20,2,E. Bledsoe makes 2-pt shot from 3 ft
4:54.0,A. Davis misses 2-pt shot from 4 ft,,14-20,,
4:53.0,Offensive rebound by T. Jones,,14-20,,
4:53.0,T. Jones misses 2-pt shot from 1 ft,,14-20,,
4:51.0,Offensive rebound by T. Jones,,14-20,,
4:51.0,Turnover by T. Jones (bad pass),,14-20,,
4:35.0,,,14-20,,D. Booker misses 2-pt shot from 10 ft
4:34.0,,,14-20,,Offensive rebound by T. Chandler
4:34.0,,,14-22,2,T. Chandler makes 2-pt shot from 1 ft
4:18.0,T. Jones misses 2-pt shot from 21 ft,,14-22,,
4:16.0,,,14-22,,Defensive rebound by D. Booker
4:06.0,,,14-24,2,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe)
4:06.0,,,14-24,,Shooting foul by S. Hill (drawn by T. Chandler)
4:06.0,,,14-25,1,T. Chandler makes free throw 1 of 1
4:06.0,,,14-24,,B. Knight enters the game for E. Bledsoe
4:06.0,E. Moore enters the game for S. Hill,,14-24,,
4:06.0,T. Frazier enters the game for J. Holiday,,14-24,,
3:51.0,L. Galloway misses 3-pt shot from 26 ft,,14-25,,
3:49.0,,,14-25,,Defensive rebound by B. Knight
3:40.0,,,14-25,,P. Tucker misses 2-pt shot from 9 ft (block by A. Davis)
3:38.0,,,14-25,,Offensive rebound by T. Chandler
3:38.0,Personal foul by L. Galloway (drawn by B. Knight),,14-25,,
3:38.0,,,14-25,,J. Dudley enters the game for T. Chandler
3:38.0,,,14-25,,A. Len enters the game for M. Chriss
3:34.0,Personal foul by L. Galloway (drawn by D. Booker),,14-25,,
3:26.0,,,14-25,,B. Knight misses 3-pt shot from 26 ft
3:24.0,Defensive rebound by T. Jones,,14-25,,
3:12.0,Shooting foul by A. Len (drawn by T. Jones),,14-25,,
3:12.0,T. Jones makes free throw 1 of 2,1,15-25,,
3:12.0,T. Jones misses free throw 2 of 2,,15-25,,
3:12.0,R. Williams enters the game for L. Galloway,,15-25,,
3:11.0,,,15-25,,Defensive rebound by P. Tucker
2:56.0,,,15-25,,P. Tucker misses 3-pt shot from 25 ft
2:54.0,,,15-25,,Offensive rebound by J. Dudley
2:51.0,,,15-25,,P. Tucker misses 2-pt shot from 2 ft
2:49.0,Defensive rebound by A. Davis,,15-25,,
2:39.0,R. Williams makes 2-pt shot from 1 ft,2,17-25,,
2:24.0,,,17-25,,A. Len misses 2-pt shot from 6 ft
2:24.0,Defensive rebound by Team,,17-25,,
2:24.0,,,17-25,,Loose ball foul by A. Len (drawn by A. Davis)
2:24.0,New Orleans full timeout,,17-25,,
2:24.0,A. Davis makes free throw 1 of 2,1,18-25,,
2:24.0,A. Davis makes free throw 2 of 2,1,19-25,,
2:24.0,,,17-25,,E. Bledsoe enters the game for D. Booker
2:04.0,,,19-25,,E. Bledsoe misses 3-pt shot from 26 ft
2:02.0,Defensive rebound by T. Jones,,19-25,,
1:49.0,T. Frazier misses 2-pt shot from 21 ft,,19-25,,
1:47.0,,,19-25,,Defensive rebound by A. Len
1:36.0,,,19-25,,A. Len misses 2-pt shot from 17 ft
1:34.0,Defensive rebound by A. Davis,,19-25,,
1:28.0,R. Williams makes 3-pt shot from 24 ft (assist by T. Frazier),3,22-25,,
1:17.0,,,22-28,3,J. Dudley makes 3-pt shot from 25 ft (assist by B. Knight)
0:59.0,R. Williams makes 3-pt shot from 25 ft (assist by T. Frazier),3,25-28,,
0:46.0,,,25-28,,Shooting foul by A. Davis (drawn by A. Len)
0:46.0,,,25-29,1,A. Len makes free throw 1 of 2
0:46.0,,,25-30,1,A. Len makes free throw 2 of 2
0:46.0,O. Asik enters the game for A. Davis,,25-29,,
0:46.0,,,25-29,,L. Barbosa enters the game for P. Tucker
0:33.0,E. Moore misses 2-pt shot from 16 ft,,25-30,,
0:30.0,,,25-30,,Defensive rebound by L. Barbosa
0:23.0,,,25-30,,Shooting foul by O. Asik (drawn by A. Len)
0:23.0,,,25-30,,A. Len misses free throw 1 of 2
0:23.0,,,25-30,,Offensive rebound by Team
0:23.0,,,25-31,1,A. Len makes free throw 2 of 2
0:00.0,R. Williams misses 2-pt shot from 18 ft,,25-31,,
0:00.0,Offensive rebound by Team,,25-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,E. Moore makes 3-pt shot from 26 ft (assist by R. Williams),3,28-31,,
11:19.0,,,28-31,,D. Bender misses 3-pt shot from 26 ft
11:17.0,Defensive rebound by E. Moore,,28-31,,
11:08.0,E. Moore misses 3-pt shot from 25 ft,,28-31,,
11:06.0,,,28-31,,Defensive rebound by A. Len
11:00.0,,,28-33,2,L. Barbosa makes 2-pt shot from 5 ft
10:41.0,R. Williams makes 3-pt shot from 25 ft (assist by T. Frazier),3,31-33,,
10:38.0,,,31-33,,Phoenix full timeout
10:24.0,,,31-35,2,L. Barbosa makes 2-pt shot from 3 ft
10:12.0,Turnover by E. Moore (traveling),,31-35,,
10:05.0,,,31-37,2,L. Barbosa makes 2-pt shot from 7 ft (assist by A. Len)
9:47.0,E. Moore makes 2-pt shot from 17 ft,2,33-37,,
9:39.0,,,33-39,2,A. Len makes 2-pt shot at rim (assist by J. Dudley)
9:21.0,T. Jones misses 2-pt shot from 3 ft (block by A. Len),,33-39,,
9:18.0,Offensive rebound by R. Williams,,33-39,,
9:15.0,T. Jones misses 2-pt shot from 20 ft,,33-39,,
9:13.0,Offensive rebound by T. Frazier,,33-39,,
9:09.0,T. Frazier makes 2-pt shot at rim,2,35-39,,
8:58.0,Personal foul by E. Moore (drawn by L. Barbosa),,35-39,,
8:58.0,C. Diallo enters the game for T. Jones,,35-39,,
8:53.0,,,35-39,,D. Bender misses 3-pt shot from 26 ft
8:51.0,,,35-39,,Offensive rebound by J. Dudley
8:45.0,,,35-41,2,B. Knight makes 2-pt shot from 8 ft
8:45.0,,,35-41,,Loose ball foul by A. Len (drawn by O. Asik)
8:45.0,,,35-41,,T. Ulis enters the game for A. Len
8:31.0,T. Frazier misses 2-pt shot from 13 ft,,35-41,,
8:29.0,Offensive rebound by C. Diallo,,35-41,,
8:29.0,C. Diallo makes 2-pt shot at rim,2,37-41,,
8:20.0,,,37-41,,B. Knight misses 2-pt shot from 3 ft
8:18.0,,,37-41,,Offensive rebound by D. Bender
8:18.0,,,37-41,,Turnover by L. Barbosa (bad pass)
8:18.0,A. Davis enters the game for O. Asik,,37-41,,
7:57.0,C. Diallo misses 2-pt shot from 7 ft,,37-41,,
7:57.0,,,37-41,,Defensive rebound by J. Dudley
7:51.0,,,37-43,2,B. Knight makes 2-pt shot from 14 ft
7:34.0,E. Moore misses 2-pt shot from 12 ft,,37-43,,
7:32.0,Offensive rebound by Team,,37-43,,
7:32.0,J. Holiday enters the game for E. Moore,,37-43,,
7:32.0,,,37-43,,P. Tucker enters the game for D. Bender
7:29.0,A. Davis misses 2-pt shot from 11 ft,,37-43,,
7:27.0,Offensive rebound by T. Frazier,,37-43,,
7:25.0,T. Frazier makes 2-pt shot from 7 ft,2,39-43,,
7:00.0,,,39-43,,P. Tucker misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by R. Williams,,39-43,,
6:46.0,Turnover by A. Davis (bad pass; steal by T. Ulis),,39-43,,
6:37.0,,,39-43,,L. Barbosa misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by T. Frazier,,39-43,,
6:32.0,A. Davis makes 2-pt shot from 2 ft (assist by T. Frazier),2,41-43,,
6:32.0,Shooting foul by J. Dudley (drawn by A. Davis),,41-43,,
6:32.0,A. Davis makes free throw 1 of 1,1,42-43,,
6:32.0,,,41-43,,T. Chandler enters the game for J. Dudley
6:32.0,,,41-43,,D. Booker enters the game for T. Ulis
6:18.0,,,42-43,,Turnover by T. Chandler (traveling)
6:04.0,T. Frazier misses 3-pt shot from 26 ft,,42-43,,
6:02.0,Offensive rebound by C. Diallo,,42-43,,
5:58.0,J. Holiday misses 2-pt shot from 3 ft,,42-43,,
5:56.0,,,42-43,,Defensive rebound by P. Tucker
5:53.0,Official timeout,,42-43,,
5:34.0,,,42-46,3,L. Barbosa makes 3-pt shot from 25 ft
5:15.0,J. Holiday makes 2-pt shot from 13 ft,2,44-46,,
5:00.0,,,44-46,,D. Booker misses 3-pt shot from 26 ft
4:57.0,Defensive rebound by C. Diallo,,44-46,,
4:50.0,C. Diallo misses 2-pt shot from 2 ft,,44-46,,
4:47.0,,,44-46,,Defensive rebound by T. Chandler
4:43.0,,,44-46,,D. Booker misses 3-pt shot from 25 ft
4:42.0,,,44-46,,Offensive rebound by Team
4:42.0,,,44-46,,E. Bledsoe enters the game for B. Knight
4:42.0,Loose ball foul by C. Diallo (drawn by P. Tucker),,44-46,,
4:32.0,,,44-46,,D. Booker misses 2-pt shot from 17 ft
4:30.0,,,44-46,,Offensive rebound by P. Tucker
4:22.0,,,44-46,,P. Tucker misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by A. Davis,,44-46,,
4:09.0,A. Davis misses 3-pt shot from 26 ft,,44-46,,
4:08.0,,,44-46,,Defensive rebound by D. Booker
4:05.0,Personal foul by J. Holiday (drawn by D. Booker),,44-46,,
4:05.0,S. Hill enters the game for C. Diallo,,44-46,,
3:58.0,,,44-48,2,E. Bledsoe makes 2-pt shot from 14 ft
3:37.0,R. Williams misses 2-pt shot from 6 ft,,44-48,,
3:35.0,Offensive rebound by A. Davis,,44-48,,
3:34.0,A. Davis misses 2-pt shot from 2 ft,,44-48,,
3:32.0,,,44-48,,Defensive rebound by T. Chandler
3:28.0,,,44-50,2,D. Booker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
3:19.0,New Orleans full timeout,,44-50,,
3:19.0,B. Hield enters the game for R. Williams,,44-50,,
3:06.0,A. Davis misses 2-pt shot from 1 ft,,44-50,,
3:03.0,,,44-50,,Defensive rebound by T. Chandler
2:52.0,,,44-53,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by D. Booker)
2:45.0,Turnover by J. Holiday (bad pass; steal by E. Bledsoe),,44-53,,
2:39.0,,,44-56,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by D. Booker)
2:33.0,New Orleans full timeout,,44-56,,
2:22.0,J. Holiday misses 2-pt shot from 15 ft,,44-56,,
2:19.0,,,44-56,,Defensive rebound by P. Tucker
2:06.0,,,44-56,,Turnover by L. Barbosa (bad pass; steal by S. Hill)
2:00.0,B. Hield misses 3-pt shot from 24 ft,,44-56,,
1:57.0,,,44-56,,Defensive rebound by L. Barbosa
1:54.0,,,44-58,2,L. Barbosa makes 2-pt shot from 2 ft
1:36.0,B. Hield makes 3-pt shot from 25 ft,3,47-58,,
1:18.0,,,47-58,,E. Bledsoe misses 3-pt shot from 26 ft
1:17.0,Defensive rebound by S. Hill,,47-58,,
1:08.0,S. Hill misses 3-pt shot from 24 ft,,47-58,,
1:06.0,,,47-58,,Defensive rebound by P. Tucker
0:43.0,,,47-58,,E. Bledsoe misses 2-pt shot from 17 ft
0:41.0,Defensive rebound by B. Hield,,47-58,,
0:37.0,B. Hield misses 3-pt shot from 25 ft,,47-58,,
0:34.0,Offensive rebound by A. Davis,,47-58,,
0:34.0,A. Davis makes 2-pt shot at rim,2,49-58,,
0:18.0,,,49-58,,Turnover by D. Booker (lost ball; steal by J. Holiday)
0:13.0,B. Hield makes 2-pt shot from 1 ft (assist by A. Davis),2,51-58,,
0:01.0,,,51-58,,Turnover by E. Bledsoe (offensive foul)
0:01.0,,,51-58,,Offensive charge foul by E. Bledsoe
0:01.0,E. Moore enters the game for B. Hield,,51-58,,
0:00.0,S. Hill misses 3-pt shot from 32 ft,,51-58,,
0:00.0,Offensive rebound by Team,,51-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,A. Ajinca makes 2-pt shot from 7 ft (assist by J. Holiday),2,53-58,,
11:26.0,,,53-58,,P. Tucker misses 2-pt shot from 9 ft
11:23.0,,,53-58,,Offensive rebound by E. Bledsoe
11:19.0,,,53-58,,M. Chriss misses 3-pt shot from 25 ft
11:18.0,,,53-58,,Offensive rebound by T. Chandler
11:16.0,,,53-58,,Shooting foul by A. Davis (drawn by T. Chandler)
11:16.0,,,53-59,1,T. Chandler makes free throw 1 of 2
11:16.0,,,53-60,1,T. Chandler makes free throw 2 of 2
10:59.0,R. Williams makes 3-pt shot from 23 ft (assist by A. Davis),3,56-60,,
10:52.0,,,56-63,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
10:49.0,New Orleans full timeout,,56-63,,
10:33.0,A. Ajinca makes 2-pt shot from 9 ft (assist by S. Hill),2,58-63,,
10:17.0,,,58-65,2,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe)
9:58.0,A. Davis misses 2-pt shot from 15 ft,,58-65,,
9:55.0,,,58-65,,Defensive rebound by M. Chriss
9:48.0,Personal block foul by J. Holiday (drawn by D. Booker),,58-65,,
9:37.0,,,58-65,,E. Bledsoe misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by A. Davis,,58-65,,
9:30.0,J. Holiday misses 3-pt shot from 25 ft,,58-65,,
9:29.0,,,58-65,,Defensive rebound by M. Chriss
9:07.0,,,58-67,2,T. Chandler makes 2-pt shot at rim (assist by M. Chriss)
8:44.0,Shooting foul by E. Bledsoe (drawn by R. Williams),,58-67,,
8:44.0,R. Williams makes free throw 1 of 3,1,59-67,,
8:44.0,R. Williams makes free throw 2 of 3,1,60-67,,
8:44.0,R. Williams makes free throw 3 of 3,1,61-67,,
8:36.0,Personal foul by S. Hill (drawn by D. Booker),,61-67,,
8:29.0,,,61-67,,M. Chriss misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by R. Williams,,61-67,,
8:20.0,J. Holiday misses 2-pt shot from 3 ft,,61-67,,
8:18.0,Offensive rebound by A. Ajinca,,61-67,,
8:18.0,A. Ajinca misses 2-pt shot from 1 ft,,61-67,,
8:16.0,,,61-67,,Defensive rebound by T. Chandler
8:00.0,,,61-67,,Shooting foul by A. Davis (drawn by M. Chriss)
8:00.0,,,61-68,1,M. Chriss makes free throw 1 of 2
8:00.0,,,61-68,,M. Chriss misses free throw 2 of 2
7:58.0,Defensive rebound by A. Ajinca,,61-68,,
7:46.0,S. Hill misses 3-pt shot from 25 ft,,61-68,,
7:44.0,,,61-68,,Defensive rebound by M. Chriss
7:38.0,,,61-68,,Shooting foul by A. Ajinca (drawn by M. Chriss)
7:38.0,,,61-69,1,M. Chriss makes free throw 1 of 2
7:38.0,,,61-69,,M. Chriss misses free throw 2 of 2
7:37.0,Defensive rebound by A. Ajinca,,61-69,,
7:21.0,,,61-69,,Personal foul by M. Chriss (drawn by A. Davis)
7:14.0,J. Holiday makes 2-pt shot from 2 ft,2,63-69,,
6:52.0,,,63-69,,E. Bledsoe misses 3-pt shot from 26 ft
6:50.0,Defensive rebound by A. Davis,,63-69,,
6:43.0,J. Holiday misses 2-pt shot from 20 ft,,63-69,,
6:41.0,,,63-69,,Defensive rebound by M. Chriss
6:35.0,,,63-69,,E. Bledsoe misses 2-pt shot from 4 ft
6:32.0,,,63-69,,Offensive rebound by T. Chandler
6:32.0,,,63-71,2,T. Chandler makes 2-pt shot from 2 ft
6:15.0,A. Davis misses 2-pt shot from 13 ft,,63-71,,
6:15.0,,,63-71,,Defensive rebound by Team
6:15.0,Personal foul by S. Hill (drawn by M. Chriss),,63-71,,
6:15.0,,,63-71,,M. Chriss misses free throw 1 of 2
6:15.0,,,63-71,,Offensive rebound by Team
6:15.0,,,63-72,1,M. Chriss makes free throw 2 of 2
6:15.0,T. Jones enters the game for S. Hill,,63-71,,
6:15.0,E. Moore enters the game for A. Ajinca,,63-71,,
5:57.0,A. Davis misses 2-pt shot from 17 ft (block by P. Tucker),,63-72,,
5:54.0,,,63-72,,Defensive rebound by E. Bledsoe
5:51.0,,,63-72,,Shooting foul by J. Holiday (drawn by E. Bledsoe)
5:51.0,,,63-73,1,E. Bledsoe makes free throw 1 of 3
5:51.0,,,63-73,,E. Bledsoe misses free throw 2 of 3
5:51.0,,,63-73,,Offensive rebound by Team
5:51.0,,,63-74,1,E. Bledsoe makes free throw 3 of 3
5:44.0,Turnover by E. Moore (bad pass; steal by P. Tucker),,63-74,,
5:39.0,,,63-76,2,E. Bledsoe makes 2-pt shot from 2 ft (assist by P. Tucker)
5:25.0,J. Holiday misses 2-pt shot from 3 ft,,63-76,,
5:23.0,Offensive rebound by J. Holiday,,63-76,,
5:21.0,R. Williams misses 3-pt shot from 25 ft,,63-76,,
5:19.0,Offensive rebound by J. Holiday,,63-76,,
5:13.0,J. Holiday misses 3-pt shot from 26 ft,,63-76,,
5:11.0,,,63-76,,Defensive rebound by T. Chandler
4:58.0,,,63-76,,E. Bledsoe misses 2-pt shot from 21 ft
4:56.0,Defensive rebound by A. Davis,,63-76,,
4:50.0,Offensive foul by A. Davis,,63-76,,
4:50.0,Turnover by A. Davis (offensive foul),,63-76,,
4:50.0,T. Frazier enters the game for J. Holiday,,63-76,,
4:50.0,Violation by Team (jump ball),,63-76,,
4:33.0,,,63-76,,M. Chriss misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by Team,,63-76,,
4:21.0,,,63-76,,Personal foul by P. Tucker (drawn by A. Davis)
4:21.0,C. Diallo enters the game for A. Davis,,63-76,,
4:09.0,T. Frazier misses 2-pt shot from 9 ft,,63-76,,
4:06.0,,,63-76,,Defensive rebound by T. Chandler
3:43.0,,,63-78,2,D. Booker makes 2-pt shot from 18 ft
3:38.0,,,63-78,,Shooting block foul by M. Chriss (drawn by E. Moore)
3:38.0,E. Moore makes free throw 1 of 2,1,64-78,,
3:38.0,E. Moore misses free throw 2 of 2,,64-78,,
3:38.0,,,64-78,,L. Barbosa enters the game for P. Tucker
3:38.0,B. Hield enters the game for R. Williams,,64-78,,
3:37.0,,,64-78,,Defensive rebound by M. Chriss
3:21.0,,,64-78,,Shooting foul by C. Diallo (drawn by T. Chandler)
3:21.0,,,64-79,1,T. Chandler makes free throw 1 of 2
3:21.0,,,64-79,,T. Chandler misses free throw 2 of 2
3:20.0,Defensive rebound by C. Diallo,,64-79,,
3:00.0,Shooting foul by M. Chriss (drawn by C. Diallo),,64-79,,
3:00.0,C. Diallo makes free throw 1 of 2,1,65-79,,
3:00.0,C. Diallo makes free throw 2 of 2,1,66-79,,
3:00.0,,,65-79,,J. Dudley enters the game for M. Chriss
2:51.0,,,66-79,,Offensive foul by T. Chandler
2:51.0,,,66-79,,Turnover by T. Chandler (offensive foul)
2:51.0,,,66-79,,Phoenix full timeout
2:36.0,T. Jones misses 2-pt shot from 19 ft,,66-79,,
2:34.0,,,66-79,,Defensive rebound by T. Chandler
2:29.0,,,66-79,,D. Booker misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by Team,,66-79,,
2:17.0,T. Frazier misses 3-pt shot from 25 ft,,66-79,,
2:15.0,,,66-79,,Defensive rebound by T. Chandler
2:00.0,,,66-79,,J. Dudley misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by T. Frazier,,66-79,,
1:53.0,B. Hield makes 3-pt shot from 24 ft (assist by T. Frazier),3,69-79,,
1:28.0,,,69-79,,L. Barbosa misses 2-pt shot from 5 ft (block by T. Jones)
1:28.0,,,69-79,,Offensive rebound by Team
1:28.0,Inbound foul by E. Moore,,69-79,,
1:28.0,,,69-80,1,D. Booker makes free throw 1 of 1
1:23.0,,,69-80,,D. Booker misses 3-pt shot from 25 ft
1:21.0,,,69-80,,Offensive rebound by T. Chandler
1:21.0,,,69-80,,T. Chandler misses 2-pt shot from 1 ft
1:19.0,Defensive rebound by T. Frazier,,69-80,,
1:15.0,E. Moore makes 3-pt shot from 26 ft (assist by T. Frazier),3,72-80,,
1:15.0,,,72-80,,Phoenix full timeout
1:15.0,,,72-80,,A. Len enters the game for T. Chandler
1:07.0,,,72-82,2,E. Bledsoe makes 2-pt shot from 2 ft
0:51.0,B. Hield misses 2-pt shot from 19 ft,,72-82,,
0:49.0,,,72-82,,Defensive rebound by D. Booker
0:40.0,,,72-82,,E. Bledsoe misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by E. Moore,,72-82,,
0:34.0,Shooting foul by E. Bledsoe (drawn by T. Frazier),,72-82,,
0:34.0,T. Frazier makes free throw 1 of 2,1,73-82,,
0:34.0,T. Frazier makes free throw 2 of 2,1,74-82,,
0:34.0,,,73-82,,B. Knight enters the game for E. Bledsoe
0:27.0,,,74-82,,Turnover by D. Booker (bad pass; steal by T. Frazier)
0:25.0,,,74-82,,Personal block foul by B. Knight (drawn by T. Frazier)
0:25.0,T. Frazier makes free throw 1 of 2,1,75-82,,
0:25.0,T. Frazier makes free throw 2 of 2,1,76-82,,
0:02.0,,,76-82,,Turnover by J. Dudley (bad pass; steal by T. Frazier)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,76-84,2,B. Knight makes 2-pt shot from 10 ft
11:26.0,Turnover by A. Davis (bad pass; steal by B. Knight),,76-84,,
11:13.0,,,76-84,,A. Len misses 2-pt shot from 1 ft
11:10.0,Defensive rebound by A. Davis,,76-84,,
10:57.0,J. Holiday makes 2-pt shot from 3 ft,2,78-84,,
10:42.0,,,78-84,,B. Knight misses 2-pt shot from 18 ft
10:38.0,Defensive rebound by T. Jones,,78-84,,
10:34.0,L. Galloway makes 3-pt shot from 24 ft (assist by T. Jones),3,81-84,,
10:34.0,,,81-84,,Phoenix full timeout
10:34.0,,,81-84,,P. Tucker enters the game for D. Bender
10:23.0,,,81-84,,Turnover by L. Barbosa (lost ball; steal by J. Holiday)
10:17.0,L. Galloway misses 3-pt shot from 25 ft,,81-84,,
10:14.0,,,81-84,,Defensive rebound by B. Knight
10:02.0,,,81-87,3,J. Dudley makes 3-pt shot from 24 ft (assist by B. Knight)
9:38.0,T. Jones makes 3-pt shot from 26 ft (assist by T. Frazier),3,84-87,,
9:12.0,,,84-87,,Turnover by B. Knight (bad pass; steal by T. Frazier)
9:01.0,J. Holiday makes 3-pt shot from 25 ft (assist by T. Jones),3,87-87,,
8:47.0,,,87-87,,Shooting foul by J. Holiday (drawn by B. Knight)
8:47.0,,,87-88,1,B. Knight makes free throw 1 of 2
8:47.0,,,87-88,,B. Knight misses free throw 2 of 2
8:45.0,Defensive rebound by T. Frazier,,87-88,,
8:27.0,T. Jones misses 3-pt shot from 25 ft,,87-88,,
8:25.0,,,87-88,,Defensive rebound by P. Tucker
8:18.0,Personal foul by T. Frazier (drawn by J. Dudley),,87-88,,
8:18.0,,,87-88,,E. Bledsoe enters the game for B. Knight
8:04.0,,,87-88,,J. Dudley misses 2-pt shot from 8 ft
7:59.0,,,87-88,,Offensive rebound by P. Tucker
7:56.0,,,87-91,3,J. Dudley makes 3-pt shot from 24 ft (assist by P. Tucker)
7:54.0,New Orleans full timeout,,87-91,,
7:45.0,Turnover by J. Holiday (lost ball; steal by E. Bledsoe),,87-91,,
7:42.0,,,87-93,2,E. Bledsoe makes 2-pt shot at rim
7:21.0,T. Frazier misses 2-pt shot from 3 ft,,87-93,,
7:19.0,,,87-93,,Defensive rebound by A. Len
7:06.0,,,87-93,,A. Len misses 2-pt shot from 3 ft (block by T. Frazier)
7:05.0,,,87-93,,Offensive rebound by A. Len
7:05.0,,,87-93,,Shooting foul by T. Frazier (drawn by A. Len)
7:05.0,,,87-93,,A. Len misses free throw 1 of 2
7:05.0,,,87-93,,Offensive rebound by Team
7:05.0,,,87-94,1,A. Len makes free throw 2 of 2
6:57.0,,,87-94,,Personal foul by L. Barbosa (drawn by A. Davis)
6:46.0,A. Davis misses 2-pt shot from 19 ft (block by P. Tucker),,87-94,,
6:43.0,Offensive rebound by A. Davis,,87-94,,
6:40.0,J. Holiday misses 3-pt shot from 26 ft,,87-94,,
6:39.0,Offensive rebound by T. Frazier,,87-94,,
6:35.0,L. Galloway makes 3-pt shot from 25 ft (assist by T. Frazier),3,90-94,,
6:14.0,,,90-96,2,L. Barbosa makes 2-pt shot from 16 ft
5:57.0,L. Galloway makes 3-pt shot from 27 ft (assist by T. Frazier),3,93-96,,
