time,Dallas,pts.away,score,pts.home,Detroit
1:47.0,,,17-27,,Turnover by J. Leuer (lost ball; steal by Y. Ferrell)
1:40.0,Y. Ferrell misses 2-pt shot from 4 ft (block by I. Smith),,17-27,,
1:38.0,,,17-27,,Defensive rebound by J. Leuer
1:32.0,,,17-27,,Detroit full timeout
1:32.0,,,17-27,,S. Johnson enters the game for J. Leuer
1:32.0,,,17-27,,T. Harris enters the game for K. Caldwell-Pope
1:20.0,,,17-27,,M. Morris misses 2-pt shot from 18 ft
1:19.0,Defensive rebound by Y. Ferrell,,17-27,,
1:08.0,Turnover by A. Bogut (bad pass),,17-27,,
0:53.0,,,17-27,,S. Johnson misses 3-pt shot from 26 ft
0:53.0,,,17-27,,Offensive rebound by T. Harris
0:49.0,,,17-27,,Turnover by T. Harris (lost ball; steal by A. Bogut)
0:32.0,D. Harris misses 3-pt shot from 27 ft,,17-27,,
0:31.0,,,17-27,,Defensive rebound by M. Morris
0:22.0,,,17-27,,A. Baynes misses 2-pt shot from 15 ft
0:22.0,Defensive rebound by D. Harris,,17-27,,
0:07.0,Y. Ferrell misses 2-pt shot from 17 ft,,17-27,,
0:06.0,,,17-27,,Defensive rebound by A. Baynes
0:02.0,,,17-27,,Turnover by I. Smith (lost ball; steal by Y. Ferrell)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,D. Harris misses 2-pt shot from 12 ft,,17-27,,
11:37.0,Offensive rebound by Y. Ferrell,,17-27,,
11:29.0,,,17-27,,Personal foul by S. Johnson (drawn by D. Nowitzki)
11:17.0,D. Nowitzki misses 2-pt shot from 16 ft,,17-27,,
11:16.0,,,17-27,,Defensive rebound by I. Smith
11:12.0,,,17-27,,I. Smith misses 2-pt shot at rim
11:12.0,,,17-27,,Offensive rebound by J. Leuer
11:12.0,,,17-27,,Shooting foul by D. Finney-Smith (drawn by J. Leuer)
11:12.0,,,17-28,1,J. Leuer makes free throw 1 of 2
11:12.0,,,17-29,1,J. Leuer makes free throw 2 of 2
11:12.0,D. Williams enters the game for Y. Ferrell,,17-28,,
10:51.0,D. Williams misses 3-pt shot from 26 ft,,17-29,,
10:51.0,,,17-29,,Defensive rebound by J. Leuer
10:43.0,,,17-32,3,T. Harris makes 3-pt shot from 24 ft (assist by S. Johnson)
10:37.0,,,17-32,,Personal foul by S. Johnson (drawn by D. Nowitzki)
10:23.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Harris),2,19-32,,
10:01.0,,,19-34,2,T. Harris makes 2-pt shot from 7 ft
9:51.0,D. Finney-Smith misses 3-pt shot from 23 ft,,19-34,,
9:51.0,,,19-34,,Defensive rebound by Team
9:51.0,,,19-34,,A. Drummond enters the game for A. Baynes
9:34.0,,,19-36,2,I. Smith makes 2-pt shot from 10 ft
9:20.0,D. Harris misses 2-pt shot from 1 ft (block by J. Leuer),,19-36,,
9:14.0,,,19-36,,Defensive rebound by T. Harris
9:14.0,,,19-36,,I. Smith misses 2-pt shot from 17 ft
9:14.0,,,19-36,,Offensive rebound by Team
9:14.0,Loose ball foul by D. Harris (drawn by T. Harris),,19-36,,
9:14.0,S. Curry enters the game for D. Harris,,19-36,,
9:14.0,Y. Ferrell enters the game for D. Finney-Smith,,19-36,,
9:04.0,,,19-38,2,J. Leuer makes 2-pt shot from 13 ft (assist by I. Smith)
8:42.0,D. Williams makes 2-pt shot from 14 ft,2,21-38,,
8:23.0,,,21-40,2,T. Harris makes 2-pt shot from 17 ft
8:05.0,D. Nowitzki makes 2-pt shot from 6 ft,2,23-40,,
7:55.0,,,23-40,,Shooting foul by S. Mejri (drawn by I. Smith)
7:55.0,Official timeout,,23-40,,
7:55.0,,,23-41,1,I. Smith makes free throw 1 of 2
7:55.0,,,23-42,1,I. Smith makes free throw 2 of 2
7:37.0,D. Nowitzki misses 2-pt shot from 16 ft,,23-42,,
7:36.0,,,23-42,,Defensive rebound by T. Harris
7:31.0,,,23-44,2,J. Leuer makes 2-pt shot from 16 ft (assist by I. Smith)
7:18.0,D. Powell enters the game for S. Mejri,,23-44,,
7:14.0,D. Nowitzki misses 2-pt shot from 13 ft,,23-44,,
7:14.0,,,23-44,,Defensive rebound by A. Drummond
7:02.0,,,23-46,2,I. Smith makes 2-pt shot from 14 ft
7:02.0,Dallas full timeout,,23-46,,
7:02.0,H. Barnes enters the game for D. Nowitzki,,23-46,,
7:02.0,W. Matthews enters the game for S. Curry,,23-46,,
7:02.0,A. Bogut enters the game for D. Williams,,23-46,,
7:02.0,D. Harris enters the game for D. Powell,,23-46,,
6:39.0,D. Harris misses 2-pt shot from 1 ft,,23-46,,
6:39.0,Offensive rebound by A. Bogut,,23-46,,
6:36.0,A. Bogut makes 2-pt shot at rim,2,25-46,,
6:20.0,,,25-46,,T. Harris misses 2-pt shot at rim (block by A. Bogut)
6:18.0,Defensive rebound by Y. Ferrell,,25-46,,
6:13.0,H. Barnes makes 2-pt shot from 1 ft (assist by D. Harris),2,27-46,,
6:00.0,,,27-46,,I. Smith misses 2-pt shot from 6 ft
5:58.0,,,27-46,,Offensive rebound by T. Harris
5:49.0,,,27-46,,T. Harris misses 3-pt shot from 26 ft
5:47.0,,,27-46,,Offensive rebound by Team
5:47.0,,,27-46,,R. Jackson enters the game for I. Smith
5:47.0,,,27-46,,K. Caldwell-Pope enters the game for T. Harris
5:34.0,,,27-48,2,A. Drummond makes 2-pt shot from 7 ft (assist by S. Johnson)
5:21.0,,,27-48,,Personal foul by K. Caldwell-Pope (drawn by Y. Ferrell)
5:11.0,D. Harris misses 2-pt shot from 6 ft,,27-48,,
5:11.0,,,27-48,,Defensive rebound by A. Drummond
5:11.0,Personal foul by A. Bogut (drawn by A. Drummond),,27-48,,
5:01.0,,,27-48,,S. Johnson misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by W. Matthews,,27-48,,
4:58.0,Dallas full timeout,,27-48,,
4:58.0,,,27-48,,M. Morris enters the game for J. Leuer
4:44.0,Shooting foul by A. Drummond (drawn by D. Harris),,27-48,,
4:44.0,D. Harris makes free throw 1 of 2,1,28-48,,
4:44.0,D. Harris makes free throw 2 of 2,1,29-48,,
4:44.0,,,28-48,,A. Baynes enters the game for A. Drummond
4:25.0,,,29-51,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
4:10.0,W. Matthews misses 3-pt shot from 27 ft,,29-51,,
4:10.0,,,29-51,,Defensive rebound by K. Caldwell-Pope
4:05.0,,,29-51,,K. Caldwell-Pope misses 3-pt shot from 26 ft
4:04.0,Defensive rebound by A. Bogut,,29-51,,
3:48.0,A. Bogut misses 2-pt shot from 7 ft,,29-51,,
3:46.0,,,29-51,,Defensive rebound by M. Morris
3:39.0,,,29-53,2,R. Jackson makes 2-pt shot from 14 ft (assist by M. Morris)
3:21.0,,,29-53,,Def 3 sec tech foul by A. Baynes
3:21.0,H. Barnes makes technical free throw,1,30-53,,
3:21.0,D. Nowitzki enters the game for A. Bogut,,29-53,,
3:05.0,W. Matthews misses 3-pt shot from 24 ft,,30-53,,
3:04.0,,,30-53,,Defensive rebound by M. Morris
2:57.0,Personal foul by Y. Ferrell (drawn by R. Jackson),,30-53,,
2:57.0,,,30-53,,R. Jackson misses free throw 1 of 2
2:57.0,,,30-53,,Offensive rebound by Team
2:57.0,,,30-54,1,R. Jackson makes free throw 2 of 2
2:57.0,S. Curry enters the game for D. Harris,,30-53,,
2:57.0,D. Williams enters the game for Y. Ferrell,,30-53,,
2:48.0,Turnover by D. Nowitzki (lost ball; steal by R. Jackson),,30-54,,
2:42.0,,,30-56,2,R. Jackson makes 2-pt shot at rim
2:18.0,H. Barnes makes 2-pt shot from 18 ft (assist by D. Nowitzki),2,32-56,,
2:18.0,Shooting foul by K. Caldwell-Pope (drawn by H. Barnes),,32-56,,
2:18.0,H. Barnes makes free throw 1 of 1,1,33-56,,
2:18.0,,,32-56,,J. Leuer enters the game for S. Johnson
2:18.0,,,32-56,,I. Smith enters the game for R. Jackson
1:57.0,,,33-58,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
1:51.0,,,33-58,,Personal foul by A. Baynes (drawn by D. Nowitzki)
1:51.0,D. Nowitzki makes free throw 1 of 2,1,34-58,,
1:51.0,D. Nowitzki makes free throw 2 of 2,1,35-58,,
1:25.0,,,35-58,,M. Morris misses 2-pt shot from 22 ft
1:25.0,Defensive rebound by D. Nowitzki,,35-58,,
1:03.0,H. Barnes misses 2-pt shot from 10 ft,,35-58,,
1:02.0,,,35-58,,Defensive rebound by A. Baynes
0:52.0,,,35-58,,K. Caldwell-Pope misses 2-pt shot from 3 ft
0:52.0,,,35-58,,Offensive rebound by K. Caldwell-Pope
0:50.0,,,35-60,2,K. Caldwell-Pope makes 2-pt shot at rim
0:33.0,D. Williams misses 2-pt shot from 8 ft,,35-60,,
0:31.0,,,35-60,,Defensive rebound by J. Leuer
0:24.0,,,35-62,2,A. Baynes makes 2-pt shot from 4 ft (assist by I. Smith)
0:04.0,D. Nowitzki misses 2-pt shot from 14 ft,,35-62,,
0:02.0,,,35-62,,Defensive rebound by M. Morris
0:00.0,,,35-62,,M. Morris misses 3-pt shot from 72 ft
0:00.0,,,35-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,W. Matthews misses 3-pt shot from 25 ft,,35-62,,
11:47.0,Offensive rebound by H. Barnes,,35-62,,
11:31.0,Shooting foul by R. Jackson (drawn by D. Williams),,35-62,,
11:31.0,D. Williams makes free throw 1 of 2,1,36-62,,
11:31.0,D. Williams makes free throw 2 of 2,1,37-62,,
11:19.0,,,37-62,,Turnover by A. Drummond (bad pass; steal by D. Nowitzki)
11:04.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams),2,39-62,,
10:47.0,,,39-62,,K. Caldwell-Pope misses 3-pt shot from 27 ft
10:47.0,Defensive rebound by D. Nowitzki,,39-62,,
10:34.0,D. Williams misses 3-pt shot from 26 ft,,39-62,,
10:33.0,,,39-62,,Defensive rebound by A. Drummond
10:20.0,,,39-62,,Turnover by R. Jackson (bad pass; steal by W. Matthews)
10:13.0,S. Curry makes 3-pt shot from 23 ft (assist by H. Barnes),3,42-62,,
10:13.0,,,42-62,,Detroit full timeout
9:59.0,,,42-62,,A. Drummond misses 2-pt shot from 1 ft
9:59.0,,,42-62,,Offensive rebound by A. Drummond
9:59.0,,,42-62,,Shooting foul by D. Williams (drawn by A. Drummond)
9:59.0,,,42-63,1,A. Drummond makes free throw 1 of 2
9:59.0,,,42-63,,A. Drummond misses free throw 2 of 2
9:58.0,Defensive rebound by D. Nowitzki,,42-63,,
9:45.0,H. Barnes makes 2-pt shot from 10 ft (assist by W. Matthews),2,44-63,,
9:30.0,,,44-63,,Turnover by A. Drummond (lost ball)
9:20.0,D. Nowitzki makes 3-pt shot from 27 ft (assist by D. Williams),3,47-63,,
9:05.0,,,47-66,3,R. Jackson makes 3-pt shot from 27 ft
8:48.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by D. Williams),2,49-66,,
8:41.0,Personal foul by D. Williams (drawn by R. Jackson),,49-66,,
8:31.0,,,49-66,,Shooting foul by D. Nowitzki (drawn by R. Jackson)
8:31.0,,,49-67,1,R. Jackson makes free throw 1 of 2
8:31.0,,,49-68,1,R. Jackson makes free throw 2 of 2
8:14.0,H. Barnes makes 2-pt shot at rim (assist by D. Williams),2,51-68,,
7:54.0,,,51-68,,R. Jackson misses 3-pt shot from 23 ft
7:53.0,Defensive rebound by D. Nowitzki,,51-68,,
7:45.0,D. Nowitzki misses 3-pt shot from 25 ft,,51-68,,
7:44.0,,,51-68,,Defensive rebound by M. Morris
7:29.0,,,51-68,,J. Leuer misses 2-pt shot from 15 ft
7:29.0,Defensive rebound by S. Curry,,51-68,,
7:17.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Williams),3,54-68,,
6:55.0,,,54-70,2,A. Drummond makes 2-pt shot from 8 ft
6:35.0,D. Nowitzki makes 3-pt shot from 27 ft (assist by W. Matthews),3,57-70,,
6:29.0,,,57-70,,Detroit full timeout
6:28.0,,,57-70,,T. Harris enters the game for J. Leuer
6:28.0,,,57-70,,A. Baynes enters the game for A. Drummond
6:28.0,A. Bogut enters the game for D. Nowitzki,,57-70,,
6:13.0,,,57-70,,T. Harris misses 2-pt shot from 18 ft
6:13.0,Defensive rebound by A. Bogut,,57-70,,
6:03.0,D. Williams misses 3-pt shot from 26 ft,,57-70,,
6:02.0,,,57-70,,Defensive rebound by A. Baynes
5:52.0,,,57-72,2,K. Caldwell-Pope makes 2-pt shot from 15 ft
5:33.0,H. Barnes misses 2-pt shot from 16 ft,,57-72,,
5:31.0,,,57-72,,Defensive rebound by M. Morris
5:29.0,,,57-72,,Offensive foul by A. Baynes
5:29.0,,,57-72,,Turnover by A. Baynes (offensive foul)
5:20.0,Offensive foul by A. Bogut,,57-72,,
5:20.0,Turnover by A. Bogut (offensive foul),,57-72,,
4:57.0,,,57-72,,M. Morris misses 2-pt shot from 22 ft
4:57.0,Defensive rebound by A. Bogut,,57-72,,
4:33.0,H. Barnes misses 3-pt shot from 25 ft,,57-72,,
4:33.0,,,57-72,,Defensive rebound by A. Baynes
4:23.0,,,57-74,2,T. Harris makes 2-pt shot from 13 ft
4:23.0,Dallas full timeout,,57-74,,
4:23.0,,,57-74,,I. Smith enters the game for R. Jackson
4:16.0,,,57-74,,Personal foul by M. Morris (drawn by W. Matthews)
4:11.0,H. Barnes makes 2-pt shot at rim (assist by A. Bogut),2,59-74,,
3:50.0,,,59-74,,T. Harris misses 2-pt shot from 16 ft
3:50.0,Defensive rebound by D. Williams,,59-74,,
3:42.0,W. Matthews misses 2-pt shot from 19 ft,,59-74,,
3:42.0,Offensive rebound by Team,,59-74,,
3:42.0,,,59-74,,Loose ball foul by A. Baynes (drawn by H. Barnes)
3:33.0,D. Williams misses 2-pt shot from 10 ft,,59-74,,
3:32.0,,,59-74,,Defensive rebound by K. Caldwell-Pope
3:30.0,Personal foul by W. Matthews (drawn by K. Caldwell-Pope),,59-74,,
3:21.0,,,59-74,,K. Caldwell-Pope misses 2-pt shot from 17 ft
3:21.0,Defensive rebound by H. Barnes,,59-74,,
3:06.0,S. Curry makes 2-pt shot from 16 ft,2,61-74,,
2:47.0,,,61-74,,Turnover by M. Morris (bad pass; steal by S. Curry)
2:41.0,S. Curry misses 3-pt shot from 26 ft,,61-74,,
2:40.0,,,61-74,,Defensive rebound by A. Baynes
2:33.0,,,61-74,,Turnover by I. Smith (bad pass; steal by S. Curry)
2:20.0,W. Matthews misses 3-pt shot from 27 ft,,61-74,,
2:20.0,,,61-74,,Defensive rebound by A. Baynes
2:12.0,,,61-74,,A. Baynes misses 2-pt shot from 8 ft
2:12.0,Defensive rebound by H. Barnes,,61-74,,
1:58.0,H. Barnes misses 3-pt shot from 26 ft,,61-74,,
1:58.0,,,61-74,,Defensive rebound by A. Baynes
1:49.0,Personal foul by S. Curry (drawn by T. Harris),,61-74,,
1:49.0,,,61-75,1,T. Harris makes free throw 1 of 2
1:49.0,,,61-76,1,T. Harris makes free throw 2 of 2
1:49.0,,,61-75,,S. Johnson enters the game for M. Morris
1:32.0,D. Williams misses 2-pt shot from 8 ft,,61-76,,
1:31.0,Offensive rebound by A. Bogut,,61-76,,
1:28.0,A. Bogut misses 2-pt shot at rim,,61-76,,
1:27.0,Offensive rebound by A. Bogut,,61-76,,
1:27.0,S. Curry misses 3-pt shot from 25 ft,,61-76,,
1:27.0,,,61-76,,Defensive rebound by Team
1:14.0,,,61-76,,S. Johnson misses 3-pt shot from 27 ft
1:13.0,Defensive rebound by A. Bogut,,61-76,,
1:00.0,W. Matthews makes 2-pt shot from 1 ft,2,63-76,,
0:40.0,,,63-76,,K. Caldwell-Pope misses 2-pt shot from 13 ft
0:39.0,Defensive rebound by S. Curry,,63-76,,
0:32.0,W. Matthews misses 3-pt shot from 23 ft,,63-76,,
0:32.0,,,63-76,,Defensive rebound by Team
0:32.0,Loose ball foul by A. Bogut (drawn by T. Harris),,63-76,,
0:32.0,,,63-77,1,T. Harris makes free throw 1 of 2
0:32.0,,,63-78,1,T. Harris makes free throw 2 of 2
0:32.0,Y. Ferrell enters the game for S. Curry,,63-77,,
0:32.0,D. Harris enters the game for D. Williams,,63-77,,
0:32.0,D. Nowitzki enters the game for A. Bogut,,63-77,,
0:18.0,Y. Ferrell misses 2-pt shot from 17 ft,,63-78,,
0:17.0,,,63-78,,Defensive rebound by S. Johnson
0:01.0,,,63-78,,I. Smith misses 2-pt shot from 15 ft
0:00.0,,,63-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,63-78,,T. Harris misses 2-pt shot from 10 ft
11:38.0,Defensive rebound by D. Nowitzki,,63-78,,
11:24.0,D. Nowitzki misses 2-pt shot from 17 ft,,63-78,,
11:24.0,,,63-78,,Defensive rebound by I. Smith
11:20.0,,,63-78,,Offensive charge foul by S. Johnson
11:20.0,,,63-78,,Turnover by S. Johnson (offensive foul)
11:00.0,Y. Ferrell misses 3-pt shot from 23 ft,,63-78,,
11:00.0,,,63-78,,Defensive rebound by A. Baynes
10:41.0,,,63-80,2,I. Smith makes 2-pt shot from 15 ft
10:27.0,Y. Ferrell makes 2-pt shot from 1 ft,2,65-80,,
10:08.0,,,65-80,,Turnover by T. Harris (lost ball; steal by D. Harris)
10:02.0,D. Harris makes 2-pt shot at rim,2,67-80,,
9:45.0,,,67-82,2,I. Smith makes 2-pt shot from 7 ft
9:36.0,D. Finney-Smith makes 2-pt shot at rim (assist by Y. Ferrell),2,69-82,,
9:36.0,Shooting foul by J. Leuer (drawn by D. Finney-Smith),,69-82,,
9:36.0,D. Finney-Smith makes free throw 1 of 1,1,70-82,,
9:29.0,Personal foul by D. Nowitzki (drawn by A. Baynes),,70-82,,
9:19.0,,,70-82,,I. Smith misses 2-pt shot from 19 ft
9:18.0,,,70-82,,Offensive rebound by A. Baynes
9:17.0,,,70-82,,A. Baynes misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by D. Finney-Smith,,70-82,,
8:58.0,D. Nowitzki misses 2-pt shot from 19 ft,,70-82,,
8:57.0,,,70-82,,Defensive rebound by J. Leuer
8:39.0,,,70-82,,A. Baynes misses 2-pt shot from 15 ft
8:38.0,Defensive rebound by D. Harris,,70-82,,
8:28.0,Y. Ferrell makes 3-pt shot from 25 ft,3,73-82,,
8:28.0,,,73-82,,Detroit full timeout
8:28.0,,,73-82,,K. Caldwell-Pope enters the game for T. Harris
8:28.0,,,73-82,,M. Morris enters the game for S. Johnson
8:10.0,,,73-82,,I. Smith misses 3-pt shot from 24 ft
8:10.0,Defensive rebound by J. Anderson,,73-82,,
7:55.0,D. Nowitzki misses 3-pt shot from 25 ft,,73-82,,
7:55.0,,,73-82,,Defensive rebound by Team
7:55.0,,,73-82,,R. Jackson enters the game for I. Smith
7:54.0,Personal foul by Y. Ferrell (drawn by R. Jackson),,73-82,,
7:38.0,,,73-84,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by R. Jackson)
7:17.0,Turnover by Y. Ferrell (bad pass),,73-84,,
7:05.0,,,73-84,,Turnover by R. Jackson (traveling)
6:56.0,Shooting foul by J. Leuer (drawn by D. Harris),,73-84,,
6:56.0,D. Harris makes free throw 1 of 2,1,74-84,,
6:56.0,D. Harris makes free throw 2 of 2,1,75-84,,
6:43.0,,,75-84,,R. Jackson misses 2-pt shot from 1 ft
6:42.0,,,75-84,,Offensive rebound by A. Baynes
6:42.0,,,75-84,,A. Baynes misses 2-pt shot from 1 ft
6:41.0,Defensive rebound by Y. Ferrell,,75-84,,
6:33.0,Y. Ferrell misses 3-pt shot from 26 ft,,75-84,,
6:33.0,,,75-84,,Defensive rebound by J. Leuer
6:16.0,,,75-86,2,R. Jackson makes 2-pt shot from 20 ft
6:16.0,Dallas full timeout,,75-86,,
6:16.0,,,75-86,,T. Harris enters the game for J. Leuer
6:16.0,,,75-86,,A. Drummond enters the game for A. Baynes
6:16.0,D. Williams enters the game for D. Nowitzki,,75-86,,
6:16.0,W. Matthews enters the game for Y. Ferrell,,75-86,,
6:16.0,A. Bogut enters the game for D. Harris,,75-86,,
6:16.0,S. Curry enters the game for D. Finney-Smith,,75-86,,
6:16.0,H. Barnes enters the game for J. Anderson,,75-86,,
5:55.0,H. Barnes misses 3-pt shot from 23 ft,,75-86,,
5:54.0,,,75-86,,Defensive rebound by K. Caldwell-Pope
5:44.0,,,75-86,,Turnover by M. Morris (lost ball; steal by W. Matthews)
5:31.0,S. Curry makes 3-pt shot from 23 ft (assist by W. Matthews),3,78-86,,
5:17.0,,,78-89,3,R. Jackson makes 3-pt shot from 25 ft
5:06.0,D. Williams misses 2-pt shot from 18 ft,,78-89,,
5:06.0,,,78-89,,Defensive rebound by T. Harris
4:56.0,,,78-89,,Turnover by R. Jackson (bad pass; steal by D. Williams)
4:40.0,W. Matthews misses 3-pt shot from 26 ft,,78-89,,
4:40.0,,,78-89,,Defensive rebound by A. Drummond
4:29.0,,,78-89,,Turnover by T. Harris (bad pass)
4:08.0,D. Williams makes 3-pt shot from 26 ft (assist by S. Curry),3,81-89,,
3:37.0,,,81-89,,M. Morris misses 3-pt shot from 26 ft
3:37.0,Defensive rebound by D. Williams,,81-89,,
3:20.0,H. Barnes misses 2-pt shot from 7 ft,,81-89,,
3:20.0,,,81-89,,Defensive rebound by M. Morris
3:02.0,,,81-92,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by A. Drummond)
3:02.0,Dallas full timeout,,81-92,,
3:02.0,,,81-92,,J. Leuer enters the game for A. Drummond
3:02.0,D. Nowitzki enters the game for A. Bogut,,81-92,,
2:46.0,S. Curry misses 3-pt shot from 27 ft,,81-92,,
2:46.0,,,81-92,,Defensive rebound by M. Morris
