time,New York,pts.away,score,pts.home,Boston
11:44.0,,,31-36,2,J. Jerebko makes 2-pt shot from 6 ft (assist by G. Green)
11:26.0,W. Hernangomez misses 2-pt shot from 4 ft,,31-36,,
11:25.0,,,31-36,,Defensive rebound by J. Brown
11:09.0,,,31-36,,T. Rozier misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by W. Hernangomez,,31-36,,
10:56.0,Turnover by B. Jennings (bad pass),,31-36,,
10:42.0,,,31-36,,K. Olynyk misses 3-pt shot from 26 ft
10:41.0,Defensive rebound by B. Jennings,,31-36,,
10:30.0,J. Holiday misses 3-pt shot from 23 ft,,31-36,,
10:29.0,,,31-36,,Defensive rebound by K. Olynyk
10:24.0,Personal foul by W. Hernangomez (drawn by K. Olynyk),,31-36,,
10:15.0,,,31-36,,G. Green misses 2-pt shot from 11 ft (block by C. Lee)
10:14.0,Defensive rebound by J. Holiday,,31-36,,
10:07.0,B. Jennings misses 2-pt shot from 1 ft,,31-36,,
10:06.0,Offensive rebound by W. Hernangomez,,31-36,,
10:06.0,W. Hernangomez makes 2-pt shot from 1 ft,2,33-36,,
9:57.0,Personal foul by W. Hernangomez (drawn by K. Olynyk),,33-36,,
9:50.0,,,33-36,,T. Rozier misses 2-pt shot from 6 ft
9:49.0,,,33-36,,Offensive rebound by Team
9:49.0,Loose ball foul by B. Jennings (drawn by K. Olynyk),,33-36,,
9:37.0,,,33-36,,Turnover by K. Olynyk (3 sec)
9:21.0,W. Hernangomez makes 2-pt shot from 3 ft,2,35-36,,
8:58.0,,,35-36,,G. Green misses 2-pt shot from 13 ft
8:57.0,Defensive rebound by J. Holiday,,35-36,,
8:50.0,,,35-36,,Personal foul by G. Green (drawn by W. Hernangomez)
8:50.0,Official timeout,,35-36,,
8:43.0,W. Hernangomez misses 2-pt shot from 3 ft (block by J. Brown),,35-36,,
8:41.0,,,35-36,,Defensive rebound by J. Brown
8:36.0,,,35-38,2,J. Jerebko makes 2-pt shot at rim
8:20.0,M. Kuzminskas misses 2-pt shot from 3 ft,,35-38,,
8:19.0,Offensive rebound by M. Kuzminskas,,35-38,,
8:19.0,M. Kuzminskas misses 2-pt shot from 2 ft,,35-38,,
8:18.0,Offensive rebound by W. Hernangomez,,35-38,,
8:18.0,W. Hernangomez makes 2-pt shot from 1 ft,2,37-38,,
8:01.0,,,37-38,,J. Brown misses 2-pt shot at rim
8:00.0,Defensive rebound by W. Hernangomez,,37-38,,
7:52.0,J. Holiday misses 3-pt shot from 25 ft,,37-38,,
7:51.0,Offensive rebound by C. Lee,,37-38,,
7:46.0,C. Lee makes 2-pt shot from 21 ft,2,39-38,,
7:27.0,,,39-38,,G. Green misses 3-pt shot from 26 ft
7:26.0,Defensive rebound by C. Lee,,39-38,,
7:20.0,Shooting foul by T. Rozier (drawn by B. Jennings),,39-38,,
7:20.0,B. Jennings makes free throw 1 of 2,1,40-38,,
7:20.0,B. Jennings makes free throw 2 of 2,1,41-38,,
7:20.0,,,40-38,,A. Johnson enters the game for J. Brown
7:20.0,,,40-38,,A. Horford enters the game for K. Olynyk
7:20.0,,,40-38,,M. Smart enters the game for J. Jerebko
7:20.0,,,40-38,,I. Thomas enters the game for G. Green
7:04.0,,,41-38,,I. Thomas misses 2-pt shot from 5 ft
7:03.0,Defensive rebound by B. Jennings,,41-38,,
6:58.0,B. Jennings misses 3-pt shot from 25 ft,,41-38,,
6:57.0,,,41-38,,Defensive rebound by T. Rozier
6:51.0,,,41-41,3,I. Thomas makes 3-pt shot from 25 ft (assist by T. Rozier)
6:34.0,M. Kuzminskas misses 2-pt shot from 2 ft,,41-41,,
6:32.0,,,41-41,,Defensive rebound by A. Johnson
6:27.0,,,41-41,,T. Rozier misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by B. Jennings,,41-41,,
6:18.0,J. Holiday makes 2-pt shot from 1 ft,2,43-41,,
6:18.0,Shooting foul by M. Smart (drawn by J. Holiday),,43-41,,
6:18.0,J. Holiday makes free throw 1 of 1,1,44-41,,
6:03.0,,,44-41,,T. Rozier misses 2-pt shot from 3 ft
6:02.0,Defensive rebound by J. Holiday,,44-41,,
5:57.0,M. Kuzminskas misses 2-pt shot from 1 ft (block by M. Smart),,44-41,,
5:56.0,Offensive rebound by W. Hernangomez,,44-41,,
5:55.0,W. Hernangomez makes 2-pt shot at rim,2,46-41,,
5:46.0,,,46-43,2,I. Thomas makes 2-pt shot from 1 ft
5:38.0,W. Hernangomez makes 2-pt shot at rim (assist by B. Jennings),2,48-43,,
5:38.0,,,48-43,,Boston full timeout
5:38.0,,,48-43,,J. Crowder enters the game for T. Rozier
5:38.0,R. Baker enters the game for J. Holiday,,48-43,,
5:23.0,,,48-43,,A. Horford misses 2-pt shot from 11 ft
5:22.0,Defensive rebound by W. Hernangomez,,48-43,,
5:09.0,B. Jennings makes 3-pt shot from 26 ft,3,51-43,,
4:52.0,,,51-46,3,J. Crowder makes 3-pt shot from 25 ft (assist by M. Smart)
4:38.0,B. Jennings misses 3-pt shot from 25 ft,,51-46,,
4:37.0,,,51-46,,Defensive rebound by I. Thomas
4:30.0,,,51-48,2,I. Thomas makes 2-pt shot from 1 ft
4:23.0,Offensive foul by R. Baker,,51-48,,
4:23.0,Turnover by R. Baker (offensive foul),,51-48,,
4:23.0,C. Anthony enters the game for M. Kuzminskas,,51-48,,
4:23.0,D. Rose enters the game for R. Baker,,51-48,,
4:00.0,,,51-48,,A. Horford misses 3-pt shot from 23 ft
3:59.0,,,51-48,,Offensive rebound by A. Johnson
3:55.0,,,51-50,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Johnson)
3:37.0,W. Hernangomez misses 2-pt shot from 4 ft,,51-50,,
3:36.0,,,51-50,,Defensive rebound by A. Horford
3:30.0,,,51-50,,M. Smart misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by C. Lee,,51-50,,
3:23.0,D. Rose makes 2-pt shot at rim (assist by C. Lee),2,53-50,,
3:17.0,,,53-52,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Horford)
2:56.0,Shooting foul by A. Johnson (drawn by B. Jennings),,53-52,,
2:56.0,New York full timeout,,53-52,,
2:56.0,B. Jennings misses free throw 1 of 2,,53-52,,
2:56.0,Offensive rebound by Team,,53-52,,
2:56.0,B. Jennings makes free throw 2 of 2,1,54-52,,
2:56.0,M. Plumlee enters the game for W. Hernangomez,,53-52,,
2:56.0,,,53-52,,J. Jerebko enters the game for A. Johnson
2:43.0,,,54-52,,A. Horford misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by Team,,54-52,,
2:43.0,J. Holiday enters the game for B. Jennings,,54-52,,
2:31.0,D. Rose makes 2-pt shot from 19 ft,2,56-52,,
2:13.0,,,56-52,,A. Horford misses 2-pt shot from 14 ft
2:12.0,Defensive rebound by C. Anthony,,56-52,,
1:47.0,D. Rose misses 2-pt shot from 6 ft,,56-52,,
1:46.0,Offensive rebound by M. Plumlee,,56-52,,
1:42.0,C. Anthony makes 3-pt shot from 26 ft (assist by M. Plumlee),3,59-52,,
1:28.0,,,59-54,2,I. Thomas makes 2-pt shot at rim
1:11.0,D. Rose makes 2-pt shot from 18 ft (assist by C. Lee),2,61-54,,
0:55.0,,,61-54,,A. Horford misses 3-pt shot from 26 ft
0:54.0,Defensive rebound by J. Holiday,,61-54,,
0:38.0,Shooting foul by J. Crowder (drawn by J. Holiday),,61-54,,
0:38.0,J. Holiday makes free throw 1 of 2,1,62-54,,
0:38.0,J. Holiday makes free throw 2 of 2,1,63-54,,
0:31.0,,,63-54,,J. Jerebko misses 2-pt shot from 23 ft
0:30.0,Defensive rebound by M. Plumlee,,63-54,,
0:08.0,C. Anthony misses 3-pt shot from 28 ft,,63-54,,
0:08.0,,,63-54,,Defensive rebound by J. Crowder
0:01.0,,,63-54,,I. Thomas misses 3-pt shot from 31 ft
0:00.0,,,63-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,63-54,,J. Crowder misses 2-pt shot from 1 ft
11:48.0,Defensive rebound by M. Kuzminskas,,63-54,,
11:33.0,M. Kuzminskas makes 3-pt shot from 27 ft (assist by D. Rose),3,66-54,,
11:18.0,,,66-54,,I. Thomas misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by M. Kuzminskas,,66-54,,
11:11.0,C. Anthony misses 3-pt shot from 27 ft,,66-54,,
11:10.0,,,66-54,,Defensive rebound by A. Johnson
11:03.0,,,66-54,,Shooting foul by R. Baker (drawn by I. Thomas)
11:03.0,,,66-55,1,I. Thomas makes free throw 1 of 2
11:03.0,,,66-56,1,I. Thomas makes free throw 2 of 2
10:45.0,Shooting foul by A. Johnson (drawn by D. Rose),,66-56,,
10:45.0,D. Rose makes free throw 1 of 2,1,67-56,,
10:45.0,D. Rose makes free throw 2 of 2,1,68-56,,
10:28.0,,,68-59,3,I. Thomas makes 3-pt shot from 27 ft (assist by M. Smart)
10:14.0,Turnover by D. Rose (bad pass; steal by I. Thomas),,68-59,,
10:02.0,,,68-62,3,I. Thomas makes 3-pt shot from 23 ft (assist by A. Johnson)
10:02.0,New York full timeout,,68-62,,
9:46.0,C. Anthony makes 3-pt shot from 25 ft (assist by M. Kuzminskas),3,71-62,,
9:33.0,Personal foul by D. Rose (drawn by M. Smart),,71-62,,
9:22.0,,,71-62,,A. Horford misses 3-pt shot from 26 ft
9:20.0,,,71-62,,Offensive rebound by M. Smart
9:17.0,,,71-64,2,A. Johnson makes 2-pt shot from 6 ft (assist by A. Horford)
9:01.0,D. Rose misses 2-pt shot from 1 ft,,71-64,,
9:00.0,,,71-64,,Defensive rebound by A. Johnson
8:47.0,,,71-66,2,A. Johnson makes 2-pt shot at rim (assist by A. Horford)
8:23.0,M. Kuzminskas misses 3-pt shot from 29 ft,,71-66,,
8:22.0,Offensive rebound by C. Anthony,,71-66,,
8:14.0,M. Kuzminskas makes 2-pt shot from 1 ft (assist by C. Anthony),2,73-66,,
8:14.0,Shooting foul by A. Johnson (drawn by M. Kuzminskas),,73-66,,
8:14.0,M. Kuzminskas makes free throw 1 of 1,1,74-66,,
8:14.0,M. Plumlee enters the game for K. O'Quinn,,73-66,,
8:01.0,,,74-66,,Shooting foul by R. Baker (drawn by I. Thomas)
8:01.0,,,74-67,1,I. Thomas makes free throw 1 of 2
8:01.0,,,74-68,1,I. Thomas makes free throw 2 of 2
8:01.0,C. Lee enters the game for R. Baker,,74-67,,
7:50.0,,,74-68,,Personal foul by J. Crowder (drawn by C. Anthony)
7:44.0,C. Anthony misses 3-pt shot from 27 ft,,74-68,,
7:43.0,,,74-68,,Defensive rebound by A. Horford
7:28.0,,,74-70,2,A. Johnson makes 2-pt shot from 1 ft (assist by A. Horford)
7:09.0,D. Rose misses 2-pt shot from 21 ft,,74-70,,
7:08.0,,,74-70,,Defensive rebound by A. Johnson
7:03.0,,,74-70,,Turnover by I. Thomas (bad pass; steal by D. Rose)
6:54.0,M. Kuzminskas makes 2-pt shot from 1 ft,2,76-70,,
6:39.0,,,76-70,,I. Thomas misses 3-pt shot from 26 ft
6:38.0,,,76-70,,Offensive rebound by I. Thomas
6:38.0,,,76-70,,Shooting foul by C. Anthony (drawn by I. Thomas)
6:38.0,,,76-71,1,I. Thomas makes free throw 1 of 2
6:38.0,,,76-72,1,I. Thomas makes free throw 2 of 2
6:38.0,,,76-71,,K. Olynyk enters the game for A. Horford
6:26.0,D. Rose misses 2-pt shot at rim (block by A. Johnson),,76-72,,
6:26.0,Offensive rebound by Team,,76-72,,
6:26.0,New York full timeout,,76-72,,
6:24.0,C. Anthony misses 2-pt shot from 17 ft,,76-72,,
6:23.0,Offensive rebound by M. Plumlee,,76-72,,
6:14.0,D. Rose makes 2-pt shot from 6 ft (assist by C. Anthony),2,78-72,,
5:54.0,,,78-72,,K. Olynyk misses 2-pt shot from 5 ft (block by D. Rose)
5:53.0,,,78-72,,Offensive rebound by K. Olynyk
5:52.0,,,78-72,,K. Olynyk misses 2-pt shot at rim (block by D. Rose)
5:50.0,Defensive rebound by C. Anthony,,78-72,,
5:39.0,C. Anthony misses 3-pt shot from 25 ft,,78-72,,
5:38.0,,,78-72,,Defensive rebound by Team
5:38.0,Loose ball foul by M. Plumlee (drawn by M. Smart),,78-72,,
5:38.0,,,78-73,1,M. Smart makes free throw 1 of 2
5:38.0,,,78-74,1,M. Smart makes free throw 2 of 2
5:38.0,,,78-73,,J. Mickey enters the game for A. Johnson
5:18.0,Turnover by M. Plumlee (lost ball; steal by J. Mickey),,78-74,,
5:11.0,,,78-74,,Shooting foul by M. Kuzminskas (drawn by J. Crowder)
5:11.0,,,78-75,1,J. Crowder makes free throw 1 of 2
5:11.0,,,78-75,,J. Crowder misses free throw 2 of 2
5:09.0,Defensive rebound by Team,,78-75,,
4:46.0,C. Anthony misses 2-pt shot from 3 ft,,78-75,,
4:45.0,Offensive rebound by Team,,78-75,,
4:45.0,Turnover by Team (shot clock),,78-75,,
4:34.0,Personal foul by M. Plumlee (drawn by J. Mickey),,78-75,,
4:34.0,,,78-76,1,J. Mickey makes free throw 1 of 2
4:34.0,,,78-77,1,J. Mickey makes free throw 2 of 2
4:34.0,W. Hernangomez enters the game for M. Plumlee,,78-76,,
4:34.0,B. Jennings enters the game for D. Rose,,78-76,,
4:14.0,W. Hernangomez misses 2-pt shot from 9 ft (block by J. Mickey),,78-77,,
4:13.0,,,78-77,,Defensive rebound by J. Crowder
4:04.0,,,78-77,,I. Thomas misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by M. Kuzminskas,,78-77,,
3:55.0,C. Anthony misses 3-pt shot from 27 ft,,78-77,,
3:54.0,Offensive rebound by C. Lee,,78-77,,
3:51.0,Turnover by M. Kuzminskas (step out of bounds),,78-77,,
3:51.0,,,78-77,,T. Rozier enters the game for I. Thomas
3:35.0,,,78-77,,J. Crowder misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by M. Kuzminskas,,78-77,,
3:28.0,C. Lee makes 2-pt shot from 2 ft (assist by M. Kuzminskas),2,80-77,,
3:12.0,,,80-77,,M. Smart misses 3-pt shot from 28 ft
3:11.0,Defensive rebound by W. Hernangomez,,80-77,,
2:59.0,W. Hernangomez misses 2-pt shot from 5 ft (block by J. Mickey),,80-77,,
2:58.0,,,80-77,,Defensive rebound by J. Crowder
2:54.0,,,80-79,2,J. Crowder makes 2-pt shot from 1 ft
2:26.0,C. Lee makes 2-pt shot from 11 ft,2,82-79,,
2:11.0,,,82-79,,J. Mickey misses 2-pt shot from 1 ft
2:10.0,Defensive rebound by W. Hernangomez,,82-79,,
2:03.0,W. Hernangomez makes 2-pt shot at rim (assist by C. Lee),2,84-79,,
1:46.0,,,84-79,,M. Smart misses 2-pt shot from 8 ft
1:45.0,Defensive rebound by W. Hernangomez,,84-79,,
1:43.0,,,84-79,,Boston full timeout
1:43.0,J. Holiday enters the game for M. Kuzminskas,,84-79,,
1:43.0,,,84-79,,J. Brown enters the game for M. Smart
1:43.0,,,84-79,,A. Horford enters the game for K. Olynyk
1:22.0,C. Lee misses 2-pt shot from 23 ft,,84-79,,
1:21.0,Offensive rebound by W. Hernangomez,,84-79,,
1:16.0,W. Hernangomez makes 2-pt shot from 2 ft,2,86-79,,
1:03.0,,,86-81,2,J. Crowder makes 2-pt shot at rim (assist by A. Horford)
0:38.0,Turnover by C. Anthony (bad pass; steal by T. Rozier),,86-81,,
0:34.0,,,86-81,,T. Rozier misses 2-pt shot from 2 ft
0:33.0,,,86-81,,Offensive rebound by J. Brown
0:33.0,,,86-83,2,J. Brown makes 2-pt shot from 1 ft
0:10.0,C. Anthony makes 2-pt shot from 14 ft,2,88-83,,
0:03.0,,,88-83,,T. Rozier misses 2-pt shot from 2 ft (block by B. Jennings)
0:02.0,,,88-83,,Offensive rebound by Team
0:02.0,,,88-83,,K. Olynyk enters the game for J. Mickey
0:02.0,,,88-83,,I. Thomas enters the game for J. Brown
0:00.0,,,88-83,,I. Thomas misses 3-pt shot from 26 ft
0:00.0,,,88-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Turnover by J. Holiday (bad pass; steal by A. Horford),,88-83,,
11:37.0,,,88-83,,Shooting foul by J. Holiday (drawn by T. Rozier)
11:37.0,,,88-84,1,T. Rozier makes free throw 1 of 2
11:37.0,,,88-85,1,T. Rozier makes free throw 2 of 2
11:20.0,W. Hernangomez makes 2-pt shot at rim (assist by B. Jennings),2,90-85,,
11:20.0,Shooting foul by T. Rozier (drawn by W. Hernangomez),,90-85,,
11:20.0,W. Hernangomez makes free throw 1 of 1,1,91-85,,
10:59.0,,,91-85,,I. Thomas misses 2-pt shot from 2 ft (block by J. Holiday)
10:58.0,,,91-85,,Offensive rebound by I. Thomas
10:55.0,,,91-85,,A. Horford misses 2-pt shot from 21 ft
10:53.0,Defensive rebound by J. Holiday,,91-85,,
10:50.0,,,91-85,,Personal foul by J. Brown (drawn by B. Jennings)
10:36.0,Turnover by W. Hernangomez (3 sec),,91-85,,
10:24.0,,,91-87,2,J. Brown makes 2-pt shot from 3 ft (assist by A. Horford)
10:24.0,,,91-87,,Shooting foul by J. Holiday (drawn by J. Brown)
10:24.0,,,91-88,1,J. Brown makes free throw 1 of 1
10:24.0,D. Rose enters the game for M. Kuzminskas,,91-87,,
10:04.0,B. Jennings makes 2-pt shot from 16 ft (assist by W. Hernangomez),2,93-88,,
9:46.0,,,93-88,,Shooting foul by D. Rose (drawn by J. Brown)
9:46.0,,,93-88,,J. Brown misses free throw 1 of 2
9:46.0,,,93-88,,Offensive rebound by Team
9:46.0,,,93-89,1,J. Brown makes free throw 2 of 2
9:27.0,D. Rose makes 2-pt shot at rim,2,95-89,,
9:16.0,,,95-92,3,T. Rozier makes 3-pt shot from 25 ft (assist by A. Horford)
9:01.0,J. Holiday misses 2-pt shot from 21 ft,,95-92,,
9:00.0,,,95-92,,Defensive rebound by J. Brown
8:55.0,,,95-92,,Shooting foul by C. Lee (drawn by I. Thomas)
8:55.0,Official timeout,,95-92,,
8:55.0,,,95-93,1,I. Thomas makes free throw 1 of 2
8:55.0,,,95-94,1,I. Thomas makes free throw 2 of 2
8:55.0,M. Plumlee enters the game for W. Hernangomez,,95-92,,
8:42.0,D. Rose makes 2-pt shot from 20 ft (assist by M. Plumlee),2,97-94,,
8:18.0,,,97-94,,I. Thomas misses 3-pt shot from 28 ft
8:16.0,Defensive rebound by D. Rose,,97-94,,
8:03.0,C. Lee misses 2-pt shot from 19 ft,,97-94,,
8:02.0,,,97-94,,Defensive rebound by J. Jerebko
7:57.0,Shooting block foul by C. Lee (drawn by J. Brown),,97-94,,
7:57.0,,,97-95,1,J. Brown makes free throw 1 of 2
7:57.0,,,97-96,1,J. Brown makes free throw 2 of 2
7:39.0,J. Holiday makes 3-pt shot from 26 ft (assist by B. Jennings),3,100-96,,
7:19.0,,,100-96,,I. Thomas misses 2-pt shot from 18 ft
7:18.0,Defensive rebound by C. Lee,,100-96,,
7:10.0,C. Lee makes 3-pt shot from 26 ft,3,103-96,,
7:10.0,,,103-96,,Boston full timeout
7:10.0,,,103-96,,A. Johnson enters the game for A. Horford
7:10.0,,,103-96,,M. Smart enters the game for J. Brown
7:10.0,,,103-96,,J. Crowder enters the game for T. Rozier
6:46.0,,,103-96,,A. Johnson misses 2-pt shot from 2 ft
6:45.0,Defensive rebound by D. Rose,,103-96,,
6:39.0,J. Holiday misses 3-pt shot from 26 ft,,103-96,,
6:38.0,,,103-96,,Defensive rebound by A. Johnson
6:29.0,,,103-96,,I. Thomas misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by D. Rose,,103-96,,
6:12.0,B. Jennings misses 3-pt shot from 23 ft,,103-96,,
6:11.0,Offensive rebound by D. Rose,,103-96,,
6:09.0,D. Rose misses 2-pt shot from 1 ft (block by A. Johnson),,103-96,,
6:08.0,Offensive rebound by D. Rose,,103-96,,
6:06.0,D. Rose makes 2-pt shot at rim,2,105-96,,
5:57.0,,,105-96,,Shooting foul by J. Holiday (drawn by J. Crowder)
5:57.0,,,105-97,1,J. Crowder makes free throw 1 of 2
5:57.0,,,105-98,1,J. Crowder makes free throw 2 of 2
5:57.0,,,105-97,,T. Rozier enters the game for J. Jerebko
5:57.0,C. Anthony enters the game for J. Holiday,,105-97,,
5:45.0,Shooting foul by A. Johnson (drawn by D. Rose),,105-98,,
5:45.0,D. Rose makes free throw 1 of 2,1,106-98,,
