time,Washington,pts.away,score,pts.home,Sacramento
3:38.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,19-23,,
3:24.0,,,19-23,,K. Koufos misses 2-pt shot from 18 ft
3:24.0,,,19-23,,Offensive rebound by D. Collison
3:02.0,,,19-25,2,K. Koufos makes 2-pt shot from 9 ft (assist by D. Collison)
2:44.0,J. Wall misses 2-pt shot from 10 ft,,19-25,,
2:44.0,,,19-25,,Defensive rebound by W. Cauley-Stein
2:34.0,,,19-25,,K. Koufos misses 2-pt shot from 13 ft
2:33.0,Defensive rebound by M. Gortat,,19-25,,
2:27.0,B. Beal makes 2-pt shot from 3 ft (assist by O. Porter),2,21-25,,
2:27.0,Shooting foul by K. Koufos (drawn by B. Beal),,21-25,,
2:27.0,B. Beal makes free throw 1 of 1,1,22-25,,
2:27.0,,,21-25,,S. Labissiere enters the game for A. Afflalo
2:27.0,,,21-25,,G. Temple enters the game for K. Koufos
2:27.0,I. Mahinmi enters the game for O. Porter,,21-25,,
2:27.0,B. Bogdanovic enters the game for M. Gortat,,21-25,,
2:09.0,,,22-27,2,D. Collison makes 2-pt shot from 13 ft
1:51.0,J. Wall misses 3-pt shot from 25 ft,,22-27,,
1:50.0,,,22-27,,Defensive rebound by S. Labissiere
1:36.0,,,22-27,,G. Temple misses 2-pt shot from 20 ft
1:34.0,Defensive rebound by B. Beal,,22-27,,
1:23.0,B. Bogdanovic misses 3-pt shot from 25 ft,,22-27,,
1:22.0,Offensive rebound by I. Mahinmi,,22-27,,
1:18.0,B. Bogdanovic makes 2-pt shot from 5 ft (assist by I. Mahinmi),2,24-27,,
1:11.0,,,24-30,3,B. Hield makes 3-pt shot from 25 ft (assist by D. Collison)
1:00.0,B. Jennings enters the game for B. Beal,,24-30,,
1:00.0,,,24-30,,T. Lawson enters the game for D. Collison
1:00.0,Jump ball: B. Hield vs. J. Wall (B. Bogdanovic gains possession),,,,Jump ball: B. Hield vs. J. Wall (B. Bogdanovic gains possession)
0:51.0,J. Wall makes 2-pt shot from 3 ft,2,26-30,,
0:38.0,,,26-30,,W. Cauley-Stein misses 2-pt shot from 2 ft
0:37.0,Defensive rebound by J. Smith,,26-30,,
0:32.0,J. Wall makes 2-pt shot from 3 ft,2,28-30,,
0:26.0,,,28-32,2,S. Labissiere makes 2-pt shot at rim (assist by G. Temple)
0:06.0,,,28-32,,Personal foul by G. Temple (drawn by J. Wall)
0:00.0,J. Wall misses 2-pt shot from 20 ft,,28-32,,
0:00.0,Offensive rebound by Team,,28-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,28-35,3,B. Hield makes 3-pt shot from 22 ft (assist by T. Lawson)
11:25.0,B. Bogdanovic misses 3-pt shot from 24 ft,,28-35,,
11:25.0,Offensive rebound by Team,,28-35,,
11:25.0,,,28-35,,Loose ball foul by S. Labissiere (drawn by I. Mahinmi)
11:20.0,Turnover by I. Mahinmi (offensive foul),,28-35,,
11:20.0,Offensive foul by I. Mahinmi,,28-35,,
11:00.0,,,28-35,,G. Temple misses 2-pt shot from 6 ft (block by I. Mahinmi)
10:58.0,,,28-35,,Offensive rebound by B. Hield
10:56.0,,,28-35,,B. Hield misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by B. Jennings,,28-35,,
10:51.0,Shooting foul by T. Lawson (drawn by B. Bogdanovic),,28-35,,
10:51.0,B. Bogdanovic misses free throw 1 of 2,,28-35,,
10:51.0,Offensive rebound by Team,,28-35,,
10:51.0,B. Bogdanovic makes free throw 2 of 2,1,29-35,,
10:51.0,,,28-35,,B. McLemore enters the game for B. Hield
10:35.0,,,29-35,,B. McLemore misses 2-pt shot from 16 ft
10:35.0,Defensive rebound by J. Smith,,29-35,,
10:28.0,B. Bogdanovic misses 2-pt shot from 15 ft,,29-35,,
10:26.0,Offensive rebound by K. Oubre,,29-35,,
10:24.0,K. Oubre misses 3-pt shot from 25 ft,,29-35,,
10:22.0,Offensive rebound by I. Mahinmi,,29-35,,
10:21.0,I. Mahinmi misses 2-pt shot from 8 ft,,29-35,,
10:20.0,,,29-35,,Defensive rebound by A. Tolliver
10:09.0,,,29-35,,T. Lawson misses 2-pt shot from 17 ft
10:09.0,Defensive rebound by I. Mahinmi,,29-35,,
10:01.0,B. Jennings misses 2-pt shot from 10 ft,,29-35,,
10:00.0,,,29-35,,Defensive rebound by B. McLemore
9:54.0,,,29-35,,B. McLemore misses 2-pt shot from 3 ft
9:53.0,Defensive rebound by J. Smith,,29-35,,
9:43.0,I. Mahinmi makes 2-pt shot from 4 ft (assist by B. Jennings),2,31-35,,
9:28.0,,,31-37,2,S. Labissiere makes 2-pt shot from 18 ft (assist by T. Lawson)
9:14.0,Turnover by B. Jennings (lost ball; steal by S. Labissiere),,31-37,,
9:09.0,,,31-37,,G. Temple misses 2-pt shot from 3 ft
9:08.0,Defensive rebound by I. Mahinmi,,31-37,,
9:02.0,K. Oubre makes 2-pt shot from 3 ft,2,33-37,,
8:43.0,,,33-37,,Sacramento full timeout
8:43.0,M. Morris enters the game for J. Smith,,33-37,,
8:39.0,,,33-37,,B. McLemore misses 2-pt shot from 20 ft
8:38.0,Defensive rebound by I. Mahinmi,,33-37,,
8:26.0,B. Bogdanovic makes 2-pt shot from 12 ft (assist by B. Jennings),2,35-37,,
8:17.0,Personal foul by B. Jennings (drawn by S. Labissiere),,35-37,,
8:12.0,Personal foul by M. Morris (drawn by S. Labissiere),,35-37,,
8:03.0,,,35-39,2,S. Labissiere makes 2-pt shot at rim (assist by G. Temple)
7:46.0,M. Morris misses 2-pt shot from 16 ft,,35-39,,
7:45.0,,,35-39,,Defensive rebound by S. Labissiere
7:40.0,,,35-39,,Shooting foul by I. Mahinmi (drawn by B. McLemore)
7:40.0,,,35-40,1,B. McLemore makes free throw 1 of 2
7:40.0,,,35-41,1,B. McLemore makes free throw 2 of 2
7:40.0,O. Porter enters the game for K. Oubre,,35-40,,
7:29.0,B. Bogdanovic makes 2-pt shot from 15 ft (assist by B. Jennings),2,37-41,,
7:21.0,,,37-43,2,T. Lawson makes 2-pt shot from 3 ft
7:09.0,B. Bogdanovic makes 2-pt shot from 4 ft (assist by B. Jennings),2,39-43,,
7:01.0,,,39-43,,Shooting foul by B. Jennings (drawn by T. Lawson)
7:01.0,,,39-44,1,T. Lawson makes free throw 1 of 2
7:01.0,,,39-45,1,T. Lawson makes free throw 2 of 2
6:48.0,B. Bogdanovic misses 3-pt shot from 25 ft,,39-45,,
6:47.0,Offensive rebound by M. Morris,,39-45,,
6:43.0,B. Jennings misses 2-pt shot from 18 ft,,39-45,,
6:42.0,Offensive rebound by B. Bogdanovic,,39-45,,
6:40.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,41-45,,
6:21.0,,,41-47,2,A. Tolliver makes 2-pt shot at rim
6:11.0,B. Jennings misses 2-pt shot from 6 ft,,41-47,,
6:10.0,,,41-47,,Defensive rebound by A. Tolliver
6:00.0,,,41-50,3,G. Temple makes 3-pt shot from 26 ft (assist by T. Lawson)
6:00.0,Washington full timeout,,41-50,,
6:00.0,J. Wall enters the game for I. Mahinmi,,41-50,,
6:00.0,B. Beal enters the game for B. Jennings,,41-50,,
6:00.0,,,41-50,,W. Cauley-Stein enters the game for A. Tolliver
5:44.0,B. Beal makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,44-50,,
5:22.0,,,44-50,,Turnover by T. Lawson (bad pass; steal by J. Wall)
5:16.0,O. Porter makes 2-pt shot from 5 ft,2,46-50,,
5:03.0,,,46-53,3,G. Temple makes 3-pt shot from 23 ft
4:47.0,O. Porter misses 2-pt shot from 19 ft,,46-53,,
4:47.0,,,46-53,,Defensive rebound by S. Labissiere
4:40.0,,,46-53,,W. Cauley-Stein misses 2-pt shot from 8 ft
4:39.0,,,46-53,,Offensive rebound by W. Cauley-Stein
4:38.0,Loose ball foul by B. Bogdanovic (drawn by W. Cauley-Stein),,46-53,,
4:38.0,,,46-54,1,W. Cauley-Stein makes free throw 1 of 2
4:38.0,,,46-55,1,W. Cauley-Stein makes free throw 2 of 2
4:38.0,,,46-54,,A. Afflalo enters the game for S. Labissiere
4:27.0,J. Wall makes 2-pt shot from 2 ft,2,48-55,,
4:16.0,,,48-55,,T. Lawson misses 3-pt shot from 26 ft
4:15.0,Defensive rebound by O. Porter,,48-55,,
3:59.0,J. Wall misses 3-pt shot from 25 ft,,48-55,,
3:59.0,,,48-55,,Defensive rebound by B. McLemore
3:40.0,,,48-58,3,A. Afflalo makes 3-pt shot from 23 ft (assist by G. Temple)
3:32.0,B. Beal misses 2-pt shot from 3 ft,,48-58,,
3:30.0,Offensive rebound by B. Beal,,48-58,,
3:30.0,Turnover by B. Beal (lost ball; steal by T. Lawson),,48-58,,
3:18.0,,,48-58,,Shooting foul by M. Morris (drawn by W. Cauley-Stein)
3:18.0,,,48-59,1,W. Cauley-Stein makes free throw 1 of 2
3:18.0,,,48-60,1,W. Cauley-Stein makes free throw 2 of 2
3:18.0,,,48-59,,D. Collison enters the game for T. Lawson
3:18.0,,,48-59,,B. Hield enters the game for B. McLemore
3:06.0,J. Wall misses 2-pt shot from 5 ft,,48-60,,
3:05.0,,,48-60,,Defensive rebound by W. Cauley-Stein
2:50.0,,,48-62,2,B. Hield makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
2:30.0,M. Morris makes 2-pt shot from 14 ft,2,50-62,,
2:19.0,Personal foul by O. Porter (drawn by W. Cauley-Stein),,50-62,,
2:19.0,Official timeout,,50-62,,
2:19.0,,,50-62,,W. Cauley-Stein misses free throw 1 of 2
2:19.0,,,50-62,,Offensive rebound by Team
2:19.0,,,50-63,1,W. Cauley-Stein makes free throw 2 of 2
2:19.0,M. Gortat enters the game for B. Bogdanovic,,50-62,,
2:05.0,J. Wall makes 2-pt shot from 4 ft,2,52-63,,
1:44.0,,,52-65,2,A. Afflalo makes 2-pt shot from 5 ft
1:23.0,Shooting foul by A. Afflalo (drawn by J. Wall),,52-65,,
1:23.0,J. Wall makes free throw 1 of 2,1,53-65,,
1:23.0,J. Wall makes free throw 2 of 2,1,54-65,,
1:23.0,,,53-65,,K. Koufos enters the game for G. Temple
1:10.0,,,54-65,,Shooting foul by M. Morris (drawn by A. Afflalo)
1:10.0,,,54-66,1,A. Afflalo makes free throw 1 of 2
1:10.0,,,54-67,1,A. Afflalo makes free throw 2 of 2
1:10.0,B. Bogdanovic enters the game for M. Morris,,54-66,,
1:10.0,,,54-66,,B. McLemore enters the game for W. Cauley-Stein
1:04.0,J. Wall misses 2-pt shot from 3 ft (block by K. Koufos),,54-67,,
1:02.0,,,54-67,,Defensive rebound by K. Koufos
0:48.0,,,54-67,,D. Collison misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by M. Gortat,,54-67,,
0:37.0,B. Beal misses 3-pt shot from 25 ft,,54-67,,
0:36.0,Offensive rebound by M. Gortat,,54-67,,
0:32.0,J. Wall misses 2-pt shot from 4 ft,,54-67,,
0:31.0,,,54-67,,Defensive rebound by B. McLemore
0:27.0,,,54-67,,D. Collison misses 2-pt shot from 4 ft (block by B. Beal)
0:24.0,,,54-67,,Offensive rebound by B. McLemore
0:23.0,,,54-67,,B. McLemore misses 2-pt shot from 2 ft
0:22.0,Defensive rebound by M. Gortat,,54-67,,
0:19.0,J. Wall makes 2-pt shot at rim (assist by M. Gortat),2,56-67,,
0:03.0,Shooting block foul by B. Bogdanovic (drawn by D. Collison),,56-67,,
0:03.0,,,56-67,,D. Collison misses free throw 1 of 2
0:03.0,,,56-67,,Offensive rebound by Team
0:03.0,Washington full timeout,,56-67,,
0:03.0,,,56-68,1,D. Collison makes free throw 2 of 2
0:00.0,J. Wall misses 3-pt shot from 40 ft,,56-68,,
0:00.0,Offensive rebound by Team,,56-68,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,56-68,,A. Afflalo misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by B. Beal,,56-68,,
11:26.0,B. Beal makes 2-pt shot from 20 ft,2,58-68,,
11:07.0,,,58-68,,K. Koufos misses 2-pt shot from 6 ft
11:07.0,Defensive rebound by B. Beal,,58-68,,
10:58.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,61-68,,
10:38.0,,,61-68,,B. Hield misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by M. Morris,,61-68,,
10:23.0,B. Beal misses 3-pt shot from 26 ft,,61-68,,
10:23.0,,,61-68,,Defensive rebound by W. Cauley-Stein
9:59.0,,,61-68,,K. Koufos misses 2-pt shot from 6 ft
9:59.0,Defensive rebound by M. Gortat,,61-68,,
9:52.0,J. Wall makes 2-pt shot from 2 ft,2,63-68,,
9:25.0,,,63-68,,Turnover by Team (shot clock)
9:09.0,M. Gortat misses 2-pt shot from 9 ft,,63-68,,
9:07.0,,,63-68,,Defensive rebound by W. Cauley-Stein
8:53.0,,,63-70,2,W. Cauley-Stein makes 2-pt shot from 18 ft
8:33.0,M. Morris makes 2-pt shot from 3 ft (assist by B. Beal),2,65-70,,
8:21.0,Violation by J. Wall (kicked ball),,65-70,,
8:15.0,Violation by M. Gortat (kicked ball),,65-70,,
8:03.0,,,65-70,,Turnover by W. Cauley-Stein (lost ball; steal by J. Wall)
7:57.0,M. Morris makes 2-pt shot from 3 ft (assist by J. Wall),2,67-70,,
7:35.0,,,67-70,,K. Koufos misses 2-pt shot from 6 ft
7:35.0,Defensive rebound by B. Beal,,67-70,,
7:31.0,O. Porter misses 2-pt shot from 2 ft,,67-70,,
7:30.0,,,67-70,,Defensive rebound by A. Afflalo
7:17.0,,,67-72,2,D. Collison makes 2-pt shot from 8 ft
7:07.0,,,67-72,,Personal foul by K. Koufos (drawn by M. Gortat)
7:06.0,,,67-72,,Personal foul by B. Hield (drawn by B. Beal)
7:00.0,M. Morris misses 3-pt shot from 24 ft,,67-72,,
6:59.0,,,67-72,,Defensive rebound by D. Collison
6:51.0,,,67-72,,B. Hield misses 2-pt shot from 8 ft
6:49.0,,,67-72,,Offensive rebound by K. Koufos
6:48.0,,,67-74,2,K. Koufos makes 2-pt shot from 4 ft
6:40.0,Turnover by J. Wall (step out of bounds),,67-74,,
6:28.0,,,67-76,2,A. Afflalo makes 2-pt shot from 21 ft
6:28.0,Washington full timeout,,67-76,,
6:28.0,Technical foul by J. Wall,,67-76,,
6:28.0,,,67-77,1,D. Collison makes technical free throw
6:16.0,B. Beal misses 2-pt shot from 4 ft,,67-77,,
6:15.0,Offensive rebound by M. Morris,,67-77,,
6:15.0,M. Morris misses 2-pt shot from 2 ft,,67-77,,
6:14.0,Offensive rebound by B. Beal,,67-77,,
6:13.0,B. Beal makes 2-pt shot from 5 ft,2,69-77,,
5:43.0,,,69-79,2,D. Collison makes 2-pt shot from 14 ft
5:33.0,,,69-79,,Personal foul by B. Hield (drawn by B. Beal)
5:33.0,J. Smith enters the game for M. Morris,,69-79,,
5:33.0,,,69-79,,A. Tolliver enters the game for W. Cauley-Stein
5:25.0,B. Beal misses 2-pt shot from 13 ft,,69-79,,
5:25.0,,,69-79,,Defensive rebound by A. Tolliver
5:16.0,,,69-79,,D. Collison misses 2-pt shot from 11 ft
5:16.0,Defensive rebound by O. Porter,,69-79,,
4:58.0,O. Porter makes 2-pt shot from 20 ft,2,71-79,,
4:36.0,,,71-82,3,A. Tolliver makes 3-pt shot from 23 ft (assist by B. Hield)
4:18.0,,,71-82,,Personal foul by A. Afflalo (drawn by J. Smith)
4:07.0,J. Wall misses 2-pt shot from 20 ft,,71-82,,
4:06.0,,,71-82,,Defensive rebound by K. Koufos
3:47.0,,,71-84,2,A. Tolliver makes 2-pt shot at rim (assist by D. Collison)
3:31.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),3,74-84,,
3:16.0,Personal block foul by J. Smith (drawn by K. Koufos),,74-84,,
3:16.0,B. Bogdanovic enters the game for B. Beal,,74-84,,
3:16.0,,,74-84,,T. Lawson enters the game for A. Afflalo
3:16.0,,,74-84,,G. Temple enters the game for D. Collison
3:12.0,,,74-84,,Turnover by A. Tolliver (lost ball; steal by B. Bogdanovic)
3:10.0,Shooting foul by T. Lawson (drawn by B. Bogdanovic),,74-84,,
3:10.0,B. Bogdanovic makes free throw 1 of 2,1,75-84,,
3:10.0,B. Bogdanovic makes free throw 2 of 2,1,76-84,,
2:53.0,,,76-84,,B. Hield misses 2-pt shot from 7 ft
2:52.0,Defensive rebound by M. Gortat,,76-84,,
2:42.0,J. Wall makes 2-pt shot from 9 ft,2,78-84,,
2:30.0,,,78-87,3,A. Tolliver makes 3-pt shot from 25 ft (assist by T. Lawson)
2:06.0,B. Bogdanovic misses 3-pt shot from 25 ft,,78-87,,
2:06.0,,,78-87,,Defensive rebound by Team
2:06.0,Loose ball foul by J. Smith (drawn by A. Tolliver),,78-87,,
2:06.0,,,78-87,,Sacramento full timeout
2:06.0,B. Jennings enters the game for M. Gortat,,78-87,,
2:06.0,I. Mahinmi enters the game for J. Wall,,78-87,,
2:06.0,,,78-87,,W. Cauley-Stein enters the game for K. Koufos
1:44.0,,,78-87,,B. McLemore enters the game for B. Hield
1:41.0,,,78-90,3,B. McLemore makes 3-pt shot from 22 ft (assist by G. Temple)
1:31.0,,,78-90,,Personal foul by B. McLemore (drawn by O. Porter)
1:31.0,O. Porter makes free throw 1 of 2,1,79-90,,
1:31.0,O. Porter makes free throw 2 of 2,1,80-90,,
1:19.0,,,80-90,,Turnover by T. Lawson (bad pass; steal by O. Porter)
1:12.0,Offensive foul by I. Mahinmi,,80-90,,
1:12.0,Turnover by I. Mahinmi (offensive foul),,80-90,,
0:51.0,,,80-93,3,B. McLemore makes 3-pt shot from 26 ft (assist by G. Temple)
0:37.0,Turnover by B. Bogdanovic (lost ball; steal by T. Lawson),,80-93,,
0:33.0,,,80-95,2,B. McLemore makes 2-pt shot at rim (assist by T. Lawson)
0:23.0,,,80-95,,Violation by W. Cauley-Stein (kicked ball)
0:16.0,I. Mahinmi makes 2-pt shot at rim (assist by B. Jennings),2,82-95,,
0:04.0,,,82-95,,Shooting foul by B. Bogdanovic (drawn by T. Lawson)
0:04.0,,,82-96,1,T. Lawson makes free throw 1 of 2
0:04.0,,,82-97,1,T. Lawson makes free throw 2 of 2
0:00.0,B. Jennings misses 3-pt shot from 39 ft,,82-97,,
0:00.0,Offensive rebound by Team,,82-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting foul by B. McLemore (drawn by B. Beal),,82-97,,
11:46.0,B. Beal makes free throw 1 of 2,1,83-97,,
11:46.0,B. Beal makes free throw 2 of 2,1,84-97,,
11:33.0,,,84-97,,Turnover by S. Labissiere (bad pass)
11:14.0,Turnover by I. Mahinmi (step out of bounds),,84-97,,
11:04.0,Personal foul by B. Bogdanovic (drawn by T. Lawson),,84-97,,
11:01.0,Personal foul by I. Mahinmi (drawn by G. Temple),,84-97,,
10:58.0,,,84-97,,Turnover by S. Labissiere (lost ball; steal by J. Smith)
10:52.0,B. Jennings misses 3-pt shot from 24 ft,,84-97,,
10:51.0,,,84-97,,Defensive rebound by S. Labissiere
10:46.0,Personal foul by B. Jennings (drawn by T. Lawson),,84-97,,
10:35.0,,,84-97,,B. McLemore misses 3-pt shot from 26 ft
10:34.0,Defensive rebound by I. Mahinmi,,84-97,,
10:25.0,B. Beal misses 2-pt shot from 18 ft,,84-97,,
10:24.0,Offensive rebound by I. Mahinmi,,84-97,,
10:23.0,I. Mahinmi makes 2-pt shot from 3 ft,2,86-97,,
10:05.0,,,86-97,,T. Lawson misses 2-pt shot from 2 ft
10:03.0,,,86-97,,Offensive rebound by W. Cauley-Stein
10:02.0,,,86-99,2,W. Cauley-Stein makes 2-pt shot from 2 ft
9:50.0,B. Bogdanovic misses 2-pt shot from 5 ft,,86-99,,
9:49.0,Offensive rebound by B. Bogdanovic,,86-99,,
9:49.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,88-99,,
9:33.0,,,88-99,,S. Labissiere misses 2-pt shot from 12 ft
9:32.0,Defensive rebound by B. Beal,,88-99,,
9:27.0,Turnover by B. Beal (bad pass; steal by W. Cauley-Stein),,88-99,,
9:23.0,,,88-99,,Shooting foul by B. Beal (drawn by G. Temple)
9:23.0,,,88-100,1,G. Temple makes free throw 1 of 2
9:23.0,,,88-100,,G. Temple misses free throw 2 of 2
9:22.0,Defensive rebound by B. Beal,,88-100,,
9:08.0,B. Bogdanovic misses 2-pt shot from 8 ft,,88-100,,
9:07.0,,,88-100,,Defensive rebound by S. Labissiere
9:01.0,,,88-100,,Shooting foul by B. Jennings (drawn by B. McLemore)
9:01.0,,,88-100,,B. McLemore misses free throw 1 of 2
9:01.0,,,88-100,,Offensive rebound by Team
9:01.0,,,88-101,1,B. McLemore makes free throw 2 of 2
8:48.0,J. Smith makes 2-pt shot from 20 ft (assist by B. Beal),2,90-101,,
8:34.0,,,90-101,,S. Labissiere misses 2-pt shot from 18 ft
8:33.0,Defensive rebound by J. Smith,,90-101,,
8:24.0,J. Smith makes 2-pt shot from 20 ft (assist by B. Jennings),2,92-101,,
8:02.0,,,92-103,2,S. Labissiere makes 2-pt shot at rim (assist by T. Lawson)
7:45.0,,,92-103,,Personal foul by T. Lawson (drawn by B. Beal)
7:45.0,Official timeout,,92-103,,
7:45.0,J. Wall enters the game for B. Jennings,,92-103,,
7:45.0,,,92-103,,A. Tolliver enters the game for S. Labissiere
7:38.0,J. Smith makes 3-pt shot from 23 ft (assist by B. Beal),3,95-103,,
7:17.0,,,95-103,,A. Tolliver misses 2-pt shot from 5 ft
7:16.0,Defensive rebound by J. Smith,,95-103,,
7:10.0,B. Bogdanovic misses 3-pt shot from 23 ft,,95-103,,
7:09.0,,,95-103,,Defensive rebound by W. Cauley-Stein
6:59.0,,,95-105,2,T. Lawson makes 2-pt shot from 3 ft
6:45.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,98-105,,
6:37.0,,,98-105,,Offensive foul by W. Cauley-Stein
6:37.0,,,98-105,,Turnover by W. Cauley-Stein (offensive foul)
6:26.0,J. Wall misses 2-pt shot from 2 ft,,98-105,,
6:25.0,,,98-105,,Defensive rebound by W. Cauley-Stein
6:20.0,,,98-105,,B. McLemore misses 2-pt shot from 2 ft
6:19.0,Defensive rebound by Team,,98-105,,
6:19.0,,,98-105,,A. Afflalo enters the game for B. McLemore
5:55.0,J. Wall makes 2-pt shot from 3 ft,2,100-105,,
5:37.0,,,100-105,,G. Temple misses 2-pt shot from 18 ft
5:37.0,Defensive rebound by J. Wall,,100-105,,
5:16.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,103-105,,
5:09.0,,,103-105,,Sacramento full timeout
5:09.0,O. Porter enters the game for B. Bogdanovic,,103-105,,
5:09.0,,,103-105,,B. Hield enters the game for G. Temple
5:09.0,,,103-105,,D. Collison enters the game for T. Lawson
4:49.0,,,103-105,,D. Collison misses 2-pt shot from 21 ft
4:47.0,Defensive rebound by J. Smith,,103-105,,
4:47.0,,,103-105,,Personal foul by A. Tolliver (drawn by J. Smith)
4:29.0,J. Wall misses 2-pt shot from 15 ft,,103-105,,
4:28.0,,,103-105,,Defensive rebound by B. Hield
4:23.0,,,103-105,,Turnover by B. Hield (lost ball; steal by B. Beal)
4:18.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,105-105,,
