time,Dallas,pts.away,score,pts.home,Oklahoma City
5:46.0,,,6-12,,Defensive rebound by N. Collison
5:37.0,,,6-12,,Turnover by K. Durant (bad pass; steal by M. Ellis)
5:16.0,D. Harris makes 3-pt shot from 23 ft (assist by M. Ellis),3,9-12,,
5:10.0,,,9-12,,Oklahoma City full timeout
5:10.0,,,9-12,,D. Waiters enters the game for K. Durant
5:10.0,,,9-12,,M. McGary enters the game for N. Collison
5:06.0,,,9-12,,Offensive foul by M. McGary
5:06.0,,,9-12,,Turnover by M. McGary (offensive foul)
5:00.0,Offensive foul by T. Chandler,,9-12,,
5:00.0,Turnover by T. Chandler (offensive foul),,9-12,,
5:00.0,,,9-12,,A. Morrow enters the game for A. Roberson
4:51.0,,,9-12,,Shooting foul by M. Ellis (drawn by M. McGary)
4:51.0,,,9-12,,M. McGary misses free throw 1 of 2
4:51.0,,,9-12,,Offensive rebound by Team
4:51.0,,,9-12,,M. McGary misses free throw 2 of 2
4:50.0,Defensive rebound by T. Chandler,,9-12,,
4:34.0,M. Ellis misses 3-pt shot from 24 ft,,9-12,,
4:33.0,Offensive rebound by T. Chandler,,9-12,,
4:28.0,C. Parsons misses 2-pt shot from 19 ft,,9-12,,
4:27.0,Offensive rebound by A. Aminu,,9-12,,
4:25.0,A. Aminu misses 2-pt shot from 2 ft,,9-12,,
4:23.0,Offensive rebound by T. Chandler,,9-12,,
4:18.0,A. Aminu misses 2-pt shot from 1 ft,,9-12,,
4:17.0,,,9-12,,Defensive rebound by M. McGary
4:09.0,,,9-12,,A. Morrow misses 3-pt shot from 22 ft
4:08.0,,,9-12,,Offensive rebound by Team
4:08.0,B. James enters the game for T. Chandler,,9-12,,
4:00.0,,,9-12,,Turnover by R. Westbrook (bad pass; steal by D. Harris)
3:56.0,Turnover by C. Parsons (lost ball),,9-12,,
3:48.0,,,9-14,2,R. Westbrook makes 2-pt shot at rim
3:47.0,Dallas full timeout,,9-14,,
3:47.0,C. Villanueva enters the game for C. Parsons,,9-14,,
3:38.0,Turnover by A. Aminu (lost ball; steal by A. Morrow),,9-14,,
3:37.0,Personal foul by A. Aminu (drawn by R. Westbrook),,9-14,,
3:37.0,,,9-15,1,R. Westbrook makes free throw 1 of 2
3:37.0,,,9-15,,P. Jones enters the game for S. Ibaka
3:37.0,R. Jefferson enters the game for A. Aminu,,9-15,,
3:37.0,,,9-16,1,R. Westbrook makes free throw 2 of 2
3:19.0,R. Jefferson makes 2-pt shot from 1 ft,2,11-16,,
3:06.0,,,11-18,2,D. Waiters makes 2-pt shot from 17 ft
2:51.0,B. James makes 2-pt shot at rim (assist by M. Ellis),2,13-18,,
2:40.0,,,13-20,2,M. McGary makes 2-pt shot from 4 ft (assist by R. Westbrook)
2:27.0,C. Villanueva misses 3-pt shot from 24 ft,,13-20,,
2:26.0,Offensive rebound by B. James,,13-20,,
2:26.0,Shooting foul by A. Morrow (drawn by B. James),,13-20,,
2:26.0,B. James makes free throw 1 of 2,1,14-20,,
2:26.0,B. James makes free throw 2 of 2,1,15-20,,
2:08.0,,,15-20,,R. Westbrook misses 2-pt shot from 9 ft
2:07.0,Defensive rebound by D. Harris,,15-20,,
1:56.0,Turnover by D. Harris (lost ball),,15-20,,
1:42.0,,,15-20,,Turnover by A. Morrow (lost ball; steal by C. Villanueva)
1:41.0,Turnover by C. Villanueva (bad pass; steal by R. Westbrook),,15-20,,
1:41.0,Personal foul by R. Jefferson (drawn by R. Westbrook),,15-20,,
1:41.0,,,15-21,1,R. Westbrook makes free throw 1 of 2
1:41.0,D. Nowitzki enters the game for C. Villanueva,,15-21,,
1:41.0,R. Rondo enters the game for M. Ellis,,15-21,,
1:41.0,,,15-22,1,R. Westbrook makes free throw 2 of 2
1:19.0,D. Nowitzki makes 2-pt shot from 16 ft,2,17-22,,
1:09.0,,,17-22,,P. Jones misses 2-pt shot from 4 ft (block by B. James)
1:09.0,,,17-22,,Offensive rebound by Team
1:09.0,,,17-22,,K. Durant enters the game for R. Westbrook
1:07.0,,,17-22,,P. Jones misses 2-pt shot from 9 ft
1:06.0,Defensive rebound by R. Rondo,,17-22,,
0:49.0,Turnover by R. Rondo (bad pass; steal by A. Morrow),,17-22,,
0:41.0,,,17-25,3,K. Durant makes 3-pt shot from 24 ft (assist by D. Waiters)
0:30.0,Shooting foul by P. Jones (drawn by D. Nowitzki),,17-25,,
0:30.0,D. Nowitzki makes free throw 1 of 2,1,18-25,,
0:30.0,D. Nowitzki makes free throw 2 of 2,1,19-25,,
0:10.0,,,19-25,,Turnover by M. McGary (lost ball)
0:01.0,D. Harris misses 3-pt shot from 24 ft,,19-25,,
0:00.0,,,19-25,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,19-25,,M. McGary misses 2-pt shot at rim
11:39.0,Defensive rebound by B. James,,19-25,,
11:33.0,R. Rondo misses 2-pt shot from 15 ft,,19-25,,
11:32.0,,,19-25,,Defensive rebound by D. Waiters
11:25.0,,,19-25,,A. Morrow misses 2-pt shot from 2 ft
11:24.0,,,19-25,,Offensive rebound by A. Morrow
11:24.0,,,19-27,2,A. Morrow makes 2-pt shot from 2 ft
11:11.0,Turnover by R. Jefferson (bad pass),,19-27,,
10:45.0,,,19-27,,D. Waiters misses 2-pt shot from 18 ft (block by D. Nowitzki)
10:45.0,,,19-27,,Offensive rebound by Team
10:45.0,,,19-27,,Turnover by Team (shot clock)
10:40.0,,,19-27,,Personal foul by D. Waiters (drawn by D. Harris)
10:40.0,J. Barea enters the game for D. Harris,,19-27,,
10:26.0,D. Nowitzki makes 2-pt shot from 5 ft,2,21-27,,
10:10.0,,,21-27,,D. Waiters misses 2-pt shot from 19 ft
10:10.0,Defensive rebound by R. Jefferson,,21-27,,
10:06.0,Turnover by R. Jefferson (bad pass; steal by M. McGary),,21-27,,
10:01.0,,,21-29,2,A. Morrow makes 2-pt shot from 23 ft (assist by K. Durant)
9:53.0,,,21-29,,Personal foul by P. Jones (drawn by D. Nowitzki)
9:35.0,Turnover by Team (shot clock),,21-29,,
9:12.0,,,21-29,,A. Morrow misses 2-pt shot from 4 ft
9:10.0,Defensive rebound by D. Nowitzki,,21-29,,
9:04.0,C. Parsons enters the game for R. Jefferson,,21-29,,
9:04.0,,,21-29,,S. Ibaka enters the game for M. McGary
8:57.0,J. Barea misses 2-pt shot from 5 ft,,21-29,,
8:56.0,,,21-29,,Defensive rebound by P. Jones
8:46.0,,,21-29,,D. Waiters misses 2-pt shot from 5 ft
8:45.0,Defensive rebound by C. Parsons,,21-29,,
8:28.0,D. Nowitzki misses 2-pt shot from 2 ft,,21-29,,
8:27.0,,,21-29,,Defensive rebound by S. Ibaka
8:21.0,,,21-29,,K. Durant misses 2-pt shot from 1 ft
8:19.0,Defensive rebound by C. Parsons,,21-29,,
8:11.0,D. Nowitzki misses 3-pt shot from 23 ft,,21-29,,
8:09.0,,,21-29,,Defensive rebound by S. Ibaka
8:01.0,,,21-29,,Shooting foul by B. James (drawn by K. Durant)
8:01.0,Official timeout,,21-29,,
8:01.0,,,21-29,,R. Westbrook enters the game for P. Jones
8:01.0,T. Chandler enters the game for D. Nowitzki,,21-29,,
8:01.0,D. Harris enters the game for R. Rondo,,21-29,,
8:01.0,C. Villanueva enters the game for B. James,,21-29,,
8:01.0,,,21-30,1,K. Durant makes free throw 1 of 2
8:01.0,,,21-31,1,K. Durant makes free throw 2 of 2
7:49.0,D. Harris makes 2-pt shot from 1 ft,2,23-31,,
7:31.0,,,23-31,,Offensive foul by D. Waiters
7:31.0,,,23-31,,Turnover by D. Waiters (offensive foul)
7:12.0,D. Harris misses 2-pt shot from 1 ft,,23-31,,
7:11.0,,,23-31,,Defensive rebound by S. Ibaka
7:06.0,,,23-31,,R. Westbrook misses 2-pt shot from 14 ft
7:05.0,,,23-31,,Offensive rebound by S. Ibaka
7:01.0,,,23-31,,Turnover by S. Ibaka (bad pass; steal by C. Villanueva)
6:44.0,C. Villanueva makes 2-pt shot from 8 ft (assist by C. Parsons),2,25-31,,
6:30.0,,,25-31,,D. Waiters misses 3-pt shot from 22 ft
6:29.0,Defensive rebound by C. Villanueva,,25-31,,
6:21.0,T. Chandler misses 2-pt shot at rim,,25-31,,
6:20.0,Offensive rebound by J. Barea,,25-31,,
6:10.0,J. Barea misses 3-pt shot from 25 ft,,25-31,,
6:08.0,,,25-31,,Defensive rebound by R. Westbrook
6:05.0,,,25-33,2,D. Waiters makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:47.0,Turnover by J. Barea (bad pass; steal by K. Durant),,25-33,,
5:40.0,,,25-35,2,A. Morrow makes 2-pt shot from 1 ft
5:39.0,Dallas full timeout,,25-35,,
5:39.0,M. Ellis enters the game for D. Harris,,25-35,,
5:39.0,,,25-35,,J. Lamb enters the game for D. Waiters
5:39.0,R. Rondo enters the game for J. Barea,,25-35,,
5:19.0,C. Parsons misses 2-pt shot from 2 ft,,25-35,,
5:18.0,Offensive rebound by T. Chandler,,25-35,,
5:18.0,T. Chandler misses 2-pt shot from 2 ft,,25-35,,
5:16.0,Offensive rebound by T. Chandler,,25-35,,
5:16.0,T. Chandler misses 2-pt shot from 2 ft,,25-35,,
5:15.0,Offensive rebound by R. Rondo,,25-35,,
5:07.0,T. Chandler misses 2-pt shot from 2 ft,,25-35,,
5:06.0,,,25-35,,Defensive rebound by S. Ibaka
4:59.0,,,25-35,,J. Lamb misses 3-pt shot from 25 ft
4:58.0,,,25-35,,Offensive rebound by R. Westbrook
4:55.0,,,25-35,,A. Morrow misses 3-pt shot from 22 ft
4:54.0,,,25-35,,Offensive rebound by Team
4:51.0,,,25-35,,A. Morrow misses 2-pt shot from 16 ft
4:51.0,Defensive rebound by C. Parsons,,25-35,,
4:44.0,,,25-35,,Personal foul by S. Ibaka (drawn by C. Parsons)
4:35.0,M. Ellis misses 2-pt shot from 10 ft,,25-35,,
4:34.0,,,25-35,,Defensive rebound by S. Ibaka
4:28.0,,,25-37,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
4:25.0,Dallas full timeout,,25-37,,
4:25.0,D. Nowitzki enters the game for C. Villanueva,,25-37,,
4:13.0,T. Chandler makes 2-pt shot at rim (assist by R. Rondo),2,27-37,,
4:13.0,Shooting foul by S. Ibaka (drawn by T. Chandler),,27-37,,
4:13.0,T. Chandler misses free throw 1 of 1,,27-37,,
4:13.0,,,27-37,,Defensive rebound by S. Ibaka
4:02.0,,,27-40,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
3:45.0,T. Chandler makes 2-pt shot at rim (assist by R. Rondo),2,29-40,,
3:31.0,,,29-42,2,R. Westbrook makes 2-pt shot from 1 ft
3:07.0,D. Nowitzki misses 2-pt shot from 9 ft,,29-42,,
3:06.0,,,29-42,,Defensive rebound by J. Lamb
3:01.0,,,29-42,,Shooting foul by T. Chandler (drawn by S. Ibaka)
3:01.0,,,29-42,,S. Ibaka misses free throw 1 of 2
3:01.0,,,29-42,,Offensive rebound by Team
3:01.0,,,29-42,,N. Collison enters the game for J. Lamb
3:01.0,,,29-43,1,S. Ibaka makes free throw 2 of 2
2:49.0,Turnover by C. Parsons (lost ball),,29-43,,
2:49.0,,,29-43,,Oklahoma City full timeout
2:37.0,,,29-43,,N. Collison misses 3-pt shot from 22 ft
2:36.0,Defensive rebound by T. Chandler,,29-43,,
2:27.0,R. Rondo makes 2-pt shot from 3 ft,2,31-43,,
2:14.0,,,31-45,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
1:54.0,M. Ellis misses 2-pt shot from 6 ft,,31-45,,
1:54.0,,,31-45,,Defensive rebound by N. Collison
1:48.0,,,31-45,,Turnover by S. Ibaka (lost ball; steal by C. Parsons)
1:42.0,M. Ellis misses 3-pt shot from 22 ft,,31-45,,
1:37.0,,,31-45,,Defensive rebound by R. Westbrook
1:31.0,,,31-48,3,A. Morrow makes 3-pt shot from 23 ft (assist by R. Westbrook)
1:09.0,D. Nowitzki misses 2-pt shot from 20 ft,,31-48,,
1:08.0,Offensive rebound by Team,,31-48,,
1:08.0,,,31-48,,Loose ball foul by A. Morrow (drawn by R. Rondo)
1:08.0,R. Rondo makes free throw 1 of 2,1,32-48,,
1:08.0,,,32-48,,A. Roberson enters the game for A. Morrow
1:08.0,R. Rondo misses free throw 2 of 2,,32-48,,
1:07.0,,,32-48,,Defensive rebound by A. Roberson
0:59.0,,,32-48,,K. Durant misses 2-pt shot from 5 ft
0:58.0,Defensive rebound by D. Nowitzki,,32-48,,
0:53.0,R. Rondo makes 2-pt shot from 1 ft,2,34-48,,
0:42.0,,,34-48,,K. Durant misses 2-pt shot from 2 ft
0:41.0,,,34-48,,Offensive rebound by S. Ibaka
0:32.0,,,34-48,,K. Durant misses 3-pt shot from 22 ft
0:31.0,,,34-48,,Offensive rebound by N. Collison
0:29.0,Loose ball foul by R. Rondo (drawn by R. Westbrook),,34-48,,
0:29.0,D. Harris enters the game for R. Rondo,,34-48,,
0:29.0,,,34-48,,P. Jones enters the game for S. Ibaka
0:29.0,,,34-48,,A. Morrow enters the game for A. Roberson
0:26.0,,,34-50,2,K. Durant makes 2-pt shot at rim (assist by N. Collison)
0:05.0,D. Nowitzki makes 2-pt shot from 12 ft (assist by M. Ellis),2,36-50,,
0:00.0,,,36-52,2,A. Morrow makes 2-pt shot from 21 ft (assist by K. Durant)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,36-52,,A. Roberson misses 3-pt shot from 23 ft
11:45.0,,,36-52,,Offensive rebound by K. Durant
11:27.0,,,36-52,,S. Ibaka misses 2-pt shot from 15 ft
11:26.0,,,36-52,,Offensive rebound by N. Collison
11:26.0,,,36-52,,N. Collison misses 2-pt shot from 1 ft
11:24.0,,,36-52,,Offensive rebound by R. Westbrook
11:19.0,,,36-52,,K. Durant misses 3-pt shot from 24 ft
11:18.0,,,36-52,,Offensive rebound by S. Ibaka
11:14.0,,,36-52,,S. Ibaka misses 2-pt shot from 3 ft
11:13.0,,,36-52,,Offensive rebound by A. Roberson
11:11.0,,,36-52,,A. Roberson misses 2-pt shot from 1 ft
11:10.0,,,36-52,,Offensive rebound by N. Collison
11:10.0,,,36-52,,N. Collison misses 2-pt shot from 3 ft
11:10.0,,,36-52,,Offensive rebound by Team
11:02.0,,,36-54,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
10:34.0,D. Nowitzki misses 2-pt shot from 19 ft,,36-54,,
10:33.0,,,36-54,,Defensive rebound by K. Durant
10:30.0,Personal foul by C. Parsons (drawn by K. Durant),,36-54,,
10:24.0,,,36-56,2,R. Westbrook makes 2-pt shot from 15 ft
10:03.0,Turnover by R. Rondo (lost ball; steal by R. Westbrook),,36-56,,
9:56.0,,,36-58,2,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:56.0,Dallas full timeout,,36-58,,
9:47.0,Shooting foul by A. Roberson (drawn by M. Ellis),,36-58,,
9:47.0,M. Ellis makes free throw 1 of 2,1,37-58,,
9:47.0,M. Ellis makes free throw 2 of 2,1,38-58,,
9:35.0,,,38-58,,N. Collison misses 2-pt shot from 2 ft
9:33.0,Defensive rebound by D. Nowitzki,,38-58,,
9:27.0,D. Nowitzki misses 2-pt shot from 2 ft,,38-58,,
9:25.0,Offensive rebound by T. Chandler,,38-58,,
9:25.0,T. Chandler makes 2-pt shot at rim,2,40-58,,
9:00.0,,,40-58,,Turnover by A. Roberson (bad pass; steal by M. Ellis)
8:56.0,M. Ellis makes 2-pt shot at rim,2,42-58,,
8:35.0,,,42-58,,A. Roberson misses 2-pt shot from 2 ft (block by D. Nowitzki)
8:34.0,,,42-58,,Offensive rebound by Team
8:31.0,,,42-58,,Shooting foul by R. Rondo (drawn by S. Ibaka)
8:31.0,,,42-59,1,S. Ibaka makes free throw 1 of 2
8:31.0,,,42-60,1,S. Ibaka makes free throw 2 of 2
8:17.0,R. Rondo misses 2-pt shot from 4 ft,,42-60,,
8:16.0,Offensive rebound by T. Chandler,,42-60,,
8:16.0,T. Chandler makes 2-pt shot at rim,2,44-60,,
7:57.0,,,44-60,,K. Durant misses 2-pt shot from 9 ft
7:56.0,,,44-60,,Offensive rebound by S. Ibaka
7:56.0,,,44-60,,S. Ibaka misses 2-pt shot from 2 ft
7:54.0,,,44-60,,Offensive rebound by A. Roberson
7:54.0,,,44-62,2,A. Roberson makes 2-pt shot from 1 ft
7:42.0,R. Rondo misses 2-pt shot from 9 ft,,44-62,,
7:41.0,,,44-62,,Defensive rebound by A. Roberson
7:35.0,,,44-62,,Shooting foul by M. Ellis (drawn by R. Westbrook)
7:35.0,,,44-63,1,R. Westbrook makes free throw 1 of 2
7:35.0,,,44-64,1,R. Westbrook makes free throw 2 of 2
7:28.0,Turnover by M. Ellis (bad pass),,44-64,,
7:10.0,,,44-64,,Turnover by A. Roberson (traveling)
6:58.0,M. Ellis misses 3-pt shot from 23 ft,,44-64,,
6:57.0,,,44-64,,Defensive rebound by N. Collison
6:53.0,,,44-64,,Offensive foul by R. Westbrook
6:53.0,,,44-64,,Turnover by R. Westbrook (offensive foul)
6:53.0,,,44-64,,D. Waiters enters the game for A. Roberson
6:30.0,M. Ellis misses 3-pt shot from 24 ft,,44-64,,
6:29.0,,,44-64,,Defensive rebound by N. Collison
6:24.0,,,44-64,,Turnover by R. Westbrook (bad pass; steal by M. Ellis)
6:18.0,,,44-64,,Personal foul by N. Collison (drawn by T. Chandler)
6:18.0,A. Aminu enters the game for D. Nowitzki,,44-64,,
6:18.0,D. Harris enters the game for R. Rondo,,44-64,,
6:18.0,,,44-64,,M. McGary enters the game for N. Collison
6:07.0,Shooting foul by M. McGary (drawn by A. Aminu),,44-64,,
6:07.0,A. Aminu makes free throw 1 of 2,1,45-64,,
6:07.0,A. Aminu makes free throw 2 of 2,1,46-64,,
5:50.0,,,46-64,,Shooting foul by D. Harris (drawn by R. Westbrook)
5:50.0,,,46-65,1,R. Westbrook makes free throw 1 of 2
5:50.0,,,46-66,1,R. Westbrook makes free throw 2 of 2
5:37.0,A. Aminu makes 3-pt shot from 22 ft (assist by M. Ellis),3,49-66,,
5:15.0,,,49-66,,M. McGary misses 2-pt shot from 5 ft
5:14.0,,,49-66,,Offensive rebound by S. Ibaka
5:14.0,,,49-68,2,S. Ibaka makes 2-pt shot from 2 ft
5:00.0,T. Chandler misses 2-pt shot from 3 ft,,49-68,,
5:00.0,Offensive rebound by Team,,49-68,,
4:52.0,A. Aminu misses 2-pt shot from 5 ft,,49-68,,
4:51.0,,,49-68,,Defensive rebound by S. Ibaka
4:45.0,,,49-68,,K. Durant misses 3-pt shot from 24 ft
4:44.0,,,49-68,,Offensive rebound by S. Ibaka
4:42.0,,,49-68,,Turnover by S. Ibaka (bad pass; steal by M. Ellis)
4:40.0,Turnover by D. Harris (bad pass),,49-68,,
4:26.0,,,49-70,2,M. McGary makes 2-pt shot at rim
4:21.0,Dallas full timeout,,49-70,,
4:21.0,,,49-70,,A. Morrow enters the game for K. Durant
4:12.0,Shooting foul by M. McGary (drawn by T. Chandler),,49-70,,
4:12.0,T. Chandler makes free throw 1 of 2,1,50-70,,
4:12.0,T. Chandler makes free throw 2 of 2,1,51-70,,
4:02.0,Personal foul by A. Aminu (drawn by R. Westbrook),,51-70,,
4:02.0,,,51-71,1,R. Westbrook makes free throw 1 of 2
4:02.0,D. Nowitzki enters the game for T. Chandler,,51-71,,
4:02.0,C. Villanueva enters the game for C. Parsons,,51-71,,
4:02.0,,,51-72,1,R. Westbrook makes free throw 2 of 2
3:50.0,M. Ellis misses 2-pt shot from 1 ft,,51-72,,
3:49.0,,,51-72,,Defensive rebound by M. McGary
3:37.0,,,51-72,,Turnover by R. Westbrook (lost ball; steal by A. Aminu)
3:33.0,Shooting foul by D. Waiters (drawn by C. Villanueva),,51-72,,
3:33.0,C. Villanueva misses free throw 1 of 2,,51-72,,
3:33.0,Offensive rebound by Team,,51-72,,
3:33.0,J. Barea enters the game for M. Ellis,,51-72,,
3:33.0,C. Villanueva makes free throw 2 of 2,1,52-72,,
3:22.0,,,52-72,,Turnover by R. Westbrook (lost ball; steal by A. Aminu)
3:20.0,,,52-72,,Personal foul by R. Westbrook (drawn by D. Harris)
3:20.0,D. Harris makes free throw 1 of 2,1,53-72,,
3:20.0,D. Harris makes free throw 2 of 2,1,54-72,,
3:17.0,Personal foul by D. Harris (drawn by R. Westbrook),,54-72,,
3:17.0,,,54-73,1,R. Westbrook makes free throw 1 of 2
3:17.0,,,54-74,1,R. Westbrook makes free throw 2 of 2
3:11.0,D. Harris misses 3-pt shot from 23 ft,,54-74,,
3:10.0,,,54-74,,Defensive rebound by A. Morrow
2:52.0,,,54-76,2,D. Waiters makes 2-pt shot from 16 ft (assist by R. Westbrook)
2:39.0,J. Barea makes 2-pt shot from 2 ft,2,56-76,,
2:26.0,,,56-76,,Turnover by D. Waiters (lost ball; steal by J. Barea)
2:18.0,D. Harris makes 2-pt shot at rim,2,58-76,,
2:18.0,,,58-76,,Oklahoma City full timeout
2:13.0,Personal foul by D. Harris (drawn by R. Westbrook),,58-76,,
2:13.0,,,58-77,1,R. Westbrook makes free throw 1 of 2
2:13.0,,,58-78,1,R. Westbrook makes free throw 2 of 2
2:03.0,D. Harris makes 2-pt shot from 1 ft,2,60-78,,
1:46.0,,,60-80,2,A. Morrow makes 2-pt shot from 1 ft
1:28.0,C. Villanueva misses 3-pt shot from 23 ft,,60-80,,
1:27.0,Offensive rebound by A. Aminu,,60-80,,
1:14.0,C. Villanueva misses 2-pt shot from 5 ft,,60-80,,
1:13.0,Offensive rebound by A. Aminu,,60-80,,
1:10.0,J. Barea makes 3-pt shot from 23 ft (assist by A. Aminu),3,63-80,,
0:47.0,,,63-80,,R. Westbrook misses 3-pt shot from 23 ft
0:46.0,Defensive rebound by C. Villanueva,,63-80,,
0:35.0,D. Nowitzki misses 2-pt shot from 16 ft,,63-80,,
0:34.0,,,63-80,,Defensive rebound by M. McGary
0:11.0,,,63-83,3,R. Westbrook makes 3-pt shot from 25 ft (assist by D. Waiters)
0:07.0,C. Villanueva makes 2-pt shot at rim (assist by D. Harris),2,65-83,,
0:01.0,,,65-83,,R. Westbrook misses 3-pt shot from 29 ft
0:00.0,Defensive rebound by Team,,65-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by D. Harris (bad pass; steal by D. Waiters),,65-83,,
11:36.0,,,65-83,,Turnover by M. McGary (bad pass; steal by D. Harris)
11:33.0,D. Harris makes 2-pt shot at rim,2,67-83,,
11:14.0,,,67-83,,D. Waiters misses 2-pt shot from 14 ft
11:13.0,,,67-83,,Offensive rebound by N. Collison
11:05.0,,,67-83,,M. McGary misses 2-pt shot from 3 ft
11:03.0,,,67-83,,Offensive rebound by Team
11:03.0,C. Parsons enters the game for D. Nowitzki,,67-83,,
11:03.0,T. Chandler enters the game for D. Harris,,67-83,,
11:03.0,M. Ellis enters the game for C. Villanueva,,67-83,,
10:52.0,,,67-83,,Turnover by N. Collison (bad pass; steal by M. Ellis)
