time,Cleveland,pts.away,score,pts.home,LA Lakers
6:26.0,,,19-13,3,W. Johnson makes 3-pt shot from 22 ft (assist by K. Bryant)
6:04.0,Shooting foul by E. Davis (drawn by K. Love),,19-13,,
6:04.0,K. Love makes free throw 1 of 2,1,20-13,,
6:04.0,K. Love makes free throw 2 of 2,1,21-13,,
5:41.0,,,21-13,,E. Davis misses 2-pt shot from 2 ft
5:38.0,,,21-13,,Offensive rebound by E. Davis
5:38.0,,,21-13,,Shooting foul by T. Mozgov (drawn by E. Davis)
5:38.0,,,21-13,,LA Lakers full timeout
5:38.0,,,21-13,,E. Davis misses free throw 1 of 2
5:38.0,,,21-13,,Offensive rebound by Team
5:38.0,,,21-13,,E. Davis misses free throw 2 of 2
5:33.0,,,21-13,,Offensive rebound by K. Bryant
5:23.0,,,21-15,2,J. Hill makes 2-pt shot from 11 ft (assist by K. Bryant)
5:12.0,T. Mozgov misses 2-pt shot at rim,,21-15,,
5:10.0,Offensive rebound by L. James,,21-15,,
5:05.0,K. Love misses 3-pt shot from 24 ft,,21-15,,
5:03.0,,,21-15,,Defensive rebound by R. Price
4:56.0,,,21-15,,W. Johnson misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by K. Love,,21-15,,
4:50.0,,,21-15,,Personal foul by R. Price (drawn by L. James)
4:50.0,S. Marion enters the game for L. James,,21-15,,
4:50.0,,,21-15,,C. Boozer enters the game for E. Davis
4:50.0,,,21-15,,T. Black enters the game for J. Hill
4:50.0,T. Thompson enters the game for T. Mozgov,,21-15,,
4:42.0,J. Smith misses 3-pt shot from 22 ft,,21-15,,
4:42.0,Offensive rebound by Team,,21-15,,
4:42.0,,,21-15,,Loose ball foul by T. Black (drawn by T. Thompson)
4:28.0,K. Irving misses 3-pt shot from 25 ft,,21-15,,
4:26.0,,,21-15,,Defensive rebound by W. Johnson
4:09.0,,,21-17,2,C. Boozer makes 2-pt shot from 15 ft (assist by K. Bryant)
3:47.0,K. Love misses 2-pt shot from 3 ft,,21-17,,
3:46.0,,,21-17,,Defensive rebound by T. Black
3:41.0,,,21-17,,Turnover by K. Bryant (bad pass; steal by S. Marion)
3:36.0,Turnover by K. Irving (bad pass; steal by R. Price),,21-17,,
3:31.0,,,21-17,,Shooting foul by K. Irving (drawn by R. Price)
3:31.0,,,21-18,1,R. Price makes free throw 1 of 2
3:31.0,,,21-18,,R. Kelly enters the game for W. Johnson
3:31.0,,,21-19,1,R. Price makes free throw 2 of 2
3:12.0,K. Love misses 2-pt shot from 21 ft,,21-19,,
3:11.0,,,21-19,,Defensive rebound by K. Bryant
3:04.0,,,21-21,2,K. Bryant makes 2-pt shot from 22 ft
3:02.0,Cleveland full timeout,,21-21,,
3:02.0,T. Mozgov enters the game for K. Love,,21-21,,
2:44.0,K. Irving misses 2-pt shot from 2 ft,,21-21,,
2:42.0,,,21-21,,Defensive rebound by T. Black
2:22.0,,,21-23,2,C. Boozer makes 2-pt shot from 17 ft (assist by R. Price)
1:57.0,T. Mozgov makes 2-pt shot from 2 ft,2,23-23,,
1:43.0,,,23-25,2,T. Black makes 2-pt shot from 2 ft (assist by K. Bryant)
1:29.0,J. Smith makes 3-pt shot from 24 ft,3,26-25,,
1:15.0,,,26-28,3,K. Bryant makes 3-pt shot from 25 ft
0:59.0,K. Irving makes 2-pt shot from 23 ft (assist by T. Mozgov),2,28-28,,
0:45.0,,,28-30,2,T. Black makes 2-pt shot from 2 ft (assist by K. Bryant)
0:37.0,,,28-30,,Personal foul by R. Price (drawn by K. Irving)
0:37.0,K. Irving makes free throw 1 of 2,1,29-30,,
0:37.0,,,29-30,,J. Lin enters the game for R. Price
0:37.0,K. Irving makes free throw 2 of 2,1,30-30,,
0:25.0,,,30-30,,R. Kelly misses 2-pt shot from 2 ft
0:23.0,,,30-30,,Offensive rebound by C. Boozer
0:21.0,,,30-30,,Turnover by C. Boozer (bad pass; steal by K. Irving)
0:03.0,J. Smith misses 3-pt shot from 26 ft,,30-30,,
0:00.0,Offensive rebound by Team,,30-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,30-32,2,C. Boozer makes 2-pt shot from 18 ft (assist by T. Black)
11:24.0,M. Dellavedova makes 2-pt shot from 9 ft (assist by S. Marion),2,32-32,,
10:57.0,,,32-34,2,J. Lin makes 2-pt shot from 13 ft
10:39.0,L. James misses 2-pt shot from 19 ft,,32-34,,
10:37.0,Offensive rebound by T. Mozgov,,32-34,,
10:33.0,L. James misses 3-pt shot from 24 ft,,32-34,,
10:32.0,,,32-34,,Defensive rebound by J. Lin
10:32.0,Personal take foul by M. Dellavedova (drawn by J. Lin),,32-34,,
10:32.0,K. Love enters the game for T. Thompson,,32-34,,
10:26.0,,,32-37,3,J. Lin makes 3-pt shot from 24 ft
10:12.0,Shooting foul by C. Boozer (drawn by L. James),,32-37,,
10:12.0,L. James misses free throw 1 of 2,,32-37,,
10:12.0,Offensive rebound by Team,,32-37,,
10:12.0,T. Thompson enters the game for T. Mozgov,,32-37,,
10:12.0,L. James misses free throw 2 of 2,,32-37,,
10:10.0,,,32-37,,Defensive rebound by T. Black
9:55.0,,,32-37,,N. Young misses 2-pt shot from 18 ft
9:54.0,Defensive rebound by Team,,32-37,,
9:46.0,Shooting foul by T. Black (drawn by L. James),,32-37,,
9:46.0,L. James misses free throw 1 of 2,,32-37,,
9:46.0,Offensive rebound by Team,,32-37,,
9:46.0,L. James misses free throw 2 of 2,,32-37,,
9:45.0,,,32-37,,Defensive rebound by R. Kelly
9:31.0,,,32-40,3,N. Young makes 3-pt shot from 23 ft (assist by J. Lin)
9:20.0,,,32-40,,Personal foul by R. Kelly (drawn by L. James)
9:20.0,J. Smith enters the game for S. Marion,,32-40,,
9:07.0,Shooting foul by T. Black (drawn by L. James),,32-40,,
9:07.0,L. James makes free throw 1 of 2,1,33-40,,
9:07.0,,,33-40,,J. Hill enters the game for T. Black
9:07.0,L. James makes free throw 2 of 2,1,34-40,,
9:00.0,,,34-40,,Turnover by R. Kelly (lost ball; steal by M. Dellavedova)
9:00.0,,,34-40,,Personal foul by J. Lin (drawn by M. Dellavedova)
9:00.0,M. Dellavedova misses free throw 1 of 2,,34-40,,
9:00.0,Offensive rebound by Team,,34-40,,
9:00.0,M. Dellavedova makes free throw 2 of 2,1,35-40,,
8:41.0,,,35-40,,R. Kelly misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by T. Thompson,,35-40,,
8:29.0,L. James makes 2-pt shot from 5 ft,2,37-40,,
8:11.0,,,37-40,,N. Young misses 3-pt shot from 24 ft
8:10.0,Defensive rebound by T. Thompson,,37-40,,
8:03.0,Turnover by L. James (traveling),,37-40,,
7:45.0,,,37-40,,C. Boozer misses 2-pt shot from 15 ft
7:44.0,Defensive rebound by K. Love,,37-40,,
7:32.0,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,39-40,,
7:16.0,,,39-42,2,R. Kelly makes 2-pt shot from 1 ft (assist by J. Lin)
7:04.0,T. Thompson misses 2-pt shot from 1 ft,,39-42,,
7:03.0,,,39-42,,Defensive rebound by N. Young
6:46.0,,,39-42,,J. Hill misses 2-pt shot from 12 ft
6:45.0,Defensive rebound by L. James,,39-42,,
6:41.0,L. James makes 2-pt shot from 1 ft,2,41-42,,
6:41.0,Shooting foul by R. Kelly (drawn by L. James),,41-42,,
6:41.0,K. Irving enters the game for M. Dellavedova,,41-42,,
6:41.0,,,41-42,,W. Johnson enters the game for R. Kelly
6:41.0,,,41-42,,E. Davis enters the game for C. Boozer
6:41.0,L. James makes free throw 1 of 1,1,42-42,,
6:28.0,,,42-42,,N. Young misses 3-pt shot from 24 ft
6:27.0,,,42-42,,Offensive rebound by J. Lin
6:22.0,,,42-42,,J. Lin misses 2-pt shot from 3 ft (block by T. Thompson)
6:22.0,Defensive rebound by K. Love,,42-42,,
6:22.0,,,42-42,,Personal foul by N. Young (drawn by K. Love)
6:22.0,K. Love makes free throw 1 of 2,1,43-42,,
6:22.0,K. Love makes free throw 2 of 2,1,44-42,,
6:11.0,,,44-42,,N. Young misses 2-pt shot from 11 ft
6:09.0,Defensive rebound by J. Smith,,44-42,,
6:02.0,K. Love makes 2-pt shot at rim (assist by L. James),2,46-42,,
5:39.0,,,46-44,2,N. Young makes 2-pt shot from 20 ft
5:39.0,,,46-44,,Shooting foul by J. Smith (drawn by N. Young)
5:39.0,,,46-44,,LA Lakers full timeout
5:39.0,,,46-44,,R. Price enters the game for J. Lin
5:39.0,,,46-45,1,N. Young makes free throw 1 of 1
5:23.0,K. Love misses 3-pt shot from 23 ft,,46-45,,
5:21.0,,,46-45,,Defensive rebound by J. Hill
4:56.0,,,46-47,2,J. Hill makes 2-pt shot from 12 ft
4:38.0,Shooting foul by J. Hill (drawn by K. Love),,46-47,,
4:38.0,K. Love misses free throw 1 of 2,,46-47,,
4:38.0,Offensive rebound by Team,,46-47,,
4:38.0,,,46-47,,K. Bryant enters the game for N. Young
4:38.0,K. Love makes free throw 2 of 2,1,47-47,,
4:23.0,,,47-49,2,W. Johnson makes 2-pt shot from 1 ft (assist by K. Bryant)
4:11.0,K. Irving makes 2-pt shot from 1 ft,2,49-49,,
3:54.0,,,49-49,,Turnover by J. Hill (bad pass; steal by L. James)
3:51.0,L. James misses 2-pt shot at rim,,49-49,,
3:51.0,,,49-49,,Defensive rebound by Team
3:38.0,,,49-49,,Turnover by K. Bryant (bad pass; steal by J. Smith)
3:29.0,K. Irving makes 2-pt shot from 13 ft,2,51-49,,
3:09.0,,,51-49,,Shooting foul by T. Thompson (drawn by R. Price)
3:09.0,,,51-49,,R. Price misses free throw 1 of 2
3:09.0,,,51-49,,Offensive rebound by Team
3:09.0,,,51-50,1,R. Price makes free throw 2 of 2
2:44.0,T. Thompson misses 2-pt shot from 11 ft,,51-50,,
2:41.0,,,51-50,,Defensive rebound by W. Johnson
2:34.0,,,51-50,,K. Bryant misses 2-pt shot from 1 ft (block by T. Thompson)
2:31.0,Defensive rebound by T. Thompson,,51-50,,
2:27.0,K. Irving misses 3-pt shot from 24 ft,,51-50,,
2:25.0,,,51-50,,Defensive rebound by J. Hill
2:21.0,,,51-52,2,K. Bryant makes 2-pt shot from 1 ft (assist by J. Hill)
2:14.0,Cleveland full timeout,,51-52,,
2:06.0,Shooting foul by E. Davis (drawn by K. Love),,51-52,,
2:06.0,K. Love makes free throw 1 of 2,1,52-52,,
2:06.0,T. Mozgov enters the game for T. Thompson,,52-52,,
2:06.0,K. Love makes free throw 2 of 2,1,53-52,,
1:52.0,,,53-52,,K. Bryant misses 2-pt shot from 4 ft
1:49.0,,,53-52,,Offensive rebound by E. Davis
1:49.0,,,53-54,2,E. Davis makes 2-pt shot at rim
1:40.0,K. Irving makes 2-pt shot from 14 ft,2,55-54,,
1:21.0,,,55-56,2,E. Davis makes 2-pt shot from 1 ft (assist by K. Bryant)
1:02.0,K. Love misses 2-pt shot from 14 ft,,55-56,,
1:00.0,,,55-56,,Defensive rebound by W. Johnson
0:54.0,,,55-56,,Shooting foul by T. Mozgov (drawn by E. Davis)
0:54.0,,,55-57,1,E. Davis makes free throw 1 of 2
0:54.0,T. Thompson enters the game for T. Mozgov,,55-57,,
0:54.0,,,55-58,1,E. Davis makes free throw 2 of 2
0:36.0,L. James makes 2-pt shot from 14 ft,2,57-58,,
0:25.0,,,57-61,3,K. Bryant makes 3-pt shot from 25 ft
0:04.0,L. James misses 3-pt shot from 24 ft,,57-61,,
0:03.0,,,57-61,,Defensive rebound by E. Davis
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,57-61,,K. Bryant misses 3-pt shot from 26 ft
11:34.0,Defensive rebound by T. Mozgov,,57-61,,
11:19.0,L. James misses 3-pt shot at rim,,57-61,,
11:15.0,Offensive rebound by L. James,,57-61,,
11:15.0,L. James makes 3-pt shot from 25 ft (assist by J. Smith),3,60-61,,
10:58.0,,,60-61,,R. Price misses 2-pt shot from 20 ft
10:57.0,Defensive rebound by T. Mozgov,,60-61,,
10:48.0,K. Irving makes 2-pt shot from 8 ft (assist by L. James),2,62-61,,
10:33.0,,,62-61,,R. Price misses 2-pt shot from 3 ft (block by T. Mozgov)
10:31.0,Defensive rebound by T. Mozgov,,62-61,,
10:14.0,K. Irving misses 2-pt shot from 9 ft,,62-61,,
10:13.0,,,62-61,,Defensive rebound by K. Bryant
10:04.0,,,62-63,2,J. Hill makes 2-pt shot from 21 ft (assist by K. Bryant)
9:44.0,J. Smith misses 2-pt shot from 3 ft,,62-63,,
9:43.0,,,62-63,,Defensive rebound by E. Davis
9:29.0,,,62-63,,J. Hill misses 2-pt shot from 7 ft
9:27.0,Defensive rebound by T. Mozgov,,62-63,,
9:19.0,T. Mozgov misses 2-pt shot from 2 ft,,62-63,,
9:16.0,,,62-63,,Defensive rebound by K. Bryant
9:06.0,,,62-63,,E. Davis misses 2-pt shot from 12 ft
9:04.0,,,62-63,,Offensive rebound by J. Hill
9:04.0,,,62-63,,J. Hill misses 2-pt shot from 1 ft
9:02.0,Defensive rebound by L. James,,62-63,,
8:53.0,L. James makes 2-pt shot from 1 ft,2,64-63,,
8:40.0,,,64-63,,K. Bryant misses 2-pt shot from 14 ft
8:39.0,Defensive rebound by T. Mozgov,,64-63,,
8:30.0,J. Smith misses 3-pt shot from 22 ft,,64-63,,
8:28.0,Offensive rebound by T. Mozgov,,64-63,,
8:22.0,J. Smith misses 3-pt shot from 24 ft,,64-63,,
8:21.0,,,64-63,,Defensive rebound by E. Davis
7:59.0,,,64-63,,R. Price misses 3-pt shot from 26 ft
7:58.0,,,64-63,,Offensive rebound by Team
7:58.0,,,64-63,,Turnover by Team (shot clock)
7:37.0,J. Smith makes 2-pt shot from 10 ft,2,66-63,,
7:16.0,,,66-65,2,J. Hill makes 2-pt shot from 12 ft (assist by K. Bryant)
6:51.0,J. Smith misses 3-pt shot from 23 ft,,66-65,,
6:49.0,Offensive rebound by T. Mozgov,,66-65,,
6:41.0,K. Irving makes 2-pt shot from 1 ft,2,68-65,,
6:23.0,,,68-67,2,J. Hill makes 2-pt shot from 21 ft (assist by K. Bryant)
6:02.0,,,68-67,,Personal foul by R. Price (drawn by K. Irving)
6:02.0,S. Marion enters the game for L. James,,68-67,,
5:53.0,J. Smith makes 2-pt shot from 20 ft,2,70-67,,
5:33.0,,,70-69,2,E. Davis makes 2-pt shot from 2 ft (assist by K. Bryant)
5:12.0,Turnover by K. Irving (bad pass),,70-69,,
5:12.0,,,70-69,,LA Lakers full timeout
5:12.0,,,70-69,,R. Kelly enters the game for W. Johnson
4:56.0,,,70-69,,R. Kelly misses 3-pt shot from 24 ft
4:55.0,Defensive rebound by J. Smith,,70-69,,
4:34.0,Turnover by T. Mozgov (step out of bounds),,70-69,,
4:34.0,T. Thompson enters the game for K. Love,,70-69,,
4:15.0,,,70-71,2,R. Price makes 2-pt shot at rim (assist by K. Bryant)
4:04.0,K. Irving misses 3-pt shot from 25 ft,,70-71,,
4:01.0,,,70-71,,Defensive rebound by J. Hill
3:46.0,,,70-71,,Turnover by R. Price (lost ball; steal by K. Irving)
3:42.0,Turnover by K. Irving (bad pass),,70-71,,
3:42.0,,,70-71,,C. Boozer enters the game for E. Davis
3:42.0,,,70-71,,T. Black enters the game for J. Hill
3:19.0,,,70-71,,C. Boozer misses 2-pt shot from 2 ft
3:18.0,Defensive rebound by T. Mozgov,,70-71,,
3:01.0,J. Smith misses 3-pt shot from 24 ft,,70-71,,
3:00.0,Offensive rebound by T. Thompson,,70-71,,
3:00.0,Offensive foul by T. Thompson,,70-71,,
3:00.0,Turnover by T. Thompson (offensive foul),,70-71,,
3:00.0,,,70-71,,J. Lin enters the game for R. Price
2:42.0,,,70-71,,K. Bryant misses 2-pt shot from 13 ft
2:42.0,Defensive rebound by Team,,70-71,,
2:42.0,,,70-71,,Loose ball foul by T. Black (drawn by S. Marion)
2:42.0,Cleveland full timeout,,70-71,,
2:42.0,,,70-71,,N. Young enters the game for K. Bryant
2:42.0,L. James enters the game for J. Smith,,70-71,,
2:25.0,Shooting foul by R. Kelly (drawn by L. James),,70-71,,
2:25.0,L. James misses free throw 1 of 2,,70-71,,
2:25.0,Offensive rebound by Team,,70-71,,
2:25.0,L. James makes free throw 2 of 2,1,71-71,,
1:58.0,,,71-71,,R. Kelly misses 2-pt shot from 15 ft
1:57.0,,,71-71,,Offensive rebound by T. Black
1:54.0,,,71-71,,T. Black misses 2-pt shot from 1 ft
1:53.0,Defensive rebound by L. James,,71-71,,
1:50.0,Shooting foul by J. Lin (drawn by S. Marion),,71-71,,
1:50.0,S. Marion makes free throw 1 of 2,1,72-71,,
1:50.0,K. Love enters the game for T. Mozgov,,72-71,,
1:50.0,S. Marion makes free throw 2 of 2,1,73-71,,
1:33.0,,,73-73,2,C. Boozer makes 2-pt shot from 2 ft
1:18.0,L. James makes 3-pt shot from 24 ft (assist by K. Irving),3,76-73,,
0:58.0,,,76-73,,Shooting foul by K. Irving (drawn by J. Lin)
0:58.0,,,76-74,1,J. Lin makes free throw 1 of 2
0:58.0,M. Dellavedova enters the game for K. Irving,,76-74,,
0:58.0,,,76-75,1,J. Lin makes free throw 2 of 2
0:40.0,L. James makes 3-pt shot from 25 ft,3,79-75,,
0:32.0,,,79-75,,N. Young misses 3-pt shot from 25 ft
0:30.0,,,79-75,,Offensive rebound by Team
0:10.0,,,79-75,,Turnover by J. Lin (bad pass)
0:02.0,L. James misses 3-pt shot from 26 ft,,79-75,,
0:00.0,,,79-75,,Defensive rebound by N. Young
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,82-75,,
11:23.0,,,82-77,2,J. Lin makes 2-pt shot from 2 ft
10:55.0,L. James makes 2-pt shot from 4 ft,2,84-77,,
10:38.0,,,84-77,,Shooting foul by K. Love (drawn by C. Boozer)
10:38.0,,,84-77,,C. Boozer misses free throw 1 of 2
10:38.0,,,84-77,,Offensive rebound by Team
10:38.0,,,84-78,1,C. Boozer makes free throw 2 of 2
10:20.0,Shooting foul by R. Kelly (drawn by L. James),,84-78,,
10:20.0,L. James makes free throw 1 of 2,1,85-78,,
10:20.0,L. James makes free throw 2 of 2,1,86-78,,
9:58.0,Personal foul by L. James (drawn by N. Young),,86-78,,
9:48.0,,,86-78,,Turnover by T. Black (3 sec)
9:29.0,L. James misses 3-pt shot from 28 ft,,86-78,,
9:28.0,Offensive rebound by T. Thompson,,86-78,,
9:16.0,L. James misses 2-pt shot from 18 ft,,86-78,,
9:15.0,Offensive rebound by Team,,86-78,,
9:11.0,M. Dellavedova makes 3-pt shot from 22 ft (assist by L. James),3,89-78,,
9:02.0,,,89-78,,LA Lakers full timeout
8:50.0,,,89-80,2,T. Black makes 2-pt shot at rim (assist by J. Lin)
8:50.0,,,89-80,,Shooting foul by M. Dellavedova (drawn by T. Black)
8:50.0,,,89-80,,T. Black misses free throw 1 of 1
8:47.0,,,89-80,,Offensive rebound by R. Kelly
8:40.0,,,89-80,,Shooting foul by K. Love (drawn by T. Black)
8:40.0,,,89-81,1,T. Black makes free throw 1 of 2
8:40.0,,,89-82,1,T. Black makes free throw 2 of 2
8:22.0,S. Marion misses 2-pt shot from 1 ft,,89-82,,
8:19.0,Offensive rebound by T. Thompson,,89-82,,
8:19.0,T. Thompson makes 2-pt shot at rim,2,91-82,,
7:59.0,,,91-84,2,N. Young makes 2-pt shot from 1 ft
7:37.0,L. James makes 3-pt shot from 25 ft,3,94-84,,
7:25.0,,,94-84,,Offensive foul by J. Lin
7:25.0,,,94-84,,Turnover by J. Lin (offensive foul)
7:25.0,,,94-84,,J. Hill enters the game for T. Black
7:25.0,,,94-84,,W. Johnson enters the game for R. Kelly
7:25.0,K. Irving enters the game for M. Dellavedova,,94-84,,
7:10.0,K. Love misses 3-pt shot from 25 ft,,94-84,,
7:07.0,,,94-84,,Defensive rebound by Team
7:07.0,,,94-84,,R. Price enters the game for J. Lin
6:58.0,Personal foul by S. Marion (drawn by N. Young),,94-84,,
6:58.0,,,94-84,,N. Young misses free throw 1 of 2
6:58.0,,,94-84,,Offensive rebound by Team
6:58.0,,,94-85,1,N. Young makes free throw 2 of 2
6:40.0,K. Irving misses 2-pt shot from 1 ft,,94-85,,
6:38.0,Offensive rebound by T. Thompson,,94-85,,
6:38.0,T. Thompson misses 2-pt shot from 2 ft,,94-85,,
6:35.0,,,94-85,,Defensive rebound by R. Price
6:23.0,,,94-85,,N. Young misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by T. Thompson,,94-85,,
6:13.0,K. Irving makes 2-pt shot from 16 ft,2,96-85,,
5:53.0,Personal foul by L. James (drawn by N. Young),,96-85,,
5:53.0,Official timeout,,96-85,,
5:53.0,,,96-85,,K. Bryant enters the game for R. Price
5:53.0,J. Smith enters the game for L. James,,96-85,,
5:53.0,,,96-86,1,N. Young makes free throw 1 of 2
5:53.0,,,96-87,1,N. Young makes free throw 2 of 2
5:35.0,K. Love misses 3-pt shot from 25 ft,,96-87,,
5:34.0,,,96-87,,Defensive rebound by W. Johnson
5:22.0,,,96-87,,Turnover by K. Bryant (bad pass; steal by K. Love)
5:06.0,S. Marion makes 2-pt shot from 1 ft (assist by K. Irving),2,98-87,,
4:42.0,,,98-89,2,J. Hill makes 2-pt shot from 4 ft (assist by K. Bryant)
4:25.0,Turnover by K. Love (bad pass; steal by J. Hill),,98-89,,
4:16.0,,,98-89,,N. Young misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by J. Smith,,98-89,,
4:09.0,Cleveland full timeout,,98-89,,
4:09.0,L. James enters the game for S. Marion,,98-89,,
4:01.0,Shooting foul by W. Johnson (drawn by K. Irving),,98-89,,
4:01.0,K. Irving makes free throw 1 of 2,1,99-89,,
4:01.0,S. Marion enters the game for K. Love,,99-89,,
4:01.0,K. Irving makes free throw 2 of 2,1,100-89,,
3:49.0,,,100-91,2,K. Bryant makes 2-pt shot from 1 ft
3:31.0,K. Irving misses 3-pt shot from 25 ft,,100-91,,
3:30.0,,,100-91,,Defensive rebound by J. Hill
3:14.0,,,100-94,3,W. Johnson makes 3-pt shot from 23 ft (assist by C. Boozer)
2:51.0,L. James misses 2-pt shot from 1 ft,,100-94,,
2:50.0,Offensive rebound by T. Thompson,,100-94,,
2:48.0,T. Thompson makes 2-pt shot at rim,2,102-94,,
2:32.0,,,102-94,,N. Young misses 3-pt shot from 22 ft
2:31.0,Defensive rebound by S. Marion,,102-94,,
2:26.0,,,102-94,,Personal foul by N. Young (drawn by T. Thompson)
2:26.0,,,102-94,,R. Kelly enters the game for C. Boozer
2:17.0,J. Smith misses 3-pt shot from 23 ft,,102-94,,
2:16.0,Offensive rebound by K. Irving,,102-94,,
2:11.0,Shooting foul by W. Johnson (drawn by S. Marion),,102-94,,
2:11.0,S. Marion makes free throw 1 of 2,1,103-94,,
2:11.0,S. Marion misses free throw 2 of 2,,103-94,,
2:10.0,,,103-94,,Defensive rebound by J. Hill
2:10.0,,,103-94,,LA Lakers full timeout
1:54.0,,,103-97,3,K. Bryant makes 3-pt shot from 25 ft
1:29.0,L. James misses 2-pt shot from 9 ft,,103-97,,
1:29.0,Jump ball: R. Kelly vs. T. Thompson (W. Johnson gains possession),,,,Jump ball: R. Kelly vs. T. Thompson (W. Johnson gains possession)
1:29.0,,,103-97,,Offensive rebound by Team
1:11.0,,,103-97,,N. Young misses 2-pt shot from 12 ft
1:09.0,Defensive rebound by T. Thompson,,103-97,,
0:50.0,L. James misses 2-pt shot from 16 ft,,103-97,,
0:49.0,,,103-97,,Defensive rebound by R. Kelly
0:44.0,,,103-97,,Shooting foul by S. Marion (drawn by K. Bryant)
0:44.0,,,103-97,,K. Bryant misses free throw 1 of 3
0:44.0,,,103-97,,Offensive rebound by Team
0:44.0,,,103-98,1,K. Bryant makes free throw 2 of 3
0:44.0,,,103-99,1,K. Bryant makes free throw 3 of 3
0:44.0,Cleveland full timeout,,103-99,,
0:44.0,K. Love enters the game for S. Marion,,103-99,,
0:21.0,L. James makes 2-pt shot from 1 ft,2,105-99,,
0:21.0,,,105-99,,LA Lakers full timeout
0:21.0,S. Marion enters the game for K. Love,,105-99,,
0:18.0,,,105-99,,K. Bryant misses 3-pt shot from 23 ft
0:17.0,Defensive rebound by J. Smith,,105-99,,
0:17.0,,,105-99,,Personal foul by N. Young (drawn by J. Smith)
0:17.0,J. Smith misses free throw 1 of 2,,105-99,,
0:17.0,Offensive rebound by Team,,105-99,,
0:17.0,J. Smith makes free throw 2 of 2,1,106-99,,
0:10.0,,,106-102,3,N. Young makes 3-pt shot from 27 ft (assist by K. Bryant)
0:09.0,,,106-102,,Personal take foul by N. Young (drawn by L. James)
0:09.0,L. James makes free throw 1 of 2,1,107-102,,
0:09.0,L. James makes free throw 2 of 2,1,108-102,,
0:09.0,,,108-102,,LA Lakers full timeout
0:06.0,,,108-102,,R. Kelly misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by T. Thompson,,108-102,,
0:04.0,,,108-102,,Personal take foul by W. Johnson (drawn by T. Thompson)
