time,Milwaukee,pts.away,score,pts.home,Philadelphia
5:00.0,,,14-20,1,R. Covington makes free throw 1 of 1
4:41.0,M. Carter-Williams misses 2-pt shot from 16 ft,,14-20,,
4:39.0,,,14-20,,Defensive rebound by Team
4:23.0,,,14-20,,Turnover by T. Robinson (bad pass)
4:14.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,16-20,,
4:14.0,Shooting foul by J. Sampson (drawn by M. Carter-Williams),,16-20,,
4:14.0,M. Carter-Williams makes free throw 1 of 1,1,17-20,,
3:51.0,,,17-22,2,H. Sims makes 2-pt shot from 1 ft (assist by R. Covington)
3:40.0,O. Mayo misses 2-pt shot from 15 ft,,17-22,,
3:38.0,,,17-22,,Defensive rebound by J. Sampson
3:35.0,,,17-22,,Shooting foul by G. Antetokounmpo (drawn by R. Covington)
3:35.0,,,17-23,1,R. Covington makes free throw 1 of 2
3:35.0,K. Middleton enters the game for G. Antetokounmpo,,17-23,,
3:35.0,,,17-24,1,R. Covington makes free throw 2 of 2
3:21.0,Turnover by M. Carter-Williams (traveling),,17-24,,
3:09.0,,,17-24,,Turnover by R. Covington (bad pass)
3:09.0,,,17-24,,H. Thompson enters the game for R. Covington
2:53.0,O. Mayo misses 2-pt shot from 3 ft,,17-24,,
2:51.0,,,17-24,,Defensive rebound by H. Sims
2:43.0,,,17-26,2,J. Sampson makes 2-pt shot from 1 ft
2:31.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,19-26,,
2:31.0,Shooting foul by J. Sampson (drawn by M. Carter-Williams),,19-26,,
2:31.0,Milwaukee full timeout,,19-26,,
2:31.0,M. Carter-Williams makes free throw 1 of 1,1,20-26,,
2:08.0,,,20-26,,Turnover by T. Robinson (bad pass; steal by O. Mayo)
2:02.0,K. Middleton misses 3-pt shot from 23 ft,,20-26,,
2:00.0,Offensive rebound by K. Middleton,,20-26,,
1:57.0,E. Ilyasova misses 3-pt shot from 23 ft,,20-26,,
1:55.0,,,20-26,,Defensive rebound by H. Sims
1:44.0,,,20-26,,H. Thompson misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by M. Carter-Williams,,20-26,,
1:37.0,K. Middleton makes 2-pt shot from 15 ft (assist by M. Carter-Williams),2,22-26,,
1:21.0,,,22-26,,T. Robinson misses 2-pt shot from 4 ft (block by J. Henson)
1:18.0,Defensive rebound by O. Mayo,,22-26,,
1:16.0,Shooting foul by J. Sampson (drawn by M. Carter-Williams),,22-26,,
1:16.0,M. Carter-Williams misses free throw 1 of 2,,22-26,,
1:16.0,Offensive rebound by Team,,22-26,,
1:16.0,,,22-26,,I. Smith enters the game for J. Sampson
1:16.0,M. Carter-Williams misses free throw 2 of 2,,22-26,,
1:15.0,,,22-26,,Defensive rebound by T. Robinson
1:00.0,,,22-26,,Turnover by I. Smith (lost ball; steal by E. Ilyasova)
0:58.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,24-26,,
0:43.0,,,24-26,,H. Sims misses 2-pt shot from 16 ft
0:42.0,,,24-26,,Offensive rebound by Team
0:41.0,J. Bayless enters the game for M. Carter-Williams,,24-26,,
0:36.0,,,24-29,3,H. Thompson makes 3-pt shot from 24 ft (assist by I. Smith)
0:15.0,Turnover by J. Henson (lost ball; steal by H. Sims),,24-29,,
0:00.0,,,24-31,2,T. Robinson makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,O. Mayo makes 2-pt shot from 2 ft (assist by J. Henson),2,26-31,,
11:24.0,,,26-33,2,H. Thompson makes 2-pt shot from 1 ft (assist by H. Sims)
11:13.0,O. Mayo misses 2-pt shot from 21 ft,,26-33,,
11:12.0,,,26-33,,Defensive rebound by J. Grant
11:01.0,,,26-33,,J. Grant misses 3-pt shot from 26 ft
11:00.0,Defensive rebound by J. Bayless,,26-33,,
10:43.0,O. Mayo misses 3-pt shot from 23 ft,,26-33,,
10:42.0,,,26-33,,Defensive rebound by Team
10:42.0,,,26-33,,F. Aldemir enters the game for H. Sims
10:20.0,,,26-33,,H. Thompson misses 3-pt shot from 27 ft
10:18.0,Defensive rebound by J. Henson,,26-33,,
10:08.0,J. Bayless misses 2-pt shot from 12 ft,,26-33,,
10:07.0,Offensive rebound by J. Henson,,26-33,,
10:07.0,J. Henson makes 2-pt shot from 1 ft,2,28-33,,
9:50.0,,,28-33,,H. Thompson misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by J. Bayless,,28-33,,
9:42.0,Shooting foul by J. Grant (drawn by G. Antetokounmpo),,28-33,,
9:42.0,G. Antetokounmpo makes free throw 1 of 2,1,29-33,,
9:42.0,,,29-33,,R. Covington enters the game for G. Robinson
9:42.0,G. Antetokounmpo misses free throw 2 of 2,,29-33,,
9:41.0,,,29-33,,Defensive rebound by J. Grant
9:27.0,,,29-35,2,H. Thompson makes 2-pt shot from 1 ft (assist by I. Smith)
9:21.0,Turnover by O. Mayo (traveling),,29-35,,
9:21.0,,,29-35,,Philadelphia full timeout
9:21.0,J. Gutierrez enters the game for O. Mayo,,29-35,,
9:21.0,M. Plumlee enters the game for J. Henson,,29-35,,
9:04.0,,,29-38,3,J. Grant makes 3-pt shot from 25 ft (assist by F. Aldemir)
8:47.0,G. Antetokounmpo makes 2-pt shot at rim,2,31-38,,
8:24.0,,,31-40,2,H. Thompson makes 2-pt shot at rim
8:11.0,K. Middleton makes 2-pt shot from 7 ft (assist by J. Gutierrez),2,33-40,,
7:56.0,,,33-42,2,J. Grant makes 2-pt shot from 1 ft (assist by I. Smith)
7:30.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,33-42,,
7:28.0,,,33-42,,Defensive rebound by F. Aldemir
7:12.0,Shooting block foul by M. Plumlee (drawn by J. Grant),,33-42,,
7:12.0,,,33-42,,J. Grant misses free throw 1 of 2
7:12.0,,,33-42,,Offensive rebound by Team
7:12.0,,,33-42,,J. Grant misses free throw 2 of 2
7:11.0,Defensive rebound by J. Bayless,,33-42,,
6:58.0,J. Bayless misses 2-pt shot from 3 ft,,33-42,,
6:56.0,,,33-42,,Defensive rebound by J. Grant
6:43.0,,,33-42,,I. Smith misses 2-pt shot from 14 ft
6:42.0,,,33-42,,Offensive rebound by F. Aldemir
6:36.0,,,33-45,3,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith)
6:23.0,Turnover by K. Middleton (bad pass; steal by I. Smith),,33-45,,
6:08.0,,,33-45,,Shooting foul by K. Middleton (drawn by R. Covington)
6:08.0,,,33-46,1,R. Covington makes free throw 1 of 2
6:08.0,T. Ennis enters the game for K. Middleton,,33-46,,
6:08.0,,,33-47,1,R. Covington makes free throw 2 of 2
5:51.0,Turnover by J. Gutierrez (bad pass; steal by R. Covington),,33-47,,
5:43.0,,,33-47,,Turnover by R. Covington (lost ball; steal by M. Plumlee)
5:35.0,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo),2,35-47,,
5:20.0,,,35-47,,R. Covington misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by G. Antetokounmpo,,35-47,,
5:13.0,,,35-47,,Personal foul by I. Smith (drawn by G. Antetokounmpo)
5:13.0,Official timeout,,35-47,,
5:13.0,,,35-47,,G. Robinson enters the game for H. Thompson
5:11.0,M. Plumlee misses 2-pt shot from 2 ft,,35-47,,
5:09.0,,,35-47,,Defensive rebound by R. Covington
4:48.0,,,35-49,2,I. Smith makes 2-pt shot from 6 ft (assist by J. Grant)
4:31.0,T. Ennis misses 2-pt shot from 16 ft,,35-49,,
4:29.0,Offensive rebound by G. Antetokounmpo,,35-49,,
4:29.0,G. Antetokounmpo makes 2-pt shot at rim,2,37-49,,
4:13.0,,,37-49,,Turnover by R. Covington (traveling)
4:13.0,,,37-49,,T. Robinson enters the game for J. Grant
3:58.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless),2,39-49,,
3:48.0,,,39-49,,I. Smith misses 2-pt shot from 16 ft
3:46.0,Defensive rebound by G. Antetokounmpo,,39-49,,
3:39.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,39-49,,
3:36.0,,,39-49,,Defensive rebound by T. Robinson
3:27.0,,,39-49,,T. Robinson misses 2-pt shot from 4 ft
3:27.0,,,39-49,,Offensive rebound by Team
3:27.0,Loose ball foul by J. Bayless (drawn by F. Aldemir),,39-49,,
3:27.0,Z. Pachulia enters the game for M. Plumlee,,39-49,,
3:18.0,,,39-51,2,R. Covington makes 2-pt shot from 3 ft (assist by F. Aldemir)
3:18.0,,,39-51,,Shooting foul by J. Gutierrez (drawn by R. Covington)
3:18.0,,,39-51,,H. Thompson enters the game for I. Smith
3:18.0,M. Carter-Williams enters the game for J. Bayless,,39-51,,
3:18.0,,,39-51,,R. Covington misses free throw 1 of 1
3:16.0,,,39-51,,Offensive rebound by R. Covington
3:16.0,,,39-51,,Shooting foul by M. Carter-Williams (drawn by R. Covington)
3:16.0,,,39-52,1,R. Covington makes free throw 1 of 2
3:16.0,,,39-53,1,R. Covington makes free throw 2 of 2
2:59.0,M. Carter-Williams misses 2-pt shot from 21 ft,,39-53,,
2:57.0,,,39-53,,Defensive rebound by F. Aldemir
2:47.0,,,39-53,,Turnover by R. Covington (bad pass)
2:47.0,Milwaukee full timeout,,39-53,,
2:47.0,E. Ilyasova enters the game for G. Antetokounmpo,,39-53,,
2:47.0,K. Middleton enters the game for J. Gutierrez,,39-53,,
2:36.0,Z. Pachulia misses 2-pt shot from 11 ft,,39-53,,
2:34.0,Offensive rebound by T. Ennis,,39-53,,
2:32.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by T. Ennis),3,42-53,,
2:16.0,,,42-55,2,F. Aldemir makes 2-pt shot at rim (assist by T. Robinson)
2:04.0,,,42-55,,Shooting block foul by F. Aldemir (drawn by M. Carter-Williams)
2:04.0,M. Carter-Williams makes free throw 1 of 2,1,43-55,,
2:04.0,M. Carter-Williams misses free throw 2 of 2,,43-55,,
2:03.0,,,43-55,,Defensive rebound by F. Aldemir
1:55.0,,,43-55,,H. Thompson misses 2-pt shot from 9 ft
1:53.0,Defensive rebound by E. Ilyasova,,43-55,,
1:53.0,,,43-55,,Loose ball foul by H. Thompson (drawn by E. Ilyasova)
1:42.0,M. Carter-Williams misses 2-pt shot from 5 ft (block by R. Covington),,43-55,,
1:40.0,Offensive rebound by Z. Pachulia,,43-55,,
1:38.0,Z. Pachulia misses 2-pt shot from 11 ft,,43-55,,
1:37.0,,,43-55,,Defensive rebound by T. Robinson
1:31.0,,,43-55,,Turnover by G. Robinson (lost ball; steal by E. Ilyasova)
1:22.0,E. Ilyasova makes 2-pt shot at rim (assist by K. Middleton),2,45-55,,
1:22.0,,,45-55,,Philadelphia full timeout
1:22.0,,,45-55,,I. Smith enters the game for G. Robinson
1:22.0,,,45-55,,H. Sims enters the game for F. Aldemir
1:08.0,,,45-55,,Turnover by H. Sims (lost ball; steal by E. Ilyasova)
0:58.0,E. Ilyasova misses 2-pt shot from 9 ft (block by R. Covington),,45-55,,
0:58.0,Offensive rebound by Z. Pachulia,,45-55,,
0:56.0,Z. Pachulia misses 2-pt shot from 3 ft,,45-55,,
0:55.0,Offensive rebound by Z. Pachulia,,45-55,,
0:55.0,Shooting foul by R. Covington (drawn by Z. Pachulia),,45-55,,
0:55.0,Z. Pachulia misses free throw 1 of 2,,45-55,,
0:55.0,Offensive rebound by Team,,45-55,,
0:55.0,Z. Pachulia makes free throw 2 of 2,1,46-55,,
0:45.0,,,46-55,,Turnover by H. Sims (offensive foul)
0:45.0,,,46-55,,Offensive charge foul by H. Sims
0:45.0,,,46-55,,J. Grant enters the game for H. Thompson
0:37.0,K. Middleton makes 3-pt shot from 24 ft (assist by T. Ennis),3,49-55,,
0:27.0,,,49-58,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Grant)
0:03.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by K. Middleton),3,52-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,M. Carter-Williams misses 2-pt shot from 12 ft,,52-58,,
11:36.0,Offensive rebound by E. Ilyasova,,52-58,,
11:36.0,Turnover by Team (shot clock),,52-58,,
11:30.0,Personal foul by Z. Pachulia (drawn by F. Aldemir),,52-58,,
11:11.0,,,52-58,,J. Grant misses 2-pt shot from 1 ft
11:09.0,Defensive rebound by Z. Pachulia,,52-58,,
11:06.0,Shooting foul by J. Grant (drawn by G. Antetokounmpo),,52-58,,
11:06.0,G. Antetokounmpo makes free throw 1 of 2,1,53-58,,
11:06.0,G. Antetokounmpo makes free throw 2 of 2,1,54-58,,
10:55.0,,,54-58,,H. Thompson misses 2-pt shot from 6 ft
10:53.0,Defensive rebound by E. Ilyasova,,54-58,,
10:35.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,56-58,,
10:20.0,Personal foul by G. Antetokounmpo (drawn by R. Covington),,56-58,,
10:12.0,,,56-58,,J. Grant misses 3-pt shot from 23 ft
10:09.0,Defensive rebound by G. Antetokounmpo,,56-58,,
10:06.0,Turnover by Z. Pachulia (lost ball; steal by I. Smith),,56-58,,
10:05.0,,,56-58,,Turnover by I. Smith (lost ball)
9:57.0,K. Middleton misses 3-pt shot from 25 ft,,56-58,,
9:55.0,,,56-58,,Defensive rebound by J. Grant
9:51.0,,,56-58,,Offensive charge foul by J. Grant
9:51.0,,,56-58,,Turnover by J. Grant (offensive foul)
9:44.0,Shooting foul by F. Aldemir (drawn by M. Carter-Williams),,56-58,,
9:44.0,M. Carter-Williams makes free throw 1 of 2,1,57-58,,
9:44.0,M. Carter-Williams makes free throw 2 of 2,1,58-58,,
9:27.0,,,58-58,,Shooting foul by G. Antetokounmpo (drawn by R. Covington)
9:27.0,,,58-59,1,R. Covington makes free throw 1 of 3
9:27.0,,,58-60,1,R. Covington makes free throw 2 of 3
9:27.0,,,58-61,1,R. Covington makes free throw 3 of 3
9:08.0,Z. Pachulia misses 2-pt shot at rim (block by R. Covington),,58-61,,
9:07.0,,,58-61,,Defensive rebound by Team
8:46.0,,,58-61,,Turnover by R. Covington (3 sec)
8:35.0,Turnover by M. Carter-Williams (lost ball; steal by I. Smith),,58-61,,
8:31.0,,,58-61,,R. Covington misses 2-pt shot at rim
8:29.0,Defensive rebound by M. Carter-Williams,,58-61,,
8:24.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by R. Covington),,58-61,,
8:24.0,Offensive rebound by Team,,58-61,,
8:22.0,E. Ilyasova misses 2-pt shot from 23 ft,,58-61,,
8:20.0,,,58-61,,Defensive rebound by R. Covington
8:04.0,,,58-61,,Turnover by I. Smith (lost ball; steal by Z. Pachulia)
8:00.0,E. Ilyasova makes 2-pt shot at rim (assist by M. Carter-Williams),2,60-61,,
7:58.0,,,60-61,,Philadelphia full timeout
7:58.0,,,60-61,,J. Sampson enters the game for I. Smith
7:40.0,,,60-61,,J. Sampson misses 3-pt shot from 26 ft
7:38.0,Defensive rebound by Z. Pachulia,,60-61,,
7:33.0,Shooting foul by J. Grant (drawn by G. Antetokounmpo),,60-61,,
7:33.0,G. Antetokounmpo makes free throw 1 of 2,1,61-61,,
7:33.0,,,61-61,,T. Robinson enters the game for J. Grant
7:33.0,G. Antetokounmpo makes free throw 2 of 2,1,62-61,,
7:19.0,,,62-61,,Shooting foul by G. Antetokounmpo (drawn by R. Covington)
7:19.0,,,62-62,1,R. Covington makes free throw 1 of 2
7:19.0,,,62-63,1,R. Covington makes free throw 2 of 2
7:06.0,Z. Pachulia misses 2-pt shot from 7 ft,,62-63,,
7:05.0,,,62-63,,Defensive rebound by T. Robinson
6:58.0,,,62-63,,Turnover by R. Covington (lost ball)
6:52.0,K. Middleton misses 2-pt shot from 2 ft,,62-63,,
6:50.0,Offensive rebound by Z. Pachulia,,62-63,,
6:50.0,Z. Pachulia misses 2-pt shot from 1 ft,,62-63,,
6:49.0,,,62-63,,Defensive rebound by Team
6:28.0,,,62-63,,T. Robinson misses 2-pt shot from 2 ft
6:26.0,,,62-63,,Offensive rebound by Team
6:26.0,,,62-63,,Turnover by Team (shot clock)
6:13.0,M. Carter-Williams makes 2-pt shot from 10 ft,2,64-63,,
5:45.0,,,64-63,,Turnover by F. Aldemir (lost ball)
5:45.0,,,64-63,,G. Robinson enters the game for H. Thompson
5:36.0,Shooting foul by F. Aldemir (drawn by M. Carter-Williams),,64-63,,
5:36.0,M. Carter-Williams misses free throw 1 of 2,,64-63,,
5:36.0,Offensive rebound by Team,,64-63,,
5:36.0,,,64-63,,H. Sims enters the game for F. Aldemir
5:36.0,M. Carter-Williams misses free throw 2 of 2,,64-63,,
5:35.0,,,64-63,,Defensive rebound by R. Covington
5:22.0,,,64-65,2,T. Robinson makes 2-pt shot from 3 ft (assist by G. Robinson)
5:00.0,Turnover by Z. Pachulia (lost ball; steal by H. Sims),,64-65,,
4:39.0,,,64-65,,R. Covington misses 3-pt shot from 28 ft
4:38.0,,,64-65,,Offensive rebound by Team
4:38.0,Loose ball foul by M. Carter-Williams (drawn by T. Robinson),,64-65,,
4:38.0,,,64-65,,T. Robinson misses free throw 1 of 2
4:38.0,,,64-65,,Offensive rebound by Team
4:38.0,O. Mayo enters the game for G. Antetokounmpo,,64-65,,
4:38.0,,,64-65,,H. Thompson enters the game for R. Covington
4:38.0,,,64-66,1,T. Robinson makes free throw 2 of 2
4:26.0,K. Middleton misses 2-pt shot at rim,,64-66,,
4:23.0,Offensive rebound by K. Middleton,,64-66,,
4:23.0,K. Middleton makes 2-pt shot from 1 ft,2,66-66,,
4:02.0,,,66-66,,H. Sims misses 2-pt shot from 11 ft
4:02.0,,,66-66,,Offensive rebound by Team
4:02.0,Loose ball foul by E. Ilyasova (drawn by T. Robinson),,66-66,,
4:02.0,,,66-67,1,T. Robinson makes free throw 1 of 2
4:02.0,,,66-68,1,T. Robinson makes free throw 2 of 2
3:44.0,Turnover by E. Ilyasova (bad pass; steal by G. Robinson),,66-68,,
3:39.0,,,66-70,2,G. Robinson makes 2-pt shot from 1 ft
3:25.0,M. Carter-Williams misses 2-pt shot from 9 ft,,66-70,,
3:24.0,,,66-70,,Defensive rebound by J. Sampson
3:21.0,,,66-70,,Turnover by J. Sampson (lost ball; steal by O. Mayo)
3:19.0,Shooting foul by H. Sims (drawn by O. Mayo),,66-70,,
3:19.0,O. Mayo makes free throw 1 of 2,1,67-70,,
3:19.0,J. Henson enters the game for Z. Pachulia,,67-70,,
3:19.0,O. Mayo makes free throw 2 of 2,1,68-70,,
3:06.0,,,68-70,,Turnover by J. Sampson (bad pass; steal by M. Carter-Williams)
3:01.0,Shooting foul by H. Thompson (drawn by E. Ilyasova),,68-70,,
3:01.0,E. Ilyasova misses free throw 1 of 2,,68-70,,
3:01.0,Offensive rebound by Team,,68-70,,
3:01.0,E. Ilyasova makes free throw 2 of 2,1,69-70,,
2:53.0,Personal foul by J. Henson (drawn by H. Sims),,69-70,,
2:53.0,Milwaukee full timeout,,69-70,,
2:53.0,,,69-71,1,H. Sims makes free throw 1 of 2
2:53.0,,,69-72,1,H. Sims makes free throw 2 of 2
2:45.0,Shooting foul by T. Robinson (drawn by M. Carter-Williams),,69-72,,
2:45.0,M. Carter-Williams makes free throw 1 of 2,1,70-72,,
2:45.0,M. Carter-Williams makes free throw 2 of 2,1,71-72,,
2:27.0,,,71-72,,Shooting foul by K. Middleton (drawn by H. Thompson)
2:27.0,,,71-73,1,H. Thompson makes free throw 1 of 2
2:27.0,,,71-74,1,H. Thompson makes free throw 2 of 2
2:07.0,M. Carter-Williams makes 2-pt shot from 19 ft,2,73-74,,
1:46.0,,,73-74,,T. Robinson misses 2-pt shot from 2 ft
1:44.0,,,73-74,,Offensive rebound by T. Robinson
1:44.0,,,73-74,,H. Sims misses 2-pt shot from 2 ft
1:42.0,,,73-74,,Offensive rebound by H. Thompson
1:41.0,,,73-74,,H. Thompson misses 2-pt shot from 1 ft
1:40.0,,,73-74,,Offensive rebound by H. Thompson
1:37.0,,,73-74,,J. Sampson misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by M. Carter-Williams,,73-74,,
1:31.0,K. Middleton misses 2-pt shot from 21 ft,,73-74,,
1:29.0,,,73-74,,Defensive rebound by H. Sims
1:09.0,,,73-74,,Turnover by H. Thompson (bad pass; steal by M. Carter-Williams)
1:07.0,M. Carter-Williams makes 2-pt shot at rim,2,75-74,,
0:48.0,,,75-74,,H. Thompson misses 3-pt shot from 23 ft
0:45.0,,,75-74,,Offensive rebound by T. Robinson
0:45.0,,,75-76,2,T. Robinson makes 2-pt shot from 1 ft
0:37.0,M. Carter-Williams makes 2-pt shot from 17 ft,2,77-76,,
0:30.0,,,77-78,2,T. Robinson makes 2-pt shot from 18 ft (assist by J. Sampson)
0:15.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,79-78,,
0:15.0,Shooting foul by H. Thompson (drawn by M. Carter-Williams),,79-78,,
0:15.0,,,79-78,,I. Smith enters the game for J. Sampson
0:15.0,M. Carter-Williams makes free throw 1 of 1,1,80-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,80-78,,Turnover by I. Smith (bad pass; steal by O. Mayo)
11:39.0,O. Mayo makes 2-pt shot from 1 ft,2,82-78,,
11:29.0,,,82-78,,Shooting foul by J. Henson (drawn by T. Robinson)
11:29.0,,,82-79,1,T. Robinson makes free throw 1 of 2
11:29.0,,,82-79,,T. Robinson misses free throw 2 of 2
11:27.0,Defensive rebound by J. Bayless,,82-79,,
11:08.0,O. Mayo makes 2-pt shot from 7 ft (assist by M. Carter-Williams),2,84-79,,
10:56.0,,,84-79,,Turnover by T. Robinson (lost ball; steal by M. Carter-Williams)
10:53.0,Shooting foul by G. Robinson (drawn by G. Antetokounmpo),,84-79,,
10:53.0,G. Antetokounmpo makes free throw 1 of 2,1,85-79,,
10:53.0,G. Antetokounmpo misses free throw 2 of 2,,85-79,,
10:51.0,Offensive rebound by Team,,85-79,,
10:48.0,O. Mayo makes 2-pt shot from 2 ft (assist by J. Bayless),2,87-79,,
10:30.0,,,87-81,2,H. Thompson makes 2-pt shot from 13 ft
10:17.0,Turnover by J. Bayless (traveling),,87-81,,
10:17.0,,,87-81,,R. Covington enters the game for G. Robinson
9:59.0,,,87-81,,H. Sims misses 2-pt shot from 5 ft (block by J. Henson)
9:57.0,Defensive rebound by M. Carter-Williams,,87-81,,
9:57.0,,,87-81,,Personal foul by H. Sims (drawn by M. Carter-Williams)
9:57.0,,,87-81,,J. Grant enters the game for T. Robinson
9:45.0,Shooting foul by H. Thompson (drawn by J. Henson),,87-81,,
9:45.0,J. Henson misses free throw 1 of 2,,87-81,,
9:45.0,Offensive rebound by Team,,87-81,,
9:45.0,J. Henson makes free throw 2 of 2,1,88-81,,
9:28.0,Personal foul by O. Mayo (drawn by R. Covington),,88-81,,
9:20.0,,,88-81,,I. Smith misses 2-pt shot from 3 ft
9:20.0,Defensive rebound by Team,,88-81,,
9:04.0,J. Bayless makes 2-pt shot from 8 ft (assist by M. Carter-Williams),2,90-81,,
8:44.0,,,90-81,,H. Thompson misses 3-pt shot from 26 ft
