time,Houston,pts.away,score,pts.home,Boston
0:11.0,,,60-42,,M. Thornton enters the game for B. Bass
0:03.0,,,60-42,,E. Turner misses 2-pt shot from 18 ft
0:02.0,,,60-42,,Offensive rebound by T. Zeller
0:01.0,,,60-42,,T. Zeller misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by J. Smith,,60-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,D. Motiejunas misses 3-pt shot from 23 ft,,60-42,,
11:39.0,,,60-42,,Defensive rebound by A. Bradley
11:22.0,,,60-42,,J. Sullinger misses 2-pt shot from 4 ft
11:21.0,,,60-42,,Offensive rebound by B. Bass
11:20.0,,,60-44,2,B. Bass makes 2-pt shot at rim
11:03.0,D. Motiejunas misses 2-pt shot from 3 ft,,60-44,,
11:02.0,,,60-44,,Defensive rebound by B. Bass
10:54.0,,,60-44,,Turnover by E. Turner (bad pass; steal by P. Beverley)
10:34.0,P. Beverley misses 2-pt shot from 8 ft,,60-44,,
10:33.0,Offensive rebound by D. Motiejunas,,60-44,,
10:23.0,Turnover by J. Dorsey (3 sec),,60-44,,
10:09.0,,,60-46,2,J. Sullinger makes 2-pt shot from 4 ft
9:57.0,Turnover by D. Motiejunas (traveling),,60-46,,
9:57.0,Houston full timeout,,60-46,,
9:48.0,,,60-46,,B. Bass misses 2-pt shot from 15 ft
9:47.0,Defensive rebound by Team,,60-46,,
9:37.0,J. Dorsey makes 2-pt shot at rim (assist by J. Harden),2,62-46,,
9:24.0,,,62-46,,Shooting foul by J. Dorsey (drawn by B. Bass)
9:24.0,,,62-47,1,B. Bass makes free throw 1 of 2
9:24.0,,,62-48,1,B. Bass makes free throw 2 of 2
8:59.0,J. Harden misses 3-pt shot from 25 ft,,62-48,,
8:58.0,,,62-48,,Defensive rebound by Team
8:46.0,,,62-48,,J. Crowder misses 2-pt shot from 2 ft
8:46.0,Defensive rebound by Team,,62-48,,
8:46.0,,,62-48,,Loose ball foul by B. Bass (drawn by D. Motiejunas)
8:34.0,Turnover by J. Harden (bad pass; steal by J. Crowder),,62-48,,
8:28.0,,,62-48,,E. Turner misses 3-pt shot from 22 ft
8:26.0,Defensive rebound by D. Motiejunas,,62-48,,
8:23.0,Shooting foul by J. Crowder (drawn by P. Beverley),,62-48,,
8:23.0,P. Beverley makes free throw 1 of 2,1,63-48,,
8:23.0,P. Beverley misses free throw 2 of 2,,63-48,,
8:22.0,,,63-48,,Defensive rebound by J. Crowder
8:04.0,,,63-48,,J. Sullinger misses 2-pt shot from 3 ft
8:01.0,Defensive rebound by Team,,63-48,,
8:01.0,,,63-48,,T. Prince enters the game for J. Crowder
7:39.0,P. Beverley misses 2-pt shot from 19 ft,,63-48,,
7:38.0,Offensive rebound by D. Motiejunas,,63-48,,
7:37.0,,,63-48,,Personal foul by A. Bradley (drawn by D. Motiejunas)
7:22.0,Turnover by Team (shot clock),,63-48,,
6:59.0,,,63-50,2,T. Prince makes 2-pt shot from 21 ft (assist by J. Sullinger)
6:45.0,Turnover by D. Motiejunas (lost ball),,63-50,,
6:30.0,,,63-50,,J. Sullinger misses 2-pt shot from 21 ft
6:29.0,Defensive rebound by P. Beverley,,63-50,,
6:21.0,J. Harden misses 2-pt shot from 3 ft,,63-50,,
6:20.0,Offensive rebound by J. Dorsey,,63-50,,
6:19.0,J. Smith enters the game for J. Dorsey,,63-50,,
6:06.0,J. Harden makes 2-pt shot from 14 ft,2,65-50,,
5:51.0,,,65-50,,Turnover by E. Turner (bad pass; steal by J. Harden)
5:46.0,J. Harden misses 2-pt shot from 3 ft,,65-50,,
5:43.0,,,65-50,,Defensive rebound by T. Prince
5:37.0,,,65-52,2,B. Bass makes 2-pt shot from 1 ft (assist by T. Prince)
5:07.0,Turnover by J. Harden (lost ball; steal by J. Sullinger),,65-52,,
5:03.0,,,65-54,2,A. Bradley makes 2-pt shot at rim (assist by J. Sullinger)
5:01.0,Houston full timeout,,65-54,,
5:01.0,J. Terry enters the game for D. Motiejunas,,65-54,,
5:01.0,C. Brewer enters the game for J. Harden,,65-54,,
5:01.0,T. Jones enters the game for P. Beverley,,65-54,,
5:01.0,,,65-54,,M. Smart enters the game for E. Turner
4:50.0,Turnover by J. Smith (bad pass),,65-54,,
4:32.0,,,65-54,,T. Prince misses 2-pt shot from 7 ft
4:31.0,,,65-54,,Offensive rebound by T. Prince
4:28.0,,,65-56,2,T. Prince makes 2-pt shot from 1 ft
4:11.0,J. Smith misses 2-pt shot from 5 ft,,65-56,,
4:10.0,,,65-56,,Defensive rebound by J. Sullinger
3:52.0,,,65-56,,Turnover by J. Sullinger (lost ball; steal by T. Ariza)
3:48.0,C. Brewer misses 2-pt shot from 3 ft (block by M. Smart),,65-56,,
3:47.0,Offensive rebound by T. Jones,,65-56,,
3:46.0,T. Jones makes 2-pt shot at rim,2,67-56,,
3:27.0,,,67-56,,A. Bradley misses 2-pt shot from 18 ft
3:25.0,Defensive rebound by Team,,67-56,,
3:10.0,J. Smith misses 3-pt shot from 24 ft,,67-56,,
3:09.0,,,67-56,,Defensive rebound by J. Sullinger
2:56.0,,,67-56,,A. Bradley misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by T. Ariza,,67-56,,
2:41.0,,,67-56,,Personal foul by M. Smart (drawn by T. Jones)
2:41.0,,,67-56,,Boston full timeout
2:41.0,,,67-56,,T. Zeller enters the game for J. Sullinger
2:41.0,,,67-56,,M. Thornton enters the game for B. Bass
2:35.0,T. Jones misses 2-pt shot from 9 ft,,67-56,,
2:34.0,,,67-56,,Defensive rebound by T. Zeller
2:19.0,,,67-56,,Offensive foul by M. Smart
2:19.0,,,67-56,,Turnover by M. Smart (offensive foul)
2:07.0,J. Smith misses 2-pt shot from 9 ft,,67-56,,
2:06.0,,,67-56,,Defensive rebound by M. Thornton
1:52.0,,,67-56,,Shooting foul by J. Smith (drawn by T. Zeller)
1:52.0,,,67-57,1,T. Zeller makes free throw 1 of 2
1:52.0,J. Harden enters the game for T. Ariza,,67-57,,
1:52.0,,,67-58,1,T. Zeller makes free throw 2 of 2
1:37.0,Turnover by C. Brewer (lost ball; steal by M. Thornton),,67-58,,
1:36.0,Personal foul by J. Terry (drawn by A. Bradley),,67-58,,
1:36.0,,,67-59,1,A. Bradley makes free throw 1 of 2
1:36.0,,,67-60,1,A. Bradley makes free throw 2 of 2
1:24.0,J. Smith misses 3-pt shot from 25 ft,,67-60,,
1:23.0,Offensive rebound by C. Brewer,,67-60,,
1:19.0,J. Terry misses 3-pt shot from 24 ft,,67-60,,
1:16.0,,,67-60,,Defensive rebound by M. Smart
1:10.0,,,67-60,,M. Smart misses 3-pt shot from 24 ft
1:09.0,Defensive rebound by J. Smith,,67-60,,
1:00.0,J. Smith makes 2-pt shot from 5 ft (assist by J. Harden),2,69-60,,
0:47.0,,,69-60,,Shooting foul by T. Jones (drawn by M. Smart)
0:47.0,,,69-61,1,M. Smart makes free throw 1 of 2
0:47.0,,,69-61,,M. Smart misses free throw 2 of 2
0:46.0,Defensive rebound by J. Harden,,69-61,,
0:33.0,J. Harden misses 2-pt shot from 12 ft,,69-61,,
0:32.0,,,69-61,,Defensive rebound by T. Zeller
0:28.0,,,69-64,3,M. Thornton makes 3-pt shot from 24 ft (assist by M. Smart)
0:03.0,J. Harden misses 3-pt shot from 28 ft,,69-64,,
0:01.0,,,69-64,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,69-64,,T. Zeller misses 2-pt shot from 1 ft
11:37.0,Defensive rebound by D. Motiejunas,,69-64,,
11:28.0,Turnover by D. Motiejunas (bad pass; steal by M. Smart),,69-64,,
11:19.0,,,69-64,,M. Thornton misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by J. Harden,,69-64,,
11:11.0,P. Beverley makes 3-pt shot from 23 ft (assist by C. Brewer),3,72-64,,
10:53.0,,,72-64,,T. Prince misses 2-pt shot from 19 ft
10:52.0,Defensive rebound by P. Beverley,,72-64,,
10:36.0,,,72-64,,Violation by J. Crowder (kicked ball)
10:36.0,,,72-64,,B. Bass enters the game for T. Prince
10:26.0,C. Brewer misses 3-pt shot from 24 ft,,72-64,,
10:25.0,,,72-64,,Defensive rebound by T. Zeller
10:17.0,,,72-64,,Shooting foul by T. Jones (drawn by T. Zeller)
10:17.0,,,72-64,,T. Zeller misses free throw 1 of 2
10:17.0,,,72-64,,Offensive rebound by Team
10:17.0,,,72-65,1,T. Zeller makes free throw 2 of 2
10:04.0,Shooting foul by T. Zeller (drawn by D. Motiejunas),,72-65,,
10:04.0,D. Motiejunas makes free throw 1 of 2,1,73-65,,
10:04.0,D. Motiejunas misses free throw 2 of 2,,73-65,,
10:04.0,,,73-65,,Defensive rebound by T. Zeller
9:44.0,,,73-67,2,T. Zeller makes 2-pt shot from 17 ft
9:17.0,D. Motiejunas makes 3-pt shot from 22 ft (assist by J. Harden),3,76-67,,
8:55.0,,,76-70,3,M. Smart makes 3-pt shot from 24 ft (assist by B. Bass)
8:39.0,C. Brewer makes 2-pt shot from 1 ft,2,78-70,,
8:22.0,,,78-70,,B. Bass misses 2-pt shot from 1 ft
8:21.0,Defensive rebound by D. Motiejunas,,78-70,,
8:17.0,C. Brewer makes 2-pt shot at rim (assist by J. Harden),2,80-70,,
8:17.0,,,80-70,,Boston full timeout
8:17.0,,,80-70,,J. Sullinger enters the game for T. Zeller
8:17.0,J. Smith enters the game for T. Jones,,80-70,,
7:58.0,,,80-70,,J. Sullinger misses 2-pt shot from 5 ft
7:57.0,Defensive rebound by C. Brewer,,80-70,,
7:42.0,Turnover by J. Harden (bad pass; steal by J. Crowder),,80-70,,
7:37.0,,,80-73,3,M. Thornton makes 3-pt shot from 24 ft (assist by J. Crowder)
7:20.0,D. Motiejunas makes 2-pt shot from 6 ft (assist by P. Beverley),2,82-73,,
7:07.0,,,82-73,,Shooting foul by J. Smith (drawn by J. Crowder)
7:07.0,,,82-73,,J. Crowder misses free throw 1 of 2
7:07.0,,,82-73,,Offensive rebound by Team
7:07.0,,,82-74,1,J. Crowder makes free throw 2 of 2
6:46.0,C. Brewer misses 2-pt shot from 13 ft,,82-74,,
6:45.0,,,82-74,,Defensive rebound by J. Sullinger
6:35.0,,,82-74,,M. Thornton misses 2-pt shot from 3 ft
6:34.0,,,82-74,,Offensive rebound by Team
6:34.0,T. Ariza enters the game for C. Brewer,,82-74,,
6:30.0,,,82-74,,J. Sullinger misses 2-pt shot from 14 ft
6:29.0,,,82-74,,Offensive rebound by M. Smart
6:28.0,,,82-74,,Turnover by M. Smart (bad pass; steal by J. Smith)
6:27.0,,,82-74,,Personal foul by M. Thornton (drawn by J. Harden)
6:12.0,D. Motiejunas misses 2-pt shot from 7 ft,,82-74,,
6:11.0,,,82-74,,Defensive rebound by J. Sullinger
5:59.0,,,82-77,3,M. Thornton makes 3-pt shot from 23 ft (assist by M. Smart)
5:37.0,T. Ariza misses 3-pt shot from 25 ft,,82-77,,
5:35.0,,,82-77,,Defensive rebound by B. Bass
5:26.0,,,82-77,,Shooting foul by J. Smith (drawn by B. Bass)
5:26.0,Official timeout,,82-77,,
5:26.0,T. Jones enters the game for D. Motiejunas,,82-77,,
5:26.0,,,82-78,1,B. Bass makes free throw 1 of 2
5:26.0,,,82-79,1,B. Bass makes free throw 2 of 2
5:03.0,J. Smith misses 2-pt shot from 18 ft,,82-79,,
5:02.0,,,82-79,,Defensive rebound by M. Thornton
4:52.0,Personal foul by T. Ariza (drawn by M. Thornton),,82-79,,
4:39.0,,,82-79,,Turnover by M. Thornton (bad pass; steal by J. Smith)
4:27.0,T. Jones misses 3-pt shot from 23 ft,,82-79,,
4:25.0,,,82-79,,Defensive rebound by M. Thornton
4:13.0,,,82-79,,J. Sullinger misses 3-pt shot from 24 ft
4:12.0,Defensive rebound by J. Harden,,82-79,,
4:07.0,,,82-79,,Personal block foul by J. Sullinger (drawn by J. Harden)
4:07.0,D. Motiejunas enters the game for T. Jones,,82-79,,
4:07.0,,,82-79,,A. Bradley enters the game for M. Thornton
4:07.0,,,82-79,,T. Prince enters the game for B. Bass
4:01.0,T. Ariza misses 3-pt shot from 25 ft,,82-79,,
4:00.0,,,82-79,,Defensive rebound by J. Crowder
3:37.0,,,82-79,,J. Crowder misses 3-pt shot from 24 ft
3:35.0,Defensive rebound by T. Ariza,,82-79,,
3:29.0,J. Harden misses 3-pt shot from 25 ft,,82-79,,
3:27.0,Offensive rebound by J. Smith,,82-79,,
3:23.0,Turnover by D. Motiejunas (step out of bounds),,82-79,,
3:15.0,,,82-79,,M. Smart misses 2-pt shot from 2 ft
3:14.0,Defensive rebound by J. Smith,,82-79,,
3:01.0,J. Harden misses 2-pt shot at rim,,82-79,,
3:00.0,Offensive rebound by D. Motiejunas,,82-79,,
3:00.0,D. Motiejunas makes 2-pt shot at rim,2,84-79,,
2:40.0,,,84-79,,M. Smart misses 3-pt shot from 25 ft
