time,Sacramento,pts.away,score,pts.home,Oklahoma City
0:51.0,,,89-96,1,J. Lamb makes free throw 2 of 2
0:51.0,Sacramento full timeout,,89-96,,
0:51.0,N. Stauskas enters the game for J. Thompson,,89-96,,
0:49.0,,,89-96,,Personal foul by L. Thomas (drawn by R. Gay)
0:49.0,R. Gay makes free throw 1 of 2,1,90-96,,
0:49.0,J. Thompson enters the game for N. Stauskas,,90-96,,
0:49.0,R. Gay makes free throw 2 of 2,1,91-96,,
0:49.0,,,91-96,,Oklahoma City full timeout
0:28.0,,,91-96,,Shooting foul by D. Cousins (drawn by R. Jackson)
0:28.0,,,91-97,1,R. Jackson makes free throw 1 of 2
0:28.0,,,91-97,,R. Jackson misses free throw 2 of 2
0:27.0,Defensive rebound by D. Cousins,,91-97,,
0:27.0,Sacramento full timeout,,91-97,,
0:23.0,R. Gay makes 2-pt shot from 1 ft,2,93-97,,
0:20.0,Personal take foul by D. Collison (drawn by R. Jackson),,93-97,,
0:20.0,,,93-98,1,R. Jackson makes free throw 1 of 2
0:20.0,N. Stauskas enters the game for J. Thompson,,93-98,,
0:20.0,,,93-98,,I. Smith enters the game for S. Adams
0:20.0,,,93-99,1,R. Jackson makes free throw 2 of 2
0:11.0,R. Gay misses 3-pt shot from 25 ft,,93-99,,
0:10.0,,,93-99,,Defensive rebound by J. Lamb
0:10.0,Personal take foul by N. Stauskas (drawn by J. Lamb),,93-99,,
0:10.0,,,93-100,1,J. Lamb makes free throw 1 of 2
0:10.0,,,93-101,1,J. Lamb makes free throw 2 of 2
0:03.0,D. Collison misses 3-pt shot from 24 ft,,93-101,,
0:02.0,Offensive rebound by R. Gay,,93-101,,
0:02.0,R. Gay misses 2-pt shot from 1 ft,,93-101,,
0:01.0,Offensive rebound by D. Collison,,93-101,,
0:00.0,D. Collison misses 3-pt shot from 23 ft,,93-101,,
0:00.0,,,93-101,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
