time,Miami,pts.away,score,pts.home,Orlando
10:25.0,,,17-22,2,W. Green makes 2-pt shot from 1 ft (assist by A. Gordon)
10:09.0,H. Walker misses 3-pt shot from 26 ft,,17-22,,
10:08.0,,,17-22,,Defensive rebound by W. Green
9:52.0,Violation by C. Andersen (kicked ball),,17-22,,
9:49.0,,,17-25,3,W. Green makes 3-pt shot from 26 ft
9:46.0,Miami full timeout,,17-25,,
9:39.0,Turnover by S. Napier (lost ball),,17-25,,
9:30.0,,,17-27,2,A. Gordon makes 2-pt shot from 1 ft
9:13.0,Shooting foul by L. Ridnour (drawn by L. Deng),,17-27,,
9:13.0,L. Deng makes free throw 1 of 2,1,18-27,,
9:13.0,G. Dragic enters the game for S. Napier,,18-27,,
9:13.0,L. Deng makes free throw 2 of 2,1,19-27,,
8:54.0,,,19-29,2,E. Fournier makes 2-pt shot from 7 ft
8:28.0,M. Chalmers misses 3-pt shot from 25 ft,,19-29,,
8:26.0,,,19-29,,Defensive rebound by W. Green
8:21.0,,,19-29,,E. Fournier misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by L. Deng,,19-29,,
8:14.0,,,19-29,,Personal foul by W. Green (drawn by G. Dragic)
8:14.0,D. Wade enters the game for M. Chalmers,,19-29,,
8:09.0,,,19-29,,Personal foul by E. Fournier (drawn by L. Deng)
7:56.0,D. Wade misses 2-pt shot from 22 ft,,19-29,,
7:54.0,,,19-29,,Defensive rebound by W. Green
7:42.0,,,19-29,,Offensive foul by A. Gordon
7:42.0,,,19-29,,Turnover by A. Gordon (offensive foul)
7:42.0,M. Chalmers enters the game for H. Walker,,19-29,,
7:42.0,,,19-29,,T. Harris enters the game for D. Dedmon
7:42.0,,,19-29,,N. Vucevic enters the game for A. Gordon
7:28.0,L. Deng makes 2-pt shot from 15 ft (assist by D. Wade),2,21-29,,
7:10.0,,,21-29,,L. Ridnour misses 3-pt shot from 23 ft
7:09.0,Defensive rebound by C. Andersen,,21-29,,
7:00.0,C. Andersen makes 2-pt shot from 1 ft (assist by D. Wade),2,23-29,,
6:57.0,,,23-29,,Orlando full timeout
6:57.0,,,23-29,,E. Payton enters the game for E. Fournier
6:57.0,,,23-29,,V. Oladipo enters the game for L. Ridnour
6:57.0,H. Whiteside enters the game for C. Andersen,,23-29,,
6:42.0,,,23-29,,N. Vucevic misses 2-pt shot from 18 ft
6:41.0,Defensive rebound by L. Deng,,23-29,,
6:15.0,M. Chalmers makes 3-pt shot from 26 ft,3,26-29,,
5:48.0,,,26-29,,V. Oladipo misses 2-pt shot from 17 ft
5:47.0,Defensive rebound by H. Whiteside,,26-29,,
5:39.0,,,26-29,,Personal foul by N. Vucevic (drawn by D. Wade)
5:30.0,L. Deng makes 2-pt shot from 19 ft (assist by G. Dragic),2,28-29,,
5:07.0,,,28-29,,W. Green misses 3-pt shot from 22 ft
5:06.0,Defensive rebound by G. Dragic,,28-29,,
4:59.0,,,28-29,,Personal foul by T. Harris (drawn by H. Whiteside)
4:59.0,H. Whiteside makes free throw 1 of 2,1,29-29,,
4:59.0,,,29-29,,A. Gordon enters the game for T. Harris
4:59.0,H. Whiteside makes free throw 2 of 2,1,30-29,,
4:38.0,,,30-29,,V. Oladipo misses 2-pt shot from 17 ft (block by H. Whiteside)
4:36.0,,,30-29,,Offensive rebound by V. Oladipo
4:35.0,,,30-29,,V. Oladipo misses 2-pt shot from 1 ft
4:33.0,Defensive rebound by H. Whiteside,,30-29,,
4:21.0,L. Deng misses 2-pt shot from 19 ft,,30-29,,
4:19.0,,,30-29,,Defensive rebound by V. Oladipo
4:10.0,,,30-29,,E. Payton misses 2-pt shot from 2 ft
4:07.0,,,30-29,,Offensive rebound by E. Payton
4:07.0,Personal foul by M. Chalmers (drawn by E. Payton),,30-29,,
4:07.0,H. Walker enters the game for L. Deng,,30-29,,
4:07.0,,,30-29,,E. Fournier enters the game for W. Green
3:58.0,,,30-31,2,A. Gordon makes 2-pt shot from 2 ft (assist by V. Oladipo)
3:36.0,M. Chalmers misses 3-pt shot from 23 ft,,30-31,,
3:36.0,,,30-31,,Defensive rebound by Team
3:15.0,Personal foul by H. Walker (drawn by V. Oladipo),,30-31,,
3:15.0,,,30-32,1,V. Oladipo makes free throw 1 of 2
3:15.0,,,30-33,1,V. Oladipo makes free throw 2 of 2
3:08.0,D. Wade makes 2-pt shot from 4 ft (assist by G. Dragic),2,32-33,,
2:43.0,,,32-35,2,E. Fournier makes 2-pt shot from 1 ft
2:36.0,G. Dragic misses 2-pt shot at rim,,32-35,,
2:36.0,Offensive rebound by Team,,32-35,,
2:36.0,Official timeout,,32-35,,
2:17.0,H. Whiteside misses 2-pt shot at rim,,32-35,,
2:16.0,,,32-35,,Defensive rebound by N. Vucevic
2:05.0,,,32-35,,N. Vucevic misses 2-pt shot from 11 ft
2:04.0,Defensive rebound by D. Wade,,32-35,,
1:56.0,D. Wade misses 2-pt shot from 18 ft,,32-35,,
1:54.0,Offensive rebound by H. Whiteside,,32-35,,
1:48.0,D. Wade misses 2-pt shot from 11 ft,,32-35,,
1:47.0,,,32-35,,Defensive rebound by A. Gordon
1:42.0,,,32-35,,Shooting foul by H. Whiteside (drawn by A. Gordon)
1:42.0,,,32-35,,A. Gordon misses free throw 1 of 2
1:42.0,,,32-35,,Offensive rebound by Team
1:42.0,C. Andersen enters the game for H. Whiteside,,32-35,,
1:42.0,L. Deng enters the game for H. Walker,,32-35,,
1:42.0,,,32-35,,A. Gordon misses free throw 2 of 2
1:41.0,Defensive rebound by C. Andersen,,32-35,,
1:40.0,,,32-35,,Personal take foul by A. Gordon (drawn by C. Andersen)
1:40.0,,,32-35,,T. Harris enters the game for A. Gordon
1:40.0,C. Andersen makes free throw 1 of 2,1,33-35,,
1:40.0,C. Andersen makes free throw 2 of 2,1,34-35,,
1:27.0,Personal foul by G. Dragic (drawn by E. Fournier),,34-35,,
1:27.0,,,34-36,1,E. Fournier makes free throw 1 of 2
1:27.0,,,34-36,,E. Fournier misses free throw 2 of 2
1:26.0,Defensive rebound by D. Wade,,34-36,,
1:14.0,M. Chalmers misses 2-pt shot from 22 ft,,34-36,,
1:14.0,Offensive rebound by Team,,34-36,,
1:14.0,,,34-36,,Loose ball foul by E. Fournier (drawn by C. Andersen)
1:14.0,C. Andersen misses free throw 1 of 2,,34-36,,
1:14.0,Offensive rebound by Team,,34-36,,
1:14.0,C. Andersen misses free throw 2 of 2,,34-36,,
1:13.0,,,34-36,,Defensive rebound by T. Harris
1:01.0,,,34-36,,N. Vucevic misses 2-pt shot from 4 ft
1:00.0,Defensive rebound by Team,,34-36,,
0:48.0,Shooting foul by V. Oladipo (drawn by D. Wade),,34-36,,
0:48.0,D. Wade makes free throw 1 of 2,1,35-36,,
0:48.0,S. Napier enters the game for G. Dragic,,35-36,,
0:48.0,D. Wade makes free throw 2 of 2,1,36-36,,
0:38.0,,,36-38,2,V. Oladipo makes 2-pt shot from 2 ft
0:25.0,Miami full timeout,,36-38,,
0:14.0,M. Chalmers misses 3-pt shot from 23 ft,,36-38,,
0:13.0,,,36-38,,Defensive rebound by N. Vucevic
0:01.0,,,36-40,2,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,L. Deng misses 2-pt shot from 22 ft,,36-40,,
11:40.0,,,36-40,,Defensive rebound by E. Payton
11:30.0,Personal foul by G. Dragic (drawn by E. Payton),,36-40,,
11:16.0,,,36-40,,T. Harris misses 3-pt shot from 23 ft
11:15.0,,,36-40,,Offensive rebound by T. Harris
11:04.0,,,36-40,,Turnover by V. Oladipo (lost ball)
10:39.0,U. Haslem makes 2-pt shot from 18 ft (assist by G. Dragic),2,38-40,,
10:23.0,,,38-42,2,T. Harris makes 2-pt shot from 18 ft (assist by E. Payton)
10:08.0,Turnover by D. Wade (bad pass),,38-42,,
9:56.0,,,38-44,2,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton)
9:32.0,U. Haslem misses 2-pt shot from 16 ft,,38-44,,
9:28.0,Offensive rebound by Team,,38-44,,
9:13.0,D. Wade misses 3-pt shot from 26 ft,,38-44,,
9:12.0,,,38-44,,Defensive rebound by E. Payton
8:55.0,,,38-44,,C. Frye misses 3-pt shot from 26 ft
8:54.0,,,38-44,,Offensive rebound by T. Harris
8:53.0,,,38-44,,Turnover by T. Harris (bad pass; steal by G. Dragic)
8:53.0,,,38-44,,Personal foul by C. Frye (drawn by G. Dragic)
8:31.0,L. Deng makes 2-pt shot from 21 ft (assist by G. Dragic),2,40-44,,
8:23.0,,,40-46,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
8:09.0,Turnover by G. Dragic (3 sec),,40-46,,
7:55.0,,,40-46,,Offensive charge foul by T. Harris
7:55.0,,,40-46,,Turnover by T. Harris (offensive foul)
7:41.0,Turnover by D. Wade (lost ball; steal by N. Vucevic),,40-46,,
7:36.0,,,40-46,,V. Oladipo misses 2-pt shot from 1 ft
7:33.0,Defensive rebound by G. Dragic,,40-46,,
7:29.0,Shooting foul by V. Oladipo (drawn by L. Deng),,40-46,,
7:29.0,L. Deng misses free throw 1 of 2,,40-46,,
7:29.0,Offensive rebound by Team,,40-46,,
7:29.0,L. Deng makes free throw 2 of 2,1,41-46,,
7:17.0,Personal block foul by U. Haslem (drawn by T. Harris),,41-46,,
7:06.0,,,41-46,,N. Vucevic misses 2-pt shot from 15 ft
7:04.0,Defensive rebound by L. Deng,,41-46,,
6:53.0,Shooting foul by C. Frye (drawn by L. Deng),,41-46,,
6:53.0,L. Deng makes free throw 1 of 2,1,42-46,,
6:53.0,,,42-46,,E. Fournier enters the game for T. Harris
6:53.0,L. Deng misses free throw 2 of 2,,42-46,,
6:51.0,,,42-46,,Defensive rebound by C. Frye
6:40.0,,,42-49,3,C. Frye makes 3-pt shot from 26 ft (assist by E. Payton)
6:24.0,,,42-49,,Personal foul by E. Fournier (drawn by L. Deng)
6:14.0,L. Deng misses 2-pt shot from 2 ft,,42-49,,
6:13.0,,,42-49,,Defensive rebound by E. Payton
6:09.0,,,42-49,,E. Payton misses 2-pt shot at rim (block by U. Haslem)
6:07.0,,,42-49,,Offensive rebound by N. Vucevic
6:02.0,Violation by H. Whiteside (def goaltending),,42-49,,
6:02.0,,,42-51,2,E. Payton makes 2-pt shot from 1 ft (assist by V. Oladipo)
6:02.0,Miami full timeout,,42-51,,
6:02.0,H. Walker enters the game for U. Haslem,,42-51,,
5:44.0,H. Walker misses 3-pt shot from 25 ft,,42-51,,
5:41.0,Offensive rebound by H. Whiteside,,42-51,,
5:37.0,H. Whiteside makes 2-pt shot from 6 ft,2,44-51,,
5:22.0,,,44-51,,Turnover by V. Oladipo (bad pass; steal by D. Wade)
5:18.0,G. Dragic makes 2-pt shot at rim (assist by D. Wade),2,46-51,,
4:53.0,,,46-51,,Shooting foul by H. Whiteside (drawn by N. Vucevic)
4:53.0,,,46-52,1,N. Vucevic makes free throw 1 of 2
4:53.0,,,46-53,1,N. Vucevic makes free throw 2 of 2
4:39.0,Turnover by D. Wade (lost ball),,46-53,,
4:26.0,,,46-53,,Offensive foul by C. Frye
4:26.0,,,46-53,,Turnover by C. Frye (offensive foul)
4:26.0,,,46-53,,T. Harris enters the game for C. Frye
4:14.0,H. Whiteside makes 2-pt shot at rim (assist by H. Walker),2,48-53,,
4:03.0,,,48-53,,Turnover by E. Payton (bad pass)
4:03.0,M. Chalmers enters the game for D. Wade,,48-53,,
3:50.0,G. Dragic misses 3-pt shot from 24 ft,,48-53,,
3:47.0,,,48-53,,Defensive rebound by V. Oladipo
3:36.0,,,48-55,2,N. Vucevic makes 2-pt shot from 4 ft (assist by E. Fournier)
3:36.0,,,48-55,,Shooting foul by H. Walker (drawn by N. Vucevic)
3:36.0,,,48-55,,N. Vucevic misses free throw 1 of 1
3:35.0,Defensive rebound by H. Whiteside,,48-55,,
3:13.0,L. Deng makes 2-pt shot at rim (assist by H. Walker),2,50-55,,
2:53.0,,,50-58,3,T. Harris makes 3-pt shot from 25 ft (assist by E. Payton)
2:33.0,Shooting foul by N. Vucevic (drawn by H. Whiteside),,50-58,,
2:33.0,,,50-58,,Orlando full timeout
2:33.0,H. Whiteside misses free throw 1 of 2,,50-58,,
2:33.0,Offensive rebound by Team,,50-58,,
2:33.0,H. Whiteside makes free throw 2 of 2,1,51-58,,
2:19.0,,,51-60,2,N. Vucevic makes 2-pt shot from 10 ft
2:04.0,L. Deng makes 2-pt shot from 1 ft,2,53-60,,
1:50.0,Violation by G. Dragic (kicked ball),,53-60,,
1:50.0,,,53-60,,W. Green enters the game for V. Oladipo
1:44.0,,,53-60,,Turnover by E. Fournier (traveling)
1:32.0,,,53-60,,Def 3 sec tech foul by N. Vucevic
1:32.0,M. Chalmers makes technical free throw,1,54-60,,
1:32.0,S. Napier enters the game for G. Dragic,,54-60,,
1:22.0,L. Deng makes 3-pt shot from 22 ft (assist by M. Chalmers),3,57-60,,
1:05.0,,,57-60,,Shooting foul by H. Whiteside (drawn by E. Payton)
1:05.0,,,57-61,1,E. Payton makes free throw 1 of 2
1:05.0,C. Andersen enters the game for H. Whiteside,,57-61,,
1:05.0,,,57-61,,D. Dedmon enters the game for N. Vucevic
1:05.0,,,57-61,,E. Payton misses free throw 2 of 2
1:02.0,Defensive rebound by C. Andersen,,57-61,,
0:46.0,H. Walker misses 2-pt shot from 3 ft,,57-61,,
0:43.0,,,57-61,,Defensive rebound by D. Dedmon
0:41.0,,,57-61,,Turnover by D. Dedmon (bad pass; steal by H. Walker)
0:40.0,H. Walker makes 2-pt shot at rim,2,59-61,,
0:32.0,,,59-61,,E. Payton misses 2-pt shot from 20 ft
0:30.0,Defensive rebound by Team,,59-61,,
0:30.0,,,59-61,,L. Ridnour enters the game for E. Payton
0:10.0,L. Deng makes 2-pt shot at rim (assist by C. Andersen),2,61-61,,
0:03.0,,,61-61,,T. Harris misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by C. Andersen,,61-61,,
0:00.0,C. Andersen misses 3-pt shot from 56 ft,,61-61,,
0:00.0,Offensive rebound by Team,,61-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,61-61,,T. Harris misses 3-pt shot from 24 ft
11:36.0,,,61-61,,Offensive rebound by Team
11:36.0,,,61-61,,Turnover by Team (shot clock)
11:13.0,M. Chalmers misses 3-pt shot from 27 ft (block by T. Harris),,61-61,,
11:10.0,,,61-61,,Defensive rebound by D. Dedmon
10:57.0,,,61-61,,Shooting foul by S. Napier (drawn by D. Dedmon)
10:57.0,,,61-62,1,D. Dedmon makes free throw 1 of 2
10:57.0,,,61-62,,D. Dedmon misses free throw 2 of 2
10:56.0,Defensive rebound by H. Walker,,61-62,,
10:36.0,H. Walker misses 3-pt shot from 26 ft,,61-62,,
10:35.0,Offensive rebound by S. Napier,,61-62,,
10:18.0,H. Walker misses 3-pt shot from 25 ft,,61-62,,
10:16.0,,,61-62,,Defensive rebound by T. Harris
9:57.0,,,61-62,,T. Harris misses 2-pt shot from 7 ft (block by C. Andersen)
9:55.0,,,61-62,,Offensive rebound by E. Fournier
9:52.0,,,61-62,,E. Fournier misses 3-pt shot from 28 ft
9:50.0,Defensive rebound by C. Andersen,,61-62,,
9:46.0,Miami full timeout,,61-62,,
9:46.0,D. Wade enters the game for L. Deng,,61-62,,
9:33.0,S. Napier makes 3-pt shot from 26 ft (assist by D. Wade),3,64-62,,
9:08.0,,,64-62,,W. Green misses 3-pt shot from 26 ft
9:06.0,,,64-62,,Offensive rebound by D. Dedmon
9:06.0,,,64-64,2,D. Dedmon makes 2-pt shot from 1 ft
8:45.0,D. Wade misses 2-pt shot from 12 ft,,64-64,,
8:43.0,,,64-64,,Defensive rebound by T. Harris
8:36.0,,,64-66,2,W. Green makes 2-pt shot from 18 ft
8:14.0,Offensive charge foul by S. Napier,,64-66,,
8:14.0,Turnover by S. Napier (offensive foul),,64-66,,
8:14.0,Official timeout,,64-66,,
8:14.0,,,64-66,,V. Oladipo enters the game for L. Ridnour
7:59.0,,,64-68,2,E. Fournier makes 2-pt shot from 17 ft
7:36.0,S. Napier makes 2-pt shot from 19 ft,2,66-68,,
7:15.0,,,66-68,,W. Green misses 3-pt shot from 23 ft
7:14.0,Defensive rebound by H. Walker,,66-68,,
6:54.0,Turnover by C. Andersen (lost ball; steal by T. Harris),,66-68,,
6:36.0,,,66-68,,Turnover by V. Oladipo (bad pass; steal by D. Wade)
6:26.0,D. Wade misses 2-pt shot from 18 ft,,66-68,,
6:25.0,,,66-68,,Defensive rebound by V. Oladipo
6:24.0,,,66-68,,Orlando full timeout
6:24.0,G. Dragic enters the game for C. Andersen,,66-68,,
6:24.0,H. Whiteside enters the game for S. Napier,,66-68,,
6:24.0,,,66-68,,N. Vucevic enters the game for D. Dedmon
6:24.0,,,66-68,,E. Payton enters the game for E. Fournier
6:08.0,,,66-68,,E. Payton misses 2-pt shot from 5 ft (block by H. Whiteside)
6:04.0,Defensive rebound by H. Walker,,66-68,,
5:48.0,H. Walker misses 3-pt shot from 26 ft,,66-68,,
5:46.0,,,66-68,,Defensive rebound by T. Harris
5:46.0,Personal foul by G. Dragic (drawn by T. Harris),,66-68,,
5:37.0,,,66-71,3,W. Green makes 3-pt shot from 25 ft
5:12.0,D. Wade makes 3-pt shot from 25 ft,3,69-71,,
4:57.0,,,69-73,2,N. Vucevic makes 2-pt shot from 16 ft (assist by W. Green)
4:32.0,D. Wade makes 2-pt shot from 9 ft,2,71-73,,
4:08.0,,,71-73,,N. Vucevic misses 2-pt shot from 9 ft
4:07.0,Defensive rebound by M. Chalmers,,71-73,,
3:56.0,H. Walker misses 3-pt shot from 25 ft,,71-73,,
3:55.0,,,71-73,,Defensive rebound by V. Oladipo
3:33.0,,,71-73,,T. Harris misses 2-pt shot from 18 ft
3:33.0,Defensive rebound by Team,,71-73,,
3:33.0,,,71-73,,Loose ball foul by N. Vucevic (drawn by H. Whiteside)
3:33.0,L. Deng enters the game for H. Walker,,71-73,,
3:33.0,Miami full timeout,,71-73,,
3:19.0,D. Wade misses 2-pt shot from 14 ft,,71-73,,
3:17.0,Offensive rebound by G. Dragic,,71-73,,
3:13.0,,,71-73,,Personal foul by W. Green (drawn by H. Whiteside)
3:13.0,H. Whiteside makes free throw 1 of 2,1,72-73,,
3:13.0,H. Whiteside misses free throw 2 of 2,,72-73,,
3:11.0,Offensive rebound by Team,,72-73,,
2:50.0,M. Chalmers misses 3-pt shot from 26 ft,,72-73,,
2:48.0,,,72-73,,Defensive rebound by W. Green
2:37.0,,,72-73,,V. Oladipo misses 2-pt shot from 5 ft
2:33.0,,,72-73,,Offensive rebound by N. Vucevic
2:33.0,,,72-75,2,N. Vucevic makes 2-pt shot from 1 ft
2:21.0,G. Dragic makes 2-pt shot from 1 ft,2,74-75,,
2:04.0,,,74-75,,Shooting foul by D. Wade (drawn by V. Oladipo)
2:04.0,,,74-76,1,V. Oladipo makes free throw 1 of 2
2:04.0,,,74-77,1,V. Oladipo makes free throw 2 of 2
1:39.0,Turnover by Team (shot clock),,74-77,,
1:28.0,,,74-77,,Shooting foul by L. Deng (drawn by T. Harris)
1:28.0,,,74-78,1,T. Harris makes free throw 1 of 2
1:28.0,,,74-79,1,T. Harris makes free throw 2 of 2
1:12.0,D. Wade misses 3-pt shot from 23 ft,,74-79,,
1:11.0,,,74-79,,Defensive rebound by V. Oladipo
0:50.0,,,74-79,,W. Green misses 2-pt shot from 18 ft
0:48.0,,,74-79,,Offensive rebound by W. Green
0:48.0,,,74-81,2,W. Green makes 2-pt shot from 2 ft
0:48.0,Miami full timeout,,74-81,,
