time,Oklahoma City,pts.away,score,pts.home,Denver
0:02.0,,,73-57,,A. Afflalo misses 3-pt shot from 25 ft
0:00.0,,,73-57,,Offensive rebound by K. Faried
0:00.0,,,73-59,2,K. Faried makes 2-pt shot from 6 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,73-61,2,J. Nurkic makes 2-pt shot from 2 ft
11:28.0,S. Ibaka misses 2-pt shot from 3 ft,,73-61,,
11:27.0,,,73-61,,Defensive rebound by J. Nurkic
11:17.0,,,73-63,2,W. Chandler makes 2-pt shot at rim (assist by T. Lawson)
11:04.0,Turnover by K. Durant (offensive foul),,73-63,,
11:04.0,Technical foul by K. Durant (drawn by K. Faried),,73-63,,
11:04.0,,,73-64,1,A. Afflalo makes technical free throw
11:04.0,,,73-65,1,K. Faried makes flagrant free throw 1 of 2
11:04.0,,,73-66,1,K. Faried makes flagrant free throw 2 of 2
10:46.0,,,73-66,,Shooting foul by K. Perkins (drawn by J. Nurkic)
10:46.0,,,73-67,1,J. Nurkic makes free throw 1 of 2
10:46.0,,,73-68,1,J. Nurkic makes free throw 2 of 2
10:21.0,R. Westbrook makes 3-pt shot from 25 ft,3,76-68,,
10:11.0,,,76-68,,W. Chandler misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by A. Roberson,,76-68,,
10:05.0,Shooting foul by T. Lawson (drawn by R. Westbrook),,76-68,,
10:05.0,R. Westbrook makes free throw 1 of 2,1,77-68,,
10:05.0,R. Westbrook makes free throw 2 of 2,1,78-68,,
9:45.0,,,78-68,,Turnover by A. Afflalo (lost ball)
9:27.0,A. Roberson misses 3-pt shot from 22 ft,,78-68,,
9:26.0,Offensive rebound by K. Perkins,,78-68,,
9:24.0,,,78-68,,Inbound foul by W. Chandler
9:24.0,K. Durant misses free throw 1 of 2,,78-68,,
9:24.0,Offensive rebound by Team,,78-68,,
9:24.0,K. Durant makes free throw 2 of 2,1,79-68,,
9:03.0,,,79-68,,T. Lawson misses 3-pt shot from 25 ft
9:01.0,,,79-68,,Offensive rebound by J. Nurkic
8:57.0,,,79-71,3,W. Chandler makes 3-pt shot from 24 ft (assist by J. Nurkic)
8:37.0,K. Perkins makes 2-pt shot from 10 ft (assist by A. Roberson),2,81-71,,
8:22.0,,,81-71,,A. Afflalo misses 2-pt shot from 16 ft
8:20.0,Defensive rebound by K. Perkins,,81-71,,
8:15.0,R. Westbrook misses 2-pt shot from 1 ft,,81-71,,
8:11.0,Offensive rebound by S. Ibaka,,81-71,,
8:11.0,S. Ibaka makes 2-pt shot from 1 ft,2,83-71,,
8:01.0,,,83-71,,A. Afflalo misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by K. Durant,,83-71,,
7:51.0,K. Durant makes 3-pt shot from 25 ft,3,86-71,,
7:41.0,Personal foul by S. Ibaka (drawn by T. Lawson),,86-71,,
7:41.0,,,86-71,,R. Foye enters the game for A. Afflalo
7:41.0,N. Collison enters the game for S. Ibaka,,86-71,,
7:31.0,,,86-73,2,K. Faried makes 2-pt shot from 2 ft
7:19.0,R. Westbrook misses 2-pt shot from 5 ft,,86-73,,
7:18.0,,,86-73,,Defensive rebound by J. Nurkic
7:17.0,Personal foul by A. Roberson (drawn by J. Nurkic),,86-73,,
7:05.0,Shooting block foul by K. Perkins (drawn by W. Chandler),,86-73,,
7:05.0,,,86-74,1,W. Chandler makes free throw 1 of 2
7:05.0,,,86-75,1,W. Chandler makes free throw 2 of 2
6:53.0,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,88-75,,
6:40.0,,,88-75,,T. Lawson misses 2-pt shot from 13 ft
6:39.0,Defensive rebound by N. Collison,,88-75,,
6:30.0,K. Durant makes 3-pt shot from 27 ft,3,91-75,,
6:22.0,,,91-75,,Denver full timeout
6:03.0,,,91-75,,R. Foye misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by R. Westbrook,,91-75,,
6:01.0,,,91-75,,Personal foul by K. Faried (drawn by R. Westbrook)
5:49.0,A. Roberson makes 3-pt shot from 22 ft (assist by R. Westbrook),3,94-75,,
5:45.0,Personal foul by R. Westbrook (drawn by T. Lawson),,94-75,,
5:45.0,,,94-76,1,T. Lawson makes free throw 1 of 2
5:45.0,,,94-76,,T. Lawson misses free throw 2 of 2
5:44.0,Defensive rebound by K. Durant,,94-76,,
5:34.0,Turnover by K. Durant (bad pass),,94-76,,
5:18.0,,,94-76,,K. Faried misses 2-pt shot from 10 ft
5:17.0,Defensive rebound by K. Durant,,94-76,,
5:13.0,Shooting foul by J. Nurkic (drawn by R. Westbrook),,94-76,,
5:13.0,R. Westbrook misses free throw 1 of 2,,94-76,,
5:13.0,Offensive rebound by Team,,94-76,,
5:13.0,R. Westbrook makes free throw 2 of 2,1,95-76,,
4:57.0,,,95-78,2,W. Chandler makes 2-pt shot from 10 ft
4:33.0,Turnover by K. Perkins (bad pass; steal by J. Nurkic),,95-78,,
4:24.0,,,95-78,,R. Foye misses 2-pt shot from 6 ft
4:23.0,,,95-78,,Offensive rebound by K. Faried
4:22.0,,,95-80,2,K. Faried makes 2-pt shot from 6 ft
4:22.0,Oklahoma City full timeout,,95-80,,
4:22.0,D. Waiters enters the game for K. Perkins,,95-80,,
4:22.0,M. McGary enters the game for A. Roberson,,95-80,,
4:12.0,Shooting foul by K. Faried (drawn by M. McGary),,95-80,,
4:12.0,M. McGary makes free throw 1 of 2,1,96-80,,
4:12.0,M. McGary makes free throw 2 of 2,1,97-80,,
3:56.0,,,97-80,,R. Foye misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by Team,,97-80,,
3:56.0,,,97-80,,Loose ball foul by K. Faried (drawn by N. Collison)
3:56.0,N. Collison makes free throw 1 of 2,1,98-80,,
3:56.0,N. Collison makes free throw 2 of 2,1,99-80,,
3:43.0,,,99-82,2,W. Chandler makes 2-pt shot from 16 ft
3:24.0,M. McGary makes 2-pt shot from 2 ft (assist by R. Westbrook),2,101-82,,
2:57.0,,,101-84,2,J. Nurkic makes 2-pt shot from 1 ft (assist by T. Lawson)
2:41.0,M. McGary misses 2-pt shot from 10 ft,,101-84,,
2:40.0,,,101-84,,Defensive rebound by J. Nurkic
2:38.0,Personal foul by N. Collison (drawn by K. Faried),,101-84,,
2:38.0,,,101-84,,K. Faried misses free throw 1 of 2
2:38.0,,,101-84,,Offensive rebound by Team
2:38.0,,,101-85,1,K. Faried makes free throw 2 of 2
2:28.0,,,101-85,,Personal foul by W. Chandler (drawn by K. Durant)
2:28.0,K. Durant makes free throw 1 of 2,1,102-85,,
2:28.0,R. Jackson enters the game for R. Westbrook,,102-85,,
2:28.0,,,102-85,,D. Arthur enters the game for K. Faried
2:28.0,,,102-85,,D. Gallinari enters the game for W. Chandler
2:28.0,K. Durant makes free throw 2 of 2,1,103-85,,
2:16.0,,,103-85,,R. Foye misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by R. Jackson,,103-85,,
2:03.0,K. Durant makes 3-pt shot from 25 ft,3,106-85,,
1:51.0,,,106-87,2,D. Arthur makes 2-pt shot from 19 ft (assist by T. Lawson)
1:35.0,K. Durant misses 3-pt shot from 26 ft,,106-87,,
1:34.0,,,106-87,,Defensive rebound by Team
1:23.0,,,106-87,,D. Gallinari misses 3-pt shot from 23 ft
1:21.0,,,106-87,,Offensive rebound by Team
1:15.0,,,106-89,2,D. Arthur makes 2-pt shot from 17 ft (assist by T. Lawson)
0:54.0,Turnover by D. Waiters (bad pass; steal by D. Gallinari),,106-89,,
0:48.0,,,106-89,,D. Arthur misses 2-pt shot from 20 ft
0:46.0,Defensive rebound by K. Durant,,106-89,,
0:33.0,N. Collison misses 2-pt shot from 3 ft (block by D. Arthur),,106-89,,
0:31.0,Offensive rebound by M. McGary,,106-89,,
0:29.0,M. McGary misses 2-pt shot from 2 ft,,106-89,,
0:28.0,,,106-89,,Defensive rebound by D. Gallinari
0:10.0,,,106-92,3,T. Lawson makes 3-pt shot from 26 ft
0:07.0,Turnover by N. Collison (bad pass; steal by T. Lawson),,106-92,,
0:05.0,,,106-92,,T. Lawson misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by N. Collison,,106-92,,
0:00.0,D. Waiters misses 3-pt shot from 26 ft,,106-92,,
0:00.0,Offensive rebound by Team,,106-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,D. Waiters misses 2-pt shot from 19 ft,,106-92,,
11:41.0,,,106-92,,Defensive rebound by A. Afflalo
11:30.0,,,106-94,2,J. Hickson makes 2-pt shot from 2 ft (assist by D. Arthur)
11:09.0,R. Jackson misses 2-pt shot from 18 ft,,106-94,,
11:07.0,,,106-94,,Defensive rebound by D. Arthur
10:56.0,,,106-96,2,D. Arthur makes 2-pt shot from 17 ft (assist by R. Foye)
10:56.0,Oklahoma City full timeout,,106-96,,
10:48.0,Offensive foul by D. Waiters,,106-96,,
10:48.0,Turnover by D. Waiters (offensive foul),,106-96,,
10:40.0,,,106-96,,A. Afflalo misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by M. McGary,,106-96,,
10:24.0,Shooting foul by R. Foye (drawn by R. Jackson),,106-96,,
10:24.0,R. Jackson makes free throw 1 of 2,1,107-96,,
10:24.0,R. Jackson makes free throw 2 of 2,1,108-96,,
10:07.0,,,108-96,,D. Arthur misses 2-pt shot from 20 ft
10:06.0,Defensive rebound by M. McGary,,108-96,,
9:58.0,D. Waiters misses 2-pt shot from 19 ft,,108-96,,
9:55.0,,,108-96,,Defensive rebound by D. Arthur
9:49.0,Personal foul by R. Jackson (drawn by A. Afflalo),,108-96,,
9:49.0,,,108-96,,T. Lawson enters the game for R. Foye
9:38.0,,,108-96,,D. Gallinari misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by R. Jackson,,108-96,,
9:28.0,D. Waiters misses 3-pt shot from 24 ft,,108-96,,
9:27.0,Offensive rebound by M. McGary,,108-96,,
9:26.0,Shooting foul by D. Arthur (drawn by M. McGary),,108-96,,
9:26.0,M. McGary misses free throw 1 of 2,,108-96,,
9:26.0,Offensive rebound by Team,,108-96,,
9:26.0,M. McGary makes free throw 2 of 2,1,109-96,,
9:16.0,,,109-96,,Shooting foul by N. Collison (drawn by J. Hickson)
9:16.0,,,109-97,1,J. Hickson makes free throw 1 of 2
9:16.0,,,109-97,,J. Hickson misses free throw 2 of 2
9:15.0,Defensive rebound by D. Waiters,,109-97,,
9:02.0,M. McGary misses 2-pt shot at rim,,109-97,,
9:01.0,,,109-97,,Defensive rebound by J. Hickson
8:50.0,,,109-97,,D. Gallinari misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by N. Collison,,109-97,,
8:32.0,A. Morrow makes 2-pt shot from 21 ft (assist by R. Jackson),2,111-97,,
8:20.0,Violation by N. Collison (kicked ball),,111-97,,
8:20.0,,,111-97,,W. Chandler enters the game for D. Gallinari
8:13.0,,,111-97,,D. Arthur misses 3-pt shot from 24 ft
8:12.0,Defensive rebound by M. McGary,,111-97,,
7:56.0,M. McGary makes 2-pt shot from 3 ft (assist by N. Collison),2,113-97,,
7:35.0,,,113-97,,A. Afflalo misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by R. Jackson,,113-97,,
7:30.0,D. Waiters makes 2-pt shot at rim (assist by R. Jackson),2,115-97,,
7:30.0,,,115-97,,Denver full timeout
7:30.0,,,115-97,,R. Foye enters the game for A. Afflalo
7:30.0,,,115-97,,J. Nurkic enters the game for J. Hickson
7:30.0,,,115-97,,K. Faried enters the game for D. Arthur
7:05.0,,,115-100,3,T. Lawson makes 3-pt shot from 27 ft (assist by J. Nurkic)
6:47.0,D. Waiters misses 2-pt shot from 18 ft,,115-100,,
6:45.0,,,115-100,,Defensive rebound by J. Nurkic
6:30.0,,,115-100,,K. Faried misses 2-pt shot from 6 ft
6:29.0,,,115-100,,Offensive rebound by J. Nurkic
6:26.0,,,115-102,2,J. Nurkic makes 2-pt shot from 5 ft
6:14.0,,,115-102,,Personal foul by K. Faried (drawn by R. Jackson)
