time,Cleveland,pts.away,score,pts.home,Milwaukee
7:57.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving),3,9-13,,
7:39.0,,,9-13,,Z. Pachulia misses 2-pt shot from 14 ft
7:38.0,Defensive rebound by L. James,,9-13,,
7:29.0,K. Love misses 3-pt shot from 25 ft,,9-13,,
7:28.0,,,9-13,,Defensive rebound by G. Antetokounmpo
7:22.0,,,9-13,,Offensive foul by G. Antetokounmpo
7:22.0,,,9-13,,Turnover by G. Antetokounmpo (offensive foul)
7:16.0,T. Mozgov misses 2-pt shot from 4 ft,,9-13,,
7:15.0,Offensive rebound by T. Mozgov,,9-13,,
7:07.0,Turnover by K. Irving (lost ball; steal by G. Antetokounmpo),,9-13,,
7:03.0,,,9-15,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
6:57.0,K. Love makes 2-pt shot at rim (assist by K. Irving),2,11-15,,
6:42.0,,,11-17,2,E. Ilyasova makes 2-pt shot at rim (assist by M. Carter-Williams)
6:20.0,K. Irving misses 2-pt shot from 7 ft,,11-17,,
6:19.0,,,11-17,,Defensive rebound by Z. Pachulia
6:16.0,,,11-17,,E. Ilyasova misses 2-pt shot at rim
6:11.0,Defensive rebound by J. Smith,,11-17,,
6:07.0,Turnover by J. Smith (bad pass; steal by M. Carter-Williams),,11-17,,
6:04.0,,,11-17,,Turnover by Z. Pachulia (bad pass)
5:44.0,J. Smith misses 3-pt shot from 26 ft,,11-17,,
5:43.0,,,11-17,,Defensive rebound by K. Middleton
5:39.0,,,11-19,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
5:38.0,Cleveland full timeout,,11-19,,
5:38.0,I. Shumpert enters the game for L. James,,11-19,,
5:38.0,T. Thompson enters the game for T. Mozgov,,11-19,,
5:38.0,,,11-19,,J. Bayless enters the game for M. Carter-Williams
5:23.0,K. Irving makes 2-pt shot from 1 ft,2,13-19,,
5:07.0,,,13-21,2,E. Ilyasova makes 2-pt shot at rim (assist by G. Antetokounmpo)
4:48.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,15-21,,
4:27.0,,,15-21,,E. Ilyasova misses 2-pt shot from 16 ft
4:26.0,Defensive rebound by T. Thompson,,15-21,,
4:16.0,K. Love misses 3-pt shot from 24 ft,,15-21,,
4:15.0,,,15-21,,Defensive rebound by Z. Pachulia
4:10.0,,,15-21,,Turnover by E. Ilyasova (bad pass)
4:10.0,,,15-21,,J. Henson enters the game for Z. Pachulia
3:51.0,J. Smith makes 3-pt shot from 26 ft,3,18-21,,
3:32.0,,,18-21,,Shooting foul by K. Love (drawn by G. Antetokounmpo)
3:32.0,,,18-22,1,G. Antetokounmpo makes free throw 1 of 2
3:32.0,,,18-22,,C. Johnson enters the game for K. Middleton
3:32.0,,,18-22,,G. Antetokounmpo misses free throw 2 of 2
3:31.0,Defensive rebound by T. Thompson,,18-22,,
3:12.0,K. Irving makes 2-pt shot from 17 ft (assist by K. Love),2,20-22,,
2:55.0,,,20-22,,Turnover by J. Bayless (lost ball; steal by K. Irving)
2:45.0,K. Love makes 2-pt shot at rim (assist by K. Irving),2,22-22,,
2:43.0,,,22-22,,Milwaukee full timeout
2:43.0,L. James enters the game for J. Smith,,22-22,,
2:43.0,,,22-22,,M. Carter-Williams enters the game for E. Ilyasova
2:31.0,,,22-22,,C. Johnson misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by T. Thompson,,22-22,,
2:26.0,Turnover by K. Irving (lost ball; steal by M. Carter-Williams),,22-22,,
2:13.0,,,22-22,,J. Bayless misses 2-pt shot from 21 ft
2:12.0,Defensive rebound by K. Irving,,22-22,,
2:04.0,T. Thompson misses 2-pt shot from 4 ft,,22-22,,
2:03.0,,,22-22,,Defensive rebound by G. Antetokounmpo
1:53.0,,,22-22,,J. Henson misses 2-pt shot from 8 ft
1:52.0,Defensive rebound by L. James,,22-22,,
1:43.0,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James),3,25-22,,
1:26.0,,,25-22,,G. Antetokounmpo misses 2-pt shot from 9 ft
1:25.0,,,25-22,,Offensive rebound by J. Henson
1:16.0,,,25-22,,Turnover by M. Carter-Williams (bad pass)
1:16.0,J. Jones enters the game for K. Love,,25-22,,
1:00.0,J. Jones misses 3-pt shot from 24 ft,,25-22,,
0:59.0,,,25-22,,Defensive rebound by J. Bayless
0:49.0,,,25-24,2,M. Carter-Williams makes 2-pt shot from 13 ft
0:29.0,Turnover by L. James (bad pass),,25-24,,
0:20.0,,,25-26,2,M. Carter-Williams makes 2-pt shot from 1 ft
0:01.0,L. James misses 2-pt shot at rim,,25-26,,
0:00.0,,,25-26,,Defensive rebound by J. Bayless
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,I. Shumpert makes 2-pt shot from 16 ft,2,27-26,,
11:20.0,Violation by T. Thompson (def goaltending),,27-26,,
11:20.0,,,27-28,2,M. Carter-Williams makes 2-pt shot at rim
11:01.0,M. Dellavedova misses 3-pt shot from 26 ft,,27-28,,
10:59.0,,,27-28,,Defensive rebound by J. Bayless
10:45.0,,,27-30,2,C. Johnson makes 2-pt shot at rim (assist by J. Bayless)
10:23.0,M. Dellavedova misses 2-pt shot at rim (block by M. Carter-Williams),,27-30,,
10:21.0,,,27-30,,Defensive rebound by K. Middleton
10:18.0,,,27-32,2,J. Bayless makes 2-pt shot at rim (assist by K. Middleton)
9:52.0,L. James misses 2-pt shot from 19 ft,,27-32,,
9:50.0,,,27-32,,Defensive rebound by J. Henson
9:42.0,,,27-32,,Turnover by K. Middleton (bad pass; steal by J. Jones)
9:39.0,Shooting foul by J. Bayless (drawn by L. James),,27-32,,
9:39.0,L. James makes free throw 1 of 2,1,28-32,,
9:39.0,L. James makes free throw 2 of 2,1,29-32,,
9:32.0,,,29-32,,Offensive foul by J. Henson
9:32.0,,,29-32,,Turnover by J. Henson (offensive foul)
9:20.0,L. James misses 3-pt shot from 26 ft,,29-32,,
9:19.0,,,29-32,,Defensive rebound by M. Carter-Williams
9:16.0,,,29-32,,Turnover by M. Carter-Williams (bad pass)
9:06.0,I. Shumpert misses 2-pt shot from 1 ft,,29-32,,
9:04.0,Offensive rebound by T. Thompson,,29-32,,
9:04.0,Shooting foul by J. Henson (drawn by T. Thompson),,29-32,,
9:04.0,,,29-32,,Technical foul by J. Henson (drawn by T. Thompson)
9:04.0,L. James makes technical free throw,1,30-32,,
9:04.0,,,30-32,,Z. Pachulia enters the game for J. Henson
9:04.0,T. Thompson misses free throw 1 of 2,,30-32,,
9:04.0,Offensive rebound by Team,,30-32,,
9:04.0,T. Thompson misses free throw 2 of 2,,30-32,,
9:02.0,,,30-32,,Defensive rebound by K. Middleton
8:49.0,,,30-32,,Turnover by J. Bayless (bad pass; steal by L. James)
8:45.0,Turnover by L. James (lost ball; steal by C. Johnson),,30-32,,
8:42.0,Personal take foul by M. Dellavedova (drawn by M. Carter-Williams),,30-32,,
8:42.0,Official timeout,,30-32,,
8:42.0,T. Mozgov enters the game for T. Thompson,,30-32,,
8:42.0,K. Irving enters the game for M. Dellavedova,,30-32,,
8:42.0,,,30-32,,T. Ennis enters the game for J. Bayless
8:42.0,,,30-32,,E. Ilyasova enters the game for C. Johnson
8:35.0,,,30-32,,M. Carter-Williams misses 2-pt shot from 19 ft
8:34.0,Defensive rebound by K. Irving,,30-32,,
8:27.0,,,30-32,,Violation by K. Middleton (kicked ball)
8:27.0,K. Love enters the game for J. Jones,,30-32,,
8:21.0,Turnover by K. Love (bad pass; steal by T. Ennis),,30-32,,
8:16.0,,,30-34,2,E. Ilyasova makes 2-pt shot at rim (assist by K. Middleton)
8:06.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,32-34,,
7:51.0,,,32-34,,Turnover by M. Carter-Williams (bad pass)
7:35.0,Jump ball: T. Ennis vs. T. Mozgov (L. James gains possession),,,,Jump ball: T. Ennis vs. T. Mozgov (L. James gains possession)
7:26.0,K. Irving misses 3-pt shot from 25 ft,,32-34,,
7:24.0,Offensive rebound by K. Love,,32-34,,
7:19.0,I. Shumpert misses 2-pt shot at rim,,32-34,,
7:17.0,Offensive rebound by T. Mozgov,,32-34,,
7:17.0,T. Mozgov makes 2-pt shot at rim,2,34-34,,
6:54.0,,,34-34,,K. Middleton misses 3-pt shot from 26 ft
6:53.0,Defensive rebound by K. Love,,34-34,,
6:37.0,K. Love misses 2-pt shot from 10 ft,,34-34,,
6:36.0,,,34-34,,Defensive rebound by E. Ilyasova
6:19.0,,,34-36,2,M. Carter-Williams makes 2-pt shot from 10 ft
6:01.0,L. James misses 3-pt shot from 26 ft,,34-36,,
6:00.0,,,34-36,,Defensive rebound by Z. Pachulia
5:50.0,,,34-38,2,T. Ennis makes 2-pt shot from 7 ft
5:34.0,K. Irving makes 2-pt shot at rim,2,36-38,,
5:23.0,,,36-40,2,Z. Pachulia makes 2-pt shot at rim (assist by K. Middleton)
5:13.0,Cleveland full timeout,,36-40,,
5:13.0,J. Smith enters the game for I. Shumpert,,36-40,,
5:13.0,,,36-40,,G. Antetokounmpo enters the game for M. Carter-Williams
4:58.0,K. Love misses 2-pt shot from 5 ft,,36-40,,
4:57.0,,,36-40,,Defensive rebound by E. Ilyasova
4:42.0,,,36-40,,Z. Pachulia misses 2-pt shot from 14 ft
4:41.0,Defensive rebound by L. James,,36-40,,
4:28.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving),3,39-40,,
4:13.0,,,39-42,2,Z. Pachulia makes 2-pt shot at rim (assist by E. Ilyasova)
3:54.0,K. Irving misses 2-pt shot from 4 ft,,39-42,,
3:52.0,,,39-42,,Defensive rebound by G. Antetokounmpo
3:45.0,,,39-42,,G. Antetokounmpo misses 2-pt shot from 1 ft
3:43.0,,,39-42,,Offensive rebound by Z. Pachulia
3:43.0,,,39-44,2,Z. Pachulia makes 2-pt shot at rim
3:20.0,L. James makes 2-pt shot at rim,2,41-44,,
3:10.0,,,41-46,2,K. Middleton makes 2-pt shot from 1 ft
2:57.0,Offensive foul by T. Mozgov,,41-46,,
2:57.0,Turnover by T. Mozgov (offensive foul),,41-46,,
2:57.0,Technical foul by T. Mozgov,,41-46,,
2:57.0,,,41-46,,Milwaukee full timeout
2:57.0,T. Thompson enters the game for T. Mozgov,,41-46,,
2:57.0,,,41-47,1,K. Middleton makes technical free throw
2:35.0,,,41-47,,T. Ennis misses 2-pt shot from 9 ft
2:33.0,Defensive rebound by T. Thompson,,41-47,,
2:11.0,K. Irving misses 3-pt shot from 23 ft,,41-47,,
2:10.0,,,41-47,,Defensive rebound by G. Antetokounmpo
2:06.0,,,41-47,,Shooting foul by L. James (drawn by G. Antetokounmpo)
2:06.0,,,41-48,1,G. Antetokounmpo makes free throw 1 of 2
2:06.0,,,41-48,,M. Carter-Williams enters the game for T. Ennis
2:06.0,,,41-49,1,G. Antetokounmpo makes free throw 2 of 2
1:53.0,K. Irving makes 2-pt shot at rim,2,43-49,,
1:53.0,Shooting foul by Z. Pachulia (drawn by K. Irving),,43-49,,
1:53.0,K. Irving makes free throw 1 of 1,1,44-49,,
1:38.0,,,44-49,,G. Antetokounmpo misses 2-pt shot at rim
1:32.0,,,44-49,,Offensive rebound by G. Antetokounmpo
1:32.0,,,44-51,2,G. Antetokounmpo makes 2-pt shot from 1 ft
1:15.0,K. Irving misses 2-pt shot from 16 ft,,44-51,,
1:14.0,,,44-51,,Defensive rebound by G. Antetokounmpo
1:10.0,Personal foul by J. Smith (drawn by G. Antetokounmpo),,44-51,,
1:02.0,,,44-53,2,M. Carter-Williams makes 2-pt shot from 8 ft
0:45.0,K. Irving misses 2-pt shot from 7 ft,,44-53,,
0:44.0,Offensive rebound by Team,,44-53,,
0:40.0,T. Thompson misses 2-pt shot from 15 ft,,44-53,,
0:39.0,,,44-53,,Defensive rebound by G. Antetokounmpo
0:24.0,,,44-53,,M. Carter-Williams misses 2-pt shot at rim
0:23.0,Defensive rebound by L. James,,44-53,,
0:00.0,Turnover by L. James (bad pass),,44-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,T. Mozgov makes 2-pt shot at rim (assist by K. Love),2,46-53,,
11:24.0,,,46-55,2,E. Ilyasova makes 2-pt shot at rim (assist by M. Carter-Williams)
11:07.0,K. Love misses 2-pt shot from 3 ft,,46-55,,
11:05.0,,,46-55,,Defensive rebound by Z. Pachulia
10:59.0,,,46-55,,Turnover by G. Antetokounmpo (lost ball; steal by L. James)
10:54.0,K. Irving misses 2-pt shot at rim (block by M. Carter-Williams),,46-55,,
10:52.0,,,46-55,,Defensive rebound by E. Ilyasova
10:46.0,,,46-57,2,Z. Pachulia makes 2-pt shot from 12 ft (assist by K. Middleton)
10:33.0,K. Irving makes 3-pt shot from 25 ft (assist by T. Mozgov),3,49-57,,
10:18.0,,,49-59,2,M. Carter-Williams makes 2-pt shot at rim
10:05.0,L. James makes 2-pt shot from 1 ft,2,51-59,,
9:47.0,,,51-59,,Turnover by M. Carter-Williams (bad pass; steal by L. James)
9:38.0,Shooting foul by K. Middleton (drawn by T. Mozgov),,51-59,,
9:38.0,T. Mozgov makes free throw 1 of 2,1,52-59,,
9:38.0,T. Mozgov makes free throw 2 of 2,1,53-59,,
9:25.0,,,53-61,2,E. Ilyasova makes 2-pt shot at rim (assist by G. Antetokounmpo)
9:05.0,K. Irving makes 2-pt shot at rim (assist by T. Mozgov),2,55-61,,
8:45.0,,,55-61,,M. Carter-Williams misses 3-pt shot from 23 ft
8:44.0,Defensive rebound by L. James,,55-61,,
8:27.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,58-61,,
8:00.0,,,58-63,2,G. Antetokounmpo makes 2-pt shot from 16 ft (assist by Z. Pachulia)
7:42.0,K. Irving makes 2-pt shot from 13 ft,2,60-63,,
7:23.0,,,60-63,,E. Ilyasova misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by Team,,60-63,,
7:10.0,K. Irving misses 2-pt shot at rim,,60-63,,
7:09.0,,,60-63,,Defensive rebound by K. Middleton
6:52.0,,,60-63,,E. Ilyasova misses 2-pt shot at rim (block by L. James)
6:49.0,Defensive rebound by K. Irving,,60-63,,
6:38.0,K. Love misses 3-pt shot from 23 ft,,60-63,,
6:37.0,,,60-63,,Defensive rebound by G. Antetokounmpo
6:26.0,,,60-65,2,K. Middleton makes 2-pt shot from 13 ft (assist by M. Carter-Williams)
6:05.0,Turnover by K. Irving (lost ball; steal by Z. Pachulia),,60-65,,
6:02.0,,,60-65,,Turnover by Z. Pachulia (lost ball; steal by K. Irving)
5:44.0,K. Irving misses 3-pt shot from 23 ft,,60-65,,
5:43.0,,,60-65,,Defensive rebound by Z. Pachulia
5:32.0,,,60-65,,Shooting foul by J. Smith (drawn by K. Middleton)
5:32.0,,,60-65,,Milwaukee full timeout
5:32.0,I. Shumpert enters the game for L. James,,60-65,,
5:32.0,,,60-65,,J. Bayless enters the game for M. Carter-Williams
5:32.0,,,60-65,,C. Johnson enters the game for E. Ilyasova
5:32.0,,,60-66,1,K. Middleton makes free throw 1 of 2
5:32.0,,,60-67,1,K. Middleton makes free throw 2 of 2
5:13.0,I. Shumpert misses 3-pt shot from 24 ft,,60-67,,
5:12.0,,,60-67,,Defensive rebound by G. Antetokounmpo
5:00.0,,,60-67,,G. Antetokounmpo misses 2-pt shot at rim
4:59.0,Defensive rebound by I. Shumpert,,60-67,,
4:53.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,62-67,,
4:29.0,,,62-67,,C. Johnson misses 3-pt shot from 23 ft
4:29.0,,,62-67,,Offensive rebound by Z. Pachulia
4:29.0,Loose ball foul by J. Smith (drawn by Z. Pachulia),,62-67,,
4:13.0,,,62-67,,Turnover by Z. Pachulia (3 sec)
4:02.0,,,62-67,,Violation by K. Middleton (kicked ball)
3:48.0,J. Smith misses 3-pt shot from 24 ft,,62-67,,
3:46.0,Offensive rebound by J. Smith,,62-67,,
3:43.0,J. Smith misses 2-pt shot from 1 ft,,62-67,,
3:42.0,,,62-67,,Defensive rebound by K. Middleton
3:27.0,,,62-69,2,K. Middleton makes 2-pt shot from 15 ft (assist by J. Bayless)
3:07.0,J. Smith makes 3-pt shot from 24 ft (assist by T. Mozgov),3,65-69,,
2:52.0,,,65-71,2,J. Bayless makes 2-pt shot from 15 ft (assist by K. Middleton)
2:33.0,K. Irving makes 2-pt shot from 16 ft,2,67-71,,
2:12.0,,,67-71,,G. Antetokounmpo misses 2-pt shot from 9 ft
2:11.0,Defensive rebound by J. Smith,,67-71,,
2:00.0,K. Love misses 3-pt shot from 23 ft,,67-71,,
1:59.0,,,67-71,,Defensive rebound by Z. Pachulia
1:54.0,,,67-71,,Shooting foul by K. Irving (drawn by G. Antetokounmpo)
1:54.0,Cleveland full timeout,,67-71,,
1:54.0,T. Thompson enters the game for K. Love,,67-71,,
1:54.0,M. Dellavedova enters the game for T. Mozgov,,67-71,,
1:54.0,L. James enters the game for K. Irving,,67-71,,
1:54.0,,,67-71,,J. Henson enters the game for Z. Pachulia
1:54.0,,,67-72,1,G. Antetokounmpo makes free throw 1 of 2
1:54.0,,,67-73,1,G. Antetokounmpo makes free throw 2 of 2
1:40.0,,,67-73,,Personal foul by J. Henson (drawn by T. Thompson)
1:27.0,T. Thompson misses 2-pt shot from 1 ft (block by J. Henson),,67-73,,
1:21.0,Offensive rebound by L. James,,67-73,,
1:19.0,L. James makes 2-pt shot at rim,2,69-73,,
1:10.0,,,69-73,,C. Johnson misses 2-pt shot from 1 ft
1:09.0,Defensive rebound by I. Shumpert,,69-73,,
1:00.0,L. James makes 2-pt shot from 1 ft,2,71-73,,
1:00.0,,,71-73,,Turnover by K. Middleton (lost ball)
0:45.0,L. James misses 2-pt shot at rim (block by G. Antetokounmpo),,71-73,,
0:44.0,Offensive rebound by L. James,,71-73,,
0:44.0,L. James makes 2-pt shot at rim,2,73-73,,
0:30.0,,,73-73,,J. Bayless misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by I. Shumpert,,73-73,,
0:06.0,I. Shumpert makes 2-pt shot at rim (assist by L. James),2,75-73,,
0:00.0,,,75-73,,G. Antetokounmpo misses 2-pt shot at rim
0:00.0,,,75-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,75-73,,Turnover by K. Middleton (bad pass; steal by J. Smith)
11:42.0,J. Smith makes 2-pt shot at rim,2,77-73,,
11:35.0,,,77-73,,Shooting foul by I. Shumpert (drawn by K. Middleton)
11:35.0,,,77-74,1,K. Middleton makes free throw 1 of 2
11:35.0,,,77-74,,K. Middleton misses free throw 2 of 2
11:31.0,Defensive rebound by J. Smith,,77-74,,
11:10.0,T. Thompson misses 2-pt shot at rim (block by J. Henson),,77-74,,
11:08.0,,,77-74,,Defensive rebound by M. Carter-Williams
10:54.0,,,77-76,2,J. Henson makes 2-pt shot from 5 ft
10:36.0,L. James misses 2-pt shot from 7 ft,,77-76,,
10:34.0,Offensive rebound by M. Dellavedova,,77-76,,
10:32.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,79-76,,
10:08.0,,,79-76,,J. Bayless misses 2-pt shot from 1 ft
10:07.0,Defensive rebound by M. Dellavedova,,79-76,,
10:03.0,Shooting foul by J. Henson (drawn by L. James),,79-76,,
10:03.0,L. James makes free throw 1 of 2,1,80-76,,
10:03.0,L. James makes free throw 2 of 2,1,81-76,,
9:50.0,,,81-76,,M. Carter-Williams misses 2-pt shot at rim
9:49.0,Defensive rebound by M. Dellavedova,,81-76,,
9:36.0,,,81-76,,Shooting block foul by E. Ilyasova (drawn by T. Thompson)
9:36.0,T. Thompson misses free throw 1 of 2,,81-76,,
9:36.0,Offensive rebound by Team,,81-76,,
9:36.0,T. Thompson misses free throw 2 of 2,,81-76,,
9:34.0,,,81-76,,Defensive rebound by E. Ilyasova
9:15.0,,,81-76,,J. Bayless misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by L. James,,81-76,,
8:54.0,Turnover by L. James (bad pass; steal by K. Middleton),,81-76,,
8:45.0,,,81-76,,E. Ilyasova misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by L. James,,81-76,,
8:38.0,,,81-76,,Personal foul by M. Carter-Williams (drawn by J. Smith)
8:38.0,Official timeout,,81-76,,
8:38.0,,,81-76,,G. Antetokounmpo enters the game for K. Middleton
8:29.0,M. Dellavedova misses 3-pt shot from 27 ft,,81-76,,
8:28.0,,,81-76,,Defensive rebound by E. Ilyasova
8:11.0,,,81-76,,M. Carter-Williams misses 2-pt shot from 7 ft
8:10.0,Defensive rebound by I. Shumpert,,81-76,,
8:03.0,L. James makes 3-pt shot from 27 ft,3,84-76,,
7:48.0,,,84-76,,Turnover by M. Carter-Williams (bad pass; steal by T. Thompson)
7:40.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,87-76,,
7:19.0,,,87-78,2,J. Henson makes 2-pt shot from 7 ft (assist by G. Antetokounmpo)
7:02.0,J. Smith makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,90-78,,
6:35.0,,,90-78,,Turnover by J. Henson (bad pass; steal by I. Shumpert)
6:19.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,93-78,,
6:19.0,,,93-78,,Milwaukee full timeout
6:19.0,,,93-78,,K. Middleton enters the game for J. Bayless
6:19.0,,,93-78,,Z. Pachulia enters the game for J. Henson
6:01.0,,,93-81,3,M. Carter-Williams makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
5:38.0,L. James misses 3-pt shot from 25 ft,,93-81,,
5:37.0,,,93-81,,Defensive rebound by Team
5:28.0,,,93-81,,Turnover by K. Middleton (bad pass; steal by L. James)
5:26.0,,,93-81,,Personal take foul by M. Carter-Williams (drawn by L. James)
5:03.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by L. James),3,96-81,,
4:43.0,,,96-83,2,M. Carter-Williams makes 2-pt shot from 11 ft
4:26.0,,,96-83,,Personal foul by Z. Pachulia (drawn by T. Thompson)
4:26.0,T. Thompson misses free throw 1 of 2,,96-83,,
4:26.0,Offensive rebound by Team,,96-83,,
4:26.0,T. Thompson makes free throw 2 of 2,1,97-83,,
4:04.0,,,97-85,2,M. Carter-Williams makes 2-pt shot from 11 ft
3:41.0,Shooting foul by G. Antetokounmpo (drawn by L. James),,97-85,,
3:41.0,L. James makes free throw 1 of 2,1,98-85,,
3:41.0,L. James makes free throw 2 of 2,1,99-85,,
3:28.0,,,99-85,,Turnover by M. Carter-Williams (lost ball; steal by J. Smith)
3:23.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,101-85,,
3:01.0,Shooting block foul by T. Thompson (drawn by E. Ilyasova),,101-85,,
3:01.0,,,101-86,1,E. Ilyasova makes free throw 1 of 2
3:01.0,,,101-86,,J. Bayless enters the game for K. Middleton
3:01.0,,,101-86,,E. Ilyasova misses free throw 2 of 2
3:00.0,Defensive rebound by L. James,,101-86,,
2:46.0,Turnover by L. James (lost ball; steal by M. Carter-Williams),,101-86,,
2:43.0,Personal foul by M. Dellavedova (drawn by M. Carter-Williams),,101-86,,
2:43.0,Cleveland full timeout,,101-86,,
2:43.0,,,101-86,,C. Johnson enters the game for G. Antetokounmpo
2:43.0,,,101-86,,M. Plumlee enters the game for E. Ilyasova
2:43.0,,,101-86,,T. Ennis enters the game for Z. Pachulia
2:43.0,,,101-86,,J. O'Bryant enters the game for M. Carter-Williams
2:36.0,,,101-88,2,T. Ennis makes 2-pt shot from 17 ft
2:21.0,L. James makes 2-pt shot from 15 ft,2,103-88,,
2:01.0,,,103-88,,C. Johnson misses 3-pt shot from 24 ft
2:00.0,,,103-88,,Offensive rebound by M. Plumlee
1:59.0,,,103-90,2,M. Plumlee makes 2-pt shot at rim
1:59.0,Cleveland full timeout,,103-90,,
1:59.0,K. Perkins enters the game for L. James,,103-90,,
1:59.0,M. Miller enters the game for J. Smith,,103-90,,
1:59.0,J. Jones enters the game for T. Thompson,,103-90,,
1:37.0,M. Miller misses 3-pt shot from 26 ft,,103-90,,
1:36.0,,,103-90,,Defensive rebound by T. Ennis
1:18.0,,,103-90,,M. Plumlee misses 2-pt shot from 6 ft
1:17.0,Defensive rebound by M. Dellavedova,,103-90,,
0:55.0,M. Dellavedova makes 2-pt shot from 5 ft,2,105-90,,
0:30.0,,,105-90,,C. Johnson misses 2-pt shot from 20 ft
0:29.0,Defensive rebound by M. Miller,,105-90,,
0:05.0,I. Shumpert makes 3-pt shot from 25 ft (assist by J. Jones),3,108-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
