time,Detroit,pts.away,score,pts.home,Indiana
7:07.0,,,9-16,2,D. West makes 2-pt shot from 2 ft (assist by G. Hill)
6:40.0,G. Monroe makes 2-pt shot at rim (assist by J. Meeks),2,11-16,,
6:19.0,,,11-16,,C. Miles misses 3-pt shot from 26 ft
6:18.0,Defensive rebound by A. Drummond,,11-16,,
6:13.0,J. Meeks makes 3-pt shot from 27 ft (assist by D. Augustin),3,14-16,,
5:53.0,,,14-18,2,R. Hibbert makes 2-pt shot from 5 ft (assist by G. Hill)
5:34.0,D. Augustin misses 2-pt shot from 10 ft,,14-18,,
5:33.0,,,14-18,,Defensive rebound by D. West
5:28.0,,,14-18,,G. Hill misses 2-pt shot from 1 ft
5:27.0,Defensive rebound by A. Drummond,,14-18,,
5:21.0,J. Meeks makes 3-pt shot from 26 ft (assist by D. Augustin),3,17-18,,
5:03.0,,,17-18,,S. Hill enters the game for C. Miles
5:03.0,,,17-18,,C. Watson enters the game for G. Hill
4:55.0,,,17-18,,D. West misses 2-pt shot from 3 ft
4:53.0,,,17-18,,Offensive rebound by R. Hibbert
4:52.0,,,17-18,,C. Watson misses 3-pt shot from 24 ft
4:52.0,,,17-18,,Offensive rebound by Team
4:52.0,,,17-18,,Turnover by Team (shot clock)
4:42.0,Turnover by G. Monroe (bad pass; steal by D. West),,17-18,,
4:28.0,,,17-21,3,C. Watson makes 3-pt shot from 25 ft (assist by D. West)
4:13.0,D. Augustin misses 2-pt shot from 4 ft,,17-21,,
4:10.0,Offensive rebound by G. Monroe,,17-21,,
4:10.0,Detroit full timeout,,17-21,,
4:10.0,,,17-21,,I. Mahinmi enters the game for R. Hibbert
4:10.0,C. Butler enters the game for K. Singler,,17-21,,
3:56.0,A. Drummond misses 2-pt shot from 7 ft,,17-21,,
3:55.0,,,17-21,,Defensive rebound by I. Mahinmi
3:45.0,,,17-21,,I. Mahinmi misses 2-pt shot from 3 ft
3:44.0,Defensive rebound by A. Drummond,,17-21,,
3:24.0,C. Butler makes 3-pt shot from 26 ft (assist by J. Meeks),3,20-21,,
2:57.0,,,20-23,2,D. West makes 2-pt shot from 20 ft (assist by R. Stuckey)
2:39.0,D. Augustin misses 2-pt shot from 9 ft,,20-23,,
2:38.0,Offensive rebound by A. Drummond,,20-23,,
2:38.0,A. Drummond makes 2-pt shot from 1 ft,2,22-23,,
2:28.0,Personal foul by G. Monroe (drawn by D. West),,22-23,,
2:28.0,J. Lucas III enters the game for D. Augustin,,22-23,,
2:28.0,A. Tolliver enters the game for G. Monroe,,22-23,,
2:17.0,,,22-23,,Shooting foul by A. Drummond (drawn by I. Mahinmi)
2:17.0,,,22-23,,I. Mahinmi misses free throw 1 of 2
2:17.0,,,22-23,,Offensive rebound by Team
2:17.0,,,22-24,1,I. Mahinmi makes free throw 2 of 2
1:53.0,A. Tolliver makes 2-pt shot from 6 ft (assist by J. Lucas III),2,24-24,,
1:34.0,,,24-27,3,C. Watson makes 3-pt shot from 25 ft (assist by R. Stuckey)
1:23.0,J. Meeks makes 2-pt shot from 1 ft (assist by C. Butler),2,26-27,,
1:12.0,,,26-27,,R. Stuckey misses 2-pt shot from 18 ft
1:10.0,Defensive rebound by A. Drummond,,26-27,,
1:00.0,C. Butler misses 2-pt shot from 19 ft,,26-27,,
1:00.0,,,26-27,,Defensive rebound by Team
1:00.0,Loose ball foul by A. Drummond (drawn by I. Mahinmi),,26-27,,
1:00.0,J. Anthony enters the game for A. Drummond,,26-27,,
1:00.0,,,26-27,,D. Rudez enters the game for D. West
1:00.0,,,26-27,,L. Scola enters the game for R. Stuckey
0:46.0,,,26-27,,S. Hill misses 2-pt shot from 2 ft
0:44.0,Defensive rebound by J. Anthony,,26-27,,
0:27.0,J. Meeks misses 3-pt shot from 25 ft,,26-27,,
0:26.0,,,26-27,,Defensive rebound by C. Watson
0:20.0,,,26-29,2,L. Scola makes 2-pt shot from 1 ft (assist by C. Watson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,J. Lucas III misses 2-pt shot from 19 ft,,26-29,,
11:48.0,,,26-29,,Defensive rebound by I. Mahinmi
11:45.0,,,26-29,,Indiana full timeout
11:45.0,,,26-29,,S. Whittington enters the game for I. Mahinmi
11:27.0,,,26-32,3,C. Watson makes 3-pt shot from 22 ft (assist by S. Hill)
11:11.0,C. Butler misses 2-pt shot from 16 ft,,26-32,,
11:10.0,,,26-32,,Defensive rebound by S. Hill
11:01.0,,,26-32,,D. Rudez misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by J. Anthony,,26-32,,
10:48.0,J. Meeks misses 3-pt shot from 26 ft,,26-32,,
10:47.0,,,26-32,,Defensive rebound by S. Whittington
10:37.0,,,26-34,2,S. Whittington makes 2-pt shot from 17 ft (assist by L. Scola)
10:17.0,J. Meeks makes 2-pt shot from 7 ft,2,28-34,,
10:17.0,,,28-34,,Shooting block foul by S. Hill (drawn by J. Meeks)
10:17.0,J. Meeks makes free throw 1 of 1,1,29-34,,
10:03.0,,,29-34,,S. Whittington misses 2-pt shot from 17 ft
10:02.0,Defensive rebound by J. Anthony,,29-34,,
9:43.0,J. Anthony makes 2-pt shot from 11 ft,2,31-34,,
9:25.0,,,31-34,,C. Watson misses 3-pt shot from 27 ft
9:24.0,Defensive rebound by J. Meeks,,31-34,,
9:13.0,J. Meeks misses 3-pt shot from 23 ft,,31-34,,
9:12.0,,,31-34,,Defensive rebound by S. Hill
9:06.0,,,31-37,3,D. Rudez makes 3-pt shot from 24 ft (assist by S. Hill)
8:59.0,Detroit full timeout,,31-37,,
8:51.0,J. Anthony makes 2-pt shot at rim (assist by J. Lucas III),2,33-37,,
8:37.0,,,33-39,2,L. Scola makes 2-pt shot at rim (assist by S. Hill)
8:20.0,J. Lucas III makes 3-pt shot from 26 ft (assist by J. Meeks),3,36-39,,
8:05.0,,,36-39,,Turnover by D. Rudez (bad pass; steal by J. Anthony)
7:52.0,Shooting foul by S. Whittington (drawn by C. Butler),,36-39,,
7:52.0,C. Butler misses free throw 1 of 2,,36-39,,
7:52.0,Offensive rebound by Team,,36-39,,
7:52.0,,,36-39,,R. Hibbert enters the game for S. Whittington
7:52.0,G. Monroe enters the game for J. Anthony,,36-39,,
7:52.0,K. Singler enters the game for J. Meeks,,36-39,,
7:52.0,C. Butler makes free throw 2 of 2,1,37-39,,
7:38.0,,,37-41,2,R. Hibbert makes 2-pt shot from 7 ft (assist by D. Rudez)
7:28.0,,,37-41,,Personal foul by S. Hill (drawn by C. Butler)
7:21.0,Turnover by K. Singler (traveling),,37-41,,
7:03.0,,,37-43,2,S. Hill makes 2-pt shot from 2 ft
6:48.0,,,37-43,,Personal foul by L. Scola (drawn by A. Tolliver)
6:48.0,D. Augustin enters the game for J. Lucas III,,37-43,,
6:35.0,G. Monroe misses 2-pt shot from 4 ft,,37-43,,
6:34.0,,,37-43,,Defensive rebound by C. Watson
6:12.0,,,37-45,2,L. Scola makes 2-pt shot from 8 ft
5:58.0,K. Singler makes 3-pt shot from 24 ft (assist by D. Augustin),3,40-45,,
5:40.0,,,40-45,,C. Watson misses 2-pt shot from 3 ft
5:39.0,Defensive rebound by G. Monroe,,40-45,,
5:31.0,A. Tolliver makes 2-pt shot from 8 ft,2,42-45,,
5:13.0,,,42-45,,L. Scola misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by D. Augustin,,42-45,,
5:07.0,K. Singler misses 3-pt shot from 24 ft,,42-45,,
5:05.0,,,42-45,,Defensive rebound by S. Hill
4:53.0,,,42-45,,L. Scola misses 2-pt shot from 18 ft
4:51.0,,,42-45,,Offensive rebound by R. Hibbert
4:48.0,,,42-45,,Indiana full timeout
4:48.0,,,42-45,,G. Hill enters the game for C. Watson
4:48.0,,,42-45,,C. Miles enters the game for S. Hill
4:48.0,A. Drummond enters the game for C. Butler,,42-45,,
4:48.0,C. Martin enters the game for A. Tolliver,,42-45,,
4:42.0,,,42-45,,G. Hill misses 3-pt shot from 26 ft
4:41.0,Defensive rebound by A. Drummond,,42-45,,
4:24.0,,,42-45,,Personal foul by L. Scola (drawn by G. Monroe)
4:24.0,G. Monroe makes free throw 1 of 2,1,43-45,,
4:24.0,,,43-45,,D. West enters the game for L. Scola
4:24.0,G. Monroe misses free throw 2 of 2,,43-45,,
4:24.0,,,43-45,,Defensive rebound by R. Hibbert
4:06.0,,,43-47,2,R. Hibbert makes 2-pt shot from 4 ft
3:54.0,D. Augustin misses 2-pt shot from 3 ft (block by G. Hill),,43-47,,
3:54.0,Offensive rebound by Team,,43-47,,
3:48.0,A. Drummond makes 2-pt shot at rim (assist by D. Augustin),2,45-47,,
3:33.0,,,45-47,,Shooting foul by C. Martin (drawn by C. Miles)
3:33.0,,,45-47,,C. Miles misses free throw 1 of 2
3:33.0,,,45-47,,Offensive rebound by Team
3:33.0,,,45-48,1,C. Miles makes free throw 2 of 2
3:11.0,D. Augustin makes 2-pt shot from 7 ft,2,47-48,,
2:47.0,,,47-48,,D. Rudez misses 3-pt shot from 22 ft
2:46.0,Defensive rebound by A. Drummond,,47-48,,
2:35.0,G. Monroe misses 2-pt shot from 18 ft,,47-48,,
2:34.0,,,47-48,,Defensive rebound by D. West
2:27.0,,,47-48,,Turnover by C. Miles (bad pass; steal by G. Monroe)
2:11.0,D. Augustin misses 2-pt shot from 21 ft,,47-48,,
2:10.0,,,47-48,,Defensive rebound by R. Hibbert
1:53.0,,,47-48,,R. Hibbert misses 2-pt shot from 4 ft
1:51.0,Defensive rebound by A. Drummond,,47-48,,
1:47.0,D. Augustin misses 2-pt shot from 2 ft,,47-48,,
1:45.0,Offensive rebound by G. Monroe,,47-48,,
1:44.0,G. Monroe misses 2-pt shot at rim,,47-48,,
1:44.0,Offensive rebound by A. Drummond,,47-48,,
1:44.0,A. Drummond misses 2-pt shot at rim,,47-48,,
1:43.0,,,47-48,,Defensive rebound by C. Miles
1:37.0,,,47-48,,D. Rudez misses 2-pt shot from 6 ft (block by C. Martin)
1:36.0,,,47-48,,Offensive rebound by D. Rudez
1:32.0,,,47-48,,C. Miles misses 3-pt shot from 23 ft
1:30.0,Defensive rebound by A. Drummond,,47-48,,
1:10.0,G. Monroe makes 2-pt shot at rim,2,49-48,,
0:47.0,,,49-48,,G. Hill misses 2-pt shot from 5 ft
0:46.0,Defensive rebound by K. Singler,,49-48,,
0:30.0,Official timeout,,49-48,,
0:30.0,J. Anthony enters the game for A. Drummond,,49-48,,
0:30.0,,,49-48,,R. Stuckey enters the game for D. Rudez
0:23.0,C. Martin misses 2-pt shot from 8 ft,,49-48,,
0:21.0,,,49-48,,Defensive rebound by Team
0:02.0,,,49-48,,G. Hill misses 2-pt shot from 7 ft
0:01.0,Defensive rebound by J. Anthony,,49-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Drummond makes 2-pt shot from 6 ft,2,51-48,,
11:30.0,,,51-48,,Shooting foul by D. Augustin (drawn by G. Hill)
11:30.0,,,51-48,,G. Hill misses free throw 1 of 2
11:30.0,,,51-48,,Offensive rebound by Team
11:30.0,,,51-49,1,G. Hill makes free throw 2 of 2
11:22.0,,,51-49,,Personal foul by D. West (drawn by G. Monroe)
11:11.0,G. Monroe misses 2-pt shot from 6 ft,,51-49,,
11:09.0,,,51-49,,Defensive rebound by G. Hill
11:04.0,,,51-49,,Turnover by G. Hill (lost ball; steal by G. Monroe)
10:59.0,A. Drummond makes 2-pt shot at rim (assist by D. Augustin),2,53-49,,
10:40.0,,,53-51,2,D. West makes 2-pt shot from 1 ft (assist by G. Hill)
10:23.0,K. Singler misses 2-pt shot from 3 ft,,53-51,,
10:22.0,,,53-51,,Defensive rebound by C. Miles
10:17.0,,,53-53,2,R. Stuckey makes 2-pt shot from 1 ft (assist by C. Miles)
9:52.0,J. Meeks misses 3-pt shot from 25 ft,,53-53,,
9:50.0,Offensive rebound by G. Monroe,,53-53,,
9:48.0,Shooting foul by R. Hibbert (drawn by G. Monroe),,53-53,,
9:48.0,G. Monroe makes free throw 1 of 2,1,54-53,,
9:48.0,G. Monroe misses free throw 2 of 2,,54-53,,
9:48.0,,,54-53,,Defensive rebound by R. Hibbert
9:33.0,,,54-53,,C. Miles misses 2-pt shot at rim
9:32.0,Defensive rebound by D. Augustin,,54-53,,
9:24.0,G. Monroe misses 2-pt shot from 1 ft (block by R. Hibbert),,54-53,,
9:22.0,Offensive rebound by A. Drummond,,54-53,,
9:22.0,A. Drummond makes 2-pt shot from 1 ft,2,56-53,,
9:00.0,,,56-56,3,C. Miles makes 3-pt shot from 26 ft (assist by R. Stuckey)
8:46.0,K. Singler misses 3-pt shot from 23 ft,,56-56,,
8:45.0,,,56-56,,Defensive rebound by G. Hill
8:40.0,,,56-58,2,G. Hill makes 2-pt shot at rim
8:23.0,A. Drummond makes 2-pt shot from 9 ft,2,58-58,,
8:04.0,,,58-60,2,R. Hibbert makes 2-pt shot from 17 ft (assist by G. Hill)
7:48.0,Offensive charge foul by G. Monroe,,58-60,,
7:48.0,Turnover by G. Monroe (offensive foul),,58-60,,
7:32.0,,,58-60,,R. Hibbert misses 2-pt shot from 10 ft
7:30.0,,,58-60,,Offensive rebound by D. West
7:30.0,,,58-62,2,D. West makes 2-pt shot at rim
7:24.0,Detroit full timeout,,58-62,,
7:15.0,Turnover by J. Meeks (lost ball),,58-62,,
6:52.0,,,58-64,2,R. Hibbert makes 2-pt shot from 7 ft (assist by G. Hill)
6:28.0,D. Augustin misses 2-pt shot from 10 ft,,58-64,,
6:27.0,,,58-64,,Defensive rebound by D. West
6:12.0,,,58-66,2,D. West makes 2-pt shot from 16 ft (assist by R. Hibbert)
5:56.0,G. Monroe misses 2-pt shot from 3 ft (block by R. Hibbert),,58-66,,
5:54.0,,,58-66,,Defensive rebound by D. West
5:45.0,,,58-68,2,D. West makes 2-pt shot from 16 ft (assist by G. Hill)
5:28.0,K. Singler misses 2-pt shot from 18 ft,,58-68,,
5:26.0,,,58-68,,Defensive rebound by D. West
5:14.0,,,58-70,2,G. Hill makes 2-pt shot from 7 ft
5:10.0,Detroit full timeout,,58-70,,
5:10.0,A. Tolliver enters the game for G. Monroe,,58-70,,
5:10.0,,,58-70,,C. Watson enters the game for G. Hill
4:50.0,D. Augustin makes 2-pt shot from 8 ft,2,60-70,,
4:33.0,,,60-70,,Offensive foul by D. West
4:33.0,,,60-70,,Turnover by D. West (offensive foul)
4:24.0,,,60-70,,Violation by C. Watson (kicked ball)
4:18.0,J. Meeks makes 2-pt shot from 18 ft (assist by D. Augustin),2,62-70,,
4:03.0,Personal foul by A. Tolliver (drawn by D. West),,62-70,,
3:55.0,,,62-70,,Turnover by R. Hibbert (lost ball; steal by A. Tolliver)
3:50.0,Turnover by D. Augustin (bad pass; steal by C. Miles),,62-70,,
3:46.0,Violation by K. Singler (def goaltending),,62-70,,
3:46.0,,,62-72,2,R. Stuckey makes 2-pt shot from 1 ft (assist by C. Watson)
3:29.0,A. Drummond makes 2-pt shot from 6 ft,2,64-72,,
3:13.0,,,64-72,,D. West misses 2-pt shot from 15 ft
3:12.0,,,64-72,,Offensive rebound by R. Hibbert
3:09.0,,,64-74,2,R. Hibbert makes 2-pt shot from 6 ft
2:58.0,J. Lucas III enters the game for D. Augustin,,64-74,,
2:58.0,,,64-74,,S. Hill enters the game for C. Miles
2:50.0,K. Singler makes 2-pt shot from 3 ft (assist by J. Lucas III),2,66-74,,
2:49.0,,,66-74,,Indiana full timeout
2:49.0,C. Butler enters the game for K. Singler,,66-74,,
2:36.0,,,66-74,,Turnover by D. West (lost ball; steal by J. Meeks)
2:31.0,J. Lucas III makes 3-pt shot from 26 ft (assist by J. Meeks),3,69-74,,
2:08.0,,,69-74,,S. Hill misses 3-pt shot from 23 ft
2:07.0,Defensive rebound by A. Drummond,,69-74,,
1:59.0,,,69-74,,S. Whittington enters the game for R. Hibbert
1:59.0,,,69-74,,D. Rudez enters the game for R. Stuckey
1:52.0,J. Meeks misses 2-pt shot from 20 ft,,69-74,,
1:50.0,,,69-74,,Defensive rebound by C. Watson
1:43.0,,,69-74,,Turnover by S. Whittington (3 sec)
1:32.0,A. Tolliver makes 3-pt shot from 25 ft (assist by J. Lucas III),3,72-74,,
1:18.0,,,72-74,,L. Scola enters the game for D. West
1:10.0,,,72-74,,Shooting foul by A. Tolliver (drawn by S. Whittington)
1:10.0,,,72-75,1,S. Whittington makes free throw 1 of 2
1:10.0,C. Martin enters the game for J. Meeks,,72-75,,
1:10.0,,,72-76,1,S. Whittington makes free throw 2 of 2
0:58.0,A. Tolliver makes 2-pt shot from 1 ft,2,74-76,,
0:48.0,,,74-78,2,L. Scola makes 2-pt shot from 16 ft (assist by C. Watson)
0:36.0,C. Butler misses 3-pt shot from 22 ft,,74-78,,
0:35.0,,,74-78,,Defensive rebound by S. Hill
0:28.0,,,74-78,,Shooting foul by C. Butler (drawn by L. Scola)
0:28.0,,,74-79,1,L. Scola makes free throw 1 of 2
0:28.0,,,74-79,,L. Scola misses free throw 2 of 2
0:28.0,Defensive rebound by A. Tolliver,,74-79,,
0:06.0,,,74-79,,Shooting block foul by S. Whittington (drawn by A. Tolliver)
0:06.0,A. Tolliver makes free throw 1 of 2,1,75-79,,
0:06.0,,,75-79,,R. Stuckey enters the game for L. Scola
0:06.0,K. Singler enters the game for A. Drummond,,75-79,,
0:06.0,A. Tolliver makes free throw 2 of 2,1,76-79,,
0:00.0,,,76-81,2,S. Whittington makes 2-pt shot from 18 ft (assist by R. Stuckey)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,76-81,,S. Hill misses 3-pt shot from 23 ft
11:43.0,Defensive rebound by A. Tolliver,,76-81,,
11:21.0,G. Monroe makes 2-pt shot from 1 ft (assist by C. Butler),2,78-81,,
11:04.0,Personal foul by C. Martin (drawn by S. Hill),,78-81,,
10:55.0,,,78-81,,L. Scola misses 2-pt shot from 15 ft
10:54.0,Defensive rebound by G. Monroe,,78-81,,
10:44.0,C. Butler makes 3-pt shot from 23 ft (assist by A. Tolliver),3,81-81,,
10:27.0,,,81-81,,Turnover by L. Scola (offensive goaltending)
10:27.0,,,81-81,,R. Hibbert enters the game for S. Whittington
10:16.0,Shooting foul by L. Scola (drawn by A. Tolliver),,81-81,,
10:16.0,A. Tolliver misses free throw 1 of 2,,81-81,,
10:16.0,Offensive rebound by Team,,81-81,,
10:16.0,A. Tolliver makes free throw 2 of 2,1,82-81,,
10:02.0,,,82-83,2,R. Hibbert makes 2-pt shot from 13 ft
9:47.0,J. Lucas III makes 2-pt shot from 9 ft,2,84-83,,
9:27.0,,,84-86,3,S. Hill makes 3-pt shot from 23 ft (assist by L. Scola)
9:12.0,A. Tolliver misses 3-pt shot from 25 ft,,84-86,,
9:11.0,,,84-86,,Defensive rebound by R. Hibbert
9:05.0,,,84-89,3,C. Watson makes 3-pt shot from 25 ft
8:49.0,Offensive foul by A. Tolliver,,84-89,,
8:49.0,Turnover by A. Tolliver (offensive foul),,84-89,,
8:49.0,Official timeout,,84-89,,
8:39.0,,,84-92,3,D. Rudez makes 3-pt shot from 25 ft (assist by L. Scola)
8:24.0,J. Lucas III misses 3-pt shot from 25 ft,,84-92,,
8:21.0,Offensive rebound by G. Monroe,,84-92,,
8:14.0,G. Monroe makes 2-pt shot from 7 ft,2,86-92,,
7:55.0,,,86-92,,D. Rudez misses 2-pt shot from 3 ft
7:54.0,,,86-92,,Offensive rebound by R. Hibbert
7:54.0,,,86-94,2,R. Hibbert makes 2-pt shot at rim
7:45.0,C. Butler makes 2-pt shot from 18 ft (assist by J. Lucas III),2,88-94,,
7:30.0,,,88-96,2,C. Watson makes 2-pt shot from 17 ft
7:18.0,J. Lucas III makes 2-pt shot from 18 ft,2,90-96,,
7:02.0,,,90-96,,Turnover by L. Scola (bad pass; steal by G. Monroe)
6:56.0,C. Butler makes 3-pt shot from 27 ft (assist by J. Lucas III),3,93-96,,
6:56.0,Shooting foul by D. Rudez (drawn by C. Butler),,93-96,,
6:56.0,D. Augustin enters the game for J. Lucas III,,93-96,,
6:56.0,J. Meeks enters the game for C. Martin,,93-96,,
6:56.0,,,93-96,,G. Hill enters the game for C. Watson
6:56.0,C. Butler makes free throw 1 of 1,1,94-96,,
6:31.0,,,94-96,,R. Hibbert misses 2-pt shot from 14 ft
6:31.0,,,94-96,,Offensive rebound by Team
6:31.0,,,94-96,,Turnover by Team (shot clock)
6:17.0,D. Augustin misses 3-pt shot from 24 ft,,94-96,,
6:16.0,,,94-96,,Defensive rebound by R. Hibbert
5:53.0,,,94-96,,L. Scola misses 2-pt shot from 6 ft (block by A. Tolliver)
5:53.0,Defensive rebound by Team,,94-96,,
5:53.0,,,94-96,,Indiana full timeout
5:53.0,A. Drummond enters the game for A. Tolliver,,94-96,,
5:53.0,,,94-96,,C. Miles enters the game for S. Hill
5:37.0,Shooting foul by G. Hill (drawn by D. Augustin),,94-96,,
5:37.0,D. Augustin makes free throw 1 of 2,1,95-96,,
5:37.0,D. Augustin makes free throw 2 of 2,1,96-96,,
5:18.0,,,96-96,,Turnover by R. Hibbert (lost ball; steal by A. Drummond)
5:03.0,Turnover by D. Augustin (bad pass; steal by C. Miles),,96-96,,
5:03.0,Personal foul by C. Butler (drawn by C. Miles),,96-96,,
5:03.0,,,96-96,,D. West enters the game for L. Scola
4:51.0,,,96-99,3,C. Miles makes 3-pt shot from 23 ft (assist by D. West)
4:36.0,G. Monroe makes 2-pt shot from 4 ft,2,98-99,,
4:11.0,,,98-102,3,C. Miles makes 3-pt shot from 26 ft
3:47.0,D. Augustin misses 2-pt shot from 2 ft,,98-102,,
3:45.0,Offensive rebound by A. Drummond,,98-102,,
3:45.0,A. Drummond misses 2-pt shot at rim,,98-102,,
3:44.0,Offensive rebound by G. Monroe,,98-102,,
3:44.0,G. Monroe makes 2-pt shot at rim,2,100-102,,
3:28.0,Personal foul by D. Augustin (drawn by G. Hill),,100-102,,
3:19.0,,,100-104,2,G. Hill makes 2-pt shot from 1 ft
3:02.0,Turnover by C. Butler (lost ball; steal by D. West),,100-104,,
2:58.0,,,100-106,2,D. West makes 2-pt shot at rim (assist by R. Hibbert)
2:36.0,J. Meeks misses 2-pt shot from 9 ft,,100-106,,
2:35.0,Offensive rebound by Team,,100-106,,
2:35.0,Detroit full timeout,,100-106,,
2:35.0,K. Singler enters the game for C. Butler,,100-106,,
2:21.0,K. Singler makes 3-pt shot from 26 ft (assist by A. Drummond),3,103-106,,
1:54.0,,,103-108,2,G. Hill makes 2-pt shot from 10 ft
1:39.0,D. Augustin misses 3-pt shot from 26 ft,,103-108,,
1:37.0,,,103-108,,Defensive rebound by R. Hibbert
1:22.0,,,103-108,,D. West misses 2-pt shot from 15 ft
1:21.0,Defensive rebound by G. Monroe,,103-108,,
1:06.0,G. Monroe misses 2-pt shot from 3 ft,,103-108,,
1:06.0,Offensive rebound by A. Drummond,,103-108,,
1:06.0,A. Drummond makes 2-pt shot at rim,2,105-108,,
0:51.0,,,105-110,2,G. Hill makes 2-pt shot from 4 ft (assist by D. West)
0:37.0,A. Drummond misses 2-pt shot at rim (block by R. Hibbert),,105-110,,
0:36.0,Offensive rebound by Team,,105-110,,
0:36.0,Detroit full timeout,,105-110,,
0:36.0,A. Tolliver enters the game for G. Monroe,,105-110,,
0:32.0,,,105-110,,Personal foul by D. West (drawn by A. Tolliver)
0:22.0,K. Singler misses 2-pt shot from 14 ft,,105-110,,
0:21.0,Offensive rebound by A. Drummond,,105-110,,
0:21.0,A. Drummond makes 2-pt shot at rim,2,107-110,,
0:20.0,Personal take foul by A. Tolliver (drawn by G. Hill),,107-110,,
0:20.0,Personal take foul by D. Augustin (drawn by G. Hill),,107-110,,
0:20.0,,,107-110,,G. Hill misses free throw 1 of 2
0:20.0,,,107-110,,Offensive rebound by Team
0:20.0,G. Monroe enters the game for A. Tolliver,,107-110,,
0:20.0,,,107-111,1,G. Hill makes free throw 2 of 2
0:14.0,Turnover by D. Augustin (bad pass; steal by C. Miles),,107-111,,
0:14.0,Personal block foul by J. Meeks (drawn by C. Miles),,107-111,,
0:14.0,,,107-112,1,C. Miles makes free throw 1 of 2
0:14.0,,,107-113,1,C. Miles makes free throw 2 of 2
0:14.0,Detroit full timeout,,107-113,,
0:11.0,J. Meeks misses 3-pt shot from 25 ft,,107-113,,
0:10.0,,,107-113,,Defensive rebound by G. Hill
0:08.0,Personal take foul by A. Drummond (drawn by G. Hill),,107-113,,
0:08.0,,,107-114,1,G. Hill makes free throw 1 of 2
0:08.0,,,107-114,,G. Hill misses free throw 2 of 2
0:08.0,Defensive rebound by G. Monroe,,107-114,,
0:00.0,G. Monroe makes 2-pt shot from 3 ft (assist by J. Meeks),2,109-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
