time,Charlotte,pts.away,score,pts.home,Toronto
7:11.0,,,14-6,,P. Patterson enters the game for A. Johnson
6:55.0,,,14-8,2,T. Ross makes 2-pt shot from 4 ft
6:33.0,M. Williams misses 2-pt shot from 20 ft,,14-8,,
6:33.0,Offensive rebound by B. Biyombo,,14-8,,
6:27.0,K. Walker misses 2-pt shot from 1 ft (block by T. Ross),,14-8,,
6:25.0,Offensive rebound by K. Walker,,14-8,,
6:22.0,K. Walker makes 2-pt shot from 1 ft,2,16-8,,
6:11.0,,,16-8,,J. Valanciunas misses 2-pt shot from 5 ft
6:10.0,Defensive rebound by G. Henderson,,16-8,,
6:03.0,G. Henderson makes 2-pt shot from 3 ft,2,18-8,,
5:45.0,,,18-8,,K. Lowry misses 2-pt shot from 8 ft
5:44.0,Defensive rebound by K. Walker,,18-8,,
5:29.0,K. Walker misses 2-pt shot from 9 ft,,18-8,,
5:29.0,Offensive rebound by Team,,18-8,,
5:29.0,,,18-8,,Loose ball foul by G. Vasquez (drawn by B. Biyombo)
5:29.0,G. Neal enters the game for M. Kidd-Gilchrist,,18-8,,
5:29.0,,,18-8,,T. Hansbrough enters the game for J. Valanciunas
5:10.0,B. Biyombo misses 2-pt shot from 16 ft,,18-8,,
5:09.0,,,18-8,,Defensive rebound by T. Hansbrough
4:59.0,,,18-11,3,G. Vasquez makes 3-pt shot from 26 ft (assist by K. Lowry)
4:44.0,K. Walker misses 2-pt shot from 4 ft,,18-11,,
4:43.0,,,18-11,,Defensive rebound by T. Ross
4:30.0,,,18-14,3,K. Lowry makes 3-pt shot from 26 ft (assist by T. Ross)
4:17.0,B. Biyombo makes 2-pt shot from 3 ft (assist by K. Walker),2,20-14,,
4:17.0,Shooting foul by T. Ross (drawn by B. Biyombo),,20-14,,
4:17.0,,,20-14,,L. Williams enters the game for T. Ross
4:17.0,B. Biyombo makes free throw 1 of 1,1,21-14,,
4:01.0,,,21-16,2,T. Hansbrough makes 2-pt shot from 6 ft (assist by K. Lowry)
3:49.0,K. Walker misses 2-pt shot from 16 ft,,21-16,,
3:49.0,,,21-16,,Defensive rebound by Team
3:49.0,Loose ball foul by B. Biyombo (drawn by T. Hansbrough),,21-16,,
3:49.0,J. Maxiell enters the game for B. Biyombo,,21-16,,
3:41.0,,,21-16,,Offensive foul by T. Hansbrough
3:41.0,,,21-16,,Turnover by T. Hansbrough (offensive foul)
3:20.0,M. Williams misses 3-pt shot from 25 ft,,21-16,,
3:19.0,,,21-16,,Defensive rebound by K. Lowry
3:14.0,,,21-18,2,L. Williams makes 2-pt shot from 11 ft (assist by K. Lowry)
3:14.0,,,21-18,,Shooting foul by G. Henderson (drawn by L. Williams)
3:14.0,,,21-19,1,L. Williams makes free throw 1 of 1
3:01.0,J. Maxiell makes 2-pt shot from 4 ft,2,23-19,,
2:52.0,,,23-19,,Turnover by G. Vasquez (bad pass; steal by K. Walker)
2:46.0,M. Williams makes 2-pt shot from 2 ft (assist by K. Walker),2,25-19,,
2:26.0,,,25-19,,G. Vasquez misses 3-pt shot from 23 ft
2:25.0,Defensive rebound by M. Williams,,25-19,,
2:10.0,G. Henderson makes 2-pt shot from 16 ft,2,27-19,,
1:49.0,,,27-19,,K. Lowry misses 2-pt shot from 18 ft
1:48.0,Defensive rebound by G. Henderson,,27-19,,
1:43.0,K. Walker misses 2-pt shot from 1 ft,,27-19,,
1:41.0,,,27-19,,Defensive rebound by K. Lowry
1:37.0,,,27-21,2,T. Hansbrough makes 2-pt shot from 5 ft (assist by K. Lowry)
1:37.0,,,27-21,,Shooting foul by G. Neal (drawn by T. Hansbrough)
1:37.0,Charlotte full timeout,,27-21,,
1:37.0,,,27-21,,J. Johnson enters the game for K. Lowry
1:37.0,N. Vonleh enters the game for M. Williams,,27-21,,
1:37.0,B. Roberts enters the game for G. Henderson,,27-21,,
1:37.0,,,27-21,,T. Hansbrough misses free throw 1 of 1
1:36.0,,,27-21,,Offensive rebound by Team
1:26.0,,,27-21,,P. Patterson misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by K. Walker,,27-21,,
1:04.0,J. Maxiell makes 2-pt shot from 4 ft (assist by K. Walker),2,29-21,,
0:42.0,,,29-21,,L. Williams misses 2-pt shot from 8 ft
0:41.0,Defensive rebound by J. Maxiell,,29-21,,
0:21.0,J. Maxiell makes 2-pt shot from 20 ft (assist by G. Neal),2,31-21,,
0:06.0,,,31-23,2,L. Williams makes 2-pt shot from 10 ft (assist by G. Vasquez)
0:00.0,K. Walker misses 2-pt shot from 1 ft (block by J. Johnson),,31-23,,
0:00.0,Offensive rebound by Team,,31-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,Technical foul by K. Walker,,31-23,,
12:00.0,,,31-23,,L. Williams misses technical free throw
12:00.0,Offensive rebound by Team,,31-23,,
11:44.0,B. Roberts misses 3-pt shot from 25 ft,,31-23,,
11:44.0,,,31-23,,Defensive rebound by Team
11:33.0,,,31-23,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Johnson)
11:33.0,,,31-23,,J. Johnson misses free throw 1 of 2
11:33.0,,,31-23,,Offensive rebound by Team
11:33.0,,,31-24,1,J. Johnson makes free throw 2 of 2
11:09.0,Turnover by G. Neal (bad pass),,31-24,,
10:48.0,,,31-27,3,G. Vasquez makes 3-pt shot from 25 ft (assist by L. Williams)
10:24.0,J. Maxiell misses 2-pt shot from 18 ft,,31-27,,
10:22.0,,,31-27,,Defensive rebound by A. Johnson
10:10.0,,,31-30,3,T. Hansbrough makes 3-pt shot from 22 ft (assist by L. Williams)
10:03.0,Charlotte full timeout,,31-30,,
9:46.0,Turnover by N. Vonleh (traveling),,31-30,,
9:37.0,,,31-30,,Shooting foul by N. Vonleh (drawn by A. Johnson)
9:37.0,,,31-30,,A. Johnson misses free throw 1 of 2
9:37.0,,,31-30,,Offensive rebound by Team
9:37.0,,,31-31,1,A. Johnson makes free throw 2 of 2
9:24.0,Turnover by G. Neal (traveling),,31-31,,
9:15.0,,,31-31,,L. Williams misses 3-pt shot from 26 ft
9:14.0,Defensive rebound by N. Vonleh,,31-31,,
9:05.0,,,31-31,,Shooting block foul by T. Hansbrough (drawn by M. Kidd-Gilchrist)
9:05.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,32-31,,
9:05.0,,,32-31,,J. Valanciunas enters the game for T. Hansbrough
9:05.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,33-31,,
8:52.0,Shooting block foul by N. Vonleh (drawn by J. Valanciunas),,33-31,,
8:52.0,,,33-32,1,J. Valanciunas makes free throw 1 of 2
8:52.0,,,33-33,1,J. Valanciunas makes free throw 2 of 2
8:37.0,M. Kidd-Gilchrist makes 2-pt shot from 3 ft,2,35-33,,
8:25.0,,,35-33,,J. Valanciunas misses 2-pt shot from 20 ft
8:24.0,Defensive rebound by M. Kidd-Gilchrist,,35-33,,
8:17.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,35-33,,
8:16.0,,,35-33,,Defensive rebound by J. Johnson
8:10.0,,,35-33,,G. Vasquez misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by M. Kidd-Gilchrist,,35-33,,
8:04.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by J. Johnson),,35-33,,
8:04.0,Offensive rebound by Team,,35-33,,
7:51.0,J. Maxiell misses 2-pt shot from 9 ft,,35-33,,
7:50.0,,,35-33,,Defensive rebound by L. Williams
7:43.0,,,35-33,,Turnover by L. Williams (lost ball; steal by N. Vonleh)
7:39.0,B. Roberts makes 2-pt shot at rim (assist by M. Kidd-Gilchrist),2,37-33,,
7:30.0,M. Williams enters the game for N. Vonleh,,37-33,,
7:23.0,,,37-35,2,J. Johnson makes 2-pt shot at rim (assist by G. Vasquez)
7:23.0,,,37-35,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Johnson)
7:23.0,G. Henderson enters the game for G. Neal,,37-35,,
7:23.0,,,37-35,,K. Lowry enters the game for G. Vasquez
7:23.0,,,37-35,,T. Ross enters the game for L. Williams
7:23.0,,,37-35,,J. Johnson misses free throw 1 of 1
7:22.0,Defensive rebound by M. Kidd-Gilchrist,,37-35,,
7:11.0,B. Roberts makes 2-pt shot from 17 ft (assist by G. Henderson),2,39-35,,
6:45.0,,,39-35,,K. Lowry misses 2-pt shot from 19 ft
6:44.0,Defensive rebound by J. Maxiell,,39-35,,
6:34.0,G. Henderson makes 2-pt shot from 16 ft (assist by B. Roberts),2,41-35,,
6:20.0,,,41-35,,Offensive foul by A. Johnson
6:20.0,,,41-35,,Turnover by A. Johnson (offensive foul)
6:20.0,K. Walker enters the game for M. Kidd-Gilchrist,,41-35,,
6:20.0,B. Biyombo enters the game for J. Maxiell,,41-35,,
6:09.0,G. Henderson misses 2-pt shot from 8 ft,,41-35,,
6:07.0,,,41-35,,Defensive rebound by J. Valanciunas
5:58.0,,,41-35,,T. Ross misses 2-pt shot from 7 ft
5:57.0,Defensive rebound by B. Biyombo,,41-35,,
5:50.0,Shooting foul by J. Valanciunas (drawn by B. Roberts),,41-35,,
5:50.0,Official timeout,,41-35,,
5:50.0,B. Roberts makes free throw 1 of 2,1,42-35,,
5:50.0,B. Roberts misses free throw 2 of 2,,42-35,,
5:48.0,,,42-35,,Defensive rebound by J. Valanciunas
5:36.0,Personal foul by B. Biyombo (drawn by J. Valanciunas),,42-35,,
5:36.0,,,42-36,1,J. Valanciunas makes free throw 1 of 2
5:36.0,,,42-36,,P. Patterson enters the game for A. Johnson
5:36.0,,,42-37,1,J. Valanciunas makes free throw 2 of 2
5:16.0,B. Roberts misses 2-pt shot from 18 ft,,42-37,,
5:15.0,,,42-37,,Defensive rebound by J. Valanciunas
5:02.0,,,42-37,,K. Lowry misses 2-pt shot from 6 ft
5:01.0,,,42-37,,Offensive rebound by Team
4:49.0,,,42-37,,J. Valanciunas misses 2-pt shot from 5 ft
4:48.0,,,42-37,,Offensive rebound by J. Johnson
4:46.0,,,42-37,,J. Johnson misses 2-pt shot from 2 ft
4:45.0,Defensive rebound by G. Henderson,,42-37,,
4:39.0,G. Henderson misses 2-pt shot from 1 ft,,42-37,,
4:38.0,,,42-37,,Defensive rebound by J. Valanciunas
4:28.0,,,42-40,3,K. Lowry makes 3-pt shot from 22 ft (assist by P. Patterson)
4:17.0,,,42-40,,Personal foul by P. Patterson (drawn by K. Walker)
4:17.0,,,42-40,,G. Vasquez enters the game for J. Johnson
4:08.0,B. Biyombo makes 2-pt shot at rim (assist by K. Walker),2,44-40,,
3:58.0,,,44-40,,K. Lowry misses 2-pt shot from 8 ft
3:57.0,Defensive rebound by B. Biyombo,,44-40,,
3:41.0,M. Williams misses 3-pt shot from 25 ft,,44-40,,
3:40.0,,,44-40,,Defensive rebound by T. Ross
3:22.0,,,44-42,2,G. Vasquez makes 2-pt shot from 3 ft
3:08.0,K. Walker makes 2-pt shot from 5 ft,2,46-42,,
2:47.0,,,46-45,3,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry)
2:28.0,M. Williams misses 2-pt shot from 10 ft,,46-45,,
2:27.0,,,46-45,,Defensive rebound by G. Vasquez
2:19.0,,,46-45,,K. Lowry misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by Team,,46-45,,
2:16.0,,,46-45,,Loose ball foul by P. Patterson (drawn by K. Walker)
2:16.0,,,46-45,,Toronto full timeout
2:16.0,G. Neal enters the game for B. Roberts,,46-45,,
1:59.0,G. Henderson makes 2-pt shot from 4 ft,2,48-45,,
1:40.0,,,48-47,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by P. Patterson)
1:16.0,G. Henderson misses 3-pt shot from 24 ft,,48-47,,
1:15.0,,,48-47,,Defensive rebound by G. Vasquez
1:01.0,,,48-47,,G. Vasquez misses 2-pt shot from 3 ft (block by B. Biyombo)
1:00.0,,,48-47,,Offensive rebound by K. Lowry
0:57.0,,,48-49,2,K. Lowry makes 2-pt shot from 1 ft
0:57.0,,,48-49,,Shooting foul by B. Biyombo (drawn by K. Lowry)
0:57.0,J. Maxiell enters the game for B. Biyombo,,48-49,,
0:57.0,,,48-49,,A. Johnson enters the game for P. Patterson
0:57.0,,,48-49,,L. Williams enters the game for T. Ross
0:57.0,,,48-50,1,K. Lowry makes free throw 1 of 1
0:43.0,Shooting foul by G. Vasquez (drawn by G. Henderson),,48-50,,
0:43.0,G. Henderson makes 2-pt shot from 10 ft,2,50-50,,
0:43.0,G. Henderson misses free throw 1 of 1,,50-50,,
0:42.0,,,50-50,,Defensive rebound by J. Valanciunas
0:31.0,,,50-50,,K. Lowry misses 3-pt shot from 24 ft
0:30.0,,,50-50,,Offensive rebound by J. Valanciunas
0:29.0,,,50-52,2,J. Valanciunas makes 2-pt shot from 4 ft
0:07.0,K. Walker misses 2-pt shot from 4 ft (block by K. Lowry),,50-52,,
0:04.0,,,50-52,,Defensive rebound by L. Williams
0:00.0,,,50-52,,L. Williams misses 3-pt shot from 25 ft
0:00.0,,,50-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,Technical foul by Team,,50-52,,
12:00.0,,,50-53,1,K. Lowry makes technical free throw
11:46.0,G. Henderson makes 2-pt shot from 19 ft (assist by K. Walker),2,52-53,,
11:28.0,,,52-53,,K. Lowry misses 2-pt shot from 4 ft
11:27.0,Defensive rebound by B. Biyombo,,52-53,,
11:11.0,G. Henderson makes 2-pt shot from 4 ft,2,54-53,,
10:56.0,,,54-53,,J. Valanciunas misses 2-pt shot from 16 ft
10:55.0,Defensive rebound by K. Walker,,54-53,,
10:41.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by G. Henderson),2,56-53,,
10:16.0,,,56-53,,J. Valanciunas misses 2-pt shot from 8 ft
10:15.0,Defensive rebound by M. Kidd-Gilchrist,,56-53,,
10:06.0,K. Walker makes 2-pt shot from 16 ft (assist by M. Williams),2,58-53,,
9:58.0,,,58-53,,Toronto full timeout
9:58.0,,,58-53,,P. Patterson enters the game for A. Johnson
9:58.0,,,58-53,,L. Williams enters the game for T. Ross
9:44.0,,,58-53,,P. Patterson misses 2-pt shot from 8 ft
9:43.0,Defensive rebound by Team,,58-53,,
9:31.0,G. Henderson misses 2-pt shot at rim,,58-53,,
9:30.0,Offensive rebound by K. Walker,,58-53,,
9:24.0,K. Walker makes 2-pt shot from 17 ft,2,60-53,,
9:01.0,,,60-53,,L. Williams misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by Team,,60-53,,
8:42.0,B. Biyombo misses 2-pt shot from 4 ft (block by P. Patterson),,60-53,,
8:40.0,,,60-53,,Defensive rebound by K. Lowry
8:21.0,,,60-53,,K. Lowry misses 2-pt shot from 2 ft (block by B. Biyombo)
8:21.0,,,60-53,,Offensive rebound by Team
8:20.0,,,60-53,,Turnover by K. Lowry (bad pass)
8:09.0,G. Henderson makes 2-pt shot from 14 ft (assist by M. Kidd-Gilchrist),2,62-53,,
7:47.0,,,62-53,,K. Lowry misses 3-pt shot from 23 ft
7:46.0,Defensive rebound by M. Kidd-Gilchrist,,62-53,,
7:39.0,Turnover by M. Kidd-Gilchrist (lost ball),,62-53,,
7:25.0,,,62-53,,L. Williams misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by M. Williams,,62-53,,
7:18.0,G. Henderson makes 2-pt shot from 2 ft (assist by M. Williams),2,64-53,,
7:01.0,,,64-53,,Turnover by P. Patterson (bad pass)
7:01.0,,,64-53,,G. Vasquez enters the game for L. Fields
6:40.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,64-53,,
6:39.0,,,64-53,,Defensive rebound by P. Patterson
6:30.0,,,64-56,3,K. Lowry makes 3-pt shot from 24 ft (assist by L. Williams)
6:16.0,K. Walker misses 3-pt shot from 24 ft,,64-56,,
6:15.0,Offensive rebound by M. Kidd-Gilchrist,,64-56,,
6:04.0,Turnover by G. Henderson (lost ball; steal by G. Vasquez),,64-56,,
6:02.0,,,64-56,,Turnover by J. Valanciunas (bad pass)
6:02.0,,,64-56,,T. Hansbrough enters the game for J. Valanciunas
5:40.0,Turnover by G. Henderson (lost ball),,64-56,,
5:23.0,,,64-56,,P. Patterson misses 2-pt shot from 16 ft
5:22.0,Defensive rebound by M. Kidd-Gilchrist,,64-56,,
5:06.0,K. Walker makes 2-pt shot from 17 ft,2,66-56,,
4:45.0,,,66-56,,L. Williams misses 2-pt shot from 14 ft
4:44.0,Defensive rebound by M. Williams,,66-56,,
4:26.0,M. Williams makes 2-pt shot from 20 ft (assist by K. Walker),2,68-56,,
4:13.0,J. Maxiell enters the game for B. Biyombo,,68-56,,
4:13.0,G. Neal enters the game for G. Henderson,,68-56,,
4:13.0,,,68-56,,J. Johnson enters the game for K. Lowry
4:03.0,,,68-56,,G. Vasquez misses 2-pt shot from 2 ft (block by J. Maxiell)
4:02.0,Defensive rebound by M. Williams,,68-56,,
4:02.0,,,68-56,,Technical foul by G. Vasquez
4:02.0,G. Neal makes technical free throw,1,69-56,,
3:40.0,G. Neal misses 2-pt shot from 18 ft,,69-56,,
3:39.0,,,69-56,,Defensive rebound by L. Williams
3:31.0,,,69-56,,L. Williams misses 2-pt shot from 15 ft
3:30.0,Defensive rebound by G. Neal,,69-56,,
3:21.0,K. Walker makes 2-pt shot from 19 ft,2,71-56,,
2:53.0,,,71-58,2,P. Patterson makes 2-pt shot from 12 ft (assist by L. Williams)
2:33.0,M. Kidd-Gilchrist misses 2-pt shot from 4 ft,,71-58,,
2:32.0,,,71-58,,Defensive rebound by T. Hansbrough
2:25.0,,,71-58,,Shooting foul by M. Kidd-Gilchrist (drawn by L. Williams)
2:25.0,,,71-60,2,L. Williams makes 2-pt shot from 2 ft
2:25.0,Charlotte full timeout,,71-60,,
2:25.0,N. Vonleh enters the game for M. Williams,,71-60,,
2:25.0,,,71-61,1,L. Williams makes free throw 1 of 1
2:12.0,K. Walker makes 2-pt shot from 1 ft,2,73-61,,
1:51.0,,,73-63,2,T. Hansbrough makes 2-pt shot from 3 ft (assist by G. Vasquez)
1:29.0,M. Kidd-Gilchrist misses 2-pt shot from 11 ft (block by J. Johnson),,73-63,,
1:28.0,,,73-63,,Defensive rebound by P. Patterson
1:20.0,,,73-63,,P. Patterson misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by M. Kidd-Gilchrist,,73-63,,
1:00.0,G. Neal misses 2-pt shot from 3 ft,,73-63,,
0:59.0,Offensive rebound by N. Vonleh,,73-63,,
0:57.0,N. Vonleh misses 2-pt shot at rim,,73-63,,
0:56.0,,,73-63,,Defensive rebound by T. Hansbrough
0:36.0,,,73-63,,Offensive charge foul by J. Johnson
0:36.0,,,73-63,,Turnover by J. Johnson (offensive foul)
0:26.0,K. Walker misses 3-pt shot from 25 ft,,73-63,,
0:24.0,Offensive rebound by N. Vonleh,,73-63,,
0:22.0,N. Vonleh makes 2-pt shot from 1 ft,2,75-63,,
0:04.0,Personal foul by G. Neal,,75-63,,
0:00.0,,,75-63,,Shooting foul by G. Neal (drawn by L. Williams)
0:00.0,,,75-64,1,L. Williams makes free throw 1 of 3
0:00.0,,,75-65,1,L. Williams makes free throw 2 of 3
0:00.0,,,75-66,1,L. Williams makes free throw 3 of 3
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,75-69,3,G. Vasquez makes 3-pt shot from 25 ft (assist by L. Williams)
11:36.0,,,75-69,,Personal foul by T. Hansbrough (drawn by J. Maxiell)
11:29.0,G. Neal misses 3-pt shot from 25 ft,,75-69,,
11:28.0,,,75-69,,Defensive rebound by T. Hansbrough
11:23.0,,,75-69,,Shooting foul by G. Neal (drawn by L. Williams)
11:23.0,,,75-70,1,L. Williams makes free throw 1 of 2
11:23.0,,,75-71,1,L. Williams makes free throw 2 of 2
11:06.0,G. Neal misses 2-pt shot from 2 ft (block by J. Johnson),,75-71,,
11:04.0,,,75-71,,Defensive rebound by T. Hansbrough
11:00.0,,,75-71,,Turnover by G. Vasquez (bad pass; steal by B. Roberts)
10:53.0,G. Neal misses 3-pt shot from 23 ft,,75-71,,
10:52.0,,,75-71,,Defensive rebound by G. Vasquez
10:40.0,,,75-73,2,L. Williams makes 2-pt shot from 16 ft
10:38.0,Charlotte full timeout,,75-73,,
10:38.0,M. Williams enters the game for G. Neal,,75-73,,
10:38.0,K. Walker enters the game for N. Vonleh,,75-73,,
10:14.0,G. Henderson makes 2-pt shot from 17 ft (assist by J. Maxiell),2,77-73,,
9:57.0,,,77-75,2,J. Johnson makes 2-pt shot from 4 ft (assist by G. Vasquez)
9:37.0,Offensive foul by J. Maxiell,,77-75,,
9:37.0,Turnover by J. Maxiell (offensive foul),,77-75,,
9:20.0,,,77-75,,Turnover by G. Vasquez (traveling)
9:03.0,M. Williams makes 3-pt shot from 22 ft (assist by B. Roberts),3,80-75,,
8:36.0,,,80-75,,L. Williams misses 3-pt shot from 27 ft
8:35.0,,,80-75,,Offensive rebound by K. Lowry
8:32.0,,,80-75,,J. Johnson misses 2-pt shot from 3 ft
8:31.0,Defensive rebound by B. Roberts,,80-75,,
8:24.0,Shooting foul by T. Hansbrough (drawn by G. Henderson),,80-75,,
8:24.0,G. Henderson makes free throw 1 of 2,1,81-75,,
8:24.0,,,81-75,,P. Patterson enters the game for G. Vasquez
8:24.0,G. Henderson makes free throw 2 of 2,1,82-75,,
8:08.0,,,82-75,,Shooting foul by K. Walker (drawn by K. Lowry)
8:08.0,,,82-76,1,K. Lowry makes free throw 1 of 3
8:08.0,,,82-76,,K. Lowry misses free throw 2 of 3
8:08.0,,,82-76,,Offensive rebound by Team
8:08.0,,,82-76,,T. Ross enters the game for L. Williams
8:08.0,,,82-77,1,K. Lowry makes free throw 3 of 3
7:44.0,K. Walker misses 2-pt shot from 16 ft,,82-77,,
7:43.0,,,82-77,,Defensive rebound by K. Lowry
7:30.0,,,82-77,,T. Ross misses 2-pt shot from 15 ft
7:29.0,Defensive rebound by G. Henderson,,82-77,,
7:18.0,K. Walker misses 3-pt shot from 23 ft,,82-77,,
7:17.0,,,82-77,,Defensive rebound by Team
7:17.0,,,82-77,,A. Johnson enters the game for T. Hansbrough
7:03.0,,,82-77,,K. Lowry misses 3-pt shot from 26 ft
7:02.0,Defensive rebound by M. Williams,,82-77,,
6:44.0,B. Roberts misses 3-pt shot from 25 ft,,82-77,,
6:43.0,,,82-77,,Defensive rebound by A. Johnson
6:35.0,,,82-77,,Offensive charge foul by K. Lowry
6:35.0,,,82-77,,Turnover by K. Lowry (offensive foul)
6:35.0,B. Biyombo enters the game for J. Maxiell,,82-77,,
6:35.0,M. Kidd-Gilchrist enters the game for B. Roberts,,82-77,,
6:35.0,,,82-77,,L. Williams enters the game for K. Lowry
6:20.0,G. Henderson misses 2-pt shot from 20 ft,,82-77,,
6:19.0,,,82-77,,Defensive rebound by L. Williams
6:07.0,,,82-77,,L. Williams misses 2-pt shot from 6 ft
6:06.0,,,82-77,,Offensive rebound by J. Johnson
6:04.0,,,82-79,2,J. Johnson makes 2-pt shot from 1 ft
5:38.0,M. Williams makes 3-pt shot from 23 ft (assist by M. Kidd-Gilchrist),3,85-79,,
5:26.0,,,85-82,3,T. Ross makes 3-pt shot from 23 ft (assist by P. Patterson)
5:12.0,,,85-82,,Shooting block foul by A. Johnson (drawn by K. Walker)
5:12.0,Official timeout,,85-82,,
5:12.0,,,85-82,,K. Lowry enters the game for J. Johnson
5:12.0,K. Walker makes free throw 1 of 2,1,86-82,,
5:12.0,K. Walker makes free throw 2 of 2,1,87-82,,
5:07.0,Personal foul by M. Kidd-Gilchrist (drawn by L. Williams),,87-82,,
5:00.0,,,87-82,,L. Williams misses 3-pt shot from 25 ft
4:59.0,,,87-82,,Offensive rebound by A. Johnson
4:48.0,,,87-84,2,K. Lowry makes 2-pt shot from 2 ft
4:47.0,,,87-84,,Violation by Team (jump ball)
4:27.0,G. Henderson makes 2-pt shot from 3 ft,2,89-84,,
4:14.0,,,89-84,,Offensive foul by A. Johnson
4:14.0,,,89-84,,Turnover by A. Johnson (offensive foul)
4:02.0,G. Henderson misses 2-pt shot from 3 ft,,89-84,,
4:01.0,Offensive rebound by B. Biyombo,,89-84,,
3:52.0,K. Walker misses 2-pt shot from 3 ft,,89-84,,
3:52.0,,,89-84,,Defensive rebound by Team
3:52.0,Loose ball foul by B. Biyombo (drawn by K. Lowry),,89-84,,
3:52.0,,,89-84,,Toronto full timeout
3:39.0,,,89-84,,K. Lowry misses 2-pt shot from 6 ft
