time,Brooklyn,pts.away,score,pts.home,Atlanta
5:16.0,J. Jack enters the game for B. Bogdanovic,,32-56,,
5:16.0,J. Johnson makes free throw 2 of 2,1,33-56,,
4:56.0,,,33-56,,Shooting foul by B. Lopez (drawn by P. Millsap)
4:56.0,,,33-57,1,P. Millsap makes free throw 1 of 2
4:56.0,B. Bogdanovic enters the game for J. Johnson,,33-57,,
4:56.0,,,33-58,1,P. Millsap makes free throw 2 of 2
4:36.0,T. Young makes 2-pt shot from 19 ft,2,35-58,,
4:25.0,,,35-60,2,J. Teague makes 2-pt shot from 4 ft
4:11.0,Turnover by T. Young (bad pass),,35-60,,
4:00.0,Personal foul by B. Bogdanovic (drawn by D. Carroll),,35-60,,
3:56.0,,,35-60,,Shooting foul by T. Young (drawn by P. Millsap)
3:56.0,,,35-61,1,P. Millsap makes free throw 1 of 2
3:56.0,,,35-62,1,P. Millsap makes free throw 2 of 2
3:39.0,B. Lopez makes 2-pt shot from 11 ft,2,37-62,,
3:31.0,,,37-62,,Turnover by J. Teague (bad pass; steal by J. Jack)
3:27.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack),2,39-62,,
3:19.0,,,39-62,,Atlanta full timeout
3:18.0,,,39-62,,A. Horford enters the game for M. Muscala
3:18.0,E. Clark enters the game for T. Young,,39-62,,
3:06.0,,,39-62,,T. Sefolosha misses 2-pt shot from 9 ft
3:05.0,Defensive rebound by J. Jack,,39-62,,
2:57.0,Turnover by J. Jack (lost ball; steal by A. Horford),,39-62,,
2:40.0,,,39-64,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by P. Millsap)
2:19.0,J. Jack makes 3-pt shot from 23 ft (assist by D. Williams),3,42-64,,
1:55.0,,,42-64,,Turnover by J. Teague (bad pass; steal by J. Jack)
1:52.0,J. Jack makes 2-pt shot at rim,2,44-64,,
1:52.0,,,44-64,,Atlanta full timeout
1:52.0,,,44-64,,M. Muscala enters the game for P. Millsap
1:52.0,,,44-64,,K. Korver enters the game for T. Sefolosha
1:29.0,,,44-64,,J. Teague misses 2-pt shot from 8 ft
1:27.0,,,44-64,,Offensive rebound by J. Teague
1:26.0,,,44-66,2,J. Teague makes 2-pt shot at rim
1:12.0,Turnover by J. Jack (lost ball; steal by J. Teague),,44-66,,
1:04.0,,,44-66,,D. Carroll misses 3-pt shot from 22 ft
1:03.0,Defensive rebound by E. Clark,,44-66,,
0:58.0,J. Jack misses 2-pt shot from 22 ft,,44-66,,
0:57.0,,,44-66,,Defensive rebound by D. Carroll
0:46.0,,,44-66,,A. Horford misses 3-pt shot from 23 ft
0:45.0,Defensive rebound by D. Williams,,44-66,,
0:41.0,Shooting foul by M. Muscala (drawn by D. Williams),,44-66,,
0:41.0,D. Williams makes free throw 1 of 2,1,45-66,,
0:41.0,,,45-66,,S. Mack enters the game for J. Teague
0:41.0,D. Williams makes free throw 2 of 2,1,46-66,,
0:32.0,,,46-66,,A. Horford misses 2-pt shot from 4 ft
0:31.0,Defensive rebound by B. Lopez,,46-66,,
0:24.0,J. Jack makes 2-pt shot from 1 ft,2,48-66,,
0:01.0,,,48-66,,S. Mack misses 2-pt shot from 14 ft
0:00.0,,,48-66,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,48-69,3,M. Muscala makes 3-pt shot from 22 ft (assist by J. Teague)
11:09.0,B. Lopez makes 2-pt shot from 1 ft (assist by D. Williams),2,50-69,,
11:01.0,,,50-71,2,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague)
10:44.0,T. Young makes 2-pt shot from 4 ft (assist by D. Williams),2,52-71,,
10:30.0,,,52-73,2,M. Muscala makes 2-pt shot from 4 ft (assist by K. Korver)
10:21.0,Turnover by D. Williams (bad pass; steal by A. Horford),,52-73,,
10:16.0,,,52-73,,K. Korver misses 3-pt shot from 24 ft
10:14.0,,,52-73,,Offensive rebound by D. Carroll
10:10.0,,,52-76,3,J. Teague makes 3-pt shot from 24 ft (assist by D. Carroll)
