time,Utah,pts.away,score,pts.home,San Antonio
5:27.0,,,22-32,,Offensive rebound by K. Leonard
5:17.0,,,22-35,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Splitter)
5:09.0,Turnover by J. Ingles (lost ball; steal by K. Leonard),,22-35,,
5:07.0,Personal foul by J. Ingles (drawn by K. Leonard),,22-35,,
5:07.0,D. Favors enters the game for R. Gobert,,22-35,,
5:07.0,G. Hayward enters the game for E. Millsap,,22-35,,
4:59.0,,,22-35,,T. Splitter misses 2-pt shot from 3 ft
4:58.0,Defensive rebound by D. Favors,,22-35,,
4:48.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,24-35,,
4:39.0,Personal foul by D. Favors (drawn by T. Splitter),,24-35,,
4:39.0,,,24-36,1,T. Splitter makes free throw 1 of 2
4:39.0,R. Hood enters the game for J. Ingles,,24-36,,
4:39.0,,,24-37,1,T. Splitter makes free throw 2 of 2
4:17.0,Turnover by E. Kanter (lost ball; steal by T. Splitter),,24-37,,
3:57.0,,,24-37,,T. Splitter misses 2-pt shot from 8 ft
3:56.0,Defensive rebound by D. Favors,,24-37,,
3:45.0,D. Favors misses 2-pt shot from 16 ft,,24-37,,
3:44.0,,,24-37,,Defensive rebound by K. Leonard
3:31.0,,,24-37,,M. Ginobili enters the game for K. Leonard
3:22.0,,,24-39,2,T. Splitter makes 2-pt shot from 2 ft (assist by T. Duncan)
3:07.0,E. Kanter misses 2-pt shot from 16 ft,,24-39,,
3:06.0,,,24-39,,Defensive rebound by T. Splitter
2:56.0,,,24-39,,T. Parker misses 2-pt shot from 14 ft
2:55.0,Defensive rebound by D. Favors,,24-39,,
2:41.0,D. Favors misses 2-pt shot from 1 ft (block by T. Duncan),,24-39,,
2:40.0,Offensive rebound by G. Hayward,,24-39,,
2:37.0,G. Hayward misses 2-pt shot from 7 ft,,24-39,,
2:37.0,Offensive rebound by Team,,24-39,,
2:37.0,,,24-39,,Personal foul by M. Ginobili (drawn by E. Kanter)
2:37.0,Utah full timeout,,24-39,,
2:37.0,,,24-39,,A. Baynes enters the game for T. Splitter
2:37.0,T. Booker enters the game for E. Kanter,,24-39,,
2:29.0,R. Hood misses 3-pt shot from 23 ft,,24-39,,
2:28.0,,,24-39,,Defensive rebound by T. Duncan
2:11.0,,,24-39,,M. Ginobili misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by R. Hood,,24-39,,
2:07.0,Shooting foul by T. Parker (drawn by R. Hood),,24-39,,
2:07.0,R. Hood misses free throw 1 of 2,,24-39,,
2:07.0,Offensive rebound by Team,,24-39,,
2:07.0,R. Hood makes free throw 2 of 2,1,25-39,,
1:53.0,,,25-39,,Shooting foul by R. Hood (drawn by T. Duncan)
1:53.0,,,25-40,1,T. Duncan makes free throw 1 of 2
1:53.0,,,25-40,,K. Leonard enters the game for T. Parker
1:53.0,R. Gobert enters the game for T. Booker,,25-40,,
1:53.0,,,25-40,,T. Duncan misses free throw 2 of 2
1:52.0,Defensive rebound by R. Gobert,,25-40,,
1:37.0,D. Favors misses 2-pt shot from 2 ft (block by M. Ginobili),,25-40,,
1:36.0,,,25-40,,Defensive rebound by K. Leonard
1:28.0,Personal foul by G. Hayward (drawn by M. Ginobili),,25-40,,
1:28.0,,,25-41,1,M. Ginobili makes free throw 1 of 2
1:28.0,,,25-41,,M. Ginobili misses free throw 2 of 2
1:27.0,Defensive rebound by D. Favors,,25-41,,
1:08.0,T. Burke makes 2-pt shot from 17 ft (assist by R. Gobert),2,27-41,,
0:53.0,,,27-41,,K. Leonard misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by D. Favors,,27-41,,
0:49.0,Turnover by D. Favors (bad pass; steal by P. Mills),,27-41,,
0:33.0,,,27-41,,T. Duncan misses 2-pt shot from 4 ft (block by R. Gobert)
0:32.0,Defensive rebound by R. Hood,,27-41,,
0:28.0,T. Burke misses 2-pt shot at rim (block by M. Ginobili),,27-41,,
0:27.0,,,27-41,,Defensive rebound by K. Leonard
0:03.0,,,27-41,,A. Baynes misses 3-pt shot from 24 ft
0:02.0,,,27-41,,Offensive rebound by T. Duncan
0:02.0,,,27-41,,T. Duncan misses 2-pt shot at rim
0:01.0,,,27-41,,Offensive rebound by K. Leonard
0:00.0,,,27-43,2,K. Leonard makes 2-pt shot from 16 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,27-43,,K. Leonard misses 2-pt shot from 18 ft
11:44.0,Defensive rebound by R. Gobert,,27-43,,
11:29.0,G. Hayward misses 2-pt shot from 21 ft,,27-43,,
11:27.0,Offensive rebound by Team,,27-43,,
11:23.0,Turnover by D. Favors (traveling),,27-43,,
11:05.0,,,27-43,,D. Green misses 2-pt shot from 4 ft
11:04.0,Defensive rebound by R. Gobert,,27-43,,
10:49.0,G. Hayward misses 3-pt shot from 24 ft,,27-43,,
10:48.0,,,27-43,,Defensive rebound by T. Parker
10:38.0,,,27-45,2,T. Splitter makes 2-pt shot from 2 ft (assist by T. Parker)
10:18.0,G. Hayward misses 2-pt shot from 1 ft,,27-45,,
10:17.0,,,27-45,,Defensive rebound by T. Splitter
10:15.0,Personal block foul by J. Ingles (drawn by K. Leonard),,27-45,,
10:06.0,,,27-45,,Turnover by T. Duncan (bad pass; steal by G. Hayward)
10:01.0,D. Favors misses 2-pt shot at rim,,27-45,,
10:00.0,Offensive rebound by R. Gobert,,27-45,,
10:00.0,R. Gobert makes 2-pt shot from 1 ft,2,29-45,,
9:45.0,,,29-45,,Turnover by T. Parker (bad pass; steal by G. Hayward)
9:41.0,G. Hayward makes 2-pt shot from 1 ft,2,31-45,,
9:25.0,,,31-45,,T. Splitter misses 2-pt shot at rim (block by D. Favors)
9:24.0,,,31-45,,Offensive rebound by D. Green
9:15.0,,,31-45,,Shooting foul by J. Ingles (drawn by T. Splitter)
9:15.0,,,31-46,1,T. Splitter makes free throw 1 of 2
9:15.0,,,31-46,,C. Joseph enters the game for D. Green
9:15.0,,,31-47,1,T. Splitter makes free throw 2 of 2
8:52.0,Turnover by G. Hayward (step out of bounds),,31-47,,
8:29.0,,,31-49,2,T. Splitter makes 2-pt shot from 3 ft (assist by C. Joseph)
8:18.0,T. Burke misses 3-pt shot from 25 ft,,31-49,,
8:17.0,,,31-49,,Defensive rebound by Team
7:58.0,,,31-49,,K. Leonard misses 2-pt shot from 16 ft
7:57.0,Defensive rebound by R. Gobert,,31-49,,
7:50.0,T. Burke makes 2-pt shot from 1 ft (assist by G. Hayward),2,33-49,,
7:25.0,,,33-49,,T. Splitter misses 2-pt shot from 15 ft
7:24.0,,,33-49,,Offensive rebound by T. Duncan
7:18.0,,,33-49,,T. Splitter misses 2-pt shot from 5 ft
7:17.0,Defensive rebound by D. Favors,,33-49,,
7:08.0,T. Burke makes 2-pt shot from 8 ft (assist by J. Ingles),2,35-49,,
7:08.0,,,35-49,,San Antonio full timeout
7:08.0,D. Exum enters the game for J. Ingles,,35-49,,
7:08.0,,,35-49,,A. Baynes enters the game for T. Splitter
6:46.0,,,35-49,,T. Parker misses 2-pt shot from 3 ft
6:45.0,Defensive rebound by R. Gobert,,35-49,,
6:28.0,,,35-49,,Shooting block foul by A. Baynes (drawn by R. Gobert)
6:28.0,R. Gobert makes free throw 1 of 2,1,36-49,,
6:28.0,R. Gobert makes free throw 2 of 2,1,37-49,,
6:08.0,,,37-51,2,A. Baynes makes 2-pt shot from 2 ft (assist by C. Joseph)
5:50.0,G. Hayward misses 2-pt shot from 16 ft,,37-51,,
5:49.0,,,37-51,,Defensive rebound by C. Joseph
5:41.0,,,37-51,,C. Joseph misses 2-pt shot from 2 ft (block by D. Favors)
5:40.0,Defensive rebound by R. Gobert,,37-51,,
5:18.0,T. Burke misses 2-pt shot from 20 ft,,37-51,,
5:17.0,,,37-51,,Defensive rebound by K. Leonard
5:03.0,,,37-51,,A. Baynes misses 2-pt shot from 5 ft (block by R. Gobert)
5:02.0,Defensive rebound by T. Burke,,37-51,,
4:58.0,G. Hayward makes 2-pt shot from 2 ft (assist by T. Burke),2,39-51,,
4:41.0,,,39-51,,Shooting foul by G. Hayward (drawn by K. Leonard)
4:41.0,,,39-52,1,K. Leonard makes free throw 1 of 2
4:41.0,,,39-52,,P. Mills enters the game for T. Parker
4:41.0,R. Hood enters the game for D. Exum,,39-52,,
4:41.0,E. Kanter enters the game for R. Gobert,,39-52,,
4:41.0,,,39-53,1,K. Leonard makes free throw 2 of 2
4:26.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,41-53,,
4:10.0,,,41-53,,T. Duncan misses 2-pt shot from 9 ft
4:09.0,,,41-53,,Offensive rebound by T. Duncan
4:07.0,Shooting block foul by R. Hood (drawn by T. Duncan),,41-53,,
4:07.0,,,41-54,1,T. Duncan makes free throw 1 of 2
4:07.0,,,41-54,,M. Ginobili enters the game for K. Leonard
4:07.0,D. Exum enters the game for T. Burke,,41-54,,
4:07.0,,,41-55,1,T. Duncan makes free throw 2 of 2
