time,Brooklyn,pts.away,score,pts.home,Denver
2:43.0,Defensive rebound by A. Anderson,,16-20,,
2:33.0,A. Anderson makes 3-pt shot from 25 ft (assist by D. Williams),3,19-20,,
2:16.0,,,19-20,,J. Lauvergne misses 2-pt shot from 17 ft
2:16.0,,,19-20,,Offensive rebound by K. Faried
2:16.0,,,19-20,,Denver full timeout
2:16.0,M. Brown enters the game for A. Anderson,,19-20,,
2:16.0,,,19-20,,R. Foye enters the game for G. Harris
2:16.0,,,19-20,,Shooting foul by T. Young (drawn by K. Faried)
2:16.0,,,19-21,1,K. Faried makes free throw 1 of 2
2:16.0,,,19-21,,K. Faried misses free throw 2 of 2
2:08.0,Defensive rebound by S. Karasev,,19-21,,
1:58.0,T. Young makes 2-pt shot from 1 ft (assist by D. Williams),2,21-21,,
1:42.0,,,21-21,,J. Lauvergne misses 2-pt shot from 15 ft
1:40.0,Defensive rebound by S. Karasev,,21-21,,
1:31.0,Turnover by T. Young (bad pass; steal by D. Gallinari),,21-21,,
1:25.0,,,21-23,2,T. Lawson makes 2-pt shot from 1 ft (assist by D. Gallinari)
1:09.0,D. Williams makes 2-pt shot from 2 ft,2,23-23,,
0:55.0,,,23-23,,T. Lawson misses 3-pt shot from 23 ft
0:54.0,Defensive rebound by M. Brown,,23-23,,
0:49.0,,,23-23,,Personal foul by K. Faried (drawn by B. Lopez)
0:49.0,D. Morris enters the game for D. Williams,,23-23,,
0:49.0,,,23-23,,W. Barton enters the game for D. Gallinari
0:42.0,B. Lopez misses 2-pt shot from 11 ft,,23-23,,
0:40.0,,,23-23,,Defensive rebound by J. Lauvergne
0:35.0,,,23-23,,Turnover by T. Lawson (bad pass; steal by T. Young)
0:24.0,T. Young makes 3-pt shot from 25 ft (assist by M. Brown),3,26-23,,
0:02.0,,,26-23,,R. Foye misses 3-pt shot from 26 ft (block by M. Brown)
0:00.0,Defensive rebound by M. Brown,,26-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,26-26,3,R. Foye makes 3-pt shot from 24 ft (assist by K. Faried)
11:18.0,B. Lopez misses 2-pt shot from 4 ft,,26-26,,
11:17.0,,,26-26,,Defensive rebound by K. Faried
11:06.0,,,26-28,2,R. Foye makes 2-pt shot from 1 ft
10:48.0,T. Young makes 2-pt shot from 1 ft,2,28-28,,
10:25.0,,,28-30,2,W. Barton makes 2-pt shot from 20 ft
10:06.0,T. Young misses 2-pt shot from 10 ft,,28-30,,
10:05.0,,,28-30,,Defensive rebound by J. Nelson
9:58.0,,,28-30,,J. Nelson misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by B. Lopez,,28-30,,
9:51.0,D. Morris misses 2-pt shot from 5 ft,,28-30,,
9:50.0,Offensive rebound by M. Brown,,28-30,,
9:50.0,M. Brown misses 2-pt shot at rim,,28-30,,
9:48.0,Offensive rebound by M. Brown,,28-30,,
9:48.0,M. Brown makes 2-pt shot from 2 ft,2,30-30,,
9:45.0,,,30-30,,Denver full timeout
9:45.0,,,30-30,,J. Nurkic enters the game for J. Hickson
9:30.0,,,30-30,,J. Nurkic misses 2-pt shot from 3 ft
9:29.0,,,30-30,,Offensive rebound by K. Faried
9:28.0,,,30-30,,Shooting foul by B. Lopez (drawn by K. Faried)
9:28.0,,,30-30,,K. Faried misses free throw 1 of 2
9:28.0,,,30-30,,Offensive rebound by Team
9:28.0,,,30-31,1,K. Faried makes free throw 2 of 2
9:11.0,D. Morris misses 3-pt shot from 22 ft,,30-31,,
9:10.0,Offensive rebound by T. Young,,30-31,,
9:06.0,T. Young misses 2-pt shot from 17 ft,,30-31,,
9:05.0,Offensive rebound by D. Morris,,30-31,,
8:56.0,B. Lopez makes 2-pt shot from 21 ft (assist by D. Morris),2,32-31,,
8:42.0,,,32-31,,W. Barton misses 2-pt shot from 2 ft
8:41.0,,,32-31,,Offensive rebound by J. Nurkic
8:41.0,,,32-31,,J. Nurkic misses 2-pt shot at rim
8:39.0,Defensive rebound by D. Morris,,32-31,,
8:34.0,M. Brown misses 2-pt shot from 2 ft (block by K. Faried),,32-31,,
8:34.0,,,32-31,,Defensive rebound by Team
8:34.0,Official timeout,,32-31,,
8:34.0,J. Johnson enters the game for S. Karasev,,32-31,,
8:17.0,,,32-31,,J. Nelson misses 3-pt shot from 26 ft
8:16.0,Defensive rebound by J. Johnson,,32-31,,
7:57.0,B. Lopez makes 2-pt shot from 5 ft,2,34-31,,
7:46.0,,,34-31,,Turnover by J. Nelson (offensive foul)
7:46.0,,,34-31,,Offensive foul by J. Nelson
7:46.0,D. Williams enters the game for D. Morris,,34-31,,
7:34.0,T. Young misses 3-pt shot from 26 ft,,34-31,,
7:33.0,,,34-31,,Defensive rebound by R. Foye
7:30.0,Personal foul by T. Young (drawn by K. Faried),,34-31,,
7:30.0,A. Anderson enters the game for M. Brown,,34-31,,
7:18.0,,,34-31,,R. Foye misses 2-pt shot from 17 ft
7:17.0,Defensive rebound by Team,,34-31,,
6:57.0,B. Lopez misses 2-pt shot from 2 ft,,34-31,,
6:55.0,,,34-31,,Defensive rebound by W. Barton
6:50.0,,,34-33,2,K. Faried makes 2-pt shot at rim (assist by W. Barton)
6:34.0,,,34-33,,Personal foul by J. Nelson (drawn by D. Williams)
6:34.0,M. Brown enters the game for T. Young,,34-33,,
6:34.0,,,34-33,,T. Lawson enters the game for J. Nelson
6:34.0,,,34-33,,D. Arthur enters the game for K. Faried
6:27.0,A. Anderson misses 3-pt shot from 24 ft,,34-33,,
6:25.0,Offensive rebound by A. Anderson,,34-33,,
6:22.0,A. Anderson makes 2-pt shot from 2 ft,2,36-33,,
6:05.0,,,36-33,,D. Arthur misses 2-pt shot from 17 ft
6:04.0,Defensive rebound by B. Lopez,,36-33,,
5:57.0,B. Lopez makes 2-pt shot from 7 ft (assist by D. Williams),2,38-33,,
5:47.0,,,38-33,,Shooting foul by M. Brown (drawn by W. Barton)
5:47.0,,,38-33,,Denver full timeout
5:47.0,M. Plumlee enters the game for B. Lopez,,38-33,,
5:47.0,,,38-33,,D. Gallinari enters the game for R. Foye
5:47.0,,,38-34,1,W. Barton makes free throw 1 of 2
5:47.0,,,38-35,1,W. Barton makes free throw 2 of 2
5:33.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Williams),2,40-35,,
5:26.0,,,40-38,3,W. Barton makes 3-pt shot from 24 ft (assist by T. Lawson)
5:13.0,D. Williams misses 2-pt shot from 4 ft,,40-38,,
5:11.0,,,40-38,,Defensive rebound by T. Lawson
5:01.0,,,40-38,,J. Nurkic misses 2-pt shot from 4 ft (block by J. Johnson)
5:00.0,,,40-38,,Offensive rebound by J. Nurkic
4:59.0,,,40-38,,Shooting foul by M. Plumlee (drawn by J. Nurkic)
4:59.0,,,40-38,,J. Nurkic misses free throw 1 of 2
4:59.0,,,40-38,,Offensive rebound by Team
4:59.0,,,40-38,,G. Harris enters the game for W. Barton
4:59.0,B. Lopez enters the game for M. Plumlee,,40-38,,
