time,Sacramento,pts.away,score,pts.home,LA Lakers
6:18.0,J. Thompson misses 2-pt shot from 19 ft,,15-9,,
6:17.0,,,15-9,,Defensive rebound by J. Hill
6:04.0,,,15-9,,Shooting foul by J. Thompson (drawn by J. Brown)
6:04.0,,,15-9,,J. Brown misses free throw 1 of 2
6:04.0,,,15-9,,Offensive rebound by Team
6:04.0,,,15-10,1,J. Brown makes free throw 2 of 2
5:51.0,N. Stauskas makes 2-pt shot from 16 ft (assist by J. Thompson),2,17-10,,
5:38.0,,,17-10,,V. Blue misses 3-pt shot from 26 ft
5:37.0,Defensive rebound by C. Landry,,17-10,,
5:20.0,C. Landry misses 2-pt shot from 1 ft (block by R. Kelly),,17-10,,
5:16.0,,,17-10,,Defensive rebound by E. Davis
5:06.0,,,17-10,,J. Hill misses 2-pt shot from 17 ft
5:04.0,Defensive rebound by J. Thompson,,17-10,,
4:54.0,R. McCallum misses 2-pt shot from 22 ft,,17-10,,
4:53.0,Offensive rebound by Team,,17-10,,
4:53.0,,,17-10,,LA Lakers full timeout
4:53.0,D. Williams enters the game for C. Landry,,17-10,,
4:44.0,B. McLemore misses 2-pt shot from 5 ft (block by E. Davis),,17-10,,
4:42.0,,,17-10,,Defensive rebound by J. Hill
4:22.0,,,17-10,,J. Hill misses 3-pt shot from 23 ft
4:21.0,Defensive rebound by R. McCallum,,17-10,,
4:07.0,B. McLemore makes 2-pt shot from 3 ft,2,19-10,,
3:48.0,,,19-10,,Turnover by E. Davis (lost ball; steal by R. McCallum)
3:43.0,R. McCallum makes 2-pt shot at rim (assist by N. Stauskas),2,21-10,,
3:23.0,,,21-13,3,R. Kelly makes 3-pt shot from 25 ft (assist by E. Davis)
3:15.0,B. McLemore makes 3-pt shot from 26 ft (assist by R. McCallum),3,24-13,,
2:58.0,,,24-15,2,J. Hill makes 2-pt shot from 16 ft (assist by V. Blue)
2:47.0,J. Thompson makes 2-pt shot from 3 ft (assist by R. McCallum),2,26-15,,
2:33.0,,,26-15,,J. Brown misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by J. Thompson,,26-15,,
2:28.0,Shooting foul by R. Kelly (drawn by R. McCallum),,26-15,,
2:28.0,Sacramento full timeout,,26-15,,
2:28.0,A. Miller enters the game for B. McLemore,,26-15,,
2:28.0,,,26-15,,R. Sacre enters the game for J. Hill
2:28.0,R. McCallum makes free throw 1 of 2,1,27-15,,
2:28.0,R. McCallum makes free throw 2 of 2,1,28-15,,
2:16.0,,,28-17,2,E. Davis makes 2-pt shot from 2 ft (assist by R. Kelly)
2:16.0,,,28-17,,Shooting foul by J. Thompson (drawn by E. Davis)
2:16.0,R. Hollins enters the game for J. Thompson,,28-17,,
2:16.0,,,28-18,1,E. Davis makes free throw 1 of 1
2:04.0,N. Stauskas misses 2-pt shot from 11 ft,,28-18,,
2:03.0,Offensive rebound by Team,,28-18,,
1:56.0,,,28-18,,Violation by R. Kelly (kicked ball)
1:46.0,D. Williams misses 2-pt shot from 1 ft (block by E. Davis),,28-18,,
1:44.0,Offensive rebound by R. Hollins,,28-18,,
1:44.0,R. Hollins misses 2-pt shot from 2 ft (block by E. Davis),,28-18,,
1:44.0,Offensive rebound by R. Hollins,,28-18,,
1:44.0,Shooting foul by E. Davis (drawn by R. Hollins),,28-18,,
1:44.0,R. Hollins misses free throw 1 of 2,,28-18,,
1:44.0,Offensive rebound by Team,,28-18,,
1:44.0,R. Hollins makes free throw 2 of 2,1,29-18,,
1:27.0,,,29-18,,R. Kelly misses 2-pt shot from 13 ft
1:23.0,Defensive rebound by R. Hollins,,29-18,,
1:19.0,D. Williams misses 2-pt shot from 1 ft (block by R. Sacre),,29-18,,
1:14.0,,,29-18,,Defensive rebound by V. Blue
1:11.0,,,29-20,2,V. Blue makes 2-pt shot from 2 ft
0:57.0,D. Williams misses 2-pt shot from 19 ft,,29-20,,
0:54.0,,,29-20,,Defensive rebound by E. Davis
0:37.0,,,29-23,3,V. Blue makes 3-pt shot from 26 ft (assist by R. Kelly)
0:29.0,R. McCallum makes 2-pt shot from 2 ft,2,31-23,,
0:11.0,,,31-23,,Turnover by J. Brown (lost ball; steal by R. McCallum)
0:06.0,D. Williams makes 2-pt shot at rim (assist by N. Stauskas),2,33-23,,
0:03.0,,,33-23,,J. Brown misses 2-pt shot from 14 ft
0:00.0,,,33-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by D. Williams (bad pass; steal by V. Blue),,33-23,,
11:44.0,,,33-25,2,R. Kelly makes 2-pt shot from 2 ft (assist by V. Blue)
11:29.0,,,33-25,,Personal foul by R. Sacre (drawn by R. Hollins)
11:18.0,D. Williams makes 2-pt shot from 18 ft,2,35-25,,
10:59.0,,,35-25,,E. Davis misses 2-pt shot from 3 ft
10:58.0,Defensive rebound by C. Landry,,35-25,,
10:45.0,D. Williams misses 2-pt shot from 18 ft,,35-25,,
10:44.0,Offensive rebound by Team,,35-25,,
10:44.0,,,35-25,,Loose ball foul by R. Kelly (drawn by R. Hollins)
10:34.0,R. Hollins makes 2-pt shot from 2 ft (assist by B. McLemore),2,37-25,,
10:22.0,,,37-25,,R. Sacre misses 2-pt shot from 4 ft
10:20.0,,,37-25,,Offensive rebound by R. Sacre
10:12.0,,,37-28,3,R. Kelly makes 3-pt shot from 26 ft (assist by R. Sacre)
10:00.0,,,37-28,,Personal foul by R. Sacre (drawn by R. Hollins)
10:00.0,,,37-28,,C. Boozer enters the game for R. Kelly
9:44.0,B. McLemore makes 2-pt shot from 1 ft,2,39-28,,
9:29.0,,,39-28,,V. Blue misses 3-pt shot from 26 ft
9:27.0,,,39-28,,Offensive rebound by C. Boozer
9:20.0,,,39-28,,Turnover by V. Blue (bad pass; steal by C. Landry)
9:16.0,Shooting foul by C. Boozer (drawn by C. Landry),,39-28,,
9:16.0,C. Landry makes free throw 1 of 2,1,40-28,,
9:16.0,D. Stockton enters the game for R. McCallum,,40-28,,
9:16.0,C. Landry makes free throw 2 of 2,1,41-28,,
9:03.0,,,41-28,,C. Boozer misses 2-pt shot from 4 ft
9:01.0,,,41-28,,Offensive rebound by E. Davis
9:00.0,,,41-30,2,V. Blue makes 2-pt shot from 2 ft
9:00.0,,,41-30,,Shooting foul by R. Hollins (drawn by V. Blue)
9:00.0,,,41-31,1,V. Blue makes free throw 1 of 1
8:44.0,D. Williams makes 2-pt shot from 1 ft,2,43-31,,
8:17.0,,,43-31,,V. Blue misses 3-pt shot from 27 ft
8:16.0,,,43-31,,Offensive rebound by C. Boozer
8:14.0,,,43-33,2,C. Boozer makes 2-pt shot from 7 ft
8:04.0,D. Williams makes 3-pt shot from 25 ft (assist by D. Stockton),3,46-33,,
7:47.0,,,46-35,2,C. Boozer makes 2-pt shot from 19 ft (assist by V. Blue)
7:29.0,D. Williams makes 3-pt shot from 25 ft (assist by D. Stockton),3,49-35,,
7:08.0,,,49-37,2,E. Davis makes 2-pt shot at rim (assist by J. Brown)
6:59.0,Turnover by C. Landry (traveling),,49-37,,
6:59.0,Official timeout,,49-37,,
6:59.0,,,49-37,,T. Black enters the game for R. Sacre
6:59.0,J. Thompson enters the game for R. Hollins,,49-37,,
6:50.0,,,49-37,,Turnover by J. Brown (lost ball; steal by D. Stockton)
6:37.0,B. McLemore makes 2-pt shot at rim (assist by D. Stockton),2,51-37,,
6:14.0,,,51-37,,J. Brown misses 2-pt shot from 7 ft
6:13.0,Defensive rebound by D. Williams,,51-37,,
6:05.0,J. Thompson makes 2-pt shot from 1 ft (assist by D. Williams),2,53-37,,
5:48.0,,,53-39,2,V. Blue makes 2-pt shot from 2 ft (assist by T. Black)
5:37.0,C. Landry makes 2-pt shot from 18 ft (assist by D. Stockton),2,55-39,,
5:26.0,,,55-39,,J. Brown misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by B. McLemore,,55-39,,
5:11.0,C. Landry misses 2-pt shot from 14 ft,,55-39,,
5:09.0,,,55-39,,Defensive rebound by C. Boozer
4:55.0,,,55-39,,Turnover by T. Black (lost ball; steal by B. McLemore)
4:53.0,D. Stockton makes 2-pt shot from 1 ft,2,57-39,,
4:53.0,Shooting foul by V. Blue (drawn by D. Stockton),,57-39,,
4:53.0,,,57-39,,LA Lakers full timeout
4:53.0,,,57-39,,J. Hill enters the game for E. Davis
4:53.0,D. Stockton misses free throw 1 of 1,,57-39,,
4:51.0,,,57-39,,Defensive rebound by J. Hill
4:28.0,,,57-41,2,C. Boozer makes 2-pt shot from 2 ft
4:08.0,J. Thompson makes 2-pt shot from 16 ft (assist by D. Stockton),2,59-41,,
3:50.0,,,59-41,,Shooting foul by D. Stockton (drawn by J. Hill)
3:50.0,,,59-42,1,J. Hill makes free throw 1 of 2
3:50.0,,,59-43,1,J. Hill makes free throw 2 of 2
3:36.0,Shooting foul by V. Blue (drawn by B. McLemore),,59-43,,
3:36.0,B. McLemore makes free throw 1 of 2,1,60-43,,
3:36.0,R. McCallum enters the game for D. Stockton,,60-43,,
3:36.0,B. McLemore makes free throw 2 of 2,1,61-43,,
3:19.0,,,61-45,2,J. Hill makes 2-pt shot from 17 ft
3:07.0,Shooting foul by J. Hill (drawn by D. Williams),,61-45,,
3:07.0,D. Williams misses free throw 1 of 2,,61-45,,
3:07.0,Offensive rebound by Team,,61-45,,
3:07.0,D. Williams makes free throw 2 of 2,1,62-45,,
2:50.0,,,62-47,2,C. Boozer makes 2-pt shot from 1 ft
2:38.0,D. Williams makes 2-pt shot from 16 ft,2,64-47,,
2:29.0,,,64-47,,C. Boozer misses 2-pt shot from 18 ft
2:27.0,,,64-47,,Offensive rebound by C. Boozer
2:27.0,,,64-47,,Shooting foul by C. Landry (drawn by C. Boozer)
2:27.0,Sacramento full timeout,,64-47,,
2:27.0,N. Stauskas enters the game for B. McLemore,,64-47,,
2:27.0,,,64-48,1,C. Boozer makes free throw 1 of 2
2:27.0,,,64-49,1,C. Boozer makes free throw 2 of 2
2:17.0,Shooting foul by J. Hill (drawn by C. Landry),,64-49,,
2:17.0,C. Landry makes free throw 1 of 2,1,65-49,,
2:17.0,C. Landry makes free throw 2 of 2,1,66-49,,
2:04.0,,,66-49,,C. Boozer misses 2-pt shot from 17 ft
2:02.0,,,66-49,,Offensive rebound by T. Black
2:02.0,,,66-49,,T. Black misses 2-pt shot from 1 ft
1:59.0,Defensive rebound by J. Thompson,,66-49,,
1:40.0,Shooting foul by C. Boozer (drawn by D. Williams),,66-49,,
1:40.0,D. Williams misses free throw 1 of 2,,66-49,,
1:40.0,Offensive rebound by Team,,66-49,,
1:40.0,R. Hollins enters the game for J. Thompson,,66-49,,
1:40.0,D. Williams makes free throw 2 of 2,1,67-49,,
1:25.0,,,67-51,2,J. Hill makes 2-pt shot from 5 ft
1:12.0,D. Williams misses 2-pt shot from 16 ft,,67-51,,
1:09.0,,,67-51,,Defensive rebound by V. Blue
1:00.0,,,67-51,,V. Blue misses 2-pt shot from 1 ft
1:00.0,,,67-51,,Offensive rebound by V. Blue
0:59.0,,,67-51,,V. Blue misses 2-pt shot from 2 ft
0:56.0,Defensive rebound by C. Landry,,67-51,,
0:46.0,R. Hollins misses 2-pt shot from 11 ft,,67-51,,
0:45.0,,,67-51,,Defensive rebound by C. Boozer
0:39.0,,,67-53,2,J. Brown makes 2-pt shot from 3 ft
0:30.0,R. McCallum misses 2-pt shot from 17 ft,,67-53,,
0:28.0,,,67-53,,Defensive rebound by C. Boozer
0:10.0,Violation by D. Williams (kicked ball),,67-53,,
0:08.0,Personal foul by R. McCallum (drawn by J. Brown),,67-53,,
0:01.0,,,67-53,,J. Brown misses 2-pt shot from 20 ft
0:00.0,,,67-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Thompson misses 2-pt shot from 18 ft,,67-53,,
11:44.0,,,67-53,,Defensive rebound by J. Brown
11:31.0,,,67-53,,Shooting foul by N. Stauskas (drawn by R. Kelly)
11:31.0,,,67-54,1,R. Kelly makes free throw 1 of 2
11:31.0,,,67-54,,R. Kelly misses free throw 2 of 2
11:29.0,,,67-54,,Offensive rebound by J. Hill
11:25.0,,,67-54,,V. Blue misses 2-pt shot from 2 ft
11:22.0,Defensive rebound by C. Landry,,67-54,,
11:06.0,J. Thompson makes 2-pt shot from 3 ft (assist by B. McLemore),2,69-54,,
10:54.0,,,69-54,,Turnover by J. Hill (lost ball; steal by R. McCallum)
10:53.0,R. McCallum makes flagrant free throw 1 of 2,1,70-54,,
10:53.0,R. McCallum misses flagrant free throw 2 of 2,,70-54,,
10:53.0,Offensive rebound by Team,,70-54,,
10:41.0,C. Landry misses 2-pt shot from 19 ft,,70-54,,
10:40.0,,,70-54,,Defensive rebound by V. Blue
10:26.0,,,70-57,3,J. Brown makes 3-pt shot from 23 ft (assist by V. Blue)
10:11.0,C. Landry makes 2-pt shot from 12 ft,2,72-57,,
10:11.0,Shooting foul by R. Kelly (drawn by C. Landry),,72-57,,
10:11.0,C. Landry misses free throw 1 of 1,,72-57,,
10:09.0,,,72-57,,Defensive rebound by T. Black
9:50.0,,,72-57,,V. Blue misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by N. Stauskas,,72-57,,
9:49.0,N. Stauskas makes 2-pt shot from 1 ft,2,74-57,,
9:34.0,,,74-57,,Turnover by J. Brown (lost ball)
9:26.0,B. McLemore misses 3-pt shot from 25 ft,,74-57,,
9:23.0,,,74-57,,Defensive rebound by J. Hill
9:18.0,,,74-57,,Turnover by J. Brown (bad pass; steal by B. McLemore)
9:13.0,R. McCallum makes 2-pt shot from 2 ft (assist by B. McLemore),2,76-57,,
8:58.0,,,76-57,,J. Hill misses 2-pt shot from 11 ft
8:57.0,Defensive rebound by R. McCallum,,76-57,,
8:47.0,R. McCallum misses 2-pt shot from 19 ft,,76-57,,
8:46.0,,,76-57,,Defensive rebound by R. Kelly
8:41.0,,,76-57,,Shooting foul by B. McLemore (drawn by J. Brown)
8:41.0,,,76-58,1,J. Brown makes free throw 1 of 2
8:41.0,,,76-59,1,J. Brown makes free throw 2 of 2
8:23.0,Shooting foul by J. Brown (drawn by J. Thompson),,76-59,,
8:23.0,J. Thompson misses free throw 1 of 2,,76-59,,
8:23.0,Offensive rebound by Team,,76-59,,
8:23.0,J. Thompson makes free throw 2 of 2,1,77-59,,
8:06.0,,,77-59,,R. Kelly misses 3-pt shot from 26 ft
8:05.0,,,77-59,,Offensive rebound by T. Black
8:01.0,,,77-61,2,T. Black makes 2-pt shot from 3 ft
7:55.0,,,77-61,,Personal foul by J. Brown (drawn by B. McLemore)
7:48.0,Shooting foul by T. Black (drawn by C. Landry),,77-61,,
7:48.0,C. Landry misses free throw 1 of 2,,77-61,,
7:48.0,Offensive rebound by Team,,77-61,,
7:48.0,C. Landry makes free throw 2 of 2,1,78-61,,
7:34.0,,,78-61,,J. Hill misses 2-pt shot from 21 ft
7:33.0,Defensive rebound by N. Stauskas,,78-61,,
7:18.0,N. Stauskas misses 3-pt shot from 26 ft,,78-61,,
7:17.0,,,78-61,,Defensive rebound by J. Hill
7:08.0,,,78-61,,Shooting foul by R. McCallum (drawn by J. Brown)
7:08.0,,,78-62,1,J. Brown makes free throw 1 of 2
7:08.0,,,78-63,1,J. Brown makes free throw 2 of 2
6:45.0,R. McCallum makes 2-pt shot from 1 ft,2,80-63,,
6:36.0,,,80-63,,Shooting foul by C. Landry (drawn by V. Blue)
6:36.0,,,80-64,1,V. Blue makes free throw 1 of 2
6:36.0,,,80-64,,V. Blue misses free throw 2 of 2
6:35.0,Defensive rebound by C. Landry,,80-64,,
6:18.0,N. Stauskas makes 3-pt shot from 23 ft (assist by R. McCallum),3,83-64,,
5:56.0,,,83-64,,Shooting foul by N. Stauskas (drawn by T. Black)
5:56.0,,,83-64,,LA Lakers full timeout
5:56.0,,,83-64,,T. Black misses free throw 1 of 2
5:56.0,,,83-64,,Offensive rebound by Team
5:56.0,,,83-65,1,T. Black makes free throw 2 of 2
5:43.0,B. McLemore misses 2-pt shot from 7 ft,,83-65,,
5:41.0,Offensive rebound by C. Landry,,83-65,,
5:30.0,N. Stauskas misses 2-pt shot from 20 ft,,83-65,,
5:26.0,,,83-65,,Defensive rebound by V. Blue
5:15.0,,,83-65,,V. Blue misses 2-pt shot from 16 ft
5:12.0,Defensive rebound by J. Thompson,,83-65,,
5:06.0,Turnover by J. Thompson (traveling),,83-65,,
4:46.0,,,83-65,,R. Kelly misses 2-pt shot from 12 ft
4:45.0,,,83-65,,Offensive rebound by T. Black
4:43.0,,,83-65,,J. Hill misses 3-pt shot from 23 ft
4:42.0,,,83-65,,Offensive rebound by Team
4:42.0,,,83-65,,Turnover by Team (shot clock)
4:42.0,D. Williams enters the game for C. Landry,,83-65,,
4:29.0,Turnover by N. Stauskas (lost ball; steal by J. Brown),,83-65,,
4:26.0,,,83-65,,Shooting foul by R. McCallum (drawn by J. Brown)
4:26.0,,,83-66,1,J. Brown makes free throw 1 of 2
4:26.0,,,83-67,1,J. Brown makes free throw 2 of 2
4:08.0,D. Williams misses 3-pt shot from 23 ft,,83-67,,
4:06.0,,,83-67,,Defensive rebound by V. Blue
3:59.0,,,83-67,,J. Brown misses 2-pt shot from 1 ft
3:56.0,Defensive rebound by B. McLemore,,83-67,,
3:38.0,B. McLemore misses 3-pt shot from 23 ft,,83-67,,
3:37.0,,,83-67,,Defensive rebound by R. Kelly
3:34.0,,,83-67,,Shooting foul by D. Williams (drawn by J. Brown)
3:34.0,,,83-68,1,J. Brown makes free throw 1 of 2
3:34.0,,,83-69,1,J. Brown makes free throw 2 of 2
3:26.0,,,83-69,,Personal block foul by J. Brown (drawn by R. McCallum)
3:26.0,R. McCallum misses free throw 1 of 2,,83-69,,
3:26.0,Offensive rebound by Team,,83-69,,
3:26.0,R. McCallum makes free throw 2 of 2,1,84-69,,
3:14.0,,,84-72,3,J. Brown makes 3-pt shot from 27 ft (assist by T. Black)
2:58.0,D. Williams makes 2-pt shot at rim (assist by N. Stauskas),2,86-72,,
2:39.0,,,86-75,3,J. Brown makes 3-pt shot from 26 ft (assist by V. Blue)
2:20.0,R. McCallum misses 2-pt shot from 1 ft,,86-75,,
2:19.0,,,86-75,,Defensive rebound by Team
2:19.0,Sacramento full timeout,,86-75,,
2:19.0,R. Hollins enters the game for J. Thompson,,86-75,,
1:58.0,,,86-75,,J. Hill misses 2-pt shot from 21 ft
1:57.0,Defensive rebound by D. Williams,,86-75,,
1:43.0,R. McCallum makes 2-pt shot from 2 ft,2,88-75,,
1:43.0,Shooting foul by J. Hill (drawn by R. McCallum),,88-75,,
1:43.0,D. Stockton enters the game for B. McLemore,,88-75,,
1:43.0,C. Landry enters the game for N. Stauskas,,88-75,,
1:43.0,R. McCallum misses free throw 1 of 1,,88-75,,
1:42.0,Offensive rebound by R. McCallum,,88-75,,
1:34.0,C. Landry makes 2-pt shot from 2 ft (assist by R. McCallum),2,90-75,,
1:34.0,Shooting foul by T. Black (drawn by C. Landry),,90-75,,
1:34.0,,,90-75,,E. Davis enters the game for T. Black
1:34.0,C. Landry makes free throw 1 of 1,1,91-75,,
1:20.0,,,91-75,,R. Kelly misses 2-pt shot from 15 ft
1:19.0,Defensive rebound by D. Williams,,91-75,,
1:01.0,R. McCallum misses 2-pt shot from 3 ft (block by J. Hill),,91-75,,
1:01.0,Offensive rebound by Team,,91-75,,
0:57.0,D. Williams makes 2-pt shot from 12 ft,2,93-75,,
0:45.0,,,93-75,,J. Hill misses 2-pt shot from 20 ft
0:44.0,Defensive rebound by R. McCallum,,93-75,,
0:39.0,Shooting foul by E. Davis (drawn by R. McCallum),,93-75,,
0:39.0,R. McCallum misses free throw 1 of 2,,93-75,,
0:39.0,Offensive rebound by Team,,93-75,,
0:39.0,R. McCallum makes free throw 2 of 2,1,94-75,,
0:29.0,,,94-77,2,J. Brown makes 2-pt shot from 21 ft
0:07.0,R. McCallum makes 2-pt shot from 5 ft,2,96-77,,
0:01.0,,,96-77,,J. Hill misses 3-pt shot from 26 ft
0:00.0,,,96-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,96-77,,E. Davis misses 2-pt shot from 7 ft
11:36.0,Defensive rebound by D. Williams,,96-77,,
11:19.0,C. Landry misses 2-pt shot from 21 ft,,96-77,,
11:18.0,,,96-77,,Defensive rebound by E. Davis
11:05.0,,,96-77,,R. Kelly misses 2-pt shot from 2 ft
11:01.0,Defensive rebound by D. Williams,,96-77,,
10:50.0,D. Williams misses 3-pt shot from 24 ft,,96-77,,
10:49.0,,,96-77,,Defensive rebound by E. Davis
10:35.0,,,96-77,,E. Davis misses 2-pt shot from 8 ft (block by R. Hollins)
10:33.0,Defensive rebound by C. Landry,,96-77,,
10:30.0,Turnover by R. McCallum (lost ball),,96-77,,
10:30.0,B. McLemore enters the game for R. McCallum,,96-77,,
10:13.0,,,96-77,,R. Sacre misses 2-pt shot from 10 ft
10:11.0,Defensive rebound by R. Hollins,,96-77,,
10:03.0,D. Stockton makes 3-pt shot from 26 ft (assist by D. Williams),3,99-77,,
9:44.0,,,99-77,,V. Blue misses 2-pt shot from 2 ft
9:43.0,,,99-77,,Offensive rebound by R. Sacre
9:43.0,,,99-77,,R. Sacre misses 2-pt shot from 3 ft
9:42.0,,,99-77,,Offensive rebound by Team
9:31.0,,,99-79,2,J. Brown makes 2-pt shot from 2 ft (assist by V. Blue)
9:24.0,B. McLemore misses 2-pt shot from 3 ft,,99-79,,
9:24.0,,,99-79,,Defensive rebound by Team
9:24.0,Loose ball foul by C. Landry (drawn by E. Davis),,99-79,,
9:08.0,,,99-79,,V. Blue misses 3-pt shot from 26 ft
9:06.0,,,99-79,,Offensive rebound by R. Sacre
9:02.0,,,99-79,,R. Kelly misses 3-pt shot from 25 ft
8:59.0,,,99-79,,Offensive rebound by V. Blue
8:59.0,,,99-79,,V. Blue misses 2-pt shot at rim
8:56.0,Defensive rebound by R. Hollins,,99-79,,
8:53.0,Shooting foul by E. Davis (drawn by R. Hollins),,99-79,,
8:53.0,Official timeout,,99-79,,
8:53.0,R. Hollins makes free throw 1 of 2,1,100-79,,
8:53.0,R. Hollins misses free throw 2 of 2,,100-79,,
8:52.0,,,100-79,,Defensive rebound by J. Brown
8:36.0,,,100-79,,R. Kelly misses 3-pt shot from 27 ft
8:35.0,Defensive rebound by Team,,100-79,,
8:19.0,R. Hollins makes 2-pt shot from 20 ft (assist by D. Williams),2,102-79,,
8:03.0,,,102-79,,V. Blue misses 2-pt shot from 3 ft (block by R. Hollins)
8:01.0,Defensive rebound by C. Landry,,102-79,,
7:54.0,C. Landry misses 2-pt shot from 4 ft (block by R. Sacre),,102-79,,
7:52.0,,,102-79,,Defensive rebound by E. Davis
7:49.0,,,102-81,2,J. Brown makes 2-pt shot from 2 ft (assist by V. Blue)
7:33.0,B. McLemore makes 2-pt shot from 20 ft,2,104-81,,
7:11.0,,,104-81,,V. Blue misses 2-pt shot from 5 ft
7:10.0,,,104-81,,Offensive rebound by E. Davis
7:08.0,,,104-83,2,E. Davis makes 2-pt shot at rim
6:58.0,Turnover by D. Stockton (bad pass; steal by E. Davis),,104-83,,
6:54.0,,,104-83,,Turnover by R. Sacre (bad pass)
6:54.0,N. Stauskas enters the game for C. Landry,,104-83,,
6:36.0,Turnover by B. McLemore (bad pass; steal by R. Kelly),,104-83,,
6:26.0,,,104-83,,Turnover by V. Blue (step out of bounds)
6:09.0,D. Williams makes 2-pt shot from 3 ft (assist by N. Stauskas),2,106-83,,
6:00.0,,,106-85,2,R. Sacre makes 2-pt shot from 9 ft (assist by R. Kelly)
5:52.0,D. Stockton misses 2-pt shot from 4 ft,,106-85,,
5:52.0,Offensive rebound by Team,,106-85,,
5:52.0,,,106-85,,Loose ball foul by E. Davis (drawn by R. Hollins)
5:52.0,,,106-85,,LA Lakers full timeout
5:42.0,Shooting foul by R. Kelly (drawn by R. Hollins),,106-85,,
5:42.0,R. Hollins misses free throw 1 of 2,,106-85,,
5:42.0,Offensive rebound by Team,,106-85,,
5:42.0,R. Hollins misses free throw 2 of 2,,106-85,,
5:41.0,,,106-85,,Defensive rebound by E. Davis
