time,Chicago,pts.away,score,pts.home,Boston
9:02.0,,,96-90,,M. Smart misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by T. Gibson,,96-90,,
9:01.0,,,96-90,,Personal foul by K. Olynyk (drawn by T. Gibson)
9:01.0,,,96-90,,J. Crowder enters the game for M. Smart
8:48.0,J. Butler misses 2-pt shot from 15 ft,,96-90,,
8:47.0,,,96-90,,Defensive rebound by B. Bass
8:34.0,,,96-90,,A. Bradley misses 2-pt shot from 18 ft
8:33.0,Defensive rebound by J. Butler,,96-90,,
8:24.0,,,96-90,,Violation by J. Crowder (kicked ball)
8:24.0,Official timeout,,96-90,,
8:17.0,A. Brooks makes 3-pt shot from 25 ft,3,99-90,,
7:54.0,,,99-92,2,B. Bass makes 2-pt shot from 16 ft (assist by P. Pressey)
7:34.0,Turnover by N. Mirotic (bad pass; steal by A. Bradley),,99-92,,
7:32.0,,,99-92,,Turnover by B. Bass (bad pass; steal by N. Mirotic)
7:31.0,,,99-92,,Personal foul by A. Bradley (drawn by N. Mirotic)
7:13.0,T. Gibson makes 2-pt shot from 11 ft,2,101-92,,
6:57.0,,,101-94,2,B. Bass makes 2-pt shot from 16 ft (assist by J. Crowder)
6:34.0,A. Brooks misses 2-pt shot from 6 ft,,101-94,,
6:33.0,,,101-94,,Defensive rebound by P. Pressey
6:25.0,,,101-94,,A. Bradley misses 3-pt shot from 23 ft
6:24.0,Defensive rebound by N. Mirotic,,101-94,,
6:19.0,J. Butler makes 2-pt shot at rim (assist by E. Moore),2,103-94,,
6:19.0,,,103-94,,Boston full timeout
6:19.0,D. Rose enters the game for J. Butler,,103-94,,
6:19.0,K. Hinrich enters the game for E. Moore,,103-94,,
6:19.0,,,103-94,,J. Sullinger enters the game for J. Crowder
6:19.0,,,103-94,,E. Turner enters the game for K. Olynyk
6:10.0,Personal foul by K. Hinrich (drawn by E. Turner),,103-94,,
6:04.0,,,103-94,,J. Sullinger misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by T. Gibson,,103-94,,
5:44.0,D. Rose makes 2-pt shot from 7 ft,2,105-94,,
5:28.0,Personal foul by A. Brooks (drawn by B. Bass),,105-94,,
5:28.0,,,105-94,,M. Smart enters the game for P. Pressey
5:14.0,,,105-94,,J. Sullinger misses 2-pt shot from 17 ft
5:13.0,,,105-94,,Offensive rebound by Team
5:13.0,,,105-94,,Turnover by Team (shot clock)
5:00.0,N. Mirotic misses 3-pt shot from 24 ft,,105-94,,
4:59.0,,,105-94,,Defensive rebound by J. Sullinger
4:47.0,,,105-94,,Loose ball foul by J. Sullinger (drawn by A. Brooks)
4:47.0,,,105-94,,Turnover by J. Sullinger (offensive foul)
4:47.0,P. Gasol enters the game for N. Mirotic,,105-94,,
4:47.0,,,105-94,,T. Zeller enters the game for B. Bass
4:35.0,A. Brooks makes 3-pt shot from 23 ft (assist by K. Hinrich),3,108-94,,
4:02.0,,,108-94,,J. Sullinger misses 2-pt shot from 2 ft
4:01.0,Defensive rebound by K. Hinrich,,108-94,,
3:57.0,D. Rose makes 3-pt shot from 25 ft,3,111-94,,
3:47.0,,,111-94,,E. Turner misses 2-pt shot at rim (block by K. Hinrich)
3:46.0,Defensive rebound by A. Brooks,,111-94,,
3:41.0,A. Brooks misses 2-pt shot from 1 ft,,111-94,,
3:40.0,,,111-94,,Defensive rebound by A. Bradley
3:28.0,,,111-94,,T. Zeller misses 2-pt shot from 16 ft
3:27.0,Defensive rebound by T. Gibson,,111-94,,
3:10.0,Offensive charge foul by A. Brooks,,111-94,,
3:10.0,Turnover by A. Brooks (offensive foul),,111-94,,
3:10.0,,,111-94,,K. Olynyk enters the game for T. Zeller
2:57.0,,,111-97,3,J. Sullinger makes 3-pt shot from 24 ft (assist by E. Turner)
2:36.0,P. Gasol misses 2-pt shot from 15 ft (block by J. Sullinger),,111-97,,
2:35.0,,,111-97,,Defensive rebound by E. Turner
2:24.0,,,111-99,2,J. Sullinger makes 2-pt shot from 8 ft
2:02.0,T. Gibson makes 2-pt shot at rim (assist by P. Gasol),2,113-99,,
1:50.0,Personal foul by A. Brooks (drawn by M. Smart),,113-99,,
1:50.0,Chicago full timeout,,113-99,,
1:50.0,J. Butler enters the game for A. Brooks,,113-99,,
1:45.0,,,113-99,,J. Sullinger misses 2-pt shot at rim (block by P. Gasol)
1:44.0,Defensive rebound by J. Butler,,113-99,,
1:35.0,D. Rose makes 3-pt shot from 25 ft,3,116-99,,
1:22.0,,,116-101,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
1:03.0,D. Rose makes 3-pt shot from 25 ft (assist by K. Hinrich),3,119-101,,
0:54.0,,,119-101,,J. Sullinger misses 3-pt shot from 26 ft
0:52.0,Defensive rebound by T. Gibson,,119-101,,
0:37.0,J. Butler misses 3-pt shot from 25 ft,,119-101,,
0:35.0,Offensive rebound by P. Gasol,,119-101,,
0:25.0,,,119-101,,Personal foul by J. Sullinger (drawn by P. Gasol)
0:25.0,A. Brooks enters the game for D. Rose,,119-101,,
0:25.0,,,119-101,,P. Pressey enters the game for A. Bradley
0:14.0,Turnover by P. Gasol (lost ball; steal by J. Sullinger),,119-101,,
0:05.0,,,119-103,2,K. Olynyk makes 2-pt shot at rim (assist by M. Smart)
0:00.0,End of 4th quarter,,,,End of 4th quarter
