time,Portland,pts.away,score,pts.home,Orlando
7:10.0,,,4-11,,N. Vucevic misses 2-pt shot from 18 ft
7:09.0,Defensive rebound by N. Batum,,4-11,,
7:00.0,L. Aldridge misses 3-pt shot from 24 ft,,4-11,,
6:59.0,,,4-11,,Defensive rebound by E. Payton
6:55.0,,,4-13,2,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton)
6:55.0,,,4-13,,Shooting foul by R. Lopez (drawn by N. Vucevic)
6:55.0,,,4-13,,N. Vucevic misses free throw 1 of 1
6:54.0,Defensive rebound by L. Aldridge,,4-13,,
6:38.0,,,4-13,,Personal foul by M. Harkless (drawn by N. Batum)
6:31.0,N. Batum makes 3-pt shot from 25 ft (assist by D. Lillard),3,7-13,,
6:20.0,,,7-13,,N. Vucevic misses 2-pt shot from 20 ft
6:18.0,Defensive rebound by N. Batum,,7-13,,
6:14.0,,,7-13,,Personal foul by E. Payton (drawn by D. Lillard)
6:00.0,L. Aldridge makes 2-pt shot from 18 ft,2,9-13,,
5:41.0,,,9-13,,V. Oladipo misses 2-pt shot from 9 ft
5:37.0,,,9-13,,Offensive rebound by V. Oladipo
5:37.0,,,9-15,2,V. Oladipo makes 2-pt shot from 1 ft
5:25.0,Turnover by N. Batum (bad pass),,9-15,,
5:25.0,C. Kaman enters the game for R. Lopez,,9-15,,
5:25.0,C. McCollum enters the game for A. Afflalo,,9-15,,
5:00.0,,,9-15,,N. Vucevic misses 2-pt shot from 8 ft
4:59.0,Defensive rebound by L. Aldridge,,9-15,,
4:51.0,Turnover by N. Batum (lost ball; steal by E. Payton),,9-15,,
4:46.0,,,9-17,2,E. Payton makes 2-pt shot at rim
4:29.0,,,9-17,,Violation by C. Frye (kicked ball)
4:17.0,Turnover by C. Kaman (3 sec),,9-17,,
3:56.0,,,9-17,,V. Oladipo misses 2-pt shot from 20 ft
3:55.0,Defensive rebound by C. Kaman,,9-17,,
3:49.0,N. Batum misses 3-pt shot from 25 ft,,9-17,,
3:47.0,,,9-17,,Defensive rebound by Team
3:47.0,,,9-17,,Orlando full timeout
3:25.0,,,9-17,,C. Frye misses 2-pt shot from 7 ft
3:24.0,Defensive rebound by C. Kaman,,9-17,,
3:06.0,L. Aldridge misses 2-pt shot from 11 ft,,9-17,,
3:03.0,Offensive rebound by N. Batum,,9-17,,
2:56.0,C. McCollum misses 2-pt shot from 1 ft,,9-17,,
2:55.0,Offensive rebound by C. Kaman,,9-17,,
2:55.0,C. Kaman makes 2-pt shot from 1 ft,2,11-17,,
2:44.0,,,11-19,2,N. Vucevic makes 2-pt shot from 11 ft (assist by E. Payton)
2:19.0,,,11-19,,Personal foul by M. Harkless (drawn by N. Batum)
2:19.0,N. Batum makes free throw 1 of 3,1,12-19,,
2:19.0,N. Batum makes free throw 2 of 3,1,13-19,,
2:19.0,,,13-19,,B. Gordon enters the game for C. Frye
2:19.0,,,13-19,,A. Nicholson enters the game for V. Oladipo
2:19.0,S. Blake enters the game for D. Lillard,,13-19,,
2:19.0,N. Batum makes free throw 3 of 3,1,14-19,,
2:08.0,,,14-19,,A. Nicholson misses 2-pt shot from 14 ft
2:05.0,Defensive rebound by S. Blake,,14-19,,
1:47.0,C. McCollum makes 3-pt shot from 26 ft (assist by L. Aldridge),3,17-19,,
1:34.0,,,17-21,2,E. Payton makes 2-pt shot from 1 ft
1:16.0,C. McCollum misses 3-pt shot from 23 ft,,17-21,,
1:14.0,Offensive rebound by C. Kaman,,17-21,,
1:13.0,C. Kaman makes 2-pt shot at rim,2,19-21,,
1:02.0,Personal foul by C. McCollum (drawn by M. Harkless),,19-21,,
1:02.0,A. Afflalo enters the game for N. Batum,,19-21,,
0:54.0,,,19-21,,N. Vucevic misses 2-pt shot from 4 ft
0:52.0,Defensive rebound by S. Blake,,19-21,,
0:45.0,L. Aldridge misses 2-pt shot from 21 ft,,19-21,,
0:43.0,,,19-21,,Defensive rebound by B. Gordon
0:29.0,,,19-21,,Shooting foul by C. Kaman (drawn by A. Nicholson)
0:29.0,,,19-21,,A. Nicholson misses free throw 1 of 2
0:29.0,,,19-21,,Offensive rebound by Team
0:29.0,,,19-21,,K. O'Quinn enters the game for N. Vucevic
0:29.0,,,19-22,1,A. Nicholson makes free throw 2 of 2
0:06.0,L. Aldridge misses 2-pt shot from 22 ft,,19-22,,
0:05.0,,,19-22,,Defensive rebound by B. Gordon
0:00.0,,,19-25,3,B. Gordon makes 3-pt shot from 26 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,C. Kaman makes 2-pt shot from 6 ft,2,21-25,,
11:45.0,Shooting foul by K. O'Quinn (drawn by C. Kaman),,21-25,,
11:45.0,C. Kaman misses free throw 1 of 1,,21-25,,
11:43.0,,,21-25,,Defensive rebound by K. O'Quinn
11:27.0,,,21-27,2,A. Nicholson makes 2-pt shot at rim (assist by K. O'Quinn)
11:05.0,A. Afflalo makes 2-pt shot from 14 ft,2,23-27,,
10:41.0,,,23-29,2,A. Nicholson makes 2-pt shot at rim (assist by B. Gordon)
10:22.0,D. Wright misses 3-pt shot from 25 ft,,23-29,,
10:21.0,,,23-29,,Defensive rebound by L. Ridnour
10:11.0,,,23-29,,Shooting foul by C. McCollum (drawn by A. Nicholson)
10:11.0,,,23-30,1,A. Nicholson makes free throw 1 of 2
10:11.0,M. Leonard enters the game for C. McCollum,,23-30,,
10:11.0,,,23-31,1,A. Nicholson makes free throw 2 of 2
9:56.0,,,23-31,,Personal foul by K. O'Quinn (drawn by C. Kaman)
9:45.0,Turnover by A. Afflalo (lost ball; steal by A. Nicholson),,23-31,,
9:40.0,,,23-33,2,B. Gordon makes 2-pt shot from 12 ft
9:24.0,C. Kaman makes 2-pt shot from 1 ft,2,25-33,,
9:14.0,,,25-35,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by B. Gordon)
9:03.0,S. Blake misses 2-pt shot from 1 ft,,25-35,,
9:02.0,,,25-35,,Defensive rebound by A. Nicholson
8:54.0,,,25-38,3,L. Ridnour makes 3-pt shot from 25 ft
8:54.0,Portland full timeout,,25-38,,
8:54.0,D. Lillard enters the game for S. Blake,,25-38,,
8:38.0,M. Leonard misses 3-pt shot from 25 ft,,25-38,,
8:37.0,,,25-38,,Defensive rebound by B. Gordon
8:22.0,,,25-38,,Offensive foul by A. Nicholson
8:22.0,,,25-38,,Turnover by A. Nicholson (offensive foul)
8:22.0,R. Lopez enters the game for C. Kaman,,25-38,,
8:07.0,D. Lillard makes 2-pt shot from 13 ft,2,27-38,,
7:51.0,,,27-38,,L. Ridnour misses 2-pt shot from 14 ft
7:50.0,Defensive rebound by D. Wright,,27-38,,
7:42.0,D. Lillard makes 2-pt shot from 1 ft,2,29-38,,
7:42.0,Shooting foul by L. Ridnour (drawn by D. Lillard),,29-38,,
7:42.0,D. Lillard makes free throw 1 of 1,1,30-38,,
7:16.0,,,30-40,2,B. Gordon makes 2-pt shot from 8 ft (assist by L. Ridnour)
7:03.0,Shooting foul by A. Gordon (drawn by R. Lopez),,30-40,,
7:03.0,R. Lopez makes free throw 1 of 2,1,31-40,,
7:03.0,,,31-40,,V. Oladipo enters the game for L. Ridnour
7:03.0,C. McCollum enters the game for A. Afflalo,,31-40,,
7:03.0,N. Batum enters the game for D. Wright,,31-40,,
7:03.0,R. Lopez makes free throw 2 of 2,1,32-40,,
6:48.0,,,32-40,,K. O'Quinn misses 3-pt shot from 24 ft
6:47.0,Defensive rebound by M. Leonard,,32-40,,
6:41.0,R. Lopez misses 2-pt shot from 7 ft,,32-40,,
6:39.0,,,32-40,,Defensive rebound by A. Gordon
6:28.0,,,32-42,2,K. O'Quinn makes 2-pt shot at rim (assist by B. Gordon)
6:16.0,,,32-42,,Personal foul by B. Gordon (drawn by C. McCollum)
6:16.0,C. McCollum makes free throw 1 of 2,1,33-42,,
6:16.0,C. McCollum makes free throw 2 of 2,1,34-42,,
5:58.0,,,34-42,,A. Gordon misses 2-pt shot from 1 ft
5:55.0,Defensive rebound by D. Lillard,,34-42,,
5:44.0,D. Lillard makes 2-pt shot at rim,2,36-42,,
5:43.0,,,36-42,,Orlando full timeout
5:43.0,L. Aldridge enters the game for M. Leonard,,36-42,,
5:43.0,,,36-42,,E. Payton enters the game for B. Gordon
5:43.0,,,36-42,,C. Frye enters the game for A. Nicholson
5:43.0,,,36-42,,N. Vucevic enters the game for K. O'Quinn
5:43.0,,,36-42,,M. Harkless enters the game for A. Gordon
5:32.0,,,36-42,,V. Oladipo misses 2-pt shot from 2 ft (block by L. Aldridge)
5:30.0,,,36-42,,Offensive rebound by N. Vucevic
5:23.0,Personal foul by C. McCollum (drawn by C. Frye),,36-42,,
5:16.0,,,36-44,2,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton)
5:00.0,D. Lillard misses 3-pt shot from 25 ft,,36-44,,
4:59.0,,,36-44,,Defensive rebound by N. Vucevic
4:44.0,,,36-46,2,E. Payton makes 2-pt shot from 10 ft
4:24.0,L. Aldridge makes 2-pt shot from 9 ft,2,38-46,,
4:03.0,,,38-46,,V. Oladipo misses 3-pt shot from 22 ft
4:02.0,Defensive rebound by L. Aldridge,,38-46,,
3:54.0,R. Lopez makes 2-pt shot at rim (assist by D. Lillard),2,40-46,,
3:35.0,,,40-48,2,V. Oladipo makes 2-pt shot from 9 ft (assist by E. Payton)
3:23.0,,,40-48,,Personal foul by E. Payton (drawn by D. Lillard)
3:23.0,A. Afflalo enters the game for C. McCollum,,40-48,,
3:23.0,D. Lillard makes free throw 1 of 2,1,41-48,,
3:23.0,D. Lillard makes free throw 2 of 2,1,42-48,,
3:11.0,,,42-50,2,E. Payton makes 2-pt shot from 1 ft
3:00.0,,,42-50,,Personal block foul by V. Oladipo (drawn by D. Lillard)
3:00.0,D. Lillard makes free throw 1 of 2,1,43-50,,
3:00.0,D. Lillard makes free throw 2 of 2,1,44-50,,
2:49.0,,,44-52,2,N. Vucevic makes 2-pt shot from 1 ft
2:43.0,Turnover by D. Lillard (bad pass; steal by E. Payton),,44-52,,
2:36.0,,,44-52,,Turnover by N. Vucevic (lost ball; steal by D. Lillard)
2:32.0,D. Lillard misses 2-pt shot from 1 ft (block by M. Harkless),,44-52,,
2:28.0,Offensive rebound by D. Lillard,,44-52,,
2:22.0,D. Lillard misses 3-pt shot from 22 ft,,44-52,,
2:21.0,,,44-52,,Defensive rebound by C. Frye
2:21.0,,,44-52,,Turnover by C. Frye (traveling)
2:21.0,Official timeout,,44-52,,
2:16.0,N. Batum misses 2-pt shot from 6 ft,,44-52,,
2:15.0,Offensive rebound by R. Lopez,,44-52,,
2:11.0,Shooting foul by C. Frye (drawn by R. Lopez),,44-52,,
2:11.0,R. Lopez makes free throw 1 of 2,1,45-52,,
2:11.0,R. Lopez makes free throw 2 of 2,1,46-52,,
2:01.0,,,46-54,2,E. Payton makes 2-pt shot at rim (assist by N. Vucevic)
1:34.0,A. Afflalo makes 3-pt shot from 24 ft (assist by N. Batum),3,49-54,,
1:16.0,,,49-56,2,N. Vucevic makes 2-pt shot from 15 ft (assist by V. Oladipo)
0:55.0,L. Aldridge makes 2-pt shot at rim,2,51-56,,
0:40.0,,,51-56,,N. Vucevic misses 2-pt shot from 4 ft
0:39.0,Defensive rebound by N. Batum,,51-56,,
0:32.0,R. Lopez makes 2-pt shot at rim (assist by N. Batum),2,53-56,,
0:29.0,,,53-56,,Orlando full timeout
0:15.0,,,53-58,2,M. Harkless makes 2-pt shot from 1 ft (assist by E. Payton)
0:15.0,Portland full timeout,,53-58,,
0:15.0,C. McCollum enters the game for R. Lopez,,53-58,,
0:15.0,,,53-58,,A. Gordon enters the game for C. Frye
0:00.0,D. Lillard makes 2-pt shot from 2 ft,2,55-58,,
0:00.0,Shooting foul by A. Gordon (drawn by D. Lillard),,55-58,,
0:00.0,D. Lillard makes free throw 1 of 1,1,56-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Lillard misses 3-pt shot from 22 ft,,56-58,,
11:42.0,,,56-58,,Defensive rebound by M. Harkless
11:35.0,,,56-60,2,E. Payton makes 2-pt shot from 2 ft
11:15.0,L. Aldridge misses 2-pt shot from 13 ft,,56-60,,
11:14.0,Offensive rebound by R. Lopez,,56-60,,
11:14.0,R. Lopez makes 2-pt shot at rim,2,58-60,,
10:49.0,Personal foul by N. Batum (drawn by N. Vucevic),,58-60,,
10:41.0,,,58-60,,N. Vucevic misses 3-pt shot from 26 ft
10:39.0,Defensive rebound by A. Afflalo,,58-60,,
10:21.0,L. Aldridge makes 3-pt shot from 26 ft,3,61-60,,
10:08.0,,,61-60,,Shooting foul by N. Batum (drawn by M. Harkless)
10:08.0,,,61-60,,M. Harkless misses free throw 1 of 2
10:08.0,,,61-60,,Offensive rebound by Team
10:08.0,,,61-60,,M. Harkless misses free throw 2 of 2
10:06.0,Defensive rebound by L. Aldridge,,61-60,,
9:56.0,L. Aldridge makes 3-pt shot from 26 ft (assist by D. Lillard),3,64-60,,
9:37.0,,,64-60,,V. Oladipo misses 2-pt shot at rim
9:35.0,,,64-60,,Offensive rebound by V. Oladipo
9:34.0,,,64-60,,V. Oladipo misses 2-pt shot at rim
9:31.0,,,64-60,,Offensive rebound by V. Oladipo
9:22.0,,,64-60,,Turnover by E. Payton (bad pass; steal by N. Batum)
9:16.0,Turnover by N. Batum (bad pass; steal by M. Harkless),,64-60,,
9:04.0,,,64-60,,M. Harkless misses 3-pt shot from 23 ft
9:03.0,Defensive rebound by L. Aldridge,,64-60,,
8:56.0,,,64-60,,Personal foul by V. Oladipo (drawn by A. Afflalo)
8:42.0,D. Lillard misses 3-pt shot from 25 ft,,64-60,,
8:39.0,,,64-60,,Defensive rebound by N. Vucevic
8:28.0,,,64-60,,N. Vucevic misses 2-pt shot at rim
8:25.0,,,64-60,,Offensive rebound by N. Vucevic
8:25.0,,,64-62,2,N. Vucevic makes 2-pt shot from 1 ft
8:02.0,L. Aldridge makes 2-pt shot from 10 ft,2,66-62,,
7:44.0,,,66-64,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
7:30.0,L. Aldridge makes 2-pt shot at rim (assist by D. Lillard),2,68-64,,
7:13.0,,,68-64,,V. Oladipo misses 2-pt shot from 10 ft
7:11.0,Defensive rebound by D. Lillard,,68-64,,
7:01.0,L. Aldridge misses 2-pt shot from 14 ft,,68-64,,
6:58.0,Offensive rebound by N. Batum,,68-64,,
6:58.0,N. Batum makes 2-pt shot from 3 ft,2,70-64,,
6:58.0,,,70-64,,Orlando full timeout
6:58.0,,,70-64,,K. O'Quinn enters the game for C. Frye
6:58.0,,,70-64,,A. Nicholson enters the game for N. Vucevic
6:37.0,,,70-64,,A. Nicholson misses 2-pt shot from 20 ft
6:36.0,Defensive rebound by N. Batum,,70-64,,
6:26.0,L. Aldridge misses 2-pt shot from 17 ft,,70-64,,
6:25.0,,,70-64,,Defensive rebound by K. O'Quinn
6:15.0,,,70-64,,V. Oladipo misses 2-pt shot at rim
6:13.0,Defensive rebound by L. Aldridge,,70-64,,
6:04.0,A. Afflalo misses 2-pt shot from 21 ft,,70-64,,
6:03.0,,,70-64,,Defensive rebound by V. Oladipo
5:53.0,,,70-66,2,A. Nicholson makes 2-pt shot from 19 ft (assist by V. Oladipo)
5:52.0,,,70-66,,Violation by Team (delay of game)
5:33.0,L. Aldridge misses 2-pt shot from 5 ft,,70-66,,
5:32.0,,,70-66,,Defensive rebound by K. O'Quinn
5:28.0,,,70-66,,V. Oladipo misses 2-pt shot at rim (block by A. Afflalo)
5:28.0,,,70-66,,Offensive rebound by Team
5:28.0,M. Leonard enters the game for R. Lopez,,70-66,,
5:16.0,,,70-69,3,V. Oladipo makes 3-pt shot from 25 ft
4:55.0,M. Leonard misses 2-pt shot from 6 ft,,70-69,,
4:53.0,,,70-69,,Defensive rebound by A. Nicholson
4:45.0,,,70-69,,E. Payton misses 2-pt shot from 4 ft
4:43.0,,,70-69,,Offensive rebound by E. Payton
4:43.0,,,70-69,,E. Payton misses 2-pt shot at rim
4:42.0,,,70-69,,Offensive rebound by E. Payton
4:42.0,,,70-71,2,E. Payton makes 2-pt shot at rim
4:29.0,Shooting foul by K. O'Quinn (drawn by L. Aldridge),,70-71,,
4:29.0,L. Aldridge makes free throw 1 of 2,1,71-71,,
4:29.0,C. McCollum enters the game for N. Batum,,71-71,,
4:29.0,A. Gee enters the game for A. Afflalo,,71-71,,
4:29.0,L. Aldridge makes free throw 2 of 2,1,72-71,,
4:08.0,,,72-73,2,V. Oladipo makes 2-pt shot from 15 ft
3:50.0,Turnover by C. McCollum (bad pass; steal by A. Nicholson),,72-73,,
3:39.0,,,72-73,,A. Nicholson misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by D. Lillard,,72-73,,
3:27.0,M. Leonard misses 3-pt shot from 25 ft,,72-73,,
3:26.0,,,72-73,,Defensive rebound by E. Payton
3:19.0,,,72-73,,V. Oladipo misses 2-pt shot from 1 ft
3:17.0,Defensive rebound by L. Aldridge,,72-73,,
3:04.0,,,72-73,,Personal foul by A. Nicholson (drawn by L. Aldridge)
3:04.0,L. Aldridge makes free throw 1 of 2,1,73-73,,
3:04.0,,,73-73,,B. Gordon enters the game for M. Harkless
3:04.0,L. Aldridge makes free throw 2 of 2,1,74-73,,
2:47.0,Personal foul by A. Gee (drawn by A. Nicholson),,74-73,,
2:47.0,Portland full timeout,,74-73,,
2:47.0,S. Blake enters the game for D. Lillard,,74-73,,
2:39.0,,,74-73,,V. Oladipo misses 2-pt shot from 1 ft
2:35.0,Defensive rebound by A. Gee,,74-73,,
2:16.0,M. Leonard makes 3-pt shot from 25 ft (assist by L. Aldridge),3,77-73,,
1:52.0,,,77-73,,Turnover by V. Oladipo (bad pass; steal by A. Gee)
1:47.0,A. Gee misses 2-pt shot at rim,,77-73,,
1:46.0,Offensive rebound by L. Aldridge,,77-73,,
1:46.0,L. Aldridge makes 2-pt shot at rim,2,79-73,,
1:27.0,,,79-75,2,V. Oladipo makes 2-pt shot from 19 ft
1:03.0,L. Aldridge makes 2-pt shot from 13 ft,2,81-75,,
0:47.0,,,81-75,,K. O'Quinn misses 2-pt shot from 16 ft
0:46.0,Defensive rebound by L. Aldridge,,81-75,,
0:28.0,L. Aldridge misses 2-pt shot from 16 ft,,81-75,,
0:27.0,,,81-75,,Defensive rebound by V. Oladipo
0:04.0,,,81-75,,V. Oladipo misses 2-pt shot from 19 ft
0:03.0,Defensive rebound by L. Aldridge,,81-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,81-75,,Turnover by L. Ridnour (bad pass; steal by C. McCollum)
11:45.0,Shooting foul by L. Ridnour (drawn by C. McCollum),,81-75,,
11:45.0,C. McCollum makes free throw 1 of 2,1,82-75,,
11:45.0,C. McCollum misses free throw 2 of 2,,82-75,,
11:43.0,,,82-75,,Defensive rebound by A. Nicholson
11:20.0,,,82-77,2,L. Ridnour makes 2-pt shot from 18 ft (assist by C. Frye)
11:03.0,Turnover by M. Leonard (bad pass; steal by A. Gordon),,82-77,,
10:58.0,,,82-77,,Shooting foul by M. Leonard (drawn by A. Gordon)
10:58.0,,,82-78,1,A. Gordon makes free throw 1 of 2
10:58.0,,,82-79,1,A. Gordon makes free throw 2 of 2
10:40.0,,,82-79,,Violation by C. Frye (kicked ball)
10:35.0,C. McCollum makes 2-pt shot from 14 ft,2,84-79,,
10:22.0,,,84-81,2,B. Gordon makes 2-pt shot from 13 ft (assist by L. Ridnour)
10:06.0,C. McCollum misses 2-pt shot from 15 ft,,84-81,,
10:04.0,,,84-81,,Defensive rebound by A. Gordon
9:56.0,,,84-81,,B. Gordon misses 3-pt shot from 26 ft
9:56.0,,,84-81,,Offensive rebound by Team
9:56.0,Loose ball foul by J. Freeland (drawn by A. Nicholson),,84-81,,
9:56.0,D. Lillard enters the game for C. McCollum,,84-81,,
9:56.0,A. Afflalo enters the game for S. Blake,,84-81,,
9:56.0,N. Batum enters the game for A. Gee,,84-81,,
9:43.0,,,84-81,,A. Nicholson misses 2-pt shot from 11 ft
9:39.0,Defensive rebound by M. Leonard,,84-81,,
9:27.0,D. Lillard misses 2-pt shot from 16 ft,,84-81,,
9:26.0,,,84-81,,Defensive rebound by A. Nicholson
9:16.0,Personal foul by D. Lillard (drawn by C. Frye),,84-81,,
9:16.0,,,84-81,,N. Vucevic enters the game for A. Nicholson
9:10.0,,,84-81,,Shooting foul by A. Afflalo (drawn by B. Gordon)
9:10.0,,,84-82,1,B. Gordon makes free throw 1 of 2
9:10.0,,,84-83,1,B. Gordon makes free throw 2 of 2
8:54.0,A. Afflalo misses 2-pt shot from 18 ft,,84-83,,
8:52.0,Offensive rebound by M. Leonard,,84-83,,
8:52.0,M. Leonard makes 2-pt shot from 1 ft,2,86-83,,
8:32.0,,,86-83,,C. Frye misses 2-pt shot from 4 ft
8:30.0,Defensive rebound by M. Leonard,,86-83,,
8:08.0,N. Batum misses 3-pt shot from 28 ft,,86-83,,
8:08.0,,,86-83,,Defensive rebound by Team
8:08.0,Official timeout,,86-83,,
7:58.0,Personal foul by M. Leonard (drawn by C. Frye),,86-83,,
7:58.0,,,86-84,1,C. Frye makes free throw 1 of 2
7:58.0,,,86-85,1,C. Frye makes free throw 2 of 2
7:40.0,D. Lillard misses 2-pt shot from 16 ft,,86-85,,
7:39.0,,,86-85,,Defensive rebound by A. Gordon
7:30.0,,,86-85,,N. Vucevic misses 2-pt shot from 5 ft
7:27.0,Defensive rebound by N. Batum,,86-85,,
7:19.0,J. Freeland misses 2-pt shot from 17 ft,,86-85,,
7:17.0,,,86-85,,Defensive rebound by L. Ridnour
7:05.0,,,86-85,,B. Gordon misses 2-pt shot from 17 ft
7:04.0,Defensive rebound by N. Batum,,86-85,,
6:52.0,,,86-85,,Personal foul by L. Ridnour (drawn by D. Lillard)
6:52.0,L. Aldridge enters the game for M. Leonard,,86-85,,
6:52.0,R. Lopez enters the game for J. Freeland,,86-85,,
6:52.0,,,86-85,,E. Payton enters the game for L. Ridnour
6:52.0,,,86-85,,V. Oladipo enters the game for B. Gordon
6:50.0,Turnover by N. Batum (bad pass; steal by N. Vucevic),,86-85,,
6:43.0,,,86-85,,N. Vucevic misses 2-pt shot from 18 ft
6:41.0,,,86-85,,Offensive rebound by A. Gordon
6:39.0,,,86-87,2,A. Gordon makes 2-pt shot from 4 ft
6:17.0,L. Aldridge misses 2-pt shot from 17 ft,,86-87,,
6:16.0,,,86-87,,Defensive rebound by A. Gordon
6:07.0,,,86-87,,V. Oladipo misses 2-pt shot from 16 ft
6:04.0,,,86-87,,Offensive rebound by E. Payton
5:59.0,,,86-90,3,V. Oladipo makes 3-pt shot from 25 ft (assist by E. Payton)
5:57.0,Portland full timeout,,86-90,,
5:44.0,L. Aldridge makes 2-pt shot from 15 ft,2,88-90,,
5:25.0,,,88-90,,N. Vucevic misses 2-pt shot from 6 ft
5:24.0,,,88-90,,Offensive rebound by E. Payton
5:23.0,,,88-92,2,E. Payton makes 2-pt shot at rim
5:03.0,D. Lillard misses 2-pt shot at rim,,88-92,,
5:01.0,,,88-92,,Defensive rebound by N. Vucevic
4:55.0,,,88-94,2,C. Frye makes 2-pt shot at rim (assist by E. Payton)
4:55.0,,,88-94,,Shooting foul by L. Aldridge (drawn by C. Frye)
4:55.0,,,88-95,1,C. Frye makes free throw 1 of 1
4:39.0,,,88-95,,Personal foul by N. Vucevic (drawn by L. Aldridge)
4:32.0,A. Afflalo makes 2-pt shot at rim (assist by N. Batum),2,90-95,,
4:16.0,,,90-97,2,E. Payton makes 2-pt shot from 4 ft
3:54.0,,,90-97,,Personal foul by V. Oladipo (drawn by A. Afflalo)
3:53.0,Turnover by N. Batum (bad pass),,90-97,,
3:37.0,,,90-99,2,N. Vucevic makes 2-pt shot from 19 ft (assist by V. Oladipo)
3:22.0,D. Lillard makes 2-pt shot at rim,2,92-99,,
3:06.0,,,92-99,,E. Payton misses 2-pt shot from 12 ft
3:05.0,,,92-99,,Offensive rebound by A. Gordon
3:05.0,,,92-99,,A. Gordon misses 2-pt shot at rim
3:03.0,,,92-99,,Offensive rebound by N. Vucevic
3:03.0,,,92-101,2,N. Vucevic makes 2-pt shot from 1 ft
2:46.0,L. Aldridge makes 2-pt shot from 18 ft,2,94-101,,
2:29.0,,,94-103,2,C. Frye makes 2-pt shot from 17 ft (assist by E. Payton)
2:27.0,Portland full timeout,,94-103,,
2:27.0,,,94-103,,Orlando full timeout
2:15.0,A. Afflalo misses 3-pt shot from 24 ft,,94-103,,
2:13.0,,,94-103,,Defensive rebound by E. Payton
