time,Sacramento,pts.away,score,pts.home,Toronto
3:41.0,,,13-18,2,D. DeRozan makes 2-pt shot at rim (assist by A. Johnson)
3:27.0,B. McLemore misses 2-pt shot from 17 ft,,13-18,,
3:26.0,Offensive rebound by D. Cousins,,13-18,,
3:24.0,D. Cousins makes 2-pt shot from 1 ft,2,15-18,,
3:13.0,,,15-18,,J. Valanciunas misses 2-pt shot from 15 ft
3:12.0,Defensive rebound by J. Thompson,,15-18,,
3:03.0,D. Collison makes 2-pt shot from 20 ft,2,17-18,,
2:46.0,,,17-21,3,L. Williams makes 3-pt shot from 25 ft
2:37.0,Turnover by D. Collison (lost ball; steal by J. Valanciunas),,17-21,,
2:34.0,,,17-21,,Turnover by J. Valanciunas (bad pass; steal by D. Cousins)
2:30.0,B. McLemore misses 3-pt shot from 26 ft,,17-21,,
2:29.0,Offensive rebound by R. Gay,,17-21,,
2:26.0,R. Gay makes 2-pt shot at rim,2,19-21,,
2:09.0,,,19-21,,Offensive charge foul by J. Valanciunas
2:09.0,,,19-21,,Turnover by J. Valanciunas (offensive foul)
2:09.0,Sacramento full timeout,,19-21,,
2:09.0,,,19-21,,P. Patterson enters the game for A. Johnson
2:09.0,,,19-21,,C. Hayes enters the game for J. Valanciunas
2:09.0,N. Stauskas enters the game for J. Thompson,,19-21,,
2:09.0,C. Landry enters the game for B. McLemore,,19-21,,
1:55.0,,,19-21,,Def 3 sec tech foul by P. Patterson
1:55.0,R. Gay makes technical free throw,1,20-21,,
1:45.0,D. Cousins misses 2-pt shot from 12 ft,,20-21,,
1:44.0,,,20-21,,Defensive rebound by D. DeRozan
1:31.0,,,20-21,,L. Williams misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by R. Gay,,20-21,,
1:25.0,Turnover by R. Gay (bad pass; steal by C. Hayes),,20-21,,
1:15.0,,,20-24,3,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan)
0:57.0,Shooting foul by C. Hayes (drawn by D. Cousins),,20-24,,
0:57.0,D. Cousins makes free throw 1 of 2,1,21-24,,
0:57.0,,,21-24,,G. Vasquez enters the game for K. Lowry
0:57.0,D. Williams enters the game for R. Gay,,21-24,,
0:57.0,D. Cousins makes free throw 2 of 2,1,22-24,,
0:45.0,,,22-24,,P. Patterson misses 2-pt shot from 9 ft
0:42.0,,,22-24,,Offensive rebound by P. Patterson
0:23.0,,,22-26,2,D. DeRozan makes 2-pt shot from 7 ft (assist by G. Vasquez)
0:03.0,Turnover by D. Collison (bad pass; steal by D. DeRozan),,22-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,22-26,,Turnover by G. Vasquez (step out of bounds)
11:22.0,Shooting foul by T. Hansbrough (drawn by C. Landry),,22-26,,
11:22.0,C. Landry misses free throw 1 of 2,,22-26,,
11:22.0,Offensive rebound by Team,,22-26,,
11:22.0,C. Landry makes free throw 2 of 2,1,23-26,,
11:10.0,,,23-28,2,L. Williams makes 2-pt shot from 19 ft (assist by G. Vasquez)
10:53.0,N. Stauskas makes 2-pt shot from 20 ft,2,25-28,,
10:43.0,,,25-28,,Shooting foul by N. Stauskas (drawn by L. Williams)
10:43.0,,,25-29,1,L. Williams makes free throw 1 of 2
10:43.0,,,25-30,1,L. Williams makes free throw 2 of 2
10:31.0,C. Landry makes 2-pt shot from 17 ft (assist by J. Thompson),2,27-30,,
10:11.0,,,27-33,3,T. Ross makes 3-pt shot from 24 ft
9:55.0,C. Landry makes 2-pt shot from 14 ft (assist by J. Thompson),2,29-33,,
9:39.0,,,29-33,,L. Williams misses 3-pt shot from 24 ft
9:38.0,,,29-33,,Offensive rebound by T. Hansbrough
9:30.0,,,29-35,2,T. Ross makes 2-pt shot from 14 ft
9:14.0,N. Stauskas makes 2-pt shot from 1 ft (assist by C. Landry),2,31-35,,
9:01.0,,,31-35,,Toronto full timeout
8:53.0,,,31-38,3,P. Patterson makes 3-pt shot from 22 ft (assist by T. Ross)
8:33.0,R. Sessions misses 2-pt shot from 18 ft,,31-38,,
8:32.0,Offensive rebound by R. Sessions,,31-38,,
8:28.0,C. Landry makes 2-pt shot at rim (assist by R. Sessions),2,33-38,,
8:10.0,,,33-40,2,G. Vasquez makes 2-pt shot from 4 ft (assist by L. Williams)
7:53.0,J. Thompson makes 2-pt shot from 17 ft,2,35-40,,
7:37.0,R. Gay enters the game for D. Williams,,35-40,,
7:33.0,,,35-40,,L. Williams misses 3-pt shot from 23 ft
7:32.0,,,35-40,,Offensive rebound by T. Hansbrough
7:26.0,Personal foul by C. Landry (drawn by T. Hansbrough),,35-40,,
7:11.0,,,35-42,2,G. Vasquez makes 2-pt shot from 2 ft (assist by T. Ross)
6:49.0,R. Gay makes 3-pt shot from 26 ft,3,38-42,,
6:34.0,,,38-42,,G. Vasquez misses 3-pt shot from 27 ft
6:33.0,,,38-42,,Offensive rebound by T. Hansbrough
6:32.0,Loose ball foul by N. Stauskas (drawn by T. Hansbrough),,38-42,,
6:32.0,,,38-42,,C. Hayes enters the game for G. Vasquez
6:32.0,,,38-42,,K. Lowry enters the game for L. Williams
6:32.0,,,38-42,,D. DeRozan enters the game for T. Hansbrough
6:32.0,B. McLemore enters the game for C. Landry,,38-42,,
6:32.0,D. Cousins enters the game for N. Stauskas,,38-42,,
6:14.0,,,38-42,,Turnover by D. DeRozan (bad pass)
5:56.0,R. Gay makes 2-pt shot from 13 ft (assist by D. Cousins),2,40-42,,
5:40.0,,,40-42,,T. Ross misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by R. Sessions,,40-42,,
5:25.0,D. Cousins misses 2-pt shot from 2 ft (block by C. Hayes),,40-42,,
5:24.0,Offensive rebound by Team,,40-42,,
5:24.0,Official timeout,,40-42,,
5:21.0,Turnover by D. Cousins (bad pass),,40-42,,
5:08.0,,,40-44,2,C. Hayes makes 2-pt shot from 4 ft (assist by K. Lowry)
4:56.0,R. Gay makes 2-pt shot from 20 ft,2,42-44,,
4:39.0,,,42-44,,P. Patterson misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by D. Cousins,,42-44,,
4:19.0,D. Cousins misses 2-pt shot from 3 ft,,42-44,,
4:18.0,Offensive rebound by B. McLemore,,42-44,,
4:14.0,B. McLemore makes 2-pt shot from 2 ft,2,44-44,,
4:02.0,,,44-46,2,T. Ross makes 2-pt shot from 3 ft (assist by D. DeRozan)
3:51.0,R. Gay makes 3-pt shot from 28 ft,3,47-46,,
3:31.0,,,47-46,,D. DeRozan misses 2-pt shot from 10 ft
3:31.0,Defensive rebound by Team,,47-46,,
3:31.0,D. Collison enters the game for R. Sessions,,47-46,,
3:31.0,C. Landry enters the game for J. Thompson,,47-46,,
3:31.0,,,47-46,,J. Johnson enters the game for T. Ross
3:14.0,,,47-46,,A. Johnson enters the game for P. Patterson
3:07.0,R. Gay misses 2-pt shot from 3 ft (block by C. Hayes),,47-46,,
3:05.0,,,47-46,,Defensive rebound by D. DeRozan
2:59.0,,,47-48,2,J. Johnson makes 2-pt shot from 4 ft (assist by D. DeRozan)
2:42.0,D. Cousins makes 2-pt shot from 1 ft,2,49-48,,
2:42.0,Shooting foul by C. Hayes (drawn by D. Cousins),,49-48,,
2:42.0,Sacramento full timeout,,49-48,,
2:42.0,D. Cousins makes free throw 1 of 1,1,50-48,,
2:29.0,,,50-48,,K. Lowry misses 2-pt shot from 6 ft (block by D. Cousins)
2:27.0,Defensive rebound by D. Collison,,50-48,,
2:16.0,Turnover by D. Cousins (bad pass; steal by J. Johnson),,50-48,,
2:11.0,,,50-50,2,D. DeRozan makes 2-pt shot from 1 ft (assist by J. Johnson)
1:45.0,D. Collison makes 2-pt shot from 19 ft,2,52-50,,
1:30.0,,,52-50,,Shooting foul by B. McLemore (drawn by D. DeRozan)
1:30.0,,,52-50,,D. DeRozan misses free throw 1 of 2
1:30.0,,,52-50,,Offensive rebound by Team
1:30.0,,,52-51,1,D. DeRozan makes free throw 2 of 2
1:18.0,R. Gay misses 3-pt shot from 24 ft,,52-51,,
1:17.0,,,52-51,,Defensive rebound by A. Johnson
1:08.0,,,52-51,,K. Lowry misses 2-pt shot from 12 ft
1:08.0,,,52-51,,Offensive rebound by A. Johnson
1:08.0,,,52-53,2,A. Johnson makes 2-pt shot from 2 ft
1:08.0,,,52-53,,Shooting foul by D. Cousins (drawn by A. Johnson)
1:08.0,,,52-54,1,A. Johnson makes free throw 1 of 1
0:57.0,D. Collison misses 2-pt shot from 10 ft,,52-54,,
0:56.0,,,52-54,,Defensive rebound by J. Johnson
0:51.0,,,52-54,,K. Lowry misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by B. McLemore,,52-54,,
0:43.0,,,52-54,,Personal foul by J. Johnson (drawn by D. Collison)
0:43.0,,,52-54,,Toronto full timeout
0:37.0,,,52-54,,Offensive foul by A. Johnson
0:37.0,,,52-54,,Turnover by A. Johnson (offensive foul)
0:27.0,Shooting foul by J. Johnson (drawn by R. Gay),,52-54,,
0:27.0,R. Gay makes free throw 1 of 2,1,53-54,,
0:27.0,,,53-54,,L. Williams enters the game for J. Johnson
0:27.0,R. Gay makes free throw 2 of 2,1,54-54,,
0:03.0,,,54-54,,A. Johnson misses 2-pt shot from 5 ft
0:02.0,Defensive rebound by C. Landry,,54-54,,
0:00.0,R. Gay misses 3-pt shot from 24 ft,,54-54,,
0:00.0,Offensive rebound by Team,,54-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,54-57,3,G. Vasquez makes 3-pt shot from 25 ft (assist by D. DeRozan)
11:26.0,B. McLemore misses 2-pt shot from 3 ft (block by J. Valanciunas),,54-57,,
11:24.0,,,54-57,,Defensive rebound by J. Valanciunas
11:00.0,,,54-57,,K. Lowry misses 2-pt shot from 21 ft
10:59.0,Defensive rebound by D. Collison,,54-57,,
10:49.0,D. Collison makes 2-pt shot from 18 ft,2,56-57,,
10:36.0,,,56-57,,Turnover by A. Johnson (traveling)
10:22.0,,,56-57,,Personal foul by A. Johnson (drawn by D. Cousins)
10:16.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Gay),3,59-57,,
10:01.0,,,59-59,2,D. DeRozan makes 2-pt shot from 16 ft (assist by A. Johnson)
9:45.0,D. Collison misses 2-pt shot from 18 ft,,59-59,,
9:44.0,Offensive rebound by Team,,59-59,,
9:41.0,R. Gay misses 2-pt shot from 17 ft,,59-59,,
9:40.0,Offensive rebound by B. McLemore,,59-59,,
9:35.0,B. McLemore makes 3-pt shot from 23 ft (assist by D. Collison),3,62-59,,
9:10.0,,,62-62,3,G. Vasquez makes 3-pt shot from 25 ft (assist by D. DeRozan)
8:48.0,D. Cousins makes 2-pt shot from 21 ft (assist by D. Collison),2,64-62,,
8:37.0,,,64-62,,Turnover by A. Johnson (bad pass)
8:20.0,R. Gay misses 2-pt shot from 4 ft (block by J. Valanciunas),,64-62,,
8:20.0,Offensive rebound by Team,,64-62,,
8:14.0,Turnover by D. Cousins (lost ball; steal by G. Vasquez),,64-62,,
8:03.0,,,64-64,2,J. Valanciunas makes 2-pt shot from 4 ft
7:48.0,Offensive foul by D. Cousins,,64-64,,
7:48.0,Turnover by D. Cousins (offensive foul),,64-64,,
7:29.0,,,64-64,,Shooting foul by J. Thompson (drawn by D. DeRozan)
7:29.0,,,64-64,,D. DeRozan misses free throw 1 of 2
7:29.0,,,64-64,,Offensive rebound by Team
7:29.0,,,64-64,,D. DeRozan misses free throw 2 of 2
7:28.0,Defensive rebound by J. Thompson,,64-64,,
7:12.0,,,64-64,,Personal foul by G. Vasquez (drawn by D. Cousins)
7:09.0,Shooting foul by J. Valanciunas (drawn by J. Thompson),,64-64,,
7:09.0,J. Thompson makes free throw 1 of 2,1,65-64,,
7:09.0,J. Thompson makes free throw 2 of 2,1,66-64,,
7:04.0,Personal foul by D. Cousins (drawn by K. Lowry),,66-64,,
6:57.0,,,66-64,,K. Lowry misses 2-pt shot from 18 ft
6:56.0,,,66-64,,Offensive rebound by J. Valanciunas
6:55.0,,,66-64,,J. Valanciunas misses 2-pt shot at rim
6:55.0,,,66-64,,Offensive rebound by J. Valanciunas
6:55.0,,,66-66,2,J. Valanciunas makes 2-pt shot at rim
6:55.0,,,66-66,,Shooting foul by D. Cousins (drawn by J. Valanciunas)
6:55.0,C. Landry enters the game for D. Cousins,,66-66,,
6:55.0,,,66-67,1,J. Valanciunas makes free throw 1 of 1
6:42.0,R. Gay misses 2-pt shot from 19 ft,,66-67,,
6:41.0,,,66-67,,Defensive rebound by G. Vasquez
6:33.0,,,66-70,3,G. Vasquez makes 3-pt shot from 26 ft (assist by K. Lowry)
6:32.0,Sacramento full timeout,,66-70,,
6:09.0,J. Thompson misses 2-pt shot from 21 ft,,66-70,,
6:08.0,,,66-70,,Defensive rebound by D. DeRozan
5:59.0,,,66-73,3,G. Vasquez makes 3-pt shot from 23 ft (assist by D. DeRozan)
5:50.0,D. Collison misses 3-pt shot from 26 ft,,66-73,,
5:49.0,,,66-73,,Defensive rebound by D. DeRozan
5:43.0,,,66-73,,Offensive charge foul by D. DeRozan
5:43.0,,,66-73,,Turnover by D. DeRozan (offensive foul)
5:26.0,Shooting foul by K. Lowry (drawn by C. Landry),,66-73,,
5:26.0,C. Landry misses free throw 1 of 2,,66-73,,
5:26.0,Offensive rebound by Team,,66-73,,
5:26.0,C. Landry makes free throw 2 of 2,1,67-73,,
5:06.0,,,67-75,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by G. Vasquez)
4:48.0,C. Landry makes 2-pt shot from 15 ft (assist by R. Gay),2,69-75,,
4:32.0,,,69-77,2,K. Lowry makes 2-pt shot from 15 ft
4:10.0,R. Gay makes 2-pt shot from 8 ft,2,71-77,,
3:58.0,,,71-77,,A. Johnson misses 3-pt shot from 25 ft
3:57.0,,,71-77,,Offensive rebound by Team
3:57.0,Loose ball foul by J. Thompson (drawn by J. Valanciunas),,71-77,,
3:57.0,,,71-77,,L. Williams enters the game for G. Vasquez
3:57.0,R. Sessions enters the game for D. Collison,,71-77,,
3:57.0,N. Stauskas enters the game for B. McLemore,,71-77,,
3:57.0,,,71-77,,P. Patterson enters the game for A. Johnson
3:43.0,,,71-77,,D. DeRozan misses 2-pt shot from 4 ft
3:42.0,Defensive rebound by C. Landry,,71-77,,
3:29.0,Turnover by R. Gay (lost ball; steal by P. Patterson),,71-77,,
3:24.0,,,71-80,3,L. Williams makes 3-pt shot from 24 ft (assist by K. Lowry)
3:08.0,,,71-80,,Personal foul by D. DeRozan (drawn by R. Gay)
3:08.0,R. Gay misses free throw 1 of 2,,71-80,,
3:08.0,Offensive rebound by Team,,71-80,,
3:08.0,R. Gay makes free throw 2 of 2,1,72-80,,
2:52.0,,,72-80,,D. DeRozan misses 2-pt shot from 15 ft
2:51.0,Defensive rebound by C. Landry,,72-80,,
2:33.0,C. Landry misses 2-pt shot from 16 ft,,72-80,,
2:32.0,,,72-80,,Defensive rebound by K. Lowry
2:27.0,,,72-82,2,K. Lowry makes 2-pt shot from 5 ft
2:11.0,C. Landry misses 2-pt shot from 20 ft,,72-82,,
2:10.0,,,72-82,,Defensive rebound by J. Valanciunas
1:59.0,,,72-82,,Shooting foul by R. Gay (drawn by J. Valanciunas)
1:59.0,,,72-82,,Toronto full timeout
1:59.0,,,72-82,,T. Ross enters the game for D. DeRozan
1:59.0,,,72-83,1,J. Valanciunas makes free throw 1 of 2
1:59.0,,,72-84,1,J. Valanciunas makes free throw 2 of 2
1:49.0,C. Landry misses 2-pt shot from 3 ft,,72-84,,
1:47.0,,,72-84,,Defensive rebound by J. Valanciunas
1:44.0,,,72-84,,Turnover by L. Williams (bad pass; steal by R. Sessions)
1:35.0,,,72-84,,Violation by T. Ross (kicked ball)
1:35.0,,,72-84,,T. Hansbrough enters the game for J. Valanciunas
1:26.0,N. Stauskas misses 2-pt shot from 17 ft,,72-84,,
1:25.0,,,72-84,,Defensive rebound by T. Hansbrough
1:17.0,,,72-87,3,K. Lowry makes 3-pt shot from 25 ft
1:01.0,J. Thompson misses 2-pt shot from 20 ft,,72-87,,
1:00.0,Offensive rebound by C. Landry,,72-87,,
0:58.0,C. Landry misses 2-pt shot from 6 ft,,72-87,,
0:57.0,,,72-87,,Defensive rebound by T. Hansbrough
0:50.0,,,72-90,3,L. Williams makes 3-pt shot from 26 ft (assist by K. Lowry)
0:50.0,Sacramento full timeout,,72-90,,
0:50.0,D. Williams enters the game for C. Landry,,72-90,,
0:39.0,,,72-90,,Personal block foul by P. Patterson (drawn by R. Sessions)
0:39.0,R. Sessions makes free throw 1 of 2,1,73-90,,
0:39.0,R. Sessions makes free throw 2 of 2,1,74-90,,
0:30.0,,,74-90,,K. Lowry misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by Team,,74-90,,
0:18.0,R. Gay makes 2-pt shot at rim (assist by R. Sessions),2,76-90,,
0:01.0,,,76-93,3,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,D. Cousins makes 2-pt shot from 2 ft,2,78-93,,
11:48.0,Shooting foul by T. Hansbrough (drawn by D. Cousins),,78-93,,
11:48.0,D. Cousins misses free throw 1 of 1,,78-93,,
11:47.0,,,78-93,,Defensive rebound by T. Hansbrough
11:29.0,,,78-93,,P. Patterson misses 3-pt shot from 25 ft
11:28.0,Defensive rebound by D. Cousins,,78-93,,
11:13.0,D. Williams misses 3-pt shot from 25 ft,,78-93,,
11:12.0,,,78-93,,Defensive rebound by L. Williams
11:02.0,,,78-96,3,L. Williams makes 3-pt shot from 22 ft
10:46.0,Turnover by D. Cousins (lost ball; steal by T. Hansbrough),,78-96,,
10:40.0,,,78-96,,L. Williams misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by D. Williams,,78-96,,
10:27.0,B. McLemore makes 3-pt shot from 22 ft (assist by D. Cousins),3,81-96,,
10:07.0,,,81-96,,L. Williams misses 2-pt shot from 5 ft
10:06.0,Defensive rebound by Team,,81-96,,
10:06.0,,,81-96,,C. Hayes enters the game for T. Hansbrough
9:53.0,D. Williams misses 2-pt shot from 2 ft,,81-96,,
9:52.0,,,81-96,,Defensive rebound by C. Hayes
9:29.0,,,81-96,,L. Williams misses 3-pt shot from 27 ft
9:28.0,Defensive rebound by B. McLemore,,81-96,,
9:24.0,D. Williams makes 2-pt shot at rim (assist by B. McLemore),2,83-96,,
8:58.0,,,83-98,2,G. Vasquez makes 2-pt shot from 4 ft
8:48.0,,,83-98,,Personal block foul by L. Williams (drawn by D. Collison)
8:48.0,Official timeout,,83-98,,
8:40.0,Turnover by D. Cousins (lost ball; steal by L. Williams),,83-98,,
8:15.0,,,83-98,,P. Patterson misses 2-pt shot from 18 ft
8:14.0,Defensive rebound by R. Sessions,,83-98,,
8:03.0,,,83-98,,Shooting block foul by C. Hayes (drawn by R. Sessions)
8:03.0,R. Sessions makes free throw 1 of 2,1,84-98,,
8:03.0,R. Sessions makes free throw 2 of 2,1,85-98,,
7:46.0,,,85-100,2,L. Williams makes 2-pt shot from 15 ft
7:25.0,Turnover by D. Cousins (bad pass; steal by L. Williams),,85-100,,
7:21.0,,,85-102,2,T. Ross makes 2-pt shot from 1 ft (assist by G. Vasquez)
7:21.0,,,85-102,,Shooting foul by B. McLemore (drawn by T. Ross)
7:21.0,,,85-102,,K. Lowry enters the game for G. Vasquez
7:21.0,,,85-103,1,T. Ross makes free throw 1 of 1
7:12.0,D. Collison makes 3-pt shot from 25 ft,3,88-103,,
6:58.0,,,88-103,,Shooting foul by R. Sessions (drawn by L. Williams)
6:58.0,,,88-104,1,L. Williams makes free throw 1 of 2
6:58.0,,,88-104,,D. DeRozan enters the game for T. Ross
6:58.0,R. Gay enters the game for R. Sessions,,88-104,,
6:58.0,,,88-105,1,L. Williams makes free throw 2 of 2
6:49.0,Shooting foul by P. Patterson (drawn by D. Williams),,88-105,,
6:49.0,D. Williams makes free throw 1 of 2,1,89-105,,
6:49.0,D. Williams makes free throw 2 of 2,1,90-105,,
6:35.0,,,90-108,3,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry)
6:17.0,Turnover by B. McLemore (bad pass; steal by P. Patterson),,90-108,,
6:11.0,,,90-108,,Shooting foul by R. Gay (drawn by L. Williams)
6:11.0,,,90-109,1,L. Williams makes free throw 1 of 2
6:11.0,,,90-110,1,L. Williams makes free throw 2 of 2
5:53.0,R. Gay misses 2-pt shot from 18 ft,,90-110,,
5:52.0,,,90-110,,Defensive rebound by P. Patterson
5:47.0,Personal block foul by B. McLemore (drawn by K. Lowry),,90-110,,
5:47.0,,,90-110,,Toronto full timeout
5:47.0,N. Stauskas enters the game for B. McLemore,,90-110,,
5:47.0,C. Landry enters the game for D. Williams,,90-110,,
5:38.0,,,90-110,,Turnover by K. Lowry (bad pass; steal by N. Stauskas)
5:28.0,N. Stauskas misses 3-pt shot from 27 ft,,90-110,,
5:27.0,,,90-110,,Defensive rebound by L. Williams
5:22.0,,,90-112,2,P. Patterson makes 2-pt shot at rim (assist by L. Williams)
5:15.0,,,90-112,,Personal foul by D. DeRozan (drawn by C. Landry)
5:15.0,C. Landry makes free throw 1 of 2,1,91-112,,
5:15.0,R. Hollins enters the game for D. Cousins,,91-112,,
5:15.0,B. McLemore enters the game for R. Gay,,91-112,,
5:15.0,R. McCallum enters the game for D. Collison,,91-112,,
5:15.0,,,91-112,,J. Valanciunas enters the game for C. Hayes
5:15.0,C. Landry makes free throw 2 of 2,1,92-112,,
5:01.0,,,92-114,2,L. Williams makes 2-pt shot from 20 ft (assist by K. Lowry)
4:40.0,,,92-114,,Personal foul by D. DeRozan (drawn by C. Landry)
4:40.0,C. Landry makes free throw 1 of 2,1,93-114,,
4:40.0,C. Landry makes free throw 2 of 2,1,94-114,,
4:26.0,,,94-114,,L. Williams misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by C. Landry,,94-114,,
4:11.0,,,94-114,,Personal foul by L. Williams (drawn by N. Stauskas)
4:11.0,N. Stauskas makes free throw 1 of 2,1,95-114,,
4:11.0,,,95-114,,J. Johnson enters the game for D. DeRozan
4:11.0,,,95-114,,G. Vasquez enters the game for K. Lowry
4:11.0,N. Stauskas makes free throw 2 of 2,1,96-114,,
3:56.0,,,96-114,,J. Johnson misses 2-pt shot from 21 ft
3:55.0,Defensive rebound by R. McCallum,,96-114,,
3:50.0,B. McLemore makes 2-pt shot at rim (assist by R. McCallum),2,98-114,,
3:25.0,,,98-114,,Turnover by J. Johnson (bad pass; steal by C. Landry)
3:20.0,R. McCallum makes 2-pt shot from 2 ft (assist by C. Landry),2,100-114,,
3:12.0,,,100-114,,Toronto full timeout
3:12.0,,,100-114,,T. Hansbrough enters the game for P. Patterson
3:05.0,,,100-114,,Shooting foul by R. McCallum (drawn by L. Williams)
3:05.0,,,100-115,1,L. Williams makes free throw 1 of 3
3:05.0,,,100-116,1,L. Williams makes free throw 2 of 3
3:05.0,,,100-117,1,L. Williams makes free throw 3 of 3
2:48.0,C. Landry misses 2-pt shot from 7 ft,,100-117,,
2:47.0,,,100-117,,Defensive rebound by J. Johnson
