time,Memphis,pts.away,score,pts.home,New York
8:20.0,Shooting foul by J. Smith (drawn by J. Green),,34-26,,
8:20.0,J. Green makes free throw 1 of 2,1,35-26,,
8:20.0,J. Green makes free throw 2 of 2,1,36-26,,
7:59.0,,,36-28,2,J. Smith makes 2-pt shot from 7 ft
7:45.0,K. Koufos makes 2-pt shot from 4 ft (assist by B. Udrih),2,38-28,,
7:27.0,,,38-28,,A. Bargnani misses 2-pt shot from 8 ft
7:26.0,,,38-28,,Offensive rebound by Q. Acy
7:25.0,,,38-30,2,Q. Acy makes 2-pt shot from 1 ft
7:25.0,,,38-30,,Shooting foul by J. Green (drawn by Q. Acy)
7:25.0,,,38-31,1,Q. Acy makes free throw 1 of 1
7:10.0,J. Green misses 2-pt shot from 18 ft,,38-31,,
7:08.0,,,38-31,,Defensive rebound by Q. Acy
7:00.0,,,38-31,,Turnover by S. Larkin (bad pass; steal by V. Carter)
6:53.0,V. Carter misses 3-pt shot from 24 ft,,38-31,,
6:51.0,,,38-31,,Defensive rebound by Q. Acy
6:44.0,,,38-33,2,L. Galloway makes 2-pt shot from 19 ft
6:39.0,Memphis full timeout,,38-33,,
6:39.0,Z. Randolph enters the game for K. Koufos,,38-33,,
6:26.0,Z. Randolph makes 2-pt shot from 16 ft,2,40-33,,
6:18.0,Personal foul by J. Green (drawn by A. Bargnani),,40-33,,
5:59.0,,,40-33,,L. Galloway misses 2-pt shot from 18 ft
5:58.0,,,40-33,,Offensive rebound by Team
5:58.0,Loose ball foul by J. Green (drawn by A. Bargnani),,40-33,,
5:39.0,,,40-33,,A. Bargnani misses 2-pt shot from 19 ft
5:37.0,,,40-33,,Offensive rebound by J. Smith
5:36.0,,,40-35,2,J. Smith makes 2-pt shot from 2 ft
5:17.0,Turnover by V. Carter (bad pass; steal by Q. Acy),,40-35,,
4:57.0,,,40-35,,Turnover by A. Bargnani (lost ball; steal by B. Udrih)
4:53.0,Shooting foul by L. Galloway (drawn by J. Green),,40-35,,
4:53.0,J. Green makes free throw 1 of 2,1,41-35,,
4:53.0,M. Gasol enters the game for J. Green,,41-35,,
4:53.0,M. Conley enters the game for B. Udrih,,41-35,,
4:53.0,,,41-35,,L. Thomas enters the game for Q. Acy
4:53.0,J. Green makes free throw 2 of 2,1,42-35,,
4:39.0,,,42-37,2,A. Bargnani makes 2-pt shot from 1 ft (assist by S. Larkin)
4:23.0,V. Carter misses 2-pt shot from 9 ft,,42-37,,
4:21.0,,,42-37,,Defensive rebound by J. Smith
4:12.0,,,42-39,2,A. Bargnani makes 2-pt shot from 1 ft (assist by S. Larkin)
3:51.0,M. Gasol misses 2-pt shot from 7 ft,,42-39,,
3:50.0,,,42-39,,Defensive rebound by S. Larkin
3:39.0,,,42-39,,Shooting foul by Z. Randolph (drawn by J. Smith)
3:39.0,,,42-40,1,J. Smith makes free throw 1 of 2
3:39.0,,,42-40,,L. Amundson enters the game for A. Bargnani
3:39.0,T. Allen enters the game for V. Carter,,42-40,,
3:39.0,,,42-41,1,J. Smith makes free throw 2 of 2
3:27.0,J. Green misses 3-pt shot from 23 ft,,42-41,,
3:25.0,,,42-41,,Defensive rebound by L. Galloway
3:18.0,,,42-41,,L. Galloway misses 2-pt shot from 17 ft
3:16.0,Defensive rebound by Z. Randolph,,42-41,,
3:02.0,M. Conley makes 2-pt shot from 5 ft,2,44-41,,
2:39.0,Violation by Z. Randolph (kicked ball),,44-41,,
2:39.0,Official timeout,,44-41,,
2:39.0,,,44-41,,A. Bargnani enters the game for J. Smith
2:31.0,,,44-41,,S. Larkin misses 2-pt shot from 7 ft
2:29.0,Defensive rebound by M. Conley,,44-41,,
2:25.0,Offensive foul by M. Conley,,44-41,,
2:25.0,Turnover by M. Conley (offensive foul),,44-41,,
2:02.0,,,44-41,,L. Thomas misses 2-pt shot from 16 ft
2:00.0,Defensive rebound by T. Allen,,44-41,,
1:43.0,Z. Randolph makes 2-pt shot from 1 ft,2,46-41,,
1:29.0,,,46-41,,L. Galloway misses 2-pt shot from 5 ft
1:27.0,,,46-41,,Offensive rebound by L. Galloway
1:21.0,,,46-44,3,A. Bargnani makes 3-pt shot from 25 ft (assist by L. Galloway)
0:58.0,M. Conley makes 2-pt shot from 21 ft (assist by Z. Randolph),2,48-44,,
0:53.0,,,48-44,,New York full timeout
0:45.0,,,48-46,2,S. Larkin makes 2-pt shot from 3 ft
0:32.0,T. Allen misses 2-pt shot from 8 ft,,48-46,,
0:30.0,Offensive rebound by Z. Randolph,,48-46,,
0:29.0,Shooting foul by L. Thomas (drawn by Z. Randolph),,48-46,,
0:29.0,Z. Randolph makes free throw 1 of 2,1,49-46,,
0:29.0,,,49-46,,J. Smith enters the game for L. Amundson
0:29.0,Z. Randolph makes free throw 2 of 2,1,50-46,,
0:12.0,,,50-48,2,A. Bargnani makes 2-pt shot from 9 ft
0:11.0,Memphis full timeout,,50-48,,
0:11.0,V. Carter enters the game for T. Allen,,50-48,,
0:11.0,,,50-48,,L. Amundson enters the game for A. Bargnani
0:04.0,Turnover by M. Conley (bad pass; steal by L. Thomas),,50-48,,
0:00.0,,,50-48,,L. Thomas misses 3-pt shot from 41 ft
0:00.0,,,50-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,50-48,,L. Thomas misses 2-pt shot from 15 ft
11:37.0,Defensive rebound by T. Allen,,50-48,,
11:20.0,Shooting foul by A. Bargnani (drawn by M. Gasol),,50-48,,
11:20.0,M. Gasol misses free throw 1 of 2,,50-48,,
11:20.0,Offensive rebound by Team,,50-48,,
11:20.0,M. Gasol misses free throw 2 of 2,,50-48,,
11:19.0,,,50-48,,Defensive rebound by L. Galloway
11:02.0,,,50-48,,Offensive foul by L. Amundson
11:02.0,,,50-48,,Turnover by L. Amundson (offensive foul)
10:43.0,M. Conley misses 2-pt shot from 4 ft,,50-48,,
10:41.0,,,50-48,,Defensive rebound by L. Galloway
10:31.0,,,50-51,3,L. Galloway makes 3-pt shot from 25 ft (assist by A. Bargnani)
10:20.0,Shooting foul by L. Galloway (drawn by T. Allen),,50-51,,
10:20.0,T. Allen misses free throw 1 of 2,,50-51,,
10:20.0,Offensive rebound by Team,,50-51,,
10:20.0,T. Allen misses free throw 2 of 2,,50-51,,
10:19.0,,,50-51,,Defensive rebound by A. Bargnani
9:56.0,,,50-51,,L. Thomas misses 2-pt shot from 13 ft
9:54.0,Defensive rebound by T. Allen,,50-51,,
9:44.0,T. Allen makes 2-pt shot at rim (assist by Z. Randolph),2,52-51,,
9:26.0,,,52-53,2,L. Galloway makes 2-pt shot from 1 ft (assist by L. Amundson)
9:04.0,M. Gasol makes 2-pt shot from 14 ft,2,54-53,,
8:47.0,,,54-53,,A. Bargnani misses 2-pt shot from 18 ft
8:45.0,Defensive rebound by T. Allen,,54-53,,
8:29.0,J. Green makes 2-pt shot from 16 ft,2,56-53,,
8:03.0,,,56-56,3,L. Thomas makes 3-pt shot from 23 ft (assist by L. Galloway)
7:37.0,M. Conley misses 2-pt shot from 1 ft,,56-56,,
7:36.0,Offensive rebound by Z. Randolph,,56-56,,
7:35.0,Z. Randolph makes 2-pt shot at rim,2,58-56,,
7:19.0,Personal foul by M. Gasol (drawn by A. Bargnani),,58-56,,
7:09.0,,,58-56,,Turnover by L. Amundson (traveling)
6:49.0,M. Gasol misses 2-pt shot from 10 ft (block by A. Bargnani),,58-56,,
6:47.0,,,58-56,,Defensive rebound by L. Amundson
6:37.0,,,58-56,,Offensive foul by L. Amundson
6:37.0,,,58-56,,Turnover by L. Amundson (offensive foul)
6:21.0,Z. Randolph misses 2-pt shot from 6 ft,,58-56,,
6:19.0,,,58-56,,Defensive rebound by L. Galloway
6:12.0,,,58-56,,S. Larkin misses 2-pt shot from 15 ft
6:11.0,,,58-56,,Offensive rebound by S. Larkin
6:00.0,,,58-56,,Turnover by L. Thomas (bad pass)
5:49.0,,,58-56,,Personal foul by S. Larkin (drawn by M. Conley)
5:49.0,,,58-56,,New York full timeout
5:49.0,,,58-56,,C. Aldrich enters the game for L. Amundson
5:49.0,,,58-56,,J. Smith enters the game for A. Bargnani
5:40.0,M. Conley misses 2-pt shot from 17 ft,,58-56,,
5:38.0,,,58-56,,Defensive rebound by C. Aldrich
5:20.0,,,58-56,,Turnover by C. Aldrich (bad pass)
5:05.0,Z. Randolph makes 2-pt shot from 2 ft,2,60-56,,
4:48.0,,,60-56,,S. Larkin misses 2-pt shot from 21 ft
4:46.0,Defensive rebound by Z. Randolph,,60-56,,
4:34.0,M. Conley misses 2-pt shot from 1 ft,,60-56,,
4:33.0,,,60-56,,Defensive rebound by S. Larkin
4:11.0,,,60-56,,L. Thomas misses 2-pt shot from 17 ft
4:09.0,Defensive rebound by M. Gasol,,60-56,,
3:57.0,,,60-56,,Personal foul by J. Smith (drawn by Z. Randolph)
3:57.0,B. Udrih enters the game for M. Conley,,60-56,,
3:57.0,V. Carter enters the game for T. Allen,,60-56,,
3:46.0,M. Gasol makes 2-pt shot from 17 ft (assist by B. Udrih),2,62-56,,
3:22.0,,,62-58,2,J. Smith makes 2-pt shot from 18 ft (assist by L. Galloway)
2:59.0,Z. Randolph misses 2-pt shot from 15 ft,,62-58,,
2:57.0,Offensive rebound by M. Gasol,,62-58,,
2:55.0,M. Gasol makes 2-pt shot from 6 ft,2,64-58,,
2:35.0,,,64-58,,L. Galloway misses 3-pt shot from 24 ft
2:33.0,Defensive rebound by B. Udrih,,64-58,,
2:29.0,Offensive foul by J. Green,,64-58,,
2:29.0,Turnover by J. Green (offensive foul),,64-58,,
2:29.0,Memphis full timeout,,64-58,,
2:29.0,,,64-58,,Q. Acy enters the game for L. Thomas
2:29.0,,,64-58,,A. Bargnani enters the game for L. Galloway
2:29.0,,,64-58,,R. Ledo enters the game for C. Aldrich
2:13.0,,,64-58,,A. Bargnani misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by M. Gasol,,64-58,,
1:58.0,V. Carter makes 3-pt shot from 24 ft (assist by B. Udrih),3,67-58,,
1:32.0,,,67-58,,R. Ledo misses 2-pt shot from 5 ft
1:31.0,,,67-58,,Offensive rebound by Team
1:31.0,,,67-58,,Turnover by Team (shot clock)
1:23.0,,,67-58,,Personal foul by R. Ledo (drawn by V. Carter)
1:23.0,V. Carter makes free throw 1 of 2,1,68-58,,
1:23.0,V. Carter makes free throw 2 of 2,1,69-58,,
1:06.0,,,69-58,,Q. Acy misses 3-pt shot from 22 ft
1:04.0,,,69-58,,Offensive rebound by J. Smith
1:02.0,,,69-60,2,A. Bargnani makes 2-pt shot from 4 ft (assist by J. Smith)
0:46.0,M. Gasol makes 2-pt shot from 1 ft (assist by J. Green),2,71-60,,
0:46.0,Shooting foul by J. Smith (drawn by M. Gasol),,71-60,,
0:46.0,,,71-60,,L. Galloway enters the game for S. Larkin
0:46.0,M. Gasol makes free throw 1 of 1,1,72-60,,
0:32.0,,,72-60,,A. Bargnani misses 2-pt shot from 18 ft
0:30.0,,,72-60,,Offensive rebound by Team
0:30.0,Loose ball foul by M. Gasol (drawn by A. Bargnani),,72-60,,
0:30.0,,,72-60,,A. Bargnani misses free throw 1 of 2
0:30.0,,,72-60,,Offensive rebound by Team
0:30.0,N. Calathes enters the game for J. Green,,72-60,,
0:30.0,,,72-61,1,A. Bargnani makes free throw 2 of 2
0:18.0,Z. Randolph makes 2-pt shot from 2 ft,2,74-61,,
0:04.0,,,74-61,,A. Bargnani misses 3-pt shot from 25 ft
0:02.0,,,74-61,,Offensive rebound by Q. Acy
0:00.0,,,74-61,,Q. Acy misses 2-pt shot from 3 ft
0:00.0,,,74-61,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Z. Randolph misses 2-pt shot from 3 ft,,74-61,,
11:39.0,Offensive rebound by Z. Randolph,,74-61,,
11:38.0,Shooting foul by L. Thomas (drawn by Z. Randolph),,74-61,,
11:38.0,Z. Randolph misses free throw 1 of 2,,74-61,,
11:38.0,Offensive rebound by Team,,74-61,,
11:38.0,Z. Randolph makes free throw 2 of 2,1,75-61,,
11:23.0,,,75-61,,Shooting foul by Z. Randolph (drawn by J. Smith)
11:23.0,,,75-62,1,J. Smith makes free throw 1 of 2
11:23.0,,,75-63,1,J. Smith makes free throw 2 of 2
11:07.0,V. Carter makes 3-pt shot from 25 ft (assist by Z. Randolph),3,78-63,,
10:41.0,,,78-63,,J. Smith misses 3-pt shot from 23 ft
10:39.0,Defensive rebound by K. Koufos,,78-63,,
10:26.0,V. Carter makes 3-pt shot from 25 ft (assist by N. Calathes),3,81-63,,
10:25.0,,,81-63,,New York full timeout
10:25.0,,,81-63,,L. Amundson enters the game for J. Smith
10:25.0,,,81-63,,S. Larkin enters the game for R. Ledo
10:03.0,,,81-65,2,L. Amundson makes 2-pt shot from 16 ft (assist by S. Larkin)
9:43.0,V. Carter misses 3-pt shot from 25 ft,,81-65,,
9:41.0,,,81-65,,Defensive rebound by L. Amundson
9:32.0,,,81-68,3,L. Galloway makes 3-pt shot from 24 ft (assist by L. Thomas)
9:15.0,N. Calathes misses 2-pt shot from 3 ft,,81-68,,
9:14.0,,,81-68,,Defensive rebound by Team
9:05.0,Personal foul by V. Carter (drawn by L. Thomas),,81-68,,
9:05.0,J. Green enters the game for Z. Randolph,,81-68,,
8:57.0,,,81-70,2,S. Larkin makes 2-pt shot from 2 ft
8:44.0,K. Koufos makes 2-pt shot from 2 ft (assist by B. Udrih),2,83-70,,
8:17.0,,,83-70,,S. Larkin misses 2-pt shot from 4 ft
8:15.0,Defensive rebound by J. Green,,83-70,,
8:06.0,Offensive foul by K. Koufos,,83-70,,
8:06.0,Turnover by K. Koufos (offensive foul),,83-70,,
7:51.0,,,83-72,2,A. Bargnani makes 2-pt shot from 3 ft (assist by S. Larkin)
7:50.0,Memphis full timeout,,83-72,,
7:35.0,Turnover by B. Udrih (bad pass),,83-72,,
7:18.0,,,83-72,,A. Bargnani misses 2-pt shot from 12 ft
7:16.0,Defensive rebound by K. Koufos,,83-72,,
7:03.0,J. Green misses 2-pt shot from 2 ft (block by A. Bargnani),,83-72,,
7:01.0,,,83-72,,Defensive rebound by L. Amundson
6:57.0,,,83-72,,Turnover by L. Galloway (bad pass)
6:47.0,N. Calathes misses 2-pt shot from 1 ft,,83-72,,
6:46.0,Offensive rebound by K. Koufos,,83-72,,
6:46.0,K. Koufos makes 2-pt shot at rim,2,85-72,,
6:18.0,,,85-74,2,A. Bargnani makes 2-pt shot from 19 ft (assist by S. Larkin)
5:55.0,J. Green misses 2-pt shot from 13 ft,,85-74,,
5:54.0,Offensive rebound by Team,,85-74,,
5:54.0,,,85-74,,Loose ball foul by L. Thomas (drawn by V. Carter)
5:54.0,M. Gasol enters the game for B. Udrih,,85-74,,
5:46.0,V. Carter misses 2-pt shot from 2 ft (block by L. Amundson),,85-74,,
5:44.0,,,85-74,,Defensive rebound by L. Galloway
5:40.0,,,85-74,,A. Bargnani misses 3-pt shot from 25 ft
5:39.0,,,85-74,,Offensive rebound by Team
5:39.0,Loose ball foul by V. Carter (drawn by L. Amundson),,85-74,,
5:36.0,,,85-74,,Offensive foul by L. Thomas
5:36.0,,,85-74,,Turnover by L. Thomas (offensive foul)
5:36.0,Memphis full timeout,,85-74,,
5:36.0,M. Conley enters the game for J. Green,,85-74,,
5:36.0,Z. Randolph enters the game for N. Calathes,,85-74,,
5:36.0,T. Allen enters the game for K. Koufos,,85-74,,
5:23.0,M. Conley makes 3-pt shot from 23 ft (assist by Z. Randolph),3,88-74,,
5:12.0,Personal foul by Z. Randolph (drawn by L. Amundson),,88-74,,
5:12.0,,,88-74,,J. Smith enters the game for L. Amundson
5:06.0,,,88-74,,Shooting foul by V. Carter (drawn by L. Thomas)
5:06.0,,,88-76,2,L. Thomas makes 2-pt shot from 18 ft (assist by A. Bargnani)
5:06.0,,,88-77,1,L. Thomas makes free throw 1 of 1
4:52.0,Z. Randolph makes 2-pt shot from 3 ft,2,90-77,,
4:25.0,,,90-77,,L. Galloway misses 2-pt shot from 1 ft
4:23.0,Defensive rebound by M. Gasol,,90-77,,
4:15.0,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley),3,93-77,,
3:58.0,,,93-79,2,L. Thomas makes 2-pt shot from 11 ft (assist by J. Smith)
3:37.0,M. Gasol makes 2-pt shot from 1 ft,2,95-79,,
3:35.0,,,95-79,,New York full timeout
3:35.0,J. Green enters the game for V. Carter,,95-79,,
3:18.0,,,95-79,,J. Smith misses 2-pt shot from 15 ft
3:16.0,Defensive rebound by T. Allen,,95-79,,
3:02.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol),2,97-79,,
2:48.0,,,97-79,,Turnover by J. Smith (bad pass)
2:34.0,J. Green makes 2-pt shot from 1 ft,2,99-79,,
2:33.0,,,99-79,,New York full timeout
2:33.0,N. Calathes enters the game for J. Green,,99-79,,
2:33.0,J. Leuer enters the game for Z. Randolph,,99-79,,
2:33.0,J. Adams enters the game for M. Gasol,,99-79,,
2:33.0,K. Koufos enters the game for T. Allen,,99-79,,
2:33.0,J. Green enters the game for M. Conley,,99-79,,
2:19.0,,,99-79,,L. Galloway misses 2-pt shot from 20 ft
2:17.0,Defensive rebound by J. Leuer,,99-79,,
2:00.0,K. Koufos makes 2-pt shot from 6 ft,2,101-79,,
1:58.0,Personal foul by N. Calathes (drawn by L. Galloway),,101-79,,
1:58.0,,,101-80,1,L. Galloway makes free throw 1 of 2
1:58.0,R. Smith enters the game for N. Calathes,,101-80,,
1:58.0,,,101-80,,Q. Acy enters the game for A. Bargnani
1:58.0,,,101-80,,C. Aldrich enters the game for J. Smith
1:58.0,,,101-80,,L. Galloway misses free throw 2 of 2
1:57.0,Defensive rebound by J. Green,,101-80,,
1:37.0,J. Adams misses 2-pt shot from 3 ft (block by S. Larkin),,101-80,,
1:36.0,Offensive rebound by J. Green,,101-80,,
1:34.0,K. Koufos makes 2-pt shot from 2 ft,2,103-80,,
1:20.0,,,103-80,,L. Galloway misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by J. Green,,103-80,,
1:07.0,K. Koufos misses 2-pt shot from 2 ft (block by C. Aldrich),,103-80,,
1:05.0,,,103-80,,Defensive rebound by Q. Acy
0:57.0,Personal foul by R. Smith (drawn by L. Galloway),,103-80,,
0:57.0,,,103-81,1,L. Galloway makes free throw 1 of 2
0:57.0,,,103-82,1,L. Galloway makes free throw 2 of 2
0:35.0,R. Smith misses 3-pt shot from 25 ft,,103-82,,
0:33.0,,,103-82,,Defensive rebound by C. Aldrich
0:24.0,,,103-82,,Q. Acy misses 2-pt shot from 16 ft
0:23.0,Defensive rebound by J. Green,,103-82,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
