time,Charlotte,pts.away,score,pts.home,Chicago
9:54.0,Defensive rebound by M. Williams,,52-53,,
9:43.0,K. Walker makes 2-pt shot from 14 ft,2,54-53,,
9:29.0,,,54-53,,J. Butler misses 2-pt shot from 2 ft (block by A. Jefferson)
9:28.0,Defensive rebound by A. Jefferson,,54-53,,
9:20.0,K. Walker makes 2-pt shot from 2 ft,2,56-53,,
9:02.0,,,56-53,,P. Gasol misses 2-pt shot from 15 ft (block by A. Jefferson)
9:02.0,,,56-53,,Offensive rebound by P. Gasol
9:02.0,Personal foul by K. Walker (drawn by P. Gasol),,56-53,,
8:57.0,,,56-55,2,P. Gasol makes 2-pt shot from 19 ft (assist by A. Brooks)
8:44.0,K. Walker misses 2-pt shot from 21 ft,,56-55,,
8:43.0,,,56-55,,Defensive rebound by M. Dunleavy
8:35.0,,,56-57,2,A. Brooks makes 2-pt shot from 18 ft
8:09.0,Turnover by A. Jefferson (lost ball; steal by P. Gasol),,56-57,,
8:06.0,,,56-57,,Shooting foul by M. Williams (drawn by J. Butler)
8:06.0,,,56-58,1,J. Butler makes free throw 1 of 2
8:06.0,,,56-59,1,J. Butler makes free throw 2 of 2
7:50.0,Turnover by G. Henderson (lost ball; steal by T. Gibson),,56-59,,
7:44.0,,,56-59,,A. Brooks misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by A. Jefferson,,56-59,,
7:30.0,G. Henderson makes 2-pt shot from 12 ft,2,58-59,,
7:10.0,,,58-59,,Turnover by T. Gibson (traveling)
6:49.0,Shooting foul by M. Dunleavy (drawn by M. Williams),,58-59,,
6:49.0,M. Williams makes free throw 1 of 2,1,59-59,,
6:49.0,M. Williams makes free throw 2 of 2,1,60-59,,
6:42.0,Personal foul by G. Henderson (drawn by J. Butler),,60-59,,
6:32.0,,,60-61,2,P. Gasol makes 2-pt shot at rim
6:13.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,60-61,,
6:11.0,,,60-61,,Defensive rebound by P. Gasol
6:04.0,,,60-63,2,A. Brooks makes 2-pt shot from 18 ft
5:48.0,G. Henderson misses 2-pt shot from 13 ft,,60-63,,
5:47.0,,,60-63,,Defensive rebound by T. Gibson
5:39.0,,,60-65,2,A. Brooks makes 2-pt shot from 1 ft
5:39.0,Charlotte full timeout,,60-65,,
5:39.0,J. Maxiell enters the game for A. Jefferson,,60-65,,
5:39.0,M. Williams enters the game for G. Henderson,,60-65,,
5:27.0,J. Maxiell misses 2-pt shot from 11 ft,,60-65,,
5:27.0,,,60-65,,Defensive rebound by Team
5:27.0,Loose ball foul by J. Maxiell (drawn by P. Gasol),,60-65,,
5:27.0,,,60-65,,P. Gasol misses free throw 1 of 2
5:27.0,,,60-65,,Offensive rebound by Team
5:27.0,,,60-66,1,P. Gasol makes free throw 2 of 2
5:12.0,M. Williams misses 3-pt shot from 22 ft,,60-66,,
5:10.0,,,60-66,,Defensive rebound by P. Gasol
4:52.0,,,60-66,,P. Gasol misses 2-pt shot from 16 ft
4:51.0,Defensive rebound by M. Kidd-Gilchrist,,60-66,,
4:42.0,K. Walker makes 2-pt shot from 16 ft,2,62-66,,
4:16.0,,,62-68,2,A. Brooks makes 2-pt shot from 2 ft (assist by P. Gasol)
3:50.0,K. Walker misses 3-pt shot from 25 ft,,62-68,,
3:49.0,,,62-68,,Defensive rebound by T. Gibson
3:29.0,,,62-68,,Shooting foul by J. Maxiell (drawn by J. Butler)
3:29.0,,,62-69,1,J. Butler makes free throw 1 of 2
3:29.0,B. Biyombo enters the game for J. Maxiell,,62-69,,
3:29.0,,,62-69,,N. Mirotic enters the game for T. Gibson
3:29.0,,,62-69,,J. Butler misses free throw 2 of 2
3:27.0,Defensive rebound by M. Kidd-Gilchrist,,62-69,,
3:04.0,Turnover by Team (shot clock),,62-69,,
3:04.0,,,62-69,,K. Hinrich enters the game for J. Butler
2:47.0,,,62-69,,P. Gasol misses 2-pt shot from 7 ft
2:46.0,Defensive rebound by M. Williams,,62-69,,
2:41.0,K. Walker misses 3-pt shot from 24 ft,,62-69,,
2:39.0,Offensive rebound by B. Biyombo,,62-69,,
2:29.0,K. Walker makes 2-pt shot from 17 ft,2,64-69,,
2:09.0,,,64-71,2,P. Gasol makes 2-pt shot from 11 ft (assist by A. Brooks)
1:47.0,M. Williams misses 2-pt shot from 19 ft,,64-71,,
1:46.0,,,64-71,,Defensive rebound by P. Gasol
1:30.0,,,64-71,,M. Dunleavy misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by M. Williams,,64-71,,
1:20.0,K. Walker misses 2-pt shot from 15 ft,,64-71,,
1:19.0,Offensive rebound by B. Biyombo,,64-71,,
1:14.0,Turnover by M. Williams (bad pass),,64-71,,
1:14.0,,,64-71,,Chicago full timeout
1:14.0,L. Stephenson enters the game for M. Williams,,64-71,,
1:14.0,,,64-71,,T. Snell enters the game for M. Dunleavy
0:48.0,,,64-71,,N. Mirotic misses 2-pt shot from 22 ft
0:47.0,Defensive rebound by L. Stephenson,,64-71,,
0:40.0,M. Williams misses 3-pt shot from 24 ft (block by P. Gasol),,64-71,,
0:39.0,Offensive rebound by M. Kidd-Gilchrist,,64-71,,
0:39.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,66-71,,
0:31.0,,,66-71,,Offensive foul by A. Brooks
0:31.0,,,66-71,,Turnover by A. Brooks (offensive foul)
0:08.0,K. Walker makes 3-pt shot from 24 ft (assist by M. Williams),3,69-71,,
0:01.0,,,69-74,3,P. Gasol makes 3-pt shot from 22 ft (assist by A. Brooks)
0:00.0,M. Williams misses 3-pt shot from 85 ft,,69-74,,
0:00.0,Offensive rebound by Team,,69-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,69-74,,N. Mirotic misses 3-pt shot from 26 ft
11:46.0,Defensive rebound by M. Williams,,69-74,,
11:26.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,69-74,,
11:25.0,Offensive rebound by B. Biyombo,,69-74,,
11:23.0,B. Biyombo misses 2-pt shot from 2 ft (block by T. Gibson),,69-74,,
11:21.0,,,69-74,,Defensive rebound by K. Hinrich
10:58.0,,,69-74,,T. Gibson misses 2-pt shot from 17 ft
10:57.0,Defensive rebound by M. Kidd-Gilchrist,,69-74,,
10:35.0,G. Henderson misses 2-pt shot from 1 ft,,69-74,,
10:34.0,,,69-74,,Defensive rebound by J. Butler
10:12.0,,,69-74,,J. Butler misses 2-pt shot from 21 ft
10:11.0,Defensive rebound by B. Biyombo,,69-74,,
9:57.0,G. Henderson makes 2-pt shot from 18 ft,2,71-74,,
9:37.0,,,71-76,2,N. Mirotic makes 2-pt shot from 1 ft
9:24.0,Turnover by B. Biyombo (kicked ball),,71-76,,
9:09.0,,,71-76,,J. Butler misses 2-pt shot from 12 ft (block by B. Biyombo)
9:07.0,Defensive rebound by G. Henderson,,71-76,,
9:02.0,M. Williams misses 2-pt shot from 2 ft (block by T. Snell),,71-76,,
9:01.0,,,71-76,,Defensive rebound by J. Butler
8:56.0,,,71-76,,Turnover by N. Mirotic (bad pass; steal by L. Stephenson)
8:53.0,Shooting foul by K. Hinrich (drawn by M. Kidd-Gilchrist),,71-76,,
8:53.0,Charlotte full timeout,,71-76,,
8:53.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,72-76,,
8:53.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,73-76,,
8:42.0,,,73-78,2,K. Hinrich makes 2-pt shot from 1 ft
8:17.0,M. Williams makes 2-pt shot from 19 ft,2,75-78,,
8:01.0,,,75-80,2,N. Mirotic makes 2-pt shot from 1 ft
7:49.0,Shooting foul by T. Snell (drawn by B. Biyombo),,75-80,,
7:49.0,B. Biyombo misses free throw 1 of 2,,75-80,,
7:49.0,Offensive rebound by Team,,75-80,,
7:49.0,M. Williams enters the game for M. Kidd-Gilchrist,,75-80,,
7:49.0,B. Biyombo makes free throw 2 of 2,1,76-80,,
7:23.0,,,76-82,2,N. Mirotic makes 2-pt shot from 22 ft
7:00.0,G. Henderson misses 2-pt shot from 17 ft,,76-82,,
6:59.0,,,76-82,,Defensive rebound by T. Snell
6:42.0,,,76-82,,K. Hinrich misses 2-pt shot from 21 ft
6:41.0,Defensive rebound by G. Henderson,,76-82,,
6:28.0,B. Biyombo misses 2-pt shot from 3 ft,,76-82,,
6:27.0,,,76-82,,Defensive rebound by N. Mirotic
6:13.0,,,76-82,,J. Butler misses 2-pt shot at rim
6:12.0,,,76-82,,Offensive rebound by J. Butler
6:12.0,,,76-84,2,J. Butler makes 2-pt shot at rim
6:12.0,Charlotte full timeout,,76-84,,
6:12.0,K. Walker enters the game for B. Biyombo,,76-84,,
6:12.0,J. Maxiell enters the game for L. Stephenson,,76-84,,
5:57.0,M. Williams misses 3-pt shot from 24 ft,,76-84,,
5:56.0,,,76-84,,Defensive rebound by K. Hinrich
5:30.0,,,76-84,,N. Mirotic misses 3-pt shot from 22 ft
5:29.0,Defensive rebound by G. Henderson,,76-84,,
5:16.0,Shooting foul by T. Snell (drawn by K. Walker),,76-84,,
5:16.0,K. Walker makes free throw 1 of 2,1,77-84,,
5:16.0,K. Walker makes free throw 2 of 2,1,78-84,,
4:55.0,,,78-86,2,J. Butler makes 2-pt shot from 15 ft (assist by T. Snell)
4:32.0,G. Henderson misses 2-pt shot from 20 ft,,78-86,,
4:31.0,,,78-86,,Defensive rebound by J. Butler
4:21.0,,,78-86,,J. Butler misses 2-pt shot from 15 ft
4:20.0,Defensive rebound by M. Williams,,78-86,,
4:04.0,Shooting foul by J. Butler (drawn by G. Henderson),,78-86,,
4:04.0,G. Henderson makes free throw 1 of 2,1,79-86,,
4:04.0,,,79-86,,A. Brooks enters the game for T. Snell
4:04.0,,,79-86,,P. Gasol enters the game for T. Gibson
4:04.0,G. Henderson misses free throw 2 of 2,,79-86,,
4:01.0,Offensive rebound by J. Maxiell,,79-86,,
3:57.0,Shooting foul by K. Hinrich (drawn by M. Williams),,79-86,,
3:57.0,M. Williams makes free throw 1 of 3,1,80-86,,
3:57.0,M. Williams makes free throw 2 of 3,1,81-86,,
3:57.0,M. Williams makes free throw 3 of 3,1,82-86,,
3:34.0,,,82-86,,K. Hinrich misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by G. Henderson,,82-86,,
3:24.0,K. Walker misses 3-pt shot from 24 ft,,82-86,,
3:21.0,Offensive rebound by G. Henderson,,82-86,,
3:21.0,G. Henderson misses 2-pt shot from 2 ft (block by P. Gasol),,82-86,,
3:19.0,,,82-86,,Defensive rebound by J. Butler
3:16.0,Personal foul by K. Walker (drawn by J. Butler),,82-86,,
3:09.0,Personal foul by K. Walker (drawn by A. Brooks),,82-86,,
2:59.0,,,82-86,,P. Gasol misses 2-pt shot from 1 ft
2:58.0,Defensive rebound by G. Henderson,,82-86,,
2:44.0,M. Williams misses 3-pt shot from 26 ft,,82-86,,
