time,New York,pts.away,score,pts.home,Utah
8:46.0,,,27-28,2,D. Favors makes 2-pt shot from 2 ft
8:33.0,Turnover by J. Smith (bad pass; steal by D. Favors),,27-28,,
8:21.0,,,27-28,,Shooting foul by C. Aldrich (drawn by E. Millsap)
8:21.0,Official timeout,,27-28,,
8:21.0,A. Bargnani enters the game for C. Aldrich,,27-28,,
8:21.0,L. Amundson enters the game for J. Smith,,27-28,,
8:21.0,L. Galloway enters the game for S. Larkin,,27-28,,
8:21.0,,,27-29,1,E. Millsap makes free throw 1 of 2
8:21.0,,,27-30,1,E. Millsap makes free throw 2 of 2
7:57.0,A. Bargnani misses 2-pt shot from 20 ft,,27-30,,
7:57.0,Offensive rebound by Team,,27-30,,
7:57.0,Turnover by Team (shot clock),,27-30,,
7:36.0,,,27-32,2,D. Favors makes 2-pt shot at rim
7:13.0,A. Bargnani makes 2-pt shot from 3 ft,2,29-32,,
7:13.0,,,29-32,,Violation by R. Gobert (def goaltending)
6:57.0,,,29-32,,D. Favors misses 2-pt shot from 13 ft
6:55.0,Defensive rebound by A. Shved,,29-32,,
6:44.0,A. Shved makes 2-pt shot from 19 ft,2,31-32,,
6:33.0,,,31-32,,Turnover by E. Millsap (offensive foul)
6:33.0,,,31-32,,Offensive foul by E. Millsap
6:33.0,,,31-32,,R. Hood enters the game for E. Millsap
6:16.0,Turnover by L. Galloway (bad pass; steal by D. Favors),,31-32,,
6:07.0,,,31-32,,Turnover by D. Favors (bad pass; steal by L. Amundson)
6:05.0,L. Amundson misses 2-pt shot from 1 ft,,31-32,,
6:03.0,,,31-32,,Defensive rebound by R. Hood
5:50.0,,,31-32,,D. Exum misses 3-pt shot from 24 ft
5:49.0,Defensive rebound by A. Shved,,31-32,,
5:33.0,L. Galloway misses 2-pt shot from 2 ft,,31-32,,
5:33.0,,,31-32,,Defensive rebound by Team
5:33.0,Personal foul by L. Amundson (drawn by R. Hood),,31-32,,
5:33.0,,,31-32,,Utah full timeout
5:33.0,C. Early enters the game for L. Amundson,,31-32,,
5:33.0,C. Aldrich enters the game for T. Wear,,31-32,,
5:12.0,,,31-32,,Shooting foul by C. Early (drawn by J. Ingles)
5:12.0,,,31-33,1,J. Ingles makes free throw 1 of 3
5:12.0,,,31-34,1,J. Ingles makes free throw 2 of 3
5:12.0,,,31-34,,T. Booker enters the game for D. Favors
5:12.0,,,31-34,,T. Burke enters the game for D. Exum
5:12.0,,,31-35,1,J. Ingles makes free throw 3 of 3
4:59.0,A. Bargnani misses 2-pt shot from 2 ft,,31-35,,
4:59.0,,,31-35,,Defensive rebound by Team
4:41.0,,,31-35,,J. Ingles misses 3-pt shot from 24 ft
4:40.0,,,31-35,,Offensive rebound by T. Booker
4:27.0,,,31-35,,T. Booker misses 2-pt shot from 17 ft
4:26.0,Defensive rebound by C. Early,,31-35,,
4:14.0,C. Aldrich misses 2-pt shot from 8 ft (block by R. Gobert),,31-35,,
4:12.0,,,31-35,,Defensive rebound by T. Burke
4:07.0,,,31-35,,R. Hood misses 3-pt shot from 24 ft
4:07.0,Defensive rebound by Team,,31-35,,
3:59.0,Turnover by C. Early (bad pass),,31-35,,
3:42.0,,,31-35,,R. Gobert misses 2-pt shot from 15 ft
3:41.0,Defensive rebound by C. Early,,31-35,,
3:32.0,C. Aldrich makes 2-pt shot from 2 ft (assist by L. Galloway),2,33-35,,
3:17.0,,,33-35,,Utah full timeout
3:17.0,L. Thomas enters the game for C. Early,,33-35,,
3:17.0,,,33-35,,J. Benimon enters the game for R. Gobert
3:01.0,,,33-37,2,T. Burke makes 2-pt shot from 3 ft
2:42.0,A. Bargnani misses 2-pt shot from 21 ft,,33-37,,
2:39.0,,,33-37,,Defensive rebound by J. Benimon
2:36.0,,,33-37,,Turnover by J. Benimon (lost ball; steal by C. Aldrich)
2:32.0,A. Shved misses 3-pt shot from 24 ft,,33-37,,
2:32.0,Offensive rebound by L. Thomas,,33-37,,
2:32.0,,,33-37,,Personal foul by R. Hood (drawn by L. Thomas)
2:32.0,New York full timeout,,33-37,,
2:32.0,,,33-37,,D. Favors enters the game for R. Hood
2:32.0,,,33-37,,D. Exum enters the game for T. Booker
2:32.0,J. Smith enters the game for C. Aldrich,,33-37,,
2:26.0,J. Smith misses 2-pt shot from 19 ft,,33-37,,
2:25.0,,,33-37,,Defensive rebound by D. Favors
2:01.0,,,33-37,,T. Burke misses 3-pt shot from 27 ft
2:01.0,,,33-37,,Offensive rebound by J. Benimon
2:01.0,,,33-37,,Turnover by Team (shot clock)
1:51.0,A. Bargnani misses 2-pt shot from 21 ft,,33-37,,
1:48.0,,,33-37,,Defensive rebound by T. Burke
1:44.0,,,33-39,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
1:26.0,L. Thomas misses 2-pt shot from 8 ft,,33-39,,
1:23.0,,,33-39,,Defensive rebound by J. Benimon
1:04.0,,,33-41,2,D. Favors makes 2-pt shot from 18 ft (assist by D. Exum)
0:56.0,New York full timeout,,33-41,,
0:56.0,S. Larkin enters the game for L. Galloway,,33-41,,
0:56.0,T. Wear enters the game for L. Thomas,,33-41,,
0:56.0,,,33-41,,R. Gobert enters the game for J. Benimon
0:52.0,Shooting foul by D. Exum (drawn by A. Shved),,33-41,,
0:52.0,A. Shved makes free throw 1 of 2,1,34-41,,
0:52.0,A. Shved makes free throw 2 of 2,1,35-41,,
0:32.0,,,35-41,,T. Burke misses 2-pt shot from 20 ft
0:31.0,Defensive rebound by A. Shved,,35-41,,
0:15.0,Turnover by A. Shved (bad pass; steal by R. Gobert),,35-41,,
0:02.0,,,35-43,2,D. Favors makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,L. Galloway misses 2-pt shot from 22 ft,,35-43,,
11:42.0,,,35-43,,Defensive rebound by R. Gobert
11:23.0,,,35-45,2,D. Favors makes 2-pt shot from 5 ft
11:04.0,A. Shved makes 2-pt shot from 16 ft,2,37-45,,
10:38.0,,,37-45,,E. Millsap misses 2-pt shot from 23 ft (block by A. Shved)
10:38.0,,,37-45,,Offensive rebound by Team
10:38.0,,,37-45,,Turnover by Team (shot clock)
10:21.0,Shooting foul by E. Millsap (drawn by L. Amundson),,37-45,,
10:21.0,L. Amundson misses free throw 1 of 2,,37-45,,
10:21.0,Offensive rebound by Team,,37-45,,
10:21.0,,,37-45,,R. Hood enters the game for E. Millsap
10:21.0,L. Amundson makes free throw 2 of 2,1,38-45,,
9:58.0,,,38-45,,R. Hood misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by A. Shved,,38-45,,
9:49.0,Turnover by A. Shved (bad pass),,38-45,,
9:29.0,,,38-45,,Shooting foul by L. Amundson (drawn by D. Favors)
9:29.0,,,38-45,,D. Favors misses free throw 1 of 2
9:29.0,,,38-45,,Offensive rebound by Team
9:29.0,,,38-46,1,D. Favors makes free throw 2 of 2
9:15.0,A. Bargnani misses 2-pt shot from 4 ft,,38-46,,
9:13.0,Offensive rebound by L. Amundson,,38-46,,
9:13.0,L. Amundson makes 2-pt shot from 2 ft,2,40-46,,
8:49.0,,,40-49,3,R. Hood makes 3-pt shot from 25 ft (assist by J. Ingles)
8:37.0,A. Bargnani makes 2-pt shot from 16 ft (assist by A. Shved),2,42-49,,
8:26.0,,,42-49,,R. Gobert misses 2-pt shot from 3 ft
8:26.0,Defensive rebound by Team,,42-49,,
8:26.0,,,42-49,,Personal foul by D. Favors (drawn by L. Amundson)
8:13.0,A. Shved makes 3-pt shot from 24 ft,3,45-49,,
8:01.0,Jump ball: L. Amundson vs. D. Favors (D. Exum gains possession),,,,Jump ball: L. Amundson vs. D. Favors (D. Exum gains possession)
7:52.0,,,45-49,,D. Favors misses 2-pt shot from 8 ft
7:51.0,Defensive rebound by A. Shved,,45-49,,
7:40.0,A. Bargnani makes 2-pt shot from 22 ft (assist by L. Galloway),2,47-49,,
7:18.0,,,47-49,,D. Exum misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by A. Bargnani,,47-49,,
7:05.0,A. Bargnani misses 3-pt shot from 25 ft,,47-49,,
7:04.0,,,47-49,,Defensive rebound by D. Favors
6:46.0,,,47-49,,R. Hood misses 2-pt shot from 4 ft (block by L. Amundson)
6:46.0,,,47-49,,Offensive rebound by Team
6:46.0,,,47-49,,T. Burke enters the game for J. Ingles
6:46.0,,,47-49,,T. Booker enters the game for R. Gobert
6:46.0,C. Early enters the game for L. Thomas,,47-49,,
6:42.0,,,47-51,2,R. Hood makes 2-pt shot from 16 ft
6:18.0,A. Bargnani makes 2-pt shot from 12 ft,2,49-51,,
5:54.0,,,49-51,,Turnover by T. Burke (bad pass; steal by A. Shved)
5:43.0,C. Early makes 3-pt shot from 23 ft (assist by A. Shved),3,52-51,,
5:43.0,,,52-51,,Utah full timeout
5:43.0,C. Aldrich enters the game for L. Amundson,,52-51,,
5:21.0,,,52-51,,R. Hood misses 2-pt shot from 3 ft
5:20.0,Defensive rebound by A. Bargnani,,52-51,,
4:59.0,A. Shved makes 3-pt shot from 26 ft (assist by L. Galloway),3,55-51,,
4:38.0,,,55-51,,D. Favors misses 2-pt shot from 5 ft
4:37.0,Defensive rebound by C. Aldrich,,55-51,,
4:32.0,L. Galloway misses 2-pt shot from 4 ft,,55-51,,
4:31.0,,,55-51,,Defensive rebound by D. Favors
4:28.0,Personal foul by A. Shved (drawn by T. Burke),,55-51,,
4:28.0,S. Larkin enters the game for L. Galloway,,55-51,,
4:10.0,,,55-51,,R. Hood misses 2-pt shot from 3 ft
4:09.0,Defensive rebound by C. Aldrich,,55-51,,
3:58.0,Turnover by A. Bargnani (traveling),,55-51,,
3:58.0,,,55-51,,R. Gobert enters the game for D. Favors
3:41.0,,,55-51,,T. Burke misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by C. Early,,55-51,,
3:27.0,C. Aldrich makes 2-pt shot from 6 ft (assist by C. Early),2,57-51,,
3:11.0,,,57-54,3,R. Hood makes 3-pt shot from 25 ft (assist by T. Burke)
2:48.0,C. Early makes 2-pt shot from 3 ft (assist by A. Bargnani),2,59-54,,
2:28.0,,,59-57,3,D. Exum makes 3-pt shot from 23 ft (assist by R. Hood)
2:07.0,C. Aldrich makes 2-pt shot from 7 ft,2,61-57,,
1:46.0,,,61-57,,Shooting foul by A. Shved (drawn by R. Gobert)
1:46.0,New York full timeout,,61-57,,
1:46.0,J. Smith enters the game for A. Bargnani,,61-57,,
1:46.0,L. Galloway enters the game for A. Shved,,61-57,,
1:46.0,,,61-57,,J. Ingles enters the game for T. Burke
1:46.0,,,61-57,,B. Cotton enters the game for D. Exum
1:46.0,,,61-57,,R. Gobert misses free throw 1 of 2
1:46.0,,,61-57,,Offensive rebound by Team
1:46.0,,,61-58,1,R. Gobert makes free throw 2 of 2
1:35.0,L. Galloway makes 2-pt shot from 13 ft,2,63-58,,
1:18.0,,,63-61,3,R. Hood makes 3-pt shot from 24 ft (assist by R. Gobert)
1:04.0,Turnover by L. Galloway (bad pass; steal by R. Gobert),,63-61,,
1:02.0,Personal foul by L. Galloway (drawn by B. Cotton),,63-61,,
1:02.0,,,63-62,1,B. Cotton makes free throw 1 of 2
1:02.0,,,63-63,1,B. Cotton makes free throw 2 of 2
0:41.0,C. Early misses 2-pt shot from 7 ft (block by R. Gobert),,63-63,,
0:39.0,Offensive rebound by Team,,63-63,,
0:38.0,Turnover by Team (shot clock),,63-63,,
0:38.0,L. Thomas enters the game for C. Early,,63-63,,
0:28.0,Personal foul by L. Galloway (drawn by R. Hood),,63-63,,
0:28.0,,,63-64,1,R. Hood makes free throw 1 of 2
0:28.0,A. Shved enters the game for L. Galloway,,63-64,,
0:28.0,,,63-65,1,R. Hood makes free throw 2 of 2
0:15.0,S. Larkin makes 2-pt shot from 20 ft (assist by J. Smith),2,65-65,,
0:01.0,,,65-65,,T. Booker misses 2-pt shot from 21 ft
0:00.0,,,65-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,65-65,,R. Hood misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by C. Aldrich,,65-65,,
11:23.0,J. Smith misses 2-pt shot from 5 ft,,65-65,,
11:22.0,,,65-65,,Defensive rebound by R. Gobert
11:07.0,Personal foul by L. Thomas (drawn by R. Hood),,65-65,,
11:07.0,,,65-65,,E. Millsap enters the game for J. Ingles
11:07.0,,,65-65,,J. Evans enters the game for T. Booker
11:07.0,,,65-65,,J. Ingles enters the game for R. Hood
11:04.0,Personal foul by L. Thomas (drawn by J. Ingles),,65-65,,
11:04.0,T. Wear enters the game for L. Thomas,,65-65,,
10:56.0,,,65-65,,B. Cotton misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by C. Aldrich,,65-65,,
10:38.0,C. Aldrich misses 2-pt shot from 7 ft,,65-65,,
10:36.0,,,65-65,,Defensive rebound by J. Ingles
10:20.0,,,65-67,2,J. Ingles makes 2-pt shot from 20 ft
10:01.0,A. Shved makes 3-pt shot from 24 ft (assist by J. Smith),3,68-67,,
9:47.0,,,68-67,,J. Ingles misses 2-pt shot from 21 ft
9:45.0,Defensive rebound by Team,,68-67,,
9:34.0,J. Smith misses 2-pt shot from 2 ft,,68-67,,
9:32.0,,,68-67,,Defensive rebound by R. Gobert
9:25.0,,,68-69,2,R. Gobert makes 2-pt shot from 3 ft (assist by B. Cotton)
9:25.0,,,68-69,,Shooting foul by A. Shved (drawn by R. Gobert)
9:25.0,,,68-69,,T. Burke enters the game for B. Cotton
9:25.0,,,68-69,,R. Gobert misses free throw 1 of 1
9:23.0,Defensive rebound by C. Aldrich,,68-69,,
9:11.0,,,68-69,,Personal foul by J. Evans (drawn by J. Smith)
9:11.0,,,68-69,,D. Favors enters the game for R. Gobert
9:01.0,S. Larkin misses 2-pt shot from 20 ft,,68-69,,
9:00.0,Offensive rebound by C. Aldrich,,68-69,,
9:00.0,C. Aldrich makes 2-pt shot at rim,2,70-69,,
9:00.0,Shooting foul by E. Millsap (drawn by C. Aldrich),,70-69,,
9:00.0,,,70-69,,D. Exum enters the game for E. Millsap
9:00.0,C. Aldrich makes free throw 1 of 1,1,71-69,,
8:37.0,,,71-69,,T. Burke misses 2-pt shot from 3 ft
8:34.0,,,71-69,,Offensive rebound by D. Favors
8:34.0,,,71-71,2,D. Favors makes 2-pt shot from 3 ft
8:11.0,T. Wear misses 2-pt shot from 21 ft,,71-71,,
8:10.0,,,71-71,,Defensive rebound by T. Burke
7:54.0,,,71-71,,D. Favors misses 2-pt shot from 8 ft
7:53.0,Defensive rebound by J. Smith,,71-71,,
7:48.0,New York full timeout,,71-71,,
7:48.0,L. Galloway enters the game for A. Shved,,71-71,,
7:48.0,A. Bargnani enters the game for J. Smith,,71-71,,
7:48.0,,,71-71,,R. Gobert enters the game for J. Evans
7:34.0,A. Bargnani misses 2-pt shot from 7 ft,,71-71,,
7:32.0,,,71-71,,Defensive rebound by R. Gobert
