time,Phoenix,pts.away,score,pts.home,Sacramento
9:10.0,Offensive rebound by B. Wright,,20-32,,
9:03.0,G. Green makes 2-pt shot from 18 ft,2,22-32,,
8:49.0,,,22-32,,C. Landry misses 2-pt shot from 18 ft
8:48.0,Defensive rebound by I. Thomas,,22-32,,
8:43.0,P. Tucker makes 2-pt shot from 2 ft (assist by I. Thomas),2,24-32,,
8:23.0,,,24-32,,Shooting foul by B. Wright (drawn by R. Evans)
8:23.0,Official timeout,,24-32,,
8:23.0,,,24-33,1,R. Evans makes free throw 1 of 2
8:23.0,,,24-34,1,R. Evans makes free throw 2 of 2
8:06.0,B. Wright makes 2-pt shot from 7 ft,2,26-34,,
7:44.0,,,26-34,,D. Williams misses 2-pt shot from 6 ft
7:43.0,Defensive rebound by T. Warren,,26-34,,
7:35.0,T. Warren makes 2-pt shot from 2 ft (assist by I. Thomas),2,28-34,,
7:22.0,,,28-36,2,R. McCallum makes 2-pt shot from 16 ft (assist by R. Evans)
7:13.0,P. Tucker misses 3-pt shot from 22 ft,,28-36,,
7:12.0,,,28-36,,Defensive rebound by N. Stauskas
7:02.0,,,28-38,2,C. Landry makes 2-pt shot from 15 ft (assist by N. Stauskas)
6:43.0,T. Warren makes 2-pt shot from 2 ft (assist by P. Tucker),2,30-38,,
6:22.0,,,30-38,,D. Williams misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by G. Green,,30-38,,
6:11.0,P. Tucker misses 3-pt shot from 24 ft,,30-38,,
6:10.0,,,30-38,,Defensive rebound by D. Williams
5:54.0,,,30-38,,D. Williams misses 2-pt shot from 11 ft
5:53.0,Defensive rebound by T. Warren,,30-38,,
5:48.0,Shooting foul by R. McCallum (drawn by I. Thomas),,30-38,,
5:48.0,,,30-38,,Sacramento full timeout
5:48.0,,,30-38,,O. Casspi enters the game for D. Williams
5:48.0,,,30-38,,J. Thompson enters the game for C. Landry
5:48.0,,,30-38,,D. Cousins enters the game for R. Evans
5:48.0,M. Morris enters the game for P. Tucker,,30-38,,
5:48.0,M. Plumlee enters the game for B. Wright,,30-38,,
5:48.0,I. Thomas misses free throw 1 of 2,,30-38,,
5:48.0,Offensive rebound by Team,,30-38,,
5:48.0,I. Thomas makes free throw 2 of 2,1,31-38,,
5:32.0,,,31-38,,Turnover by R. McCallum (bad pass; steal by M. Plumlee)
5:28.0,I. Thomas makes 2-pt shot from 2 ft,2,33-38,,
5:12.0,Personal foul by T. Warren (drawn by J. Thompson),,33-38,,
5:12.0,,,33-38,,R. Sessions enters the game for R. McCallum
5:12.0,G. Dragic enters the game for G. Green,,33-38,,
5:03.0,,,33-38,,Shooting foul by M. Morris (drawn by J. Thompson)
5:03.0,,,33-38,,J. Thompson misses free throw 1 of 2
5:03.0,,,33-38,,Offensive rebound by Team
5:03.0,,,33-39,1,J. Thompson makes free throw 2 of 2
4:52.0,T. Warren misses 2-pt shot from 9 ft,,33-39,,
4:52.0,Offensive rebound by T. Warren,,33-39,,
4:49.0,T. Warren makes 2-pt shot from 4 ft,2,35-39,,
4:31.0,,,35-39,,D. Cousins misses 2-pt shot from 7 ft (block by M. Plumlee)
4:30.0,,,35-39,,Offensive rebound by J. Thompson
4:28.0,,,35-41,2,J. Thompson makes 2-pt shot from 6 ft
4:13.0,G. Dragic makes 2-pt shot from 6 ft (assist by T. Warren),2,37-41,,
3:59.0,,,37-41,,N. Stauskas misses 2-pt shot from 4 ft
3:58.0,Defensive rebound by T. Warren,,37-41,,
3:55.0,Turnover by M. Plumlee (lost ball),,37-41,,
3:55.0,,,37-41,,B. McLemore enters the game for N. Stauskas
3:34.0,,,37-41,,J. Thompson misses 2-pt shot from 12 ft
3:33.0,,,37-41,,Offensive rebound by D. Cousins
3:31.0,,,37-41,,D. Cousins misses 2-pt shot from 7 ft
3:29.0,Defensive rebound by M. Plumlee,,37-41,,
3:25.0,,,37-41,,Personal foul by B. McLemore (drawn by T. Warren)
3:19.0,I. Thomas misses 3-pt shot from 24 ft,,37-41,,
3:18.0,Offensive rebound by T. Warren,,37-41,,
3:18.0,T. Warren misses 2-pt shot from 1 ft,,37-41,,
3:17.0,,,37-41,,Defensive rebound by D. Cousins
2:59.0,,,37-41,,D. Cousins misses 2-pt shot from 4 ft
2:58.0,Defensive rebound by M. Plumlee,,37-41,,
2:47.0,M. Morris misses 2-pt shot from 19 ft,,37-41,,
2:46.0,,,37-41,,Defensive rebound by D. Cousins
2:42.0,,,37-41,,Turnover by D. Cousins (bad pass; steal by I. Thomas)
2:38.0,I. Thomas makes 2-pt shot from 14 ft,2,39-41,,
2:37.0,,,39-41,,Sacramento full timeout
2:37.0,Phoenix full timeout,,39-41,,
2:37.0,,,39-41,,Technical foul by D. Cousins
2:37.0,I. Thomas makes technical free throw,1,40-41,,
2:20.0,,,40-41,,Turnover by D. Cousins (traveling)
2:04.0,Turnover by T. Warren (bad pass),,40-41,,
2:04.0,M. Morris enters the game for M. Plumlee,,40-41,,
1:47.0,,,40-44,3,B. McLemore makes 3-pt shot from 25 ft (assist by R. Sessions)
1:31.0,M. Morris misses 3-pt shot from 25 ft,,40-44,,
1:30.0,,,40-44,,Defensive rebound by R. Sessions
1:29.0,,,40-46,2,D. Cousins makes 2-pt shot at rim (assist by R. Sessions)
1:15.0,M. Morris misses 2-pt shot at rim (block by D. Cousins),,40-46,,
1:13.0,,,40-46,,Defensive rebound by R. Sessions
1:07.0,,,40-46,,O. Casspi misses 2-pt shot from 12 ft
1:07.0,Defensive rebound by M. Morris,,40-46,,
1:00.0,M. Morris misses 2-pt shot from 19 ft,,40-46,,
1:00.0,,,40-46,,Defensive rebound by O. Casspi
0:47.0,Personal foul by M. Morris (drawn by D. Cousins),,40-46,,
0:47.0,,,40-47,1,D. Cousins makes free throw 1 of 2
0:47.0,P. Tucker enters the game for M. Morris,,40-47,,
0:47.0,,,40-48,1,D. Cousins makes free throw 2 of 2
0:31.0,I. Thomas makes 2-pt shot from 3 ft,2,42-48,,
0:16.0,,,42-48,,Shooting foul by T. Warren (drawn by O. Casspi)
0:16.0,,,42-48,,O. Casspi misses free throw 1 of 2
0:16.0,,,42-48,,Offensive rebound by Team
0:16.0,,,42-48,,D. Williams enters the game for D. Cousins
0:16.0,,,42-48,,R. McCallum enters the game for B. McLemore
0:16.0,,,42-48,,O. Casspi misses free throw 2 of 2
0:13.0,Defensive rebound by Team,,42-48,,
0:01.0,M. Morris misses 2-pt shot from 19 ft,,42-48,,
0:00.0,Offensive rebound by Team,,42-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,42-51,3,O. Casspi makes 3-pt shot from 24 ft (assist by D. Cousins)
11:10.0,M. Plumlee makes 2-pt shot at rim (assist by G. Dragic),2,44-51,,
10:47.0,,,44-51,,B. McLemore misses 3-pt shot from 23 ft
10:47.0,Defensive rebound by P. Tucker,,44-51,,
10:41.0,Turnover by G. Dragic (traveling),,44-51,,
10:25.0,,,44-51,,O. Casspi misses 2-pt shot from 6 ft
10:24.0,Defensive rebound by M. Morris,,44-51,,
10:12.0,I. Thomas misses 2-pt shot from 17 ft,,44-51,,
10:11.0,Offensive rebound by M. Morris,,44-51,,
10:05.0,Turnover by G. Dragic (traveling),,44-51,,
9:49.0,,,44-53,2,D. Cousins makes 2-pt shot from 4 ft (assist by J. Thompson)
9:31.0,M. Morris misses 2-pt shot from 2 ft,,44-53,,
9:30.0,,,44-53,,Defensive rebound by D. Cousins
9:22.0,,,44-55,2,D. Cousins makes 2-pt shot from 14 ft
9:22.0,Phoenix full timeout,,44-55,,
9:10.0,M. Morris misses 2-pt shot from 7 ft,,44-55,,
9:09.0,,,44-55,,Defensive rebound by J. Thompson
8:53.0,,,44-55,,Turnover by J. Thompson (bad pass; steal by G. Dragic)
8:36.0,M. Morris misses 2-pt shot from 7 ft,,44-55,,
8:36.0,,,44-55,,Defensive rebound by D. Cousins
8:28.0,,,44-55,,J. Thompson misses 2-pt shot from 2 ft (block by M. Plumlee)
8:27.0,Defensive rebound by Team,,44-55,,
8:15.0,M. Morris misses 2-pt shot from 11 ft,,44-55,,
8:15.0,,,44-55,,Defensive rebound by B. McLemore
8:13.0,,,44-55,,Turnover by B. McLemore (lost ball; steal by G. Dragic)
8:06.0,G. Dragic makes 2-pt shot from 16 ft,2,46-55,,
7:49.0,,,46-55,,D. Cousins misses 2-pt shot from 20 ft
7:48.0,Defensive rebound by P. Tucker,,46-55,,
7:44.0,Offensive foul by M. Plumlee,,46-55,,
7:44.0,Turnover by M. Plumlee (offensive foul),,46-55,,
7:41.0,M. Morris enters the game for M. Morris,,46-55,,
7:33.0,Personal foul by M. Plumlee (drawn by D. Cousins),,46-55,,
7:33.0,B. Wright enters the game for M. Plumlee,,46-55,,
7:30.0,Personal foul by M. Morris (drawn by O. Casspi),,46-55,,
7:18.0,,,46-55,,D. Cousins misses 2-pt shot from 15 ft
7:16.0,,,46-55,,Offensive rebound by O. Casspi
7:13.0,,,46-55,,Turnover by O. Casspi (bad pass; steal by G. Dragic)
7:10.0,G. Dragic makes 2-pt shot from 1 ft,2,48-55,,
6:50.0,,,48-57,2,J. Thompson makes 2-pt shot from 17 ft (assist by R. Sessions)
6:35.0,G. Dragic misses 3-pt shot from 24 ft,,48-57,,
6:34.0,Offensive rebound by P. Tucker,,48-57,,
6:28.0,P. Tucker misses 2-pt shot from 13 ft,,48-57,,
6:27.0,,,48-57,,Defensive rebound by O. Casspi
6:18.0,,,48-57,,Shooting foul by G. Dragic (drawn by R. Sessions)
6:18.0,,,48-57,,R. Sessions misses free throw 1 of 2
6:18.0,,,48-57,,Offensive rebound by Team
6:18.0,,,48-57,,D. Williams enters the game for O. Casspi
6:18.0,,,48-58,1,R. Sessions makes free throw 2 of 2
6:00.0,I. Thomas makes 3-pt shot from 24 ft (assist by G. Dragic),3,51-58,,
5:39.0,,,51-61,3,B. McLemore makes 3-pt shot from 24 ft (assist by D. Williams)
5:22.0,I. Thomas misses 3-pt shot from 24 ft,,51-61,,
5:21.0,,,51-61,,Defensive rebound by D. Williams
5:12.0,,,51-61,,Shooting foul by G. Dragic (drawn by B. McLemore)
5:12.0,,,51-62,1,B. McLemore makes free throw 1 of 2
5:12.0,,,51-63,1,B. McLemore makes free throw 2 of 2
4:59.0,M. Morris makes 2-pt shot from 3 ft (assist by P. Tucker),2,53-63,,
4:40.0,,,53-63,,J. Thompson misses 2-pt shot from 15 ft
4:40.0,Defensive rebound by M. Morris,,53-63,,
4:32.0,P. Tucker makes 3-pt shot from 23 ft (assist by I. Thomas),3,56-63,,
4:14.0,,,56-63,,R. Sessions misses 2-pt shot from 9 ft
4:14.0,Defensive rebound by Team,,56-63,,
4:14.0,,,56-63,,Loose ball foul by J. Thompson (drawn by B. Wright)
4:14.0,,,56-63,,R. Evans enters the game for J. Thompson
4:03.0,M. Morris misses 2-pt shot from 14 ft,,56-63,,
4:02.0,,,56-63,,Defensive rebound by D. Cousins
3:41.0,Shooting block foul by P. Tucker (drawn by D. Cousins),,56-63,,
3:41.0,,,56-63,,D. Cousins misses free throw 1 of 2
3:41.0,,,56-63,,Offensive rebound by Team
3:41.0,,,56-63,,D. Cousins misses free throw 2 of 2
3:40.0,Defensive rebound by B. Wright,,56-63,,
3:26.0,Shooting foul by B. McLemore (drawn by G. Dragic),,56-63,,
3:26.0,G. Dragic misses free throw 1 of 2,,56-63,,
3:26.0,Offensive rebound by Team,,56-63,,
3:26.0,G. Green enters the game for I. Thomas,,56-63,,
3:26.0,G. Dragic makes free throw 2 of 2,1,57-63,,
3:15.0,,,57-65,2,D. Cousins makes 2-pt shot at rim
2:58.0,Turnover by G. Dragic (bad pass),,57-65,,
2:58.0,,,57-65,,Sacramento full timeout
2:58.0,,,57-65,,R. McCallum enters the game for R. Sessions
2:42.0,,,57-67,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Evans)
2:29.0,Shooting foul by D. Cousins (drawn by B. Wright),,57-67,,
2:29.0,B. Wright misses free throw 1 of 2,,57-67,,
2:29.0,Offensive rebound by Team,,57-67,,
2:29.0,B. Wright makes free throw 2 of 2,1,58-67,,
2:04.0,,,58-67,,B. McLemore misses 2-pt shot from 6 ft
2:03.0,Defensive rebound by P. Tucker,,58-67,,
1:56.0,,,58-67,,Personal foul by R. Evans (drawn by G. Green)
1:56.0,,,58-67,,C. Landry enters the game for D. Cousins
1:49.0,G. Green misses 3-pt shot from 23 ft,,58-67,,
1:47.0,,,58-67,,Defensive rebound by Team
1:36.0,Personal foul by G. Dragic (drawn by R. McCallum),,58-67,,
1:36.0,,,58-68,1,R. McCallum makes free throw 1 of 2
1:36.0,M. Morris enters the game for P. Tucker,,58-68,,
1:36.0,,,58-69,1,R. McCallum makes free throw 2 of 2
1:23.0,,,58-69,,Personal foul by R. Evans (drawn by G. Green)
1:23.0,G. Green misses free throw 1 of 2,,58-69,,
1:23.0,Offensive rebound by Team,,58-69,,
1:23.0,G. Green makes free throw 2 of 2,1,59-69,,
1:07.0,,,59-69,,D. Williams misses 2-pt shot from 8 ft
1:07.0,Defensive rebound by M. Morris,,59-69,,
0:56.0,M. Morris misses 2-pt shot from 19 ft,,59-69,,
0:55.0,,,59-69,,Defensive rebound by R. Evans
0:46.0,,,59-71,2,R. Evans makes 2-pt shot at rim (assist by C. Landry)
0:36.0,G. Dragic misses 2-pt shot from 17 ft,,59-71,,
0:35.0,,,59-71,,Defensive rebound by C. Landry
0:19.0,,,59-73,2,R. McCallum makes 2-pt shot from 20 ft
0:00.0,G. Green misses 3-pt shot from 24 ft,,59-73,,
0:00.0,Offensive rebound by Team,,59-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Offensive foul by M. Morris,,59-73,,
11:45.0,Turnover by M. Morris (offensive foul),,59-73,,
11:35.0,,,59-73,,R. McCallum misses 2-pt shot from 14 ft
11:34.0,Defensive rebound by G. Green,,59-73,,
11:23.0,M. Morris misses 2-pt shot from 14 ft,,59-73,,
11:22.0,,,59-73,,Defensive rebound by C. Landry
11:08.0,Personal foul by G. Green (drawn by B. McLemore),,59-73,,
11:08.0,T. Warren enters the game for M. Morris,,59-73,,
10:59.0,,,59-73,,B. McLemore misses 3-pt shot from 23 ft
10:58.0,Defensive rebound by M. Plumlee,,59-73,,
10:37.0,Shooting foul by D. Williams (drawn by M. Morris),,59-73,,
10:37.0,M. Morris makes free throw 1 of 2,1,60-73,,
10:37.0,M. Morris makes free throw 2 of 2,1,61-73,,
10:17.0,,,61-73,,C. Landry misses 2-pt shot from 5 ft
10:17.0,Defensive rebound by M. Plumlee,,61-73,,
10:08.0,G. Green makes 2-pt shot from 17 ft,2,63-73,,
9:53.0,Personal foul by G. Green (drawn by C. Landry),,63-73,,
9:53.0,,,63-73,,D. Cousins enters the game for R. Evans
9:38.0,,,63-75,2,D. Cousins makes 2-pt shot from 2 ft
9:21.0,T. Warren misses 3-pt shot from 23 ft,,63-75,,
9:21.0,Offensive rebound by M. Plumlee,,63-75,,
9:17.0,I. Thomas makes 3-pt shot from 24 ft (assist by M. Plumlee),3,66-75,,
8:58.0,,,66-77,2,R. McCallum makes 2-pt shot from 3 ft
8:46.0,G. Green misses 3-pt shot from 23 ft,,66-77,,
8:45.0,,,66-77,,Defensive rebound by D. Cousins
8:24.0,,,66-77,,B. McLemore misses 3-pt shot from 23 ft
8:24.0,Defensive rebound by M. Plumlee,,66-77,,
8:20.0,G. Green makes 2-pt shot at rim (assist by I. Thomas),2,68-77,,
8:13.0,,,68-77,,Sacramento full timeout
8:13.0,,,68-77,,N. Stauskas enters the game for B. McLemore
8:11.0,,,68-77,,Turnover by R. McCallum (back court)
8:00.0,M. Morris misses 3-pt shot from 24 ft,,68-77,,
8:00.0,,,68-77,,Defensive rebound by D. Williams
7:41.0,,,68-77,,D. Cousins misses 2-pt shot from 3 ft (block by M. Plumlee)
7:40.0,Defensive rebound by M. Plumlee,,68-77,,
7:35.0,G. Green misses 3-pt shot from 25 ft,,68-77,,
7:33.0,Offensive rebound by M. Morris,,68-77,,
7:33.0,M. Morris makes 2-pt shot at rim,2,70-77,,
7:23.0,Personal foul by M. Plumlee (drawn by D. Cousins),,70-77,,
7:23.0,,,70-77,,J. Thompson enters the game for C. Landry
7:09.0,,,70-77,,R. McCallum misses 3-pt shot from 23 ft
7:09.0,,,70-77,,Offensive rebound by Team
7:09.0,,,70-77,,Turnover by Team (shot clock)
7:09.0,P. Tucker enters the game for T. Warren,,70-77,,
6:56.0,M. Plumlee makes 2-pt shot at rim (assist by G. Green),2,72-77,,
6:32.0,,,72-77,,D. Cousins misses 2-pt shot from 16 ft
6:32.0,Defensive rebound by P. Tucker,,72-77,,
6:08.0,M. Morris misses 2-pt shot from 15 ft,,72-77,,
6:08.0,,,72-77,,Defensive rebound by R. McCallum
5:49.0,,,72-77,,D. Cousins misses 2-pt shot from 1 ft
5:48.0,Defensive rebound by M. Plumlee,,72-77,,
5:43.0,I. Thomas misses 3-pt shot from 24 ft,,72-77,,
5:41.0,,,72-77,,Defensive rebound by Team
5:41.0,Official timeout,,72-77,,
5:41.0,G. Dragic enters the game for G. Green,,72-77,,
5:41.0,,,72-77,,R. Sessions enters the game for R. McCallum
5:41.0,,,72-77,,B. McLemore enters the game for N. Stauskas
5:28.0,,,72-77,,J. Thompson misses 2-pt shot from 2 ft
5:26.0,,,72-77,,Offensive rebound by D. Cousins
5:25.0,,,72-77,,D. Cousins misses 2-pt shot from 3 ft
5:23.0,Defensive rebound by P. Tucker,,72-77,,
5:00.0,G. Dragic misses 2-pt shot from 7 ft,,72-77,,
5:00.0,,,72-77,,Defensive rebound by R. Sessions
4:49.0,,,72-79,2,R. Sessions makes 2-pt shot from 1 ft
4:27.0,I. Thomas misses 3-pt shot from 24 ft,,72-79,,
4:27.0,,,72-79,,Defensive rebound by J. Thompson
4:07.0,,,72-79,,J. Thompson misses 2-pt shot from 18 ft
4:07.0,Defensive rebound by M. Plumlee,,72-79,,
4:02.0,Shooting foul by R. Sessions (drawn by I. Thomas),,72-79,,
4:02.0,I. Thomas misses free throw 1 of 2,,72-79,,
4:02.0,Offensive rebound by Team,,72-79,,
4:02.0,I. Thomas makes free throw 2 of 2,1,73-79,,
3:38.0,,,73-79,,D. Williams misses 2-pt shot from 16 ft
3:37.0,Defensive rebound by M. Plumlee,,73-79,,
3:26.0,I. Thomas makes 2-pt shot from 5 ft (assist by P. Tucker),2,75-79,,
3:00.0,,,75-79,,B. McLemore misses 2-pt shot from 7 ft
2:59.0,Defensive rebound by I. Thomas,,75-79,,
2:56.0,Shooting foul by R. Sessions (drawn by I. Thomas),,75-79,,
2:56.0,Phoenix full timeout,,75-79,,
2:56.0,I. Thomas makes free throw 1 of 2,1,76-79,,
2:56.0,I. Thomas makes free throw 2 of 2,1,77-79,,
2:42.0,,,77-81,2,R. Sessions makes 2-pt shot from 18 ft
2:34.0,,,77-81,,Personal foul by R. Sessions (drawn by I. Thomas)
2:27.0,I. Thomas makes 2-pt shot from 6 ft,2,79-81,,
