time,New Orleans,pts.away,score,pts.home,Boston
5:59.0,,,32-36,2,J. Crowder makes 2-pt shot at rim (assist by A. Bradley)
5:44.0,Shooting foul by M. Smart (drawn by A. Davis),,32-36,,
5:44.0,A. Davis makes free throw 1 of 2,1,33-36,,
5:44.0,D. Cunningham enters the game for T. Evans,,33-36,,
5:44.0,A. Davis makes free throw 2 of 2,1,34-36,,
5:23.0,,,34-36,,A. Bradley misses 2-pt shot from 18 ft
5:21.0,,,34-36,,Offensive rebound by B. Bass
5:21.0,,,34-36,,B. Bass misses 2-pt shot from 8 ft
5:20.0,Defensive rebound by D. Cunningham,,34-36,,
5:05.0,R. Anderson makes 3-pt shot from 25 ft (assist by A. Davis),3,37-36,,
4:47.0,,,37-39,3,A. Bradley makes 3-pt shot from 22 ft (assist by M. Smart)
4:42.0,Offensive charge foul by E. Gordon,,37-39,,
4:42.0,Turnover by E. Gordon (offensive foul),,37-39,,
4:42.0,,,37-39,,J. Sullinger enters the game for B. Bass
4:42.0,,,37-39,,E. Turner enters the game for M. Smart
4:27.0,,,37-39,,Turnover by T. Zeller (traveling)
4:07.0,J. Holiday makes 2-pt shot from 1 ft (assist by A. Davis),2,39-39,,
3:47.0,,,39-39,,T. Zeller misses 2-pt shot from 2 ft (block by R. Anderson)
3:46.0,,,39-39,,Offensive rebound by Team
3:41.0,,,39-39,,T. Zeller misses 2-pt shot from 3 ft
3:40.0,Defensive rebound by R. Anderson,,39-39,,
3:38.0,Turnover by R. Anderson (bad pass; steal by J. Crowder),,39-39,,
3:32.0,,,39-41,2,J. Sullinger makes 2-pt shot from 2 ft (assist by E. Turner)
3:31.0,New Orleans full timeout,,39-41,,
3:17.0,Shooting foul by E. Turner (drawn by E. Gordon),,39-41,,
3:17.0,E. Gordon makes free throw 1 of 2,1,40-41,,
3:17.0,E. Gordon makes free throw 2 of 2,1,41-41,,
3:06.0,Personal foul by R. Anderson (drawn by T. Zeller),,41-41,,
3:06.0,,,41-41,,M. Smart enters the game for T. Zeller
2:56.0,,,41-41,,A. Bradley misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by A. Davis,,41-41,,
2:42.0,Turnover by E. Gordon (bad pass; steal by J. Crowder),,41-41,,
2:37.0,,,41-43,2,J. Crowder makes 2-pt shot from 1 ft
2:22.0,E. Gordon makes 3-pt shot from 24 ft (assist by A. Davis),3,44-43,,
2:04.0,,,44-45,2,J. Sullinger makes 2-pt shot from 5 ft (assist by J. Crowder)
1:49.0,Turnover by J. Holiday (bad pass),,44-45,,
1:38.0,,,44-45,,Turnover by E. Turner (lost ball)
1:38.0,T. Evans enters the game for D. Cunningham,,44-45,,
1:25.0,E. Gordon makes 2-pt shot from 1 ft,2,46-45,,
1:00.0,,,46-45,,J. Crowder misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by J. Holiday,,46-45,,
0:52.0,Shooting foul by J. Crowder (drawn by A. Davis),,46-45,,
0:52.0,A. Davis makes 2-pt shot from 6 ft (assist by E. Gordon),2,48-45,,
0:52.0,D. Cunningham enters the game for R. Anderson,,48-45,,
0:52.0,A. Davis makes free throw 1 of 1,1,49-45,,
0:32.0,,,49-47,2,J. Sullinger makes 2-pt shot at rim (assist by E. Turner)
0:10.0,T. Evans misses 2-pt shot from 8 ft,,49-47,,
0:09.0,,,49-47,,Defensive rebound by E. Turner
0:05.0,,,49-49,2,J. Crowder makes 2-pt shot at rim (assist by A. Bradley)
0:02.0,Turnover by J. Holiday (lost ball; steal by M. Smart),,49-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,49-51,2,E. Turner makes 2-pt shot at rim
