time,San Antonio,pts.away,score,pts.home,Charlotte
5:40.0,,,8-11,2,K. Walker makes 2-pt shot from 1 ft (assist by C. Zeller)
5:40.0,San Antonio full timeout,,8-11,,
5:40.0,B. Diaw enters the game for A. Daye,,8-11,,
5:40.0,M. Ginobili enters the game for T. Duncan,,8-11,,
5:40.0,T. Splitter enters the game for M. Bonner,,8-11,,
5:40.0,C. Joseph enters the game for D. Green,,8-11,,
5:40.0,P. Mills enters the game for T. Parker,,8-11,,
5:19.0,M. Ginobili makes 2-pt shot from 8 ft (assist by C. Joseph),2,10-11,,
4:59.0,,,10-11,,G. Henderson misses 2-pt shot from 12 ft
4:58.0,Defensive rebound by T. Splitter,,10-11,,
4:52.0,Shooting foul by B. Biyombo (drawn by T. Splitter),,10-11,,
4:52.0,T. Splitter misses free throw 1 of 2,,10-11,,
4:52.0,Offensive rebound by Team,,10-11,,
4:52.0,,,10-11,,M. Williams enters the game for C. Zeller
4:52.0,T. Splitter makes free throw 2 of 2,1,11-11,,
4:40.0,,,11-11,,Turnover by M. Williams (offensive foul)
4:40.0,,,11-11,,Offensive foul by M. Williams
4:27.0,T. Splitter makes 2-pt shot at rim (assist by M. Ginobili),2,13-11,,
4:11.0,,,13-11,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
4:10.0,,,13-11,,Offensive rebound by B. Biyombo
4:10.0,,,13-11,,B. Biyombo misses 2-pt shot at rim (block by T. Splitter)
4:08.0,,,13-11,,Offensive rebound by G. Henderson
4:00.0,,,13-11,,M. Williams misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by T. Splitter,,13-11,,
3:46.0,P. Mills makes 2-pt shot from 15 ft (assist by C. Joseph),2,15-11,,
3:27.0,,,15-11,,K. Walker misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by T. Splitter,,15-11,,
3:13.0,M. Ginobili makes 2-pt shot from 16 ft,2,17-11,,
3:05.0,,,17-11,,Charlotte full timeout
3:05.0,,,17-11,,J. Maxiell enters the game for B. Biyombo
3:05.0,,,17-11,,L. Stephenson enters the game for G. Henderson
2:47.0,,,17-11,,L. Stephenson misses 2-pt shot from 1 ft
2:47.0,,,17-11,,Offensive rebound by J. Maxiell
2:47.0,,,17-11,,Turnover by Team (shot clock)
2:36.0,P. Mills misses 2-pt shot from 20 ft,,17-11,,
2:35.0,,,17-11,,Defensive rebound by M. Williams
2:15.0,,,17-11,,L. Stephenson misses 2-pt shot from 1 ft
2:14.0,Defensive rebound by B. Diaw,,17-11,,
2:10.0,C. Joseph misses 2-pt shot from 2 ft (block by K. Walker),,17-11,,
2:10.0,Offensive rebound by Team,,17-11,,
2:10.0,Offensive foul by M. Ginobili,,17-11,,
2:10.0,Turnover by M. Ginobili (offensive foul),,17-11,,
1:52.0,,,17-11,,K. Walker misses 2-pt shot from 1 ft
1:48.0,,,17-11,,Offensive rebound by J. Maxiell
1:48.0,,,17-11,,J. Maxiell misses 2-pt shot at rim
1:47.0,,,17-11,,Offensive rebound by J. Maxiell
1:47.0,,,17-11,,J. Maxiell misses 2-pt shot at rim
1:45.0,Defensive rebound by C. Joseph,,17-11,,
1:38.0,T. Splitter misses 2-pt shot from 2 ft,,17-11,,
1:36.0,,,17-11,,Defensive rebound by L. Stephenson
1:26.0,,,17-13,2,M. Kidd-Gilchrist makes 2-pt shot from 8 ft
1:26.0,,,17-13,,Shooting foul by P. Mills (drawn by M. Kidd-Gilchrist)
1:26.0,,,17-13,,B. Roberts enters the game for K. Walker
1:26.0,,,17-14,1,M. Kidd-Gilchrist makes free throw 1 of 1
1:09.0,M. Ginobili makes 2-pt shot at rim,2,19-14,,
0:52.0,,,19-16,2,B. Roberts makes 2-pt shot from 19 ft
0:45.0,M. Ginobili makes 2-pt shot from 4 ft (assist by T. Splitter),2,21-16,,
0:45.0,Shooting foul by M. Williams (drawn by M. Ginobili),,21-16,,
0:45.0,M. Ginobili makes free throw 1 of 1,1,22-16,,
0:33.0,,,22-18,2,L. Stephenson makes 2-pt shot from 18 ft
0:16.0,M. Ginobili misses 3-pt shot from 25 ft,,22-18,,
0:15.0,,,22-18,,Defensive rebound by M. Williams
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,T. Splitter makes 2-pt shot from 1 ft (assist by P. Mills),2,24-18,,
11:26.0,,,24-18,,L. Stephenson misses 2-pt shot from 18 ft
11:25.0,Defensive rebound by B. Diaw,,24-18,,
11:10.0,P. Mills misses 2-pt shot from 2 ft,,24-18,,
11:09.0,,,24-18,,Defensive rebound by C. Zeller
11:04.0,,,24-18,,B. Roberts misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by M. Ginobili,,24-18,,
10:58.0,Shooting foul by B. Roberts (drawn by B. Diaw),,24-18,,
10:58.0,B. Diaw misses free throw 1 of 2,,24-18,,
10:58.0,Offensive rebound by Team,,24-18,,
10:58.0,T. Parker enters the game for M. Ginobili,,24-18,,
10:58.0,T. Duncan enters the game for C. Joseph,,24-18,,
10:58.0,D. Green enters the game for T. Splitter,,24-18,,
10:58.0,B. Diaw makes free throw 2 of 2,1,25-18,,
10:42.0,,,25-20,2,B. Roberts makes 2-pt shot from 1 ft (assist by C. Zeller)
10:24.0,B. Diaw misses 2-pt shot from 2 ft,,25-20,,
10:24.0,Offensive rebound by Team,,25-20,,
10:12.0,D. Green misses 2-pt shot from 18 ft,,25-20,,
10:11.0,,,25-20,,Defensive rebound by C. Zeller
10:01.0,,,25-20,,P. Hairston misses 2-pt shot from 1 ft (block by B. Diaw)
9:58.0,Defensive rebound by T. Duncan,,25-20,,
9:48.0,B. Diaw misses 2-pt shot from 2 ft,,25-20,,
9:47.0,,,25-20,,Defensive rebound by J. Maxiell
9:30.0,,,25-22,2,C. Zeller makes 2-pt shot from 1 ft
9:14.0,,,25-22,,Personal foul by C. Zeller (drawn by D. Green)
9:14.0,M. Bonner enters the game for B. Diaw,,25-22,,
9:05.0,Turnover by T. Duncan (3 sec),,25-22,,
8:53.0,,,25-22,,L. Stephenson misses 2-pt shot from 10 ft
8:52.0,Defensive rebound by M. Bonner,,25-22,,
8:42.0,T. Duncan makes 2-pt shot at rim (assist by P. Mills),2,27-22,,
8:21.0,,,27-24,2,J. Maxiell makes 2-pt shot from 7 ft
8:08.0,T. Parker makes 2-pt shot from 8 ft,2,29-24,,
7:56.0,,,29-27,3,P. Hairston makes 3-pt shot from 26 ft (assist by L. Stephenson)
7:56.0,San Antonio full timeout,,29-27,,
7:42.0,T. Parker makes 2-pt shot from 6 ft (assist by T. Duncan),2,31-27,,
7:28.0,,,31-27,,C. Zeller misses 2-pt shot from 1 ft (block by T. Duncan)
7:27.0,Defensive rebound by T. Parker,,31-27,,
7:18.0,M. Bonner makes 3-pt shot from 25 ft (assist by T. Parker),3,34-27,,
6:57.0,,,34-27,,Shooting foul by D. Green (drawn by L. Stephenson)
6:57.0,,,34-28,1,L. Stephenson makes free throw 1 of 2
6:57.0,C. Joseph enters the game for P. Mills,,34-28,,
6:57.0,,,34-28,,B. Biyombo enters the game for J. Maxiell
6:57.0,,,34-28,,L. Stephenson misses free throw 2 of 2
6:55.0,Defensive rebound by M. Bonner,,34-28,,
6:45.0,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker),2,36-28,,
6:28.0,,,36-28,,B. Biyombo misses 2-pt shot from 16 ft
6:27.0,Defensive rebound by T. Duncan,,36-28,,
6:20.0,T. Parker makes 2-pt shot from 17 ft,2,38-28,,
6:20.0,,,38-28,,Charlotte full timeout
6:20.0,,,38-28,,M. Kidd-Gilchrist enters the game for L. Stephenson
6:20.0,,,38-28,,G. Henderson enters the game for B. Roberts
6:20.0,,,38-28,,K. Walker enters the game for P. Hairston
6:10.0,,,38-30,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
5:52.0,M. Bonner makes 3-pt shot from 26 ft (assist by T. Parker),3,41-30,,
5:38.0,,,41-30,,Turnover by K. Walker (lost ball; steal by D. Green)
5:29.0,T. Parker misses 2-pt shot from 10 ft,,41-30,,
5:28.0,,,41-30,,Defensive rebound by C. Zeller
5:10.0,,,41-30,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
5:09.0,Defensive rebound by T. Duncan,,41-30,,
5:04.0,,,41-30,,Violation by B. Biyombo (kicked ball)
4:47.0,C. Joseph misses 2-pt shot from 1 ft,,41-30,,
4:44.0,,,41-30,,Defensive rebound by B. Biyombo
4:41.0,,,41-30,,Shooting foul by T. Parker (drawn by K. Walker)
4:41.0,,,41-31,1,K. Walker makes free throw 1 of 2
4:41.0,M. Ginobili enters the game for T. Parker,,41-31,,
4:41.0,,,41-32,1,K. Walker makes free throw 2 of 2
4:29.0,D. Green makes 2-pt shot from 20 ft (assist by M. Bonner),2,43-32,,
4:20.0,Personal foul by C. Joseph (drawn by K. Walker),,43-32,,
4:07.0,,,43-32,,Turnover by G. Henderson (lost ball; steal by M. Ginobili)
4:01.0,Turnover by D. Green (step out of bounds),,43-32,,
3:47.0,,,43-34,2,G. Henderson makes 2-pt shot from 13 ft (assist by M. Kidd-Gilchrist)
3:24.0,T. Duncan misses 2-pt shot from 3 ft,,43-34,,
3:23.0,,,43-34,,Defensive rebound by B. Biyombo
3:17.0,,,43-34,,K. Walker misses 2-pt shot from 14 ft
3:14.0,,,43-34,,Offensive rebound by B. Biyombo
3:05.0,,,43-34,,C. Zeller misses 2-pt shot from 19 ft
3:05.0,,,43-34,,Offensive rebound by Team
3:05.0,Loose ball foul by T. Duncan (drawn by B. Biyombo),,43-34,,
2:47.0,,,43-34,,Turnover by G. Henderson (bad pass)
2:47.0,Official timeout,,43-34,,
2:47.0,,,43-34,,Technical foul by G. Henderson
2:47.0,T. Splitter enters the game for T. Duncan,,43-34,,
2:47.0,D. Green makes technical free throw,1,44-34,,
2:32.0,D. Green makes 3-pt shot from 26 ft (assist by C. Joseph),3,47-34,,
2:12.0,,,47-34,,K. Walker misses 3-pt shot from 27 ft
2:11.0,Defensive rebound by D. Green,,47-34,,
2:01.0,D. Green makes 3-pt shot from 26 ft (assist by T. Splitter),3,50-34,,
2:01.0,,,50-34,,Charlotte full timeout
2:01.0,,,50-34,,P. Hairston enters the game for M. Kidd-Gilchrist
2:01.0,,,50-34,,M. Williams enters the game for C. Zeller
1:46.0,,,50-36,2,K. Walker makes 2-pt shot from 8 ft
1:27.0,M. Bonner makes 2-pt shot from 8 ft (assist by C. Joseph),2,52-36,,
1:18.0,Personal foul by C. Joseph (drawn by K. Walker),,52-36,,
1:18.0,,,52-37,1,K. Walker makes free throw 1 of 2
1:18.0,P. Mills enters the game for C. Joseph,,52-37,,
1:18.0,,,52-37,,K. Walker misses free throw 2 of 2
1:15.0,,,52-37,,Offensive rebound by B. Biyombo
1:15.0,,,52-39,2,B. Biyombo makes 2-pt shot at rim
1:01.0,P. Mills misses 2-pt shot from 5 ft (block by B. Biyombo),,52-39,,
1:00.0,,,52-39,,Defensive rebound by P. Hairston
0:55.0,,,52-39,,K. Walker misses 2-pt shot from 1 ft
0:55.0,,,52-39,,Offensive rebound by B. Biyombo
0:55.0,,,52-41,2,B. Biyombo makes 2-pt shot at rim
0:55.0,,,52-41,,Shooting foul by T. Splitter (drawn by B. Biyombo)
0:55.0,,,52-42,1,B. Biyombo makes free throw 1 of 1
0:41.0,M. Bonner misses 3-pt shot from 23 ft,,52-42,,
0:39.0,,,52-42,,Defensive rebound by P. Hairston
0:33.0,,,52-42,,Shooting foul by D. Green (drawn by P. Hairston)
0:33.0,,,52-43,1,G. Henderson makes free throw 1 of 2
0:33.0,,,52-43,,G. Henderson misses free throw 2 of 2
0:32.0,Defensive rebound by M. Bonner,,52-43,,
0:26.0,Shooting foul by K. Walker (drawn by T. Splitter),,52-43,,
0:26.0,T. Splitter makes free throw 1 of 2,1,53-43,,
0:26.0,C. Joseph enters the game for M. Bonner,,53-43,,
0:26.0,T. Splitter makes free throw 2 of 2,1,54-43,,
0:08.0,Personal foul by T. Splitter (drawn by K. Walker),,54-43,,
0:08.0,,,54-44,1,K. Walker makes free throw 1 of 2
0:08.0,,,54-44,,M. Kidd-Gilchrist enters the game for M. Williams
0:08.0,M. Bonner enters the game for C. Joseph,,54-44,,
0:08.0,,,54-45,1,K. Walker makes free throw 2 of 2
0:02.0,M. Ginobili makes 3-pt shot from 26 ft (assist by P. Mills),3,57-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,57-45,,Personal foul by G. Henderson (drawn by C. Joseph)
11:28.0,T. Parker misses 3-pt shot from 31 ft (block by K. Walker),,57-45,,
11:28.0,Offensive rebound by Team,,57-45,,
11:28.0,Turnover by Team (shot clock),,57-45,,
11:15.0,,,57-45,,C. Zeller misses 2-pt shot from 1 ft (block by T. Duncan)
11:13.0,Defensive rebound by T. Parker,,57-45,,
11:03.0,C. Joseph misses 2-pt shot from 2 ft (block by B. Biyombo),,57-45,,
11:01.0,,,57-45,,Defensive rebound by C. Zeller
10:57.0,,,57-47,2,K. Walker makes 2-pt shot at rim
10:33.0,T. Duncan makes 2-pt shot from 19 ft (assist by D. Green),2,59-47,,
10:16.0,,,59-49,2,B. Biyombo makes 2-pt shot from 1 ft (assist by K. Walker)
9:57.0,C. Joseph misses 2-pt shot from 10 ft (block by B. Biyombo),,59-49,,
9:55.0,Offensive rebound by M. Bonner,,59-49,,
9:48.0,C. Joseph misses 3-pt shot from 27 ft,,59-49,,
9:47.0,,,59-49,,Defensive rebound by B. Biyombo
9:43.0,,,59-49,,Turnover by K. Walker (lost ball; steal by C. Joseph)
9:37.0,C. Joseph misses 2-pt shot from 1 ft (block by G. Henderson),,59-49,,
9:35.0,,,59-49,,Defensive rebound by M. Kidd-Gilchrist
9:19.0,,,59-49,,G. Henderson misses 2-pt shot from 7 ft
9:18.0,Defensive rebound by T. Duncan,,59-49,,
9:08.0,C. Joseph makes 2-pt shot from 19 ft (assist by M. Bonner),2,61-49,,
8:55.0,,,61-49,,Shooting foul by M. Bonner (drawn by B. Biyombo)
8:55.0,,,61-49,,B. Biyombo misses free throw 1 of 2
8:55.0,,,61-49,,Offensive rebound by Team
8:55.0,,,61-50,1,B. Biyombo makes free throw 2 of 2
8:37.0,T. Duncan misses 2-pt shot from 2 ft (block by B. Biyombo),,61-50,,
8:37.0,Offensive rebound by Team,,61-50,,
8:33.0,T. Duncan misses 2-pt shot from 14 ft,,61-50,,
8:31.0,,,61-50,,Defensive rebound by C. Zeller
8:19.0,,,61-52,2,G. Henderson makes 2-pt shot at rim (assist by C. Zeller)
8:02.0,D. Green makes 2-pt shot from 17 ft (assist by M. Bonner),2,63-52,,
7:42.0,,,63-52,,Shooting foul by T. Parker (drawn by M. Kidd-Gilchrist)
7:42.0,,,63-53,1,M. Kidd-Gilchrist makes free throw 1 of 2
7:42.0,,,63-54,1,M. Kidd-Gilchrist makes free throw 2 of 2
7:30.0,M. Bonner misses 2-pt shot from 6 ft,,63-54,,
7:29.0,,,63-54,,Defensive rebound by B. Biyombo
7:22.0,Personal foul by D. Green (drawn by K. Walker),,63-54,,
7:22.0,B. Diaw enters the game for M. Bonner,,63-54,,
7:13.0,,,63-56,2,G. Henderson makes 2-pt shot from 16 ft
7:12.0,San Antonio full timeout,,63-56,,
7:12.0,M. Ginobili enters the game for T. Duncan,,63-56,,
7:12.0,P. Mills enters the game for D. Green,,63-56,,
7:12.0,T. Splitter enters the game for T. Parker,,63-56,,
6:54.0,Shooting foul by M. Kidd-Gilchrist (drawn by M. Ginobili),,63-56,,
6:54.0,M. Ginobili makes free throw 1 of 2,1,64-56,,
6:54.0,M. Ginobili misses free throw 2 of 2,,64-56,,
6:53.0,,,64-56,,Defensive rebound by B. Biyombo
6:39.0,,,64-58,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
6:15.0,C. Joseph misses 3-pt shot from 25 ft,,64-58,,
6:14.0,,,64-58,,Defensive rebound by M. Kidd-Gilchrist
6:00.0,,,64-58,,Turnover by K. Walker (lost ball; steal by M. Ginobili)
5:42.0,P. Mills makes 2-pt shot from 2 ft (assist by B. Diaw),2,66-58,,
5:42.0,Shooting foul by G. Henderson (drawn by P. Mills),,66-58,,
5:42.0,P. Mills makes free throw 1 of 1,1,67-58,,
5:21.0,,,67-60,2,B. Biyombo makes 2-pt shot from 6 ft (assist by G. Henderson)
5:08.0,B. Diaw misses 2-pt shot from 16 ft,,67-60,,
5:08.0,,,67-60,,Defensive rebound by Team
4:57.0,,,67-60,,Turnover by M. Kidd-Gilchrist (lost ball; steal by M. Ginobili)
4:51.0,C. Joseph misses 2-pt shot from 1 ft,,67-60,,
4:49.0,,,67-60,,Defensive rebound by B. Biyombo
4:48.0,Personal foul by M. Ginobili (drawn by K. Walker),,67-60,,
4:48.0,,,67-60,,M. Williams enters the game for C. Zeller
4:37.0,,,67-60,,G. Henderson misses 2-pt shot from 16 ft
4:35.0,,,67-60,,Offensive rebound by B. Biyombo
4:35.0,,,67-60,,Shooting foul by T. Splitter (drawn by B. Biyombo)
4:35.0,,,67-60,,B. Biyombo misses free throw 1 of 2
4:35.0,,,67-60,,Offensive rebound by Team
4:35.0,D. Green enters the game for C. Joseph,,67-60,,
4:35.0,,,67-61,1,B. Biyombo makes free throw 2 of 2
4:22.0,M. Ginobili misses 3-pt shot from 26 ft,,67-61,,
4:20.0,Offensive rebound by P. Mills,,67-61,,
4:11.0,P. Mills misses 2-pt shot from 6 ft,,67-61,,
4:11.0,,,67-61,,Defensive rebound by Team
4:11.0,Loose ball foul by T. Splitter (drawn by B. Biyombo),,67-61,,
4:11.0,,,67-61,,B. Biyombo misses free throw 1 of 2
4:11.0,,,67-61,,Offensive rebound by Team
4:11.0,T. Duncan enters the game for T. Splitter,,67-61,,
4:11.0,,,67-61,,L. Stephenson enters the game for G. Henderson
4:11.0,,,67-61,,B. Biyombo misses free throw 2 of 2
4:10.0,Defensive rebound by M. Ginobili,,67-61,,
3:56.0,P. Mills misses 2-pt shot from 1 ft (block by B. Biyombo),,67-61,,
3:56.0,Offensive rebound by Team,,67-61,,
3:56.0,,,67-61,,J. Maxiell enters the game for B. Biyombo
3:52.0,M. Ginobili makes 2-pt shot from 2 ft (assist by T. Duncan),2,69-61,,
3:50.0,,,69-61,,Charlotte full timeout
3:30.0,,,69-61,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
3:27.0,Defensive rebound by P. Mills,,69-61,,
3:21.0,T. Duncan misses 2-pt shot from 2 ft (block by J. Maxiell),,69-61,,
3:21.0,Offensive rebound by Team,,69-61,,
3:12.0,M. Ginobili misses 2-pt shot from 5 ft,,69-61,,
3:11.0,,,69-61,,Defensive rebound by M. Williams
3:01.0,,,69-61,,L. Stephenson misses 2-pt shot from 19 ft
2:59.0,Defensive rebound by T. Duncan,,69-61,,
2:44.0,Shooting foul by L. Stephenson (drawn by T. Duncan),,69-61,,
2:44.0,T. Duncan makes free throw 1 of 2,1,70-61,,
2:44.0,T. Duncan makes free throw 2 of 2,1,71-61,,
2:33.0,,,71-63,2,K. Walker makes 2-pt shot from 16 ft
2:20.0,M. Ginobili makes 3-pt shot from 24 ft (assist by D. Green),3,74-63,,
2:09.0,,,74-65,2,K. Walker makes 2-pt shot at rim
1:46.0,Turnover by Team (back court),,74-65,,
1:46.0,,,74-65,,P. Hairston enters the game for M. Kidd-Gilchrist
1:46.0,C. Joseph enters the game for M. Ginobili,,74-65,,
1:46.0,T. Parker enters the game for P. Mills,,74-65,,
1:40.0,,,74-65,,K. Walker misses 2-pt shot from 16 ft
1:39.0,Defensive rebound by T. Duncan,,74-65,,
1:22.0,B. Diaw misses 2-pt shot from 8 ft,,74-65,,
1:22.0,,,74-65,,Defensive rebound by Team
1:22.0,Loose ball foul by C. Joseph (drawn by J. Maxiell),,74-65,,
1:22.0,,,74-65,,J. Maxiell misses free throw 1 of 2
1:22.0,,,74-65,,Offensive rebound by Team
1:22.0,,,74-66,1,J. Maxiell makes free throw 2 of 2
1:02.0,T. Parker makes 2-pt shot from 10 ft (assist by C. Joseph),2,76-66,,
0:49.0,,,76-66,,Offensive foul by L. Stephenson
0:49.0,,,76-66,,Turnover by L. Stephenson (offensive foul)
0:39.0,B. Diaw misses 2-pt shot from 2 ft,,76-66,,
0:39.0,Offensive rebound by Team,,76-66,,
0:39.0,Turnover by B. Diaw (traveling),,76-66,,
0:23.0,,,76-68,2,K. Walker makes 2-pt shot from 6 ft
0:00.0,D. Green misses 3-pt shot from 24 ft,,76-68,,
0:00.0,Offensive rebound by Team,,76-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,76-68,,B. Roberts misses 2-pt shot from 17 ft
11:38.0,Defensive rebound by D. Green,,76-68,,
11:30.0,T. Parker makes 2-pt shot from 10 ft,2,78-68,,
11:13.0,,,78-70,2,P. Hairston makes 2-pt shot from 1 ft
10:59.0,D. Green makes 3-pt shot from 25 ft (assist by T. Parker),3,81-70,,
10:40.0,,,81-72,2,L. Stephenson makes 2-pt shot from 16 ft (assist by B. Roberts)
10:28.0,Turnover by D. Green (bad pass; steal by J. Maxiell),,81-72,,
10:26.0,,,81-72,,J. Maxiell misses 2-pt shot at rim (block by D. Green)
10:26.0,,,81-72,,Offensive rebound by Team
10:14.0,,,81-72,,Turnover by M. Williams (bad pass; steal by T. Duncan)
10:00.0,Offensive foul by T. Duncan,,81-72,,
10:00.0,Turnover by T. Duncan (offensive foul),,81-72,,
10:00.0,M. Bonner enters the game for B. Diaw,,81-72,,
9:43.0,,,81-72,,Shooting foul by T. Duncan (drawn by L. Stephenson)
9:43.0,,,81-72,,L. Stephenson misses free throw 1 of 2
9:43.0,,,81-72,,Offensive rebound by Team
9:43.0,,,81-72,,L. Stephenson misses free throw 2 of 2
9:41.0,Defensive rebound by M. Bonner,,81-72,,
9:31.0,Turnover by T. Parker (bad pass; steal by M. Williams),,81-72,,
9:20.0,,,81-75,3,P. Hairston makes 3-pt shot from 23 ft (assist by L. Stephenson)
9:14.0,San Antonio full timeout,,81-75,,
8:58.0,T. Duncan makes 2-pt shot from 5 ft,2,83-75,,
8:41.0,,,83-77,2,L. Stephenson makes 2-pt shot from 1 ft
8:23.0,T. Parker misses 2-pt shot from 18 ft,,83-77,,
8:22.0,,,83-77,,Defensive rebound by M. Williams
7:58.0,,,83-77,,M. Williams misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by C. Joseph,,83-77,,
7:57.0,,,83-77,,Personal foul by L. Stephenson (drawn by C. Joseph)
7:57.0,P. Mills enters the game for T. Parker,,83-77,,
7:57.0,,,83-77,,C. Zeller enters the game for M. Williams
7:40.0,Turnover by M. Bonner (lost ball; steal by J. Maxiell),,83-77,,
7:30.0,Personal foul by D. Green (drawn by L. Stephenson),,83-77,,
7:22.0,,,83-77,,P. Hairston misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by T. Duncan,,83-77,,
7:04.0,T. Duncan misses 2-pt shot from 8 ft,,83-77,,
7:03.0,,,83-77,,Defensive rebound by C. Zeller
6:54.0,,,83-77,,Shooting foul by M. Bonner (drawn by L. Stephenson)
6:54.0,,,83-78,1,L. Stephenson makes free throw 1 of 2
6:54.0,M. Ginobili enters the game for D. Green,,83-78,,
6:54.0,,,83-78,,L. Stephenson misses free throw 2 of 2
6:52.0,,,83-78,,Offensive rebound by J. Maxiell
6:48.0,,,83-81,3,P. Hairston makes 3-pt shot from 25 ft (assist by B. Roberts)
6:33.0,,,83-81,,Personal foul by P. Hairston (drawn by M. Ginobili)
6:33.0,,,83-81,,K. Walker enters the game for J. Maxiell
6:33.0,,,83-81,,G. Henderson enters the game for L. Stephenson
6:33.0,,,83-81,,B. Biyombo enters the game for B. Roberts
