time,Philadelphia,pts.away,score,pts.home,Charlotte
6:35.0,,,6-6,,Defensive rebound by K. Walker
6:18.0,,,6-8,2,K. Walker makes 2-pt shot from 17 ft
6:17.0,Philadelphia full timeout,,6-8,,
5:59.0,J. Grant makes 3-pt shot from 23 ft (assist by I. Smith),3,9-8,,
5:33.0,,,9-8,,K. Walker misses 2-pt shot at rim (block by J. Grant)
5:31.0,Defensive rebound by J. Grant,,9-8,,
5:21.0,R. Covington misses 3-pt shot from 26 ft,,9-8,,
5:19.0,,,9-8,,Defensive rebound by J. Taylor
5:12.0,,,9-8,,G. Henderson misses 2-pt shot from 13 ft
5:10.0,,,9-8,,Offensive rebound by B. Biyombo
5:08.0,,,9-8,,B. Biyombo misses 2-pt shot at rim
5:07.0,Defensive rebound by I. Smith,,9-8,,
4:56.0,F. Aldemir misses 2-pt shot from 16 ft,,9-8,,
4:54.0,,,9-8,,Defensive rebound by K. Walker
4:50.0,,,9-10,2,J. Taylor makes 2-pt shot at rim (assist by K. Walker)
4:50.0,,,9-10,,Shooting foul by R. Covington (drawn by J. Taylor)
4:50.0,G. Robinson enters the game for J. Grant,,9-10,,
4:50.0,H. Sims enters the game for N. Noel,,9-10,,
4:50.0,L. Mbah a Moute enters the game for F. Aldemir,,9-10,,
4:50.0,H. Thompson enters the game for R. Covington,,9-10,,
4:50.0,,,9-11,1,J. Taylor makes free throw 1 of 1
4:27.0,G. Robinson makes 2-pt shot from 18 ft,2,11-11,,
4:16.0,,,11-11,,Turnover by J. Taylor (bad pass)
3:54.0,G. Robinson misses 3-pt shot from 26 ft,,11-11,,
3:53.0,,,11-11,,Defensive rebound by B. Biyombo
3:41.0,,,11-11,,M. Williams misses 2-pt shot at rim
3:39.0,,,11-11,,Offensive rebound by M. Williams
3:39.0,,,11-13,2,M. Williams makes 2-pt shot at rim
3:13.0,I. Smith misses 2-pt shot from 2 ft,,11-13,,
3:12.0,Offensive rebound by H. Sims,,11-13,,
3:09.0,H. Sims makes 2-pt shot at rim,2,13-13,,
2:59.0,,,13-13,,Charlotte full timeout
2:59.0,,,13-13,,M. Williams enters the game for M. Williams
2:59.0,,,13-13,,P. Hairston enters the game for G. Henderson
2:59.0,,,13-13,,N. Vonleh enters the game for K. Walker
2:59.0,J. Sampson enters the game for I. Smith,,13-13,,
2:48.0,,,13-15,2,B. Biyombo makes 2-pt shot at rim (assist by J. Taylor)
2:28.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by B. Biyombo),,13-15,,
2:27.0,,,13-15,,Defensive rebound by N. Vonleh
2:18.0,,,13-15,,M. Williams misses 3-pt shot from 26 ft
2:18.0,,,13-15,,Offensive rebound by N. Vonleh
2:14.0,,,13-15,,N. Vonleh misses 2-pt shot from 1 ft (block by H. Sims)
2:10.0,,,13-15,,Offensive rebound by J. Taylor
2:04.0,,,13-17,2,M. Williams makes 2-pt shot from 19 ft
1:49.0,L. Mbah a Moute misses 3-pt shot from 27 ft,,13-17,,
1:48.0,,,13-17,,Defensive rebound by Team
1:37.0,Personal foul by J. Sampson (drawn by M. Williams),,13-17,,
1:37.0,,,13-18,1,M. Williams makes free throw 1 of 2
1:37.0,,,13-19,1,M. Williams makes free throw 2 of 2
1:19.0,Turnover by H. Sims (bad pass),,13-19,,
1:09.0,,,13-19,,Turnover by M. Williams (bad pass)
0:54.0,H. Thompson makes 3-pt shot from 26 ft (assist by J. Sampson),3,16-19,,
0:45.0,,,16-19,,M. Williams misses 3-pt shot from 27 ft
0:44.0,Defensive rebound by L. Mbah a Moute,,16-19,,
0:33.0,H. Sims misses 2-pt shot from 18 ft,,16-19,,
0:32.0,,,16-19,,Defensive rebound by N. Vonleh
0:23.0,,,16-19,,P. Hairston misses 2-pt shot from 17 ft
0:21.0,Defensive rebound by Team,,16-19,,
0:01.0,H. Sims misses 2-pt shot from 1 ft (block by B. Biyombo),,16-19,,
0:00.0,Offensive rebound by Team,,16-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Shooting foul by L. Stephenson (drawn by H. Thompson),,16-19,,
11:49.0,H. Thompson makes free throw 1 of 3,1,17-19,,
11:49.0,H. Thompson makes free throw 2 of 3,1,18-19,,
11:49.0,H. Thompson makes free throw 3 of 3,1,19-19,,
11:27.0,,,19-19,,P. Hairston misses 3-pt shot from 26 ft
11:24.0,Defensive rebound by G. Robinson,,19-19,,
11:19.0,J. Sampson misses 3-pt shot from 27 ft,,19-19,,
11:16.0,Offensive rebound by H. Sims,,19-19,,
11:05.0,J. Sampson makes 2-pt shot from 2 ft,2,21-19,,
10:53.0,,,21-19,,Turnover by L. Stephenson (traveling)
10:33.0,H. Thompson misses 3-pt shot from 26 ft,,21-19,,
10:31.0,,,21-19,,Defensive rebound by N. Vonleh
10:15.0,,,21-19,,L. Stephenson misses 2-pt shot from 20 ft
10:12.0,Defensive rebound by J. Sampson,,21-19,,
10:05.0,Shooting foul by N. Vonleh (drawn by L. Mbah a Moute),,21-19,,
10:05.0,L. Mbah a Moute makes free throw 1 of 2,1,22-19,,
10:05.0,N. Noel enters the game for H. Sims,,22-19,,
10:05.0,L. Mbah a Moute makes free throw 2 of 2,1,23-19,,
9:47.0,Personal foul by J. Sampson (drawn by N. Vonleh),,23-19,,
9:47.0,I. Smith enters the game for J. Sampson,,23-19,,
9:40.0,,,23-19,,P. Hairston misses 2-pt shot from 1 ft
9:39.0,,,23-19,,Offensive rebound by N. Vonleh
9:39.0,,,23-21,2,N. Vonleh makes 2-pt shot from 1 ft
9:32.0,Philadelphia full timeout,,23-21,,
9:13.0,I. Smith misses 2-pt shot from 8 ft,,23-21,,
9:12.0,Offensive rebound by Team,,23-21,,
9:12.0,,,23-21,,Loose ball foul by N. Vonleh (drawn by L. Mbah a Moute)
9:12.0,J. Grant enters the game for G. Robinson,,23-21,,
9:12.0,R. Covington enters the game for H. Thompson,,23-21,,
9:00.0,J. Grant misses 2-pt shot from 1 ft,,23-21,,
8:58.0,Offensive rebound by R. Covington,,23-21,,
8:56.0,R. Covington misses 2-pt shot at rim,,23-21,,
8:55.0,,,23-21,,Defensive rebound by J. Maxiell
8:42.0,,,23-21,,N. Vonleh misses 2-pt shot from 2 ft
8:42.0,,,23-21,,Offensive rebound by Team
8:42.0,Loose ball foul by L. Mbah a Moute (drawn by J. Maxiell),,23-21,,
8:35.0,,,23-21,,L. Stephenson misses 2-pt shot from 1 ft (block by J. Grant)
8:30.0,,,23-21,,Offensive rebound by J. Maxiell
8:30.0,,,23-23,2,J. Maxiell makes 2-pt shot at rim
8:28.0,Shooting foul by J. Maxiell (drawn by R. Covington),,23-23,,
8:28.0,R. Covington makes free throw 1 of 2,1,24-23,,
8:28.0,R. Covington makes free throw 2 of 2,1,25-23,,
8:07.0,,,25-23,,N. Vonleh misses 2-pt shot at rim (block by J. Grant)
8:07.0,,,25-23,,Offensive rebound by Team
8:06.0,,,25-23,,Turnover by L. Stephenson (bad pass; steal by R. Covington)
8:03.0,R. Covington makes 2-pt shot at rim,2,27-23,,
7:46.0,,,27-25,2,J. Maxiell makes 2-pt shot from 6 ft (assist by N. Vonleh)
7:35.0,Philadelphia full timeout,,27-25,,
7:35.0,F. Aldemir enters the game for L. Mbah a Moute,,27-25,,
7:19.0,Turnover by I. Smith (bad pass; steal by N. Vonleh),,27-25,,
7:15.0,,,27-25,,M. Williams misses 3-pt shot from 26 ft
7:14.0,,,27-25,,Offensive rebound by P. Hairston
7:08.0,,,27-25,,M. Williams misses 2-pt shot at rim
7:07.0,,,27-25,,Offensive rebound by N. Vonleh
7:07.0,,,27-27,2,N. Vonleh makes 2-pt shot at rim
6:45.0,F. Aldemir makes 2-pt shot from 2 ft (assist by I. Smith),2,29-27,,
6:40.0,H. Sims enters the game for N. Noel,,29-27,,
6:29.0,,,29-27,,L. Stephenson misses 2-pt shot from 2 ft
6:28.0,Defensive rebound by R. Covington,,29-27,,
6:19.0,,,29-27,,Personal foul by P. Hairston (drawn by H. Sims)
6:19.0,H. Sims makes free throw 1 of 2,1,30-27,,
6:19.0,,,30-27,,M. Williams enters the game for N. Vonleh
6:19.0,,,30-27,,G. Henderson enters the game for P. Hairston
6:19.0,H. Sims makes free throw 2 of 2,1,31-27,,
6:10.0,Personal foul by J. Grant (drawn by G. Henderson),,31-27,,
6:07.0,,,31-27,,M. Williams misses 2-pt shot from 14 ft
6:06.0,Defensive rebound by J. Grant,,31-27,,
5:56.0,R. Covington makes 3-pt shot from 25 ft,3,34-27,,
5:41.0,,,34-29,2,M. Williams makes 2-pt shot from 2 ft (assist by M. Williams)
5:25.0,,,34-29,,Personal foul by L. Stephenson (drawn by F. Aldemir)
5:25.0,Official timeout,,34-29,,
5:25.0,,,34-29,,B. Biyombo enters the game for L. Stephenson
5:25.0,,,34-29,,K. Walker enters the game for J. Maxiell
5:25.0,F. Aldemir makes free throw 1 of 2,1,35-29,,
5:25.0,F. Aldemir misses free throw 2 of 2,,35-29,,
5:24.0,,,35-29,,Defensive rebound by M. Williams
5:00.0,,,35-31,2,M. Williams makes 2-pt shot from 22 ft (assist by G. Henderson)
4:42.0,J. Grant makes 3-pt shot from 26 ft (assist by R. Covington),3,38-31,,
4:27.0,,,38-33,2,M. Williams makes 2-pt shot from 20 ft
4:24.0,H. Sims misses 2-pt shot from 2 ft (block by B. Biyombo),,38-33,,
4:24.0,Offensive rebound by I. Smith,,38-33,,
4:19.0,I. Smith makes 2-pt shot from 2 ft,2,40-33,,
3:59.0,,,40-35,2,B. Biyombo makes 2-pt shot from 2 ft (assist by M. Williams)
3:51.0,R. Covington makes 3-pt shot from 23 ft (assist by I. Smith),3,43-35,,
3:27.0,,,43-37,2,G. Henderson makes 2-pt shot from 13 ft
3:11.0,J. Grant misses 2-pt shot from 1 ft,,43-37,,
3:11.0,Offensive rebound by Team,,43-37,,
3:11.0,,,43-37,,Loose ball foul by G. Henderson (drawn by F. Aldemir)
3:11.0,F. Aldemir makes free throw 1 of 2,1,44-37,,
3:11.0,H. Thompson enters the game for J. Grant,,44-37,,
3:11.0,G. Robinson enters the game for R. Covington,,44-37,,
3:11.0,F. Aldemir makes free throw 2 of 2,1,45-37,,
3:02.0,Personal foul by H. Sims (drawn by K. Walker),,45-37,,
2:51.0,,,45-37,,K. Walker misses 2-pt shot at rim (block by F. Aldemir)
2:51.0,Defensive rebound by Team,,45-37,,
2:51.0,,,45-37,,Charlotte full timeout
2:37.0,H. Sims misses 3-pt shot from 23 ft,,45-37,,
2:36.0,,,45-37,,Defensive rebound by M. Williams
2:36.0,Personal foul by H. Sims (drawn by M. Williams),,45-37,,
2:36.0,,,45-38,1,M. Williams makes free throw 1 of 2
2:36.0,J. Sampson enters the game for I. Smith,,45-38,,
2:36.0,L. Mbah a Moute enters the game for H. Sims,,45-38,,
2:36.0,,,45-39,1,M. Williams makes free throw 2 of 2
2:21.0,G. Robinson makes 2-pt shot from 1 ft,2,47-39,,
2:09.0,Personal foul by H. Thompson (drawn by M. Williams),,47-39,,
2:09.0,,,47-40,1,M. Williams makes free throw 1 of 2
2:09.0,,,47-41,1,M. Williams makes free throw 2 of 2
1:48.0,H. Thompson misses 2-pt shot from 16 ft (block by M. Williams),,47-41,,
1:48.0,Offensive rebound by Team,,47-41,,
1:44.0,Shooting foul by M. Williams (drawn by H. Thompson),,47-41,,
1:44.0,H. Thompson makes free throw 1 of 2,1,48-41,,
1:44.0,H. Thompson makes free throw 2 of 2,1,49-41,,
1:29.0,,,49-41,,G. Henderson misses 2-pt shot from 15 ft
1:28.0,,,49-41,,Offensive rebound by Team
1:28.0,Personal foul by F. Aldemir (drawn by B. Biyombo),,49-41,,
1:28.0,,,49-42,1,B. Biyombo makes free throw 1 of 2
1:28.0,,,49-43,1,B. Biyombo makes free throw 2 of 2
1:13.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,49-43,,
1:12.0,,,49-43,,Defensive rebound by G. Henderson
1:06.0,,,49-45,2,M. Williams makes 2-pt shot from 11 ft
0:53.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,49-45,,
0:51.0,Jump ball: B. Biyombo vs. L. Mbah a Moute (G. Robinson gains possession),,,,Jump ball: B. Biyombo vs. L. Mbah a Moute (G. Robinson gains possession)
0:51.0,Offensive rebound by Team,,49-45,,
0:40.0,G. Robinson misses 2-pt shot from 20 ft,,49-45,,
0:39.0,,,49-45,,Defensive rebound by K. Walker
0:27.0,,,49-47,2,M. Williams makes 2-pt shot from 21 ft (assist by M. Williams)
0:10.0,J. Sampson makes 2-pt shot from 10 ft,2,51-47,,
0:04.0,Personal foul by F. Aldemir (drawn by M. Williams),,51-47,,
0:04.0,,,51-48,1,M. Williams makes free throw 1 of 2
0:04.0,J. Grant enters the game for F. Aldemir,,51-48,,
0:04.0,I. Smith enters the game for J. Sampson,,51-48,,
0:04.0,,,51-48,,J. Taylor enters the game for B. Biyombo
0:04.0,,,51-49,1,M. Williams makes free throw 2 of 2
0:01.0,I. Smith misses 2-pt shot from 14 ft,,51-49,,
0:00.0,Offensive rebound by Team,,51-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,51-49,,Personal foul by G. Henderson (drawn by J. Grant)
11:42.0,Turnover by R. Covington (traveling),,51-49,,
11:29.0,,,51-51,2,K. Walker makes 2-pt shot from 17 ft
11:06.0,I. Smith misses 2-pt shot from 1 ft,,51-51,,
11:04.0,Offensive rebound by F. Aldemir,,51-51,,
11:04.0,F. Aldemir makes 2-pt shot at rim,2,53-51,,
10:44.0,,,53-51,,J. Taylor misses 2-pt shot from 21 ft
10:42.0,Defensive rebound by I. Smith,,53-51,,
10:31.0,J. Grant misses 3-pt shot from 26 ft,,53-51,,
10:29.0,Offensive rebound by I. Smith,,53-51,,
10:24.0,Shooting foul by B. Biyombo (drawn by L. Mbah a Moute),,53-51,,
10:24.0,L. Mbah a Moute misses free throw 1 of 2,,53-51,,
10:24.0,Offensive rebound by Team,,53-51,,
10:24.0,L. Mbah a Moute makes free throw 2 of 2,1,54-51,,
10:22.0,Personal foul by R. Covington (drawn by K. Walker),,54-51,,
10:02.0,,,54-53,2,J. Taylor makes 2-pt shot from 1 ft (assist by K. Walker)
9:44.0,I. Smith misses 3-pt shot from 23 ft,,54-53,,
9:42.0,,,54-53,,Defensive rebound by M. Williams
9:35.0,,,54-53,,Shooting foul by F. Aldemir (drawn by M. Williams)
9:35.0,,,54-53,,M. Williams misses free throw 1 of 2
9:35.0,,,54-53,,Offensive rebound by Team
9:35.0,H. Sims enters the game for F. Aldemir,,54-53,,
9:35.0,,,54-54,1,M. Williams makes free throw 2 of 2
9:24.0,Turnover by J. Grant (traveling),,54-54,,
9:15.0,,,54-54,,Turnover by B. Biyombo (lost ball)
8:52.0,Shooting foul by B. Biyombo (drawn by L. Mbah a Moute),,54-54,,
8:52.0,L. Mbah a Moute misses free throw 1 of 2,,54-54,,
8:52.0,Offensive rebound by Team,,54-54,,
8:52.0,L. Mbah a Moute makes free throw 2 of 2,1,55-54,,
8:40.0,,,55-54,,G. Henderson misses 2-pt shot from 20 ft
8:39.0,Defensive rebound by R. Covington,,55-54,,
8:27.0,R. Covington misses 2-pt shot from 17 ft,,55-54,,
8:25.0,,,55-54,,Defensive rebound by K. Walker
8:19.0,Violation by L. Mbah a Moute (kicked ball),,55-54,,
8:10.0,,,55-54,,K. Walker misses 2-pt shot from 18 ft
8:09.0,Defensive rebound by R. Covington,,55-54,,
7:57.0,Offensive foul by L. Mbah a Moute,,55-54,,
7:57.0,Turnover by L. Mbah a Moute (offensive foul),,55-54,,
7:39.0,,,55-56,2,K. Walker makes 2-pt shot from 18 ft
7:24.0,R. Covington misses 2-pt shot from 2 ft,,55-56,,
7:23.0,Offensive rebound by Team,,55-56,,
7:23.0,H. Thompson enters the game for J. Grant,,55-56,,
7:23.0,Jump ball: R. Covington vs. G. Henderson (K. Walker gains possession),,,,Jump ball: R. Covington vs. G. Henderson (K. Walker gains possession)
7:23.0,Turnover by R. Covington (lost ball; steal by G. Henderson),,55-56,,
7:08.0,,,55-56,,K. Walker misses 2-pt shot from 14 ft
7:05.0,,,55-56,,Offensive rebound by B. Biyombo
7:05.0,,,55-58,2,B. Biyombo makes 2-pt shot at rim
6:52.0,,,55-58,,Personal foul by G. Henderson (drawn by H. Thompson)
6:45.0,,,55-58,,Personal foul by M. Williams (drawn by R. Covington)
6:45.0,R. Covington makes free throw 1 of 2,1,56-58,,
6:45.0,R. Covington makes free throw 2 of 2,1,57-58,,
6:34.0,,,57-58,,G. Henderson misses 2-pt shot at rim (block by H. Sims)
6:34.0,Defensive rebound by Team,,57-58,,
6:15.0,I. Smith makes 2-pt shot from 5 ft,2,59-58,,
6:02.0,,,59-60,2,K. Walker makes 2-pt shot from 2 ft (assist by G. Henderson)
5:46.0,I. Smith makes 2-pt shot from 1 ft,2,61-60,,
5:28.0,,,61-60,,K. Walker misses 3-pt shot from 26 ft
5:27.0,Defensive rebound by R. Covington,,61-60,,
5:20.0,Turnover by I. Smith (lost ball),,61-60,,
5:20.0,,,61-60,,Charlotte full timeout
5:20.0,,,61-60,,P. Hairston enters the game for G. Henderson
5:05.0,,,61-60,,Shooting foul by H. Sims (drawn by J. Taylor)
5:05.0,,,61-61,1,J. Taylor makes free throw 1 of 2
5:05.0,,,61-62,1,J. Taylor makes free throw 2 of 2
4:45.0,Offensive foul by I. Smith,,61-62,,
4:45.0,Turnover by I. Smith (offensive foul),,61-62,,
4:23.0,,,61-64,2,K. Walker makes 2-pt shot from 8 ft
4:16.0,G. Robinson enters the game for R. Covington,,61-64,,
4:16.0,J. Grant enters the game for L. Mbah a Moute,,61-64,,
4:02.0,J. Grant misses 2-pt shot from 3 ft,,61-64,,
4:01.0,,,61-64,,Defensive rebound by B. Biyombo
3:51.0,Personal foul by H. Sims (drawn by K. Walker),,61-64,,
3:51.0,,,61-64,,M. Williams enters the game for J. Taylor
3:51.0,J. Sampson enters the game for H. Sims,,61-64,,
3:40.0,,,61-64,,K. Walker misses 2-pt shot from 17 ft
3:37.0,Defensive rebound by H. Thompson,,61-64,,
3:33.0,Philadelphia full timeout,,61-64,,
3:33.0,,,61-64,,J. Maxiell enters the game for B. Biyombo
3:22.0,J. Sampson misses 2-pt shot from 5 ft,,61-64,,
3:21.0,,,61-64,,Defensive rebound by M. Williams
3:15.0,,,61-64,,M. Williams misses 2-pt shot from 21 ft
3:13.0,Defensive rebound by I. Smith,,61-64,,
3:05.0,H. Thompson misses 2-pt shot from 6 ft,,61-64,,
3:03.0,,,61-64,,Defensive rebound by P. Hairston
2:42.0,,,61-64,,P. Hairston misses 3-pt shot from 26 ft
2:42.0,Defensive rebound by Team,,61-64,,
2:42.0,,,61-64,,Loose ball foul by J. Maxiell (drawn by I. Smith)
2:42.0,I. Smith makes free throw 1 of 2,1,62-64,,
2:42.0,I. Smith makes free throw 2 of 2,1,63-64,,
2:30.0,,,63-66,2,M. Williams makes 2-pt shot from 13 ft
2:13.0,I. Smith misses 2-pt shot from 6 ft,,63-66,,
2:12.0,,,63-66,,Defensive rebound by J. Maxiell
2:00.0,,,63-66,,Turnover by J. Maxiell (bad pass; steal by J. Grant)
1:54.0,I. Smith makes 2-pt shot from 2 ft (assist by J. Grant),2,65-66,,
1:34.0,,,65-66,,Turnover by M. Williams (bad pass; steal by J. Grant)
1:31.0,Turnover by G. Robinson (lost ball; steal by P. Hairston),,65-66,,
1:31.0,Personal foul by J. Grant (drawn by M. Williams),,65-66,,
1:31.0,,,65-67,1,M. Williams makes free throw 1 of 2
1:31.0,R. Covington enters the game for I. Smith,,65-67,,
1:31.0,,,65-67,,J. Taylor enters the game for K. Walker
1:31.0,,,65-68,1,M. Williams makes free throw 2 of 2
1:13.0,H. Thompson misses 3-pt shot from 26 ft,,65-68,,
1:12.0,,,65-68,,Defensive rebound by J. Maxiell
1:02.0,,,65-68,,M. Williams misses 3-pt shot from 26 ft
1:01.0,Defensive rebound by G. Robinson,,65-68,,
0:54.0,J. Sampson makes 2-pt shot from 6 ft,2,67-68,,
0:36.0,,,67-68,,M. Williams misses 2-pt shot from 5 ft (block by J. Grant)
0:36.0,,,67-68,,Offensive rebound by Team
0:32.0,,,67-70,2,P. Hairston makes 2-pt shot at rim (assist by J. Taylor)
0:19.0,J. Sampson makes 2-pt shot from 5 ft,2,69-70,,
0:02.0,Personal foul by J. Grant (drawn by M. Williams),,69-70,,
0:02.0,,,69-71,1,M. Williams makes free throw 1 of 2
0:02.0,I. Smith enters the game for J. Sampson,,69-71,,
0:02.0,,,69-72,1,M. Williams makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,69-72,,M. Williams misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by L. Mbah a Moute,,69-72,,
11:24.0,H. Thompson makes 3-pt shot from 24 ft (assist by F. Aldemir),3,72-72,,
11:11.0,,,72-74,2,P. Hairston makes 2-pt shot from 17 ft
10:44.0,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by J. Sampson),3,75-74,,
10:31.0,,,75-74,,P. Hairston misses 3-pt shot from 25 ft
10:29.0,,,75-74,,Offensive rebound by Team
10:25.0,,,75-76,2,P. Hairston makes 2-pt shot from 13 ft (assist by J. Taylor)
10:10.0,Shooting foul by N. Vonleh (drawn by L. Mbah a Moute),,75-76,,
10:10.0,L. Mbah a Moute misses free throw 1 of 2,,75-76,,
10:10.0,Offensive rebound by Team,,75-76,,
10:10.0,L. Mbah a Moute makes free throw 2 of 2,1,76-76,,
9:57.0,,,76-76,,P. Hairston misses 2-pt shot from 5 ft (block by F. Aldemir)
9:56.0,,,76-76,,Offensive rebound by P. Hairston
9:53.0,,,76-76,,P. Hairston misses 2-pt shot from 2 ft (block by G. Robinson)
9:50.0,Defensive rebound by H. Thompson,,76-76,,
9:35.0,G. Robinson misses 2-pt shot from 14 ft,,76-76,,
9:33.0,Offensive rebound by L. Mbah a Moute,,76-76,,
9:29.0,G. Robinson misses 2-pt shot from 19 ft,,76-76,,
9:28.0,Offensive rebound by L. Mbah a Moute,,76-76,,
9:16.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,76-76,,
9:11.0,Offensive rebound by G. Robinson,,76-76,,
9:10.0,Offensive foul by G. Robinson,,76-76,,
9:10.0,Turnover by G. Robinson (offensive foul),,76-76,,
9:10.0,,,76-76,,K. Walker enters the game for P. Hairston
8:56.0,,,76-76,,M. Williams misses 3-pt shot from 24 ft
8:54.0,,,76-76,,Offensive rebound by J. Taylor
8:46.0,,,76-78,2,K. Walker makes 2-pt shot from 2 ft
8:46.0,,,76-78,,Shooting foul by H. Thompson (drawn by K. Walker)
8:46.0,Official timeout,,76-78,,
8:46.0,,,76-79,1,K. Walker makes free throw 1 of 1
8:34.0,H. Thompson makes 3-pt shot from 24 ft (assist by G. Robinson),3,79-79,,
8:22.0,,,79-81,2,K. Walker makes 2-pt shot from 19 ft
8:01.0,G. Robinson makes 3-pt shot from 26 ft (assist by F. Aldemir),3,82-81,,
7:48.0,,,82-81,,Turnover by K. Walker (lost ball)
7:48.0,,,82-81,,G. Henderson enters the game for J. Taylor
7:48.0,R. Covington enters the game for G. Robinson,,82-81,,
7:33.0,F. Aldemir misses 2-pt shot from 4 ft (block by J. Maxiell),,82-81,,
7:31.0,,,82-81,,Defensive rebound by K. Walker
7:09.0,,,82-83,2,N. Vonleh makes 2-pt shot from 6 ft (assist by M. Williams)
6:54.0,H. Thompson misses 2-pt shot from 16 ft,,82-83,,
6:53.0,,,82-83,,Defensive rebound by J. Maxiell
6:42.0,,,82-85,2,K. Walker makes 2-pt shot from 17 ft
6:28.0,,,82-85,,Personal foul by M. Williams (drawn by J. Sampson)
6:28.0,,,82-85,,B. Biyombo enters the game for J. Maxiell
6:28.0,,,82-85,,M. Williams enters the game for N. Vonleh
6:28.0,J. Grant enters the game for H. Thompson,,82-85,,
6:28.0,I. Smith enters the game for J. Sampson,,82-85,,
6:16.0,Turnover by L. Mbah a Moute (bad pass),,82-85,,
5:59.0,,,82-87,2,K. Walker makes 2-pt shot from 14 ft
5:59.0,Philadelphia full timeout,,82-87,,
5:41.0,Shooting foul by B. Biyombo (drawn by F. Aldemir),,82-87,,
