time,Sacramento,pts.away,score,pts.home,Indiana
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,34-21,,D. Rudez misses 3-pt shot from 26 ft
11:46.0,Defensive rebound by R. Gay,,34-21,,
11:31.0,R. Gay makes 2-pt shot from 16 ft (assist by N. Stauskas),2,36-21,,
11:06.0,,,36-23,2,C. Watson makes 2-pt shot from 15 ft (assist by I. Mahinmi)
10:44.0,R. Gay makes 2-pt shot from 17 ft,2,38-23,,
10:28.0,,,38-25,2,L. Scola makes 2-pt shot from 18 ft (assist by C. Watson)
10:19.0,D. Collison makes 2-pt shot from 21 ft,2,40-25,,
10:06.0,Personal foul by R. Gay (drawn by I. Mahinmi),,40-25,,
10:06.0,R. Sessions enters the game for D. Collison,,40-25,,
9:56.0,,,40-25,,R. Stuckey misses 3-pt shot from 26 ft
9:55.0,Defensive rebound by J. Thompson,,40-25,,
9:40.0,R. Gay makes 2-pt shot from 9 ft,2,42-25,,
9:34.0,,,42-25,,Indiana full timeout
9:34.0,,,42-25,,S. Hill enters the game for D. Rudez
9:25.0,,,42-25,,L. Scola misses 2-pt shot from 20 ft
9:24.0,Defensive rebound by R. Gay,,42-25,,
9:10.0,R. Gay makes 2-pt shot from 17 ft,2,44-25,,
8:48.0,,,44-25,,R. Stuckey misses 2-pt shot from 9 ft
8:47.0,Defensive rebound by J. Thompson,,44-25,,
8:30.0,R. Sessions misses 3-pt shot from 23 ft,,44-25,,
8:29.0,,,44-25,,Defensive rebound by I. Mahinmi
8:14.0,,,44-25,,Turnover by R. Stuckey (bad pass; steal by R. Sessions)
8:10.0,R. Sessions makes 2-pt shot from 1 ft,2,46-25,,
8:04.0,,,46-25,,Indiana full timeout
8:04.0,,,46-25,,R. Hibbert enters the game for I. Mahinmi
8:04.0,O. Casspi enters the game for R. Gay,,46-25,,
8:04.0,D. Cousins enters the game for J. Thompson,,46-25,,
7:56.0,,,46-27,2,L. Scola makes 2-pt shot from 6 ft (assist by C. Watson)
7:56.0,Shooting block foul by N. Stauskas (drawn by L. Scola),,46-27,,
7:56.0,,,46-28,1,L. Scola makes free throw 1 of 1
7:40.0,O. Casspi makes 3-pt shot from 22 ft (assist by R. Sessions),3,49-28,,
7:27.0,,,49-30,2,R. Stuckey makes 2-pt shot from 6 ft
7:11.0,Turnover by N. Stauskas (bad pass; steal by C. Watson),,49-30,,
7:07.0,,,49-32,2,C. Watson makes 2-pt shot from 1 ft
6:46.0,D. Cousins misses 2-pt shot from 21 ft,,49-32,,
6:45.0,,,49-32,,Defensive rebound by L. Scola
6:40.0,,,49-32,,Turnover by R. Stuckey (lost ball; steal by N. Stauskas)
6:36.0,Shooting foul by C. Watson (drawn by N. Stauskas),,49-32,,
6:36.0,N. Stauskas makes free throw 1 of 2,1,50-32,,
6:36.0,,,50-32,,C. Miles enters the game for S. Hill
6:36.0,N. Stauskas makes free throw 2 of 2,1,51-32,,
6:20.0,,,51-32,,C. Watson misses 3-pt shot from 26 ft
6:18.0,Defensive rebound by D. Cousins,,51-32,,
6:07.0,R. Sessions makes 2-pt shot at rim (assist by D. Cousins),2,53-32,,
6:02.0,Personal foul by C. Landry (drawn by L. Scola),,53-32,,
5:56.0,,,53-32,,R. Stuckey misses 2-pt shot from 4 ft
5:55.0,Defensive rebound by D. Cousins,,53-32,,
5:50.0,Shooting foul by R. Hibbert (drawn by D. Cousins),,53-32,,
5:50.0,Official timeout,,53-32,,
5:50.0,,,53-32,,D. Rudez enters the game for R. Stuckey
5:50.0,D. Cousins makes free throw 1 of 2,1,54-32,,
5:50.0,D. Cousins makes free throw 2 of 2,1,55-32,,
5:34.0,,,55-34,2,R. Hibbert makes 2-pt shot from 6 ft
5:11.0,D. Cousins misses 2-pt shot from 17 ft,,55-34,,
5:11.0,,,55-34,,Defensive rebound by Team
5:11.0,Loose ball foul by C. Landry (drawn by L. Scola),,55-34,,
5:11.0,,,55-34,,G. Hill enters the game for C. Watson
4:58.0,,,55-37,3,C. Miles makes 3-pt shot from 24 ft (assist by D. Rudez)
4:41.0,Shooting foul by R. Hibbert (drawn by D. Cousins),,55-37,,
4:41.0,D. Cousins makes free throw 1 of 2,1,56-37,,
4:41.0,,,56-37,,S. Hill enters the game for D. Rudez
4:41.0,D. Collison enters the game for N. Stauskas,,56-37,,
4:41.0,R. Gay enters the game for C. Landry,,56-37,,
4:41.0,D. Cousins makes free throw 2 of 2,1,57-37,,
4:31.0,,,57-40,3,G. Hill makes 3-pt shot from 26 ft
4:20.0,Offensive charge foul by R. Sessions,,57-40,,
4:20.0,Turnover by R. Sessions (offensive foul),,57-40,,
4:12.0,,,57-42,2,G. Hill makes 2-pt shot from 1 ft
3:47.0,D. Cousins misses 2-pt shot from 16 ft,,57-42,,
3:46.0,,,57-42,,Defensive rebound by G. Hill
3:39.0,,,57-42,,G. Hill misses 2-pt shot from 6 ft (block by R. Gay)
3:38.0,Defensive rebound by D. Cousins,,57-42,,
3:33.0,Turnover by D. Cousins (bad pass; steal by S. Hill),,57-42,,
3:29.0,,,57-44,2,G. Hill makes 2-pt shot at rim (assist by C. Miles)
3:29.0,Sacramento full timeout,,57-44,,
3:29.0,J. Thompson enters the game for R. Sessions,,57-44,,
3:29.0,B. McLemore enters the game for O. Casspi,,57-44,,
3:05.0,D. Cousins misses 2-pt shot from 1 ft,,57-44,,
3:04.0,,,57-44,,Defensive rebound by L. Scola
2:48.0,,,57-44,,Turnover by G. Hill (bad pass; steal by D. Cousins)
2:43.0,D. Collison makes 3-pt shot from 22 ft (assist by R. Gay),3,60-44,,
2:22.0,Personal foul by R. Gay (drawn by L. Scola),,60-44,,
2:22.0,,,60-45,1,L. Scola makes free throw 1 of 2
2:22.0,,,60-46,1,L. Scola makes free throw 2 of 2
2:08.0,R. Gay makes 2-pt shot from 12 ft (assist by B. McLemore),2,62-46,,
1:47.0,,,62-48,2,R. Hibbert makes 2-pt shot from 6 ft (assist by G. Hill)
1:29.0,D. Cousins makes 2-pt shot from 19 ft (assist by R. Gay),2,64-48,,
1:17.0,,,64-48,,G. Hill misses 3-pt shot from 26 ft
1:16.0,Defensive rebound by D. Cousins,,64-48,,
1:03.0,D. Cousins misses 2-pt shot from 21 ft,,64-48,,
1:03.0,,,64-48,,Defensive rebound by Team
0:49.0,,,64-48,,C. Miles misses 2-pt shot from 17 ft
0:48.0,Defensive rebound by D. Cousins,,64-48,,
0:43.0,D. Collison misses 2-pt shot from 1 ft,,64-48,,
0:42.0,,,64-48,,Defensive rebound by S. Hill
0:34.0,,,64-48,,C. Miles misses 3-pt shot from 23 ft
0:32.0,,,64-48,,Offensive rebound by L. Scola
0:32.0,,,64-50,2,L. Scola makes 2-pt shot at rim
0:17.0,R. Gay misses 2-pt shot from 9 ft,,64-50,,
0:16.0,Offensive rebound by D. Cousins,,64-50,,
0:16.0,D. Cousins misses 2-pt shot at rim,,64-50,,
0:15.0,,,64-50,,Defensive rebound by G. Hill
0:00.0,,,64-50,,G. Hill misses 3-pt shot from 27 ft
0:00.0,,,64-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,64-50,,Turnover by C. Watson (bad pass)
11:29.0,Turnover by R. Gay (bad pass; steal by C. Miles),,64-50,,
11:19.0,,,64-50,,C. Miles misses 3-pt shot from 22 ft
11:18.0,Defensive rebound by J. Thompson,,64-50,,
11:15.0,,,64-50,,Personal foul by D. West (drawn by D. Cousins)
11:09.0,D. Collison misses 3-pt shot from 27 ft,,64-50,,
11:08.0,,,64-50,,Defensive rebound by R. Hibbert
10:55.0,,,64-52,2,D. West makes 2-pt shot from 16 ft (assist by C. Watson)
10:30.0,B. McLemore makes 3-pt shot from 23 ft (assist by D. Cousins),3,67-52,,
10:16.0,Personal foul by J. Thompson (drawn by D. West),,67-52,,
10:14.0,,,67-54,2,C. Miles makes 2-pt shot at rim (assist by S. Hill)
9:50.0,D. Cousins misses 2-pt shot from 16 ft,,67-54,,
9:49.0,,,67-54,,Defensive rebound by D. West
9:35.0,,,67-54,,C. Watson misses 2-pt shot from 19 ft
9:33.0,,,67-54,,Offensive rebound by R. Hibbert
9:33.0,,,67-54,,R. Hibbert misses 2-pt shot at rim
9:32.0,,,67-54,,Offensive rebound by D. West
9:30.0,,,67-54,,D. West misses 2-pt shot from 5 ft
9:29.0,Defensive rebound by D. Cousins,,67-54,,
9:19.0,R. Gay makes 2-pt shot from 18 ft,2,69-54,,
9:06.0,,,69-54,,D. West misses 2-pt shot from 21 ft
9:03.0,Defensive rebound by D. Cousins,,69-54,,
8:48.0,R. Gay misses 2-pt shot from 8 ft,,69-54,,
8:47.0,,,69-54,,Defensive rebound by D. West
8:36.0,,,69-54,,C. Miles misses 3-pt shot from 27 ft
8:35.0,Defensive rebound by J. Thompson,,69-54,,
8:24.0,,,69-54,,Personal foul by C. Miles (drawn by B. McLemore)
8:19.0,B. McLemore makes 2-pt shot from 18 ft (assist by D. Collison),2,71-54,,
8:02.0,,,71-54,,S. Hill misses 3-pt shot from 23 ft
8:01.0,Defensive rebound by D. Cousins,,71-54,,
7:41.0,B. McLemore misses 2-pt shot from 16 ft,,71-54,,
7:40.0,,,71-54,,Defensive rebound by C. Watson
7:31.0,,,71-56,2,R. Hibbert makes 2-pt shot from 16 ft (assist by D. West)
7:10.0,Offensive charge foul by D. Cousins,,71-56,,
7:10.0,Turnover by D. Cousins (offensive foul),,71-56,,
7:10.0,,,71-56,,R. Stuckey enters the game for C. Miles
6:59.0,,,71-56,,Turnover by C. Watson (lost ball; steal by D. Collison)
6:53.0,D. Collison misses 3-pt shot from 23 ft,,71-56,,
6:51.0,,,71-56,,Defensive rebound by C. Watson
6:43.0,,,71-56,,Shooting foul by J. Thompson (drawn by C. Watson)
6:43.0,,,71-57,1,C. Watson makes free throw 1 of 2
6:43.0,C. Landry enters the game for J. Thompson,,71-57,,
6:43.0,,,71-58,1,C. Watson makes free throw 2 of 2
6:32.0,Turnover by D. Collison (bad pass; steal by R. Hibbert),,71-58,,
6:27.0,Personal foul by D. Collison (drawn by C. Watson),,71-58,,
6:12.0,,,71-58,,R. Hibbert misses 2-pt shot from 10 ft
6:11.0,Defensive rebound by C. Landry,,71-58,,
5:46.0,C. Landry makes 2-pt shot from 17 ft (assist by D. Collison),2,73-58,,
5:45.0,,,73-58,,Indiana full timeout
5:23.0,,,73-58,,R. Hibbert misses 2-pt shot from 7 ft
5:22.0,Defensive rebound by R. Gay,,73-58,,
5:01.0,D. Cousins misses 2-pt shot at rim,,73-58,,
5:00.0,Offensive rebound by D. Cousins,,73-58,,
5:00.0,D. Cousins misses 2-pt shot at rim,,73-58,,
4:59.0,Offensive rebound by D. Cousins,,73-58,,
4:59.0,,,73-58,,Loose ball foul by R. Hibbert (drawn by D. Cousins)
4:59.0,,,73-58,,G. Hill enters the game for C. Watson
4:59.0,,,73-58,,I. Mahinmi enters the game for R. Hibbert
4:48.0,C. Landry misses 2-pt shot from 20 ft,,73-58,,
4:48.0,,,73-58,,Defensive rebound by Team
4:48.0,Loose ball foul by D. Cousins (drawn by D. West),,73-58,,
4:30.0,,,73-58,,S. Hill misses 3-pt shot from 23 ft
4:28.0,Defensive rebound by D. Collison,,73-58,,
4:11.0,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison),2,75-58,,
3:56.0,,,75-58,,G. Hill misses 2-pt shot from 9 ft
3:54.0,Defensive rebound by D. Collison,,75-58,,
3:38.0,Shooting foul by S. Hill (drawn by R. Gay),,75-58,,
3:38.0,R. Gay makes free throw 1 of 2,1,76-58,,
3:38.0,R. Gay makes free throw 2 of 2,1,77-58,,
3:21.0,,,77-58,,G. Hill misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by B. McLemore,,77-58,,
3:08.0,B. McLemore misses 3-pt shot from 25 ft,,77-58,,
3:08.0,,,77-58,,Defensive rebound by Team
3:08.0,Loose ball foul by C. Landry (drawn by D. West),,77-58,,
3:08.0,,,77-58,,D. West misses free throw 1 of 2
3:08.0,,,77-58,,Offensive rebound by Team
3:08.0,,,77-59,1,D. West makes free throw 2 of 2
2:52.0,Shooting foul by D. West (drawn by R. Gay),,77-59,,
2:52.0,Sacramento full timeout,,77-59,,
2:52.0,,,77-59,,D. Rudez enters the game for S. Hill
2:52.0,R. Gay makes free throw 1 of 2,1,78-59,,
2:52.0,R. Gay makes free throw 2 of 2,1,79-59,,
2:37.0,,,79-59,,D. West misses 2-pt shot from 9 ft
2:37.0,Defensive rebound by D. Cousins,,79-59,,
2:26.0,Offensive foul by D. Cousins,,79-59,,
2:26.0,Turnover by D. Cousins (offensive foul),,79-59,,
2:26.0,O. Casspi enters the game for R. Gay,,79-59,,
2:26.0,R. Hollins enters the game for D. Cousins,,79-59,,
2:13.0,,,79-61,2,D. West makes 2-pt shot from 19 ft (assist by G. Hill)
1:46.0,B. McLemore misses 3-pt shot from 26 ft,,79-61,,
1:46.0,Offensive rebound by Team,,79-61,,
1:46.0,Turnover by Team (shot clock),,79-61,,
1:46.0,R. Gay enters the game for B. McLemore,,79-61,,
1:36.0,Personal foul by C. Landry (drawn by D. West),,79-61,,
1:36.0,,,79-62,1,D. West makes free throw 1 of 2
1:36.0,R. Sessions enters the game for D. Collison,,79-62,,
1:36.0,,,79-63,1,D. West makes free throw 2 of 2
1:27.0,Turnover by R. Sessions (bad pass; steal by I. Mahinmi),,79-63,,
1:24.0,,,79-65,2,I. Mahinmi makes 2-pt shot at rim
1:01.0,R. Sessions misses 2-pt shot from 10 ft,,79-65,,
1:00.0,Offensive rebound by R. Hollins,,79-65,,
0:59.0,Turnover by R. Hollins (lost ball; steal by G. Hill),,79-65,,
0:41.0,,,79-67,2,G. Hill makes 2-pt shot from 12 ft
0:24.0,R. Gay misses 2-pt shot from 2 ft,,79-67,,
0:23.0,,,79-67,,Defensive rebound by R. Stuckey
0:02.0,,,79-67,,G. Hill misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by R. Sessions,,79-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,79-67,,Personal foul by D. Rudez (drawn by R. Gay)
11:49.0,,,79-67,,Technical foul by Team
11:49.0,R. Gay makes technical free throw,1,80-67,,
11:37.0,Offensive foul by R. Hollins,,80-67,,
11:37.0,Turnover by R. Hollins (offensive foul),,80-67,,
11:20.0,,,80-69,2,C. Miles makes 2-pt shot from 21 ft (assist by L. Scola)
10:54.0,Turnover by Team (shot clock),,80-69,,
10:54.0,D. Cousins enters the game for R. Hollins,,80-69,,
10:44.0,Personal foul by R. Gay (drawn by D. Rudez),,80-69,,
10:44.0,D. Collison enters the game for R. Sessions,,80-69,,
10:44.0,B. McLemore enters the game for O. Casspi,,80-69,,
10:37.0,,,80-69,,L. Scola misses 2-pt shot from 19 ft
10:35.0,,,80-69,,Offensive rebound by C. Watson
10:24.0,,,80-71,2,C. Miles makes 2-pt shot at rim
10:02.0,R. Gay makes 2-pt shot from 8 ft,2,82-71,,
10:00.0,Violation by Team (delay of game),,82-71,,
9:51.0,,,82-71,,Shooting foul by D. Collison (drawn by L. Scola)
9:51.0,,,82-72,1,L. Scola makes free throw 1 of 2
9:51.0,J. Thompson enters the game for C. Landry,,82-72,,
9:51.0,,,82-73,1,L. Scola makes free throw 2 of 2
9:33.0,D. Cousins misses 2-pt shot from 7 ft,,82-73,,
9:32.0,,,82-73,,Defensive rebound by L. Scola
9:24.0,,,82-73,,Offensive foul by L. Scola
9:24.0,,,82-73,,Turnover by L. Scola (offensive foul)
9:09.0,D. Collison misses 3-pt shot from 26 ft,,82-73,,
9:08.0,,,82-73,,Defensive rebound by I. Mahinmi
8:53.0,Shooting block foul by J. Thompson (drawn by L. Scola),,82-73,,
8:53.0,Official timeout,,82-73,,
8:53.0,,,82-74,1,L. Scola makes free throw 1 of 2
8:53.0,,,82-75,1,L. Scola makes free throw 2 of 2
8:37.0,D. Cousins misses 2-pt shot from 2 ft (block by I. Mahinmi),,82-75,,
8:37.0,Offensive rebound by Team,,82-75,,
8:34.0,Shooting foul by I. Mahinmi (drawn by B. McLemore),,82-75,,
8:34.0,B. McLemore misses free throw 1 of 2,,82-75,,
8:34.0,Offensive rebound by Team,,82-75,,
8:34.0,B. McLemore makes free throw 2 of 2,1,83-75,,
8:15.0,,,83-75,,C. Miles misses 3-pt shot from 26 ft
8:14.0,Defensive rebound by D. Cousins,,83-75,,
8:01.0,B. McLemore misses 3-pt shot from 24 ft,,83-75,,
7:59.0,Offensive rebound by D. Cousins,,83-75,,
7:57.0,D. Cousins makes 2-pt shot at rim,2,85-75,,
7:42.0,Personal foul by R. Gay (drawn by L. Scola),,85-75,,
7:42.0,C. Landry enters the game for J. Thompson,,85-75,,
7:32.0,,,85-75,,Turnover by C. Watson (lost ball)
7:07.0,D. Collison makes 2-pt shot from 20 ft,2,87-75,,
7:06.0,,,87-75,,Indiana full timeout
7:06.0,,,87-75,,G. Hill enters the game for C. Watson
6:52.0,,,87-75,,Turnover by G. Hill (bad pass; steal by C. Landry)
6:41.0,D. Collison makes 2-pt shot from 2 ft,2,89-75,,
6:21.0,,,89-78,3,D. Rudez makes 3-pt shot from 25 ft (assist by G. Hill)
6:04.0,R. Gay misses 2-pt shot from 1 ft,,89-78,,
6:03.0,Offensive rebound by D. Cousins,,89-78,,
6:03.0,D. Cousins makes 2-pt shot at rim,2,91-78,,
5:52.0,,,91-80,2,I. Mahinmi makes 2-pt shot at rim (assist by C. Miles)
5:28.0,Turnover by D. Cousins (lost ball; steal by I. Mahinmi),,91-80,,
5:23.0,,,91-82,2,C. Miles makes 2-pt shot at rim
5:22.0,Sacramento full timeout,,91-82,,
5:22.0,,,91-82,,D. West enters the game for L. Scola
5:03.0,R. Gay misses 3-pt shot from 24 ft,,91-82,,
5:02.0,,,91-82,,Defensive rebound by C. Miles
4:48.0,,,91-82,,D. West misses 2-pt shot from 19 ft
4:47.0,Defensive rebound by D. Cousins,,91-82,,
4:30.0,D. Cousins misses 2-pt shot from 1 ft (block by D. West),,91-82,,
4:29.0,,,91-82,,Defensive rebound by G. Hill
4:23.0,,,91-82,,C. Miles misses 3-pt shot from 24 ft
4:21.0,Defensive rebound by C. Landry,,91-82,,
4:17.0,,,91-82,,Personal foul by G. Hill (drawn by D. Cousins)
4:07.0,D. Cousins makes 2-pt shot from 12 ft (assist by D. Collison),2,93-82,,
3:48.0,,,93-82,,C. Miles misses 3-pt shot from 26 ft
3:47.0,,,93-82,,Offensive rebound by I. Mahinmi
3:47.0,,,93-82,,I. Mahinmi misses 2-pt shot at rim
3:46.0,Defensive rebound by D. Collison,,93-82,,
3:33.0,,,93-82,,Personal foul by I. Mahinmi (drawn by D. Cousins)
3:33.0,,,93-82,,R. Hibbert enters the game for I. Mahinmi
3:22.0,D. Cousins misses 2-pt shot from 2 ft (block by D. West),,93-82,,
3:21.0,,,93-82,,Defensive rebound by G. Hill
3:15.0,Personal foul by R. Gay (drawn by D. West),,93-82,,
3:15.0,,,93-83,1,D. West makes free throw 1 of 2
3:15.0,,,93-84,1,D. West makes free throw 2 of 2
3:00.0,R. Gay misses 2-pt shot from 11 ft,,93-84,,
2:59.0,Offensive rebound by C. Landry,,93-84,,
2:57.0,C. Landry misses 2-pt shot from 1 ft (block by D. West),,93-84,,
2:55.0,,,93-84,,Defensive rebound by D. Rudez
2:36.0,,,93-84,,R. Hibbert misses 2-pt shot from 10 ft
2:34.0,Defensive rebound by C. Landry,,93-84,,
2:18.0,D. Cousins misses 2-pt shot from 16 ft,,93-84,,
2:16.0,,,93-84,,Defensive rebound by G. Hill
2:09.0,Personal foul by D. Cousins (drawn by R. Hibbert),,93-84,,
2:09.0,,,93-84,,R. Hibbert misses free throw 1 of 2
2:09.0,,,93-84,,Offensive rebound by Team
2:09.0,,,93-85,1,R. Hibbert makes free throw 2 of 2
1:46.0,B. McLemore misses 3-pt shot from 26 ft,,93-85,,
1:46.0,,,93-85,,Defensive rebound by Team
1:46.0,Loose ball foul by D. Cousins (drawn by R. Hibbert),,93-85,,
1:46.0,J. Thompson enters the game for D. Cousins,,93-85,,
1:46.0,,,93-86,1,R. Hibbert makes free throw 1 of 2
1:46.0,,,93-87,1,R. Hibbert makes free throw 2 of 2
1:34.0,R. Gay misses 2-pt shot from 12 ft,,93-87,,
