time,Sacramento,pts.away,score,pts.home,Orlando
0:32.0,Offensive rebound by Team,,25-33,,
0:32.0,O. Casspi makes free throw 2 of 2,1,26-33,,
0:13.0,,,26-33,,V. Oladipo misses 2-pt shot from 18 ft
0:12.0,,,26-33,,Offensive rebound by A. Nicholson
0:10.0,,,26-35,2,A. Nicholson makes 2-pt shot from 3 ft
0:00.0,A. Miller misses 3-pt shot from 26 ft,,26-35,,
0:00.0,Offensive rebound by Team,,26-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Gay makes 2-pt shot from 5 ft,2,28-35,,
11:23.0,,,28-35,,A. Nicholson misses 2-pt shot from 4 ft
11:21.0,Defensive rebound by A. Miller,,28-35,,
11:05.0,D. Cousins makes 2-pt shot from 1 ft,2,30-35,,
10:57.0,,,30-35,,C. Frye misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by D. Williams,,30-35,,
10:51.0,Turnover by A. Miller (lost ball; steal by C. Frye),,30-35,,
10:45.0,,,30-37,2,B. Gordon makes 2-pt shot at rim
10:35.0,R. Gay makes 3-pt shot from 25 ft (assist by A. Miller),3,33-37,,
10:25.0,,,33-40,3,B. Gordon makes 3-pt shot from 27 ft (assist by E. Payton)
10:05.0,R. Gay misses 2-pt shot from 9 ft,,33-40,,
10:04.0,Offensive rebound by O. Casspi,,33-40,,
10:04.0,Shooting foul by B. Gordon (drawn by O. Casspi),,33-40,,
10:04.0,O. Casspi makes free throw 1 of 2,1,34-40,,
10:04.0,B. McLemore enters the game for R. Gay,,34-40,,
10:04.0,O. Casspi misses free throw 2 of 2,,34-40,,
10:03.0,Offensive rebound by D. Williams,,34-40,,
9:54.0,D. Williams makes 3-pt shot from 24 ft (assist by A. Miller),3,37-40,,
9:52.0,,,37-40,,Orlando full timeout
9:39.0,,,37-43,3,C. Frye makes 3-pt shot from 26 ft (assist by A. Nicholson)
9:18.0,A. Miller misses 2-pt shot from 17 ft,,37-43,,
9:16.0,Offensive rebound by D. Cousins,,37-43,,
9:16.0,D. Cousins misses 2-pt shot at rim,,37-43,,
9:14.0,,,37-43,,Defensive rebound by E. Payton
9:10.0,,,37-43,,Turnover by A. Gordon (lost ball; steal by A. Miller)
9:06.0,Turnover by A. Miller (lost ball; steal by E. Payton),,37-43,,
9:02.0,,,37-45,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
8:41.0,A. Miller misses 3-pt shot from 22 ft,,37-45,,
8:40.0,,,37-45,,Defensive rebound by C. Frye
8:40.0,Personal foul by O. Casspi (drawn by C. Frye),,37-45,,
8:26.0,,,37-47,2,B. Gordon makes 2-pt shot from 6 ft (assist by E. Payton)
8:02.0,D. Cousins makes 2-pt shot from 18 ft (assist by A. Miller),2,39-47,,
7:50.0,,,39-47,,E. Payton misses 3-pt shot from 22 ft
7:49.0,Defensive rebound by D. Cousins,,39-47,,
7:38.0,A. Miller misses 2-pt shot at rim (block by E. Payton),,39-47,,
7:36.0,Offensive rebound by A. Miller,,39-47,,
7:32.0,D. Williams misses 3-pt shot from 22 ft,,39-47,,
7:31.0,Offensive rebound by A. Miller,,39-47,,
7:28.0,B. McLemore misses 3-pt shot from 25 ft,,39-47,,
7:28.0,Offensive rebound by Team,,39-47,,
7:28.0,R. McCallum enters the game for O. Casspi,,39-47,,
7:28.0,,,39-47,,V. Oladipo enters the game for B. Gordon
7:18.0,B. McLemore misses 3-pt shot from 25 ft,,39-47,,
7:16.0,,,39-47,,Defensive rebound by C. Frye
7:10.0,,,39-47,,Shooting foul by D. Cousins (drawn by A. Nicholson)
7:10.0,,,39-47,,A. Nicholson misses free throw 1 of 2
7:10.0,,,39-47,,Offensive rebound by Team
7:10.0,,,39-48,1,A. Nicholson makes free throw 2 of 2
6:50.0,D. Cousins makes 2-pt shot from 20 ft (assist by B. McLemore),2,41-48,,
6:31.0,,,41-50,2,E. Payton makes 2-pt shot from 17 ft
6:20.0,Shooting foul by C. Frye (drawn by R. McCallum),,41-50,,
6:20.0,R. McCallum makes free throw 1 of 2,1,42-50,,
6:20.0,J. Thompson enters the game for D. Cousins,,42-50,,
6:20.0,R. Gay enters the game for D. Williams,,42-50,,
6:20.0,R. McCallum makes free throw 2 of 2,1,43-50,,
5:54.0,,,43-50,,E. Payton misses 2-pt shot from 9 ft
5:53.0,,,43-50,,Offensive rebound by A. Nicholson
5:53.0,,,43-52,2,A. Nicholson makes 2-pt shot from 4 ft
5:40.0,A. Miller misses 2-pt shot from 1 ft,,43-52,,
5:38.0,Offensive rebound by J. Thompson,,43-52,,
5:38.0,Shooting foul by V. Oladipo (drawn by J. Thompson),,43-52,,
5:38.0,Official timeout,,43-52,,
5:38.0,N. Stauskas enters the game for A. Miller,,43-52,,
5:38.0,,,43-52,,T. Harris enters the game for A. Nicholson
5:38.0,J. Thompson makes free throw 1 of 2,1,44-52,,
5:38.0,J. Thompson misses free throw 2 of 2,,44-52,,
5:37.0,,,44-52,,Defensive rebound by C. Frye
5:24.0,,,44-54,2,V. Oladipo makes 2-pt shot at rim
5:09.0,R. Gay misses 2-pt shot from 11 ft,,44-54,,
5:08.0,,,44-54,,Defensive rebound by C. Frye
4:52.0,,,44-56,2,V. Oladipo makes 2-pt shot from 17 ft
4:38.0,,,44-56,,Personal foul by A. Gordon (drawn by R. Gay)
4:27.0,B. McLemore misses 3-pt shot from 25 ft,,44-56,,
4:25.0,,,44-56,,Defensive rebound by E. Payton
4:10.0,,,44-56,,T. Harris misses 3-pt shot from 24 ft
4:07.0,,,44-56,,Offensive rebound by Team
4:07.0,D. Cousins enters the game for B. McLemore,,44-56,,
3:57.0,,,44-56,,Shooting foul by J. Thompson (drawn by V. Oladipo)
3:57.0,Sacramento full timeout,,44-56,,
3:57.0,,,44-56,,A. Nicholson enters the game for A. Gordon
3:57.0,,,44-57,1,V. Oladipo makes free throw 1 of 2
3:57.0,,,44-58,1,V. Oladipo makes free throw 2 of 2
3:35.0,R. Gay makes 2-pt shot from 12 ft,2,46-58,,
3:21.0,,,46-61,3,C. Frye makes 3-pt shot from 26 ft (assist by V. Oladipo)
3:04.0,N. Stauskas makes 3-pt shot from 25 ft (assist by D. Cousins),3,49-61,,
2:47.0,,,49-61,,V. Oladipo misses 2-pt shot from 5 ft
2:47.0,Defensive rebound by Team,,49-61,,
2:31.0,D. Cousins makes 2-pt shot from 17 ft,2,51-61,,
2:23.0,,,51-61,,E. Payton misses 2-pt shot from 1 ft
2:21.0,Defensive rebound by D. Cousins,,51-61,,
2:12.0,,,51-61,,Def 3 sec tech foul by A. Nicholson
2:12.0,R. Gay makes technical free throw,1,52-61,,
1:59.0,J. Thompson makes 2-pt shot at rim (assist by D. Cousins),2,54-61,,
1:40.0,,,54-64,3,C. Frye makes 3-pt shot from 23 ft (assist by E. Payton)
1:27.0,R. Gay misses 2-pt shot at rim,,54-64,,
1:25.0,Offensive rebound by R. Gay,,54-64,,
1:23.0,R. Gay makes 2-pt shot at rim,2,56-64,,
1:11.0,,,56-64,,A. Nicholson misses 2-pt shot from 8 ft
1:10.0,Defensive rebound by D. Cousins,,56-64,,
0:59.0,Turnover by R. Gay (lost ball; steal by V. Oladipo),,56-64,,
0:54.0,,,56-66,2,E. Payton makes 2-pt shot at rim (assist by V. Oladipo)
0:32.0,R. McCallum misses 2-pt shot from 3 ft,,56-66,,
0:29.0,,,56-66,,Defensive rebound by C. Frye
0:27.0,,,56-66,,Turnover by C. Frye (lost ball; steal by R. Gay)
0:27.0,,,56-66,,Personal foul by V. Oladipo (drawn by N. Stauskas)
0:27.0,N. Stauskas makes free throw 1 of 2,1,57-66,,
0:27.0,N. Stauskas misses free throw 2 of 2,,57-66,,
0:26.0,,,57-66,,Defensive rebound by A. Nicholson
0:25.0,,,57-66,,Orlando full timeout
0:25.0,O. Casspi enters the game for J. Thompson,,57-66,,
0:25.0,,,57-66,,B. Gordon enters the game for E. Payton
0:03.0,,,57-66,,C. Frye misses 3-pt shot from 25 ft
0:02.0,,,57-66,,Offensive rebound by A. Nicholson
0:02.0,,,57-68,2,A. Nicholson makes 2-pt shot from 4 ft
0:00.0,R. McCallum misses 3-pt shot from 41 ft,,57-68,,
0:00.0,Offensive rebound by Team,,57-68,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,B. McLemore misses 2-pt shot from 1 ft,,57-68,,
11:40.0,,,57-68,,Defensive rebound by C. Frye
11:27.0,,,57-68,,V. Oladipo misses 2-pt shot from 18 ft
11:26.0,,,57-68,,Offensive rebound by D. Dedmon
11:22.0,,,57-70,2,D. Dedmon makes 2-pt shot at rim
11:02.0,D. Williams makes 3-pt shot from 22 ft (assist by R. Gay),3,60-70,,
10:47.0,,,60-72,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
10:29.0,Turnover by D. Williams (lost ball; steal by V. Oladipo),,60-72,,
10:23.0,,,60-74,2,T. Harris makes 2-pt shot from 21 ft (assist by V. Oladipo)
10:03.0,D. Cousins misses 2-pt shot from 17 ft,,60-74,,
10:03.0,Offensive rebound by R. Gay,,60-74,,
10:02.0,R. Gay misses 2-pt shot from 1 ft,,60-74,,
10:02.0,Offensive rebound by R. Gay,,60-74,,
10:01.0,Turnover by R. Gay (lost ball; steal by T. Harris),,60-74,,
9:49.0,,,60-74,,V. Oladipo misses 2-pt shot from 1 ft
9:47.0,,,60-74,,Offensive rebound by D. Dedmon
9:47.0,,,60-76,2,D. Dedmon makes 2-pt shot at rim
9:45.0,Sacramento full timeout,,60-76,,
9:27.0,D. Williams misses 3-pt shot from 26 ft,,60-76,,
9:26.0,,,60-76,,Defensive rebound by T. Harris
9:14.0,,,60-78,2,C. Frye makes 2-pt shot from 20 ft (assist by E. Payton)
8:56.0,R. McCallum makes 3-pt shot from 24 ft,3,63-78,,
8:33.0,,,63-78,,Turnover by D. Dedmon (traveling)
8:10.0,R. McCallum makes 2-pt shot at rim,2,65-78,,
7:44.0,,,65-78,,T. Harris misses 2-pt shot from 1 ft (block by D. Cousins)
7:40.0,Defensive rebound by B. McLemore,,65-78,,
7:40.0,Shooting foul by C. Frye (drawn by R. Gay),,65-78,,
7:40.0,R. Gay misses free throw 1 of 2,,65-78,,
7:40.0,Offensive rebound by Team,,65-78,,
7:40.0,R. Gay makes free throw 2 of 2,1,66-78,,
7:21.0,,,66-81,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton)
7:00.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Gay),2,68-81,,
6:43.0,,,68-83,2,V. Oladipo makes 2-pt shot from 4 ft
6:32.0,R. Gay makes 2-pt shot at rim (assist by B. McLemore),2,70-83,,
6:15.0,,,70-86,3,V. Oladipo makes 3-pt shot from 26 ft
6:05.0,D. Cousins makes 2-pt shot from 1 ft,2,72-86,,
6:05.0,Shooting foul by D. Dedmon (drawn by D. Cousins),,72-86,,
6:05.0,O. Casspi enters the game for D. Williams,,72-86,,
6:05.0,D. Cousins makes free throw 1 of 1,1,73-86,,
5:54.0,,,73-86,,T. Harris misses 2-pt shot from 6 ft
5:53.0,Defensive rebound by B. McLemore,,73-86,,
5:48.0,O. Casspi misses 2-pt shot at rim,,73-86,,
5:47.0,,,73-86,,Defensive rebound by T. Harris
5:38.0,,,73-86,,C. Frye misses 3-pt shot from 27 ft
5:37.0,Defensive rebound by Team,,73-86,,
5:25.0,R. Gay misses 2-pt shot from 4 ft,,73-86,,
5:24.0,,,73-86,,Defensive rebound by E. Payton
5:18.0,,,73-86,,T. Harris misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by B. McLemore,,73-86,,
5:09.0,R. McCallum misses 3-pt shot from 25 ft,,73-86,,
5:07.0,Offensive rebound by R. McCallum,,73-86,,
5:04.0,R. McCallum misses 2-pt shot at rim (block by C. Frye),,73-86,,
5:02.0,,,73-86,,Defensive rebound by D. Dedmon
5:01.0,,,73-86,,Orlando full timeout
5:01.0,,,73-86,,K. O'Quinn enters the game for C. Frye
5:01.0,,,73-86,,A. Nicholson enters the game for D. Dedmon
4:43.0,,,73-89,3,A. Nicholson makes 3-pt shot from 27 ft (assist by E. Payton)
4:23.0,R. McCallum makes 2-pt shot from 5 ft (assist by R. Gay),2,75-89,,
4:10.0,,,75-89,,Turnover by V. Oladipo (bad pass)
3:56.0,R. Gay makes 2-pt shot from 5 ft,2,77-89,,
3:41.0,,,77-89,,V. Oladipo misses 2-pt shot at rim
3:38.0,Defensive rebound by R. Gay,,77-89,,
3:31.0,R. McCallum misses 3-pt shot from 22 ft,,77-89,,
3:29.0,,,77-89,,Defensive rebound by V. Oladipo
3:19.0,Def 3 sec tech foul by D. Cousins,,77-89,,
3:19.0,,,77-90,1,T. Harris makes technical free throw
3:19.0,J. Thompson enters the game for R. McCallum,,77-90,,
3:19.0,,,77-90,,B. Gordon enters the game for V. Oladipo
3:19.0,A. Miller enters the game for D. Cousins,,77-90,,
3:09.0,,,77-90,,A. Nicholson misses 2-pt shot from 11 ft
3:07.0,Defensive rebound by A. Miller,,77-90,,
2:46.0,O. Casspi makes 2-pt shot from 1 ft,2,79-90,,
2:34.0,,,79-90,,Turnover by A. Nicholson (lost ball; steal by R. Gay)
2:31.0,R. Gay makes 2-pt shot at rim,2,81-90,,
2:18.0,Personal foul by A. Miller (drawn by E. Payton),,81-90,,
2:18.0,N. Stauskas enters the game for B. McLemore,,81-90,,
2:07.0,,,81-90,,B. Gordon misses 2-pt shot from 18 ft
2:05.0,Defensive rebound by J. Thompson,,81-90,,
1:52.0,Shooting foul by A. Nicholson (drawn by O. Casspi),,81-90,,
1:52.0,O. Casspi makes free throw 1 of 2,1,82-90,,
1:52.0,O. Casspi makes free throw 2 of 2,1,83-90,,
1:34.0,,,83-90,,T. Harris misses 2-pt shot at rim (block by R. Gay)
1:31.0,Defensive rebound by J. Thompson,,83-90,,
1:27.0,Turnover by R. Gay (bad pass),,83-90,,
1:15.0,,,83-92,2,K. O'Quinn makes 2-pt shot from 9 ft (assist by E. Payton)
1:04.0,R. Gay makes 3-pt shot from 25 ft (assist by A. Miller),3,86-92,,
0:40.0,,,86-92,,E. Payton misses 2-pt shot from 3 ft
0:38.0,Defensive rebound by A. Miller,,86-92,,
0:30.0,R. Gay misses 3-pt shot from 28 ft,,86-92,,
0:29.0,,,86-92,,Defensive rebound by K. O'Quinn
0:12.0,Personal foul by A. Miller (drawn by E. Payton),,86-92,,
0:00.0,,,86-92,,T. Harris misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by O. Casspi,,86-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,86-95,3,B. Gordon makes 3-pt shot from 23 ft (assist by V. Oladipo)
11:23.0,R. Gay makes 2-pt shot from 4 ft,2,88-95,,
11:23.0,Shooting foul by K. O'Quinn (drawn by R. Gay),,88-95,,
11:23.0,R. Gay makes free throw 1 of 1,1,89-95,,
11:11.0,,,89-97,2,V. Oladipo makes 2-pt shot at rim
10:54.0,O. Casspi makes 3-pt shot from 27 ft (assist by A. Miller),3,92-97,,
10:35.0,,,92-97,,Turnover by V. Oladipo (lost ball; steal by A. Miller)
10:32.0,D. Cousins enters the game for R. Gay,,92-97,,
10:26.0,J. Thompson misses 2-pt shot from 7 ft,,92-97,,
10:26.0,Offensive rebound by Team,,92-97,,
10:11.0,Shooting foul by K. O'Quinn (drawn by D. Cousins),,92-97,,
10:11.0,D. Cousins misses free throw 1 of 2,,92-97,,
10:11.0,Offensive rebound by Team,,92-97,,
10:11.0,,,92-97,,D. Dedmon enters the game for K. O'Quinn
10:11.0,D. Cousins makes free throw 2 of 2,1,93-97,,
9:58.0,,,93-97,,B. Gordon misses 2-pt shot from 17 ft (block by D. Cousins)
9:57.0,Defensive rebound by O. Casspi,,93-97,,
9:55.0,Shooting foul by A. Nicholson (drawn by D. Cousins),,93-97,,
9:55.0,D. Cousins makes free throw 1 of 2,1,94-97,,
9:55.0,,,94-97,,E. Payton enters the game for B. Gordon
9:55.0,D. Cousins makes free throw 2 of 2,1,95-97,,
9:31.0,,,95-97,,V. Oladipo misses 2-pt shot from 13 ft (block by O. Casspi)
9:31.0,,,95-97,,Offensive rebound by Team
9:31.0,,,95-97,,Turnover by Team (shot clock)
9:15.0,O. Casspi misses 2-pt shot from 4 ft,,95-97,,
9:13.0,,,95-97,,Defensive rebound by D. Dedmon
9:03.0,,,95-99,2,V. Oladipo makes 2-pt shot from 2 ft (assist by E. Payton)
8:57.0,Turnover by J. Thompson (lost ball; steal by V. Oladipo),,95-99,,
8:52.0,,,95-99,,V. Oladipo misses 3-pt shot from 22 ft
8:50.0,,,95-99,,Offensive rebound by D. Dedmon
8:39.0,Personal foul by O. Casspi (drawn by D. Dedmon),,95-99,,
8:39.0,Official timeout,,95-99,,
8:30.0,,,95-99,,A. Nicholson misses 2-pt shot from 7 ft
8:29.0,Defensive rebound by Team,,95-99,,
8:12.0,Offensive foul by D. Cousins,,95-99,,
8:12.0,Turnover by D. Cousins (offensive foul),,95-99,,
8:12.0,,,95-99,,C. Frye enters the game for A. Nicholson
8:12.0,R. Gay enters the game for O. Casspi,,95-99,,
7:54.0,,,95-99,,Offensive foul by A. Gordon
7:54.0,,,95-99,,Turnover by A. Gordon (offensive foul)
7:45.0,Offensive foul by R. Gay,,95-99,,
7:45.0,Turnover by R. Gay (offensive foul),,95-99,,
7:27.0,,,95-99,,A. Gordon misses 3-pt shot from 26 ft
7:26.0,Defensive rebound by D. Cousins,,95-99,,
7:11.0,D. Cousins makes 2-pt shot at rim,2,97-99,,
7:11.0,Shooting foul by D. Dedmon (drawn by D. Cousins),,97-99,,
7:11.0,R. McCallum enters the game for A. Miller,,97-99,,
7:11.0,,,97-99,,T. Harris enters the game for A. Gordon
7:11.0,D. Cousins misses free throw 1 of 1,,97-99,,
7:09.0,,,97-99,,Defensive rebound by D. Dedmon
6:56.0,,,97-99,,T. Harris misses 2-pt shot from 1 ft
6:52.0,,,97-99,,Offensive rebound by T. Harris
6:51.0,,,97-99,,Turnover by T. Harris (lost ball; steal by R. Gay)
6:45.0,N. Stauskas makes 3-pt shot from 22 ft (assist by R. McCallum),3,100-99,,
6:30.0,,,100-101,2,E. Payton makes 2-pt shot from 7 ft
6:06.0,N. Stauskas misses 3-pt shot from 26 ft,,100-101,,
6:05.0,,,100-101,,Defensive rebound by E. Payton
5:53.0,,,100-101,,C. Frye misses 2-pt shot from 23 ft
5:52.0,Defensive rebound by D. Cousins,,100-101,,
5:36.0,Turnover by R. McCallum (bad pass; steal by T. Harris),,100-101,,
5:32.0,,,100-103,2,V. Oladipo makes 2-pt shot at rim (assist by T. Harris)
5:31.0,Sacramento full timeout,,100-103,,
5:31.0,A. Miller enters the game for N. Stauskas,,100-103,,
5:18.0,D. Cousins misses 2-pt shot from 6 ft,,100-103,,
5:16.0,,,100-103,,Defensive rebound by C. Frye
5:02.0,,,100-105,2,E. Payton makes 2-pt shot from 1 ft
5:02.0,,,100-105,,Shooting foul by R. McCallum (drawn by E. Payton)
5:02.0,,,100-105,,E. Payton misses free throw 1 of 1
5:00.0,Defensive rebound by D. Cousins,,100-105,,
4:44.0,R. Gay misses 2-pt shot from 18 ft,,100-105,,
4:43.0,,,100-105,,Defensive rebound by C. Frye
4:34.0,Personal foul by A. Miller (drawn by D. Dedmon),,100-105,,
4:34.0,O. Casspi enters the game for J. Thompson,,100-105,,
4:28.0,,,100-105,,E. Payton misses 2-pt shot from 16 ft
4:27.0,Defensive rebound by D. Cousins,,100-105,,
4:12.0,A. Miller misses 3-pt shot from 25 ft,,100-105,,
4:11.0,,,100-105,,Defensive rebound by D. Dedmon
3:54.0,Personal foul by R. McCallum (drawn by C. Frye),,100-105,,
3:35.0,,,100-105,,Turnover by Team (shot clock)
3:17.0,A. Miller makes 3-pt shot from 25 ft (assist by O. Casspi),3,103-105,,
2:56.0,,,103-105,,Turnover by E. Payton (bad pass; steal by O. Casspi)
2:52.0,O. Casspi misses 2-pt shot at rim,,103-105,,
2:52.0,Offensive rebound by R. Gay,,103-105,,
2:52.0,R. Gay makes 2-pt shot at rim,2,105-105,,
2:52.0,Shooting foul by C. Frye (drawn by R. Gay),,105-105,,
2:52.0,,,105-105,,Orlando full timeout
2:52.0,R. Gay makes free throw 1 of 1,1,106-105,,
2:34.0,,,106-105,,V. Oladipo misses 2-pt shot from 6 ft (block by D. Cousins)
2:33.0,Defensive rebound by D. Cousins,,106-105,,
2:23.0,A. Miller misses 2-pt shot from 3 ft,,106-105,,
2:21.0,Offensive rebound by O. Casspi,,106-105,,
2:21.0,O. Casspi misses 2-pt shot from 1 ft,,106-105,,
