time,Washington,pts.away,score,pts.home,Phoenix
7:33.0,B. Beal misses 2-pt shot from 19 ft,,9-8,,
7:32.0,,,9-8,,Defensive rebound by M. Morris
7:26.0,,,9-8,,G. Dragic misses 2-pt shot from 14 ft
7:24.0,Defensive rebound by K. Humphries,,9-8,,
7:09.0,Turnover by P. Pierce (bad pass; steal by G. Dragic),,9-8,,
7:04.0,,,9-10,2,G. Dragic makes 2-pt shot at rim
6:45.0,J. Wall misses 2-pt shot from 16 ft,,9-10,,
6:44.0,,,9-10,,Defensive rebound by P. Tucker
6:35.0,,,9-10,,E. Bledsoe misses 3-pt shot from 23 ft
6:34.0,Defensive rebound by K. Humphries,,9-10,,
6:19.0,K. Humphries makes 2-pt shot from 4 ft (assist by P. Pierce),2,11-10,,
6:02.0,,,11-12,2,G. Dragic makes 2-pt shot at rim (assist by P. Tucker)
5:48.0,P. Pierce misses 2-pt shot at rim,,11-12,,
5:47.0,Offensive rebound by M. Gortat,,11-12,,
5:39.0,M. Gortat makes 2-pt shot at rim,2,13-12,,
5:31.0,,,13-12,,Phoenix full timeout
5:20.0,,,13-14,2,M. Morris makes 2-pt shot from 9 ft
4:54.0,K. Humphries misses 2-pt shot from 17 ft,,13-14,,
4:53.0,,,13-14,,Defensive rebound by M. Morris
4:42.0,,,13-14,,M. Morris misses 2-pt shot from 17 ft
4:42.0,Defensive rebound by K. Humphries,,13-14,,
4:26.0,M. Gortat misses 2-pt shot from 16 ft,,13-14,,
4:25.0,,,13-14,,Defensive rebound by E. Bledsoe
4:14.0,,,13-14,,Shooting foul by M. Gortat (drawn by M. Morris)
4:14.0,,,13-15,1,M. Morris makes free throw 1 of 2
4:14.0,,,13-15,,M. Morris enters the game for P. Tucker
4:14.0,,,13-15,,M. Plumlee enters the game for A. Len
4:14.0,,,13-16,1,M. Morris makes free throw 2 of 2
4:01.0,B. Beal makes 2-pt shot from 14 ft,2,15-16,,
3:46.0,,,15-18,2,M. Morris makes 2-pt shot from 13 ft
3:40.0,Turnover by J. Wall (bad pass; steal by G. Dragic),,15-18,,
3:24.0,Personal foul by P. Pierce (drawn by M. Morris),,15-18,,
3:24.0,R. Butler enters the game for B. Beal,,15-18,,
3:24.0,D. Gooden enters the game for K. Humphries,,15-18,,
3:10.0,,,15-20,2,M. Morris makes 2-pt shot from 20 ft
2:44.0,P. Pierce misses 2-pt shot from 16 ft,,15-20,,
2:42.0,,,15-20,,Defensive rebound by E. Bledsoe
2:35.0,,,15-23,3,E. Bledsoe makes 3-pt shot from 24 ft
2:26.0,,,15-23,,Personal foul by M. Morris (drawn by P. Pierce)
2:26.0,Washington full timeout,,15-23,,
2:26.0,,,15-23,,I. Thomas enters the game for G. Dragic
2:26.0,O. Porter enters the game for P. Pierce,,15-23,,
2:09.0,M. Gortat misses 2-pt shot from 1 ft,,15-23,,
2:08.0,Offensive rebound by M. Gortat,,15-23,,
2:08.0,M. Gortat makes 2-pt shot from 1 ft,2,17-23,,
1:42.0,,,17-23,,M. Morris misses 3-pt shot from 22 ft
1:41.0,Defensive rebound by D. Gooden,,17-23,,
1:30.0,D. Gooden misses 2-pt shot from 18 ft,,17-23,,
1:30.0,,,17-23,,Defensive rebound by M. Morris
1:15.0,,,17-23,,I. Thomas misses 2-pt shot from 14 ft (block by J. Wall)
1:14.0,Defensive rebound by J. Wall,,17-23,,
1:03.0,J. Wall misses 2-pt shot from 4 ft,,17-23,,
1:02.0,,,17-23,,Defensive rebound by M. Plumlee
0:57.0,,,17-26,3,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe)
0:38.0,Turnover by R. Butler (traveling),,17-26,,
0:38.0,A. Miller enters the game for M. Gortat,,17-26,,
0:38.0,K. Seraphin enters the game for J. Wall,,17-26,,
0:33.0,,,17-29,3,I. Thomas makes 3-pt shot from 24 ft (assist by E. Bledsoe)
0:14.0,R. Butler misses 2-pt shot from 5 ft,,17-29,,
0:12.0,,,17-29,,Defensive rebound by M. Morris
0:02.0,Personal take foul by R. Butler (drawn by E. Bledsoe),,17-29,,
0:00.0,,,17-29,,I. Thomas misses 3-pt shot from 25 ft
0:00.0,,,17-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,R. Butler misses 3-pt shot from 22 ft,,17-29,,
11:41.0,,,17-29,,Defensive rebound by G. Green
11:38.0,Shooting block foul by A. Miller (drawn by G. Dragic),,17-29,,
11:38.0,,,17-29,,G. Dragic misses free throw 1 of 2
11:38.0,,,17-29,,Offensive rebound by Team
11:38.0,B. Beal enters the game for R. Butler,,17-29,,
11:38.0,,,17-30,1,G. Dragic makes free throw 2 of 2
11:25.0,B. Beal misses 2-pt shot from 19 ft,,17-30,,
11:23.0,Offensive rebound by D. Gooden,,17-30,,
11:23.0,D. Gooden misses 2-pt shot from 3 ft,,17-30,,
11:22.0,,,17-30,,Defensive rebound by M. Morris
11:18.0,,,17-30,,Turnover by G. Green (step out of bounds)
10:56.0,D. Gooden makes 2-pt shot from 15 ft (assist by O. Porter),2,19-30,,
10:42.0,,,19-30,,M. Morris misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by A. Miller,,19-30,,
10:27.0,Shooting foul by M. Morris (drawn by D. Gooden),,19-30,,
10:27.0,D. Gooden makes free throw 1 of 2,1,20-30,,
10:27.0,,,20-30,,B. Wright enters the game for M. Plumlee
10:27.0,D. Gooden makes free throw 2 of 2,1,21-30,,
10:15.0,,,21-30,,G. Dragic misses 2-pt shot from 2 ft
10:14.0,,,21-30,,Offensive rebound by B. Wright
10:10.0,,,21-33,3,I. Thomas makes 3-pt shot from 24 ft
9:47.0,O. Porter misses 2-pt shot from 8 ft,,21-33,,
9:46.0,Offensive rebound by K. Seraphin,,21-33,,
9:44.0,K. Seraphin makes 2-pt shot at rim,2,23-33,,
9:33.0,,,23-33,,Shooting foul by D. Gooden (drawn by B. Wright)
9:33.0,,,23-35,2,B. Wright makes 2-pt shot from 1 ft (assist by G. Green)
9:33.0,,,23-36,1,B. Wright makes free throw 1 of 1
9:10.0,D. Gooden misses 3-pt shot from 25 ft,,23-36,,
9:09.0,Offensive rebound by A. Miller,,23-36,,
9:09.0,A. Miller makes 2-pt shot from 1 ft,2,25-36,,
8:51.0,,,25-38,2,G. Green makes 2-pt shot from 13 ft
8:40.0,Turnover by B. Beal (bad pass; steal by M. Morris),,25-38,,
8:36.0,,,25-38,,M. Morris misses 2-pt shot at rim
8:36.0,,,25-38,,Offensive rebound by I. Thomas
8:36.0,Personal foul by D. Gooden (drawn by I. Thomas),,25-38,,
8:36.0,Official timeout,,25-38,,
8:36.0,K. Humphries enters the game for D. Gooden,,25-38,,
8:26.0,,,25-38,,Shooting foul by K. Seraphin (drawn by I. Thomas)
8:26.0,,,25-39,1,I. Thomas makes free throw 1 of 3
8:26.0,,,25-39,,I. Thomas misses free throw 2 of 3
8:26.0,,,25-39,,Offensive rebound by Team
8:26.0,,,25-40,1,I. Thomas makes free throw 3 of 3
8:12.0,K. Humphries misses 2-pt shot from 19 ft,,25-40,,
8:11.0,,,25-40,,Defensive rebound by B. Wright
8:01.0,,,25-40,,G. Green misses 2-pt shot from 16 ft
8:00.0,Defensive rebound by K. Humphries,,25-40,,
7:52.0,,,25-40,,Personal foul by B. Wright (drawn by K. Seraphin)
7:52.0,J. Wall enters the game for A. Miller,,25-40,,
7:52.0,M. Gortat enters the game for K. Seraphin,,25-40,,
7:52.0,,,25-40,,E. Bledsoe enters the game for I. Thomas
7:46.0,B. Beal misses 2-pt shot from 2 ft,,25-40,,
7:45.0,Offensive rebound by K. Humphries,,25-40,,
7:45.0,K. Humphries misses 2-pt shot from 1 ft,,25-40,,
7:42.0,Offensive rebound by K. Humphries,,25-40,,
7:35.0,J. Wall misses 2-pt shot from 18 ft,,25-40,,
7:34.0,,,25-40,,Defensive rebound by G. Green
7:29.0,,,25-42,2,B. Wright makes 2-pt shot at rim (assist by G. Green)
7:19.0,Washington full timeout,,25-42,,
7:19.0,,,25-42,,M. Morris enters the game for M. Morris
7:01.0,M. Gortat misses 2-pt shot from 7 ft,,25-42,,
7:00.0,,,25-42,,Defensive rebound by Team
6:43.0,,,25-42,,G. Green misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by M. Gortat,,25-42,,
6:31.0,J. Wall misses 2-pt shot from 20 ft,,25-42,,
6:30.0,,,25-42,,Defensive rebound by G. Green
6:25.0,,,25-44,2,B. Wright makes 2-pt shot at rim (assist by G. Green)
5:58.0,P. Pierce enters the game for O. Porter,,25-44,,
5:57.0,Turnover by K. Humphries (bad pass; steal by E. Bledsoe),,25-44,,
5:54.0,,,25-46,2,G. Green makes 2-pt shot at rim
5:54.0,,,25-46,,Shooting foul by B. Beal (drawn by G. Green)
5:54.0,,,25-46,,I. Thomas enters the game for G. Dragic
5:54.0,,,25-47,1,G. Green makes free throw 1 of 1
5:41.0,B. Beal misses 2-pt shot from 12 ft,,25-47,,
5:40.0,,,25-47,,Defensive rebound by M. Morris
5:36.0,,,25-47,,Turnover by M. Morris (bad pass)
5:23.0,P. Pierce misses 2-pt shot from 2 ft,,25-47,,
5:22.0,Offensive rebound by K. Humphries,,25-47,,
5:22.0,K. Humphries makes 2-pt shot at rim,2,27-47,,
5:09.0,,,27-49,2,B. Wright makes 2-pt shot at rim (assist by M. Morris)
4:44.0,K. Humphries misses 2-pt shot from 12 ft,,27-49,,
4:43.0,,,27-49,,Defensive rebound by E. Bledsoe
4:24.0,,,27-49,,G. Green misses 3-pt shot from 26 ft
4:23.0,Defensive rebound by K. Humphries,,27-49,,
4:13.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,29-49,,
3:48.0,,,29-49,,B. Wright misses 2-pt shot at rim (block by J. Wall)
3:47.0,Defensive rebound by K. Humphries,,29-49,,
3:40.0,,,29-49,,A. Len enters the game for B. Wright
3:30.0,B. Beal misses 2-pt shot at rim,,29-49,,
3:29.0,Offensive rebound by K. Humphries,,29-49,,
3:29.0,K. Humphries makes 2-pt shot at rim,2,31-49,,
3:12.0,,,31-49,,M. Morris misses 2-pt shot from 14 ft
3:11.0,Defensive rebound by P. Pierce,,31-49,,
3:05.0,J. Wall makes 2-pt shot at rim,2,33-49,,
3:00.0,,,33-49,,Phoenix full timeout
3:00.0,,,33-49,,P. Tucker enters the game for G. Green
2:47.0,,,33-51,2,M. Morris makes 2-pt shot from 15 ft
2:23.0,P. Pierce misses 3-pt shot from 25 ft,,33-51,,
2:22.0,,,33-51,,Defensive rebound by E. Bledsoe
2:07.0,,,33-53,2,A. Len makes 2-pt shot at rim (assist by I. Thomas)
1:48.0,M. Gortat misses 2-pt shot from 2 ft,,33-53,,
1:47.0,Offensive rebound by J. Wall,,33-53,,
1:42.0,J. Wall makes 3-pt shot from 23 ft,3,36-53,,
1:24.0,,,36-53,,I. Thomas misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by M. Gortat,,36-53,,
1:15.0,J. Wall misses 2-pt shot at rim (block by A. Len),,36-53,,
1:15.0,Offensive rebound by Team,,36-53,,
1:08.0,J. Wall misses 2-pt shot from 1 ft,,36-53,,
1:07.0,,,36-53,,Defensive rebound by A. Len
0:59.0,,,36-53,,Turnover by E. Bledsoe (bad pass)
0:45.0,B. Beal misses 2-pt shot from 1 ft,,36-53,,
0:43.0,,,36-53,,Defensive rebound by M. Morris
0:40.0,,,36-53,,G. Dragic enters the game for P. Tucker
0:30.0,,,36-56,3,G. Dragic makes 3-pt shot from 23 ft (assist by M. Morris)
0:14.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,39-56,,
0:02.0,,,39-56,,I. Thomas misses 2-pt shot from 9 ft
0:00.0,,,39-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,J. Wall makes 2-pt shot from 9 ft,2,41-56,,
11:12.0,,,41-56,,P. Tucker misses 3-pt shot from 25 ft
11:12.0,,,41-56,,Offensive rebound by Team
11:12.0,,,41-56,,Turnover by Team (shot clock)
10:57.0,P. Pierce makes 3-pt shot from 24 ft (assist by J. Wall),3,44-56,,
10:42.0,,,44-56,,Phoenix full timeout
10:35.0,,,44-56,,E. Bledsoe misses 2-pt shot from 11 ft
10:34.0,Defensive rebound by M. Gortat,,44-56,,
10:28.0,P. Pierce misses 2-pt shot at rim,,44-56,,
10:26.0,Offensive rebound by P. Pierce,,44-56,,
10:26.0,P. Pierce makes 2-pt shot from 2 ft,2,46-56,,
10:10.0,,,46-58,2,A. Len makes 2-pt shot from 1 ft (assist by M. Morris)
10:01.0,Turnover by K. Humphries (bad pass; steal by P. Tucker),,46-58,,
9:57.0,,,46-60,2,P. Tucker makes 2-pt shot at rim
9:23.0,M. Gortat misses 2-pt shot from 14 ft,,46-60,,
9:22.0,,,46-60,,Defensive rebound by M. Morris
9:14.0,,,46-60,,E. Bledsoe misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by J. Wall,,46-60,,
9:07.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,48-60,,
8:40.0,,,48-62,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Dragic)
8:28.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,51-62,,
8:14.0,,,51-62,,M. Morris misses 2-pt shot from 4 ft
8:14.0,Defensive rebound by M. Gortat,,51-62,,
8:06.0,P. Pierce misses 3-pt shot from 25 ft,,51-62,,
8:06.0,Offensive rebound by Team,,51-62,,
8:06.0,,,51-62,,Loose ball foul by A. Len (drawn by K. Humphries)
7:56.0,J. Wall misses 3-pt shot from 23 ft,,51-62,,
7:55.0,Offensive rebound by K. Humphries,,51-62,,
7:45.0,Shooting foul by A. Len (drawn by P. Pierce),,51-62,,
7:45.0,P. Pierce misses free throw 1 of 2,,51-62,,
7:45.0,Offensive rebound by Team,,51-62,,
7:45.0,P. Pierce makes free throw 2 of 2,1,52-62,,
7:34.0,,,52-62,,M. Morris misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by B. Beal,,52-62,,
7:28.0,,,52-62,,Violation by M. Morris (kicked ball)
7:23.0,B. Beal makes 3-pt shot from 25 ft,3,55-62,,
7:01.0,Personal foul by J. Wall (drawn by E. Bledsoe),,55-62,,
6:52.0,,,55-62,,G. Dragic misses 2-pt shot from 7 ft
6:51.0,Defensive rebound by K. Humphries,,55-62,,
6:39.0,P. Pierce makes 2-pt shot from 1 ft,2,57-62,,
6:27.0,,,57-62,,Shooting foul by M. Gortat (drawn by E. Bledsoe)
6:27.0,,,57-64,2,E. Bledsoe makes 2-pt shot at rim
6:27.0,,,57-64,,B. Wright enters the game for A. Len
6:27.0,,,57-65,1,E. Bledsoe makes free throw 1 of 1
6:04.0,P. Pierce misses 2-pt shot from 12 ft,,57-65,,
6:03.0,,,57-65,,Defensive rebound by P. Tucker
5:49.0,,,57-65,,M. Morris misses 3-pt shot from 25 ft
5:48.0,,,57-65,,Offensive rebound by E. Bledsoe
5:33.0,,,57-67,2,B. Wright makes 2-pt shot from 3 ft (assist by E. Bledsoe)
5:23.0,Turnover by P. Pierce (lost ball; steal by B. Wright),,57-67,,
5:18.0,,,57-67,,M. Morris misses 2-pt shot from 1 ft
5:18.0,Defensive rebound by Team,,57-67,,
5:04.0,J. Wall misses 2-pt shot from 13 ft,,57-67,,
5:03.0,,,57-67,,Defensive rebound by B. Wright
4:40.0,,,57-67,,P. Tucker misses 3-pt shot from 23 ft
4:39.0,Defensive rebound by Team,,57-67,,
4:38.0,,,57-67,,M. Morris enters the game for M. Morris
4:23.0,Turnover by B. Beal (bad pass),,57-67,,
4:05.0,,,57-70,3,G. Dragic makes 3-pt shot from 22 ft (assist by E. Bledsoe)
4:04.0,Washington full timeout,,57-70,,
4:00.0,,,57-70,,Personal foul by G. Dragic (drawn by M. Gortat)
3:50.0,Turnover by P. Pierce (bad pass),,57-70,,
3:44.0,,,57-70,,G. Dragic misses 3-pt shot from 23 ft (block by B. Beal)
3:42.0,Defensive rebound by J. Wall,,57-70,,
3:28.0,B. Beal misses 2-pt shot from 3 ft (block by B. Wright),,57-70,,
3:27.0,,,57-70,,Defensive rebound by B. Wright
3:13.0,,,57-70,,E. Bledsoe misses 2-pt shot from 4 ft
3:12.0,Defensive rebound by P. Pierce,,57-70,,
3:04.0,Shooting foul by M. Morris (drawn by M. Gortat),,57-70,,
3:04.0,M. Gortat makes free throw 1 of 2,1,58-70,,
3:04.0,O. Porter enters the game for P. Pierce,,58-70,,
3:04.0,,,58-70,,I. Thomas enters the game for E. Bledsoe
3:04.0,M. Gortat misses free throw 2 of 2,,58-70,,
3:04.0,,,58-70,,Defensive rebound by Team
3:04.0,Personal foul by K. Humphries (drawn by P. Tucker),,58-70,,
2:48.0,,,58-73,3,I. Thomas makes 3-pt shot from 23 ft (assist by G. Dragic)
2:44.0,Turnover by J. Wall (bad pass; steal by P. Tucker),,58-73,,
2:39.0,,,58-73,,P. Tucker misses 2-pt shot from 21 ft
2:38.0,Defensive rebound by J. Wall,,58-73,,
2:32.0,J. Wall makes 2-pt shot at rim,2,60-73,,
2:16.0,,,60-76,3,M. Morris makes 3-pt shot from 25 ft (assist by I. Thomas)
2:02.0,O. Porter makes 3-pt shot from 22 ft,3,63-76,,
1:51.0,,,63-76,,I. Thomas misses 2-pt shot at rim
1:49.0,Defensive rebound by M. Gortat,,63-76,,
1:44.0,J. Wall makes 2-pt shot from 1 ft,2,65-76,,
1:15.0,,,65-78,2,B. Wright makes 2-pt shot from 19 ft (assist by I. Thomas)
1:07.0,,,65-78,,Personal foul by B. Wright (drawn by M. Gortat)
1:07.0,M. Gortat misses free throw 1 of 2,,65-78,,
1:07.0,Offensive rebound by Team,,65-78,,
1:07.0,M. Webster enters the game for B. Beal,,65-78,,
1:07.0,D. Gooden enters the game for K. Humphries,,65-78,,
1:07.0,M. Gortat makes free throw 2 of 2,1,66-78,,
0:52.0,,,66-78,,I. Thomas misses 2-pt shot from 8 ft
0:51.0,Defensive rebound by D. Gooden,,66-78,,
0:35.0,Turnover by J. Wall (lost ball; steal by M. Morris),,66-78,,
0:31.0,,,66-80,2,G. Dragic makes 2-pt shot from 1 ft (assist by M. Morris)
0:08.0,J. Wall misses 2-pt shot from 14 ft,,66-80,,
0:07.0,,,66-80,,Defensive rebound by B. Wright
0:00.0,,,66-80,,I. Thomas misses 3-pt shot from 27 ft
0:00.0,,,66-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,66-83,3,P. Tucker makes 3-pt shot from 23 ft (assist by I. Thomas)
11:33.0,G. Temple makes 2-pt shot from 20 ft,2,68-83,,
11:16.0,,,68-86,3,P. Tucker makes 3-pt shot from 23 ft (assist by M. Morris)
11:02.0,K. Seraphin makes 2-pt shot from 17 ft (assist by M. Webster),2,70-86,,
10:52.0,,,70-86,,Shooting foul by K. Seraphin (drawn by I. Thomas)
10:52.0,,,70-87,1,I. Thomas makes free throw 1 of 2
10:52.0,,,70-88,1,I. Thomas makes free throw 2 of 2
10:41.0,O. Porter makes 3-pt shot from 24 ft (assist by G. Temple),3,73-88,,
10:20.0,,,73-88,,I. Thomas misses 2-pt shot from 12 ft
10:19.0,Defensive rebound by D. Gooden,,73-88,,
10:16.0,G. Temple makes 2-pt shot at rim,2,75-88,,
9:57.0,,,75-88,,G. Green misses 2-pt shot from 14 ft
9:56.0,,,75-88,,Offensive rebound by P. Tucker
9:52.0,,,75-88,,M. Morris misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by M. Webster,,75-88,,
9:40.0,K. Seraphin makes 2-pt shot from 5 ft,2,77-88,,
9:38.0,,,77-88,,Phoenix full timeout
9:38.0,,,77-88,,M. Morris enters the game for P. Tucker
9:24.0,,,77-88,,G. Green misses 2-pt shot from 10 ft
9:23.0,Defensive rebound by M. Webster,,77-88,,
9:16.0,D. Gooden makes 2-pt shot from 1 ft,2,79-88,,
9:00.0,,,79-91,3,I. Thomas makes 3-pt shot from 24 ft (assist by G. Green)
8:41.0,Shooting foul by G. Green (drawn by K. Seraphin),,79-91,,
8:41.0,K. Seraphin misses free throw 1 of 2,,79-91,,
8:41.0,Offensive rebound by Team,,79-91,,
8:41.0,K. Seraphin makes free throw 2 of 2,1,80-91,,
8:23.0,,,80-91,,M. Morris misses 2-pt shot from 14 ft
8:22.0,Defensive rebound by M. Webster,,80-91,,
8:14.0,Shooting foul by B. Wright (drawn by K. Seraphin),,80-91,,
8:14.0,K. Seraphin makes free throw 1 of 2,1,81-91,,
8:14.0,,,81-91,,A. Len enters the game for B. Wright
8:14.0,K. Seraphin makes free throw 2 of 2,1,82-91,,
7:54.0,,,82-91,,I. Thomas misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by M. Webster,,82-91,,
7:49.0,,,82-91,,Violation by I. Thomas (kicked ball)
7:49.0,,,82-91,,G. Dragic enters the game for M. Morris
7:49.0,,,82-91,,E. Bledsoe enters the game for I. Thomas
7:46.0,Shooting foul by G. Dragic (drawn by M. Webster),,82-91,,
7:46.0,M. Webster makes free throw 1 of 3,1,83-91,,
7:46.0,M. Webster makes free throw 2 of 3,1,84-91,,
7:46.0,M. Webster makes free throw 3 of 3,1,85-91,,
7:32.0,,,85-91,,G. Dragic misses 2-pt shot from 2 ft
7:31.0,Defensive rebound by D. Gooden,,85-91,,
7:12.0,G. Temple misses 3-pt shot from 25 ft,,85-91,,
7:11.0,,,85-91,,Defensive rebound by G. Green
7:03.0,,,85-91,,Turnover by G. Green (lost ball; steal by G. Temple)
6:58.0,G. Temple makes 2-pt shot from 2 ft (assist by O. Porter),2,87-91,,
6:42.0,,,87-91,,Offensive foul by A. Len
6:42.0,,,87-91,,Turnover by A. Len (offensive foul)
6:42.0,,,87-91,,P. Tucker enters the game for G. Green
6:31.0,O. Porter misses 2-pt shot from 21 ft,,87-91,,
6:31.0,Offensive rebound by D. Gooden,,87-91,,
6:20.0,K. Seraphin misses 2-pt shot from 8 ft,,87-91,,
6:18.0,,,87-91,,Defensive rebound by A. Len
6:14.0,,,87-91,,Shooting foul by K. Seraphin (drawn by P. Tucker)
6:14.0,,,87-92,1,P. Tucker makes free throw 1 of 2
6:14.0,Washington full timeout,,87-92,,
6:14.0,,,87-93,1,P. Tucker makes free throw 2 of 2
6:02.0,M. Webster misses 3-pt shot from 24 ft,,87-93,,
6:01.0,,,87-93,,Defensive rebound by Team
5:41.0,,,87-95,2,M. Morris makes 2-pt shot from 8 ft
5:18.0,G. Temple misses 2-pt shot from 8 ft,,87-95,,
5:17.0,,,87-95,,Defensive rebound by P. Tucker
4:59.0,,,87-97,2,G. Dragic makes 2-pt shot from 17 ft
4:57.0,Washington full timeout,,87-97,,
4:57.0,J. Wall enters the game for D. Gooden,,87-97,,
4:57.0,K. Humphries enters the game for M. Webster,,87-97,,
4:57.0,B. Beal enters the game for G. Temple,,87-97,,
4:40.0,B. Beal misses 2-pt shot from 18 ft,,87-97,,
4:39.0,,,87-97,,Defensive rebound by P. Tucker
4:33.0,,,87-97,,E. Bledsoe misses 2-pt shot from 19 ft
4:31.0,Defensive rebound by K. Seraphin,,87-97,,
4:24.0,O. Porter misses 3-pt shot from 23 ft,,87-97,,
4:23.0,,,87-97,,Defensive rebound by M. Morris
4:00.0,,,87-97,,A. Len misses 2-pt shot from 16 ft
4:00.0,,,87-97,,Offensive rebound by M. Morris
3:42.0,,,87-99,2,P. Tucker makes 2-pt shot from 1 ft
3:27.0,Shooting foul by M. Morris (drawn by K. Humphries),,87-99,,
3:27.0,K. Humphries makes free throw 1 of 2,1,88-99,,
3:27.0,M. Gortat enters the game for K. Seraphin,,88-99,,
3:27.0,K. Humphries makes free throw 2 of 2,1,89-99,,
3:08.0,,,89-101,2,M. Morris makes 2-pt shot from 16 ft
2:48.0,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall),2,91-101,,
2:24.0,,,91-101,,M. Morris misses 2-pt shot from 17 ft
2:23.0,Defensive rebound by J. Wall,,91-101,,
2:15.0,Shooting foul by E. Bledsoe (drawn by O. Porter),,91-101,,
2:15.0,Official timeout,,91-101,,
2:15.0,O. Porter makes free throw 1 of 2,1,92-101,,
2:15.0,O. Porter misses free throw 2 of 2,,92-101,,
2:14.0,,,92-101,,Defensive rebound by P. Tucker
1:51.0,,,92-101,,Turnover by Team (shot clock)
1:41.0,B. Beal misses 2-pt shot from 12 ft,,92-101,,
1:40.0,Offensive rebound by O. Porter,,92-101,,
1:40.0,O. Porter makes 2-pt shot from 1 ft,2,94-101,,
1:25.0,,,94-101,,G. Dragic misses 3-pt shot from 23 ft
1:24.0,Defensive rebound by J. Wall,,94-101,,
1:17.0,O. Porter makes 3-pt shot from 24 ft (assist by K. Humphries),3,97-101,,
1:17.0,,,97-101,,Phoenix full timeout
1:12.0,,,97-101,,M. Morris misses 2-pt shot from 1 ft
1:11.0,,,97-101,,Offensive rebound by P. Tucker
0:53.0,,,97-101,,Turnover by E. Bledsoe (bad pass)
0:47.0,J. Wall misses 3-pt shot from 24 ft,,97-101,,
0:46.0,,,97-101,,Defensive rebound by P. Tucker
