time,Milwaukee,pts.away,score,pts.home,Memphis
7:53.0,,,13-4,,C. Lee misses 2-pt shot from 11 ft
7:51.0,Defensive rebound by T. Ennis,,13-4,,
7:47.0,Shooting foul by M. Gasol (drawn by E. Ilyasova),,13-4,,
7:47.0,E. Ilyasova misses free throw 1 of 2,,13-4,,
7:47.0,Offensive rebound by Team,,13-4,,
7:47.0,E. Ilyasova makes free throw 2 of 2,1,14-4,,
7:32.0,,,14-4,,Shooting foul by E. Ilyasova (drawn by Z. Randolph)
7:32.0,,,14-5,1,Z. Randolph makes free throw 1 of 2
7:32.0,,,14-6,1,Z. Randolph makes free throw 2 of 2
7:17.0,E. Ilyasova misses 2-pt shot from 18 ft,,14-6,,
7:16.0,,,14-6,,Defensive rebound by B. Udrih
7:04.0,,,14-6,,T. Allen misses 2-pt shot from 1 ft
7:02.0,,,14-6,,Offensive rebound by M. Gasol
6:59.0,,,14-6,,Z. Randolph misses 2-pt shot from 1 ft
6:59.0,,,14-6,,Offensive rebound by Team
6:59.0,Loose ball foul by E. Ilyasova (drawn by Z. Randolph),,14-6,,
6:52.0,,,14-8,2,B. Udrih makes 2-pt shot from 17 ft
6:38.0,E. Ilyasova misses 3-pt shot from 26 ft,,14-8,,
6:37.0,,,14-8,,Defensive rebound by T. Allen
6:26.0,,,14-10,2,Z. Randolph makes 2-pt shot from 1 ft (assist by B. Udrih)
6:03.0,E. Ilyasova misses 3-pt shot from 26 ft,,14-10,,
6:03.0,,,14-10,,Defensive rebound by Team
5:54.0,,,14-10,,Turnover by Z. Randolph (bad pass)
5:54.0,Milwaukee full timeout,,14-10,,
5:54.0,J. O'Bryant enters the game for E. Ilyasova,,14-10,,
5:39.0,K. Middleton misses 2-pt shot from 21 ft,,14-10,,
5:38.0,Offensive rebound by Z. Pachulia,,14-10,,
5:21.0,K. Middleton misses 2-pt shot from 21 ft,,14-10,,
5:20.0,,,14-10,,Defensive rebound by C. Lee
5:02.0,,,14-10,,Turnover by Z. Randolph (lost ball)
4:39.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by T. Ennis),2,16-10,,
4:24.0,,,16-12,2,B. Udrih makes 2-pt shot from 15 ft (assist by M. Gasol)
4:05.0,Turnover by Z. Pachulia (bad pass; steal by M. Gasol),,16-12,,
3:52.0,Personal foul by J. O'Bryant (drawn by Z. Randolph),,16-12,,
3:48.0,,,16-12,,Turnover by B. Udrih (lost ball; steal by T. Ennis)
3:43.0,Z. Pachulia makes 2-pt shot at rim (assist by T. Ennis),2,18-12,,
3:21.0,,,18-12,,M. Gasol misses 2-pt shot from 4 ft
3:20.0,Defensive rebound by Z. Pachulia,,18-12,,
3:14.0,Turnover by Z. Pachulia (bad pass; steal by T. Allen),,18-12,,
3:11.0,,,18-12,,Memphis full timeout
3:11.0,J. Henson enters the game for Z. Pachulia,,18-12,,
3:11.0,C. Johnson enters the game for K. Middleton,,18-12,,
3:11.0,,,18-12,,K. Koufos enters the game for M. Gasol
2:57.0,,,18-14,2,C. Lee makes 2-pt shot from 14 ft
2:41.0,T. Ennis misses 3-pt shot from 27 ft,,18-14,,
2:41.0,Offensive rebound by J. O'Bryant,,18-14,,
2:26.0,T. Ennis misses 2-pt shot from 17 ft,,18-14,,
2:24.0,Offensive rebound by Team,,18-14,,
2:24.0,,,18-14,,N. Calathes enters the game for B. Udrih
2:17.0,J. O'Bryant misses 2-pt shot from 19 ft,,18-14,,
2:16.0,,,18-14,,Defensive rebound by N. Calathes
2:04.0,,,18-16,2,C. Lee makes 2-pt shot from 16 ft (assist by N. Calathes)
1:44.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by Z. Randolph),,18-16,,
1:44.0,,,18-16,,Defensive rebound by Team
1:32.0,,,18-16,,Z. Randolph misses 2-pt shot from 7 ft
1:29.0,Defensive rebound by C. Johnson,,18-16,,
1:25.0,C. Johnson makes 2-pt shot at rim,2,20-16,,
1:09.0,,,20-18,2,Z. Randolph makes 2-pt shot from 1 ft
0:47.0,C. Johnson misses 3-pt shot from 25 ft,,20-18,,
0:46.0,,,20-18,,Defensive rebound by K. Koufos
0:36.0,,,20-18,,Z. Randolph misses 2-pt shot from 1 ft (block by J. Henson)
0:36.0,,,20-18,,Offensive rebound by Z. Randolph
0:36.0,,,20-20,2,Z. Randolph makes 2-pt shot from 1 ft
0:21.0,T. Ennis misses 2-pt shot from 9 ft,,20-20,,
0:20.0,,,20-20,,Defensive rebound by N. Calathes
0:17.0,,,20-22,2,T. Allen makes 2-pt shot at rim (assist by N. Calathes)
0:02.0,,,20-22,,Personal foul by N. Calathes (drawn by G. Antetokounmpo)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,T. Ennis misses 2-pt shot from 1 ft,,20-22,,
11:43.0,,,20-22,,Defensive rebound by K. Koufos
11:35.0,,,20-22,,Turnover by N. Calathes (back court)
11:22.0,,,20-22,,Personal foul by T. Allen (drawn by K. Middleton)
11:12.0,Shooting foul by N. Calathes (drawn by K. Middleton),,20-22,,
11:12.0,K. Middleton misses free throw 1 of 2,,20-22,,
11:12.0,Offensive rebound by Team,,20-22,,
11:12.0,K. Middleton makes free throw 2 of 2,1,21-22,,
11:00.0,,,21-22,,Turnover by Z. Randolph (bad pass)
10:42.0,K. Middleton misses 3-pt shot from 26 ft,,21-22,,
10:41.0,Offensive rebound by J. Henson,,21-22,,
10:38.0,Turnover by J. Henson (lost ball; steal by N. Calathes),,21-22,,
10:29.0,,,21-22,,Z. Randolph misses 2-pt shot from 19 ft
10:28.0,,,21-22,,Offensive rebound by K. Koufos
10:26.0,,,21-22,,K. Koufos misses 2-pt shot from 4 ft (block by J. Henson)
10:24.0,,,21-22,,Offensive rebound by Z. Randolph
10:24.0,,,21-22,,Z. Randolph misses 2-pt shot from 5 ft
10:21.0,Defensive rebound by M. Plumlee,,21-22,,
10:21.0,Turnover by M. Plumlee (lost ball; steal by T. Allen),,21-22,,
10:21.0,Personal foul by K. Middleton (drawn by Z. Randolph),,21-22,,
10:21.0,,,21-22,,J. Green enters the game for Z. Randolph
10:21.0,G. Antetokounmpo enters the game for T. Ennis,,21-22,,
10:21.0,O. Mayo enters the game for C. Johnson,,21-22,,
10:06.0,,,21-25,3,V. Carter makes 3-pt shot from 25 ft
9:50.0,Turnover by M. Plumlee (lost ball; steal by T. Allen),,21-25,,
9:47.0,,,21-27,2,T. Allen makes 2-pt shot at rim
9:47.0,Milwaukee full timeout,,21-27,,
9:26.0,O. Mayo misses 3-pt shot from 26 ft,,21-27,,
9:25.0,,,21-27,,Defensive rebound by V. Carter
9:06.0,,,21-29,2,K. Koufos makes 2-pt shot at rim (assist by V. Carter)
8:47.0,M. Plumlee misses 2-pt shot at rim (block by K. Koufos),,21-29,,
8:47.0,,,21-29,,Defensive rebound by Team
8:38.0,Personal foul by G. Antetokounmpo (drawn by V. Carter),,21-29,,
8:29.0,,,21-29,,T. Allen misses 2-pt shot from 6 ft
8:26.0,Defensive rebound by K. Middleton,,21-29,,
8:20.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,23-29,,
8:20.0,Shooting foul by K. Koufos (drawn by G. Antetokounmpo),,23-29,,
8:20.0,G. Antetokounmpo makes free throw 1 of 1,1,24-29,,
8:07.0,,,24-29,,T. Allen misses 2-pt shot from 1 ft
8:06.0,,,24-29,,Offensive rebound by J. Green
8:06.0,,,24-29,,J. Green misses 2-pt shot at rim
8:04.0,,,24-29,,Offensive rebound by J. Green
8:04.0,,,24-29,,J. Green misses 2-pt shot at rim
8:03.0,Defensive rebound by M. Plumlee,,24-29,,
7:52.0,Turnover by J. Henson (traveling),,24-29,,
7:52.0,,,24-29,,M. Gasol enters the game for T. Allen
7:42.0,,,24-32,3,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol)
7:28.0,Shooting foul by M. Gasol (drawn by J. Henson),,24-32,,
7:28.0,J. Henson makes free throw 1 of 2,1,25-32,,
7:28.0,J. Henson misses free throw 2 of 2,,25-32,,
7:27.0,,,25-32,,Defensive rebound by K. Koufos
7:16.0,,,25-34,2,N. Calathes makes 2-pt shot from 1 ft
7:07.0,Turnover by K. Middleton (lost ball),,25-34,,
7:07.0,Jump ball: M. Gasol vs. K. Middleton (N. Calathes gains possession),,,,Jump ball: M. Gasol vs. K. Middleton (N. Calathes gains possession)
6:53.0,,,25-34,,M. Gasol misses 2-pt shot from 15 ft
6:53.0,Defensive rebound by G. Antetokounmpo,,25-34,,
6:45.0,,,25-34,,Personal foul by K. Koufos (drawn by G. Antetokounmpo)
6:45.0,G. Antetokounmpo makes free throw 1 of 2,1,26-34,,
6:45.0,G. Antetokounmpo makes free throw 2 of 2,1,27-34,,
6:22.0,,,27-34,,V. Carter misses 3-pt shot from 27 ft
6:22.0,Defensive rebound by Team,,27-34,,
6:11.0,O. Mayo misses 2-pt shot from 11 ft,,27-34,,
6:10.0,,,27-34,,Defensive rebound by J. Green
6:03.0,,,27-36,2,M. Gasol makes 2-pt shot from 3 ft (assist by J. Green)
5:45.0,O. Mayo misses 2-pt shot from 15 ft,,27-36,,
5:43.0,Offensive rebound by J. Henson,,27-36,,
5:37.0,G. Antetokounmpo makes 2-pt shot from 12 ft,2,29-36,,
5:26.0,,,29-36,,Memphis full timeout
5:26.0,,,29-36,,B. Udrih enters the game for N. Calathes
5:26.0,Z. Pachulia enters the game for K. Middleton,,29-36,,
5:26.0,T. Ennis enters the game for M. Plumlee,,29-36,,
5:19.0,,,29-36,,V. Carter misses 2-pt shot from 6 ft
5:16.0,Defensive rebound by G. Antetokounmpo,,29-36,,
4:57.0,,,29-36,,Personal foul by K. Koufos (drawn by J. Henson)
4:57.0,J. Henson makes free throw 1 of 2,1,30-36,,
4:57.0,,,30-36,,Z. Randolph enters the game for K. Koufos
4:57.0,E. Ilyasova enters the game for J. Henson,,30-36,,
4:57.0,J. Henson misses free throw 2 of 2,,30-36,,
4:57.0,,,30-36,,Defensive rebound by Team
4:41.0,,,30-38,2,M. Gasol makes 2-pt shot from 12 ft
4:16.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,30-38,,
4:15.0,,,30-38,,Defensive rebound by Team
3:56.0,,,30-40,2,V. Carter makes 2-pt shot from 1 ft
3:46.0,Turnover by T. Ennis (bad pass),,30-40,,
3:46.0,,,30-40,,T. Allen enters the game for V. Carter
3:33.0,,,30-42,2,B. Udrih makes 2-pt shot from 12 ft (assist by M. Gasol)
3:15.0,Shooting foul by J. Green (drawn by Z. Pachulia),,30-42,,
3:15.0,Z. Pachulia makes free throw 1 of 2,1,31-42,,
3:15.0,K. Middleton enters the game for O. Mayo,,31-42,,
3:15.0,Z. Pachulia makes free throw 2 of 2,1,32-42,,
3:05.0,,,32-44,2,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol)
2:51.0,Shooting foul by Z. Randolph (drawn by E. Ilyasova),,32-44,,
2:51.0,Milwaukee full timeout,,32-44,,
2:51.0,E. Ilyasova misses free throw 1 of 2,,32-44,,
2:51.0,Offensive rebound by Team,,32-44,,
2:51.0,E. Ilyasova makes free throw 2 of 2,1,33-44,,
2:39.0,,,33-44,,Shooting foul by Z. Pachulia (drawn by J. Green)
2:39.0,,,33-45,1,J. Green makes free throw 1 of 2
2:39.0,,,33-46,1,J. Green makes free throw 2 of 2
2:21.0,T. Ennis makes 3-pt shot from 25 ft,3,36-46,,
2:04.0,,,36-46,,Shooting foul by E. Ilyasova (drawn by J. Green)
2:04.0,,,36-47,1,J. Green makes free throw 1 of 2
2:04.0,,,36-47,,J. Green misses free throw 2 of 2
2:03.0,Defensive rebound by Z. Pachulia,,36-47,,
1:45.0,E. Ilyasova makes 3-pt shot from 22 ft (assist by T. Ennis),3,39-47,,
1:22.0,,,39-49,2,M. Gasol makes 2-pt shot from 1 ft
1:01.0,Z. Pachulia misses 2-pt shot from 13 ft,,39-49,,
1:00.0,,,39-49,,Defensive rebound by J. Green
0:54.0,,,39-49,,T. Allen misses 2-pt shot from 11 ft
0:52.0,,,39-49,,Offensive rebound by Team
0:33.0,,,39-49,,M. Gasol misses 2-pt shot from 19 ft
0:32.0,Defensive rebound by E. Ilyasova,,39-49,,
0:19.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by T. Ennis),3,42-49,,
0:01.0,,,42-49,,T. Allen misses 2-pt shot at rim (block by Z. Pachulia)
0:00.0,Defensive rebound by G. Antetokounmpo,,42-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,E. Ilyasova misses 2-pt shot from 17 ft,,42-49,,
11:46.0,,,42-49,,Defensive rebound by M. Gasol
11:24.0,,,42-51,2,B. Udrih makes 2-pt shot from 12 ft
11:06.0,K. Middleton misses 3-pt shot from 24 ft,,42-51,,
11:05.0,,,42-51,,Defensive rebound by M. Gasol
10:49.0,,,42-51,,Turnover by J. Green (lost ball)
10:49.0,,,42-51,,Technical foul by J. Green
10:49.0,K. Middleton makes technical free throw,1,43-51,,
10:41.0,Shooting foul by M. Gasol (drawn by Z. Pachulia),,43-51,,
10:41.0,Z. Pachulia makes free throw 1 of 2,1,44-51,,
10:41.0,Z. Pachulia makes free throw 2 of 2,1,45-51,,
10:30.0,,,45-53,2,M. Gasol makes 2-pt shot at rim (assist by Z. Randolph)
10:10.0,T. Ennis misses 3-pt shot from 25 ft,,45-53,,
10:08.0,,,45-53,,Defensive rebound by Z. Randolph
10:08.0,,,45-53,,Turnover by Z. Randolph (lost ball)
10:05.0,K. Middleton makes 2-pt shot from 18 ft (assist by T. Ennis),2,47-53,,
9:53.0,,,47-53,,M. Gasol misses 2-pt shot from 6 ft
9:50.0,Defensive rebound by G. Antetokounmpo,,47-53,,
9:42.0,T. Ennis misses 3-pt shot from 23 ft,,47-53,,
9:41.0,,,47-53,,Defensive rebound by Z. Randolph
9:27.0,,,47-56,3,C. Lee makes 3-pt shot from 25 ft (assist by B. Udrih)
9:04.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Green),,47-56,,
9:01.0,,,47-56,,Shooting foul by T. Ennis (drawn by C. Lee)
9:01.0,,,47-57,1,C. Lee makes free throw 1 of 2
9:01.0,,,47-58,1,C. Lee makes free throw 2 of 2
8:49.0,,,47-58,,Violation by J. Green (kicked ball)
8:43.0,,,47-58,,Personal foul by J. Green (drawn by G. Antetokounmpo)
8:33.0,T. Ennis misses 2-pt shot from 1 ft (block by M. Gasol),,47-58,,
8:32.0,Offensive rebound by T. Ennis,,47-58,,
8:29.0,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Ennis),2,49-58,,
8:07.0,Personal foul by T. Ennis (drawn by Z. Randolph),,49-58,,
7:59.0,,,49-58,,J. Green misses 2-pt shot from 17 ft
7:58.0,Defensive rebound by T. Ennis,,49-58,,
7:53.0,,,49-58,,Personal foul by Z. Randolph (drawn by Z. Pachulia)
7:48.0,K. Middleton makes 2-pt shot at rim (assist by Z. Pachulia),2,51-58,,
7:35.0,Personal foul by Z. Pachulia (drawn by M. Gasol),,51-58,,
7:23.0,,,51-61,3,B. Udrih makes 3-pt shot from 22 ft (assist by J. Green)
7:01.0,Z. Pachulia misses 2-pt shot from 16 ft,,51-61,,
7:00.0,,,51-61,,Defensive rebound by B. Udrih
6:55.0,,,51-61,,B. Udrih misses 2-pt shot from 1 ft
6:53.0,Defensive rebound by Team,,51-61,,
6:42.0,T. Ennis makes 2-pt shot from 17 ft,2,53-61,,
6:26.0,,,53-61,,Turnover by J. Green (bad pass; steal by E. Ilyasova)
6:08.0,K. Middleton misses 2-pt shot from 7 ft,,53-61,,
6:07.0,,,53-61,,Defensive rebound by Team
6:07.0,Loose ball foul by G. Antetokounmpo (drawn by J. Green),,53-61,,
6:07.0,,,53-61,,T. Allen enters the game for J. Green
5:56.0,,,53-61,,Turnover by C. Lee (traveling)
5:56.0,,,53-61,,Memphis full timeout
5:56.0,C. Johnson enters the game for K. Middleton,,53-61,,
5:45.0,T. Ennis misses 2-pt shot from 17 ft,,53-61,,
5:44.0,,,53-61,,Defensive rebound by B. Udrih
5:26.0,,,53-63,2,T. Allen makes 2-pt shot at rim (assist by M. Gasol)
5:06.0,C. Johnson makes 3-pt shot from 24 ft (assist by T. Ennis),3,56-63,,
4:45.0,,,56-63,,M. Gasol misses 2-pt shot from 12 ft
4:44.0,Defensive rebound by G. Antetokounmpo,,56-63,,
4:36.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,58-63,,
4:19.0,,,58-65,2,Z. Randolph makes 2-pt shot from 1 ft
4:03.0,T. Ennis misses 2-pt shot from 6 ft,,58-65,,
4:02.0,,,58-65,,Defensive rebound by M. Gasol
3:54.0,,,58-65,,Shooting foul by E. Ilyasova (drawn by Z. Randolph)
3:54.0,,,58-65,,N. Calathes enters the game for B. Udrih
3:54.0,,,58-65,,K. Koufos enters the game for M. Gasol
3:54.0,,,58-66,1,Z. Randolph makes free throw 1 of 2
3:54.0,J. Henson enters the game for E. Ilyasova,,58-66,,
3:54.0,J. O'Bryant enters the game for Z. Pachulia,,58-66,,
3:54.0,,,58-67,1,Z. Randolph makes free throw 2 of 2
3:45.0,Turnover by T. Ennis (bad pass; steal by T. Allen),,58-67,,
3:33.0,,,58-69,2,T. Allen makes 2-pt shot from 1 ft (assist by Z. Randolph)
3:33.0,,,58-69,,Shooting foul by J. O'Bryant (drawn by T. Allen)
3:33.0,,,58-70,1,T. Allen makes free throw 1 of 1
3:20.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,58-70,,
3:19.0,,,58-70,,Defensive rebound by N. Calathes
3:05.0,,,58-72,2,C. Lee makes 2-pt shot from 16 ft (assist by N. Calathes)
2:43.0,Milwaukee full timeout,,58-72,,
2:43.0,K. Middleton enters the game for T. Ennis,,58-72,,
2:43.0,Jump ball: N. Calathes vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: N. Calathes vs. J. Henson (G. Antetokounmpo gains possession)
2:37.0,K. Middleton misses 2-pt shot from 19 ft,,58-72,,
2:36.0,,,58-72,,Defensive rebound by Z. Randolph
2:13.0,,,58-75,3,C. Lee makes 3-pt shot from 26 ft (assist by N. Calathes)
1:57.0,K. Middleton makes 2-pt shot from 8 ft,2,60-75,,
1:32.0,,,60-75,,Z. Randolph misses 2-pt shot from 19 ft
1:31.0,Defensive rebound by K. Middleton,,60-75,,
1:23.0,Shooting foul by C. Lee (drawn by J. Henson),,60-75,,
1:23.0,J. Henson misses free throw 1 of 2,,60-75,,
1:23.0,Offensive rebound by Team,,60-75,,
1:23.0,J. Henson misses free throw 2 of 2,,60-75,,
1:22.0,,,60-75,,Defensive rebound by K. Koufos
0:59.0,,,60-75,,C. Lee misses 2-pt shot from 14 ft
0:57.0,,,60-75,,Offensive rebound by K. Koufos
0:47.0,,,60-75,,N. Calathes misses 3-pt shot from 22 ft
0:47.0,Defensive rebound by Team,,60-75,,
0:47.0,,,60-75,,Loose ball foul by K. Koufos (drawn by J. Henson)
0:47.0,J. Henson misses free throw 1 of 2,,60-75,,
0:47.0,Offensive rebound by Team,,60-75,,
0:47.0,J. Henson makes free throw 2 of 2,1,61-75,,
0:30.0,,,61-75,,Shooting foul by J. Henson (drawn by Z. Randolph)
0:30.0,Technical foul by J. Henson (drawn by Z. Randolph),,61-75,,
0:30.0,,,61-76,1,C. Lee makes technical free throw
0:30.0,,,61-77,1,Z. Randolph makes free throw 1 of 2
0:30.0,,,61-78,1,Z. Randolph makes free throw 2 of 2
0:08.0,C. Johnson misses 3-pt shot from 25 ft,,61-78,,
0:07.0,Offensive rebound by G. Antetokounmpo,,61-78,,
0:03.0,,,61-78,,Violation by T. Allen (kicked ball)
0:03.0,,,61-78,,J. Green enters the game for Z. Randolph
0:01.0,Turnover by J. O'Bryant (lost ball),,61-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,61-78,,J. Green misses 2-pt shot from 1 ft
11:43.0,Defensive rebound by J. Henson,,61-78,,
11:19.0,M. Plumlee misses 2-pt shot from 14 ft,,61-78,,
11:17.0,,,61-78,,Defensive rebound by T. Allen
10:58.0,,,61-78,,M. Gasol misses 2-pt shot from 10 ft
10:56.0,Defensive rebound by J. Henson,,61-78,,
10:51.0,Shooting foul by K. Koufos (drawn by G. Antetokounmpo),,61-78,,
10:51.0,G. Antetokounmpo makes free throw 1 of 2,1,62-78,,
10:51.0,,,62-78,,J. Green enters the game for K. Koufos
10:51.0,G. Antetokounmpo makes free throw 2 of 2,1,63-78,,
10:38.0,,,63-78,,Turnover by N. Calathes (bad pass; steal by J. Henson)
10:33.0,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo),2,65-78,,
10:33.0,,,65-78,,Memphis full timeout
10:15.0,,,65-78,,T. Allen misses 2-pt shot from 8 ft
10:12.0,Defensive rebound by C. Johnson,,65-78,,
9:56.0,,,65-78,,Personal foul by J. Green (drawn by K. Middleton)
9:56.0,,,65-78,,V. Carter enters the game for J. Green
9:41.0,Turnover by Team (shot clock),,65-78,,
9:24.0,,,65-78,,J. Green misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by M. Plumlee,,65-78,,
9:11.0,M. Plumlee makes 2-pt shot from 12 ft (assist by K. Middleton),2,67-78,,
8:51.0,,,67-78,,T. Allen misses 2-pt shot at rim
8:50.0,Defensive rebound by J. Henson,,67-78,,
8:43.0,G. Antetokounmpo makes 2-pt shot from 8 ft,2,69-78,,
8:23.0,,,69-81,3,J. Green makes 3-pt shot from 22 ft (assist by M. Gasol)
8:06.0,J. Henson misses 2-pt shot from 9 ft,,69-81,,
8:04.0,Offensive rebound by K. Middleton,,69-81,,
8:04.0,K. Middleton misses 2-pt shot at rim,,69-81,,
8:02.0,,,69-81,,Defensive rebound by M. Gasol
7:57.0,,,69-83,2,N. Calathes makes 2-pt shot at rim
7:57.0,Milwaukee full timeout,,69-83,,
7:57.0,,,69-83,,B. Udrih enters the game for N. Calathes
7:57.0,T. Ennis enters the game for J. Henson,,69-83,,
7:57.0,E. Ilyasova enters the game for C. Johnson,,69-83,,
7:57.0,Z. Pachulia enters the game for M. Plumlee,,69-83,,
7:40.0,K. Middleton makes 2-pt shot from 17 ft,2,71-83,,
7:25.0,,,71-85,2,J. Green makes 2-pt shot from 1 ft
7:13.0,Turnover by G. Antetokounmpo (bad pass; steal by B. Udrih),,71-85,,
7:04.0,Personal foul by K. Middleton (drawn by V. Carter),,71-85,,
7:04.0,C. Johnson enters the game for G. Antetokounmpo,,71-85,,
6:52.0,,,71-88,3,B. Udrih makes 3-pt shot from 22 ft (assist by T. Allen)
6:40.0,T. Ennis misses 2-pt shot from 17 ft,,71-88,,
6:38.0,,,71-88,,Defensive rebound by T. Allen
6:19.0,,,71-88,,J. Green misses 2-pt shot from 9 ft
6:16.0,Defensive rebound by E. Ilyasova,,71-88,,
6:08.0,,,71-88,,Personal foul by T. Allen (drawn by K. Middleton)
6:04.0,K. Middleton misses 2-pt shot from 19 ft,,71-88,,
6:03.0,Jump ball: M. Gasol vs. Z. Pachulia (T. Ennis gains possession),,,,Jump ball: M. Gasol vs. Z. Pachulia (T. Ennis gains possession)
6:03.0,Offensive rebound by Team,,71-88,,
5:46.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by T. Ennis),2,73-88,,
5:27.0,,,73-88,,B. Udrih misses 2-pt shot from 16 ft
5:25.0,Defensive rebound by E. Ilyasova,,73-88,,
5:19.0,E. Ilyasova misses 2-pt shot at rim,,73-88,,
5:18.0,,,73-88,,Defensive rebound by M. Gasol
5:12.0,Personal foul by K. Middleton (drawn by B. Udrih),,73-88,,
5:12.0,,,73-88,,C. Lee enters the game for T. Allen
5:12.0,,,73-88,,Z. Randolph enters the game for J. Green
5:01.0,,,73-88,,Shooting foul by E. Ilyasova (drawn by Z. Randolph)
5:01.0,,,73-89,1,Z. Randolph makes free throw 1 of 2
5:01.0,,,73-89,,Z. Randolph misses free throw 2 of 2
5:00.0,Defensive rebound by Z. Pachulia,,73-89,,
4:48.0,K. Middleton misses 3-pt shot from 23 ft,,73-89,,
4:47.0,Offensive rebound by E. Ilyasova,,73-89,,
4:45.0,E. Ilyasova misses 2-pt shot at rim,,73-89,,
4:44.0,,,73-89,,Defensive rebound by M. Gasol
4:26.0,,,73-91,2,M. Gasol makes 2-pt shot from 6 ft (assist by C. Lee)
4:06.0,Z. Pachulia makes 2-pt shot from 14 ft (assist by K. Middleton),2,75-91,,
3:46.0,,,75-93,2,M. Gasol makes 2-pt shot from 1 ft (assist by C. Lee)
3:40.0,Shooting foul by V. Carter (drawn by K. Middleton),,75-93,,
3:40.0,K. Middleton makes free throw 1 of 2,1,76-93,,
3:40.0,,,76-93,,K. Koufos enters the game for M. Gasol
3:40.0,J. O'Bryant enters the game for E. Ilyasova,,76-93,,
3:40.0,M. Plumlee enters the game for Z. Pachulia,,76-93,,
3:40.0,K. Middleton makes free throw 2 of 2,1,77-93,,
3:25.0,,,77-96,3,V. Carter makes 3-pt shot from 26 ft (assist by Z. Randolph)
3:12.0,C. Johnson misses 3-pt shot from 24 ft,,77-96,,
3:10.0,,,77-96,,Defensive rebound by Team
3:00.0,,,77-96,,Turnover by C. Lee (bad pass; steal by K. Middleton)
2:56.0,T. Ennis makes 2-pt shot at rim (assist by K. Middleton),2,79-96,,
2:41.0,,,79-96,,B. Udrih misses 2-pt shot from 7 ft
