time,Brooklyn,pts.away,score,pts.home,Washington
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,M. Teletovic makes 3-pt shot from 26 ft (assist by J. Johnson),3,21-24,,
11:26.0,,,21-24,,R. Butler misses 3-pt shot from 25 ft
11:25.0,,,21-24,,Offensive rebound by K. Humphries
11:16.0,,,21-24,,O. Porter misses 2-pt shot from 5 ft
11:14.0,Defensive rebound by M. Teletovic,,21-24,,
11:08.0,A. Anderson misses 2-pt shot from 15 ft,,21-24,,
11:07.0,,,21-24,,Defensive rebound by K. Humphries
10:53.0,,,21-24,,O. Porter misses 3-pt shot from 26 ft
10:52.0,Defensive rebound by M. Plumlee,,21-24,,
10:42.0,J. Johnson misses 2-pt shot from 6 ft,,21-24,,
10:41.0,Offensive rebound by J. Johnson,,21-24,,
10:30.0,M. Plumlee makes 2-pt shot at rim (assist by A. Anderson),2,23-24,,
10:12.0,,,23-24,,K. Seraphin misses 2-pt shot from 14 ft
10:10.0,,,23-24,,Offensive rebound by O. Porter
10:02.0,Personal foul by D. Morris (drawn by A. Miller),,23-24,,
10:02.0,,,23-24,,J. Wall enters the game for A. Miller
9:55.0,,,23-24,,R. Butler misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by M. Plumlee,,23-24,,
9:44.0,J. Johnson makes 2-pt shot from 16 ft,2,25-24,,
9:23.0,Personal foul by D. Morris (drawn by K. Humphries),,25-24,,
9:12.0,,,25-26,2,O. Porter makes 2-pt shot from 2 ft (assist by K. Humphries)
8:53.0,Turnover by M. Plumlee (lost ball; steal by J. Wall),,25-26,,
8:36.0,,,25-28,2,K. Seraphin makes 2-pt shot from 4 ft (assist by O. Porter)
8:16.0,A. Anderson makes 2-pt shot at rim,2,27-28,,
7:55.0,,,27-28,,Turnover by K. Seraphin (bad pass; steal by D. Morris)
7:51.0,Turnover by D. Morris (lost ball; steal by O. Porter),,27-28,,
7:48.0,Personal take foul by M. Teletovic (drawn by K. Seraphin),,27-28,,
7:48.0,Official timeout,,27-28,,
7:41.0,,,27-28,,Turnover by J. Wall (bad pass; steal by M. Plumlee)
7:17.0,D. Morris misses 2-pt shot from 7 ft,,27-28,,
7:16.0,,,27-28,,Defensive rebound by K. Seraphin
7:04.0,,,27-28,,O. Porter misses 2-pt shot from 19 ft
7:03.0,Defensive rebound by M. Plumlee,,27-28,,
6:46.0,J. Johnson makes 2-pt shot from 1 ft,2,29-28,,
6:32.0,,,29-30,2,K. Humphries makes 2-pt shot from 15 ft (assist by O. Porter)
6:14.0,M. Teletovic makes 2-pt shot from 6 ft,2,31-30,,
6:00.0,,,31-30,,K. Humphries misses 2-pt shot from 15 ft
5:59.0,Defensive rebound by J. Johnson,,31-30,,
5:49.0,J. Johnson misses 2-pt shot from 4 ft,,31-30,,
5:49.0,Offensive rebound by J. Johnson,,31-30,,
5:45.0,A. Anderson makes 3-pt shot from 28 ft (assist by J. Johnson),3,34-30,,
5:36.0,,,34-30,,Washington full timeout
5:36.0,,,34-30,,B. Beal enters the game for O. Porter
5:25.0,,,34-32,2,B. Beal makes 2-pt shot from 18 ft (assist by J. Wall)
5:11.0,Brooklyn full timeout,,34-32,,
5:11.0,B. Bogdanovic enters the game for A. Anderson,,34-32,,
5:01.0,B. Bogdanovic misses 2-pt shot from 2 ft,,34-32,,
5:00.0,,,34-32,,Defensive rebound by B. Beal
4:44.0,,,34-34,2,K. Humphries makes 2-pt shot from 16 ft (assist by B. Beal)
4:27.0,M. Plumlee makes 2-pt shot from 3 ft,2,36-34,,
4:10.0,,,36-36,2,R. Butler makes 2-pt shot from 17 ft (assist by J. Wall)
3:55.0,M. Teletovic misses 3-pt shot from 30 ft,,36-36,,
3:54.0,,,36-36,,Defensive rebound by K. Humphries
3:40.0,,,36-36,,R. Butler misses 2-pt shot from 17 ft
3:39.0,Defensive rebound by B. Bogdanovic,,36-36,,
3:35.0,M. Plumlee misses 2-pt shot from 2 ft (block by K. Seraphin),,36-36,,
3:35.0,Offensive rebound by Team,,36-36,,
3:35.0,J. Jack enters the game for D. Morris,,36-36,,
3:35.0,K. Garnett enters the game for M. Teletovic,,36-36,,
3:35.0,,,36-36,,M. Gortat enters the game for R. Butler
3:35.0,,,36-36,,N. Hilario enters the game for K. Humphries
3:35.0,,,36-36,,P. Pierce enters the game for K. Seraphin
3:25.0,J. Johnson misses 2-pt shot from 16 ft,,36-36,,
3:25.0,,,36-36,,Defensive rebound by Team
3:25.0,Loose ball foul by M. Plumlee (drawn by M. Gortat),,36-36,,
3:10.0,Personal foul by J. Johnson (drawn by P. Pierce),,36-36,,
3:10.0,,,36-37,1,P. Pierce makes free throw 1 of 2
3:10.0,,,36-38,1,P. Pierce makes free throw 2 of 2
2:57.0,Brooklyn full timeout,,36-38,,
2:47.0,M. Plumlee misses 2-pt shot from 3 ft,,36-38,,
2:46.0,,,36-38,,Defensive rebound by N. Hilario
2:31.0,,,36-38,,P. Pierce misses 3-pt shot from 22 ft
2:30.0,Defensive rebound by B. Bogdanovic,,36-38,,
2:26.0,B. Bogdanovic misses 2-pt shot from 9 ft,,36-38,,
2:24.0,,,36-38,,Defensive rebound by N. Hilario
2:17.0,,,36-38,,B. Beal misses 2-pt shot from 14 ft
2:16.0,Defensive rebound by K. Garnett,,36-38,,
1:54.0,B. Bogdanovic makes 2-pt shot from 5 ft (assist by K. Garnett),2,38-38,,
1:34.0,,,38-38,,J. Wall misses 2-pt shot from 19 ft
1:33.0,Defensive rebound by M. Plumlee,,38-38,,
1:20.0,J. Jack misses 2-pt shot from 3 ft,,38-38,,
1:19.0,,,38-38,,Defensive rebound by P. Pierce
1:15.0,,,38-38,,Turnover by P. Pierce (lost ball; steal by J. Jack)
1:12.0,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Jack),2,40-38,,
1:12.0,Shooting foul by M. Gortat (drawn by M. Plumlee),,40-38,,
1:12.0,,,40-38,,A. Miller enters the game for J. Wall
1:12.0,,,40-38,,R. Butler enters the game for B. Beal
1:12.0,,,40-38,,K. Seraphin enters the game for M. Gortat
1:12.0,M. Plumlee makes free throw 1 of 1,1,41-38,,
0:50.0,,,41-38,,R. Butler misses 2-pt shot from 19 ft
0:49.0,Defensive rebound by B. Bogdanovic,,41-38,,
0:34.0,Turnover by M. Plumlee (bad pass; steal by P. Pierce),,41-38,,
0:28.0,,,41-38,,A. Miller misses 2-pt shot from 3 ft (block by M. Plumlee)
0:26.0,,,41-38,,Offensive rebound by N. Hilario
0:23.0,,,41-40,2,A. Miller makes 2-pt shot from 1 ft (assist by N. Hilario)
0:01.0,J. Jack makes 2-pt shot from 7 ft,2,43-40,,
0:00.0,,,43-40,,A. Miller misses 3-pt shot from 83 ft
0:00.0,,,43-40,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,43-40,,Personal foul by B. Beal (drawn by B. Bogdanovic)
11:42.0,Shooting foul by M. Gortat (drawn by M. Plumlee),,43-40,,
11:42.0,M. Plumlee misses free throw 1 of 2,,43-40,,
11:42.0,Offensive rebound by Team,,43-40,,
11:42.0,M. Plumlee makes free throw 2 of 2,1,44-40,,
11:25.0,,,44-40,,N. Hilario misses 2-pt shot from 2 ft
11:24.0,Defensive rebound by J. Johnson,,44-40,,
11:15.0,J. Johnson misses 2-pt shot from 16 ft,,44-40,,
11:14.0,,,44-40,,Defensive rebound by Team
11:00.0,,,44-40,,N. Hilario misses 2-pt shot from 17 ft
10:59.0,Defensive rebound by J. Jack,,44-40,,
10:48.0,K. Garnett misses 2-pt shot from 21 ft,,44-40,,
10:47.0,,,44-40,,Defensive rebound by P. Pierce
10:39.0,,,44-40,,Turnover by M. Gortat (traveling)
10:27.0,B. Bogdanovic misses 2-pt shot from 4 ft,,44-40,,
10:26.0,,,44-40,,Defensive rebound by N. Hilario
10:21.0,,,44-42,2,J. Wall makes 2-pt shot at rim (assist by N. Hilario)
9:58.0,K. Garnett makes 2-pt shot from 14 ft,2,46-42,,
9:41.0,,,46-45,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
9:29.0,M. Plumlee misses 2-pt shot from 1 ft,,46-45,,
9:28.0,Offensive rebound by M. Plumlee,,46-45,,
9:26.0,M. Plumlee misses 2-pt shot at rim (block by M. Gortat),,46-45,,
9:26.0,,,46-45,,Defensive rebound by Team
9:26.0,Loose ball foul by M. Plumlee (drawn by P. Pierce),,46-45,,
9:19.0,Personal foul by J. Jack (drawn by J. Wall),,46-45,,
9:06.0,,,46-45,,N. Hilario misses 2-pt shot from 3 ft
9:05.0,Defensive rebound by M. Plumlee,,46-45,,
8:58.0,J. Jack misses 2-pt shot from 5 ft,,46-45,,
8:56.0,,,46-45,,Defensive rebound by J. Wall
8:54.0,,,46-45,,Turnover by J. Wall (lost ball; steal by K. Garnett)
8:39.0,K. Garnett misses 2-pt shot from 17 ft,,46-45,,
8:38.0,,,46-45,,Defensive rebound by P. Pierce
8:29.0,,,46-48,3,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal)
8:12.0,J. Jack makes 2-pt shot from 18 ft,2,48-48,,
7:59.0,,,48-48,,J. Wall misses 2-pt shot from 20 ft
7:58.0,Defensive rebound by J. Jack,,48-48,,
7:54.0,J. Jack makes 2-pt shot from 12 ft,2,50-48,,
7:54.0,Shooting foul by J. Wall (drawn by J. Jack),,50-48,,
7:54.0,B. Lopez enters the game for M. Plumlee,,50-48,,
7:54.0,J. Jack makes free throw 1 of 1,1,51-48,,
7:40.0,,,51-51,3,P. Pierce makes 3-pt shot from 27 ft (assist by J. Wall)
7:21.0,J. Jack makes 2-pt shot from 3 ft (assist by B. Bogdanovic),2,53-51,,
7:01.0,,,53-51,,P. Pierce misses 3-pt shot from 26 ft
7:00.0,Defensive rebound by K. Garnett,,53-51,,
6:49.0,Shooting foul by N. Hilario (drawn by J. Johnson),,53-51,,
6:49.0,J. Johnson makes free throw 1 of 2,1,54-51,,
6:49.0,J. Johnson makes free throw 2 of 2,1,55-51,,
6:39.0,Personal foul by B. Bogdanovic (drawn by B. Beal),,55-51,,
6:28.0,,,55-51,,M. Gortat misses 2-pt shot from 12 ft
6:27.0,Defensive rebound by K. Garnett,,55-51,,
6:08.0,B. Lopez makes 2-pt shot at rim (assist by J. Jack),2,57-51,,
6:06.0,,,57-51,,Washington full timeout
5:54.0,,,57-51,,M. Gortat misses 2-pt shot from 1 ft (block by B. Lopez)
5:52.0,Defensive rebound by B. Bogdanovic,,57-51,,
5:30.0,B. Lopez makes 2-pt shot from 15 ft,2,59-51,,
5:12.0,,,59-51,,Shooting foul by K. Garnett (drawn by M. Gortat)
5:12.0,,,59-51,,M. Gortat misses free throw 1 of 2
5:12.0,,,59-51,,Offensive rebound by Team
5:12.0,M. Plumlee enters the game for K. Garnett,,59-51,,
5:12.0,,,59-52,1,M. Gortat makes free throw 2 of 2
4:54.0,B. Lopez makes 2-pt shot from 2 ft,2,61-52,,
4:44.0,,,61-52,,Turnover by P. Pierce (lost ball; steal by J. Johnson)
4:40.0,B. Bogdanovic misses 2-pt shot from 1 ft,,61-52,,
4:38.0,,,61-52,,Defensive rebound by M. Gortat
4:28.0,,,61-52,,N. Hilario misses 2-pt shot from 2 ft
4:27.0,Defensive rebound by M. Plumlee,,61-52,,
4:18.0,Shooting foul by P. Pierce (drawn by B. Lopez),,61-52,,
4:18.0,B. Lopez makes free throw 1 of 2,1,62-52,,
4:18.0,,,62-52,,R. Butler enters the game for N. Hilario
4:18.0,,,62-52,,K. Humphries enters the game for M. Gortat
4:18.0,,,62-52,,K. Seraphin enters the game for B. Beal
4:18.0,B. Lopez makes free throw 2 of 2,1,63-52,,
3:59.0,,,63-54,2,J. Wall makes 2-pt shot from 10 ft
3:46.0,Shooting foul by K. Humphries (drawn by M. Plumlee),,63-54,,
3:46.0,M. Plumlee makes free throw 1 of 2,1,64-54,,
3:46.0,A. Anderson enters the game for J. Johnson,,64-54,,
3:46.0,M. Plumlee misses free throw 2 of 2,,64-54,,
3:45.0,,,64-54,,Defensive rebound by P. Pierce
3:35.0,,,64-54,,J. Wall misses 2-pt shot from 1 ft (block by B. Lopez)
3:32.0,Defensive rebound by M. Plumlee,,64-54,,
3:26.0,B. Lopez makes 2-pt shot from 5 ft (assist by J. Jack),2,66-54,,
3:26.0,Shooting foul by K. Seraphin (drawn by B. Lopez),,66-54,,
3:26.0,B. Lopez makes free throw 1 of 1,1,67-54,,
3:18.0,Personal foul by M. Plumlee (drawn by K. Humphries),,67-54,,
3:18.0,,,67-55,1,K. Humphries makes free throw 1 of 2
3:18.0,,,67-56,1,K. Humphries makes free throw 2 of 2
3:02.0,J. Jack misses 2-pt shot from 2 ft,,67-56,,
3:02.0,Offensive rebound by Team,,67-56,,
3:02.0,,,67-56,,O. Porter enters the game for P. Pierce
3:00.0,J. Jack makes 2-pt shot from 17 ft (assist by B. Bogdanovic),2,69-56,,
2:38.0,,,69-56,,J. Wall misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by B. Lopez,,69-56,,
2:25.0,Offensive foul by M. Plumlee,,69-56,,
2:25.0,Turnover by M. Plumlee (offensive foul),,69-56,,
2:25.0,Brooklyn full timeout,,69-56,,
2:25.0,M. Teletovic enters the game for M. Plumlee,,69-56,,
2:13.0,,,69-56,,R. Butler misses 3-pt shot from 27 ft
2:12.0,Defensive rebound by M. Teletovic,,69-56,,
1:56.0,Turnover by J. Jack (bad pass),,69-56,,
1:47.0,,,69-56,,K. Humphries misses 2-pt shot from 17 ft
1:46.0,Defensive rebound by J. Jack,,69-56,,
1:29.0,B. Lopez misses 2-pt shot from 20 ft,,69-56,,
1:28.0,,,69-56,,Defensive rebound by K. Humphries
1:24.0,,,69-56,,Offensive foul by K. Seraphin
1:24.0,,,69-56,,Turnover by K. Seraphin (offensive foul)
1:07.0,B. Lopez misses 2-pt shot from 7 ft,,69-56,,
1:06.0,,,69-56,,Defensive rebound by K. Humphries
0:55.0,,,69-56,,Turnover by K. Seraphin (lost ball; steal by A. Anderson)
0:51.0,Turnover by A. Anderson (bad pass; steal by J. Wall),,69-56,,
0:44.0,,,69-56,,Offensive foul by R. Butler
0:44.0,,,69-56,,Turnover by R. Butler (offensive foul)
0:44.0,,,69-56,,A. Miller enters the game for J. Wall
0:30.0,B. Lopez misses 2-pt shot from 3 ft (block by K. Seraphin),,69-56,,
0:28.0,Offensive rebound by J. Jack,,69-56,,
0:27.0,J. Jack makes 2-pt shot from 1 ft,2,71-56,,
0:04.0,,,71-58,2,R. Butler makes 2-pt shot from 14 ft
0:00.0,A. Anderson misses 3-pt shot from 52 ft,,71-58,,
0:00.0,,,71-58,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,71-58,,Turnover by R. Butler (lost ball; steal by A. Anderson)
11:23.0,A. Anderson misses 3-pt shot from 25 ft,,71-58,,
11:22.0,,,71-58,,Defensive rebound by K. Humphries
11:01.0,,,71-58,,O. Porter misses 2-pt shot from 17 ft
11:00.0,Defensive rebound by M. Teletovic,,71-58,,
10:50.0,A. Anderson misses 3-pt shot from 25 ft,,71-58,,
10:49.0,,,71-58,,Defensive rebound by K. Humphries
10:43.0,,,71-60,2,O. Porter makes 2-pt shot from 2 ft (assist by A. Miller)
10:30.0,,,71-60,,Personal foul by O. Porter (drawn by A. Anderson)
10:30.0,D. Morris enters the game for J. Jack,,71-60,,
10:30.0,,,71-60,,B. Beal enters the game for R. Butler
10:18.0,B. Lopez makes 2-pt shot at rim (assist by A. Anderson),2,73-60,,
10:00.0,,,73-62,2,K. Humphries makes 2-pt shot from 14 ft (assist by B. Beal)
9:43.0,B. Lopez makes 2-pt shot at rim (assist by J. Johnson),2,75-62,,
9:43.0,Shooting foul by D. Blair (drawn by B. Lopez),,75-62,,
9:43.0,B. Lopez makes free throw 1 of 1,1,76-62,,
9:26.0,,,76-62,,Turnover by O. Porter (bad pass)
9:14.0,,,76-62,,Personal foul by D. Blair (drawn by B. Lopez)
9:00.0,J. Johnson misses 2-pt shot from 20 ft,,76-62,,
8:59.0,,,76-62,,Defensive rebound by D. Blair
8:54.0,,,76-62,,O. Porter misses 2-pt shot at rim
8:51.0,,,76-62,,Offensive rebound by K. Humphries
8:51.0,,,76-64,2,K. Humphries makes 2-pt shot at rim
8:51.0,Brooklyn full timeout,,76-64,,
8:37.0,D. Morris misses 2-pt shot from 5 ft,,76-64,,
8:36.0,Offensive rebound by D. Morris,,76-64,,
8:33.0,J. Johnson misses 3-pt shot from 22 ft,,76-64,,
8:31.0,Offensive rebound by Team,,76-64,,
8:20.0,Shooting foul by B. Beal (drawn by B. Lopez),,76-64,,
8:20.0,B. Lopez misses free throw 1 of 2,,76-64,,
8:20.0,Offensive rebound by Team,,76-64,,
8:20.0,,,76-64,,N. Hilario enters the game for D. Blair
8:20.0,,,76-64,,P. Pierce enters the game for K. Humphries
8:20.0,,,76-64,,J. Wall enters the game for A. Miller
8:20.0,B. Lopez makes free throw 2 of 2,1,77-64,,
8:02.0,J. Jack enters the game for D. Morris,,77-64,,
8:02.0,Jump ball: N. Hilario vs. J. Johnson (B. Beal gains possession),,,,Jump ball: N. Hilario vs. J. Johnson (B. Beal gains possession)
7:57.0,,,77-66,2,N. Hilario makes 2-pt shot at rim (assist by B. Beal)
7:33.0,B. Lopez makes 2-pt shot from 8 ft,2,79-66,,
7:23.0,,,79-66,,Offensive foul by B. Beal
7:23.0,,,79-66,,Turnover by B. Beal (offensive foul)
7:23.0,,,79-66,,M. Webster enters the game for B. Beal
7:14.0,Turnover by A. Anderson (lost ball),,79-66,,
6:59.0,,,79-66,,Turnover by N. Hilario (lost ball; steal by B. Lopez)
6:40.0,J. Jack makes 2-pt shot from 7 ft,2,81-66,,
6:31.0,,,81-66,,P. Pierce misses 3-pt shot from 26 ft
6:30.0,Defensive rebound by J. Jack,,81-66,,
6:16.0,B. Lopez makes 2-pt shot from 21 ft (assist by J. Jack),2,83-66,,
6:15.0,,,83-66,,Washington full timeout
6:06.0,Personal foul by J. Jack (drawn by J. Wall),,83-66,,
6:00.0,,,83-66,,Turnover by N. Hilario (traveling)
5:48.0,Shooting foul by N. Hilario (drawn by B. Lopez),,83-66,,
5:48.0,B. Lopez makes free throw 1 of 2,1,84-66,,
5:48.0,,,84-66,,M. Gortat enters the game for O. Porter
5:48.0,B. Lopez makes free throw 2 of 2,1,85-66,,
5:35.0,,,85-66,,M. Webster misses 3-pt shot from 27 ft
5:34.0,Defensive rebound by M. Teletovic,,85-66,,
5:16.0,B. Lopez misses 2-pt shot from 7 ft,,85-66,,
5:15.0,,,85-66,,Defensive rebound by J. Wall
5:09.0,,,85-68,2,J. Wall makes 2-pt shot from 13 ft
4:50.0,J. Jack makes 2-pt shot from 1 ft,2,87-68,,
4:50.0,Shooting foul by J. Wall (drawn by J. Jack),,87-68,,
4:50.0,J. Jack misses free throw 1 of 1,,87-68,,
4:49.0,,,87-68,,Defensive rebound by Team
4:38.0,,,87-68,,Shooting foul by J. Jack (drawn by J. Wall)
4:38.0,,,87-69,1,J. Wall makes free throw 1 of 2
4:38.0,B. Bogdanovic enters the game for A. Anderson,,87-69,,
4:38.0,,,87-69,,B. Beal enters the game for N. Hilario
4:38.0,,,87-70,1,J. Wall makes free throw 2 of 2
4:19.0,J. Jack makes 2-pt shot from 21 ft (assist by J. Johnson),2,89-70,,
4:06.0,,,89-70,,B. Beal misses 3-pt shot from 23 ft
4:05.0,,,89-70,,Offensive rebound by M. Gortat
3:56.0,,,89-70,,Turnover by M. Webster (bad pass; steal by B. Lopez)
3:51.0,B. Bogdanovic makes flagrant free throw 1 of 2,1,90-70,,
3:51.0,B. Bogdanovic makes flagrant free throw 2 of 2,1,91-70,,
3:51.0,,,91-70,,O. Porter enters the game for P. Pierce
3:45.0,Shooting foul by M. Gortat (drawn by B. Lopez),,91-70,,
3:45.0,B. Lopez makes free throw 1 of 2,1,92-70,,
3:45.0,B. Lopez makes free throw 2 of 2,1,93-70,,
3:25.0,,,93-72,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:15.0,,,93-72,,G. Temple enters the game for J. Wall
3:15.0,,,93-72,,K. Seraphin enters the game for M. Gortat
3:15.0,A. Anderson enters the game for J. Johnson,,93-72,,
3:15.0,,,93-72,,D. Blair enters the game for B. Beal
3:09.0,B. Lopez misses 2-pt shot from 9 ft,,93-72,,
3:08.0,,,93-72,,Defensive rebound by D. Blair
2:53.0,,,93-74,2,K. Seraphin makes 2-pt shot from 7 ft (assist by G. Temple)
2:40.0,J. Jack makes 2-pt shot from 20 ft,2,95-74,,
