time,Memphis,pts.away,score,pts.home,Sacramento
7:03.0,,,11-6,,Offensive rebound by Team
7:03.0,,,11-6,,D. Collison misses free throw 2 of 2
7:03.0,Defensive rebound by Z. Randolph,,11-6,,
6:53.0,Offensive charge foul by M. Gasol,,11-6,,
6:53.0,Turnover by M. Gasol (offensive foul),,11-6,,
6:53.0,K. Koufos enters the game for M. Gasol,,11-6,,
6:40.0,,,11-8,2,R. Gay makes 2-pt shot from 3 ft
6:26.0,Z. Randolph makes 2-pt shot from 3 ft (assist by T. Allen),2,13-8,,
6:26.0,Shooting foul by J. Thompson (drawn by Z. Randolph),,13-8,,
6:26.0,Z. Randolph makes free throw 1 of 1,1,14-8,,
6:13.0,,,14-8,,Turnover by R. Hollins (bad pass; steal by T. Allen)
6:10.0,T. Allen misses 2-pt shot from 2 ft (block by R. Hollins),,14-8,,
6:08.0,Offensive rebound by M. Conley,,14-8,,
5:55.0,M. Conley misses 2-pt shot from 7 ft,,14-8,,
5:54.0,Offensive rebound by K. Koufos,,14-8,,
5:47.0,M. Conley misses 3-pt shot from 25 ft,,14-8,,
5:46.0,Offensive rebound by T. Allen,,14-8,,
5:43.0,T. Allen misses 2-pt shot from 14 ft,,14-8,,
5:42.0,Offensive rebound by K. Koufos,,14-8,,
5:42.0,K. Koufos misses 2-pt shot from 2 ft,,14-8,,
5:41.0,,,14-8,,Defensive rebound by B. McLemore
5:38.0,,,14-10,2,D. Collison makes 2-pt shot from 2 ft
5:21.0,M. Conley misses 2-pt shot from 4 ft,,14-10,,
5:20.0,,,14-10,,Defensive rebound by D. Collison
5:18.0,,,14-12,2,B. McLemore makes 2-pt shot at rim (assist by D. Collison)
5:17.0,Memphis full timeout,,14-12,,
4:59.0,C. Lee makes 2-pt shot from 17 ft (assist by Z. Randolph),2,16-12,,
4:45.0,,,16-12,,Turnover by R. Gay (lost ball)
4:45.0,Jump ball: M. Conley vs. R. Gay (T. Allen gains possession),,,,Jump ball: M. Conley vs. R. Gay (T. Allen gains possession)
4:36.0,C. Lee misses 2-pt shot from 19 ft,,16-12,,
4:35.0,,,16-12,,Defensive rebound by D. Collison
4:25.0,,,16-12,,R. Gay misses 2-pt shot from 1 ft
4:24.0,,,16-12,,Offensive rebound by R. Gay
4:24.0,,,16-14,2,R. Gay makes 2-pt shot from 1 ft
4:06.0,T. Allen makes 2-pt shot from 3 ft (assist by M. Conley),2,18-14,,
3:42.0,,,18-14,,Turnover by J. Thompson (lost ball; steal by Z. Randolph)
3:38.0,Turnover by M. Conley (bad pass; steal by D. Collison),,18-14,,
3:32.0,,,18-16,2,R. Gay makes 2-pt shot from 2 ft (assist by B. McLemore)
3:13.0,K. Koufos misses 2-pt shot from 16 ft,,18-16,,
3:12.0,,,18-16,,Defensive rebound by D. Collison
3:01.0,,,18-18,2,D. Collison makes 2-pt shot from 1 ft
2:51.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley),2,20-18,,
2:51.0,Shooting foul by J. Thompson (drawn by Z. Randolph),,20-18,,
2:51.0,Q. Pondexter enters the game for T. Allen,,20-18,,
2:51.0,,,20-18,,O. Casspi enters the game for R. Gay
2:51.0,,,20-18,,C. Landry enters the game for J. Thompson
2:51.0,Z. Randolph misses free throw 1 of 1,,20-18,,
2:51.0,,,20-18,,Defensive rebound by R. Hollins
2:39.0,,,20-18,,Turnover by B. McLemore (offensive foul)
2:39.0,,,20-18,,Offensive foul by B. McLemore
2:24.0,Z. Randolph makes 2-pt shot from 17 ft,2,22-18,,
2:07.0,,,22-18,,Turnover by B. McLemore (lost ball; steal by Z. Randolph)
1:49.0,Z. Randolph makes 2-pt shot from 7 ft,2,24-18,,
1:31.0,,,24-18,,Turnover by C. Landry (lost ball; steal by K. Koufos)
1:21.0,,,24-18,,N. Stauskas enters the game for R. Hollins
1:21.0,,,24-18,,R. Evans enters the game for B. McLemore
1:10.0,Z. Randolph makes 2-pt shot from 6 ft,2,26-18,,
0:53.0,,,26-18,,Shooting foul by Q. Pondexter (drawn by O. Casspi)
0:53.0,,,26-19,1,O. Casspi makes free throw 1 of 2
0:53.0,V. Carter enters the game for C. Lee,,26-19,,
0:53.0,,,26-20,1,O. Casspi makes free throw 2 of 2
0:43.0,M. Conley makes 2-pt shot from 18 ft (assist by Z. Randolph),2,28-20,,
0:23.0,,,28-20,,C. Landry misses 2-pt shot from 16 ft
0:23.0,Defensive rebound by K. Koufos,,28-20,,
0:01.0,Q. Pondexter misses 3-pt shot from 25 ft,,28-20,,
0:00.0,,,28-20,,Defensive rebound by R. Evans
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,28-20,,N. Stauskas misses 2-pt shot from 4 ft (block by K. Koufos)
11:45.0,,,28-20,,Offensive rebound by Team
11:40.0,,,28-20,,R. Sessions misses 2-pt shot from 18 ft
11:39.0,Defensive rebound by Z. Randolph,,28-20,,
11:15.0,B. Udrih misses 3-pt shot from 25 ft,,28-20,,
11:15.0,,,28-20,,Defensive rebound by R. Evans
10:59.0,,,28-20,,O. Casspi misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by K. Koufos,,28-20,,
10:48.0,Z. Randolph makes 2-pt shot from 1 ft (assist by B. Udrih),2,30-20,,
10:28.0,,,30-22,2,O. Casspi makes 2-pt shot from 3 ft (assist by R. Sessions)
10:06.0,V. Carter makes 3-pt shot from 24 ft,3,33-22,,
9:52.0,,,33-22,,N. Stauskas misses 3-pt shot from 23 ft
9:52.0,,,33-22,,Offensive rebound by R. Evans
9:43.0,,,33-22,,N. Stauskas misses 3-pt shot from 23 ft
9:42.0,Defensive rebound by Z. Randolph,,33-22,,
9:24.0,B. Udrih makes 2-pt shot from 2 ft (assist by Z. Randolph),2,35-22,,
9:24.0,,,35-22,,Sacramento full timeout
9:24.0,J. Leuer enters the game for Z. Randolph,,35-22,,
9:09.0,,,35-22,,C. Landry misses 2-pt shot from 14 ft
9:09.0,Defensive rebound by V. Carter,,35-22,,
8:56.0,Offensive foul by K. Koufos,,35-22,,
8:56.0,Turnover by K. Koufos (offensive foul),,35-22,,
8:35.0,,,35-22,,R. Sessions misses 2-pt shot from 6 ft
8:34.0,,,35-22,,Offensive rebound by R. Evans
8:33.0,,,35-24,2,R. Evans makes 2-pt shot from 3 ft
8:17.0,,,35-24,,Personal foul by R. Sessions (drawn by B. Udrih)
8:17.0,M. Gasol enters the game for K. Koufos,,35-24,,
8:03.0,B. Udrih misses 2-pt shot from 3 ft,,35-24,,
8:02.0,,,35-24,,Defensive rebound by R. Evans
7:56.0,,,35-24,,Turnover by R. Sessions (dbl dribble)
7:46.0,B. Udrih makes 2-pt shot from 2 ft (assist by M. Gasol),2,37-24,,
7:46.0,Shooting foul by R. Sessions (drawn by B. Udrih),,37-24,,
7:46.0,,,37-24,,D. Collison enters the game for O. Casspi
7:46.0,,,37-24,,R. Gay enters the game for N. Stauskas
7:46.0,,,37-24,,B. McLemore enters the game for R. Sessions
7:46.0,B. Udrih makes free throw 1 of 1,1,38-24,,
7:29.0,,,38-26,2,R. Evans makes 2-pt shot from 3 ft (assist by D. Collison)
7:08.0,M. Gasol makes 2-pt shot from 13 ft,2,40-26,,
6:53.0,,,40-26,,Turnover by C. Landry (lost ball)
6:34.0,V. Carter makes 3-pt shot from 24 ft (assist by M. Gasol),3,43-26,,
6:17.0,,,43-26,,R. Gay misses 2-pt shot from 5 ft
6:17.0,Defensive rebound by J. Leuer,,43-26,,
6:02.0,,,43-26,,Personal foul by R. Evans (drawn by M. Gasol)
5:54.0,J. Leuer makes 2-pt shot from 20 ft (assist by V. Carter),2,45-26,,
5:39.0,Personal foul by B. Udrih (drawn by B. McLemore),,45-26,,
5:39.0,Official timeout,,45-26,,
5:39.0,,,45-26,,R. Hollins enters the game for C. Landry
5:31.0,,,45-28,2,R. Gay makes 2-pt shot from 12 ft
5:31.0,Away from play foul by V. Carter (drawn by R. Hollins),,45-28,,
5:31.0,Turnover by V. Carter (offensive foul),,45-28,,
5:31.0,,,45-28,,Technical foul by R. Hollins
5:31.0,Technical foul by V. Carter (drawn by R. Hollins),,45-28,,
5:31.0,,,45-28,,R. Hollins misses free throw 1 of 1
5:28.0,Defensive rebound by J. Leuer,,45-28,,
5:15.0,V. Carter misses 3-pt shot from 22 ft,,45-28,,
5:15.0,,,45-28,,Defensive rebound by R. Evans
5:00.0,,,45-30,2,D. Collison makes 2-pt shot from 2 ft (assist by R. Gay)
4:43.0,M. Gasol makes 2-pt shot from 1 ft (assist by J. Leuer),2,47-30,,
4:32.0,,,47-30,,Turnover by D. Collison (bad pass; steal by B. Udrih)
4:29.0,Q. Pondexter makes 2-pt shot from 1 ft (assist by B. Udrih),2,49-30,,
4:09.0,,,49-30,,Turnover by R. Gay (bad pass; steal by M. Gasol)
4:07.0,B. Udrih makes 2-pt shot at rim (assist by M. Gasol),2,51-30,,
4:06.0,,,51-30,,Sacramento full timeout
4:06.0,T. Allen enters the game for Q. Pondexter,,51-30,,
4:06.0,C. Lee enters the game for V. Carter,,51-30,,
3:46.0,,,51-32,2,D. Collison makes 2-pt shot from 11 ft
3:27.0,J. Leuer makes 2-pt shot from 6 ft (assist by C. Lee),2,53-32,,
3:04.0,,,53-34,2,R. Gay makes 2-pt shot from 9 ft (assist by D. Collison)
3:04.0,,,53-34,,Shooting foul by T. Allen (drawn by R. Gay)
3:04.0,M. Conley enters the game for B. Udrih,,53-34,,
3:04.0,,,53-35,1,R. Gay makes free throw 1 of 1
2:47.0,M. Gasol makes 2-pt shot from 11 ft,2,55-35,,
2:33.0,,,55-38,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison)
2:21.0,Turnover by M. Conley (lost ball; steal by R. Gay),,55-38,,
2:14.0,Personal foul by M. Conley (drawn by R. Gay),,55-38,,
1:56.0,,,55-38,,Turnover by D. Collison (lost ball; steal by T. Allen)
1:54.0,Turnover by T. Allen (lost ball; steal by D. Collison),,55-38,,
1:53.0,,,55-38,,D. Collison misses 2-pt shot from 4 ft
1:50.0,Defensive rebound by M. Conley,,55-38,,
1:45.0,M. Conley misses 3-pt shot from 25 ft,,55-38,,
1:44.0,,,55-38,,Defensive rebound by R. Gay
1:34.0,,,55-40,2,R. Gay makes 2-pt shot from 10 ft
1:23.0,Memphis full timeout,,55-40,,
1:23.0,Z. Randolph enters the game for J. Leuer,,55-40,,
1:06.0,M. Gasol misses 2-pt shot from 21 ft,,55-40,,
1:05.0,,,55-40,,Defensive rebound by D. Collison
0:42.0,,,55-40,,B. McLemore misses 2-pt shot from 18 ft
0:41.0,Defensive rebound by M. Conley,,55-40,,
0:35.0,T. Allen makes 2-pt shot from 3 ft (assist by M. Conley),2,57-40,,
0:35.0,Shooting foul by R. Evans (drawn by T. Allen),,57-40,,
0:35.0,J. Leuer enters the game for M. Gasol,,57-40,,
0:35.0,T. Allen makes free throw 1 of 1,1,58-40,,
0:26.0,,,58-40,,R. Gay misses 2-pt shot from 2 ft (block by J. Leuer)
0:26.0,,,58-40,,Offensive rebound by Team
0:10.0,,,58-40,,R. Gay misses 2-pt shot from 4 ft
0:09.0,,,58-40,,Offensive rebound by R. Evans
0:09.0,,,58-42,2,R. Evans makes 2-pt shot from 2 ft
0:09.0,Memphis full timeout,,58-42,,
0:09.0,V. Carter enters the game for T. Allen,,58-42,,
0:09.0,M. Gasol enters the game for J. Leuer,,58-42,,
0:00.0,Z. Randolph misses 2-pt shot from 20 ft,,58-42,,
0:00.0,Offensive rebound by Team,,58-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,58-44,2,B. McLemore makes 2-pt shot from 8 ft (assist by D. Collison)
11:27.0,Z. Randolph misses 2-pt shot from 5 ft,,58-44,,
11:27.0,,,58-44,,Defensive rebound by B. McLemore
11:04.0,,,58-44,,D. Collison misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by Z. Randolph,,58-44,,
10:51.0,,,58-44,,Personal foul by R. Hollins (drawn by M. Gasol)
10:51.0,,,58-44,,Technical foul by R. Hollins (drawn by M. Gasol)
10:51.0,C. Lee makes technical free throw,1,59-44,,
10:51.0,,,59-44,,R. Evans enters the game for R. Hollins
10:38.0,M. Conley misses 2-pt shot from 22 ft,,59-44,,
10:37.0,Offensive rebound by T. Allen,,59-44,,
10:31.0,T. Allen makes 2-pt shot from 3 ft,2,61-44,,
10:14.0,,,61-44,,Turnover by D. Collison (lost ball; steal by M. Conley)
9:58.0,M. Gasol misses 2-pt shot from 18 ft,,61-44,,
9:57.0,,,61-44,,Defensive rebound by Team
9:57.0,Loose ball foul by T. Allen (drawn by R. Evans),,61-44,,
9:41.0,,,61-44,,R. Gay misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by M. Gasol,,61-44,,
9:29.0,M. Conley misses 2-pt shot from 8 ft (block by D. Collison),,61-44,,
9:28.0,,,61-44,,Defensive rebound by D. Collison
9:24.0,,,61-46,2,B. McLemore makes 2-pt shot from 2 ft (assist by R. Gay)
9:07.0,Turnover by T. Allen (lost ball),,61-46,,
8:48.0,Personal foul by M. Conley (drawn by D. Collison),,61-46,,
8:44.0,,,61-46,,Shooting foul by M. Gasol (drawn by R. Gay)
8:44.0,,,61-47,1,R. Gay makes free throw 1 of 2
8:44.0,,,61-48,1,R. Gay makes free throw 2 of 2
8:33.0,T. Allen makes 2-pt shot from 2 ft (assist by Z. Randolph),2,63-48,,
8:08.0,,,63-50,2,R. Evans makes 2-pt shot from 1 ft
7:56.0,,,63-50,,Personal foul by J. Thompson (drawn by Z. Randolph)
7:50.0,M. Conley makes 2-pt shot from 10 ft,2,65-50,,
7:45.0,,,65-50,,Sacramento full timeout
7:32.0,,,65-50,,J. Thompson misses 2-pt shot from 18 ft
7:31.0,,,65-50,,Offensive rebound by R. Evans
7:31.0,,,65-50,,Shooting foul by Z. Randolph (drawn by R. Evans)
7:31.0,,,65-51,1,R. Evans makes free throw 1 of 2
7:31.0,,,65-51,,R. Evans misses free throw 2 of 2
7:30.0,Defensive rebound by Z. Randolph,,65-51,,
7:09.0,Z. Randolph misses 2-pt shot from 15 ft,,65-51,,
7:08.0,,,65-51,,Defensive rebound by R. Evans
6:51.0,,,65-53,2,R. Evans makes 2-pt shot from 1 ft (assist by J. Thompson)
6:28.0,Turnover by T. Allen (bad pass),,65-53,,
6:15.0,,,65-53,,Turnover by B. McLemore (bad pass; steal by T. Allen)
6:13.0,Shooting foul by R. Gay (drawn by T. Allen),,65-53,,
6:13.0,T. Allen misses free throw 1 of 2,,65-53,,
6:13.0,Offensive rebound by Team,,65-53,,
6:13.0,T. Allen misses free throw 2 of 2,,65-53,,
6:12.0,,,65-53,,Defensive rebound by J. Thompson
6:00.0,,,65-53,,R. Evans misses 2-pt shot from 4 ft (block by M. Gasol)
5:58.0,,,65-53,,Offensive rebound by R. Evans
5:53.0,,,65-55,2,R. Evans makes 2-pt shot at rim (assist by B. McLemore)
5:37.0,,,65-55,,Personal foul by J. Thompson (drawn by Z. Randolph)
5:37.0,Q. Pondexter enters the game for T. Allen,,65-55,,
5:37.0,B. Udrih enters the game for M. Conley,,65-55,,
5:37.0,,,65-55,,C. Landry enters the game for J. Thompson
5:26.0,M. Gasol misses 2-pt shot from 5 ft,,65-55,,
5:26.0,,,65-55,,Defensive rebound by C. Landry
5:22.0,Shooting block foul by B. Udrih (drawn by D. Collison),,65-55,,
5:22.0,,,65-56,1,D. Collison makes free throw 1 of 2
5:22.0,,,65-57,1,D. Collison makes free throw 2 of 2
4:57.0,B. Udrih misses 2-pt shot from 12 ft,,65-57,,
4:57.0,,,65-57,,Defensive rebound by R. Evans
4:35.0,,,65-57,,R. Gay misses 2-pt shot from 6 ft
4:35.0,,,65-57,,Offensive rebound by Team
4:35.0,Loose ball foul by M. Gasol (drawn by R. Evans),,65-57,,
4:35.0,,,65-57,,R. Evans misses free throw 1 of 2
4:35.0,,,65-57,,Offensive rebound by Team
4:35.0,K. Koufos enters the game for M. Gasol,,65-57,,
4:35.0,,,65-58,1,R. Evans makes free throw 2 of 2
4:32.0,Memphis full timeout,,65-58,,
4:22.0,C. Lee misses 3-pt shot from 25 ft,,65-58,,
4:20.0,Offensive rebound by Team,,65-58,,
4:14.0,Shooting foul by R. Evans (drawn by Z. Randolph),,65-58,,
4:14.0,Z. Randolph misses free throw 1 of 2,,65-58,,
4:14.0,Offensive rebound by Team,,65-58,,
4:14.0,Z. Randolph makes free throw 2 of 2,1,66-58,,
3:57.0,,,66-58,,R. Gay misses 2-pt shot from 6 ft (block by K. Koufos)
3:56.0,,,66-58,,Offensive rebound by R. Evans
3:55.0,,,66-58,,Turnover by R. Evans (lost ball)
3:40.0,C. Lee makes 2-pt shot from 2 ft (assist by K. Koufos),2,68-58,,
3:24.0,,,68-60,2,C. Landry makes 2-pt shot from 7 ft (assist by D. Collison)
3:00.0,Z. Randolph misses 2-pt shot from 12 ft,,68-60,,
3:00.0,,,68-60,,Defensive rebound by C. Landry
2:57.0,,,68-60,,Turnover by C. Landry (bad pass; steal by Z. Randolph)
2:52.0,Shooting foul by C. Landry (drawn by Z. Randolph),,68-60,,
2:52.0,Z. Randolph misses free throw 1 of 2,,68-60,,
2:52.0,Offensive rebound by Team,,68-60,,
2:52.0,Z. Randolph misses free throw 2 of 2,,68-60,,
2:51.0,,,68-60,,Defensive rebound by R. Evans
2:38.0,,,68-60,,D. Collison misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by Z. Randolph,,68-60,,
2:22.0,Z. Randolph makes 2-pt shot from 3 ft (assist by Q. Pondexter),2,70-60,,
2:12.0,,,70-60,,D. Collison misses 2-pt shot from 20 ft
2:11.0,,,70-60,,Offensive rebound by R. Evans
2:09.0,,,70-60,,R. Evans misses 2-pt shot from 2 ft
2:08.0,,,70-60,,Offensive rebound by R. Evans
2:01.0,,,70-60,,Shooting foul by Q. Pondexter (drawn by R. Gay)
2:01.0,,,70-61,1,R. Gay makes free throw 1 of 2
2:01.0,,,70-62,1,R. Gay makes free throw 2 of 2
1:51.0,,,70-62,,Personal foul by C. Landry (drawn by Z. Randolph)
1:51.0,Z. Randolph makes free throw 1 of 2,1,71-62,,
1:51.0,Z. Randolph makes free throw 2 of 2,1,72-62,,
1:38.0,,,72-62,,Shooting foul by Q. Pondexter (drawn by R. Gay)
1:38.0,,,72-62,,R. Gay misses free throw 1 of 2
1:38.0,,,72-62,,Offensive rebound by Team
1:38.0,,,72-63,1,R. Gay makes free throw 2 of 2
1:20.0,Z. Randolph misses 2-pt shot from 6 ft,,72-63,,
1:19.0,,,72-63,,Defensive rebound by R. Evans
1:14.0,,,72-63,,D. Collison misses 2-pt shot from 3 ft
1:14.0,,,72-63,,Offensive rebound by Team
1:14.0,,,72-63,,O. Casspi enters the game for R. Gay
1:05.0,,,72-63,,D. Collison misses 2-pt shot from 18 ft
1:04.0,Defensive rebound by Z. Randolph,,72-63,,
0:54.0,K. Koufos misses 2-pt shot from 10 ft,,72-63,,
0:53.0,,,72-63,,Defensive rebound by D. Collison
0:28.0,,,72-65,2,O. Casspi makes 2-pt shot from 5 ft
0:11.0,C. Lee misses 3-pt shot from 24 ft,,72-65,,
0:08.0,Offensive rebound by C. Lee,,72-65,,
0:04.0,C. Lee makes 2-pt shot from 1 ft,2,74-65,,
0:00.0,,,74-65,,D. Collison misses 3-pt shot from 32 ft
0:00.0,,,74-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,V. Carter misses 3-pt shot from 25 ft,,74-65,,
11:37.0,,,74-65,,Defensive rebound by R. Evans
11:22.0,,,74-67,2,B. McLemore makes 2-pt shot from 19 ft (assist by C. Landry)
11:02.0,J. Leuer misses 2-pt shot from 13 ft (block by R. Evans),,74-67,,
11:01.0,Offensive rebound by J. Leuer,,74-67,,
10:59.0,J. Leuer misses 2-pt shot from 13 ft,,74-67,,
10:58.0,,,74-67,,Defensive rebound by R. Evans
10:48.0,Personal foul by J. Leuer (drawn by C. Landry),,74-67,,
10:48.0,M. Conley enters the game for Z. Randolph,,74-67,,
10:48.0,M. Gasol enters the game for B. Udrih,,74-67,,
10:40.0,,,74-67,,Shooting foul by Q. Pondexter (drawn by B. McLemore)
10:40.0,,,74-68,1,B. McLemore makes free throw 1 of 2
10:40.0,T. Allen enters the game for Q. Pondexter,,74-68,,
10:40.0,,,74-69,1,B. McLemore makes free throw 2 of 2
10:24.0,J. Leuer misses 2-pt shot from 18 ft,,74-69,,
10:23.0,Offensive rebound by T. Allen,,74-69,,
10:01.0,V. Carter misses 3-pt shot from 28 ft,,74-69,,
10:00.0,,,74-69,,Defensive rebound by R. Evans
9:52.0,,,74-69,,Turnover by C. Landry (traveling)
9:34.0,M. Gasol misses 2-pt shot from 13 ft,,74-69,,
9:33.0,,,74-69,,Defensive rebound by O. Casspi
9:33.0,Personal foul by T. Allen (drawn by O. Casspi),,74-69,,
9:16.0,,,74-69,,B. McLemore misses 3-pt shot from 23 ft
9:15.0,,,74-69,,Offensive rebound by C. Landry
9:12.0,,,74-71,2,C. Landry makes 2-pt shot from 1 ft
8:53.0,,,74-71,,Personal foul by C. Landry (drawn by M. Gasol)
8:53.0,Official timeout,,74-71,,
8:45.0,J. Leuer makes 2-pt shot from 17 ft (assist by M. Conley),2,76-71,,
8:30.0,,,76-71,,Turnover by R. Sessions (bad pass; steal by J. Leuer)
8:30.0,,,76-71,,Clear path foul by R. Sessions
8:30.0,M. Conley makes clear path free throw 1 of 2,1,77-71,,
8:30.0,M. Conley misses clear path free throw 2 of 2,,77-71,,
8:30.0,Offensive rebound by Team,,77-71,,
8:15.0,V. Carter misses 3-pt shot from 24 ft,,77-71,,
8:15.0,,,77-71,,Defensive rebound by Team
8:15.0,Loose ball foul by J. Leuer (drawn by R. Evans),,77-71,,
7:57.0,,,77-71,,R. Sessions misses 2-pt shot from 11 ft
7:56.0,Defensive rebound by J. Leuer,,77-71,,
7:55.0,Turnover by J. Leuer (bad pass; steal by R. Evans),,77-71,,
7:52.0,,,77-73,2,C. Landry makes 2-pt shot at rim (assist by R. Evans)
7:24.0,,,77-73,,Personal block foul by C. Landry (drawn by M. Conley)
7:18.0,M. Conley makes 2-pt shot from 6 ft,2,79-73,,
6:57.0,,,79-73,,O. Casspi misses 2-pt shot from 2 ft
6:55.0,,,79-73,,Offensive rebound by R. Evans
6:55.0,,,79-75,2,R. Evans makes 2-pt shot at rim
6:37.0,V. Carter misses 2-pt shot from 4 ft,,79-75,,
6:36.0,,,79-75,,Defensive rebound by C. Landry
6:27.0,Personal foul by T. Allen (drawn by B. McLemore),,79-75,,
6:27.0,,,79-76,1,B. McLemore makes free throw 1 of 2
6:27.0,,,79-76,,D. Collison enters the game for R. Sessions
6:27.0,Z. Randolph enters the game for V. Carter,,79-76,,
6:27.0,C. Lee enters the game for J. Leuer,,79-76,,
6:27.0,,,79-76,,B. McLemore misses free throw 2 of 2
6:27.0,Defensive rebound by M. Gasol,,79-76,,
6:10.0,Shooting foul by C. Landry (drawn by M. Gasol),,79-76,,
6:10.0,M. Gasol makes free throw 1 of 2,1,80-76,,
6:10.0,,,80-76,,R. Gay enters the game for B. McLemore
6:10.0,,,80-76,,J. Thompson enters the game for C. Landry
6:10.0,M. Gasol makes free throw 2 of 2,1,81-76,,
5:52.0,,,81-76,,R. Evans misses 2-pt shot from 4 ft
5:51.0,Defensive rebound by Z. Randolph,,81-76,,
5:33.0,M. Gasol makes 2-pt shot from 8 ft,2,83-76,,
5:16.0,,,83-76,,Turnover by D. Collison (step out of bounds)
5:16.0,,,83-76,,Sacramento full timeout
5:16.0,,,83-76,,B. McLemore enters the game for O. Casspi
4:56.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,85-76,,
4:36.0,,,85-76,,Turnover by R. Gay (bad pass)
4:23.0,Turnover by C. Lee (bad pass; steal by D. Collison),,85-76,,
4:21.0,,,85-78,2,B. McLemore makes 2-pt shot at rim (assist by D. Collison)
3:57.0,Shooting foul by J. Thompson (drawn by M. Gasol),,85-78,,
3:57.0,M. Gasol makes free throw 1 of 2,1,86-78,,
3:57.0,M. Gasol makes free throw 2 of 2,1,87-78,,
3:39.0,,,87-78,,Offensive foul by R. Gay
3:39.0,,,87-78,,Turnover by R. Gay (offensive foul)
3:36.0,,,87-78,,Personal foul by B. McLemore (drawn by T. Allen)
3:36.0,T. Allen misses free throw 1 of 2,,87-78,,
3:36.0,Offensive rebound by Team,,87-78,,
3:36.0,T. Allen misses free throw 2 of 2,,87-78,,
3:35.0,,,87-78,,Defensive rebound by Team
3:35.0,Loose ball foul by Z. Randolph (drawn by R. Evans),,87-78,,
3:35.0,,,87-79,1,R. Evans makes free throw 1 of 2
3:35.0,,,87-79,,R. Evans misses free throw 2 of 2
3:34.0,Defensive rebound by M. Gasol,,87-79,,
3:32.0,,,87-79,,Personal take foul by B. McLemore (drawn by T. Allen)
3:32.0,T. Allen makes free throw 1 of 2,1,88-79,,
3:32.0,T. Allen makes free throw 2 of 2,1,89-79,,
3:22.0,,,89-79,,Turnover by R. Evans (lost ball; steal by T. Allen)
3:20.0,Offensive foul by T. Allen,,89-79,,
