time,Philadelphia,pts.away,score,pts.home,Brooklyn
4:43.0,,,14-22,,Turnover by S. Karasev (bad pass; steal by M. Carter-Williams)
4:42.0,,,14-22,,Loose ball foul by S. Karasev (drawn by M. Carter-Williams)
4:35.0,Shooting foul by B. Lopez (drawn by M. Carter-Williams),,14-22,,
4:35.0,M. Carter-Williams makes free throw 1 of 2,1,15-22,,
4:35.0,M. Carter-Williams misses free throw 2 of 2,,15-22,,
4:34.0,,,15-22,,Defensive rebound by J. Johnson
4:10.0,,,15-22,,B. Lopez misses 2-pt shot from 16 ft
4:08.0,Defensive rebound by M. Carter-Williams,,15-22,,
4:02.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,15-22,,
4:01.0,,,15-22,,Defensive rebound by M. Plumlee
3:55.0,,,15-22,,Shooting foul by F. Aldemir (drawn by M. Plumlee)
3:55.0,,,15-23,1,M. Plumlee makes free throw 1 of 2
3:55.0,T. Wroten enters the game for M. Carter-Williams,,15-23,,
3:55.0,J. Grant enters the game for L. Mbah a Moute,,15-23,,
3:55.0,Violation by T. Wroten (lane),,15-23,,
3:55.0,,,15-23,,M. Teletovic enters the game for B. Lopez
3:55.0,,,15-23,,M. Plumlee misses free throw 2 of 2
3:53.0,Defensive rebound by M. Thomas,,15-23,,
3:45.0,K. McDaniels makes 2-pt shot from 8 ft,2,17-23,,
3:45.0,Shooting foul by S. Karasev (drawn by K. McDaniels),,17-23,,
3:45.0,J. Sampson enters the game for F. Aldemir,,17-23,,
3:45.0,,,17-23,,A. Anderson enters the game for S. Karasev
3:45.0,K. McDaniels makes free throw 1 of 1,1,18-23,,
3:24.0,,,18-25,2,J. Johnson makes 2-pt shot from 5 ft (assist by A. Anderson)
3:07.0,J. Sampson makes 2-pt shot at rim (assist by K. McDaniels),2,20-25,,
2:52.0,,,20-25,,M. Teletovic misses 3-pt shot from 24 ft
2:51.0,Defensive rebound by K. McDaniels,,20-25,,
2:30.0,K. McDaniels makes 3-pt shot from 25 ft (assist by T. Wroten),3,23-25,,
2:18.0,Personal foul by J. Sampson (drawn by M. Plumlee),,23-25,,
2:18.0,,,23-25,,Brooklyn full timeout
2:18.0,,,23-26,1,M. Plumlee makes free throw 1 of 2
2:18.0,,,23-27,1,M. Plumlee makes free throw 2 of 2
2:04.0,K. McDaniels misses 2-pt shot from 11 ft,,23-27,,
2:03.0,,,23-27,,Defensive rebound by M. Plumlee
1:46.0,,,23-30,3,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Jack)
1:33.0,J. Sampson misses 2-pt shot from 1 ft (block by M. Teletovic),,23-30,,
1:31.0,,,23-30,,Defensive rebound by M. Teletovic
1:25.0,,,23-30,,M. Teletovic misses 3-pt shot from 24 ft
1:23.0,Defensive rebound by J. Sampson,,23-30,,
1:12.0,Offensive foul by M. Thomas,,23-30,,
1:12.0,Turnover by M. Thomas (offensive foul),,23-30,,
0:50.0,,,23-30,,A. Anderson misses 3-pt shot from 23 ft (block by T. Wroten)
0:49.0,,,23-30,,Offensive rebound by Team
0:48.0,,,23-30,,Turnover by J. Johnson (bad pass; steal by T. Wroten)
0:37.0,M. Thomas misses 2-pt shot from 4 ft,,23-30,,
0:36.0,,,23-30,,Defensive rebound by J. Johnson
0:24.0,,,23-32,2,J. Johnson makes 2-pt shot from 14 ft
0:01.0,J. Grant misses 2-pt shot from 10 ft,,23-32,,
0:00.0,Offensive rebound by Team,,23-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,23-32,,Personal foul by M. Teletovic (drawn by H. Sims)
11:29.0,T. Wroten misses 2-pt shot from 3 ft,,23-32,,
11:28.0,Offensive rebound by H. Sims,,23-32,,
11:26.0,H. Sims makes 2-pt shot from 1 ft,2,25-32,,
11:14.0,,,25-34,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Morris)
10:56.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by T. Wroten),2,27-34,,
10:40.0,,,27-36,2,A. Anderson makes 2-pt shot from 2 ft (assist by D. Morris)
10:19.0,L. Mbah a Moute makes 2-pt shot from 20 ft (assist by H. Sims),2,29-36,,
9:58.0,,,29-36,,Turnover by M. Teletovic (lost ball; steal by T. Wroten)
9:53.0,,,29-36,,Violation by M. Teletovic (def goaltending)
9:53.0,T. Wroten makes 2-pt shot from 2 ft,2,31-36,,
9:39.0,,,31-36,,M. Teletovic misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by K. McDaniels,,31-36,,
9:20.0,R. Covington misses 3-pt shot from 24 ft,,31-36,,
9:19.0,,,31-36,,Defensive rebound by Team
9:19.0,M. Carter-Williams enters the game for K. McDaniels,,31-36,,
8:55.0,,,31-36,,B. Bogdanovic misses 2-pt shot from 22 ft
8:54.0,Defensive rebound by Team,,31-36,,
8:54.0,Official timeout,,31-36,,
8:39.0,L. Mbah a Moute misses 2-pt shot from 3 ft (block by B. Lopez),,31-36,,
8:37.0,Offensive rebound by H. Sims,,31-36,,
8:35.0,H. Sims makes 2-pt shot from 6 ft,2,33-36,,
8:13.0,,,33-38,2,B. Lopez makes 2-pt shot from 5 ft
7:58.0,Turnover by R. Covington (traveling),,33-38,,
7:38.0,,,33-38,,B. Lopez misses 2-pt shot from 21 ft
7:37.0,Defensive rebound by L. Mbah a Moute,,33-38,,
7:29.0,H. Sims misses 2-pt shot from 15 ft,,33-38,,
7:28.0,,,33-38,,Defensive rebound by M. Teletovic
7:22.0,,,33-38,,B. Lopez misses 2-pt shot from 2 ft
7:21.0,Defensive rebound by R. Covington,,33-38,,
7:14.0,R. Covington misses 3-pt shot from 24 ft,,33-38,,
7:13.0,Offensive rebound by L. Mbah a Moute,,33-38,,
7:10.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,33-38,,
7:09.0,Offensive rebound by R. Covington,,33-38,,
6:59.0,T. Wroten misses 3-pt shot from 24 ft,,33-38,,
6:58.0,Offensive rebound by M. Carter-Williams,,33-38,,
6:57.0,M. Carter-Williams misses 2-pt shot from 2 ft,,33-38,,
6:56.0,Offensive rebound by M. Carter-Williams,,33-38,,
6:55.0,M. Carter-Williams misses 2-pt shot from 1 ft,,33-38,,
6:54.0,,,33-38,,Defensive rebound by D. Morris
6:46.0,,,33-40,2,D. Morris makes 2-pt shot from 19 ft
6:26.0,,,33-40,,Violation by B. Lopez (kicked ball)
6:26.0,N. Noel enters the game for H. Sims,,33-40,,
6:17.0,R. Covington makes 3-pt shot from 24 ft (assist by N. Noel),3,36-40,,
6:02.0,,,36-40,,M. Teletovic misses 2-pt shot from 2 ft (block by N. Noel)
6:00.0,Defensive rebound by N. Noel,,36-40,,
5:54.0,T. Wroten makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,38-40,,
5:49.0,,,38-40,,Brooklyn full timeout
5:49.0,,,38-40,,M. Plumlee enters the game for B. Lopez
5:49.0,,,38-40,,J. Jack enters the game for D. Morris
5:49.0,,,38-40,,J. Johnson enters the game for B. Bogdanovic
5:32.0,,,38-40,,M. Plumlee misses 2-pt shot from 2 ft (block by L. Mbah a Moute)
5:31.0,Defensive rebound by T. Wroten,,38-40,,
5:28.0,,,38-40,,Personal foul by A. Anderson (drawn by T. Wroten)
5:10.0,Turnover by L. Mbah a Moute (lost ball; steal by J. Johnson),,38-40,,
4:56.0,,,38-42,2,A. Anderson makes 2-pt shot from 18 ft (assist by M. Plumlee)
4:35.0,Turnover by L. Mbah a Moute (bad pass; steal by M. Plumlee),,38-42,,
4:29.0,,,38-42,,Turnover by M. Teletovic (lost ball; steal by R. Covington)
4:13.0,N. Noel misses 2-pt shot at rim,,38-42,,
4:11.0,,,38-42,,Defensive rebound by J. Jack
4:05.0,,,38-42,,J. Johnson misses 3-pt shot from 24 ft
4:04.0,,,38-42,,Offensive rebound by J. Jack
4:02.0,,,38-42,,J. Jack misses 2-pt shot from 5 ft
4:01.0,,,38-42,,Offensive rebound by Team
4:01.0,J. Grant enters the game for L. Mbah a Moute,,38-42,,
4:01.0,K. McDaniels enters the game for T. Wroten,,38-42,,
3:42.0,,,38-42,,J. Jack misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by N. Noel,,38-42,,
3:29.0,R. Covington misses 3-pt shot from 24 ft,,38-42,,
3:28.0,,,38-42,,Defensive rebound by M. Teletovic
3:18.0,,,38-44,2,A. Anderson makes 2-pt shot from 19 ft (assist by J. Johnson)
3:15.0,Philadelphia full timeout,,38-44,,
3:03.0,J. Grant misses 2-pt shot from 2 ft,,38-44,,
3:02.0,,,38-44,,Defensive rebound by M. Plumlee
2:40.0,,,38-44,,Turnover by J. Johnson (bad pass; steal by R. Covington)
2:33.0,Jump ball: M. Carter-Williams vs. M. Plumlee (R. Covington gains possession),,,,Jump ball: M. Carter-Williams vs. M. Plumlee (R. Covington gains possession)
2:14.0,M. Carter-Williams makes 3-pt shot from 24 ft (assist by J. Grant),3,41-44,,
1:59.0,,,41-44,,M. Teletovic misses 3-pt shot from 24 ft
1:58.0,Defensive rebound by R. Covington,,41-44,,
1:42.0,R. Covington misses 2-pt shot from 9 ft,,41-44,,
1:41.0,Offensive rebound by J. Grant,,41-44,,
1:40.0,J. Grant makes 2-pt shot from 2 ft,2,43-44,,
1:13.0,,,43-44,,J. Johnson misses 2-pt shot from 12 ft
1:11.0,,,43-44,,Offensive rebound by Team
1:07.0,Personal foul by J. Grant (drawn by M. Teletovic),,43-44,,
1:01.0,,,43-44,,A. Anderson misses 2-pt shot from 20 ft
1:00.0,Defensive rebound by N. Noel,,43-44,,
0:48.0,M. Carter-Williams misses 2-pt shot from 16 ft,,43-44,,
0:47.0,,,43-44,,Defensive rebound by A. Anderson
0:42.0,Personal foul by M. Carter-Williams (drawn by J. Jack),,43-44,,
0:42.0,,,43-45,1,J. Jack makes free throw 1 of 2
0:42.0,T. Wroten enters the game for M. Carter-Williams,,43-45,,
0:42.0,,,43-46,1,J. Jack makes free throw 2 of 2
0:35.0,T. Wroten misses 3-pt shot from 24 ft,,43-46,,
0:34.0,,,43-46,,Defensive rebound by M. Plumlee
0:09.0,,,43-46,,Turnover by Team (shot clock)
0:09.0,Philadelphia full timeout,,43-46,,
0:09.0,,,43-46,,D. Morris enters the game for M. Teletovic
0:06.0,T. Wroten misses 2-pt shot from 1 ft,,43-46,,
0:05.0,Offensive rebound by N. Noel,,43-46,,
0:04.0,N. Noel makes 2-pt shot from 1 ft,2,45-46,,
0:00.0,,,45-46,,J. Johnson misses 2-pt shot from 21 ft
0:00.0,,,45-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Shooting foul by S. Karasev (drawn by R. Covington),,45-46,,
11:44.0,R. Covington misses free throw 1 of 2,,45-46,,
11:44.0,Offensive rebound by Team,,45-46,,
11:44.0,R. Covington makes free throw 2 of 2,1,46-46,,
11:31.0,,,46-46,,Violation by M. Plumlee (kicked ball)
11:26.0,,,46-46,,J. Johnson misses 2-pt shot from 1 ft
11:25.0,Defensive rebound by L. Mbah a Moute,,46-46,,
11:05.0,L. Mbah a Moute misses 2-pt shot from 3 ft,,46-46,,
11:04.0,,,46-46,,Defensive rebound by M. Plumlee
10:46.0,,,46-48,2,B. Lopez makes 2-pt shot from 20 ft (assist by J. Johnson)
10:22.0,N. Noel misses 2-pt shot from 16 ft,,46-48,,
10:21.0,,,46-48,,Defensive rebound by J. Johnson
10:11.0,,,46-48,,B. Lopez misses 2-pt shot from 19 ft
10:10.0,Defensive rebound by R. Covington,,46-48,,
9:56.0,N. Noel misses 2-pt shot at rim,,46-48,,
9:55.0,,,46-48,,Defensive rebound by B. Lopez
9:48.0,,,46-50,2,J. Jack makes 2-pt shot from 6 ft
9:35.0,M. Carter-Williams misses 2-pt shot from 17 ft,,46-50,,
9:34.0,,,46-50,,Defensive rebound by B. Lopez
9:28.0,,,46-52,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
9:27.0,Philadelphia full timeout,,46-52,,
9:19.0,,,46-52,,Personal foul by J. Jack (drawn by M. Carter-Williams)
9:11.0,H. Sims misses 2-pt shot from 19 ft,,46-52,,
9:10.0,,,46-52,,Defensive rebound by M. Plumlee
8:51.0,,,46-52,,Shooting foul by L. Mbah a Moute (drawn by J. Johnson)
8:51.0,,,46-53,1,J. Johnson makes free throw 1 of 2
8:51.0,,,46-54,1,J. Johnson makes free throw 2 of 2
8:41.0,Turnover by L. Mbah a Moute (step out of bounds),,46-54,,
8:20.0,,,46-56,2,B. Lopez makes 2-pt shot from 19 ft (assist by S. Karasev)
7:53.0,Shooting foul by S. Karasev (drawn by M. Carter-Williams),,46-56,,
7:53.0,M. Carter-Williams misses free throw 1 of 2,,46-56,,
7:53.0,Offensive rebound by Team,,46-56,,
7:53.0,F. Aldemir enters the game for H. Sims,,46-56,,
7:53.0,,,46-56,,A. Anderson enters the game for S. Karasev
7:53.0,M. Carter-Williams makes free throw 2 of 2,1,47-56,,
7:33.0,,,47-56,,J. Jack misses 2-pt shot from 17 ft
7:31.0,Defensive rebound by N. Noel,,47-56,,
7:26.0,Turnover by M. Carter-Williams (bad pass; steal by J. Jack),,47-56,,
7:11.0,,,47-58,2,J. Johnson makes 2-pt shot from 4 ft (assist by J. Jack)
6:54.0,,,47-58,,Personal foul by M. Plumlee (drawn by M. Carter-Williams)
6:45.0,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by R. Covington),2,49-58,,
6:36.0,Personal foul by R. Covington (drawn by A. Anderson),,49-58,,
6:24.0,,,49-58,,Turnover by J. Johnson (lost ball; steal by L. Mbah a Moute)
6:21.0,Shooting foul by A. Anderson (drawn by M. Carter-Williams),,49-58,,
6:21.0,M. Carter-Williams misses free throw 1 of 2,,49-58,,
6:21.0,Offensive rebound by Team,,49-58,,
6:21.0,M. Carter-Williams makes free throw 2 of 2,1,50-58,,
6:05.0,,,50-58,,B. Lopez misses 2-pt shot from 5 ft
6:04.0,Defensive rebound by F. Aldemir,,50-58,,
5:49.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,53-58,,
5:46.0,,,53-58,,Brooklyn full timeout
5:46.0,T. Wroten enters the game for M. Carter-Williams,,53-58,,
5:46.0,M. Thomas enters the game for N. Noel,,53-58,,
5:28.0,,,53-58,,J. Johnson misses 2-pt shot from 16 ft
5:27.0,,,53-58,,Offensive rebound by M. Plumlee
5:26.0,,,53-58,,M. Plumlee misses 2-pt shot at rim
5:24.0,,,53-58,,Offensive rebound by M. Plumlee
5:23.0,,,53-60,2,M. Plumlee makes 2-pt shot at rim
4:59.0,T. Wroten misses 3-pt shot from 26 ft,,53-60,,
4:58.0,,,53-60,,Defensive rebound by B. Lopez
4:49.0,,,53-60,,A. Anderson misses 3-pt shot from 24 ft
4:48.0,,,53-60,,Offensive rebound by M. Plumlee
4:40.0,,,53-60,,Turnover by M. Plumlee (bad pass; steal by F. Aldemir)
4:31.0,F. Aldemir misses 2-pt shot from 3 ft,,53-60,,
4:30.0,,,53-60,,Defensive rebound by M. Plumlee
4:21.0,,,53-60,,Shooting foul by F. Aldemir (drawn by J. Jack)
4:21.0,,,53-61,1,J. Jack makes free throw 1 of 2
4:21.0,K. McDaniels enters the game for R. Covington,,53-61,,
4:21.0,,,53-61,,J. Jack misses free throw 2 of 2
4:20.0,Defensive rebound by M. Thomas,,53-61,,
4:05.0,Turnover by M. Thomas (lost ball; steal by M. Plumlee),,53-61,,
4:04.0,Personal foul by M. Thomas (drawn by J. Jack),,53-61,,
4:04.0,,,53-61,,B. Bogdanovic enters the game for J. Johnson
4:04.0,J. Grant enters the game for L. Mbah a Moute,,53-61,,
3:49.0,,,53-63,2,B. Lopez makes 2-pt shot from 4 ft
3:33.0,J. Grant misses 3-pt shot from 23 ft,,53-63,,
3:31.0,Offensive rebound by F. Aldemir,,53-63,,
3:24.0,Offensive foul by F. Aldemir,,53-63,,
3:24.0,Turnover by F. Aldemir (offensive foul),,53-63,,
3:09.0,Personal foul by F. Aldemir (drawn by J. Jack),,53-63,,
3:09.0,,,53-63,,J. Jack misses free throw 1 of 2
3:09.0,,,53-63,,Offensive rebound by Team
3:09.0,N. Noel enters the game for F. Aldemir,,53-63,,
3:09.0,,,53-64,1,J. Jack makes free throw 2 of 2
3:05.0,T. Wroten makes 2-pt shot from 2 ft,2,55-64,,
3:05.0,Shooting foul by J. Jack (drawn by T. Wroten),,55-64,,
3:05.0,R. Covington enters the game for M. Thomas,,55-64,,
3:05.0,T. Wroten misses free throw 1 of 1,,55-64,,
3:04.0,,,55-64,,Defensive rebound by M. Plumlee
2:51.0,,,55-66,2,B. Lopez makes 2-pt shot from 3 ft
2:51.0,,,55-66,,Shooting foul by N. Noel (drawn by B. Lopez)
2:51.0,,,55-66,,B. Lopez misses free throw 1 of 1
2:50.0,Defensive rebound by T. Wroten,,55-66,,
2:28.0,T. Wroten misses 2-pt shot from 2 ft,,55-66,,
2:26.0,,,55-66,,Defensive rebound by B. Lopez
2:20.0,,,55-68,2,B. Bogdanovic makes 2-pt shot at rim (assist by J. Jack)
2:07.0,J. Grant makes 3-pt shot from 23 ft (assist by K. McDaniels),3,58-68,,
1:47.0,,,58-68,,Turnover by B. Bogdanovic (lost ball; steal by J. Grant)
1:41.0,T. Wroten misses 2-pt shot from 2 ft,,58-68,,
1:40.0,Offensive rebound by R. Covington,,58-68,,
1:39.0,R. Covington makes 2-pt shot at rim,2,60-68,,
1:23.0,,,60-68,,Turnover by B. Lopez (lost ball; steal by R. Covington)
1:19.0,R. Covington makes 2-pt shot at rim,2,62-68,,
0:58.0,,,62-68,,Shooting foul by R. Covington (drawn by M. Plumlee)
0:58.0,,,62-68,,M. Plumlee misses free throw 1 of 2
0:58.0,,,62-68,,Offensive rebound by Team
0:58.0,,,62-68,,D. Morris enters the game for J. Jack
0:58.0,,,62-68,,J. Jordan enters the game for B. Lopez
0:58.0,,,62-69,1,M. Plumlee makes free throw 2 of 2
0:47.0,,,62-69,,Personal foul by D. Morris (drawn by T. Wroten)
0:47.0,T. Wroten makes free throw 1 of 2,1,63-69,,
0:47.0,T. Wroten misses free throw 2 of 2,,63-69,,
0:46.0,,,63-69,,Defensive rebound by J. Jordan
0:30.0,,,63-69,,M. Plumlee misses 2-pt shot at rim (block by N. Noel)
0:30.0,,,63-69,,Offensive rebound by M. Plumlee
0:29.0,,,63-71,2,M. Plumlee makes 2-pt shot at rim
0:07.0,J. Grant misses 3-pt shot from 23 ft,,63-71,,
0:06.0,Offensive rebound by J. Grant,,63-71,,
0:04.0,Shooting foul by J. Jordan (drawn by J. Grant),,63-71,,
0:04.0,J. Grant makes free throw 1 of 2,1,64-71,,
0:04.0,J. Sampson enters the game for N. Noel,,64-71,,
0:04.0,,,64-71,,M. Teletovic enters the game for M. Plumlee
0:04.0,J. Grant misses free throw 2 of 2,,64-71,,
0:04.0,,,64-71,,Defensive rebound by A. Anderson
0:01.0,,,64-71,,A. Anderson misses 3-pt shot from 35 ft
0:00.0,,,64-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,64-71,,J. Johnson misses 2-pt shot from 13 ft
11:39.0,,,64-71,,Offensive rebound by J. Jordan
11:26.0,,,64-71,,M. Teletovic misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by Team,,64-71,,
11:05.0,J. Grant misses 2-pt shot from 15 ft,,64-71,,
11:03.0,,,64-71,,Defensive rebound by D. Morris
10:44.0,Personal foul by T. Wroten (drawn by A. Anderson),,64-71,,
10:44.0,R. Covington enters the game for J. Grant,,64-71,,
10:34.0,,,64-71,,Turnover by J. Jordan (3 sec)
10:13.0,T. Wroten makes 2-pt shot at rim (assist by N. Noel),2,66-71,,
9:59.0,,,66-71,,D. Morris misses 2-pt shot from 17 ft
9:58.0,,,66-71,,Offensive rebound by A. Anderson
9:40.0,,,66-71,,J. Johnson misses 2-pt shot from 4 ft
9:38.0,,,66-71,,Offensive rebound by Team
9:23.0,,,66-74,3,M. Teletovic makes 3-pt shot from 24 ft (assist by D. Morris)
9:05.0,R. Covington makes 2-pt shot from 1 ft,2,68-74,,
8:47.0,,,68-74,,Turnover by M. Teletovic (lost ball; steal by R. Covington)
8:46.0,,,68-74,,Personal foul by M. Teletovic (drawn by R. Covington)
8:46.0,Official timeout,,68-74,,
8:34.0,N. Noel makes 2-pt shot from 6 ft,2,70-74,,
8:20.0,,,70-76,2,J. Jordan makes 2-pt shot at rim (assist by A. Anderson)
8:02.0,T. Wroten misses 2-pt shot from 2 ft,,70-76,,
8:01.0,,,70-76,,Defensive rebound by J. Jordan
7:55.0,,,70-76,,Turnover by M. Teletovic (bad pass; steal by T. Wroten)
7:52.0,M. Carter-Williams enters the game for T. Wroten,,70-76,,
7:52.0,H. Sims enters the game for N. Noel,,70-76,,
7:52.0,,,70-76,,J. Jack enters the game for D. Morris
7:44.0,H. Sims makes 2-pt shot from 17 ft (assist by M. Carter-Williams),2,72-76,,
7:28.0,,,72-76,,Shooting foul by K. McDaniels (drawn by J. Jordan)
7:28.0,,,72-77,1,J. Jordan makes free throw 1 of 2
7:28.0,,,72-77,,B. Bogdanovic enters the game for M. Teletovic
7:28.0,,,72-78,1,J. Jordan makes free throw 2 of 2
7:06.0,K. McDaniels misses 2-pt shot from 20 ft,,72-78,,
7:05.0,,,72-78,,Defensive rebound by J. Jack
6:58.0,,,72-78,,Shooting foul by H. Sims (drawn by A. Anderson)
6:58.0,,,72-79,1,A. Anderson makes free throw 1 of 2
6:58.0,,,72-79,,A. Anderson misses free throw 2 of 2
6:57.0,Defensive rebound by M. Carter-Williams,,72-79,,
6:39.0,Turnover by M. Carter-Williams (lost ball; steal by J. Jack),,72-79,,
6:35.0,,,72-79,,Turnover by J. Jack (lost ball; steal by L. Mbah a Moute)
6:25.0,H. Sims makes 2-pt shot from 19 ft (assist by K. McDaniels),2,74-79,,
6:14.0,Personal foul by M. Carter-Williams (drawn by J. Jack),,74-79,,
6:11.0,,,74-81,2,J. Jack makes 2-pt shot from 3 ft (assist by J. Jordan)
5:52.0,Shooting foul by J. Jordan (drawn by L. Mbah a Moute),,74-81,,
5:52.0,,,74-81,,Brooklyn full timeout
5:52.0,T. Wroten enters the game for K. McDaniels,,74-81,,
5:52.0,L. Mbah a Moute makes free throw 1 of 2,1,75-81,,
5:52.0,L. Mbah a Moute makes free throw 2 of 2,1,76-81,,
5:36.0,,,76-81,,Turnover by B. Bogdanovic (traveling)
5:27.0,,,76-81,,Violation by B. Bogdanovic (kicked ball)
5:27.0,N. Noel enters the game for H. Sims,,76-81,,
5:15.0,R. Covington makes 2-pt shot from 1 ft (assist by T. Wroten),2,78-81,,
4:49.0,,,78-83,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack)
4:24.0,M. Carter-Williams misses 2-pt shot from 10 ft,,78-83,,
4:23.0,,,78-83,,Defensive rebound by Team
4:23.0,Loose ball foul by N. Noel (drawn by J. Jordan),,78-83,,
4:23.0,,,78-84,1,J. Jordan makes free throw 1 of 2
4:23.0,,,78-84,,D. Morris enters the game for B. Bogdanovic
4:23.0,,,78-84,,J. Jordan misses free throw 2 of 2
4:21.0,Defensive rebound by R. Covington,,78-84,,
4:07.0,M. Carter-Williams makes 2-pt shot from 3 ft (assist by T. Wroten),2,80-84,,
3:51.0,Personal foul by M. Carter-Williams (drawn by J. Johnson),,80-84,,
3:51.0,,,80-85,1,J. Johnson makes free throw 1 of 2
3:51.0,,,80-86,1,J. Johnson makes free throw 2 of 2
