time,Charlotte,pts.away,score,pts.home,Boston
8:32.0,Defensive rebound by C. Zeller,,9-4,,
8:26.0,G. Henderson misses 2-pt shot from 5 ft,,9-4,,
8:25.0,Offensive rebound by Team,,9-4,,
8:17.0,C. Zeller makes 2-pt shot from 18 ft (assist by G. Henderson),2,11-4,,
8:03.0,,,11-4,,A. Bradley misses 2-pt shot from 18 ft
8:02.0,Defensive rebound by M. Kidd-Gilchrist,,11-4,,
7:55.0,,,11-4,,Personal foul by A. Bradley (drawn by K. Walker)
7:40.0,B. Biyombo misses 2-pt shot from 10 ft,,11-4,,
7:38.0,Offensive rebound by M. Kidd-Gilchrist,,11-4,,
7:37.0,Charlotte full timeout,,11-4,,
7:27.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Sullinger),,11-4,,
7:21.0,,,11-4,,J. Green misses 2-pt shot at rim (block by G. Henderson)
7:20.0,Defensive rebound by B. Biyombo,,11-4,,
7:04.0,M. Kidd-Gilchrist makes 2-pt shot from 7 ft (assist by G. Henderson),2,13-4,,
6:41.0,,,13-4,,J. Green misses 2-pt shot from 7 ft
6:40.0,Defensive rebound by C. Zeller,,13-4,,
6:30.0,K. Walker makes 2-pt shot from 15 ft,2,15-4,,
6:21.0,,,15-4,,Turnover by E. Turner (bad pass)
6:21.0,,,15-4,,K. Olynyk enters the game for T. Zeller
6:21.0,,,15-4,,P. Pressey enters the game for E. Turner
6:21.0,M. Williams enters the game for M. Kidd-Gilchrist,,15-4,,
6:01.0,K. Walker misses 2-pt shot from 13 ft,,15-4,,
5:59.0,,,15-4,,Defensive rebound by P. Pressey
5:56.0,,,15-4,,Offensive charge foul by A. Bradley
5:56.0,,,15-4,,Turnover by A. Bradley (offensive foul)
5:56.0,,,15-4,,M. Smart enters the game for A. Bradley
5:48.0,,,15-4,,Personal foul by K. Olynyk (drawn by G. Henderson)
5:39.0,K. Walker misses 2-pt shot from 17 ft,,15-4,,
5:38.0,,,15-4,,Defensive rebound by J. Green
5:32.0,,,15-6,2,J. Green makes 2-pt shot from 8 ft
5:19.0,,,15-6,,Shooting block foul by K. Olynyk (drawn by G. Henderson)
5:19.0,G. Henderson makes free throw 1 of 2,1,16-6,,
5:19.0,G. Henderson misses free throw 2 of 2,,16-6,,
5:19.0,,,16-6,,Defensive rebound by K. Olynyk
5:03.0,,,16-6,,J. Green misses 2-pt shot from 21 ft
5:02.0,Defensive rebound by C. Zeller,,16-6,,
4:44.0,G. Henderson misses 2-pt shot from 11 ft,,16-6,,
4:43.0,,,16-6,,Defensive rebound by J. Sullinger
4:25.0,,,16-6,,P. Pressey misses 2-pt shot from 20 ft
4:24.0,Defensive rebound by B. Biyombo,,16-6,,
4:06.0,M. Williams misses 2-pt shot from 22 ft,,16-6,,
4:05.0,,,16-6,,Defensive rebound by P. Pressey
3:58.0,,,16-8,2,K. Olynyk makes 2-pt shot from 1 ft (assist by P. Pressey)
3:58.0,,,16-8,,Shooting foul by C. Zeller (drawn by K. Olynyk)
3:58.0,,,16-8,,B. Bass enters the game for J. Sullinger
3:58.0,J. Maxiell enters the game for B. Biyombo,,16-8,,
3:58.0,G. Neal enters the game for G. Henderson,,16-8,,
3:58.0,,,16-9,1,K. Olynyk makes free throw 1 of 1
3:39.0,K. Walker misses 2-pt shot from 13 ft,,16-9,,
3:38.0,,,16-9,,Defensive rebound by Team
3:38.0,Loose ball foul by J. Maxiell (drawn by B. Bass),,16-9,,
3:24.0,,,16-11,2,B. Bass makes 2-pt shot from 16 ft (assist by M. Smart)
2:58.0,G. Neal misses 3-pt shot from 27 ft,,16-11,,
2:58.0,,,16-11,,Defensive rebound by B. Bass
2:52.0,,,16-11,,P. Pressey misses 2-pt shot at rim
2:50.0,Defensive rebound by C. Zeller,,16-11,,
2:39.0,C. Zeller makes 2-pt shot from 19 ft (assist by K. Walker),2,18-11,,
2:24.0,,,18-11,,K. Olynyk misses 2-pt shot from 16 ft
2:23.0,Defensive rebound by M. Williams,,18-11,,
2:08.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,20-11,,
2:05.0,,,20-11,,Boston full timeout
2:05.0,P. Hairston enters the game for C. Zeller,,20-11,,
1:54.0,,,20-11,,J. Green misses 2-pt shot from 6 ft (block by P. Hairston)
1:53.0,Defensive rebound by M. Williams,,20-11,,
1:47.0,K. Walker makes 2-pt shot from 17 ft,2,22-11,,
1:25.0,Def 3 sec tech foul by J. Maxiell,,22-11,,
1:25.0,,,22-12,1,J. Green makes technical free throw
1:12.0,,,22-14,2,P. Pressey makes 2-pt shot at rim
0:55.0,P. Hairston misses 3-pt shot from 27 ft,,22-14,,
0:53.0,,,22-14,,Defensive rebound by M. Smart
0:42.0,,,22-16,2,B. Bass makes 2-pt shot from 16 ft
0:30.0,Shooting foul by B. Bass (drawn by K. Walker),,22-16,,
0:30.0,K. Walker makes free throw 1 of 2,1,23-16,,
0:30.0,K. Walker makes free throw 2 of 2,1,24-16,,
0:12.0,,,24-16,,J. Green misses 2-pt shot from 19 ft
0:11.0,Defensive rebound by M. Williams,,24-16,,
0:01.0,K. Walker misses 2-pt shot from 13 ft,,24-16,,
0:00.0,Offensive rebound by Team,,24-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,24-18,2,K. Olynyk makes 2-pt shot at rim (assist by B. Bass)
11:21.0,B. Roberts misses 2-pt shot from 20 ft,,24-18,,
11:20.0,,,24-18,,Defensive rebound by K. Olynyk
10:58.0,,,24-18,,K. Olynyk misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by P. Hairston,,24-18,,
10:46.0,G. Neal misses 2-pt shot from 20 ft,,24-18,,
10:45.0,,,24-18,,Defensive rebound by J. Crowder
10:36.0,,,24-18,,J. Crowder misses 3-pt shot from 24 ft
10:35.0,Defensive rebound by Team,,24-18,,
10:20.0,G. Neal misses 2-pt shot from 4 ft,,24-18,,
10:19.0,Offensive rebound by J. Maxiell,,24-18,,
10:08.0,P. Hairston makes 2-pt shot from 9 ft (assist by B. Roberts),2,26-18,,
10:08.0,Shooting foul by J. Crowder (drawn by P. Hairston),,26-18,,
10:08.0,P. Hairston makes free throw 1 of 1,1,27-18,,
10:00.0,,,27-18,,K. Olynyk misses 3-pt shot from 27 ft
9:58.0,Defensive rebound by B. Roberts,,27-18,,
9:46.0,G. Neal misses 2-pt shot from 16 ft,,27-18,,
9:45.0,,,27-18,,Defensive rebound by K. Olynyk
9:39.0,,,27-21,3,M. Smart makes 3-pt shot from 25 ft
9:25.0,P. Hairston makes 3-pt shot from 25 ft (assist by G. Neal),3,30-21,,
9:06.0,,,30-21,,Shooting foul by J. Maxiell (drawn by B. Bass)
9:06.0,,,30-21,,B. Bass misses free throw 1 of 2
9:06.0,,,30-21,,Offensive rebound by Team
9:06.0,,,30-21,,J. Sullinger enters the game for K. Olynyk
9:06.0,,,30-21,,B. Bass misses free throw 2 of 2
9:05.0,Defensive rebound by P. Hairston,,30-21,,
8:47.0,M. Williams makes 2-pt shot from 22 ft (assist by G. Neal),2,32-21,,
8:33.0,,,32-21,,B. Bass misses 2-pt shot from 11 ft (block by J. Maxiell)
8:33.0,Defensive rebound by M. Williams,,32-21,,
8:33.0,,,32-21,,Personal block foul by B. Bass (drawn by M. Williams)
8:33.0,Official timeout,,32-21,,
8:33.0,B. Biyombo enters the game for J. Maxiell,,32-21,,
8:18.0,G. Neal makes 2-pt shot from 10 ft (assist by M. Williams),2,34-21,,
8:07.0,,,34-21,,B. Bass misses 2-pt shot from 18 ft
8:05.0,,,34-21,,Offensive rebound by Team
8:05.0,,,34-21,,E. Turner enters the game for M. Smart
8:01.0,,,34-21,,E. Turner misses 2-pt shot from 15 ft
8:00.0,Defensive rebound by B. Roberts,,34-21,,
7:46.0,G. Neal misses 3-pt shot from 26 ft (block by B. Bass),,34-21,,
7:44.0,,,34-21,,Defensive rebound by J. Crowder
7:38.0,,,34-21,,Shooting foul by G. Neal (drawn by E. Turner)
7:38.0,,,34-22,1,E. Turner makes free throw 1 of 2
7:38.0,,,34-22,,T. Zeller enters the game for B. Bass
7:38.0,G. Henderson enters the game for P. Hairston,,34-22,,
7:38.0,,,34-22,,E. Turner misses free throw 2 of 2
7:37.0,Defensive rebound by M. Williams,,34-22,,
7:16.0,B. Biyombo makes 2-pt shot at rim (assist by G. Neal),2,36-22,,
7:02.0,,,36-22,,J. Crowder misses 2-pt shot from 8 ft
7:01.0,,,36-22,,Offensive rebound by J. Sullinger
7:01.0,,,36-24,2,J. Sullinger makes 2-pt shot at rim
6:38.0,M. Williams misses 3-pt shot from 23 ft,,36-24,,
6:37.0,,,36-24,,Defensive rebound by J. Sullinger
6:23.0,,,36-26,2,E. Turner makes 2-pt shot from 12 ft (assist by T. Zeller)
6:05.0,G. Neal misses 2-pt shot from 22 ft,,36-26,,
6:04.0,,,36-26,,Defensive rebound by A. Bradley
5:48.0,,,36-28,2,T. Zeller makes 2-pt shot from 6 ft (assist by E. Turner)
5:42.0,Charlotte full timeout,,36-28,,
5:42.0,M. Kidd-Gilchrist enters the game for M. Williams,,36-28,,
5:42.0,K. Walker enters the game for G. Neal,,36-28,,
5:42.0,C. Zeller enters the game for B. Roberts,,36-28,,
5:42.0,,,36-28,,J. Green enters the game for A. Bradley
5:30.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,36-28,,
5:29.0,Offensive rebound by C. Zeller,,36-28,,
5:29.0,C. Zeller makes 2-pt shot at rim,2,38-28,,
5:10.0,,,38-28,,E. Turner misses 2-pt shot from 13 ft
5:09.0,Defensive rebound by B. Biyombo,,38-28,,
4:56.0,Shooting foul by T. Zeller (drawn by C. Zeller),,38-28,,
4:56.0,C. Zeller makes free throw 1 of 2,1,39-28,,
4:56.0,C. Zeller makes free throw 2 of 2,1,40-28,,
4:43.0,,,40-30,2,J. Crowder makes 2-pt shot from 22 ft (assist by T. Zeller)
4:28.0,Turnover by C. Zeller (bad pass),,40-30,,
4:03.0,,,40-30,,J. Green misses 2-pt shot from 21 ft
4:02.0,Defensive rebound by K. Walker,,40-30,,
3:47.0,G. Henderson makes 2-pt shot from 8 ft,2,42-30,,
3:26.0,,,42-30,,Turnover by J. Sullinger (3 sec)
3:11.0,C. Zeller makes 2-pt shot from 20 ft (assist by G. Henderson),2,44-30,,
3:03.0,,,44-30,,Boston full timeout
3:03.0,M. Williams enters the game for M. Kidd-Gilchrist,,44-30,,
3:03.0,,,44-30,,J. Young enters the game for J. Crowder
2:54.0,,,44-32,2,J. Sullinger makes 2-pt shot from 7 ft (assist by E. Turner)
2:38.0,C. Zeller makes 2-pt shot at rim (assist by G. Henderson),2,46-32,,
2:25.0,,,46-32,,Shooting foul by B. Biyombo (drawn by J. Sullinger)
2:25.0,,,46-33,1,J. Sullinger makes free throw 1 of 2
2:25.0,,,46-34,1,J. Sullinger makes free throw 2 of 2
2:12.0,Turnover by G. Henderson (bad pass; steal by E. Turner),,46-34,,
2:12.0,Loose ball foul by C. Zeller (drawn by E. Turner),,46-34,,
2:12.0,P. Hairston enters the game for C. Zeller,,46-34,,
2:00.0,,,46-34,,Shooting foul by G. Henderson (drawn by J. Sullinger)
2:00.0,,,46-35,1,J. Sullinger makes free throw 1 of 2
2:00.0,,,46-36,1,J. Sullinger makes free throw 2 of 2
1:48.0,K. Walker makes 2-pt shot from 7 ft,2,48-36,,
1:35.0,,,48-36,,J. Green misses 2-pt shot from 8 ft
1:34.0,Defensive rebound by K. Walker,,48-36,,
1:34.0,,,48-36,,Personal foul by J. Sullinger (drawn by K. Walker)
1:34.0,,,48-36,,B. Bass enters the game for T. Zeller
1:22.0,K. Walker misses 2-pt shot at rim,,48-36,,
1:21.0,Offensive rebound by B. Biyombo,,48-36,,
1:18.0,B. Biyombo misses 2-pt shot at rim (block by J. Sullinger),,48-36,,
1:16.0,Offensive rebound by M. Williams,,48-36,,
1:06.0,P. Hairston misses 3-pt shot from 24 ft,,48-36,,
1:05.0,Offensive rebound by K. Walker,,48-36,,
0:56.0,G. Henderson makes 2-pt shot at rim,2,50-36,,
0:40.0,,,50-36,,B. Bass misses 2-pt shot from 17 ft
0:38.0,,,50-36,,Offensive rebound by J. Young
0:38.0,,,50-36,,J. Young misses 2-pt shot at rim
0:37.0,Defensive rebound by G. Henderson,,50-36,,
0:19.0,K. Walker misses 2-pt shot from 1 ft (block by J. Sullinger),,50-36,,
0:18.0,,,50-36,,Defensive rebound by E. Turner
0:00.0,,,50-36,,J. Sullinger misses 2-pt shot from 7 ft
0:00.0,,,50-36,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,50-36,,Turnover by E. Turner (bad pass; steal by B. Biyombo)
11:30.0,K. Walker misses 2-pt shot from 18 ft,,50-36,,
11:29.0,Offensive rebound by B. Biyombo,,50-36,,
11:28.0,,,50-36,,Violation by E. Turner (kicked ball)
11:19.0,Shooting foul by E. Turner (drawn by G. Henderson),,50-36,,
11:19.0,G. Henderson makes free throw 1 of 2,1,51-36,,
11:19.0,G. Henderson makes free throw 2 of 2,1,52-36,,
11:03.0,,,52-36,,A. Bradley misses 2-pt shot from 14 ft
11:01.0,Defensive rebound by B. Biyombo,,52-36,,
10:51.0,M. Kidd-Gilchrist misses 2-pt shot from 15 ft,,52-36,,
10:50.0,,,52-36,,Defensive rebound by T. Zeller
10:43.0,,,52-36,,T. Zeller misses 2-pt shot from 18 ft
10:42.0,,,52-36,,Offensive rebound by J. Sullinger
10:40.0,,,52-36,,J. Sullinger misses 2-pt shot from 1 ft
10:39.0,Defensive rebound by C. Zeller,,52-36,,
10:31.0,C. Zeller makes 2-pt shot at rim (assist by M. Kidd-Gilchrist),2,54-36,,
10:15.0,,,54-38,2,A. Bradley makes 2-pt shot from 19 ft (assist by E. Turner)
10:00.0,,,54-38,,Personal foul by E. Turner (drawn by G. Henderson)
9:46.0,G. Henderson misses 2-pt shot from 17 ft,,54-38,,
9:45.0,,,54-38,,Defensive rebound by A. Bradley
9:36.0,,,54-38,,Turnover by A. Bradley (bad pass; steal by G. Henderson)
9:29.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker),2,56-38,,
9:10.0,,,56-40,2,A. Bradley makes 2-pt shot at rim (assist by E. Turner)
8:52.0,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker),2,58-40,,
8:34.0,,,58-40,,T. Zeller misses 2-pt shot from 8 ft
8:33.0,Defensive rebound by B. Biyombo,,58-40,,
8:22.0,K. Walker misses 3-pt shot from 26 ft,,58-40,,
8:21.0,,,58-40,,Defensive rebound by T. Zeller
8:09.0,,,58-42,2,E. Turner makes 2-pt shot at rim
7:55.0,Shooting foul by E. Turner (drawn by M. Kidd-Gilchrist),,58-42,,
7:55.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,59-42,,
7:55.0,,,59-42,,G. Wallace enters the game for A. Bradley
7:55.0,,,59-42,,B. Wright enters the game for T. Zeller
7:55.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,60-42,,
7:48.0,Personal foul by M. Kidd-Gilchrist (drawn by J. Green),,60-42,,
7:37.0,,,60-42,,G. Wallace misses 2-pt shot from 3 ft (block by G. Henderson)
7:35.0,,,60-42,,Offensive rebound by J. Sullinger
7:34.0,,,60-44,2,J. Sullinger makes 2-pt shot at rim
7:13.0,Shooting foul by E. Turner (drawn by K. Walker),,60-44,,
7:13.0,K. Walker makes free throw 1 of 2,1,61-44,,
7:13.0,K. Walker makes free throw 2 of 2,1,62-44,,
6:56.0,,,62-44,,J. Green misses 2-pt shot from 4 ft (block by B. Biyombo)
6:55.0,,,62-44,,Offensive rebound by Team
6:50.0,,,62-46,2,J. Sullinger makes 2-pt shot from 14 ft
6:34.0,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller),3,65-46,,
6:14.0,,,65-46,,E. Turner misses 2-pt shot from 18 ft
6:13.0,,,65-46,,Offensive rebound by B. Wright
5:53.0,,,65-46,,J. Green misses 2-pt shot from 15 ft
5:52.0,Defensive rebound by B. Biyombo,,65-46,,
5:44.0,G. Henderson misses 3-pt shot from 24 ft,,65-46,,
5:40.0,Offensive rebound by B. Biyombo,,65-46,,
5:40.0,B. Biyombo misses 2-pt shot at rim,,65-46,,
5:39.0,,,65-46,,Defensive rebound by E. Turner
5:35.0,,,65-46,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Wright)
5:35.0,,,65-46,,Boston full timeout
5:35.0,,,65-46,,J. Crowder enters the game for E. Turner
5:35.0,,,65-46,,M. Smart enters the game for J. Green
5:35.0,M. Williams enters the game for M. Kidd-Gilchrist,,65-46,,
5:35.0,,,65-46,,B. Wright misses free throw 1 of 2
5:35.0,,,65-46,,Offensive rebound by Team
5:35.0,,,65-47,1,B. Wright makes free throw 2 of 2
5:11.0,K. Walker makes 3-pt shot from 26 ft,3,68-47,,
4:55.0,,,68-50,3,M. Smart makes 3-pt shot from 25 ft (assist by B. Wright)
4:27.0,G. Henderson makes 2-pt shot from 1 ft,2,70-50,,
4:11.0,Personal foul by G. Henderson (drawn by J. Crowder),,70-50,,
4:11.0,J. Maxiell enters the game for B. Biyombo,,70-50,,
4:11.0,G. Neal enters the game for G. Henderson,,70-50,,
4:11.0,,,70-50,,J. Young enters the game for G. Wallace
4:11.0,,,70-50,,B. Bass enters the game for J. Sullinger
3:58.0,,,70-50,,Shooting foul by K. Walker (drawn by M. Smart)
3:58.0,,,70-50,,M. Smart misses free throw 1 of 3
3:58.0,,,70-50,,Offensive rebound by Team
3:58.0,,,70-51,1,M. Smart makes free throw 2 of 3
3:58.0,,,70-52,1,M. Smart makes free throw 3 of 3
3:43.0,Turnover by C. Zeller (lost ball; steal by M. Smart),,70-52,,
3:37.0,,,70-54,2,J. Crowder makes 2-pt shot at rim (assist by M. Smart)
3:13.0,K. Walker misses 3-pt shot from 24 ft,,70-54,,
3:12.0,Offensive rebound by M. Williams,,70-54,,
3:12.0,M. Williams makes 2-pt shot at rim,2,72-54,,
2:58.0,,,72-54,,J. Crowder misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by J. Maxiell,,72-54,,
2:44.0,K. Walker makes 2-pt shot at rim,2,74-54,,
2:34.0,,,74-54,,M. Smart misses 2-pt shot from 12 ft
2:33.0,Defensive rebound by K. Walker,,74-54,,
2:30.0,Charlotte full timeout,,74-54,,
2:12.0,Turnover by C. Zeller (bad pass),,74-54,,
1:55.0,,,74-57,3,J. Crowder makes 3-pt shot from 25 ft (assist by B. Bass)
1:31.0,Shooting foul by M. Smart (drawn by K. Walker),,74-57,,
1:31.0,K. Walker makes free throw 1 of 2,1,75-57,,
1:31.0,,,75-57,,P. Pressey enters the game for M. Smart
1:31.0,K. Walker makes free throw 2 of 2,1,76-57,,
1:12.0,,,76-57,,Turnover by B. Bass (lost ball)
1:12.0,P. Hairston enters the game for C. Zeller,,76-57,,
0:51.0,G. Neal misses 2-pt shot at rim (block by B. Wright),,76-57,,
0:49.0,Offensive rebound by G. Neal,,76-57,,
0:47.0,M. Williams makes 3-pt shot from 25 ft (assist by G. Neal),3,79-57,,
0:40.0,,,79-60,3,J. Young makes 3-pt shot from 24 ft (assist by B. Bass)
0:28.0,G. Neal misses 3-pt shot from 23 ft,,79-60,,
0:27.0,,,79-60,,Defensive rebound by P. Pressey
0:23.0,,,79-60,,P. Pressey misses 2-pt shot from 2 ft (block by P. Hairston)
0:23.0,,,79-60,,Offensive rebound by Team
0:23.0,,,79-60,,K. Olynyk enters the game for B. Bass
0:04.0,,,79-62,2,J. Young makes 2-pt shot from 18 ft (assist by P. Pressey)
0:01.0,K. Walker misses 3-pt shot from 39 ft,,79-62,,
0:00.0,Offensive rebound by Team,,79-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Turnover by G. Neal (bad pass; steal by J. Crowder),,79-62,,
11:38.0,,,79-64,2,P. Pressey makes 2-pt shot at rim
11:20.0,Offensive charge foul by J. Maxiell,,79-64,,
11:20.0,Turnover by J. Maxiell (offensive foul),,79-64,,
11:04.0,,,79-64,,P. Pressey misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by G. Neal,,79-64,,
10:54.0,P. Hairston makes 2-pt shot from 6 ft,2,81-64,,
10:37.0,,,81-64,,J. Crowder misses 3-pt shot from 24 ft
10:37.0,,,81-64,,Offensive rebound by B. Wright
10:32.0,,,81-67,3,J. Young makes 3-pt shot from 25 ft (assist by B. Wright)
10:17.0,Turnover by B. Roberts (lost ball; steal by P. Pressey),,81-67,,
10:14.0,,,81-67,,P. Pressey misses 2-pt shot at rim (block by M. Williams)
10:13.0,,,81-67,,Offensive rebound by J. Crowder
10:12.0,,,81-67,,Shooting foul by G. Neal (drawn by J. Crowder)
10:12.0,,,81-67,,J. Crowder misses free throw 1 of 2
10:12.0,,,81-67,,Offensive rebound by Team
10:12.0,,,81-67,,B. Bass enters the game for B. Wright
10:12.0,G. Henderson enters the game for G. Neal,,81-67,,
10:12.0,,,81-68,1,J. Crowder makes free throw 2 of 2
9:47.0,B. Roberts makes 3-pt shot from 25 ft (assist by G. Henderson),3,84-68,,
9:33.0,,,84-68,,J. Young misses 3-pt shot from 24 ft
9:31.0,,,84-68,,Offensive rebound by J. Crowder
9:30.0,,,84-70,2,J. Crowder makes 2-pt shot at rim
9:11.0,Turnover by M. Williams (lost ball; steal by K. Olynyk),,84-70,,
9:11.0,Loose ball foul by M. Williams (drawn by K. Olynyk),,84-70,,
9:11.0,K. Walker enters the game for B. Roberts,,84-70,,
9:00.0,,,84-70,,P. Pressey misses 2-pt shot from 3 ft
8:59.0,Defensive rebound by Team,,84-70,,
8:59.0,,,84-70,,Personal foul by K. Olynyk (drawn by M. Williams)
8:59.0,Official timeout,,84-70,,
8:59.0,M. Kidd-Gilchrist enters the game for M. Williams,,84-70,,
8:59.0,C. Zeller enters the game for P. Hairston,,84-70,,
8:51.0,Offensive foul by C. Zeller,,84-70,,
8:51.0,Turnover by C. Zeller (offensive foul),,84-70,,
8:38.0,,,84-70,,K. Olynyk misses 2-pt shot from 13 ft
8:37.0,Defensive rebound by M. Kidd-Gilchrist,,84-70,,
8:24.0,K. Walker makes 2-pt shot from 7 ft,2,86-70,,
8:06.0,,,86-70,,Shooting foul by J. Maxiell (drawn by B. Bass)
8:06.0,,,86-71,1,B. Bass makes free throw 1 of 2
8:06.0,,,86-71,,J. Sullinger enters the game for K. Olynyk
8:06.0,B. Biyombo enters the game for J. Maxiell,,86-71,,
8:06.0,,,86-72,1,B. Bass makes free throw 2 of 2
7:54.0,,,86-72,,Personal foul by B. Bass (drawn by B. Biyombo)
7:47.0,K. Walker makes 2-pt shot from 18 ft,2,88-72,,
7:35.0,,,88-75,3,J. Crowder makes 3-pt shot from 25 ft (assist by B. Bass)
7:25.0,,,88-75,,Personal foul by P. Pressey (drawn by K. Walker)
7:25.0,,,88-75,,M. Smart enters the game for P. Pressey
7:25.0,Turnover by B. Biyombo (offensive foul),,88-75,,
7:25.0,Offensive foul by B. Biyombo,,88-75,,
7:09.0,,,88-77,2,J. Sullinger makes 2-pt shot from 9 ft (assist by M. Smart)
6:43.0,K. Walker misses 3-pt shot from 26 ft,,88-77,,
6:42.0,,,88-77,,Defensive rebound by Team
6:31.0,,,88-77,,B. Bass misses 2-pt shot at rim (block by B. Biyombo)
6:30.0,Defensive rebound by M. Kidd-Gilchrist,,88-77,,
6:25.0,Offensive foul by M. Kidd-Gilchrist,,88-77,,
6:25.0,Turnover by M. Kidd-Gilchrist (offensive foul),,88-77,,
6:25.0,G. Neal enters the game for M. Kidd-Gilchrist,,88-77,,
6:20.0,Violation by K. Walker (kicked ball),,88-77,,
6:03.0,,,88-77,,J. Sullinger misses 2-pt shot from 16 ft
6:02.0,,,88-77,,Offensive rebound by B. Bass
6:02.0,,,88-79,2,B. Bass makes 2-pt shot at rim
5:33.0,K. Walker misses 2-pt shot from 4 ft (block by B. Bass),,88-79,,
5:32.0,,,88-79,,Defensive rebound by J. Crowder
5:27.0,,,88-82,3,J. Young makes 3-pt shot from 24 ft (assist by J. Crowder)
5:27.0,Charlotte full timeout,,88-82,,
5:27.0,M. Williams enters the game for B. Biyombo,,88-82,,
5:14.0,,,88-82,,Personal foul by M. Smart (drawn by K. Walker)
5:00.0,G. Neal misses 2-pt shot from 20 ft,,88-82,,
4:58.0,Offensive rebound by M. Williams,,88-82,,
4:43.0,M. Williams makes 2-pt shot at rim (assist by K. Walker),2,90-82,,
4:43.0,,,90-82,,Shooting block foul by J. Sullinger (drawn by M. Williams)
4:43.0,M. Williams makes free throw 1 of 1,1,91-82,,
4:26.0,,,91-84,2,J. Young makes 2-pt shot from 11 ft (assist by M. Smart)
4:07.0,M. Williams misses 3-pt shot from 25 ft,,91-84,,
4:06.0,Offensive rebound by G. Henderson,,91-84,,
4:02.0,G. Neal makes 3-pt shot from 24 ft (assist by G. Henderson),3,94-84,,
3:41.0,,,94-84,,Shooting foul by K. Walker (drawn by M. Smart)
3:41.0,,,94-84,,M. Smart misses free throw 1 of 2
3:41.0,,,94-84,,Offensive rebound by Team
3:41.0,,,94-85,1,M. Smart makes free throw 2 of 2
3:18.0,K. Walker makes 2-pt shot at rim,2,96-85,,
3:18.0,,,96-85,,Boston full timeout
