time,Utah,pts.away,score,pts.home,Phoenix
1:28.0,,,18-10,,P. Tucker enters the game for E. Bledsoe
1:08.0,G. Hayward misses 2-pt shot from 6 ft,,18-10,,
1:07.0,,,18-10,,Defensive rebound by P. Tucker
0:44.0,,,18-10,,Turnover by B. Wright (lost ball; steal by T. Booker)
0:40.0,Turnover by T. Booker (lost ball; steal by M. Morris),,18-10,,
0:39.0,,,18-12,2,T. Warren makes 2-pt shot at rim (assist by M. Morris)
0:23.0,Turnover by G. Hayward (lost ball; steal by P. Tucker),,18-12,,
0:20.0,,,18-12,,Shooting foul by T. Booker (drawn by P. Tucker)
0:20.0,,,18-12,,P. Tucker misses free throw 1 of 2
0:20.0,,,18-12,,Offensive rebound by Team
0:20.0,,,18-13,1,P. Tucker makes free throw 2 of 2
0:03.0,T. Booker misses 3-pt shot from 25 ft,,18-13,,
0:03.0,,,18-13,,Defensive rebound by M. Morris
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by J. Ingles (bad pass; steal by B. Wright),,18-13,,
11:44.0,,,18-15,2,A. Goodwin makes 2-pt shot at rim (assist by B. Wright)
11:32.0,Shooting foul by T. Warren (drawn by D. Favors),,18-15,,
11:32.0,D. Favors makes free throw 1 of 2,1,19-15,,
11:32.0,,,19-15,,J. McNeal enters the game for T. Warren
11:32.0,D. Favors makes free throw 2 of 2,1,20-15,,
11:12.0,,,20-15,,Turnover by M. Morris (bad pass; steal by D. Favors)
11:10.0,Turnover by D. Favors (bad pass),,20-15,,
11:01.0,Personal foul by E. Millsap (drawn by A. Goodwin),,20-15,,
10:56.0,,,20-15,,Shooting foul by D. Favors (drawn by B. Wright)
10:56.0,,,20-16,1,B. Wright makes free throw 1 of 2
10:56.0,,,20-17,1,B. Wright makes free throw 2 of 2
10:38.0,D. Favors misses 2-pt shot from 3 ft,,20-17,,
10:36.0,Offensive rebound by E. Millsap,,20-17,,
10:36.0,E. Millsap makes 2-pt shot from 1 ft,2,22-17,,
10:23.0,Shooting block foul by J. Ingles (drawn by P. Tucker),,22-17,,
10:23.0,,,22-18,1,P. Tucker makes free throw 1 of 2
10:23.0,D. Exum enters the game for B. Cotton,,22-18,,
10:23.0,,,22-19,1,P. Tucker makes free throw 2 of 2
10:07.0,,,22-19,,Personal foul by B. Wright (drawn by D. Exum)
9:53.0,E. Millsap misses 3-pt shot from 24 ft,,22-19,,
9:53.0,Offensive rebound by D. Favors,,22-19,,
9:53.0,D. Favors misses 2-pt shot from 1 ft,,22-19,,
9:50.0,,,22-19,,Defensive rebound by P. Tucker
9:32.0,,,22-19,,J. McNeal misses 2-pt shot from 21 ft
9:31.0,Defensive rebound by E. Millsap,,22-19,,
9:09.0,Turnover by D. Favors (lost ball; steal by B. Wright),,22-19,,
9:06.0,,,22-19,,Shooting foul by D. Exum (drawn by A. Goodwin)
9:06.0,,,22-20,1,A. Goodwin makes free throw 1 of 2
9:06.0,R. Hood enters the game for J. Ingles,,22-20,,
9:06.0,,,22-20,,M. Morris enters the game for B. Wright
9:06.0,,,22-20,,A. Goodwin misses free throw 2 of 2
9:05.0,Defensive rebound by T. Booker,,22-20,,
8:54.0,R. Hood makes 2-pt shot from 8 ft,2,24-20,,
8:37.0,Personal foul by R. Hood (drawn by M. Morris),,24-20,,
8:37.0,Official timeout,,24-20,,
8:37.0,,,24-21,1,M. Morris makes free throw 1 of 2
8:37.0,,,24-22,1,M. Morris makes free throw 2 of 2
8:22.0,,,24-22,,Personal foul by P. Tucker (drawn by T. Booker)
8:13.0,D. Exum misses 2-pt shot from 3 ft,,24-22,,
8:12.0,Offensive rebound by D. Favors,,24-22,,
8:11.0,D. Favors makes 2-pt shot from 2 ft,2,26-22,,
7:57.0,Personal foul by E. Millsap (drawn by M. Morris),,26-22,,
7:57.0,,,26-23,1,M. Morris makes free throw 1 of 2
7:57.0,,,26-24,1,M. Morris makes free throw 2 of 2
7:47.0,Turnover by D. Exum (bad pass; steal by M. Morris),,26-24,,
7:45.0,,,26-24,,Turnover by J. McNeal (bad pass; steal by E. Millsap)
7:24.0,D. Exum misses 2-pt shot from 21 ft,,26-24,,
7:23.0,,,26-24,,Defensive rebound by M. Morris
7:04.0,,,26-26,2,M. Morris makes 2-pt shot at rim (assist by M. Morris)
6:35.0,D. Exum makes 3-pt shot from 22 ft (assist by E. Millsap),3,29-26,,
6:23.0,,,29-26,,Shooting foul by D. Exum (drawn by A. Goodwin)
6:23.0,,,29-27,1,A. Goodwin makes free throw 1 of 3
6:23.0,,,29-28,1,A. Goodwin makes free throw 2 of 3
6:23.0,G. Hayward enters the game for T. Booker,,29-28,,
6:23.0,R. Gobert enters the game for E. Millsap,,29-28,,
6:23.0,,,29-28,,E. Bledsoe enters the game for J. McNeal
6:23.0,,,29-29,1,A. Goodwin makes free throw 3 of 3
6:14.0,,,29-29,,Personal foul by A. Goodwin (drawn by D. Exum)
6:14.0,,,29-29,,G. Green enters the game for A. Goodwin
5:58.0,R. Hood misses 3-pt shot from 25 ft,,29-29,,
5:57.0,,,29-29,,Defensive rebound by M. Morris
5:44.0,,,29-31,2,G. Green makes 2-pt shot from 1 ft
5:36.0,Utah full timeout,,29-31,,
5:30.0,Shooting foul by P. Tucker (drawn by D. Favors),,29-31,,
5:30.0,D. Favors makes free throw 1 of 2,1,30-31,,
5:30.0,D. Favors makes free throw 2 of 2,1,31-31,,
5:08.0,,,31-31,,G. Green misses 2-pt shot from 18 ft
5:07.0,Defensive rebound by D. Favors,,31-31,,
4:48.0,R. Hood makes 2-pt shot from 22 ft,2,33-31,,
4:29.0,,,33-33,2,G. Green makes 2-pt shot from 16 ft
4:29.0,,,33-33,,Shooting foul by R. Hood (drawn by G. Green)
4:29.0,T. Booker enters the game for D. Favors,,33-33,,
4:29.0,,,33-34,1,G. Green makes free throw 1 of 1
4:16.0,,,33-34,,Personal foul by P. Tucker (drawn by R. Gobert)
4:16.0,R. Gobert misses free throw 1 of 2,,33-34,,
4:16.0,Offensive rebound by Team,,33-34,,
4:16.0,,,33-34,,B. Wright enters the game for P. Tucker
4:16.0,R. Gobert misses free throw 2 of 2,,33-34,,
4:16.0,,,33-34,,Defensive rebound by M. Morris
4:08.0,,,33-34,,E. Bledsoe misses 2-pt shot from 19 ft
4:07.0,Defensive rebound by T. Booker,,33-34,,
3:44.0,G. Hayward misses 2-pt shot from 22 ft,,33-34,,
3:43.0,,,33-34,,Defensive rebound by M. Morris
3:34.0,,,33-34,,M. Morris misses 2-pt shot from 14 ft
3:33.0,Defensive rebound by R. Gobert,,33-34,,
3:22.0,R. Gobert misses 2-pt shot from 2 ft,,33-34,,
3:21.0,,,33-34,,Defensive rebound by M. Morris
3:15.0,,,33-37,3,G. Green makes 3-pt shot from 24 ft
2:50.0,Turnover by R. Gobert (3 sec),,33-37,,
2:50.0,,,33-37,,Phoenix full timeout
2:37.0,,,33-37,,G. Green misses 2-pt shot from 18 ft
2:36.0,Defensive rebound by T. Booker,,33-37,,
2:13.0,D. Exum makes 2-pt shot at rim (assist by T. Booker),2,35-37,,
1:46.0,,,35-39,2,B. Wright makes 2-pt shot from 3 ft
1:28.0,R. Hood makes 2-pt shot from 15 ft,2,37-39,,
1:16.0,,,37-41,2,G. Green makes 2-pt shot from 8 ft
0:56.0,Turnover by G. Hayward (lost ball; steal by M. Morris),,37-41,,
0:51.0,,,37-43,2,E. Bledsoe makes 2-pt shot from 1 ft
0:51.0,B. Cotton enters the game for R. Hood,,37-43,,
0:51.0,J. Ingles enters the game for D. Exum,,37-43,,
0:32.0,G. Hayward misses 3-pt shot from 24 ft,,37-43,,
0:31.0,Offensive rebound by T. Booker,,37-43,,
0:28.0,T. Booker misses 2-pt shot from 3 ft (block by B. Wright),,37-43,,
0:26.0,,,37-43,,Defensive rebound by M. Morris
0:04.0,,,37-46,3,M. Morris makes 3-pt shot from 25 ft (assist by E. Bledsoe)
0:04.0,,,37-46,,Shooting foul by T. Booker (drawn by M. Morris)
0:04.0,R. Hood enters the game for B. Cotton,,37-46,,
0:04.0,D. Favors enters the game for T. Booker,,37-46,,
0:04.0,,,37-47,1,M. Morris makes free throw 1 of 1
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hayward),2,39-47,,
11:31.0,,,39-47,,Shooting foul by R. Hood (drawn by P. Tucker)
11:31.0,,,39-48,1,P. Tucker makes free throw 1 of 2
11:31.0,C. Johnson enters the game for R. Hood,,39-48,,
11:31.0,,,39-48,,P. Tucker misses free throw 2 of 2
11:30.0,Defensive rebound by R. Gobert,,39-48,,
11:16.0,G. Hayward misses 3-pt shot from 24 ft,,39-48,,
11:15.0,,,39-48,,Defensive rebound by B. Wright
11:02.0,,,39-48,,Offensive foul by M. Morris
11:02.0,,,39-48,,Turnover by M. Morris (offensive foul)
10:43.0,D. Favors misses 2-pt shot from 7 ft,,39-48,,
10:42.0,,,39-48,,Defensive rebound by M. Morris
10:23.0,,,39-50,2,E. Bledsoe makes 2-pt shot from 2 ft
10:18.0,Offensive foul by R. Gobert,,39-50,,
10:18.0,Turnover by R. Gobert (offensive foul),,39-50,,
10:07.0,,,39-50,,M. Morris misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by R. Gobert,,39-50,,
9:51.0,G. Hayward misses 3-pt shot from 25 ft,,39-50,,
9:50.0,,,39-50,,Defensive rebound by P. Tucker
9:44.0,,,39-52,2,E. Bledsoe makes 2-pt shot from 18 ft
9:29.0,G. Hayward makes 2-pt shot from 2 ft (assist by D. Favors),2,41-52,,
9:17.0,,,41-54,2,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe)
8:57.0,Turnover by R. Gobert (lost ball; steal by P. Tucker),,41-54,,
8:53.0,,,41-54,,E. Bledsoe misses 2-pt shot at rim
8:52.0,,,41-54,,Offensive rebound by P. Tucker
8:52.0,,,41-54,,P. Tucker misses 2-pt shot from 1 ft
8:49.0,Defensive rebound by R. Gobert,,41-54,,
8:44.0,Shooting foul by M. Morris (drawn by D. Favors),,41-54,,
8:44.0,D. Favors makes free throw 1 of 2,1,42-54,,
8:44.0,D. Favors makes free throw 2 of 2,1,43-54,,
8:25.0,,,43-54,,M. Morris misses 2-pt shot from 19 ft
8:25.0,,,43-54,,Offensive rebound by Team
8:25.0,Loose ball foul by C. Johnson (drawn by P. Tucker),,43-54,,
8:24.0,Personal foul by C. Johnson (drawn by P. Tucker),,43-54,,
8:18.0,,,43-54,,Turnover by M. Morris (bad pass; steal by C. Johnson)
8:13.0,G. Hayward misses 2-pt shot at rim,,43-54,,
8:12.0,Offensive rebound by G. Hayward,,43-54,,
8:08.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,45-54,,
7:55.0,,,45-54,,Turnover by M. Morris (bad pass; steal by G. Hayward)
7:55.0,,,45-54,,Personal take foul by M. Morris (drawn by G. Hayward)
7:43.0,G. Hayward misses 2-pt shot from 2 ft (block by B. Wright),,45-54,,
7:42.0,Offensive rebound by G. Hayward,,45-54,,
7:39.0,G. Hayward makes 2-pt shot from 11 ft,2,47-54,,
7:16.0,,,47-56,2,B. Wright makes 2-pt shot from 8 ft (assist by E. Bledsoe)
6:51.0,Shooting foul by B. Wright (drawn by R. Gobert),,47-56,,
6:51.0,R. Gobert makes free throw 1 of 2,1,48-56,,
6:51.0,,,48-56,,T. Warren enters the game for M. Morris
6:51.0,R. Gobert makes free throw 2 of 2,1,49-56,,
6:41.0,,,49-56,,E. Bledsoe misses 2-pt shot from 20 ft
6:41.0,Defensive rebound by R. Gobert,,49-56,,
6:24.0,R. Gobert misses 2-pt shot from 3 ft (block by B. Wright),,49-56,,
6:23.0,Offensive rebound by R. Gobert,,49-56,,
6:16.0,D. Favors misses 2-pt shot from 9 ft,,49-56,,
6:16.0,,,49-56,,Defensive rebound by Team
6:16.0,Loose ball foul by C. Johnson (drawn by B. Wright),,49-56,,
6:16.0,J. Ingles enters the game for D. Exum,,49-56,,
6:16.0,E. Millsap enters the game for C. Johnson,,49-56,,
6:02.0,,,49-56,,Shooting foul by E. Millsap (drawn by E. Bledsoe)
6:02.0,,,49-57,1,E. Bledsoe makes free throw 1 of 3
6:02.0,,,49-58,1,E. Bledsoe makes free throw 2 of 3
6:02.0,,,49-59,1,E. Bledsoe makes free throw 3 of 3
5:47.0,E. Millsap misses 2-pt shot from 1 ft,,49-59,,
5:46.0,Offensive rebound by E. Millsap,,49-59,,
5:46.0,E. Millsap makes 2-pt shot from 1 ft,2,51-59,,
5:31.0,,,51-59,,T. Warren misses 2-pt shot from 4 ft
5:29.0,Defensive rebound by E. Millsap,,51-59,,
5:22.0,,,51-59,,Personal foul by E. Bledsoe (drawn by R. Gobert)
5:22.0,,,51-59,,Phoenix full timeout
5:22.0,B. Cotton enters the game for E. Millsap,,51-59,,
5:09.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,53-59,,
4:50.0,,,53-59,,B. Wright misses 2-pt shot at rim
4:49.0,Defensive rebound by G. Hayward,,53-59,,
4:42.0,J. Ingles makes 3-pt shot from 22 ft (assist by G. Hayward),3,56-59,,
4:25.0,,,56-59,,P. Tucker misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by B. Cotton,,56-59,,
4:13.0,Shooting foul by T. Warren (drawn by R. Gobert),,56-59,,
4:13.0,R. Gobert makes free throw 1 of 2,1,57-59,,
4:13.0,,,57-59,,G. Green enters the game for M. Morris
4:13.0,R. Gobert makes free throw 2 of 2,1,58-59,,
3:52.0,,,58-61,2,G. Green makes 2-pt shot from 9 ft
3:35.0,B. Cotton makes 3-pt shot from 24 ft (assist by D. Favors),3,61-61,,
3:17.0,,,61-61,,Turnover by G. Green (traveling)
3:17.0,Utah full timeout,,61-61,,
3:17.0,,,61-61,,M. Morris enters the game for P. Tucker
3:17.0,,,61-61,,J. McNeal enters the game for E. Bledsoe
3:17.0,T. Booker enters the game for D. Favors,,61-61,,
2:53.0,J. Ingles misses 2-pt shot from 9 ft,,61-61,,
2:52.0,,,61-61,,Defensive rebound by Team
2:34.0,,,61-63,2,B. Wright makes 2-pt shot from 9 ft (assist by J. McNeal)
2:20.0,Turnover by B. Cotton (bad pass; steal by B. Wright),,61-63,,
2:11.0,,,61-63,,Turnover by J. McNeal (bad pass; steal by G. Hayward)
2:11.0,,,61-63,,Loose ball foul by G. Green (drawn by G. Hayward)
2:11.0,G. Hayward makes free throw 1 of 2,1,62-63,,
2:11.0,G. Hayward makes free throw 2 of 2,1,63-63,,
1:50.0,,,63-63,,M. Morris misses 2-pt shot from 6 ft
1:49.0,Defensive rebound by R. Gobert,,63-63,,
1:43.0,B. Cotton misses 2-pt shot from 7 ft (block by J. McNeal),,63-63,,
1:42.0,,,63-63,,Defensive rebound by J. McNeal
1:34.0,,,63-65,2,G. Green makes 2-pt shot from 4 ft
1:34.0,,,63-65,,Shooting foul by G. Hayward (drawn by G. Green)
1:34.0,R. Hood enters the game for G. Hayward,,63-65,,
1:34.0,,,63-65,,G. Green misses free throw 1 of 1
1:33.0,Defensive rebound by R. Gobert,,63-65,,
1:12.0,J. Ingles makes 3-pt shot from 25 ft (assist by R. Gobert),3,66-65,,
0:59.0,,,66-65,,Turnover by M. Morris (lost ball; steal by T. Booker)
0:53.0,J. Ingles misses 3-pt shot from 25 ft,,66-65,,
0:51.0,,,66-65,,Defensive rebound by Team
0:34.0,,,66-65,,Shooting foul by T. Booker (drawn by B. Wright)
0:34.0,,,66-65,,B. Wright misses free throw 1 of 2
0:34.0,,,66-65,,Offensive rebound by Team
0:34.0,,,66-65,,B. Wright misses free throw 2 of 2
0:34.0,Defensive rebound by R. Gobert,,66-65,,
0:18.0,R. Hood makes 2-pt shot from 18 ft,2,68-65,,
0:03.0,,,68-65,,J. McNeal misses 2-pt shot from 17 ft
0:01.0,,,68-65,,Offensive rebound by T. Warren
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,68-65,,Turnover by M. Morris (bad pass; steal by J. Ingles)
11:26.0,,,68-65,,Personal foul by J. McNeal (drawn by R. Hood)
11:14.0,Turnover by D. Favors (bad pass; steal by A. Goodwin),,68-65,,
11:00.0,,,68-65,,G. Green misses 2-pt shot from 17 ft
10:59.0,Defensive rebound by D. Favors,,68-65,,
10:52.0,B. Cotton misses 2-pt shot from 19 ft,,68-65,,
10:51.0,Offensive rebound by T. Booker,,68-65,,
10:46.0,Shooting foul by J. McNeal (drawn by J. Ingles),,68-65,,
10:46.0,J. Ingles makes free throw 1 of 2,1,69-65,,
10:46.0,D. Exum enters the game for B. Cotton,,69-65,,
10:46.0,,,69-65,,M. Morris enters the game for B. Wright
10:46.0,J. Ingles makes free throw 2 of 2,1,70-65,,
10:30.0,,,70-65,,Turnover by A. Goodwin (traveling)
10:15.0,R. Hood misses 2-pt shot from 22 ft,,70-65,,
10:14.0,,,70-65,,Defensive rebound by Team
10:14.0,Loose ball foul by T. Booker (drawn by G. Green),,70-65,,
10:14.0,,,70-65,,E. Bledsoe enters the game for J. McNeal
10:14.0,G. Hayward enters the game for T. Booker,,70-65,,
9:58.0,,,70-68,3,G. Green makes 3-pt shot from 24 ft
9:36.0,D. Favors misses 2-pt shot from 6 ft,,70-68,,
9:34.0,,,70-68,,Defensive rebound by M. Morris
9:17.0,,,70-68,,M. Morris misses 2-pt shot from 18 ft
9:16.0,Defensive rebound by G. Hayward,,70-68,,
9:07.0,Shooting foul by M. Morris (drawn by G. Hayward),,70-68,,
9:07.0,G. Hayward makes free throw 1 of 2,1,71-68,,
9:07.0,G. Hayward makes free throw 2 of 2,1,72-68,,
9:00.0,,,72-68,,Shooting foul by D. Exum (drawn by E. Bledsoe)
9:00.0,,,72-69,1,E. Bledsoe makes free throw 1 of 2
9:00.0,T. Booker enters the game for J. Ingles,,72-69,,
9:00.0,,,72-70,1,E. Bledsoe makes free throw 2 of 2
8:47.0,G. Hayward makes 2-pt shot at rim (assist by R. Hood),2,74-70,,
8:30.0,Personal foul by D. Exum (drawn by M. Morris),,74-70,,
8:30.0,Official timeout,,74-70,,
8:18.0,,,74-72,2,G. Green makes 2-pt shot from 17 ft
7:57.0,D. Exum misses 3-pt shot from 24 ft,,74-72,,
7:56.0,,,74-72,,Defensive rebound by M. Morris
7:50.0,,,74-72,,G. Green misses 3-pt shot from 23 ft
7:48.0,,,74-72,,Offensive rebound by G. Green
7:47.0,,,74-74,2,G. Green makes 2-pt shot at rim
7:25.0,Shooting foul by M. Morris (drawn by T. Booker),,74-74,,
7:25.0,T. Booker misses free throw 1 of 2,,74-74,,
7:25.0,Offensive rebound by Team,,74-74,,
7:25.0,,,74-74,,P. Tucker enters the game for A. Goodwin
7:25.0,R. Gobert enters the game for D. Favors,,74-74,,
7:25.0,T. Booker makes free throw 2 of 2,1,75-74,,
7:08.0,,,75-74,,Turnover by M. Morris (bad pass)
6:55.0,T. Booker misses 3-pt shot from 22 ft,,75-74,,
6:54.0,,,75-74,,Defensive rebound by P. Tucker
6:46.0,,,75-74,,G. Green misses 3-pt shot from 26 ft
6:45.0,,,75-74,,Offensive rebound by P. Tucker
6:42.0,,,75-77,3,G. Green makes 3-pt shot from 23 ft (assist by P. Tucker)
6:39.0,Utah full timeout,,75-77,,
6:39.0,D. Favors enters the game for R. Hood,,75-77,,
6:39.0,E. Millsap enters the game for T. Booker,,75-77,,
6:24.0,Shooting foul by E. Bledsoe (drawn by G. Hayward),,75-77,,
6:24.0,G. Hayward makes free throw 1 of 2,1,76-77,,
6:24.0,G. Hayward misses free throw 2 of 2,,76-77,,
6:23.0,,,76-77,,Defensive rebound by P. Tucker
6:05.0,,,76-80,3,P. Tucker makes 3-pt shot from 23 ft (assist by G. Green)
5:34.0,D. Favors misses 2-pt shot from 14 ft,,76-80,,
5:33.0,Offensive rebound by R. Gobert,,76-80,,
5:24.0,E. Millsap misses 3-pt shot from 25 ft,,76-80,,
5:23.0,,,76-80,,Defensive rebound by M. Morris
5:15.0,,,76-80,,M. Morris misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by E. Millsap,,76-80,,
5:06.0,R. Gobert misses 2-pt shot from 4 ft,,76-80,,
5:05.0,,,76-80,,Defensive rebound by M. Morris
5:00.0,,,76-80,,E. Bledsoe misses 2-pt shot from 13 ft
4:58.0,Defensive rebound by R. Gobert,,76-80,,
4:42.0,G. Hayward makes 3-pt shot from 23 ft (assist by D. Exum),3,79-80,,
4:24.0,,,79-80,,Offensive foul by M. Morris
4:24.0,,,79-80,,Turnover by M. Morris (offensive foul)
4:24.0,R. Hood enters the game for E. Millsap,,79-80,,
4:09.0,R. Hood misses 3-pt shot from 24 ft,,79-80,,
4:08.0,,,79-80,,Defensive rebound by P. Tucker
3:58.0,,,79-82,2,E. Bledsoe makes 2-pt shot from 2 ft
3:37.0,D. Favors misses 2-pt shot from 1 ft (block by M. Morris),,79-82,,
3:35.0,,,79-82,,Defensive rebound by P. Tucker
3:27.0,,,79-82,,Turnover by G. Green (lost ball; steal by R. Gobert)
3:22.0,G. Hayward makes 2-pt shot from 1 ft (assist by D. Exum),2,81-82,,
3:01.0,,,81-84,2,M. Morris makes 2-pt shot from 2 ft (assist by E. Bledsoe)
2:39.0,G. Hayward makes 2-pt shot from 1 ft (assist by D. Favors),2,83-84,,
2:35.0,,,83-84,,Phoenix full timeout
2:12.0,,,83-84,,M. Morris misses 2-pt shot from 6 ft
2:11.0,Defensive rebound by Team,,83-84,,
1:55.0,D. Favors misses 2-pt shot from 2 ft,,83-84,,
1:54.0,,,83-84,,Defensive rebound by Team
1:37.0,,,83-84,,G. Green misses 2-pt shot from 22 ft
1:37.0,,,83-84,,Offensive rebound by G. Green
1:35.0,,,83-84,,G. Green misses 2-pt shot from 2 ft
1:35.0,,,83-84,,Offensive rebound by Team
1:35.0,Violation by R. Gobert (kicked ball),,83-84,,
1:21.0,,,83-86,2,E. Bledsoe makes 2-pt shot at rim
1:05.0,D. Favors makes 2-pt shot at rim (assist by R. Gobert),2,85-86,,
0:49.0,,,85-86,,M. Morris misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by D. Exum,,85-86,,
0:44.0,Turnover by D. Exum (lost ball; steal by E. Bledsoe),,85-86,,
0:41.0,,,85-86,,Phoenix full timeout
0:35.0,,,85-86,,E. Bledsoe misses 2-pt shot from 19 ft
0:34.0,Defensive rebound by R. Hood,,85-86,,
0:19.0,G. Hayward misses 2-pt shot from 14 ft,,85-86,,
0:18.0,,,85-86,,Defensive rebound by Team
0:18.0,,,85-86,,Phoenix full timeout
