time,Phoenix,pts.away,score,pts.home,Memphis
6:51.0,,,4-10,,Defensive rebound by M. Gasol
6:40.0,,,4-12,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley)
6:15.0,Turnover by P. Tucker (lost ball; steal by C. Lee),,4-12,,
6:15.0,Personal take foul by G. Dragic (drawn by C. Lee),,4-12,,
5:58.0,,,4-14,2,M. Conley makes 2-pt shot from 10 ft
5:58.0,Phoenix full timeout,,4-14,,
5:49.0,E. Bledsoe misses 2-pt shot from 2 ft (block by Z. Randolph),,4-14,,
5:48.0,,,4-14,,Defensive rebound by Z. Randolph
5:27.0,,,4-14,,M. Gasol misses 2-pt shot from 12 ft
5:26.0,Defensive rebound by M. Morris,,4-14,,
5:18.0,P. Tucker misses 2-pt shot from 21 ft,,4-14,,
5:16.0,,,4-14,,Defensive rebound by Z. Randolph
4:57.0,,,4-14,,M. Gasol misses 2-pt shot from 18 ft
4:56.0,Defensive rebound by P. Tucker,,4-14,,
4:50.0,A. Len misses 2-pt shot from 12 ft,,4-14,,
4:48.0,,,4-14,,Defensive rebound by M. Conley
4:43.0,,,4-14,,Turnover by C. Lee (bad pass; steal by P. Tucker)
4:42.0,,,4-14,,Personal take foul by Z. Randolph (drawn by P. Tucker)
4:42.0,M. Morris enters the game for P. Tucker,,4-14,,
4:42.0,I. Thomas enters the game for E. Bledsoe,,4-14,,
4:42.0,,,4-14,,B. Udrih enters the game for M. Conley
4:26.0,M. Morris makes 2-pt shot from 17 ft,2,6-14,,
4:14.0,,,6-16,2,M. Gasol makes 2-pt shot from 1 ft (assist by B. Udrih)
4:09.0,Turnover by I. Thomas (bad pass),,6-16,,
3:55.0,,,6-18,2,T. Allen makes 2-pt shot from 18 ft (assist by B. Udrih)
3:39.0,I. Thomas makes 3-pt shot from 25 ft (assist by M. Morris),3,9-18,,
3:26.0,,,9-18,,Offensive charge foul by Z. Randolph
3:26.0,,,9-18,,Turnover by Z. Randolph (offensive foul)
3:26.0,M. Plumlee enters the game for A. Len,,9-18,,
3:12.0,M. Morris misses 2-pt shot from 18 ft,,9-18,,
3:12.0,,,9-18,,Defensive rebound by B. Udrih
3:01.0,,,9-18,,M. Gasol misses 2-pt shot from 6 ft
3:00.0,Defensive rebound by M. Plumlee,,9-18,,
2:54.0,G. Dragic makes 2-pt shot from 1 ft (assist by M. Morris),2,11-18,,
2:47.0,,,11-18,,Memphis full timeout
2:47.0,,,11-18,,J. Leuer enters the game for T. Allen
2:47.0,,,11-18,,V. Carter enters the game for Z. Randolph
2:38.0,,,11-18,,V. Carter misses 2-pt shot from 10 ft
2:36.0,Defensive rebound by M. Morris,,11-18,,
2:33.0,G. Dragic makes 2-pt shot from 2 ft (assist by M. Morris),2,13-18,,
2:19.0,,,13-18,,C. Lee misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by G. Dragic,,13-18,,
2:10.0,M. Morris misses 3-pt shot from 24 ft,,13-18,,
2:10.0,,,13-18,,Defensive rebound by J. Leuer
2:00.0,,,13-20,2,M. Gasol makes 2-pt shot from 2 ft (assist by J. Leuer)
1:45.0,M. Morris makes 2-pt shot from 9 ft,2,15-20,,
1:24.0,,,15-20,,C. Lee misses 2-pt shot from 8 ft
1:23.0,Defensive rebound by M. Plumlee,,15-20,,
1:17.0,G. Dragic misses 3-pt shot from 25 ft,,15-20,,
1:15.0,,,15-20,,Defensive rebound by J. Leuer
1:00.0,,,15-20,,V. Carter misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by M. Plumlee,,15-20,,
0:42.0,I. Thomas misses 3-pt shot from 25 ft,,15-20,,
0:41.0,,,15-20,,Defensive rebound by J. Leuer
0:33.0,,,15-20,,Turnover by B. Udrih (bad pass)
0:33.0,B. Wright enters the game for M. Morris,,15-20,,
0:33.0,G. Green enters the game for G. Dragic,,15-20,,
0:33.0,,,15-20,,K. Koufos enters the game for M. Gasol
0:15.0,Turnover by B. Wright (traveling),,15-20,,
0:03.0,,,15-22,2,B. Udrih makes 2-pt shot from 2 ft
0:02.0,Turnover by M. Plumlee (bad pass; steal by B. Udrih),,15-22,,
0:00.0,,,15-22,,B. Udrih misses 3-pt shot from 23 ft
0:00.0,,,15-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,M. Morris makes 2-pt shot from 16 ft,2,17-22,,
11:21.0,,,17-24,2,B. Udrih makes 2-pt shot from 19 ft
11:04.0,Shooting foul by K. Koufos (drawn by M. Plumlee),,17-24,,
11:04.0,M. Plumlee misses free throw 1 of 2,,17-24,,
11:04.0,Offensive rebound by Team,,17-24,,
11:04.0,M. Plumlee makes free throw 2 of 2,1,18-24,,
10:48.0,,,18-24,,V. Carter misses 3-pt shot from 24 ft
10:48.0,Defensive rebound by G. Green,,18-24,,
10:27.0,G. Green misses 2-pt shot from 14 ft,,18-24,,
10:26.0,,,18-24,,Defensive rebound by J. Leuer
10:17.0,,,18-24,,Shooting foul by B. Wright (drawn by J. Leuer)
10:17.0,,,18-24,,J. Leuer misses free throw 1 of 2
10:17.0,,,18-24,,Offensive rebound by Team
10:17.0,E. Bledsoe enters the game for M. Plumlee,,18-24,,
10:17.0,,,18-25,1,J. Leuer makes free throw 2 of 2
10:00.0,B. Wright makes 2-pt shot from 1 ft (assist by G. Green),2,20-25,,
9:59.0,Violation by Team (jump ball),,20-25,,
9:40.0,,,20-25,,V. Carter misses 2-pt shot from 7 ft
9:39.0,Defensive rebound by M. Morris,,20-25,,
9:38.0,,,20-25,,Personal take foul by N. Calathes (drawn by I. Thomas)
9:32.0,I. Thomas misses 3-pt shot from 24 ft,,20-25,,
9:32.0,,,20-25,,Defensive rebound by J. Leuer
9:12.0,,,20-25,,Turnover by J. Leuer (bad pass; steal by G. Green)
9:04.0,G. Green misses 3-pt shot from 24 ft,,20-25,,
9:04.0,,,20-25,,Defensive rebound by J. Leuer
8:53.0,,,20-25,,K. Koufos misses 2-pt shot from 6 ft
8:51.0,Defensive rebound by B. Wright,,20-25,,
8:45.0,G. Green makes 2-pt shot from 11 ft,2,22-25,,
8:31.0,,,22-25,,N. Calathes misses 2-pt shot from 2 ft
8:29.0,,,22-25,,Offensive rebound by B. Udrih
8:25.0,,,22-25,,B. Udrih misses 2-pt shot from 11 ft (block by B. Wright)
8:24.0,Defensive rebound by M. Morris,,22-25,,
8:23.0,Shooting foul by J. Leuer (drawn by B. Wright),,22-25,,
8:23.0,Phoenix full timeout,,22-25,,
8:23.0,,,22-25,,M. Conley enters the game for B. Udrih
8:23.0,B. Wright makes free throw 1 of 2,1,23-25,,
8:23.0,B. Wright misses free throw 2 of 2,,23-25,,
8:22.0,,,23-25,,Defensive rebound by K. Koufos
8:08.0,,,23-27,2,N. Calathes makes 2-pt shot from 4 ft
7:53.0,M. Morris misses 2-pt shot from 18 ft,,23-27,,
7:51.0,,,23-27,,Defensive rebound by Team
7:29.0,,,23-30,3,N. Calathes makes 3-pt shot from 25 ft
7:22.0,Turnover by I. Thomas (bad pass; steal by N. Calathes),,23-30,,
7:19.0,,,23-32,2,N. Calathes makes 2-pt shot from 2 ft
7:07.0,G. Green misses 3-pt shot from 25 ft,,23-32,,
7:07.0,,,23-32,,Defensive rebound by M. Conley
6:58.0,,,23-34,2,J. Leuer makes 2-pt shot from 20 ft (assist by V. Carter)
6:56.0,Phoenix full timeout,,23-34,,
6:56.0,A. Len enters the game for M. Morris,,23-34,,
6:56.0,M. Morris enters the game for B. Wright,,23-34,,
6:41.0,Shooting foul by J. Leuer (drawn by M. Morris),,23-34,,
6:41.0,M. Morris makes free throw 1 of 2,1,24-34,,
6:41.0,M. Morris makes free throw 2 of 2,1,25-34,,
6:35.0,,,25-34,,Offensive foul by V. Carter
6:35.0,,,25-34,,Turnover by V. Carter (offensive foul)
6:22.0,G. Green makes 3-pt shot from 23 ft (assist by I. Thomas),3,28-34,,
6:06.0,,,28-34,,Shooting foul by G. Green (drawn by K. Koufos)
6:06.0,,,28-34,,K. Koufos misses free throw 1 of 2
6:06.0,,,28-34,,Offensive rebound by Team
6:06.0,G. Dragic enters the game for I. Thomas,,28-34,,
6:06.0,,,28-34,,T. Allen enters the game for V. Carter
6:06.0,,,28-34,,Z. Randolph enters the game for J. Leuer
6:06.0,,,28-35,1,K. Koufos makes free throw 2 of 2
5:54.0,E. Bledsoe makes 2-pt shot from 20 ft,2,30-35,,
5:29.0,,,30-37,2,K. Koufos makes 2-pt shot from 7 ft (assist by M. Conley)
5:16.0,E. Bledsoe misses 2-pt shot from 5 ft,,30-37,,
5:15.0,,,30-37,,Defensive rebound by Z. Randolph
4:59.0,,,30-40,3,M. Conley makes 3-pt shot from 25 ft (assist by N. Calathes)
4:49.0,,,30-40,,Personal foul by N. Calathes (drawn by G. Dragic)
4:49.0,,,30-40,,M. Gasol enters the game for K. Koufos
4:49.0,G. Dragic misses free throw 1 of 2,,30-40,,
4:49.0,Offensive rebound by Team,,30-40,,
4:49.0,G. Dragic makes free throw 2 of 2,1,31-40,,
4:37.0,,,31-40,,Z. Randolph misses 2-pt shot from 1 ft (block by M. Morris)
4:37.0,,,31-40,,Offensive rebound by Team
4:37.0,,,31-40,,Turnover by Z. Randolph (traveling)
4:26.0,M. Morris misses 3-pt shot from 25 ft,,31-40,,
4:25.0,,,31-40,,Defensive rebound by M. Conley
4:06.0,,,31-40,,N. Calathes misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by A. Len,,31-40,,
3:57.0,G. Green misses 3-pt shot from 22 ft,,31-40,,
3:56.0,,,31-40,,Defensive rebound by T. Allen
3:51.0,,,31-40,,Memphis full timeout
3:51.0,,,31-40,,C. Lee enters the game for N. Calathes
3:51.0,I. Thomas enters the game for G. Green,,31-40,,
3:40.0,,,31-40,,M. Gasol misses 2-pt shot from 17 ft
3:40.0,,,31-40,,Offensive rebound by Team
3:40.0,Loose ball foul by M. Morris (drawn by Z. Randolph),,31-40,,
3:29.0,,,31-40,,T. Allen misses 2-pt shot from 3 ft (block by E. Bledsoe)
3:29.0,Defensive rebound by M. Morris,,31-40,,
3:25.0,G. Dragic misses 2-pt shot from 2 ft (block by M. Gasol),,31-40,,
3:25.0,Offensive rebound by Team,,31-40,,
3:15.0,Turnover by A. Len (3 sec),,31-40,,
2:59.0,,,31-40,,Shooting foul by A. Len (drawn by Z. Randolph)
2:59.0,,,31-41,1,Z. Randolph makes free throw 1 of 2
2:59.0,,,31-42,1,Z. Randolph makes free throw 2 of 2
2:44.0,A. Len misses 2-pt shot from 19 ft,,31-42,,
2:42.0,,,31-42,,Defensive rebound by Team
2:23.0,,,31-44,2,Z. Randolph makes 2-pt shot from 15 ft
2:11.0,E. Bledsoe makes 2-pt shot from 1 ft,2,33-44,,
2:02.0,,,33-47,3,C. Lee makes 3-pt shot from 22 ft (assist by M. Conley)
1:40.0,A. Len makes 2-pt shot at rim (assist by G. Dragic),2,35-47,,
1:27.0,,,35-47,,Turnover by M. Conley (bad pass; steal by I. Thomas)
1:24.0,Shooting foul by T. Allen (drawn by I. Thomas),,35-47,,
1:24.0,I. Thomas makes free throw 1 of 2,1,36-47,,
1:24.0,I. Thomas makes free throw 2 of 2,1,37-47,,
1:13.0,,,37-47,,M. Conley misses 2-pt shot from 2 ft
1:12.0,Defensive rebound by A. Len,,37-47,,
1:03.0,I. Thomas makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,39-47,,
0:47.0,Violation by A. Len (def goaltending),,39-47,,
0:47.0,,,39-49,2,M. Conley makes 2-pt shot from 2 ft (assist by Z. Randolph)
0:30.0,M. Morris makes 2-pt shot from 15 ft,2,41-49,,
0:11.0,,,41-49,,M. Conley misses 2-pt shot from 8 ft (block by G. Dragic)
0:09.0,,,41-49,,Offensive rebound by Z. Randolph
0:09.0,,,41-51,2,Z. Randolph makes 2-pt shot from 1 ft
0:09.0,Turnover by A. Len (bad pass),,41-51,,
0:09.0,,,41-51,,Memphis full timeout
0:09.0,M. Plumlee enters the game for M. Morris,,41-51,,
0:09.0,,,41-51,,V. Carter enters the game for T. Allen
0:02.0,,,41-51,,M. Gasol misses 2-pt shot from 3 ft
0:02.0,Defensive rebound by M. Plumlee,,41-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,E. Bledsoe misses 2-pt shot from 9 ft,,41-51,,
11:31.0,,,41-51,,Defensive rebound by M. Gasol
11:15.0,Personal foul by M. Morris (drawn by Z. Randolph),,41-51,,
11:03.0,,,41-54,3,C. Lee makes 3-pt shot from 22 ft (assist by M. Conley)
10:51.0,,,41-54,,Personal foul by Z. Randolph (drawn by M. Morris)
10:47.0,Turnover by P. Tucker (bad pass),,41-54,,
10:34.0,,,41-54,,T. Allen misses 2-pt shot from 1 ft (block by P. Tucker)
10:30.0,Defensive rebound by A. Len,,41-54,,
10:20.0,M. Morris makes 2-pt shot from 19 ft (assist by G. Dragic),2,43-54,,
9:53.0,,,43-56,2,Z. Randolph makes 2-pt shot from 3 ft
9:36.0,G. Dragic misses 3-pt shot from 24 ft (block by T. Allen),,43-56,,
9:35.0,,,43-56,,Defensive rebound by Z. Randolph
9:31.0,,,43-56,,Turnover by Z. Randolph (bad pass; steal by M. Morris)
9:27.0,A. Len misses 2-pt shot from 2 ft (block by M. Gasol),,43-56,,
9:27.0,,,43-56,,Defensive rebound by Team
9:27.0,Jump ball: M. Gasol vs. A. Len (M. Conley gains possession),,,,Jump ball: M. Gasol vs. A. Len (M. Conley gains possession)
9:11.0,,,43-56,,Shooting foul by A. Len (drawn by M. Gasol)
9:11.0,,,43-57,1,M. Gasol makes free throw 1 of 2
9:11.0,,,43-57,,M. Gasol misses free throw 2 of 2
9:11.0,Defensive rebound by A. Len,,43-57,,
8:55.0,Shooting foul by C. Lee (drawn by A. Len),,43-57,,
8:55.0,A. Len makes free throw 1 of 2,1,44-57,,
8:55.0,A. Len makes free throw 2 of 2,1,45-57,,
8:41.0,,,45-57,,T. Allen misses 2-pt shot from 8 ft
8:39.0,,,45-57,,Offensive rebound by T. Allen
8:37.0,,,45-59,2,T. Allen makes 2-pt shot from 11 ft
8:30.0,G. Dragic misses 2-pt shot at rim,,45-59,,
8:26.0,,,45-59,,Defensive rebound by Z. Randolph
8:22.0,,,45-59,,M. Conley misses 2-pt shot at rim
8:21.0,,,45-59,,Offensive rebound by T. Allen
8:21.0,,,45-59,,T. Allen misses 2-pt shot from 3 ft
8:18.0,Defensive rebound by M. Morris,,45-59,,
8:12.0,E. Bledsoe misses 3-pt shot from 24 ft,,45-59,,
8:11.0,,,45-59,,Defensive rebound by M. Conley
7:55.0,,,45-61,2,C. Lee makes 2-pt shot from 1 ft (assist by M. Gasol)
7:37.0,P. Tucker misses 3-pt shot from 22 ft,,45-61,,
7:36.0,,,45-61,,Defensive rebound by M. Conley
7:35.0,,,45-61,,Turnover by M. Conley (lost ball; steal by A. Len)
7:35.0,A. Len makes 2-pt shot at rim,2,47-61,,
7:35.0,Shooting foul by M. Conley (drawn by A. Len),,47-61,,
7:35.0,A. Len makes free throw 1 of 1,1,48-61,,
7:22.0,,,48-64,3,M. Conley makes 3-pt shot from 25 ft
7:11.0,G. Dragic misses 2-pt shot from 18 ft,,48-64,,
7:10.0,,,48-64,,Defensive rebound by M. Gasol
7:03.0,,,48-64,,Turnover by M. Gasol (lost ball; steal by G. Dragic)
6:59.0,G. Dragic makes 2-pt shot from 1 ft,2,50-64,,
6:36.0,,,50-64,,C. Lee misses 2-pt shot from 17 ft
6:35.0,Defensive rebound by P. Tucker,,50-64,,
6:26.0,G. Dragic misses 3-pt shot from 22 ft,,50-64,,
6:25.0,,,50-64,,Defensive rebound by M. Gasol
6:16.0,Personal foul by G. Dragic (drawn by T. Allen),,50-64,,
6:16.0,,,50-64,,Memphis full timeout
6:06.0,,,50-64,,Z. Randolph misses 2-pt shot at rim
6:03.0,Defensive rebound by E. Bledsoe,,50-64,,
5:54.0,M. Morris misses 3-pt shot from 24 ft,,50-64,,
5:54.0,Offensive rebound by A. Len,,50-64,,
5:52.0,A. Len makes 2-pt shot from 1 ft,2,52-64,,
5:29.0,,,52-64,,C. Lee misses 3-pt shot from 22 ft
5:28.0,Defensive rebound by A. Len,,52-64,,
5:15.0,G. Dragic makes 2-pt shot from 13 ft (assist by M. Morris),2,54-64,,
4:58.0,,,54-64,,M. Conley misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by E. Bledsoe,,54-64,,
4:47.0,Turnover by P. Tucker (traveling),,54-64,,
4:47.0,,,54-64,,B. Udrih enters the game for M. Conley
4:47.0,B. Wright enters the game for M. Morris,,54-64,,
4:31.0,,,54-66,2,Z. Randolph makes 2-pt shot from 14 ft
4:20.0,B. Wright makes 2-pt shot from 6 ft (assist by E. Bledsoe),2,56-66,,
4:05.0,,,56-66,,Shooting foul by P. Tucker (drawn by C. Lee)
4:05.0,,,56-66,,C. Lee misses free throw 1 of 2
4:05.0,,,56-66,,Offensive rebound by Team
4:05.0,,,56-66,,K. Koufos enters the game for M. Gasol
4:05.0,I. Thomas enters the game for G. Dragic,,56-66,,
4:05.0,,,56-66,,C. Lee misses free throw 2 of 2
4:04.0,Defensive rebound by A. Len,,56-66,,
3:52.0,,,56-66,,Personal foul by K. Koufos (drawn by E. Bledsoe)
3:52.0,M. Morris enters the game for P. Tucker,,56-66,,
3:46.0,I. Thomas misses 2-pt shot from 17 ft,,56-66,,
3:45.0,,,56-66,,Defensive rebound by Z. Randolph
3:45.0,,,56-66,,Turnover by Z. Randolph (lost ball)
3:39.0,E. Bledsoe misses 2-pt shot from 20 ft,,56-66,,
3:39.0,Offensive rebound by A. Len,,56-66,,
3:36.0,Turnover by A. Len (lost ball; steal by T. Allen),,56-66,,
3:31.0,,,56-68,2,C. Lee makes 2-pt shot from 1 ft (assist by Z. Randolph)
3:19.0,I. Thomas makes 2-pt shot from 10 ft (assist by B. Wright),2,58-68,,
3:02.0,,,58-68,,K. Koufos misses 2-pt shot from 6 ft
3:00.0,Defensive rebound by A. Len,,58-68,,
2:56.0,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe),2,60-68,,
2:39.0,,,60-70,2,T. Allen makes 2-pt shot from 2 ft
2:35.0,Turnover by I. Thomas (bad pass),,60-70,,
2:35.0,Phoenix full timeout,,60-70,,
2:35.0,,,60-70,,V. Carter enters the game for T. Allen
2:23.0,,,60-70,,C. Lee misses 2-pt shot from 7 ft (block by A. Len)
2:21.0,,,60-70,,Offensive rebound by B. Udrih
2:17.0,,,60-70,,C. Lee misses 3-pt shot from 26 ft
2:16.0,,,60-70,,Offensive rebound by Z. Randolph
2:16.0,,,60-70,,Shooting foul by A. Len (drawn by Z. Randolph)
2:16.0,,,60-71,1,Z. Randolph makes free throw 1 of 2
2:16.0,M. Plumlee enters the game for A. Len,,60-71,,
2:16.0,,,60-72,1,Z. Randolph makes free throw 2 of 2
1:58.0,M. Morris misses 3-pt shot from 23 ft,,60-72,,
1:58.0,,,60-72,,Defensive rebound by C. Lee
1:43.0,,,60-72,,V. Carter misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by M. Plumlee,,60-72,,
1:28.0,I. Thomas makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,63-72,,
1:10.0,,,63-72,,Turnover by B. Udrih (bad pass; steal by B. Wright)
1:09.0,Turnover by I. Thomas (traveling),,63-72,,
0:48.0,,,63-72,,Turnover by Z. Randolph (traveling)
0:24.0,B. Wright misses 3-pt shot from 26 ft,,63-72,,
0:24.0,Offensive rebound by Team,,63-72,,
0:24.0,Turnover by Team (shot clock),,63-72,,
0:24.0,,,63-72,,M. Conley enters the game for K. Koufos
0:08.0,,,63-75,3,B. Udrih makes 3-pt shot from 22 ft (assist by C. Lee)
0:02.0,M. Morris makes 3-pt shot from 25 ft,3,66-75,,
0:00.0,,,66-75,,M. Conley misses 3-pt shot from 60 ft
0:00.0,,,66-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,66-77,2,B. Udrih makes 2-pt shot from 13 ft (assist by K. Koufos)
11:27.0,,,66-77,,Personal foul by B. Udrih (drawn by E. Bledsoe)
11:27.0,G. Green enters the game for E. Bledsoe,,66-77,,
11:21.0,Shooting foul by B. Udrih (drawn by I. Thomas),,66-77,,
11:21.0,I. Thomas makes free throw 1 of 2,1,67-77,,
11:21.0,I. Thomas makes free throw 2 of 2,1,68-77,,
11:06.0,,,68-79,2,K. Koufos makes 2-pt shot from 5 ft (assist by Z. Randolph)
10:57.0,I. Thomas misses 3-pt shot from 25 ft,,68-79,,
10:56.0,,,68-79,,Defensive rebound by Z. Randolph
10:41.0,,,68-82,3,V. Carter makes 3-pt shot from 25 ft (assist by Z. Randolph)
10:22.0,M. Morris makes 2-pt shot from 21 ft (assist by G. Green),2,70-82,,
10:02.0,,,70-82,,N. Calathes misses 2-pt shot from 10 ft
10:01.0,Defensive rebound by M. Morris,,70-82,,
9:48.0,G. Green misses 2-pt shot from 16 ft,,70-82,,
9:48.0,Offensive rebound by M. Morris,,70-82,,
9:46.0,M. Morris makes 2-pt shot from 1 ft,2,72-82,,
9:46.0,Shooting foul by V. Carter (drawn by M. Morris),,72-82,,
9:46.0,,,72-82,,J. Leuer enters the game for Z. Randolph
9:46.0,P. Tucker enters the game for M. Plumlee,,72-82,,
9:46.0,M. Morris misses free throw 1 of 1,,72-82,,
9:45.0,,,72-82,,Defensive rebound by K. Koufos
9:23.0,,,72-82,,Turnover by N. Calathes (bad pass; steal by M. Morris)
9:17.0,I. Thomas misses 2-pt shot from 6 ft,,72-82,,
9:15.0,Offensive rebound by M. Morris,,72-82,,
9:13.0,M. Morris makes 2-pt shot from 6 ft,2,74-82,,
8:50.0,,,74-82,,J. Leuer misses 2-pt shot from 17 ft
8:49.0,Defensive rebound by B. Wright,,74-82,,
8:43.0,Turnover by M. Morris (traveling),,74-82,,
8:43.0,,,74-82,,Memphis full timeout
8:43.0,,,74-82,,M. Conley enters the game for B. Udrih
8:30.0,,,74-82,,K. Koufos misses 2-pt shot from 4 ft
8:29.0,,,74-82,,Offensive rebound by Team
8:15.0,,,74-82,,V. Carter misses 3-pt shot from 24 ft
8:14.0,Defensive rebound by M. Morris,,74-82,,
7:56.0,P. Tucker makes 3-pt shot from 23 ft (assist by G. Green),3,77-82,,
7:35.0,,,77-82,,M. Gasol enters the game for J. Leuer
7:33.0,,,77-82,,V. Carter misses 2-pt shot from 20 ft
7:31.0,,,77-82,,Offensive rebound by V. Carter
7:18.0,Personal foul by P. Tucker (drawn by K. Koufos),,77-82,,
7:18.0,A. Len enters the game for B. Wright,,77-82,,
7:11.0,,,77-82,,N. Calathes misses 2-pt shot from 7 ft (block by A. Len)
7:07.0,Defensive rebound by A. Len,,77-82,,
7:07.0,Shooting foul by V. Carter (drawn by G. Green),,77-82,,
7:07.0,G. Green makes free throw 1 of 2,1,78-82,,
7:07.0,,,78-82,,T. Allen enters the game for V. Carter
7:07.0,G. Green makes free throw 2 of 2,1,79-82,,
6:42.0,,,79-84,2,T. Allen makes 2-pt shot from 19 ft
6:26.0,,,79-84,,Personal foul by N. Calathes (drawn by G. Green)
6:26.0,G. Green makes free throw 1 of 2,1,80-84,,
6:26.0,,,80-84,,C. Lee enters the game for N. Calathes
6:26.0,G. Green makes free throw 2 of 2,1,81-84,,
6:06.0,,,81-87,3,M. Conley makes 3-pt shot from 25 ft
5:49.0,I. Thomas makes 2-pt shot from 2 ft,2,83-87,,
5:23.0,,,83-89,2,C. Lee makes 2-pt shot from 9 ft
5:15.0,G. Green misses 2-pt shot from 2 ft (block by K. Koufos),,83-89,,
5:14.0,Offensive rebound by A. Len,,83-89,,
5:14.0,A. Len makes 2-pt shot from 1 ft,2,85-89,,
5:14.0,Shooting foul by K. Koufos (drawn by A. Len),,85-89,,
5:14.0,,,85-89,,Memphis full timeout
5:14.0,,,85-89,,Z. Randolph enters the game for K. Koufos
5:14.0,A. Len makes free throw 1 of 1,1,86-89,,
4:59.0,,,86-91,2,M. Conley makes 2-pt shot from 1 ft
4:44.0,Turnover by I. Thomas (lost ball),,86-91,,
4:28.0,,,86-93,2,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Gasol)
4:08.0,A. Len misses 2-pt shot from 17 ft,,86-93,,
4:08.0,,,86-93,,Defensive rebound by Z. Randolph
3:49.0,Personal foul by P. Tucker (drawn by M. Gasol),,86-93,,
3:36.0,Personal foul by I. Thomas (drawn by M. Gasol),,86-93,,
3:30.0,Personal foul by A. Len (drawn by M. Conley),,86-93,,
3:23.0,,,86-95,2,C. Lee makes 2-pt shot from 21 ft
3:16.0,Phoenix full timeout,,86-95,,
3:16.0,M. Morris enters the game for A. Len,,86-95,,
3:16.0,G. Dragic enters the game for M. Morris,,86-95,,
3:11.0,P. Tucker makes 3-pt shot from 26 ft (assist by I. Thomas),3,89-95,,
2:45.0,,,89-95,,Turnover by M. Conley (bad pass; steal by M. Morris)
2:39.0,Turnover by G. Green (bad pass; steal by T. Allen),,89-95,,
2:19.0,,,89-95,,Z. Randolph misses 2-pt shot from 1 ft
2:19.0,,,89-95,,Offensive rebound by Z. Randolph
