time,Philadelphia,pts.away,score,pts.home,Cleveland
6:54.0,Turnover by N. Noel (offensive foul),,4-14,,
6:45.0,,,4-14,,K. Love misses 2-pt shot at rim
6:44.0,Defensive rebound by M. Carter-Williams,,4-14,,
6:39.0,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,7-14,,
6:19.0,,,7-16,2,K. Irving makes 2-pt shot from 12 ft
6:06.0,M. Carter-Williams misses 2-pt shot from 15 ft,,7-16,,
6:04.0,,,7-16,,Defensive rebound by K. Love
5:55.0,,,7-16,,Cleveland full timeout
5:55.0,,,7-16,,Turnover by L. James (lost ball; steal by R. Covington)
5:55.0,H. Thompson enters the game for J. Sampson,,7-16,,
5:55.0,,,7-16,,I. Shumpert enters the game for L. James
5:55.0,Jump ball: R. Covington vs. T. Mozgov (H. Thompson gains possession),,,,Jump ball: R. Covington vs. T. Mozgov (H. Thompson gains possession)
5:40.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by L. Mbah a Moute),2,9-16,,
5:23.0,,,9-16,,K. Irving misses 3-pt shot from 25 ft
5:22.0,,,9-16,,Offensive rebound by T. Mozgov
5:22.0,,,9-16,,T. Mozgov misses 2-pt shot at rim
5:22.0,Defensive rebound by Team,,9-16,,
5:10.0,N. Noel misses 2-pt shot from 15 ft,,9-16,,
5:09.0,,,9-16,,Defensive rebound by K. Love
4:59.0,,,9-16,,T. Mozgov misses 2-pt shot from 2 ft (block by R. Covington)
4:57.0,Defensive rebound by L. Mbah a Moute,,9-16,,
4:51.0,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by R. Covington),2,11-16,,
4:32.0,,,11-16,,K. Irving misses 3-pt shot from 23 ft
4:31.0,,,11-16,,Offensive rebound by K. Love
4:31.0,,,11-16,,K. Love misses 2-pt shot at rim
4:30.0,,,11-16,,Offensive rebound by Team
4:30.0,Loose ball foul by H. Thompson (drawn by K. Love),,11-16,,
4:30.0,J. Grant enters the game for L. Mbah a Moute,,11-16,,
4:30.0,H. Sims enters the game for R. Covington,,11-16,,
4:30.0,K. McDaniels enters the game for N. Noel,,11-16,,
4:27.0,,,11-16,,T. Thompson enters the game for T. Mozgov
4:27.0,,,11-16,,Turnover by J. Smith (traveling)
4:15.0,K. McDaniels misses 2-pt shot from 15 ft,,11-16,,
4:14.0,,,11-16,,Defensive rebound by K. Love
4:08.0,,,11-19,3,I. Shumpert makes 3-pt shot from 24 ft (assist by K. Irving)
3:55.0,,,11-19,,Personal foul by I. Shumpert (drawn by M. Carter-Williams)
3:41.0,K. McDaniels misses 3-pt shot from 25 ft,,11-19,,
3:40.0,,,11-19,,Defensive rebound by K. Love
3:20.0,,,11-19,,J. Smith misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by K. McDaniels,,11-19,,
3:20.0,,,11-19,,Personal foul by J. Smith (drawn by K. McDaniels)
3:20.0,Philadelphia full timeout,,11-19,,
3:20.0,,,11-19,,L. James enters the game for J. Smith
2:59.0,M. Carter-Williams misses 3-pt shot from 24 ft,,11-19,,
2:57.0,Offensive rebound by H. Thompson,,11-19,,
2:57.0,Turnover by Team (shot clock),,11-19,,
2:39.0,,,11-19,,K. Love misses 3-pt shot from 24 ft
2:38.0,Defensive rebound by H. Sims,,11-19,,
2:37.0,L. Drew enters the game for M. Carter-Williams,,11-19,,
2:17.0,Turnover by L. Drew (bad pass; steal by I. Shumpert),,11-19,,
2:12.0,,,11-21,2,I. Shumpert makes 2-pt shot at rim
1:53.0,L. Drew misses 3-pt shot from 25 ft,,11-21,,
1:51.0,Offensive rebound by H. Thompson,,11-21,,
1:48.0,Turnover by K. McDaniels (lost ball),,11-21,,
1:48.0,,,11-21,,M. Dellavedova enters the game for K. Irving
1:32.0,Personal foul by H. Sims (drawn by L. James),,11-21,,
1:32.0,,,11-21,,S. Marion enters the game for K. Love
1:20.0,Personal foul by H. Sims (drawn by T. Thompson),,11-21,,
1:20.0,,,11-22,1,T. Thompson makes free throw 1 of 2
1:20.0,,,11-22,,T. Thompson misses free throw 2 of 2
1:19.0,Defensive rebound by H. Thompson,,11-22,,
1:02.0,K. McDaniels makes 2-pt shot at rim (assist by H. Sims),2,13-22,,
0:45.0,,,13-24,2,S. Marion makes 2-pt shot from 1 ft (assist by L. James)
0:28.0,H. Sims misses 2-pt shot at rim,,13-24,,
0:27.0,,,13-24,,Defensive rebound by T. Thompson
0:07.0,,,13-24,,T. Thompson misses 2-pt shot from 15 ft
0:06.0,,,13-24,,Offensive rebound by Team
0:06.0,Loose ball foul by H. Thompson (drawn by S. Marion),,13-24,,
0:06.0,,,13-24,,S. Marion misses free throw 1 of 2
0:06.0,,,13-24,,Offensive rebound by Team
0:06.0,,,13-24,,S. Marion misses free throw 2 of 2
0:06.0,Defensive rebound by H. Thompson,,13-24,,
0:03.0,,,13-24,,Personal foul by M. Dellavedova (drawn by H. Thompson)
0:00.0,Shooting foul by S. Marion (drawn by J. Grant),,13-24,,
0:00.0,J. Grant makes free throw 1 of 3,1,14-24,,
0:00.0,J. Grant misses free throw 2 of 3,,14-24,,
0:00.0,Offensive rebound by Team,,14-24,,
0:00.0,J. Grant makes free throw 3 of 3,1,15-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,H. Thompson makes 3-pt shot from 25 ft (assist by J. Grant),3,18-24,,
11:26.0,,,18-26,2,L. James makes 2-pt shot from 21 ft (assist by S. Marion)
11:13.0,H. Sims misses 2-pt shot from 4 ft,,18-26,,
11:11.0,Offensive rebound by J. Grant,,18-26,,
11:10.0,Philadelphia full timeout,,18-26,,
11:10.0,L. Mbah a Moute enters the game for H. Thompson,,18-26,,
11:03.0,Turnover by J. Grant (lost ball; steal by S. Marion),,18-26,,
10:57.0,,,18-26,,L. James misses 2-pt shot from 1 ft
10:56.0,,,18-26,,Offensive rebound by T. Thompson
10:56.0,N. Noel enters the game for H. Sims,,18-26,,
10:56.0,R. Covington enters the game for K. McDaniels,,18-26,,
10:55.0,Jump ball: J. Grant vs. T. Thompson (S. Marion gains possession),,,,Jump ball: J. Grant vs. T. Thompson (S. Marion gains possession)
10:40.0,,,18-26,,L. James misses 2-pt shot from 18 ft
10:40.0,,,18-26,,Offensive rebound by Team
10:40.0,Loose ball foul by J. Grant (drawn by T. Thompson),,18-26,,
10:31.0,,,18-28,2,I. Shumpert makes 2-pt shot from 14 ft (assist by M. Dellavedova)
10:11.0,L. Mbah a Moute makes 2-pt shot from 4 ft,2,20-28,,
9:57.0,,,20-28,,M. Dellavedova misses 2-pt shot from 4 ft (block by N. Noel)
9:55.0,Defensive rebound by J. Grant,,20-28,,
9:52.0,,,20-28,,Personal foul by L. James (drawn by L. Mbah a Moute)
9:40.0,L. Drew misses 2-pt shot from 15 ft,,20-28,,
9:39.0,,,20-28,,Defensive rebound by T. Thompson
9:29.0,,,20-30,2,L. James makes 2-pt shot from 1 ft
9:09.0,J. Grant makes 2-pt shot from 6 ft,2,22-30,,
8:49.0,,,22-30,,M. Dellavedova misses 2-pt shot from 7 ft
8:48.0,Defensive rebound by N. Noel,,22-30,,
8:46.0,,,22-30,,Personal foul by M. Dellavedova (drawn by L. Drew)
8:46.0,,,22-30,,K. Love enters the game for S. Marion
8:46.0,,,22-30,,K. Irving enters the game for M. Dellavedova
8:46.0,M. Carter-Williams enters the game for L. Drew,,22-30,,
8:29.0,R. Covington misses 3-pt shot from 25 ft,,22-30,,
8:28.0,Offensive rebound by J. Grant,,22-30,,
8:22.0,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by J. Grant),2,24-30,,
8:10.0,,,24-30,,K. Irving misses 2-pt shot from 14 ft
8:08.0,Defensive rebound by N. Noel,,24-30,,
8:05.0,Turnover by N. Noel (bad pass; steal by I. Shumpert),,24-30,,
7:54.0,Personal foul by R. Covington (drawn by L. James),,24-30,,
7:47.0,Personal foul by J. Grant (drawn by K. Love),,24-30,,
7:47.0,K. McDaniels enters the game for J. Grant,,24-30,,
7:45.0,,,24-30,,Shooting foul by R. Covington (drawn by K. Love)
7:45.0,,,24-31,1,K. Love makes free throw 1 of 2
7:45.0,,,24-31,,T. Mozgov enters the game for T. Thompson
7:45.0,,,24-32,1,K. Love makes free throw 2 of 2
7:27.0,K. McDaniels misses 2-pt shot from 12 ft,,24-32,,
7:25.0,,,24-32,,Defensive rebound by L. James
7:20.0,,,24-34,2,L. James makes 2-pt shot at rim
6:58.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,24-34,,
6:56.0,Offensive rebound by L. Mbah a Moute,,24-34,,
6:55.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by K. Love),,24-34,,
6:53.0,,,24-34,,Defensive rebound by K. Irving
6:50.0,,,24-34,,Turnover by K. Irving (bad pass; steal by R. Covington)
6:43.0,R. Covington misses 3-pt shot from 25 ft,,24-34,,
6:41.0,,,24-34,,Defensive rebound by I. Shumpert
6:33.0,,,24-34,,L. James misses 2-pt shot from 22 ft
6:32.0,Defensive rebound by M. Carter-Williams,,24-34,,
6:26.0,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,26-34,,
6:04.0,,,26-34,,T. Mozgov misses 2-pt shot at rim
6:03.0,,,26-34,,Offensive rebound by K. Irving
5:44.0,,,26-34,,Shooting foul by R. Covington (drawn by L. James)
5:44.0,Official timeout,,26-34,,
5:44.0,H. Thompson enters the game for R. Covington,,26-34,,
5:44.0,,,26-34,,L. James misses free throw 1 of 2
5:44.0,,,26-34,,Offensive rebound by Team
5:44.0,,,26-35,1,L. James makes free throw 2 of 2
5:29.0,,,26-35,,J. Smith enters the game for L. James
5:27.0,K. McDaniels misses 3-pt shot from 25 ft,,26-35,,
5:25.0,,,26-35,,Defensive rebound by T. Mozgov
5:14.0,,,26-35,,J. Smith misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by K. McDaniels,,26-35,,
5:06.0,M. Carter-Williams misses 2-pt shot from 16 ft,,26-35,,
5:04.0,,,26-35,,Defensive rebound by K. Irving
4:57.0,Personal foul by L. Mbah a Moute (drawn by I. Shumpert),,26-35,,
4:57.0,,,26-36,1,I. Shumpert makes free throw 1 of 2
4:57.0,J. Grant enters the game for L. Mbah a Moute,,26-36,,
4:57.0,,,26-36,,I. Shumpert misses free throw 2 of 2
4:56.0,Defensive rebound by N. Noel,,26-36,,
4:39.0,Turnover by J. Grant (bad pass),,26-36,,
4:20.0,,,26-36,,Shooting foul by K. McDaniels (drawn by T. Mozgov)
4:20.0,,,26-37,1,T. Mozgov makes free throw 1 of 2
4:20.0,,,26-37,,M. Miller enters the game for I. Shumpert
4:20.0,,,26-38,1,T. Mozgov makes free throw 2 of 2
4:01.0,H. Thompson makes 3-pt shot from 26 ft (assist by N. Noel),3,29-38,,
3:45.0,,,29-40,2,K. Irving makes 2-pt shot from 14 ft
3:31.0,M. Carter-Williams misses 2-pt shot from 4 ft (block by T. Mozgov),,29-40,,
3:29.0,Offensive rebound by H. Thompson,,29-40,,
3:28.0,H. Thompson misses 3-pt shot from 25 ft,,29-40,,
3:25.0,,,29-40,,Defensive rebound by K. Love
3:22.0,,,29-42,2,J. Smith makes 2-pt shot at rim (assist by K. Love)
3:05.0,Shooting foul by K. Love (drawn by K. McDaniels),,29-42,,
3:05.0,K. McDaniels misses free throw 1 of 2,,29-42,,
3:05.0,Offensive rebound by Team,,29-42,,
3:05.0,K. McDaniels makes free throw 2 of 2,1,30-42,,
2:56.0,,,30-42,,Cleveland full timeout
2:56.0,L. Drew enters the game for M. Carter-Williams,,30-42,,
2:54.0,,,30-42,,Turnover by M. Miller (bad pass; steal by N. Noel)
2:40.0,Turnover by J. Grant (bad pass),,30-42,,
2:26.0,,,30-44,2,K. Irving makes 2-pt shot from 11 ft
2:13.0,J. Grant makes 3-pt shot from 25 ft (assist by N. Noel),3,33-44,,
2:01.0,Personal foul by N. Noel (drawn by K. Irving),,33-44,,
2:01.0,,,33-45,1,K. Irving makes free throw 1 of 2
2:01.0,,,33-45,,L. James enters the game for K. Love
2:01.0,L. Mbah a Moute enters the game for K. McDaniels,,33-45,,
2:01.0,,,33-46,1,K. Irving makes free throw 2 of 2
1:39.0,H. Thompson misses 2-pt shot from 8 ft,,33-46,,
1:37.0,Offensive rebound by H. Thompson,,33-46,,
1:34.0,H. Thompson makes 2-pt shot from 4 ft,2,35-46,,
1:25.0,,,35-46,,Shooting foul by L. Drew (drawn by K. Irving)
1:25.0,,,35-47,1,K. Irving makes free throw 1 of 2
1:25.0,,,35-47,,K. Irving misses free throw 2 of 2
1:24.0,Defensive rebound by J. Grant,,35-47,,
1:02.0,L. Drew misses 3-pt shot from 26 ft,,35-47,,
1:01.0,,,35-47,,Defensive rebound by T. Mozgov
0:48.0,,,35-47,,M. Miller misses 3-pt shot from 23 ft
0:47.0,,,35-47,,Offensive rebound by T. Mozgov
0:46.0,,,35-47,,T. Mozgov misses 2-pt shot at rim (block by L. Mbah a Moute)
0:45.0,,,35-47,,Offensive rebound by Team
0:26.0,,,35-47,,K. Irving misses 3-pt shot from 23 ft
0:25.0,Defensive rebound by L. Mbah a Moute,,35-47,,
0:07.0,L. Mbah a Moute misses 2-pt shot from 18 ft,,35-47,,
0:06.0,,,35-47,,Defensive rebound by L. James
0:00.0,,,35-47,,L. James misses 2-pt shot from 8 ft
0:00.0,,,35-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by T. Mozgov),,35-47,,
11:38.0,Offensive rebound by Team,,35-47,,
11:37.0,Turnover by L. Mbah a Moute (traveling),,35-47,,
11:20.0,,,35-49,2,J. Smith makes 2-pt shot from 18 ft
11:08.0,,,35-49,,Violation by J. Smith (kicked ball)
11:02.0,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by M. Carter-Williams),2,37-49,,
10:42.0,,,37-49,,L. James misses 2-pt shot from 17 ft
10:41.0,,,37-49,,Offensive rebound by T. Mozgov
10:41.0,,,37-51,2,T. Mozgov makes 2-pt shot at rim
10:29.0,R. Covington misses 3-pt shot from 25 ft,,37-51,,
10:28.0,,,37-51,,Defensive rebound by J. Smith
10:21.0,,,37-54,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
10:21.0,Philadelphia full timeout,,37-54,,
10:04.0,M. Carter-Williams misses 2-pt shot from 13 ft,,37-54,,
10:03.0,,,37-54,,Defensive rebound by K. Love
9:48.0,,,37-54,,Turnover by L. James (lost ball; steal by R. Covington)
9:40.0,H. Thompson misses 2-pt shot from 21 ft,,37-54,,
9:39.0,,,37-54,,Defensive rebound by T. Mozgov
9:26.0,,,37-56,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
9:18.0,Shooting foul by T. Mozgov (drawn by H. Thompson),,37-56,,
9:18.0,H. Thompson makes free throw 1 of 2,1,38-56,,
9:18.0,H. Thompson makes free throw 2 of 2,1,39-56,,
9:09.0,,,39-56,,Turnover by J. Smith (bad pass; steal by R. Covington)
8:52.0,M. Carter-Williams misses 2-pt shot at rim (block by T. Mozgov),,39-56,,
8:50.0,,,39-56,,Defensive rebound by K. Irving
8:48.0,,,39-56,,Turnover by K. Irving (lost ball; steal by H. Thompson)
8:45.0,Turnover by H. Thompson (bad pass; steal by K. Love),,39-56,,
8:39.0,,,39-59,3,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving)
8:23.0,N. Noel misses 2-pt shot from 15 ft,,39-59,,
8:22.0,,,39-59,,Defensive rebound by K. Love
8:15.0,,,39-59,,J. Smith misses 3-pt shot from 23 ft
8:14.0,Defensive rebound by H. Thompson,,39-59,,
8:05.0,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,42-59,,
7:40.0,,,42-59,,Turnover by K. Irving (lost ball; steal by H. Thompson)
7:33.0,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,45-59,,
7:31.0,,,45-59,,Cleveland full timeout
7:31.0,,,45-59,,I. Shumpert enters the game for K. Love
7:31.0,L. Drew enters the game for M. Carter-Williams,,45-59,,
7:31.0,J. Sampson enters the game for H. Thompson,,45-59,,
7:12.0,,,45-59,,L. James misses 2-pt shot from 14 ft
7:11.0,Defensive rebound by Team,,45-59,,
6:58.0,R. Covington misses 2-pt shot from 7 ft,,45-59,,
6:56.0,,,45-59,,Defensive rebound by I. Shumpert
6:48.0,,,45-61,2,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James)
6:27.0,J. Sampson makes 3-pt shot from 25 ft (assist by L. Drew),3,48-61,,
6:08.0,,,48-61,,T. Mozgov misses 2-pt shot at rim (block by J. Sampson)
6:05.0,Defensive rebound by N. Noel,,48-61,,
6:00.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,48-61,,
5:59.0,,,48-61,,Defensive rebound by K. Irving
5:47.0,,,48-61,,Turnover by K. Irving (lost ball; steal by R. Covington)
5:41.0,J. Sampson makes 3-pt shot from 25 ft (assist by L. Drew),3,51-61,,
5:23.0,,,51-64,3,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James)
5:08.0,,,51-64,,Personal foul by K. Irving (drawn by L. Drew)
5:08.0,,,51-64,,M. Dellavedova enters the game for L. James
4:55.0,Turnover by L. Mbah a Moute (lost ball; steal by M. Dellavedova),,51-64,,
4:55.0,Jump ball: M. Dellavedova vs. L. Mbah a Moute (T. Mozgov gains possession),,,,Jump ball: M. Dellavedova vs. L. Mbah a Moute (T. Mozgov gains possession)
4:41.0,,,51-64,,Turnover by I. Shumpert (bad pass; steal by J. Sampson)
4:35.0,,,51-64,,Personal foul by I. Shumpert (drawn by J. Sampson)
4:35.0,J. Grant enters the game for L. Mbah a Moute,,51-64,,
4:24.0,Turnover by L. Drew (bad pass),,51-64,,
4:11.0,,,51-67,3,K. Irving makes 3-pt shot from 25 ft (assist by M. Dellavedova)
3:54.0,J. Grant makes 3-pt shot from 26 ft (assist by R. Covington),3,54-67,,
3:38.0,Personal foul by J. Sampson (drawn by K. Irving),,54-67,,
3:38.0,H. Sims enters the game for N. Noel,,54-67,,
3:38.0,,,54-67,,S. Marion enters the game for K. Irving
3:23.0,,,54-67,,J. Smith misses 3-pt shot from 26 ft
3:23.0,,,54-67,,Offensive rebound by Team
3:23.0,,,54-67,,Turnover by Team (shot clock)
3:07.0,H. Sims makes 2-pt shot from 16 ft,2,56-67,,
2:47.0,,,56-69,2,M. Dellavedova makes 2-pt shot from 8 ft (assist by J. Smith)
2:31.0,J. Sampson misses 2-pt shot from 1 ft (block by T. Mozgov),,56-69,,
2:31.0,Offensive rebound by Team,,56-69,,
2:31.0,K. McDaniels enters the game for R. Covington,,56-69,,
2:26.0,Shooting foul by T. Mozgov (drawn by J. Grant),,56-69,,
2:26.0,J. Grant makes free throw 1 of 2,1,57-69,,
2:26.0,J. Grant makes free throw 2 of 2,1,58-69,,
2:10.0,,,58-69,,Turnover by M. Dellavedova (lost ball; steal by L. Drew)
1:58.0,L. Drew makes 2-pt shot from 5 ft,2,60-69,,
1:35.0,,,60-69,,J. Smith misses 2-pt shot from 15 ft
1:32.0,Defensive rebound by H. Sims,,60-69,,
1:22.0,L. Drew misses 3-pt shot from 25 ft,,60-69,,
1:21.0,,,60-69,,Defensive rebound by Team
1:00.0,,,60-69,,T. Mozgov misses 2-pt shot from 2 ft (block by K. McDaniels)
0:58.0,Defensive rebound by H. Sims,,60-69,,
0:54.0,J. Grant makes 2-pt shot at rim (assist by L. Drew),2,62-69,,
0:46.0,Personal foul by L. Drew (drawn by M. Dellavedova),,62-69,,
0:38.0,,,62-69,,Turnover by M. Dellavedova (bad pass; steal by J. Sampson)
0:38.0,,,62-69,,Personal foul by T. Mozgov (drawn by J. Grant)
0:38.0,J. Grant misses free throw 1 of 2,,62-69,,
0:38.0,Offensive rebound by Team,,62-69,,
0:38.0,,,62-69,,K. Irving enters the game for J. Smith
0:38.0,,,62-69,,T. Thompson enters the game for T. Mozgov
0:38.0,J. Grant makes free throw 2 of 2,1,63-69,,
0:18.0,,,63-69,,K. Irving misses 2-pt shot from 3 ft
0:17.0,,,63-69,,Offensive rebound by T. Thompson
0:17.0,,,63-69,,T. Thompson misses 2-pt shot at rim
0:14.0,Defensive rebound by J. Grant,,63-69,,
0:03.0,L. Drew makes 2-pt shot from 18 ft,2,65-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,65-69,,T. Thompson misses 2-pt shot at rim
11:39.0,Defensive rebound by H. Sims,,65-69,,
11:33.0,R. Covington makes 2-pt shot from 1 ft (assist by L. Drew),2,67-69,,
11:22.0,,,67-71,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
11:03.0,H. Sims misses 2-pt shot from 13 ft,,67-71,,
11:02.0,,,67-71,,Defensive rebound by K. Love
10:52.0,,,67-74,3,K. Irving makes 3-pt shot from 25 ft (assist by L. James)
10:35.0,J. Grant misses 3-pt shot from 24 ft,,67-74,,
10:34.0,,,67-74,,Defensive rebound by T. Thompson
10:26.0,,,67-74,,L. James misses 2-pt shot from 23 ft
10:24.0,Defensive rebound by L. Drew,,67-74,,
10:21.0,Turnover by R. Covington (traveling),,67-74,,
10:21.0,N. Noel enters the game for H. Sims,,67-74,,
10:06.0,,,67-74,,Turnover by L. James (bad pass; steal by L. Drew)
9:51.0,J. Grant misses 3-pt shot from 24 ft,,67-74,,
9:50.0,,,67-74,,Defensive rebound by M. Dellavedova
9:42.0,,,67-77,3,K. Irving makes 3-pt shot from 24 ft (assist by L. James)
9:42.0,Philadelphia full timeout,,67-77,,
9:21.0,J. Grant makes 3-pt shot from 25 ft (assist by R. Covington),3,70-77,,
8:54.0,,,70-77,,Turnover by Team (shot clock)
8:54.0,J. Sampson enters the game for L. Drew,,70-77,,
8:54.0,L. Mbah a Moute enters the game for J. Grant,,70-77,,
8:35.0,J. Sampson makes 2-pt shot at rim,2,72-77,,
8:15.0,,,72-77,,L. James misses 2-pt shot from 18 ft
8:12.0,,,72-77,,Offensive rebound by T. Thompson
8:02.0,,,72-77,,K. Irving misses 3-pt shot from 25 ft
8:02.0,,,72-77,,Offensive rebound by Team
8:02.0,Loose ball foul by N. Noel (drawn by T. Thompson),,72-77,,
7:48.0,,,72-77,,Turnover by K. Irving (lost ball; steal by N. Noel)
7:46.0,,,72-77,,Personal foul by M. Dellavedova (drawn by J. Sampson)
7:31.0,N. Noel makes 2-pt shot from 4 ft (assist by J. Sampson),2,74-77,,
7:10.0,,,74-80,3,M. Dellavedova makes 3-pt shot from 22 ft (assist by L. James)
6:58.0,R. Covington makes 3-pt shot from 26 ft,3,77-80,,
6:38.0,,,77-80,,L. James misses 3-pt shot from 25 ft
6:37.0,,,77-80,,Offensive rebound by T. Thompson
6:32.0,,,77-80,,M. Dellavedova misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by L. Mbah a Moute,,77-80,,
6:11.0,K. McDaniels misses 3-pt shot from 24 ft,,77-80,,
6:10.0,Offensive rebound by R. Covington,,77-80,,
6:09.0,R. Covington misses 2-pt shot from 1 ft,,77-80,,
6:07.0,,,77-80,,Defensive rebound by K. Love
5:58.0,,,77-82,2,K. Irving makes 2-pt shot at rim
5:37.0,Official timeout,,77-82,,
5:31.0,Turnover by J. Sampson (bad pass; steal by L. James),,77-82,,
5:26.0,,,77-84,2,L. James makes 2-pt shot at rim
5:17.0,R. Covington makes 3-pt shot from 26 ft (assist by L. Mbah a Moute),3,80-84,,
4:56.0,,,80-86,2,K. Irving makes 2-pt shot from 1 ft
4:47.0,,,80-86,,Personal foul by L. James (drawn by R. Covington)
4:47.0,L. Drew enters the game for J. Sampson,,80-86,,
4:39.0,Turnover by N. Noel (bad pass),,80-86,,
4:39.0,J. Grant enters the game for N. Noel,,80-86,,
4:24.0,,,80-86,,K. Irving misses 3-pt shot from 24 ft
4:22.0,,,80-86,,Offensive rebound by K. Love
4:22.0,Personal foul by J. Grant (drawn by K. Love),,80-86,,
4:06.0,,,80-86,,Turnover by L. James (bad pass)
3:49.0,R. Covington makes 2-pt shot at rim (assist by L. Drew),2,82-86,,
3:49.0,Shooting foul by M. Dellavedova (drawn by R. Covington),,82-86,,
3:49.0,R. Covington makes free throw 1 of 1,1,83-86,,
3:34.0,,,83-88,2,K. Irving makes 2-pt shot from 15 ft
3:28.0,Turnover by K. McDaniels (traveling),,83-88,,
3:09.0,,,83-88,,Turnover by K. Love (lost ball; steal by R. Covington)
3:02.0,R. Covington misses 3-pt shot from 28 ft,,83-88,,
3:01.0,,,83-88,,Defensive rebound by K. Love
2:35.0,,,83-91,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by L. James)
