time,Houston,pts.away,score,pts.home,Detroit
8:31.0,,,9-11,1,G. Monroe makes free throw 2 of 2
8:08.0,J. Dorsey misses 2-pt shot from 6 ft,,9-11,,
8:06.0,,,9-11,,Defensive rebound by K. Singler
8:04.0,,,9-11,,Turnover by K. Singler (bad pass; steal by J. Smith)
7:58.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Smith),3,12-11,,
7:44.0,,,12-14,3,K. Singler makes 3-pt shot from 27 ft (assist by D. Augustin)
7:30.0,Turnover by T. Ariza (bad pass),,12-14,,
7:16.0,,,12-14,,K. Caldwell-Pope misses 2-pt shot from 18 ft
7:15.0,Defensive rebound by T. Ariza,,12-14,,
7:04.0,Turnover by J. Harden (bad pass; steal by K. Singler),,12-14,,
6:59.0,,,12-16,2,K. Singler makes 2-pt shot at rim (assist by K. Caldwell-Pope)
6:46.0,J. Smith misses 2-pt shot from 4 ft (block by A. Drummond),,12-16,,
6:45.0,,,12-16,,Defensive rebound by G. Monroe
6:43.0,,,12-18,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by D. Augustin)
6:43.0,Houston full timeout,,12-18,,
6:43.0,T. Jones enters the game for J. Dorsey,,12-18,,
6:30.0,J. Smith misses 2-pt shot from 2 ft,,12-18,,
6:29.0,,,12-18,,Defensive rebound by G. Monroe
6:24.0,,,12-18,,D. Augustin misses 2-pt shot at rim
6:22.0,,,12-18,,Offensive rebound by A. Drummond
6:20.0,,,12-18,,A. Drummond misses 2-pt shot at rim
6:19.0,Defensive rebound by T. Jones,,12-18,,
6:15.0,Turnover by J. Harden (bad pass; steal by D. Augustin),,12-18,,
6:11.0,,,12-20,2,A. Drummond makes 2-pt shot at rim (assist by D. Augustin)
5:55.0,T. Ariza misses 3-pt shot from 25 ft,,12-20,,
5:54.0,,,12-20,,Defensive rebound by A. Drummond
5:49.0,Personal foul by J. Harden (drawn by K. Caldwell-Pope),,12-20,,
5:37.0,,,12-20,,Turnover by G. Monroe (bad pass; steal by P. Beverley)
5:32.0,P. Beverley makes 2-pt shot at rim,2,14-20,,
5:10.0,,,14-20,,D. Augustin misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by J. Smith,,14-20,,
5:03.0,J. Smith makes 2-pt shot at rim,2,16-20,,
4:48.0,,,16-22,2,G. Monroe makes 2-pt shot from 6 ft (assist by K. Singler)
4:28.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Smith),3,19-22,,
4:06.0,,,19-22,,K. Singler misses 2-pt shot at rim (block by J. Smith)
4:03.0,,,19-22,,Offensive rebound by G. Monroe
3:59.0,,,19-24,2,D. Augustin makes 2-pt shot from 1 ft (assist by G. Monroe)
3:35.0,J. Harden misses 2-pt shot from 14 ft,,19-24,,
3:34.0,,,19-24,,Defensive rebound by G. Monroe
3:13.0,,,19-24,,G. Monroe misses 2-pt shot from 8 ft
3:10.0,Defensive rebound by J. Harden,,19-24,,
3:05.0,J. Harden makes 2-pt shot at rim,2,21-24,,
2:56.0,,,21-24,,Detroit full timeout
2:56.0,J. Terry enters the game for T. Ariza,,21-24,,
2:56.0,C. Brewer enters the game for P. Beverley,,21-24,,
2:56.0,,,21-24,,J. Meeks enters the game for G. Monroe
2:56.0,,,21-24,,A. Tolliver enters the game for K. Caldwell-Pope
2:49.0,,,21-26,2,A. Drummond makes 2-pt shot from 4 ft (assist by A. Tolliver)
2:40.0,C. Brewer makes 2-pt shot from 20 ft (assist by J. Harden),2,23-26,,
2:20.0,,,23-26,,D. Augustin misses 2-pt shot from 7 ft
2:20.0,Defensive rebound by Team,,23-26,,
2:07.0,Shooting foul by A. Drummond (drawn by T. Jones),,23-26,,
2:07.0,T. Jones misses free throw 1 of 2,,23-26,,
2:07.0,Offensive rebound by Team,,23-26,,
2:07.0,T. Jones makes free throw 2 of 2,1,24-26,,
1:42.0,,,24-26,,A. Tolliver misses 2-pt shot from 18 ft
1:41.0,,,24-26,,Offensive rebound by A. Drummond
1:40.0,,,24-28,2,A. Drummond makes 2-pt shot at rim
1:24.0,J. Smith misses 2-pt shot from 15 ft,,24-28,,
1:23.0,,,24-28,,Defensive rebound by D. Augustin
1:18.0,,,24-30,2,K. Singler makes 2-pt shot at rim (assist by D. Augustin)
1:04.0,Offensive charge foul by T. Jones,,24-30,,
1:04.0,Turnover by T. Jones (offensive foul),,24-30,,
1:04.0,,,24-30,,S. Dinwiddie enters the game for D. Augustin
0:46.0,,,24-32,2,A. Tolliver makes 2-pt shot at rim (assist by S. Dinwiddie)
0:32.0,C. Brewer misses 3-pt shot from 23 ft,,24-32,,
0:31.0,Offensive rebound by Team,,24-32,,
0:17.0,,,24-32,,Def 3 sec tech foul by A. Drummond
0:17.0,J. Harden makes technical free throw,1,25-32,,
0:02.0,J. Harden makes 2-pt shot from 13 ft,2,27-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,27-35,3,A. Tolliver makes 3-pt shot from 26 ft (assist by J. Meeks)
11:25.0,D. Motiejunas makes 2-pt shot from 5 ft,2,29-35,,
11:11.0,,,29-35,,A. Tolliver misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by T. Ariza,,29-35,,
10:49.0,T. Jones makes 2-pt shot at rim,2,31-35,,
10:33.0,,,31-35,,Turnover by S. Dinwiddie (bad pass; steal by T. Ariza)
10:28.0,T. Ariza misses 2-pt shot from 3 ft (block by K. Caldwell-Pope),,31-35,,
10:26.0,,,31-35,,Defensive rebound by S. Dinwiddie
10:17.0,,,31-38,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
10:00.0,T. Jones misses 2-pt shot from 15 ft,,31-38,,
9:59.0,,,31-38,,Defensive rebound by Team
9:44.0,,,31-41,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by J. Meeks)
9:37.0,Offensive charge foul by C. Brewer,,31-41,,
9:37.0,Turnover by C. Brewer (offensive foul),,31-41,,
9:27.0,,,31-43,2,S. Dinwiddie makes 2-pt shot at rim
9:27.0,Houston full timeout,,31-43,,
9:27.0,J. Smith enters the game for T. Jones,,31-43,,
9:14.0,J. Terry misses 3-pt shot from 25 ft,,31-43,,
9:13.0,,,31-43,,Defensive rebound by J. Meeks
8:48.0,,,31-43,,S. Dinwiddie misses 3-pt shot from 25 ft
8:48.0,,,31-43,,Offensive rebound by Team
8:48.0,,,31-43,,Turnover by Team (shot clock)
8:35.0,Shooting foul by A. Tolliver (drawn by J. Smith),,31-43,,
8:35.0,J. Smith makes free throw 1 of 2,1,32-43,,
8:35.0,P. Beverley enters the game for J. Terry,,32-43,,
8:35.0,J. Smith misses free throw 2 of 2,,32-43,,
8:35.0,,,32-43,,Defensive rebound by G. Monroe
8:15.0,,,32-43,,K. Caldwell-Pope misses 2-pt shot from 11 ft
8:14.0,Defensive rebound by Team,,32-43,,
8:01.0,T. Ariza misses 3-pt shot from 26 ft,,32-43,,
8:00.0,,,32-43,,Defensive rebound by S. Dinwiddie
7:55.0,,,32-43,,Turnover by J. Meeks (lost ball)
7:37.0,C. Brewer makes 2-pt shot at rim (assist by J. Smith),2,34-43,,
7:15.0,,,34-45,2,G. Monroe makes 2-pt shot from 6 ft
6:57.0,J. Smith misses 2-pt shot from 2 ft,,34-45,,
6:56.0,Offensive rebound by D. Motiejunas,,34-45,,
6:40.0,D. Motiejunas misses 2-pt shot from 5 ft,,34-45,,
6:37.0,Offensive rebound by J. Smith,,34-45,,
6:30.0,Shooting foul by S. Dinwiddie (drawn by P. Beverley),,34-45,,
6:30.0,P. Beverley makes free throw 1 of 2,1,35-45,,
6:30.0,J. Harden enters the game for C. Brewer,,35-45,,
6:30.0,P. Beverley makes free throw 2 of 2,1,36-45,,
6:08.0,,,36-45,,K. Caldwell-Pope misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by J. Smith,,36-45,,
6:01.0,J. Smith misses 2-pt shot from 4 ft,,36-45,,
5:58.0,,,36-45,,Defensive rebound by G. Monroe
5:51.0,,,36-45,,A. Tolliver misses 3-pt shot from 26 ft
5:50.0,Defensive rebound by T. Ariza,,36-45,,
5:37.0,D. Motiejunas misses 2-pt shot from 5 ft,,36-45,,
5:37.0,Offensive rebound by Team,,36-45,,
5:37.0,Official timeout,,36-45,,
5:37.0,T. Jones enters the game for D. Motiejunas,,36-45,,
5:37.0,,,36-45,,K. Singler enters the game for J. Meeks
5:37.0,,,36-45,,D. Augustin enters the game for S. Dinwiddie
5:36.0,Jump ball: G. Monroe vs. J. Smith (P. Beverley gains possession),,,,Jump ball: G. Monroe vs. J. Smith (P. Beverley gains possession)
5:22.0,T. Jones misses 2-pt shot from 5 ft,,36-45,,
5:21.0,,,36-45,,Defensive rebound by A. Tolliver
5:07.0,,,36-45,,G. Monroe misses 2-pt shot from 4 ft
5:05.0,Defensive rebound by T. Jones,,36-45,,
5:01.0,J. Harden misses 2-pt shot from 3 ft,,36-45,,
5:00.0,Offensive rebound by T. Ariza,,36-45,,
4:53.0,T. Ariza makes 3-pt shot from 25 ft (assist by T. Jones),3,39-45,,
4:48.0,Personal foul by T. Jones (drawn by D. Augustin),,39-45,,
4:48.0,Houston full timeout,,39-45,,
4:48.0,C. Brewer enters the game for J. Harden,,39-45,,
4:48.0,,,39-45,,A. Drummond enters the game for A. Tolliver
4:41.0,,,39-47,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by D. Augustin)
4:28.0,J. Smith misses 3-pt shot from 26 ft,,39-47,,
4:27.0,,,39-47,,Defensive rebound by A. Drummond
4:19.0,,,39-50,3,K. Singler makes 3-pt shot from 23 ft (assist by D. Augustin)
3:58.0,J. Smith makes 2-pt shot from 1 ft (assist by T. Ariza),2,41-50,,
3:48.0,Personal foul by P. Beverley (drawn by D. Augustin),,41-50,,
3:42.0,,,41-50,,Shooting foul by C. Brewer (drawn by K. Caldwell-Pope)
3:42.0,,,41-51,1,K. Caldwell-Pope makes free throw 1 of 2
3:42.0,,,41-51,,K. Caldwell-Pope misses free throw 2 of 2
3:42.0,Defensive rebound by T. Jones,,41-51,,
3:18.0,T. Jones misses 2-pt shot from 6 ft (block by A. Drummond),,41-51,,
3:18.0,Offensive rebound by Team,,41-51,,
3:17.0,Turnover by Team (shot clock),,41-51,,
3:05.0,,,41-51,,Shooting foul by J. Smith (drawn by G. Monroe)
3:05.0,,,41-52,1,G. Monroe makes free throw 1 of 2
3:05.0,,,41-52,,G. Monroe misses free throw 2 of 2
3:05.0,Defensive rebound by T. Ariza,,41-52,,
2:56.0,Turnover by P. Beverley (bad pass),,41-52,,
2:41.0,,,41-52,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by P. Beverley,,41-52,,
2:33.0,Turnover by C. Brewer (bad pass; steal by K. Caldwell-Pope),,41-52,,
2:30.0,,,41-54,2,D. Augustin makes 2-pt shot at rim (assist by K. Caldwell-Pope)
2:30.0,,,41-54,,Shooting foul by P. Beverley (drawn by D. Augustin)
2:30.0,,,41-54,,D. Augustin misses free throw 1 of 1
2:28.0,Defensive rebound by J. Smith,,41-54,,
2:06.0,T. Jones misses 2-pt shot from 7 ft,,41-54,,
2:05.0,,,41-54,,Defensive rebound by D. Augustin
1:52.0,,,41-54,,G. Monroe misses 2-pt shot from 4 ft
1:50.0,,,41-54,,Offensive rebound by A. Drummond
1:45.0,,,41-56,2,D. Augustin makes 2-pt shot at rim (assist by K. Singler)
1:38.0,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza),3,44-56,,
1:23.0,,,44-56,,K. Singler misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by P. Beverley,,44-56,,
1:14.0,P. Beverley misses 3-pt shot from 24 ft,,44-56,,
1:13.0,,,44-56,,Defensive rebound by G. Monroe
0:49.0,,,44-56,,D. Augustin misses 2-pt shot from 5 ft
0:47.0,,,44-56,,Offensive rebound by A. Drummond
0:46.0,,,44-56,,A. Drummond misses 2-pt shot at rim
0:46.0,,,44-56,,Offensive rebound by A. Drummond
0:46.0,,,44-56,,Shooting foul by T. Jones (drawn by A. Drummond)
0:46.0,,,44-56,,A. Drummond misses free throw 1 of 2
0:46.0,,,44-56,,Offensive rebound by Team
0:46.0,D. Motiejunas enters the game for T. Jones,,44-56,,
0:46.0,,,44-57,1,A. Drummond makes free throw 2 of 2
0:31.0,D. Motiejunas makes 2-pt shot at rim (assist by T. Ariza),2,46-57,,
0:12.0,,,46-57,,K. Caldwell-Pope misses 2-pt shot from 6 ft
0:12.0,,,46-57,,Offensive rebound by Team
0:12.0,,,46-57,,A. Tolliver enters the game for G. Monroe
0:02.0,Personal foul by J. Smith (drawn by D. Augustin),,46-57,,
0:02.0,,,46-58,1,D. Augustin makes free throw 1 of 2
0:02.0,,,46-58,,G. Monroe enters the game for A. Tolliver
0:02.0,,,46-59,1,D. Augustin makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,46-59,,Shooting foul by J. Dorsey (drawn by G. Monroe)
11:48.0,,,46-59,,G. Monroe misses free throw 1 of 2
11:48.0,,,46-59,,Offensive rebound by Team
11:48.0,,,46-60,1,G. Monroe makes free throw 2 of 2
11:35.0,P. Beverley misses 3-pt shot from 22 ft,,46-60,,
11:34.0,,,46-60,,Defensive rebound by G. Monroe
11:24.0,,,46-62,2,G. Monroe makes 2-pt shot from 1 ft (assist by D. Augustin)
11:24.0,Houston full timeout,,46-62,,
11:10.0,Turnover by J. Harden (bad pass; steal by K. Singler),,46-62,,
11:05.0,,,46-64,2,D. Augustin makes 2-pt shot from 1 ft (assist by K. Singler)
10:45.0,D. Motiejunas makes 2-pt shot from 6 ft,2,48-64,,
10:20.0,,,48-64,,Shooting foul by D. Motiejunas (drawn by G. Monroe)
10:20.0,,,48-64,,G. Monroe misses free throw 1 of 2
10:20.0,,,48-64,,Offensive rebound by Team
10:20.0,,,48-65,1,G. Monroe makes free throw 2 of 2
9:58.0,P. Beverley misses 3-pt shot from 25 ft,,48-65,,
9:57.0,,,48-65,,Defensive rebound by K. Caldwell-Pope
9:45.0,,,48-67,2,G. Monroe makes 2-pt shot at rim (assist by D. Augustin)
9:31.0,J. Harden makes 3-pt shot from 27 ft,3,51-67,,
9:11.0,,,51-67,,K. Singler misses 2-pt shot from 21 ft
9:09.0,Defensive rebound by P. Beverley,,51-67,,
9:00.0,J. Harden misses 2-pt shot from 15 ft,,51-67,,
8:59.0,,,51-67,,Defensive rebound by A. Drummond
8:43.0,,,51-69,2,D. Augustin makes 2-pt shot at rim (assist by G. Monroe)
8:32.0,T. Ariza misses 2-pt shot at rim,,51-69,,
8:32.0,Offensive rebound by J. Dorsey,,51-69,,
8:32.0,Shooting foul by G. Monroe (drawn by J. Dorsey),,51-69,,
8:32.0,J. Dorsey misses free throw 1 of 2,,51-69,,
8:32.0,Offensive rebound by Team,,51-69,,
8:32.0,,,51-69,,Violation by A. Drummond (lane)
8:32.0,J. Dorsey makes free throw 2 of 2,1,52-69,,
8:14.0,,,52-71,2,D. Augustin makes 2-pt shot at rim
8:00.0,D. Motiejunas makes 3-pt shot from 23 ft (assist by J. Harden),3,55-71,,
7:42.0,,,55-71,,Turnover by D. Augustin (lost ball; steal by P. Beverley)
7:38.0,T. Ariza misses 2-pt shot from 7 ft (block by K. Caldwell-Pope),,55-71,,
7:38.0,Offensive rebound by Team,,55-71,,
7:33.0,,,55-71,,Personal foul by K. Caldwell-Pope (drawn by J. Harden)
7:26.0,J. Harden misses 2-pt shot from 17 ft,,55-71,,
7:25.0,,,55-71,,Defensive rebound by A. Drummond
7:20.0,,,55-73,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by D. Augustin)
7:15.0,Turnover by T. Ariza (lost ball; steal by K. Singler),,55-73,,
7:12.0,,,55-73,,Turnover by K. Singler (traveling)
6:52.0,D. Motiejunas makes 2-pt shot from 7 ft,2,57-73,,
6:27.0,,,57-75,2,G. Monroe makes 2-pt shot at rim (assist by D. Augustin)
6:10.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,59-75,,
5:50.0,,,59-75,,Shooting foul by J. Dorsey (drawn by D. Augustin)
5:50.0,,,59-76,1,D. Augustin makes free throw 1 of 2
5:50.0,,,59-76,,J. Meeks enters the game for K. Caldwell-Pope
5:50.0,J. Smith enters the game for J. Dorsey,,59-76,,
5:50.0,,,59-77,1,D. Augustin makes free throw 2 of 2
5:37.0,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden),2,61-77,,
5:23.0,,,61-77,,J. Meeks misses 3-pt shot from 26 ft
5:22.0,Defensive rebound by J. Harden,,61-77,,
5:09.0,J. Smith misses 2-pt shot from 4 ft,,61-77,,
5:08.0,Offensive rebound by D. Motiejunas,,61-77,,
5:06.0,J. Smith misses 2-pt shot from 8 ft (block by G. Monroe),,61-77,,
5:06.0,Offensive rebound by Team,,61-77,,
5:06.0,T. Jones enters the game for D. Motiejunas,,61-77,,
5:06.0,Jump ball: G. Monroe vs. J. Smith (P. Beverley gains possession),,,,Jump ball: G. Monroe vs. J. Smith (P. Beverley gains possession)
5:00.0,P. Beverley misses 2-pt shot from 5 ft,,61-77,,
5:00.0,,,61-77,,Defensive rebound by G. Monroe
5:00.0,Personal foul by P. Beverley (drawn by G. Monroe),,61-77,,
4:43.0,,,61-77,,K. Singler misses 3-pt shot from 25 ft (block by J. Harden)
4:42.0,,,61-77,,Offensive rebound by K. Singler
4:37.0,,,61-79,2,K. Singler makes 2-pt shot at rim
4:28.0,Shooting foul by K. Singler (drawn by J. Harden),,61-79,,
4:28.0,J. Harden makes free throw 1 of 2,1,62-79,,
4:28.0,J. Harden makes free throw 2 of 2,1,63-79,,
4:08.0,,,63-79,,G. Monroe misses 2-pt shot from 4 ft
4:05.0,,,63-79,,Offensive rebound by A. Drummond
3:59.0,,,63-79,,A. Drummond misses 2-pt shot from 2 ft
3:58.0,Defensive rebound by J. Harden,,63-79,,
3:55.0,J. Harden makes 2-pt shot at rim,2,65-79,,
3:35.0,,,65-79,,G. Monroe misses 2-pt shot from 4 ft
3:33.0,,,65-79,,Offensive rebound by A. Drummond
3:33.0,,,65-79,,Shooting foul by J. Smith (drawn by A. Drummond)
3:33.0,,,65-79,,A. Drummond misses free throw 1 of 2
3:33.0,,,65-79,,Offensive rebound by Team
3:33.0,,,65-79,,A. Drummond misses free throw 2 of 2
3:32.0,Defensive rebound by J. Smith,,65-79,,
3:16.0,T. Ariza misses 3-pt shot from 27 ft,,65-79,,
3:15.0,Offensive rebound by J. Smith,,65-79,,
3:12.0,T. Ariza misses 2-pt shot at rim,,65-79,,
3:11.0,,,65-79,,Defensive rebound by A. Drummond
3:05.0,,,65-81,2,A. Drummond makes 2-pt shot from 1 ft (assist by D. Augustin)
3:05.0,,,65-81,,Shooting foul by T. Ariza (drawn by A. Drummond)
3:05.0,,,65-81,,A. Tolliver enters the game for G. Monroe
3:05.0,I. Canaan enters the game for P. Beverley,,65-81,,
3:05.0,C. Brewer enters the game for T. Ariza,,65-81,,
3:05.0,,,65-81,,A. Drummond misses free throw 1 of 1
3:04.0,,,65-81,,Offensive rebound by Team
2:53.0,,,65-81,,A. Tolliver misses 3-pt shot from 23 ft
2:52.0,Defensive rebound by T. Jones,,65-81,,
2:35.0,I. Canaan misses 3-pt shot from 24 ft,,65-81,,
2:34.0,,,65-81,,Defensive rebound by A. Drummond
2:26.0,,,65-84,3,D. Augustin makes 3-pt shot from 24 ft
2:12.0,I. Canaan misses 3-pt shot from 23 ft,,65-84,,
2:10.0,Offensive rebound by J. Smith,,65-84,,
2:00.0,J. Harden misses 3-pt shot from 26 ft,,65-84,,
1:59.0,,,65-84,,Defensive rebound by A. Drummond
1:52.0,,,65-86,2,D. Augustin makes 2-pt shot at rim
1:36.0,J. Smith makes 2-pt shot at rim (assist by J. Harden),2,67-86,,
1:12.0,,,67-86,,A. Tolliver misses 2-pt shot at rim (block by J. Smith)
1:11.0,Defensive rebound by T. Jones,,67-86,,
1:08.0,Turnover by J. Smith (bad pass),,67-86,,
1:08.0,,,67-86,,Detroit full timeout
1:08.0,,,67-86,,S. Dinwiddie enters the game for K. Singler
1:08.0,,,67-86,,K. Caldwell-Pope enters the game for D. Augustin
1:08.0,D. Motiejunas enters the game for J. Smith,,67-86,,
0:50.0,,,67-86,,K. Caldwell-Pope misses 2-pt shot at rim
0:48.0,Defensive rebound by J. Harden,,67-86,,
0:44.0,J. Harden makes 2-pt shot at rim (assist by C. Brewer),2,69-86,,
0:31.0,,,69-86,,A. Drummond misses 2-pt shot from 1 ft
0:30.0,,,69-86,,Offensive rebound by K. Caldwell-Pope
0:28.0,,,69-86,,K. Caldwell-Pope misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by J. Harden,,69-86,,
0:24.0,I. Canaan misses 3-pt shot from 24 ft,,69-86,,
0:23.0,Offensive rebound by C. Brewer,,69-86,,
0:02.0,J. Harden misses 2-pt shot from 4 ft,,69-86,,
0:01.0,,,69-86,,Defensive rebound by K. Caldwell-Pope
0:01.0,,,69-86,,K. Caldwell-Pope misses 3-pt shot from 53 ft
0:00.0,,,69-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,K. Papanikolaou makes 3-pt shot from 25 ft (assist by D. Motiejunas),3,72-86,,
11:22.0,,,72-86,,Turnover by S. Dinwiddie (lost ball; steal by J. Harden)
11:17.0,Shooting foul by K. Caldwell-Pope (drawn by J. Harden),,72-86,,
11:17.0,C. Brewer misses free throw 1 of 2,,72-86,,
11:17.0,Offensive rebound by Team,,72-86,,
11:17.0,C. Brewer makes free throw 2 of 2,1,73-86,,
11:03.0,,,73-86,,Shooting foul by C. Brewer (drawn by A. Drummond)
11:03.0,,,73-86,,A. Drummond misses free throw 1 of 2
11:03.0,,,73-86,,Offensive rebound by Team
11:03.0,,,73-86,,A. Drummond misses free throw 2 of 2
11:01.0,Defensive rebound by K. Papanikolaou,,73-86,,
10:42.0,C. Brewer misses 2-pt shot from 3 ft (block by A. Drummond),,73-86,,
10:40.0,Offensive rebound by K. Papanikolaou,,73-86,,
10:37.0,K. Papanikolaou makes 3-pt shot from 25 ft,3,76-86,,
10:12.0,,,76-86,,A. Drummond misses 2-pt shot from 7 ft
10:10.0,Defensive rebound by J. Harden,,76-86,,
10:03.0,I. Canaan misses 3-pt shot from 23 ft,,76-86,,
10:01.0,,,76-86,,Defensive rebound by K. Caldwell-Pope
9:50.0,,,76-86,,A. Tolliver misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by D. Motiejunas,,76-86,,
9:39.0,J. Harden makes 3-pt shot from 24 ft (assist by D. Motiejunas),3,79-86,,
9:38.0,,,79-86,,Detroit full timeout
9:38.0,,,79-86,,G. Monroe enters the game for A. Drummond
9:38.0,,,79-86,,D. Augustin enters the game for S. Dinwiddie
9:29.0,Personal foul by I. Canaan (drawn by D. Augustin),,79-86,,
9:16.0,,,79-86,,D. Augustin misses 2-pt shot from 1 ft
9:13.0,,,79-86,,Offensive rebound by A. Tolliver
9:12.0,,,79-88,2,A. Tolliver makes 2-pt shot at rim
8:59.0,I. Canaan misses 3-pt shot from 26 ft,,79-88,,
8:57.0,,,79-88,,Defensive rebound by G. Monroe
8:49.0,Personal foul by I. Canaan (drawn by D. Augustin),,79-88,,
8:49.0,T. Ariza enters the game for I. Canaan,,79-88,,
8:35.0,,,79-88,,Turnover by D. Augustin (bad pass; steal by J. Harden)
8:31.0,K. Papanikolaou makes 2-pt shot at rim,2,81-88,,
8:04.0,,,81-91,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by J. Meeks)
7:52.0,Shooting foul by K. Caldwell-Pope (drawn by J. Harden),,81-91,,
7:52.0,J. Harden makes 2-pt shot at rim,2,83-91,,
7:52.0,,,83-91,,K. Singler enters the game for J. Meeks
7:52.0,J. Harden makes free throw 1 of 1,1,84-91,,
7:31.0,,,84-91,,Shooting foul by K. Papanikolaou (drawn by K. Caldwell-Pope)
7:31.0,,,84-91,,K. Caldwell-Pope misses free throw 1 of 2
7:31.0,,,84-91,,Offensive rebound by Team
7:31.0,,,84-92,1,K. Caldwell-Pope makes free throw 2 of 2
7:18.0,J. Harden makes 2-pt shot at rim,2,86-92,,
7:18.0,Shooting foul by G. Monroe (drawn by J. Harden),,86-92,,
7:18.0,J. Harden misses free throw 1 of 1,,86-92,,
7:14.0,,,86-92,,Defensive rebound by G. Monroe
6:54.0,,,86-92,,K. Caldwell-Pope misses 3-pt shot from 22 ft
6:53.0,Defensive rebound by J. Harden,,86-92,,
6:30.0,J. Harden misses 3-pt shot from 26 ft,,86-92,,
6:29.0,,,86-92,,Defensive rebound by Team
6:09.0,,,86-92,,K. Singler misses 3-pt shot from 23 ft
6:07.0,Defensive rebound by C. Brewer,,86-92,,
5:58.0,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden),2,88-92,,
5:35.0,,,88-92,,Shooting foul by D. Motiejunas (drawn by D. Augustin)
5:35.0,Official timeout,,88-92,,
5:35.0,,,88-92,,D. Augustin misses free throw 1 of 2
5:35.0,,,88-92,,Offensive rebound by Team
5:35.0,,,88-93,1,D. Augustin makes free throw 2 of 2
5:22.0,K. Papanikolaou misses 3-pt shot from 23 ft,,88-93,,
5:21.0,,,88-93,,Defensive rebound by G. Monroe
5:00.0,,,88-96,3,K. Caldwell-Pope makes 3-pt shot from 25 ft
4:39.0,Turnover by J. Harden (bad pass; steal by A. Tolliver),,88-96,,
4:34.0,,,88-96,,Turnover by D. Augustin (bad pass; steal by K. Papanikolaou)
4:29.0,Shooting foul by A. Tolliver (drawn by C. Brewer),,88-96,,
4:29.0,C. Brewer misses free throw 1 of 2,,88-96,,
