time,Denver,pts.away,score,pts.home,LA Clippers
5:13.0,G. Harris makes 3-pt shot from 27 ft (assist by K. Faried),3,19-19,,
4:57.0,,,19-22,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
4:39.0,G. Harris misses 3-pt shot from 26 ft,,19-22,,
4:38.0,Offensive rebound by E. Green,,19-22,,
4:29.0,E. Green makes 2-pt shot from 16 ft (assist by G. Harris),2,21-22,,
4:16.0,,,21-22,,J. Redick misses 2-pt shot from 3 ft
4:14.0,Defensive rebound by R. Foye,,21-22,,
4:10.0,E. Green misses 3-pt shot from 27 ft,,21-22,,
4:08.0,Offensive rebound by G. Harris,,21-22,,
4:04.0,R. Foye misses 3-pt shot from 27 ft,,21-22,,
4:02.0,,,21-22,,Defensive rebound by B. Griffin
3:52.0,,,21-22,,B. Griffin misses 2-pt shot from 17 ft
3:50.0,Defensive rebound by R. Foye,,21-22,,
3:45.0,E. Green misses 2-pt shot from 13 ft,,21-22,,
3:40.0,,,21-22,,Defensive rebound by B. Griffin
3:37.0,,,21-24,2,C. Paul makes 2-pt shot from 20 ft
3:22.0,W. Chandler makes 3-pt shot from 27 ft (assist by R. Foye),3,24-24,,
3:07.0,,,24-26,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
2:47.0,W. Chandler makes 3-pt shot from 26 ft (assist by R. Foye),3,27-26,,
2:26.0,,,27-26,,B. Griffin misses 2-pt shot from 6 ft
2:25.0,Defensive rebound by R. Foye,,27-26,,
2:23.0,Shooting foul by M. Barnes (drawn by W. Chandler),,27-26,,
2:23.0,,,27-26,,LA Clippers full timeout
2:23.0,,,27-26,,G. Davis enters the game for M. Barnes
2:23.0,,,27-26,,A. Rivers enters the game for D. Jordan
2:23.0,,,27-26,,J. Crawford enters the game for J. Redick
2:23.0,J. Hickson enters the game for K. Faried,,27-26,,
2:23.0,W. Barton enters the game for E. Green,,27-26,,
2:23.0,W. Chandler makes free throw 1 of 2,1,28-26,,
2:23.0,W. Chandler makes free throw 2 of 2,1,29-26,,
2:12.0,,,29-28,2,B. Griffin makes 2-pt shot from 2 ft (assist by G. Davis)
1:49.0,W. Barton misses 2-pt shot from 20 ft,,29-28,,
1:47.0,,,29-28,,Defensive rebound by C. Paul
1:30.0,,,29-28,,C. Paul misses 2-pt shot from 15 ft
1:29.0,Defensive rebound by J. Hickson,,29-28,,
1:15.0,J. Hickson misses 2-pt shot from 12 ft,,29-28,,
1:12.0,,,29-28,,Defensive rebound by C. Paul
1:00.0,,,29-28,,Shooting foul by R. Foye (drawn by G. Davis)
1:00.0,,,29-28,,G. Davis misses free throw 1 of 2
1:00.0,,,29-28,,Offensive rebound by Team
1:00.0,,,29-28,,L. Hudson enters the game for C. Paul
1:00.0,J. Nurkic enters the game for W. Chandler,,29-28,,
1:00.0,,,29-29,1,G. Davis makes free throw 2 of 2
0:51.0,R. Foye misses 2-pt shot from 3 ft,,29-29,,
0:49.0,,,29-29,,Defensive rebound by G. Davis
0:40.0,,,29-29,,B. Griffin misses 2-pt shot from 4 ft
0:38.0,,,29-29,,Offensive rebound by G. Davis
0:32.0,Personal foul by J. Nurkic (drawn by B. Griffin),,29-29,,
0:32.0,,,29-30,1,B. Griffin makes free throw 1 of 2
0:32.0,,,29-31,1,B. Griffin makes free throw 2 of 2
0:15.0,R. Foye makes 2-pt shot from 19 ft,2,31-31,,
0:00.0,,,31-31,,L. Hudson misses 3-pt shot from 25 ft
0:00.0,,,31-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Nurkic misses 2-pt shot from 1 ft,,31-31,,
11:41.0,,,31-31,,Defensive rebound by G. Davis
11:39.0,,,31-31,,Turnover by G. Davis (bad pass; steal by E. Green)
11:32.0,Turnover by G. Harris (bad pass; steal by H. Turkoglu),,31-31,,
11:15.0,,,31-31,,Shooting foul by J. Hickson (drawn by G. Davis)
11:15.0,,,31-32,1,G. Davis makes free throw 1 of 2
11:15.0,,,31-33,1,G. Davis makes free throw 2 of 2
10:56.0,J. Hickson misses 2-pt shot from 3 ft,,31-33,,
10:54.0,Offensive rebound by J. Nurkic,,31-33,,
10:54.0,J. Nurkic makes 2-pt shot at rim,2,33-33,,
10:37.0,,,33-35,2,A. Rivers makes 2-pt shot from 8 ft
10:21.0,G. Harris makes 3-pt shot from 26 ft (assist by J. Hickson),3,36-35,,
10:07.0,,,36-35,,Turnover by J. Crawford (bad pass; steal by J. Hickson)
9:58.0,,,36-35,,Personal foul by J. Crawford (drawn by J. Nurkic)
9:50.0,Shooting foul by G. Davis (drawn by W. Barton),,36-35,,
9:50.0,W. Barton makes free throw 1 of 2,1,37-35,,
9:50.0,W. Barton makes free throw 2 of 2,1,38-35,,
9:38.0,,,38-37,2,H. Turkoglu makes 2-pt shot from 12 ft (assist by J. Crawford)
9:17.0,J. Hickson misses 2-pt shot from 17 ft,,38-37,,
9:15.0,,,38-37,,Defensive rebound by A. Rivers
9:03.0,,,38-37,,Shooting foul by J. Nurkic (drawn by S. Hawes)
9:03.0,,,38-38,1,S. Hawes makes free throw 1 of 2
9:03.0,,,38-39,1,S. Hawes makes free throw 2 of 2
8:49.0,J. Hickson makes 2-pt shot from 2 ft (assist by W. Barton),2,40-39,,
8:35.0,,,40-39,,S. Hawes misses 2-pt shot from 5 ft
8:33.0,Defensive rebound by J. Hickson,,40-39,,
8:29.0,W. Barton misses 2-pt shot from 3 ft,,40-39,,
8:26.0,,,40-39,,Defensive rebound by H. Turkoglu
8:17.0,,,40-39,,H. Turkoglu misses 3-pt shot from 26 ft
8:15.0,Defensive rebound by J. Nurkic,,40-39,,
8:07.0,,,40-39,,Personal foul by S. Hawes (drawn by J. Hickson)
8:07.0,Official timeout,,40-39,,
8:07.0,R. Foye enters the game for G. Harris,,40-39,,
7:59.0,R. Foye makes 3-pt shot from 25 ft (assist by E. Green),3,43-39,,
7:49.0,,,43-39,,D. Jordan enters the game for G. Davis
7:32.0,J. Nurkic misses 2-pt shot from 6 ft (block by S. Hawes),,43-39,,
7:30.0,,,43-39,,Defensive rebound by J. Crawford
7:28.0,,,43-39,,Turnover by J. Crawford (lost ball; steal by R. Foye)
7:19.0,W. Barton misses 3-pt shot from 25 ft,,43-39,,
7:19.0,Offensive rebound by J. Nurkic,,43-39,,
7:19.0,,,43-39,,Loose ball foul by S. Hawes (drawn by J. Nurkic)
7:19.0,,,43-39,,J. Redick enters the game for H. Turkoglu
7:12.0,E. Green makes 2-pt shot from 10 ft (assist by R. Foye),2,45-39,,
7:00.0,,,45-39,,LA Clippers full timeout
7:00.0,,,45-39,,C. Paul enters the game for J. Crawford
7:00.0,,,45-39,,M. Barnes enters the game for A. Rivers
7:00.0,,,45-39,,B. Griffin enters the game for S. Hawes
6:48.0,,,45-39,,B. Griffin misses 2-pt shot from 12 ft
6:42.0,Defensive rebound by W. Barton,,45-39,,
6:35.0,Turnover by J. Nurkic (bad pass; steal by J. Redick),,45-39,,
6:28.0,,,45-39,,J. Redick misses 2-pt shot from 20 ft
6:26.0,Defensive rebound by W. Barton,,45-39,,
6:21.0,J. Hickson makes 2-pt shot at rim (assist by J. Nurkic),2,47-39,,
6:04.0,Personal foul by J. Nurkic (drawn by C. Paul),,47-39,,
5:55.0,,,47-39,,M. Barnes misses 3-pt shot from 24 ft
5:54.0,Defensive rebound by R. Foye,,47-39,,
5:36.0,R. Foye misses 3-pt shot from 23 ft,,47-39,,
5:36.0,,,47-39,,Defensive rebound by B. Griffin
5:32.0,K. Faried enters the game for J. Nurkic,,47-39,,
5:22.0,,,47-41,2,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul)
4:57.0,J. Hickson misses 2-pt shot from 17 ft,,47-41,,
4:56.0,,,47-41,,Defensive rebound by J. Redick
4:52.0,,,47-41,,Turnover by B. Griffin (bad pass; steal by K. Faried)
4:40.0,W. Barton misses 2-pt shot from 6 ft,,47-41,,
4:37.0,Offensive rebound by K. Faried,,47-41,,
4:37.0,K. Faried makes 2-pt shot from 2 ft,2,49-41,,
4:13.0,,,49-43,2,C. Paul makes 2-pt shot from 4 ft
3:56.0,K. Faried misses 2-pt shot from 8 ft,,49-43,,
3:53.0,Offensive rebound by J. Hickson,,49-43,,
3:53.0,J. Hickson misses 2-pt shot from 1 ft,,49-43,,
3:52.0,Offensive rebound by J. Hickson,,49-43,,
3:52.0,J. Hickson makes 2-pt shot from 1 ft,2,51-43,,
3:41.0,,,51-43,,C. Paul misses 2-pt shot from 7 ft
3:38.0,,,51-43,,Offensive rebound by D. Jordan
3:37.0,,,51-45,2,D. Jordan makes 2-pt shot from 1 ft
3:27.0,Denver full timeout,,51-45,,
3:27.0,W. Chandler enters the game for J. Hickson,,51-45,,
3:27.0,G. Harris enters the game for W. Barton,,51-45,,
3:18.0,W. Chandler makes 2-pt shot from 3 ft (assist by R. Foye),2,53-45,,
3:11.0,Personal foul by E. Green (drawn by J. Redick),,53-45,,
2:59.0,,,53-47,2,B. Griffin makes 2-pt shot from 7 ft (assist by J. Redick)
2:38.0,W. Chandler misses 2-pt shot from 5 ft (block by M. Barnes),,53-47,,
2:36.0,,,53-47,,Defensive rebound by C. Paul
2:33.0,,,53-47,,J. Redick misses 3-pt shot from 26 ft
2:29.0,Defensive rebound by W. Chandler,,53-47,,
2:19.0,K. Faried misses 2-pt shot from 6 ft,,53-47,,
2:15.0,,,53-47,,Defensive rebound by D. Jordan
2:11.0,,,53-47,,Shooting foul by W. Chandler (drawn by D. Jordan)
2:11.0,,,53-48,1,D. Jordan makes free throw 1 of 2
2:11.0,,,53-48,,D. Jordan misses free throw 2 of 2
2:09.0,Defensive rebound by W. Chandler,,53-48,,
1:50.0,E. Green misses 2-pt shot from 12 ft,,53-48,,
1:44.0,Offensive rebound by W. Chandler,,53-48,,
1:44.0,W. Chandler misses 2-pt shot from 2 ft,,53-48,,
1:41.0,Offensive rebound by G. Harris,,53-48,,
1:37.0,W. Chandler makes 2-pt shot from 17 ft (assist by R. Foye),2,55-48,,
1:32.0,,,55-48,,Shooting foul by W. Chandler (drawn by B. Griffin)
1:32.0,,,55-49,1,B. Griffin makes free throw 1 of 2
1:32.0,,,55-49,,J. Crawford enters the game for M. Barnes
1:32.0,,,55-50,1,B. Griffin makes free throw 2 of 2
1:18.0,R. Foye misses 3-pt shot from 26 ft,,55-50,,
1:16.0,,,55-50,,Defensive rebound by D. Jordan
1:08.0,,,55-50,,C. Paul misses 3-pt shot from 26 ft
1:07.0,,,55-50,,Offensive rebound by D. Jordan
1:07.0,,,55-52,2,D. Jordan makes 2-pt shot at rim
0:47.0,W. Chandler misses 2-pt shot from 4 ft (block by D. Jordan),,55-52,,
0:45.0,Offensive rebound by K. Faried,,55-52,,
0:45.0,K. Faried makes 2-pt shot from 6 ft,2,57-52,,
0:34.0,,,57-54,2,C. Paul makes 2-pt shot from 17 ft
0:13.0,W. Chandler misses 2-pt shot from 16 ft,,57-54,,
0:11.0,,,57-54,,Defensive rebound by D. Jordan
0:01.0,,,57-54,,Turnover by J. Redick (bad pass)
0:00.0,K. Faried misses 3-pt shot from 70 ft,,57-54,,
0:00.0,Offensive rebound by Team,,57-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,R. Foye makes 3-pt shot from 27 ft (assist by G. Harris),3,60-54,,
11:26.0,,,60-56,2,C. Paul makes 2-pt shot from 18 ft
11:01.0,W. Chandler misses 3-pt shot from 27 ft,,60-56,,
11:00.0,Offensive rebound by E. Green,,60-56,,
10:51.0,K. Faried misses 2-pt shot from 6 ft (block by D. Jordan),,60-56,,
10:48.0,Offensive rebound by K. Faried,,60-56,,
10:47.0,K. Faried misses 2-pt shot from 2 ft (block by D. Jordan),,60-56,,
10:43.0,,,60-56,,Defensive rebound by D. Jordan
10:30.0,,,60-56,,M. Barnes misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by K. Faried,,60-56,,
10:11.0,Offensive charge foul by K. Faried,,60-56,,
10:11.0,Turnover by K. Faried (offensive foul),,60-56,,
9:59.0,,,60-56,,M. Barnes misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by E. Green,,60-56,,
9:49.0,R. Foye misses 3-pt shot from 23 ft,,60-56,,
9:48.0,,,60-56,,Defensive rebound by D. Jordan
9:44.0,Personal foul by R. Foye (drawn by C. Paul),,60-56,,
9:44.0,Technical foul by K. Faried,,60-56,,
9:44.0,,,60-57,1,J. Redick makes technical free throw
9:27.0,,,60-57,,Shooting foul by G. Harris (drawn by J. Redick)
9:27.0,,,60-58,1,J. Redick makes free throw 1 of 2
9:27.0,,,60-59,1,J. Redick makes free throw 2 of 2
9:05.0,K. Faried makes 2-pt shot from 6 ft,2,62-59,,
8:46.0,,,62-59,,C. Paul misses 2-pt shot from 17 ft
8:45.0,,,62-59,,Offensive rebound by D. Jordan
8:45.0,,,62-59,,D. Jordan misses 2-pt shot from 2 ft
8:42.0,,,62-59,,Offensive rebound by D. Jordan
8:42.0,,,62-61,2,D. Jordan makes 2-pt shot at rim
8:28.0,W. Chandler makes 2-pt shot from 7 ft (assist by R. Foye),2,64-61,,
8:13.0,,,64-61,,M. Barnes misses 3-pt shot from 24 ft
8:12.0,,,64-61,,Offensive rebound by Team
8:10.0,,,64-63,2,M. Barnes makes 2-pt shot from 1 ft (assist by J. Redick)
7:53.0,Shooting foul by M. Barnes (drawn by G. Harris),,64-63,,
7:53.0,G. Harris makes free throw 1 of 2,1,65-63,,
7:53.0,G. Harris makes free throw 2 of 2,1,66-63,,
7:41.0,,,66-65,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
7:22.0,E. Green misses 2-pt shot from 22 ft,,66-65,,
7:21.0,,,66-65,,Defensive rebound by D. Jordan
7:13.0,,,66-68,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
6:54.0,R. Foye misses 3-pt shot from 26 ft,,66-68,,
6:52.0,Offensive rebound by K. Faried,,66-68,,
6:51.0,K. Faried makes 2-pt shot from 1 ft,2,68-68,,
6:31.0,,,68-68,,J. Redick misses 2-pt shot from 17 ft
6:30.0,Defensive rebound by Team,,68-68,,
6:06.0,R. Foye misses 2-pt shot from 7 ft,,68-68,,
6:03.0,Offensive rebound by K. Faried,,68-68,,
6:03.0,K. Faried makes 2-pt shot at rim,2,70-68,,
5:50.0,,,70-70,2,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin)
5:22.0,R. Foye makes 3-pt shot from 26 ft,3,73-70,,
5:08.0,,,73-70,,Turnover by J. Redick (step out of bounds)
5:08.0,,,73-70,,LA Clippers full timeout
5:08.0,,,73-70,,J. Crawford enters the game for M. Barnes
4:48.0,W. Chandler misses 2-pt shot from 9 ft,,73-70,,
4:46.0,,,73-70,,Defensive rebound by C. Paul
4:34.0,,,73-70,,B. Griffin misses 2-pt shot from 19 ft
4:33.0,,,73-70,,Offensive rebound by D. Jordan
4:32.0,,,73-70,,D. Jordan misses 2-pt shot at rim
4:31.0,,,73-70,,Offensive rebound by D. Jordan
4:31.0,,,73-70,,Shooting foul by W. Chandler (drawn by D. Jordan)
4:31.0,,,73-70,,D. Jordan misses free throw 1 of 2
4:31.0,,,73-70,,Offensive rebound by Team
4:31.0,,,73-70,,D. Jordan misses free throw 2 of 2
4:30.0,Defensive rebound by K. Faried,,73-70,,
4:15.0,Turnover by K. Faried (lost ball),,73-70,,
4:12.0,,,73-72,2,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin)
3:53.0,K. Faried misses 2-pt shot from 2 ft (block by D. Jordan),,73-72,,
3:50.0,Offensive rebound by E. Green,,73-72,,
3:50.0,E. Green misses 2-pt shot from 3 ft,,73-72,,
3:50.0,Offensive rebound by K. Faried,,73-72,,
3:50.0,K. Faried misses 2-pt shot from 2 ft,,73-72,,
3:50.0,,,73-72,,Defensive rebound by Team
3:50.0,Loose ball foul by K. Faried (drawn by D. Jordan),,73-72,,
3:50.0,J. Hickson enters the game for K. Faried,,73-72,,
3:41.0,,,73-72,,J. Redick misses 2-pt shot from 21 ft
3:40.0,,,73-72,,Offensive rebound by B. Griffin
3:33.0,,,73-74,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
3:14.0,W. Chandler makes 3-pt shot from 25 ft (assist by R. Foye),3,76-74,,
3:09.0,Personal foul by W. Chandler (drawn by B. Griffin),,76-74,,
3:09.0,,,76-75,1,B. Griffin makes free throw 1 of 2
3:09.0,J. Lauvergne enters the game for W. Chandler,,76-75,,
3:09.0,W. Barton enters the game for E. Green,,76-75,,
3:09.0,,,76-75,,A. Rivers enters the game for J. Redick
3:09.0,,,76-76,1,B. Griffin makes free throw 2 of 2
2:53.0,R. Foye misses 3-pt shot from 24 ft,,76-76,,
2:52.0,,,76-76,,Defensive rebound by D. Jordan
2:45.0,,,76-76,,D. Jordan misses 2-pt shot at rim
2:42.0,Defensive rebound by W. Barton,,76-76,,
2:42.0,Shooting foul by B. Griffin (drawn by W. Barton),,76-76,,
2:42.0,Denver full timeout,,76-76,,
2:42.0,W. Barton misses free throw 1 of 2,,76-76,,
2:42.0,Offensive rebound by Team,,76-76,,
2:42.0,W. Barton makes free throw 2 of 2,1,77-76,,
2:37.0,Personal take foul by J. Lauvergne (drawn by D. Jordan),,77-76,,
2:37.0,,,77-77,1,D. Jordan makes free throw 1 of 2
2:37.0,,,77-77,,D. Jordan misses free throw 2 of 2
2:36.0,Defensive rebound by J. Hickson,,77-77,,
2:22.0,Turnover by W. Barton (bad pass; steal by D. Jordan),,77-77,,
2:16.0,,,77-79,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
2:01.0,,,77-79,,G. Davis enters the game for D. Jordan
1:50.0,Turnover by Team (shot clock),,77-79,,
1:46.0,Personal take foul by J. Hickson (drawn by G. Davis),,77-79,,
1:46.0,,,77-80,1,G. Davis makes free throw 1 of 2
1:46.0,,,77-81,1,G. Davis makes free throw 2 of 2
1:33.0,G. Harris misses 2-pt shot from 20 ft,,77-81,,
1:32.0,,,77-81,,Defensive rebound by A. Rivers
1:28.0,Personal take foul by J. Lauvergne (drawn by G. Davis),,77-81,,
1:28.0,,,77-82,1,G. Davis makes free throw 1 of 2
1:28.0,W. Chandler enters the game for G. Harris,,77-82,,
1:28.0,,,77-83,1,G. Davis makes free throw 2 of 2
1:11.0,Shooting foul by B. Griffin (drawn by R. Foye),,77-83,,
1:11.0,R. Foye makes free throw 1 of 2,1,78-83,,
1:11.0,R. Foye misses free throw 2 of 2,,78-83,,
1:11.0,,,78-83,,Defensive rebound by Team
1:00.0,,,78-83,,J. Crawford misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by W. Barton,,78-83,,
0:37.0,R. Foye misses 3-pt shot from 27 ft,,78-83,,
0:35.0,,,78-83,,Defensive rebound by B. Griffin
0:28.0,,,78-83,,J. Crawford misses 3-pt shot from 26 ft
0:26.0,Defensive rebound by J. Hickson,,78-83,,
0:04.0,W. Chandler misses 2-pt shot from 8 ft (block by B. Griffin),,78-83,,
0:04.0,Offensive rebound by W. Barton,,78-83,,
0:04.0,Turnover by Team (shot clock),,78-83,,
0:04.0,G. Harris enters the game for J. Lauvergne,,78-83,,
0:01.0,,,78-83,,J. Crawford misses 3-pt shot from 22 ft
0:00.0,,,78-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,78-83,,B. Griffin misses 2-pt shot from 20 ft
11:44.0,Defensive rebound by W. Barton,,78-83,,
11:28.0,W. Chandler makes 3-pt shot from 26 ft (assist by W. Barton),3,81-83,,
11:12.0,,,81-83,,G. Davis misses 2-pt shot from 20 ft
11:11.0,Defensive rebound by J. Hickson,,81-83,,
11:04.0,W. Barton makes 2-pt shot from 3 ft,2,83-83,,
10:48.0,,,83-83,,J. Crawford misses 2-pt shot from 19 ft
10:45.0,Defensive rebound by W. Chandler,,83-83,,
10:38.0,J. Hickson misses 2-pt shot from 3 ft (block by B. Griffin),,83-83,,
10:35.0,,,83-83,,Defensive rebound by B. Griffin
10:30.0,,,83-86,3,M. Barnes makes 3-pt shot from 25 ft (assist by B. Griffin)
10:09.0,W. Chandler makes 3-pt shot from 27 ft,3,86-86,,
9:57.0,Personal foul by G. Harris (drawn by A. Rivers),,86-86,,
9:57.0,,,86-86,,S. Hawes enters the game for B. Griffin
9:57.0,E. Green enters the game for G. Harris,,86-86,,
9:50.0,,,86-86,,J. Crawford misses 2-pt shot from 11 ft
9:49.0,,,86-86,,Offensive rebound by G. Davis
9:45.0,,,86-88,2,A. Rivers makes 2-pt shot at rim
9:27.0,W. Barton makes 2-pt shot from 4 ft,2,88-88,,
9:09.0,,,88-88,,M. Barnes misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by J. Hickson,,88-88,,
8:46.0,W. Chandler makes 2-pt shot from 22 ft,2,90-88,,
8:25.0,,,90-88,,Turnover by M. Barnes (lost ball)
8:25.0,,,90-88,,Technical foul by M. Barnes
8:25.0,Official timeout,,90-88,,
8:25.0,,,90-88,,D. Jordan enters the game for G. Davis
8:25.0,W. Chandler misses technical free throw,,90-88,,
8:25.0,Offensive rebound by Team,,90-88,,
8:08.0,Turnover by K. Faried (bad pass; steal by S. Hawes),,90-88,,
8:00.0,,,90-88,,Offensive foul by A. Rivers
8:00.0,,,90-88,,Turnover by A. Rivers (offensive foul)
7:38.0,W. Chandler misses 2-pt shot from 1 ft,,90-88,,
7:37.0,Offensive rebound by K. Faried,,90-88,,
7:36.0,K. Faried misses 2-pt shot from 2 ft,,90-88,,
7:36.0,Offensive rebound by J. Hickson,,90-88,,
7:36.0,J. Hickson misses 2-pt shot from 1 ft,,90-88,,
7:36.0,Offensive rebound by K. Faried,,90-88,,
7:36.0,Shooting foul by M. Barnes (drawn by K. Faried),,90-88,,
7:36.0,K. Faried misses free throw 1 of 2,,90-88,,
7:36.0,Offensive rebound by Team,,90-88,,
7:36.0,K. Faried makes free throw 2 of 2,1,91-88,,
7:19.0,,,91-90,2,A. Rivers makes 2-pt shot from 2 ft (assist by D. Jordan)
7:01.0,Shooting foul by A. Rivers (drawn by W. Barton),,91-90,,
7:01.0,W. Barton makes free throw 1 of 2,1,92-90,,
7:01.0,,,92-90,,C. Paul enters the game for A. Rivers
7:01.0,,,92-90,,J. Redick enters the game for J. Crawford
7:01.0,,,92-90,,B. Griffin enters the game for S. Hawes
7:01.0,R. Foye enters the game for E. Green,,92-90,,
7:01.0,W. Barton makes free throw 2 of 2,1,93-90,,
6:50.0,,,93-90,,B. Griffin misses 2-pt shot from 2 ft
6:48.0,,,93-90,,Offensive rebound by B. Griffin
6:47.0,,,93-90,,B. Griffin misses 2-pt shot from 3 ft
6:46.0,Defensive rebound by K. Faried,,93-90,,
6:46.0,Offensive foul by K. Faried,,93-90,,
6:46.0,Turnover by K. Faried (offensive foul),,93-90,,
6:37.0,,,93-90,,J. Redick misses 2-pt shot from 11 ft
6:33.0,,,93-90,,Offensive rebound by D. Jordan
6:33.0,,,93-90,,D. Jordan misses 2-pt shot from 2 ft
6:30.0,Defensive rebound by W. Barton,,93-90,,
6:10.0,W. Barton misses 3-pt shot from 28 ft,,93-90,,
6:10.0,Offensive rebound by Team,,93-90,,
6:10.0,Turnover by Team (shot clock),,93-90,,
5:59.0,,,93-90,,J. Redick misses 2-pt shot from 20 ft
5:56.0,Defensive rebound by R. Foye,,93-90,,
5:43.0,W. Chandler makes 3-pt shot from 27 ft (assist by K. Faried),3,96-90,,
5:43.0,,,96-90,,LA Clippers full timeout
5:32.0,Personal foul by R. Foye (drawn by J. Redick),,96-90,,
5:24.0,,,96-90,,M. Barnes misses 3-pt shot from 23 ft
5:23.0,,,96-90,,Offensive rebound by D. Jordan
5:23.0,,,96-90,,Shooting foul by K. Faried (drawn by D. Jordan)
5:23.0,,,96-90,,D. Jordan misses free throw 1 of 2
