time,Detroit,pts.away,score,pts.home,Toronto
11:49.0,,,20-32,,L. Williams misses 2-pt shot from 16 ft
11:48.0,Defensive rebound by A. Tolliver,,20-32,,
11:30.0,A. Drummond makes 2-pt shot at rim (assist by D. Augustin),2,22-32,,
11:15.0,,,22-32,,Offensive charge foul by T. Hansbrough
11:15.0,,,22-32,,Turnover by T. Hansbrough (offensive foul)
11:04.0,A. Tolliver misses 3-pt shot from 26 ft,,22-32,,
11:03.0,Offensive rebound by Team,,22-32,,
10:42.0,K. Caldwell-Pope makes 2-pt shot from 16 ft,2,24-32,,
10:24.0,,,24-32,,P. Patterson misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by A. Drummond,,24-32,,
10:09.0,A. Drummond misses 2-pt shot from 13 ft,,24-32,,
10:09.0,,,24-32,,Defensive rebound by Team
10:09.0,Loose ball foul by A. Tolliver (drawn by P. Patterson),,24-32,,
9:56.0,,,24-32,,Shooting foul by C. Butler (drawn by J. Johnson)
9:56.0,,,24-33,1,J. Johnson makes free throw 1 of 2
9:56.0,,,24-34,1,J. Johnson makes free throw 2 of 2
9:45.0,D. Augustin makes 2-pt shot from 4 ft,2,26-34,,
9:35.0,,,26-37,3,G. Vasquez makes 3-pt shot from 26 ft (assist by L. Williams)
9:13.0,A. Tolliver misses 3-pt shot from 23 ft,,26-37,,
9:12.0,Offensive rebound by A. Drummond,,26-37,,
9:11.0,A. Drummond misses 2-pt shot from 2 ft,,26-37,,
9:10.0,Offensive rebound by A. Drummond,,26-37,,
9:09.0,A. Drummond misses 2-pt shot from 3 ft,,26-37,,
9:08.0,,,26-37,,Defensive rebound by Team
9:08.0,,,26-37,,J. Valanciunas enters the game for T. Hansbrough
9:08.0,Jump ball: P. Patterson vs. A. Tolliver (L. Williams gains possession),,,,Jump ball: P. Patterson vs. A. Tolliver (L. Williams gains possession)
8:49.0,,,26-39,2,L. Williams makes 2-pt shot from 13 ft
8:49.0,,,26-39,,Shooting foul by A. Tolliver (drawn by L. Williams)
8:49.0,Official timeout,,26-39,,
8:49.0,G. Monroe enters the game for D. Augustin,,26-39,,
8:49.0,B. Jennings enters the game for C. Butler,,26-39,,
8:49.0,K. Singler enters the game for A. Tolliver,,26-39,,
8:49.0,,,26-39,,L. Williams misses free throw 1 of 1
8:47.0,Defensive rebound by A. Drummond,,26-39,,
8:35.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,26-39,,
8:33.0,Offensive rebound by G. Monroe,,26-39,,
8:32.0,Shooting foul by P. Patterson (drawn by G. Monroe),,26-39,,
8:32.0,G. Monroe makes free throw 1 of 2,1,27-39,,
8:32.0,G. Monroe makes free throw 2 of 2,1,28-39,,
8:07.0,,,28-39,,L. Williams misses 3-pt shot from 31 ft
8:06.0,,,28-39,,Offensive rebound by J. Valanciunas
8:04.0,,,28-41,2,J. Valanciunas makes 2-pt shot from 2 ft
7:54.0,,,28-41,,Violation by J. Johnson (kicked ball)
7:42.0,Shooting foul by J. Valanciunas (drawn by A. Drummond),,28-41,,
7:42.0,A. Drummond makes free throw 1 of 2,1,29-41,,
7:42.0,A. Drummond makes free throw 2 of 2,1,30-41,,
7:30.0,,,30-41,,P. Patterson misses 3-pt shot from 23 ft
7:29.0,,,30-41,,Offensive rebound by J. Valanciunas
7:15.0,,,30-43,2,G. Vasquez makes 2-pt shot from 13 ft
7:07.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,30-43,,
7:06.0,Offensive rebound by Team,,30-43,,
7:04.0,,,30-43,,A. Johnson enters the game for P. Patterson
7:01.0,B. Jennings makes 3-pt shot from 23 ft (assist by K. Singler),3,33-43,,
6:43.0,,,33-45,2,A. Johnson makes 2-pt shot from 1 ft (assist by L. Williams)
6:28.0,B. Jennings misses 3-pt shot from 26 ft,,33-45,,
6:27.0,,,33-45,,Defensive rebound by J. Valanciunas
6:07.0,,,33-47,2,J. Johnson makes 2-pt shot from 2 ft (assist by A. Johnson)
5:46.0,G. Monroe makes 2-pt shot from 2 ft (assist by B. Jennings),2,35-47,,
5:35.0,,,35-47,,Turnover by L. Williams (bad pass; steal by A. Drummond)
5:30.0,Offensive charge foul by K. Singler,,35-47,,
5:30.0,Turnover by K. Singler (offensive foul),,35-47,,
5:30.0,,,35-47,,Toronto full timeout
5:30.0,,,35-47,,K. Lowry enters the game for J. Johnson
5:30.0,,,35-47,,T. Ross enters the game for L. Williams
5:17.0,,,35-47,,Turnover by K. Lowry (bad pass; steal by G. Monroe)
5:12.0,A. Drummond makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope),2,37-47,,
4:49.0,,,37-47,,A. Johnson misses 2-pt shot from 5 ft
4:48.0,Defensive rebound by A. Drummond,,37-47,,
4:40.0,Turnover by K. Singler (lost ball; steal by K. Lowry),,37-47,,
4:34.0,,,37-47,,T. Ross misses 3-pt shot from 26 ft
4:33.0,Defensive rebound by A. Drummond,,37-47,,
4:23.0,B. Jennings makes 2-pt shot from 5 ft,2,39-47,,
3:56.0,,,39-47,,T. Ross misses 3-pt shot from 26 ft (block by K. Singler)
3:56.0,,,39-47,,Offensive rebound by Team
3:56.0,,,39-47,,Turnover by Team (shot clock)
3:46.0,B. Jennings makes 3-pt shot from 24 ft,3,42-47,,
3:26.0,,,42-49,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
3:10.0,B. Jennings misses 2-pt shot from 17 ft,,42-49,,
3:09.0,,,42-49,,Defensive rebound by J. Valanciunas
2:56.0,,,42-49,,G. Vasquez misses 2-pt shot from 6 ft
2:55.0,,,42-49,,Offensive rebound by Team
2:54.0,Detroit full timeout,,42-49,,
2:48.0,,,42-51,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by A. Johnson)
2:30.0,Shooting foul by A. Johnson (drawn by A. Drummond),,42-51,,
2:30.0,A. Drummond misses free throw 1 of 2,,42-51,,
2:30.0,Offensive rebound by Team,,42-51,,
2:30.0,,,42-51,,L. Williams enters the game for G. Vasquez
2:30.0,A. Drummond makes free throw 2 of 2,1,43-51,,
2:14.0,,,43-51,,Shooting foul by A. Drummond (drawn by J. Valanciunas)
2:14.0,,,43-52,1,J. Valanciunas makes free throw 1 of 2
2:14.0,J. Jerebko enters the game for A. Drummond,,43-52,,
2:14.0,,,43-52,,P. Patterson enters the game for A. Johnson
2:14.0,,,43-53,1,J. Valanciunas makes free throw 2 of 2
2:01.0,G. Monroe makes 2-pt shot from 4 ft (assist by B. Jennings),2,45-53,,
1:39.0,,,45-55,2,L. Williams makes 2-pt shot from 15 ft
1:17.0,Shooting foul by J. Valanciunas (drawn by G. Monroe),,45-55,,
1:17.0,G. Monroe misses free throw 1 of 2,,45-55,,
1:17.0,Offensive rebound by Team,,45-55,,
1:17.0,,,45-55,,C. Hayes enters the game for J. Valanciunas
1:17.0,G. Monroe makes free throw 2 of 2,1,46-55,,
1:05.0,,,46-55,,C. Hayes misses 2-pt shot from 4 ft
1:04.0,Defensive rebound by J. Jerebko,,46-55,,
0:54.0,G. Monroe makes 2-pt shot at rim (assist by B. Jennings),2,48-55,,
0:33.0,,,48-58,3,L. Williams makes 3-pt shot from 25 ft
0:15.0,K. Singler misses 3-pt shot from 24 ft,,48-58,,
0:14.0,,,48-58,,Defensive rebound by T. Ross
0:04.0,,,48-60,2,L. Williams makes 2-pt shot from 7 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,48-60,,Turnover by T. Ross (bad pass)
11:33.0,G. Monroe misses 2-pt shot from 6 ft,,48-60,,
11:31.0,,,48-60,,Defensive rebound by A. Johnson
11:26.0,,,48-60,,Offensive foul by A. Johnson
11:26.0,,,48-60,,Turnover by A. Johnson (offensive foul)
11:16.0,B. Jennings makes 2-pt shot from 4 ft,2,50-60,,
10:58.0,,,50-62,2,T. Ross makes 2-pt shot from 1 ft (assist by A. Johnson)
10:49.0,Shooting foul by J. Johnson (drawn by B. Jennings),,50-62,,
10:49.0,B. Jennings misses free throw 1 of 2,,50-62,,
10:49.0,Offensive rebound by Team,,50-62,,
10:49.0,B. Jennings makes free throw 2 of 2,1,51-62,,
10:27.0,,,51-62,,K. Lowry misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by A. Drummond,,51-62,,
10:19.0,B. Jennings makes 2-pt shot from 19 ft,2,53-62,,
9:55.0,,,53-62,,Turnover by J. Johnson (bad pass; steal by B. Jennings)
9:49.0,A. Drummond misses 2-pt shot from 1 ft,,53-62,,
9:47.0,,,53-62,,Defensive rebound by J. Valanciunas
9:39.0,,,53-64,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by J. Johnson)
9:25.0,Turnover by K. Caldwell-Pope (lost ball),,53-64,,
9:20.0,,,53-64,,T. Ross misses 3-pt shot from 22 ft
9:19.0,Defensive rebound by K. Caldwell-Pope,,53-64,,
9:08.0,B. Jennings makes 2-pt shot from 19 ft,2,55-64,,
8:54.0,,,55-66,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by K. Lowry)
8:34.0,K. Singler makes 3-pt shot from 26 ft (assist by B. Jennings),3,58-66,,
8:19.0,,,58-66,,T. Ross misses 3-pt shot from 26 ft
8:18.0,Defensive rebound by K. Singler,,58-66,,
8:13.0,K. Caldwell-Pope makes 2-pt shot from 3 ft (assist by B. Jennings),2,60-66,,
8:13.0,Shooting foul by A. Johnson (drawn by K. Caldwell-Pope),,60-66,,
8:13.0,K. Caldwell-Pope makes free throw 1 of 1,1,61-66,,
7:56.0,,,61-66,,Turnover by J. Valanciunas (lost ball)
7:45.0,B. Jennings misses 2-pt shot from 6 ft,,61-66,,
7:44.0,Offensive rebound by A. Drummond,,61-66,,
7:42.0,A. Drummond makes 2-pt shot from 1 ft,2,63-66,,
7:24.0,Personal block foul by B. Jennings (drawn by K. Lowry),,63-66,,
7:19.0,,,63-66,,A. Johnson misses 2-pt shot from 4 ft
7:19.0,Defensive rebound by G. Monroe,,63-66,,
7:09.0,B. Jennings misses 2-pt shot from 4 ft,,63-66,,
7:08.0,,,63-66,,Defensive rebound by J. Johnson
6:56.0,,,63-66,,Shooting foul by A. Drummond (drawn by J. Johnson)
6:56.0,,,63-67,1,J. Johnson makes free throw 1 of 2
6:56.0,,,63-68,1,J. Johnson makes free throw 2 of 2
6:44.0,G. Monroe misses 2-pt shot from 2 ft (block by A. Johnson),,63-68,,
6:44.0,,,63-68,,Defensive rebound by Team
6:29.0,,,63-68,,A. Johnson misses 2-pt shot from 2 ft
6:28.0,Defensive rebound by A. Drummond,,63-68,,
6:22.0,B. Jennings misses 2-pt shot from 2 ft,,63-68,,
6:21.0,Offensive rebound by G. Monroe,,63-68,,
6:19.0,G. Monroe misses 2-pt shot at rim,,63-68,,
6:18.0,Offensive rebound by G. Monroe,,63-68,,
6:18.0,G. Monroe misses 2-pt shot at rim,,63-68,,
6:18.0,Offensive rebound by G. Monroe,,63-68,,
6:18.0,G. Monroe makes 2-pt shot at rim,2,65-68,,
6:18.0,Shooting foul by K. Lowry (drawn by G. Monroe),,65-68,,
6:18.0,,,65-68,,Technical foul by T. Ross
6:18.0,B. Jennings makes technical free throw,1,66-68,,
6:18.0,G. Monroe makes free throw 1 of 1,1,67-68,,
6:18.0,,,67-68,,Toronto full timeout
6:18.0,,,67-68,,L. Williams enters the game for T. Ross
6:07.0,,,67-68,,K. Lowry misses 2-pt shot from 6 ft
6:06.0,Defensive rebound by B. Jennings,,67-68,,
6:01.0,K. Singler misses 2-pt shot from 7 ft (block by L. Williams),,67-68,,
6:01.0,Offensive rebound by Team,,67-68,,
5:54.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,67-68,,
5:53.0,,,67-68,,Defensive rebound by K. Lowry
5:49.0,,,67-70,2,L. Williams makes 2-pt shot from 1 ft (assist by K. Lowry)
5:27.0,B. Jennings makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope),3,70-70,,
5:08.0,,,70-70,,L. Williams misses 2-pt shot from 5 ft
5:07.0,,,70-70,,Offensive rebound by A. Johnson
5:04.0,,,70-70,,A. Johnson misses 2-pt shot at rim
5:03.0,,,70-70,,Offensive rebound by A. Johnson
5:01.0,,,70-70,,A. Johnson misses 2-pt shot from 1 ft (block by A. Drummond)
4:58.0,Defensive rebound by K. Singler,,70-70,,
4:54.0,Shooting foul by K. Lowry (drawn by B. Jennings),,70-70,,
4:54.0,B. Jennings makes free throw 1 of 2,1,71-70,,
4:54.0,B. Jennings makes free throw 2 of 2,1,72-70,,
4:41.0,,,72-72,2,J. Johnson makes 2-pt shot from 3 ft
4:23.0,G. Monroe misses 2-pt shot from 17 ft,,72-72,,
4:22.0,,,72-72,,Defensive rebound by K. Lowry
4:18.0,,,72-72,,Turnover by K. Lowry (bad pass)
4:03.0,B. Jennings misses 3-pt shot from 25 ft,,72-72,,
4:02.0,Offensive rebound by G. Monroe,,72-72,,
3:58.0,K. Singler makes 3-pt shot from 23 ft (assist by G. Monroe),3,75-72,,
3:39.0,,,75-72,,L. Williams misses 3-pt shot from 24 ft
3:38.0,,,75-72,,Offensive rebound by Team
3:38.0,,,75-72,,G. Vasquez enters the game for K. Lowry
3:29.0,,,75-72,,Shooting foul by G. Monroe (drawn by J. Valanciunas)
3:29.0,,,75-73,1,J. Valanciunas makes free throw 1 of 2
3:29.0,J. Jerebko enters the game for A. Drummond,,75-73,,
3:29.0,,,75-73,,J. Valanciunas misses free throw 2 of 2
3:28.0,Defensive rebound by K. Singler,,75-73,,
3:12.0,G. Monroe makes 2-pt shot from 2 ft (assist by B. Jennings),2,77-73,,
2:51.0,,,77-75,2,A. Johnson makes 2-pt shot from 5 ft (assist by L. Williams)
2:40.0,Shooting foul by J. Johnson (drawn by B. Jennings),,77-75,,
2:40.0,Detroit full timeout,,77-75,,
2:40.0,J. Meeks enters the game for K. Caldwell-Pope,,77-75,,
2:40.0,,,77-75,,T. Hansbrough enters the game for A. Johnson
2:40.0,,,77-75,,P. Patterson enters the game for J. Valanciunas
2:40.0,B. Jennings makes free throw 1 of 2,1,78-75,,
2:40.0,B. Jennings makes free throw 2 of 2,1,79-75,,
2:24.0,,,79-77,2,G. Vasquez makes 2-pt shot from 3 ft
1:57.0,G. Monroe makes 2-pt shot from 6 ft,2,81-77,,
1:41.0,,,81-79,2,J. Johnson makes 2-pt shot from 3 ft
1:28.0,B. Jennings misses 2-pt shot from 19 ft,,81-79,,
1:27.0,,,81-79,,Defensive rebound by T. Hansbrough
1:14.0,,,81-79,,P. Patterson misses 3-pt shot from 24 ft
1:13.0,,,81-79,,Offensive rebound by J. Johnson
1:10.0,,,81-81,2,P. Patterson makes 2-pt shot at rim (assist by J. Johnson)
0:48.0,J. Meeks misses 2-pt shot from 9 ft,,81-81,,
0:47.0,Offensive rebound by J. Meeks,,81-81,,
0:45.0,A. Drummond enters the game for G. Monroe,,81-81,,
0:34.0,A. Drummond misses 2-pt shot at rim,,81-81,,
0:33.0,Offensive rebound by A. Drummond,,81-81,,
0:31.0,Shooting foul by J. Johnson (drawn by A. Drummond),,81-81,,
0:31.0,A. Drummond misses free throw 1 of 2,,81-81,,
0:31.0,Offensive rebound by Team,,81-81,,
0:31.0,A. Drummond makes free throw 2 of 2,1,82-81,,
0:09.0,,,82-81,,Shooting foul by J. Meeks (drawn by L. Williams)
0:09.0,,,82-83,2,L. Williams makes 2-pt shot from 8 ft
0:09.0,,,82-83,,L. Williams misses free throw 1 of 1
0:09.0,Defensive rebound by A. Drummond,,82-83,,
0:01.0,J. Meeks misses 2-pt shot from 3 ft,,82-83,,
0:00.0,Offensive rebound by Team,,82-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Meeks misses 3-pt shot from 23 ft,,82-83,,
11:42.0,,,82-83,,Defensive rebound by P. Patterson
11:30.0,,,82-83,,L. Williams misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by Team,,82-83,,
11:29.0,,,82-83,,Loose ball foul by J. Valanciunas (drawn by A. Drummond)
11:18.0,D. Augustin misses 2-pt shot from 12 ft (block by G. Vasquez),,82-83,,
11:16.0,,,82-83,,Defensive rebound by G. Vasquez
11:09.0,,,82-83,,Turnover by G. Vasquez (bad pass)
10:51.0,J. Meeks misses 3-pt shot from 25 ft,,82-83,,
10:50.0,Offensive rebound by D. Augustin,,82-83,,
10:48.0,D. Augustin makes 2-pt shot from 1 ft,2,84-83,,
10:27.0,,,84-83,,Turnover by L. Williams (bad pass; steal by K. Singler)
10:21.0,K. Singler misses 2-pt shot from 2 ft,,84-83,,
10:20.0,,,84-83,,Defensive rebound by T. Hansbrough
10:07.0,,,84-85,2,T. Hansbrough makes 2-pt shot from 6 ft (assist by G. Vasquez)
9:53.0,Shooting foul by T. Hansbrough (drawn by J. Jerebko),,84-85,,
9:53.0,J. Jerebko makes free throw 1 of 2,1,85-85,,
9:53.0,J. Jerebko makes free throw 2 of 2,1,86-85,,
9:36.0,,,86-87,2,G. Vasquez makes 2-pt shot from 21 ft
9:20.0,A. Drummond misses 2-pt shot from 3 ft,,86-87,,
9:19.0,Offensive rebound by A. Drummond,,86-87,,
9:18.0,A. Drummond misses 2-pt shot from 3 ft,,86-87,,
9:17.0,Offensive rebound by A. Drummond,,86-87,,
9:16.0,A. Drummond misses 2-pt shot from 2 ft,,86-87,,
9:15.0,Offensive rebound by A. Drummond,,86-87,,
9:14.0,A. Drummond misses 2-pt shot from 1 ft (block by J. Valanciunas),,86-87,,
9:12.0,,,86-87,,Defensive rebound by L. Williams
9:08.0,,,86-87,,Turnover by L. Williams (bad pass)
8:55.0,D. Augustin misses 2-pt shot from 4 ft,,86-87,,
8:53.0,,,86-87,,Defensive rebound by G. Vasquez
8:49.0,,,86-90,3,G. Vasquez makes 3-pt shot from 26 ft
8:35.0,K. Singler makes 2-pt shot from 2 ft (assist by J. Meeks),2,88-90,,
8:08.0,,,88-90,,L. Williams misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by D. Augustin,,88-90,,
8:04.0,J. Meeks makes 2-pt shot at rim (assist by D. Augustin),2,90-90,,
8:03.0,,,90-90,,Toronto full timeout
8:03.0,,,90-90,,K. Lowry enters the game for L. Williams
8:03.0,,,90-90,,J. Johnson enters the game for T. Hansbrough
8:03.0,K. Caldwell-Pope enters the game for K. Singler,,90-90,,
7:54.0,,,90-93,3,K. Lowry makes 3-pt shot from 25 ft (assist by G. Vasquez)
7:40.0,Turnover by D. Augustin (bad pass; steal by G. Vasquez),,90-93,,
7:22.0,,,90-95,2,G. Vasquez makes 2-pt shot from 11 ft
7:05.0,J. Jerebko makes 2-pt shot from 2 ft (assist by D. Augustin),2,92-95,,
6:47.0,,,92-95,,K. Lowry misses 3-pt shot from 25 ft
6:46.0,,,92-95,,Offensive rebound by P. Patterson
6:38.0,,,92-95,,Shooting foul by J. Jerebko (drawn by J. Johnson)
6:38.0,,,92-95,,J. Johnson misses free throw 1 of 2
6:38.0,,,92-95,,Offensive rebound by Team
6:38.0,B. Jennings enters the game for D. Augustin,,92-95,,
6:38.0,G. Monroe enters the game for A. Drummond,,92-95,,
6:38.0,,,92-96,1,J. Johnson makes free throw 2 of 2
6:21.0,J. Meeks makes 2-pt shot from 8 ft (assist by B. Jennings),2,94-96,,
5:57.0,,,94-96,,P. Patterson misses 3-pt shot from 23 ft
5:56.0,Defensive rebound by K. Caldwell-Pope,,94-96,,
5:45.0,G. Monroe makes 2-pt shot from 4 ft (assist by B. Jennings),2,96-96,,
5:27.0,,,96-98,2,G. Vasquez makes 2-pt shot from 11 ft
5:09.0,J. Meeks makes 2-pt shot from 17 ft (assist by G. Monroe),2,98-98,,
4:50.0,,,98-100,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by G. Vasquez)
4:28.0,Shooting foul by J. Johnson (drawn by J. Meeks),,98-100,,
4:28.0,Official timeout,,98-100,,
4:28.0,J. Meeks makes free throw 1 of 2,1,99-100,,
4:28.0,J. Meeks makes free throw 2 of 2,1,100-100,,
4:12.0,,,100-102,2,K. Lowry makes 2-pt shot from 2 ft (assist by J. Johnson)
3:56.0,J. Jerebko misses 3-pt shot from 22 ft,,100-102,,
3:55.0,,,100-102,,Defensive rebound by K. Lowry
