time,Memphis,pts.away,score,pts.home,Brooklyn
6:59.0,,,8-12,,J. Jack misses 2-pt shot from 7 ft (block by M. Conley)
6:57.0,Defensive rebound by M. Gasol,,8-12,,
6:47.0,M. Conley makes 2-pt shot from 1 ft,2,10-12,,
6:31.0,,,10-12,,B. Lopez misses 2-pt shot from 21 ft
6:30.0,Defensive rebound by Z. Randolph,,10-12,,
6:20.0,Shooting foul by B. Bogdanovic (drawn by M. Gasol),,10-12,,
6:20.0,M. Gasol makes free throw 1 of 2,1,11-12,,
6:20.0,B. Udrih enters the game for M. Conley,,11-12,,
6:20.0,M. Gasol makes free throw 2 of 2,1,12-12,,
5:58.0,,,12-12,,B. Bogdanovic misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by B. Udrih,,12-12,,
5:49.0,B. Udrih misses 2-pt shot from 2 ft,,12-12,,
5:48.0,,,12-12,,Defensive rebound by B. Bogdanovic
5:44.0,,,12-14,2,B. Bogdanovic makes 2-pt shot from 1 ft
5:21.0,C. Lee makes 3-pt shot from 24 ft (assist by Z. Randolph),3,15-14,,
5:08.0,,,15-14,,B. Lopez misses 2-pt shot from 20 ft
5:06.0,Defensive rebound by B. Udrih,,15-14,,
5:01.0,Z. Randolph makes 2-pt shot at rim (assist by B. Udrih),2,17-14,,
5:00.0,,,17-14,,Brooklyn full timeout
5:00.0,J. Green enters the game for T. Allen,,17-14,,
4:51.0,Personal foul by J. Green (drawn by J. Johnson),,17-14,,
4:37.0,,,17-14,,J. Jack misses 2-pt shot from 20 ft
4:36.0,Defensive rebound by Z. Randolph,,17-14,,
4:18.0,M. Gasol makes 2-pt shot from 9 ft (assist by J. Green),2,19-14,,
3:53.0,,,19-14,,B. Lopez misses 2-pt shot from 4 ft
3:52.0,Defensive rebound by Z. Randolph,,19-14,,
3:46.0,C. Lee makes 3-pt shot from 24 ft (assist by B. Udrih),3,22-14,,
3:44.0,,,22-14,,Brooklyn full timeout
3:35.0,,,22-17,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Jack)
3:20.0,J. Green misses 2-pt shot from 18 ft,,22-17,,
3:18.0,Offensive rebound by Z. Randolph,,22-17,,
3:07.0,Z. Randolph makes 2-pt shot from 1 ft,2,24-17,,
3:07.0,Shooting foul by M. Plumlee (drawn by Z. Randolph),,24-17,,
3:07.0,Z. Randolph makes free throw 1 of 1,1,25-17,,
2:54.0,,,25-17,,J. Johnson misses 3-pt shot from 25 ft
2:53.0,,,25-17,,Offensive rebound by B. Bogdanovic
2:45.0,,,25-19,2,B. Bogdanovic makes 2-pt shot from 5 ft
2:28.0,Z. Randolph misses 2-pt shot from 15 ft,,25-19,,
2:27.0,,,25-19,,Defensive rebound by J. Johnson
2:13.0,,,25-19,,Turnover by B. Bogdanovic (bad pass)
2:13.0,,,25-19,,A. Anderson enters the game for J. Johnson
1:57.0,C. Lee makes 2-pt shot from 5 ft,2,27-19,,
1:32.0,,,27-19,,A. Anderson misses 3-pt shot from 23 ft
1:31.0,Defensive rebound by M. Gasol,,27-19,,
1:21.0,C. Lee makes 3-pt shot from 24 ft (assist by Z. Randolph),3,30-19,,
1:01.0,,,30-21,2,B. Lopez makes 2-pt shot from 9 ft
0:43.0,B. Udrih misses 2-pt shot from 17 ft,,30-21,,
0:41.0,,,30-21,,Defensive rebound by B. Bogdanovic
0:35.0,,,30-23,2,J. Jack makes 2-pt shot from 21 ft
0:28.0,J. Green misses 2-pt shot from 4 ft,,30-23,,
0:27.0,,,30-23,,Defensive rebound by M. Plumlee
0:07.0,,,30-23,,J. Jack misses 2-pt shot from 5 ft
0:05.0,Defensive rebound by M. Gasol,,30-23,,
0:00.0,Shooting foul by A. Anderson (drawn by B. Udrih),,30-23,,
0:00.0,B. Udrih makes free throw 1 of 2,1,31-23,,
0:00.0,J. Leuer enters the game for Z. Randolph,,31-23,,
0:00.0,,,31-23,,J. Jordan enters the game for B. Lopez
0:00.0,B. Udrih makes free throw 2 of 2,1,32-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,32-23,,Personal foul by J. Jordan (drawn by M. Gasol)
11:35.0,J. Green misses 3-pt shot from 25 ft,,32-23,,
11:34.0,,,32-23,,Defensive rebound by M. Plumlee
11:11.0,,,32-23,,A. Anderson misses 2-pt shot from 17 ft
11:09.0,Defensive rebound by B. Udrih,,32-23,,
11:02.0,B. Udrih makes 2-pt shot at rim,2,34-23,,
10:37.0,,,34-26,3,J. Johnson makes 3-pt shot from 23 ft (assist by M. Plumlee)
10:15.0,M. Gasol misses 2-pt shot from 4 ft,,34-26,,
10:14.0,,,34-26,,Defensive rebound by M. Plumlee
10:05.0,,,34-26,,A. Anderson misses 3-pt shot from 24 ft
10:04.0,,,34-26,,Offensive rebound by J. Jordan
9:46.0,,,34-28,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
9:46.0,,,34-28,,Shooting foul by M. Gasol (drawn by M. Plumlee)
9:46.0,V. Carter enters the game for C. Lee,,34-28,,
9:46.0,,,34-28,,D. Morris enters the game for J. Jack
9:46.0,,,34-29,1,M. Plumlee makes free throw 1 of 1
9:33.0,,,34-29,,Personal foul by J. Jordan (drawn by M. Gasol)
9:33.0,,,34-29,,M. Teletovic enters the game for M. Plumlee
9:33.0,K. Koufos enters the game for M. Gasol,,34-29,,
9:21.0,V. Carter misses 2-pt shot from 20 ft,,34-29,,
9:20.0,,,34-29,,Defensive rebound by M. Teletovic
9:10.0,,,34-29,,Turnover by A. Anderson (palming)
8:59.0,Shooting foul by M. Teletovic (drawn by J. Green),,34-29,,
8:59.0,Official timeout,,34-29,,
8:59.0,J. Green makes free throw 1 of 2,1,35-29,,
8:59.0,J. Green makes free throw 2 of 2,1,36-29,,
8:47.0,,,36-32,3,M. Teletovic makes 3-pt shot from 22 ft (assist by D. Morris)
8:25.0,V. Carter misses 3-pt shot from 25 ft,,36-32,,
8:23.0,,,36-32,,Defensive rebound by M. Teletovic
8:10.0,,,36-35,3,A. Anderson makes 3-pt shot from 24 ft (assist by J. Johnson)
7:50.0,V. Carter misses 3-pt shot from 24 ft,,36-35,,
7:49.0,,,36-35,,Defensive rebound by J. Jordan
7:38.0,,,36-38,3,M. Teletovic makes 3-pt shot from 23 ft (assist by J. Johnson)
7:38.0,Memphis full timeout,,36-38,,
7:38.0,T. Allen enters the game for J. Green,,36-38,,
7:38.0,M. Conley enters the game for B. Udrih,,36-38,,
7:38.0,Z. Randolph enters the game for J. Leuer,,36-38,,
7:38.0,,,36-38,,M. Plumlee enters the game for J. Jordan
7:14.0,V. Carter misses 3-pt shot from 24 ft,,36-38,,
7:13.0,,,36-38,,Defensive rebound by Team
6:58.0,,,36-38,,J. Johnson misses 2-pt shot from 20 ft
6:57.0,Defensive rebound by K. Koufos,,36-38,,
6:50.0,,,36-38,,Personal foul by D. Morris (drawn by M. Conley)
6:37.0,Z. Randolph makes 2-pt shot from 3 ft,2,38-38,,
6:24.0,,,38-41,3,M. Teletovic makes 3-pt shot from 24 ft (assist by D. Morris)
6:08.0,M. Conley misses 2-pt shot from 1 ft,,38-41,,
6:07.0,Offensive rebound by Z. Randolph,,38-41,,
6:05.0,Z. Randolph makes 2-pt shot from 5 ft,2,40-41,,
5:47.0,,,40-41,,M. Plumlee misses 2-pt shot from 7 ft
5:46.0,,,40-41,,Offensive rebound by Team
5:40.0,,,40-41,,D. Morris misses 2-pt shot from 2 ft (block by M. Conley)
5:39.0,Defensive rebound by K. Koufos,,40-41,,
5:30.0,K. Koufos misses 2-pt shot from 18 ft,,40-41,,
5:29.0,,,40-41,,Defensive rebound by M. Plumlee
5:22.0,,,40-41,,A. Anderson misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by M. Conley,,40-41,,
5:11.0,M. Conley misses 2-pt shot from 1 ft,,40-41,,
5:09.0,,,40-41,,Defensive rebound by D. Morris
5:03.0,,,40-43,2,D. Morris makes 2-pt shot from 16 ft (assist by A. Anderson)
4:38.0,Turnover by T. Allen (bad pass; steal by J. Johnson),,40-43,,
4:33.0,Personal foul by T. Allen (drawn by M. Plumlee),,40-43,,
4:33.0,M. Gasol enters the game for K. Koufos,,40-43,,
4:33.0,C. Lee enters the game for V. Carter,,40-43,,
4:33.0,,,40-43,,J. Jack enters the game for D. Morris
4:19.0,Personal foul by T. Allen (drawn by J. Johnson),,40-43,,
4:11.0,,,40-43,,M. Teletovic misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by Team,,40-43,,
4:10.0,,,40-43,,Loose ball foul by M. Plumlee (drawn by Z. Randolph)
4:10.0,Z. Randolph makes free throw 1 of 2,1,41-43,,
4:10.0,Z. Randolph misses free throw 2 of 2,,41-43,,
4:09.0,,,41-43,,Defensive rebound by M. Plumlee
3:54.0,,,41-43,,Turnover by J. Jack (bad pass; steal by T. Allen)
3:51.0,T. Allen misses 2-pt shot from 2 ft,,41-43,,
3:50.0,Offensive rebound by Z. Randolph,,41-43,,
3:49.0,Shooting foul by J. Jack (drawn by Z. Randolph),,41-43,,
3:49.0,Z. Randolph makes free throw 1 of 2,1,42-43,,
3:49.0,Z. Randolph misses free throw 2 of 2,,42-43,,
3:48.0,,,42-43,,Defensive rebound by M. Teletovic
3:27.0,,,42-43,,Turnover by Team (back court)
3:18.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,44-43,,
3:06.0,,,44-43,,Turnover by J. Jack (bad pass; steal by T. Allen)
2:59.0,C. Lee misses 2-pt shot from 3 ft,,44-43,,
2:58.0,,,44-43,,Defensive rebound by M. Teletovic
2:52.0,,,44-45,2,J. Johnson makes 2-pt shot from 1 ft (assist by A. Anderson)
2:25.0,T. Allen misses 3-pt shot from 23 ft,,44-45,,
2:24.0,Offensive rebound by Team,,44-45,,
2:24.0,,,44-45,,Brooklyn full timeout
2:24.0,,,44-45,,B. Lopez enters the game for M. Plumlee
2:10.0,M. Gasol misses 2-pt shot from 19 ft,,44-45,,
2:09.0,Offensive rebound by T. Allen,,44-45,,
2:08.0,T. Allen makes 2-pt shot from 2 ft,2,46-45,,
1:55.0,,,46-45,,Offensive foul by B. Lopez
1:55.0,,,46-45,,Turnover by B. Lopez (offensive foul)
1:34.0,M. Gasol makes 2-pt shot from 12 ft,2,48-45,,
1:11.0,Personal foul by Z. Randolph (drawn by M. Teletovic),,48-45,,
1:00.0,,,48-45,,A. Anderson misses 3-pt shot from 23 ft
0:58.0,Defensive rebound by T. Allen,,48-45,,
0:52.0,,,48-45,,Technical foul by A. Anderson
0:52.0,C. Lee makes technical free throw,1,49-45,,
0:40.0,M. Conley misses 3-pt shot from 25 ft,,49-45,,
0:39.0,,,49-45,,Defensive rebound by A. Anderson
0:27.0,,,49-45,,J. Johnson misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by M. Gasol,,49-45,,
0:04.0,M. Conley makes 2-pt shot from 8 ft,2,51-45,,
0:01.0,,,51-45,,J. Jack misses 3-pt shot from 27 ft
0:00.0,,,51-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,M. Conley misses 3-pt shot from 24 ft,,51-45,,
11:45.0,Offensive rebound by T. Allen,,51-45,,
11:45.0,Jump ball: T. Allen vs. J. Johnson (C. Lee gains possession),,,,Jump ball: T. Allen vs. J. Johnson (C. Lee gains possession)
11:32.0,Z. Randolph makes 2-pt shot from 3 ft,2,53-45,,
11:32.0,Shooting foul by M. Plumlee (drawn by Z. Randolph),,53-45,,
11:32.0,Z. Randolph makes free throw 1 of 1,1,54-45,,
11:16.0,,,54-45,,Turnover by M. Plumlee (lost ball; steal by Z. Randolph)
10:56.0,M. Gasol misses 2-pt shot from 15 ft,,54-45,,
10:55.0,,,54-45,,Defensive rebound by J. Jack
10:49.0,,,54-47,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
10:37.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol),2,56-47,,
10:22.0,,,56-49,2,J. Jack makes 2-pt shot from 2 ft
10:13.0,M. Gasol makes 2-pt shot from 3 ft (assist by C. Lee),2,58-49,,
10:13.0,Shooting foul by J. Jack (drawn by M. Gasol),,58-49,,
10:13.0,M. Gasol makes free throw 1 of 1,1,59-49,,
9:51.0,,,59-49,,J. Johnson misses 2-pt shot from 6 ft
9:50.0,,,59-49,,Offensive rebound by M. Plumlee
9:43.0,,,59-49,,J. Jack misses 3-pt shot from 23 ft
9:42.0,Defensive rebound by T. Allen,,59-49,,
9:32.0,T. Allen makes 2-pt shot at rim,2,61-49,,
9:24.0,,,61-49,,Brooklyn full timeout
9:02.0,,,61-49,,Turnover by B. Lopez (lost ball; steal by M. Gasol)
8:57.0,C. Lee makes 2-pt shot from 1 ft,2,63-49,,
8:39.0,,,63-49,,J. Johnson misses 2-pt shot from 8 ft
8:38.0,Defensive rebound by Z. Randolph,,63-49,,
8:12.0,T. Allen misses 3-pt shot from 23 ft,,63-49,,
8:11.0,Offensive rebound by Z. Randolph,,63-49,,
8:01.0,Z. Randolph misses 2-pt shot from 13 ft,,63-49,,
8:00.0,,,63-49,,Defensive rebound by B. Bogdanovic
7:47.0,,,63-49,,B. Lopez misses 2-pt shot from 21 ft
7:46.0,Defensive rebound by Z. Randolph,,63-49,,
7:35.0,Shooting foul by B. Lopez (drawn by M. Gasol),,63-49,,
7:35.0,M. Gasol misses free throw 1 of 2,,63-49,,
7:35.0,Offensive rebound by Team,,63-49,,
7:35.0,,,63-49,,M. Teletovic enters the game for M. Plumlee
7:35.0,,,63-49,,D. Morris enters the game for B. Bogdanovic
7:35.0,M. Gasol makes free throw 2 of 2,1,64-49,,
7:25.0,Personal foul by C. Lee (drawn by D. Morris),,64-49,,
7:15.0,,,64-49,,M. Teletovic misses 2-pt shot from 9 ft
7:13.0,Defensive rebound by Z. Randolph,,64-49,,
6:57.0,T. Allen makes 2-pt shot from 2 ft (assist by C. Lee),2,66-49,,
6:45.0,,,66-52,3,M. Teletovic makes 3-pt shot from 23 ft (assist by J. Jack)
6:21.0,Shooting foul by B. Lopez (drawn by M. Gasol),,66-52,,
6:21.0,M. Gasol makes free throw 1 of 2,1,67-52,,
6:21.0,M. Gasol makes free throw 2 of 2,1,68-52,,
6:05.0,,,68-54,2,J. Jack makes 2-pt shot from 2 ft
6:05.0,,,68-54,,Shooting foul by M. Conley (drawn by J. Jack)
6:05.0,,,68-55,1,J. Jack makes free throw 1 of 1
5:56.0,M. Conley misses 3-pt shot from 24 ft,,68-55,,
5:55.0,,,68-55,,Defensive rebound by Team
5:55.0,Loose ball foul by Z. Randolph (drawn by B. Lopez),,68-55,,
5:49.0,,,68-55,,Offensive foul by J. Jack
5:49.0,,,68-55,,Turnover by J. Jack (offensive foul)
5:35.0,M. Gasol misses 2-pt shot from 18 ft,,68-55,,
5:34.0,Offensive rebound by Z. Randolph,,68-55,,
5:32.0,Z. Randolph makes 2-pt shot from 1 ft,2,70-55,,
5:19.0,,,70-55,,J. Jack misses 2-pt shot from 19 ft
5:18.0,Defensive rebound by Z. Randolph,,70-55,,
5:08.0,Memphis full timeout,,70-55,,
5:08.0,J. Green enters the game for T. Allen,,70-55,,
5:01.0,J. Green misses 2-pt shot from 4 ft,,70-55,,
5:00.0,,,70-55,,Defensive rebound by B. Lopez
4:48.0,,,70-55,,M. Teletovic misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by M. Gasol,,70-55,,
4:38.0,,,70-55,,Personal foul by M. Teletovic (drawn by Z. Randolph)
4:38.0,Z. Randolph misses free throw 1 of 2,,70-55,,
4:38.0,Offensive rebound by Team,,70-55,,
4:38.0,K. Koufos enters the game for M. Gasol,,70-55,,
4:38.0,Z. Randolph misses free throw 2 of 2,,70-55,,
4:37.0,,,70-55,,Defensive rebound by M. Teletovic
4:17.0,,,70-55,,J. Jack misses 3-pt shot from 24 ft
4:16.0,Defensive rebound by K. Koufos,,70-55,,
4:08.0,M. Conley makes 2-pt shot from 6 ft,2,72-55,,
3:41.0,,,72-55,,J. Johnson misses 2-pt shot from 17 ft
3:40.0,Defensive rebound by Team,,72-55,,
3:40.0,,,72-55,,M. Plumlee enters the game for B. Lopez
3:23.0,J. Green makes 2-pt shot from 12 ft (assist by C. Lee),2,74-55,,
3:05.0,,,74-57,2,M. Plumlee makes 2-pt shot from 5 ft
2:46.0,C. Lee misses 3-pt shot from 24 ft,,74-57,,
2:45.0,Offensive rebound by Team,,74-57,,
2:45.0,,,74-57,,A. Anderson enters the game for J. Jack
2:45.0,,,74-57,,B. Bogdanovic enters the game for J. Johnson
2:45.0,V. Carter enters the game for Z. Randolph,,74-57,,
2:22.0,J. Green misses 3-pt shot from 23 ft,,74-57,,
2:21.0,Offensive rebound by K. Koufos,,74-57,,
2:12.0,Shooting foul by M. Teletovic (drawn by J. Green),,74-57,,
2:12.0,J. Green makes free throw 1 of 2,1,75-57,,
2:12.0,J. Green makes free throw 2 of 2,1,76-57,,
2:00.0,,,76-59,2,D. Morris makes 2-pt shot from 8 ft
1:36.0,Turnover by J. Green (bad pass; steal by B. Bogdanovic),,76-59,,
1:32.0,,,76-61,2,B. Bogdanovic makes 2-pt shot at rim
1:13.0,M. Conley misses 2-pt shot from 4 ft,,76-61,,
1:12.0,Offensive rebound by J. Green,,76-61,,
1:11.0,J. Green misses 2-pt shot at rim,,76-61,,
1:10.0,,,76-61,,Defensive rebound by M. Plumlee
1:10.0,Personal foul by M. Conley (drawn by M. Plumlee),,76-61,,
1:10.0,B. Udrih enters the game for M. Conley,,76-61,,
1:00.0,,,76-63,2,D. Morris makes 2-pt shot from 2 ft
0:44.0,J. Green makes 2-pt shot from 2 ft,2,78-63,,
0:35.0,,,78-63,,D. Morris misses 2-pt shot from 17 ft
0:34.0,,,78-63,,Offensive rebound by B. Bogdanovic
0:33.0,,,78-65,2,B. Bogdanovic makes 2-pt shot from 1 ft
0:21.0,Shooting foul by D. Morris (drawn by K. Koufos),,78-65,,
0:21.0,K. Koufos makes free throw 1 of 2,1,79-65,,
0:21.0,N. Calathes enters the game for C. Lee,,79-65,,
0:21.0,K. Koufos makes free throw 2 of 2,1,80-65,,
0:08.0,,,80-65,,Turnover by M. Plumlee (lost ball; steal by V. Carter)
0:01.0,B. Udrih makes 2-pt shot from 1 ft,2,82-65,,
0:01.0,,,82-65,,M. Teletovic misses 3-pt shot from 77 ft
0:00.0,,,82-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,82-65,,Turnover by D. Morris (lost ball; steal by B. Udrih)
11:33.0,B. Udrih misses 3-pt shot from 24 ft,,82-65,,
11:32.0,,,82-65,,Defensive rebound by M. Teletovic
11:23.0,Personal foul by K. Koufos (drawn by M. Plumlee),,82-65,,
11:12.0,,,82-68,3,D. Morris makes 3-pt shot from 24 ft (assist by A. Anderson)
10:55.0,B. Udrih misses 2-pt shot from 17 ft,,82-68,,
10:54.0,Offensive rebound by K. Koufos,,82-68,,
10:39.0,J. Green makes 2-pt shot from 7 ft,2,84-68,,
10:24.0,,,84-68,,Turnover by M. Teletovic (lost ball; steal by V. Carter)
10:20.0,N. Calathes makes 2-pt shot from 2 ft (assist by V. Carter),2,86-68,,
10:01.0,,,86-70,2,M. Plumlee makes 2-pt shot from 2 ft
9:50.0,N. Calathes misses 2-pt shot from 5 ft,,86-70,,
9:48.0,Offensive rebound by K. Koufos,,86-70,,
9:45.0,Turnover by K. Koufos (lost ball; steal by D. Morris),,86-70,,
9:44.0,,,86-72,2,D. Morris makes 2-pt shot from 2 ft
9:44.0,,,86-72,,Shooting foul by B. Udrih (drawn by D. Morris)
9:44.0,,,86-72,,J. Johnson enters the game for M. Teletovic
9:44.0,,,86-72,,D. Morris misses free throw 1 of 1
9:43.0,Defensive rebound by J. Green,,86-72,,
9:25.0,K. Koufos misses 2-pt shot from 7 ft,,86-72,,
9:24.0,,,86-72,,Defensive rebound by M. Plumlee
9:15.0,Personal foul by V. Carter (drawn by A. Anderson),,86-72,,
9:00.0,,,86-72,,A. Anderson misses 2-pt shot from 18 ft
8:59.0,Defensive rebound by J. Green,,86-72,,
8:47.0,K. Koufos makes 2-pt shot from 1 ft,2,88-72,,
8:34.0,Personal foul by N. Calathes (drawn by B. Bogdanovic),,88-72,,
8:34.0,Official timeout,,88-72,,
8:26.0,,,88-72,,Turnover by J. Johnson (bad pass; steal by N. Calathes)
8:07.0,K. Koufos misses 2-pt shot from 1 ft,,88-72,,
8:06.0,,,88-72,,Defensive rebound by B. Bogdanovic
7:56.0,,,88-72,,Turnover by A. Anderson (bad pass)
7:39.0,K. Koufos makes 2-pt shot from 3 ft (assist by V. Carter),2,90-72,,
7:12.0,,,90-72,,B. Bogdanovic misses 3-pt shot from 24 ft
7:11.0,,,90-72,,Offensive rebound by Team
7:11.0,,,90-72,,Brooklyn full timeout
7:11.0,,,90-72,,J. Jack enters the game for D. Morris
7:11.0,,,90-72,,B. Lopez enters the game for M. Plumlee
7:11.0,,,90-72,,C. Jefferson enters the game for B. Bogdanovic
7:02.0,,,90-72,,J. Johnson misses 2-pt shot from 9 ft
7:02.0,,,90-72,,Offensive rebound by B. Lopez
7:00.0,,,90-74,2,B. Lopez makes 2-pt shot from 1 ft
6:37.0,N. Calathes misses 2-pt shot from 22 ft,,90-74,,
6:35.0,,,90-74,,Defensive rebound by J. Johnson
6:22.0,,,90-77,3,J. Johnson makes 3-pt shot from 25 ft (assist by B. Lopez)
5:57.0,,,90-77,,Personal foul by C. Jefferson (drawn by N. Calathes)
5:57.0,T. Allen enters the game for B. Udrih,,90-77,,
5:57.0,Z. Randolph enters the game for V. Carter,,90-77,,
5:57.0,M. Gasol enters the game for K. Koufos,,90-77,,
5:47.0,J. Green misses 3-pt shot from 24 ft,,90-77,,
5:46.0,Offensive rebound by M. Gasol,,90-77,,
5:36.0,T. Allen makes 2-pt shot from 2 ft (assist by Z. Randolph),2,92-77,,
5:36.0,Shooting foul by B. Lopez (drawn by T. Allen),,92-77,,
5:36.0,T. Allen makes free throw 1 of 1,1,93-77,,
5:18.0,,,93-77,,J. Johnson misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by N. Calathes,,93-77,,
5:12.0,T. Allen makes 2-pt shot from 2 ft (assist by N. Calathes),2,95-77,,
4:55.0,,,95-79,2,B. Lopez makes 2-pt shot from 2 ft
4:55.0,,,95-79,,Shooting foul by M. Gasol (drawn by B. Lopez)
4:55.0,,,95-80,1,B. Lopez makes free throw 1 of 1
4:35.0,Turnover by N. Calathes (traveling),,95-80,,
4:26.0,,,95-82,2,C. Jefferson makes 2-pt shot from 19 ft (assist by J. Jack)
4:06.0,,,95-82,,Personal foul by C. Jefferson (drawn by Z. Randolph)
3:59.0,M. Gasol makes 2-pt shot at rim (assist by N. Calathes),2,97-82,,
3:48.0,Personal foul by N. Calathes (drawn by J. Jack),,97-82,,
3:48.0,,,97-83,1,J. Jack makes free throw 1 of 2
3:48.0,,,97-83,,J. Jack misses free throw 2 of 2
3:47.0,Defensive rebound by Z. Randolph,,97-83,,
3:30.0,N. Calathes makes 2-pt shot from 10 ft (assist by J. Green),2,99-83,,
3:14.0,,,99-86,3,A. Anderson makes 3-pt shot from 24 ft (assist by C. Jefferson)
2:52.0,Z. Randolph makes 2-pt shot from 4 ft (assist by N. Calathes),2,101-86,,
2:36.0,Personal foul by J. Green (drawn by A. Anderson),,101-86,,
2:36.0,Memphis full timeout,,101-86,,
2:36.0,,,101-86,,J. Jordan enters the game for J. Johnson
2:36.0,,,101-86,,D. Morris enters the game for B. Lopez
2:36.0,,,101-86,,M. Brown enters the game for J. Jack
2:36.0,,,101-87,1,A. Anderson makes free throw 1 of 2
2:36.0,,,101-88,1,A. Anderson makes free throw 2 of 2
2:25.0,Turnover by N. Calathes (bad pass),,101-88,,
2:25.0,,,101-88,,S. Karasev enters the game for A. Anderson
2:25.0,J. Stokes enters the game for Z. Randolph,,101-88,,
2:25.0,J. Adams enters the game for T. Allen,,101-88,,
2:17.0,,,101-88,,Shooting foul by M. Gasol (drawn by J. Jordan)
2:17.0,,,101-89,1,J. Jordan makes free throw 1 of 2
2:17.0,,,101-90,1,J. Jordan makes free throw 2 of 2
2:04.0,Turnover by M. Gasol (bad pass),,101-90,,
1:46.0,,,101-90,,Turnover by D. Morris (bad pass; steal by N. Calathes)
1:43.0,,,101-90,,Personal foul by D. Morris (drawn by J. Adams)
1:43.0,K. Koufos enters the game for M. Gasol,,101-90,,
1:36.0,J. Green misses 3-pt shot from 23 ft,,101-90,,
1:35.0,,,101-90,,Defensive rebound by M. Brown
1:26.0,,,101-90,,Turnover by M. Brown (bad pass; steal by K. Koufos)
1:20.0,N. Calathes misses 2-pt shot from 1 ft,,101-90,,
1:19.0,Offensive rebound by J. Stokes,,101-90,,
1:15.0,J. Stokes misses 2-pt shot at rim,,101-90,,
1:14.0,,,101-90,,Defensive rebound by C. Jefferson
1:09.0,,,101-90,,Turnover by D. Morris (lost ball; steal by N. Calathes)
1:08.0,,,101-90,,Personal foul by D. Morris (drawn by N. Calathes)
1:08.0,N. Calathes misses free throw 1 of 2,,101-90,,
